SOSR_CODE_2016,A0_14_SEO_B00,A0_14_SEO_00_05,A0_14_SEO_06_10,A0_14_SEO_11,A0_14_SEO_12,A0_14_SEO_13,A0_14_SEO_14,A0_14_SEO_15,A0_14_SEO_16,A0_14_SEO_YNS,A0_14_SEO_T,A0_14_SOLSE_VWW_B00,A0_14_SOLSE_VWW_00_05,A0_14_SOLSE_VWW_06_10,A0_14_SOLSE_VWW_11,A0_14_SOLSE_VWW_12,A0_14_SOLSE_VWW_13,A0_14_SOLSE_VWW_14,A0_14_SOLSE_VWW_15,A0_14_SOLSE_VWW_16,A0_14_SOLSE_VWW_YNS,A0_14_SOLSE_VWW_T,A0_14_SOLSE_NWNAA_B00,A0_14_SOLSE_NWNAA_00_05,A0_14_SOLSE_NWNAA_06_10,A0_14_SOLSE_NWNAA_11,A0_14_SOLSE_NWNAA_12,A0_14_SOLSE_NWNAA_13,A0_14_SOLSE_NWNAA_14,A0_14_SOLSE_NWNAA_15,A0_14_SOLSE_NWNAA_16,A0_14_SOLSE_NWNAA_YNS,A0_14_SOLSE_NWNAA_T,A0_14_SOLSE_PinE_NS_B00,A0_14_SOLSE_PinE_NS_00_05,A0_14_SOLSE_PinE_NS_06_10,A0_14_SOLSE_PinE_NS_11,A0_14_SOLSE_PinE_NS_12,A0_14_SOLSE_PinE_NS_13,A0_14_SOLSE_PinE_NS_14,A0_14_SOLSE_PinE_NS_15,A0_14_SOLSE_PinE_NS_16,A0_14_SOLSE_PinE_NS_YNS,A0_14_SOLSE_PinE_NS_T,A0_14_SOLSE_T_B00,A0_14_SOLSE_T_00_05,A0_14_SOLSE_T_06_10,A0_14_SOLSE_T_11,A0_14_SOLSE_T_12,A0_14_SOLSE_T_13,A0_14_SOLSE_T_14,A0_14_SOLSE_T_15,A0_14_SOLSE_T_16,A0_14_SOLSE_T_YNS,A0_14_SOLSE_T_T,A0_14_L_PinE_NS_B00,A0_14_L_PinE_NS_00_05,A0_14_L_PinE_NS_06_10,A0_14_L_PinE_NS_11,A0_14_L_PinE_NS_12,A0_14_L_PinE_NS_13,A0_14_L_PinE_NS_14,A0_14_L_PinE_NS_15,A0_14_L_PinE_NS_16,A0_14_L_PinE_NS_YNS,A0_14_L_PinE_NS_T,A0_14_T_B00,A0_14_T_00_05,A0_14_T_06_10,A0_14_T_11,A0_14_T_12,A0_14_T_13,A0_14_T_14,A0_14_T_15,A0_14_T_16,A0_14_T_YNS,A0_14_T_T,A15_24_SEO_B00,A15_24_SEO_00_05,A15_24_SEO_06_10,A15_24_SEO_11,A15_24_SEO_12,A15_24_SEO_13,A15_24_SEO_14,A15_24_SEO_15,A15_24_SEO_16,A15_24_SEO_YNS,A15_24_SEO_T,A15_24_SOLSE_VWW_B00,A15_24_SOLSE_VWW_00_05,A15_24_SOLSE_VWW_06_10,A15_24_SOLSE_VWW_11,A15_24_SOLSE_VWW_12,A15_24_SOLSE_VWW_13,A15_24_SOLSE_VWW_14,A15_24_SOLSE_VWW_15,A15_24_SOLSE_VWW_16,A15_24_SOLSE_VWW_YNS,A15_24_SOLSE_VWW_T,A15_24_SOLSE_NWNAA_B00,A15_24_SOLSE_NWNAA_00_05,A15_24_SOLSE_NWNAA_06_10,A15_24_SOLSE_NWNAA_11,A15_24_SOLSE_NWNAA_12,A15_24_SOLSE_NWNAA_13,A15_24_SOLSE_NWNAA_14,A15_24_SOLSE_NWNAA_15,A15_24_SOLSE_NWNAA_16,A15_24_SOLSE_NWNAA_YNS,A15_24_SOLSE_NWNAA_T,A15_24_SOLSE_PinE_NS_B00,A15_24_SOLSE_PinE_NS_00_05,A15_24_SOLSE_PinE_NS_06_10,A15_24_SOLSE_PinE_NS_11,A15_24_SOLSE_PinE_NS_12,A15_24_SOLSE_PinE_NS_13,A15_24_SOLSE_PinE_NS_14,A15_24_SOLSE_PinE_NS_15,A15_24_SOLSE_PinE_NS_16,A15_24_SOLSE_PinE_NS_YNS,A15_24_SOLSE_PinE_NS_T,A15_24_SOLSE_T_B00,A15_24_SOLSE_T_00_05,A15_24_SOLSE_T_06_10,A15_24_SOLSE_T_11,A15_24_SOLSE_T_12,A15_24_SOLSE_T_13,A15_24_SOLSE_T_14,A15_24_SOLSE_T_15,A15_24_SOLSE_T_16,A15_24_SOLSE_T_YNS,A15_24_SOLSE_T_T,A15_24_L_PinE_NS_B00,A15_24_L_PinE_NS_00_05,A15_24_L_PinE_NS_06_10,A15_24_L_PinE_NS_11,A15_24_L_PinE_NS_12,A15_24_L_PinE_NS_13,A15_24_L_PinE_NS_14,A15_24_L_PinE_NS_15,A15_24_L_PinE_NS_16,A15_24_L_PinE_NS_YNS,A15_24_L_PinE_NS_T,A15_24_T_B00,A15_24_T_00_05,A15_24_T_06_10,A15_24_T_11,A15_24_T_12,A15_24_T_13,A15_24_T_14,A15_24_T_15,A15_24_T_16,A15_24_T_YNS,A15_24_T_T,A25_34_SEO_B00,A25_34_SEO_00_05,A25_34_SEO_06_10,A25_34_SEO_11,A25_34_SEO_12,A25_34_SEO_13,A25_34_SEO_14,A25_34_SEO_15,A25_34_SEO_16,A25_34_SEO_YNS,A25_34_SEO_T,A25_34_SOLSE_VWW_B00,A25_34_SOLSE_VWW_00_05,A25_34_SOLSE_VWW_06_10,A25_34_SOLSE_VWW_11,A25_34_SOLSE_VWW_12,A25_34_SOLSE_VWW_13,A25_34_SOLSE_VWW_14,A25_34_SOLSE_VWW_15,A25_34_SOLSE_VWW_16,A25_34_SOLSE_VWW_YNS,A25_34_SOLSE_VWW_T,A25_34_SOLSE_NWNAA_B00,A25_34_SOLSE_NWNAA_00_05,A25_34_SOLSE_NWNAA_06_10,A25_34_SOLSE_NWNAA_11,A25_34_SOLSE_NWNAA_12,A25_34_SOLSE_NWNAA_13,A25_34_SOLSE_NWNAA_14,A25_34_SOLSE_NWNAA_15,A25_34_SOLSE_NWNAA_16,A25_34_SOLSE_NWNAA_YNS,A25_34_SOLSE_NWNAA_T,A25_34_SOLSE_PinE_NS_B00,A25_34_SOLSE_PinE_NS_00_05,A25_34_SOLSE_PinE_NS_06_10,A25_34_SOLSE_PinE_NS_11,A25_34_SOLSE_PinE_NS_12,A25_34_SOLSE_PinE_NS_13,A25_34_SOLSE_PinE_NS_14,A25_34_SOLSE_PinE_NS_15,A25_34_SOLSE_PinE_NS_16,A25_34_SOLSE_PinE_NS_YNS,A25_34_SOLSE_PinE_NS_T,A25_34_SOLSE_T_B00,A25_34_SOLSE_T_00_05
SOSR379,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR399,..,3,3,0,0,5,0,0,12,8,36,..,0,3,0,3,3,0,4,4,0,22,..,0,0,0,0,0,0,0,5,5,8,..,0,0,0,0,0,0,0,4,0,4,..,0,3,0,3,3,0,5,17,5,35,..,0,0,0,0,0,0,0,0,0,0,..,3,6,0,3,16,3,5,28,15,72,11,25,7,0,0,3,16,78,120,24,283,0,4,11,0,3,10,24,74,72,25,221,0,0,0,0,0,0,3,5,23,10,51,0,0,0,0,0,0,0,0,0,0,3,0,3,8,0,3,13,29,82,93,41,272,0,0,0,0,0,0,0,0,3,9,14,13,26,20,0,9,16,49,161,217,71,571,42,15,31,10,8,9,9,83,95,18,318,10,15,31,11,11,18,61,97,114,31,400,0,3,3,3,0,3,26,44,16,25,115,0,0,0,0,0,0,0,0,0,0,4,10,20
SOSR401,..,672,2577,590,772,591,578,548,288,224,6839,..,414,3596,1068,1163,1447,1198,1203,542,354,10988,..,3,43,30,89,248,362,652,939,222,2584,..,3,20,8,7,14,9,24,12,9,104,..,426,3654,1104,1262,1711,1570,1875,1487,586,13668,..,8,9,0,0,0,3,7,12,16,55,..,1100,6248,1704,2035,2300,2147,2430,1786,824,20572,1287,2343,2577,340,309,244,283,327,333,274,8315,849,2454,5499,1288,1497,2034,2616,3174,1918,716,22043,9,47,134,70,129,319,505,720,622,300,2864,3,17,28,3,7,8,11,20,16,20,133,861,2519,5656,1359,1640,2357,3132,3915,2566,1039,25046,0,8,9,0,0,0,3,0,0,42,61,2154,4870,8242,1700,1950,2606,3416,4240,2893,1355,33424,4202,1219,2019,519,569,471,403,431,279,332,10439,3130,3771,12477,1959,2374,2703,2886,3209,1692,646,34850,32,185,877,253,438,511,494,583,444,189,4005,36,30,68,13,15,11,18,18,13,8,233,3200,3978
SOSR412,..,29,79,17,31,5,25,29,0,16,228,..,9,122,25,31,52,30,32,8,20,318,..,0,0,0,0,8,3,5,4,7,31,..,0,0,0,0,0,0,0,0,0,3,..,9,120,25,31,66,33,34,15,27,352,..,0,0,0,0,0,0,0,0,0,0,..,36,203,41,58,69,60,62,11,38,581,54,64,69,10,8,9,9,5,3,12,236,7,20,97,14,21,35,19,15,10,5,242,0,0,5,3,0,3,6,3,0,0,23,0,0,0,0,0,0,0,0,0,0,0,7,20,101,19,21,38,24,20,10,9,264,0,0,0,0,0,0,0,0,0,0,0,58,86,166,35,29,42,36,23,10,13,506,115,49,56,14,15,13,11,9,5,12,296,28,29,114,25,32,34,36,24,12,11,345,0,0,14,5,0,10,3,4,0,0,43,0,0,0,0,0,0,0,0,0,0,4,28,31
SOSR413,..,43,144,24,49,44,29,15,23,16,379,..,15,105,28,29,34,38,27,10,12,293,..,0,0,0,3,5,9,11,11,13,60,..,0,0,0,0,0,0,0,0,0,5,..,15,105,28,31,41,46,43,26,24,353,..,0,0,0,0,0,0,0,0,0,0,..,55,249,49,80,81,78,60,48,41,737,78,121,150,20,22,13,7,19,7,6,438,12,29,112,20,31,21,38,38,11,17,335,0,0,4,4,0,6,8,23,18,20,82,0,0,0,0,0,0,0,0,0,0,0,12,29,117,28,29,30,44,62,34,41,421,0,0,0,0,0,0,0,0,0,9,14,90,160,267,42,52,45,51,75,36,56,876,149,49,95,27,26,14,18,15,12,17,422,39,57,240,39,59,47,73,64,26,25,671,0,0,18,0,11,10,41,96,35,56,271,0,0,3,0,0,0,0,0,0,0,6,39,57
SOSR414,..,7,22,9,5,11,0,7,0,3,69,..,0,6,8,4,16,12,16,4,4,77,..,0,0,0,0,0,3,7,5,0,12,..,0,0,0,0,0,0,0,0,0,0,..,0,6,8,3,17,14,22,8,5,85,..,0,0,0,0,0,0,0,0,0,0,..,8,28,20,14,29,14,33,9,13,159,9,15,12,3,3,0,0,3,0,4,47,0,3,17,6,7,10,10,8,9,6,74,0,0,0,0,4,3,3,3,3,4,21,0,0,0,0,0,0,0,0,0,0,3,0,3,17,7,11,13,12,11,11,10,98,0,0,0,0,0,0,0,0,0,0,0,9,19,27,12,14,13,11,12,8,13,144,35,11,26,10,7,3,3,6,0,3,104,3,5,37,9,26,20,17,19,13,12,171,0,0,8,0,3,11,3,13,5,4,53,0,0,0,0,0,0,0,0,0,0,0,3,9
SOSR415,..,30,167,11,36,33,21,7,5,15,338,..,8,69,33,33,25,30,34,14,14,252,..,0,0,0,0,3,0,8,11,3,30,..,0,0,0,0,0,0,0,0,0,0,..,5,74,33,31,31,31,42,25,19,286,..,0,0,0,0,0,0,0,0,0,0,..,43,242,45,69,61,56,51,35,31,618,45,93,129,6,13,8,11,11,11,15,339,7,24,45,17,17,21,15,27,17,16,206,0,0,8,0,0,0,3,10,6,0,27,0,0,0,0,0,0,0,0,0,0,0,7,24,52,17,16,22,20,36,19,14,236,0,0,0,0,0,0,0,0,0,0,0,52,115,183,30,29,31,29,45,36,27,576,181,50,107,16,33,25,30,19,9,22,505,30,49,211,32,43,57,32,51,22,17,550,0,7,17,5,11,10,9,25,8,16,110,0,0,0,0,0,0,0,0,0,0,3,30,50
SOSR421,..,8,40,6,9,3,12,3,3,4,81,..,0,14,0,3,3,5,10,3,3,44,..,0,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,0,..,0,14,0,3,3,5,12,3,8,50,..,0,0,0,0,0,0,0,0,0,0,..,8,46,7,13,7,17,15,10,5,126,6,32,33,9,4,0,0,0,6,4,90,0,3,8,0,4,5,8,14,4,6,40,0,0,0,0,0,0,0,0,3,7,8,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,4,5,8,11,4,11,54,0,0,0,0,0,0,0,0,0,0,0,6,31,38,9,6,5,10,11,12,14,145,39,14,19,3,8,4,0,0,4,3,100,3,4,34,7,8,12,16,25,6,6,126,0,0,3,0,0,3,6,12,0,10,39,0,0,0,0,0,0,0,0,0,0,0,3,6
SOSR422,..,6,17,0,3,3,4,3,0,0,46,..,0,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,..,6,21,4,3,3,8,3,0,0,51,3,7,8,0,0,4,0,3,3,0,33,4,0,3,0,0,0,0,0,6,0,17,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,6,0,21,0,0,0,0,0,0,0,0,0,0,0,4,8,17,0,0,3,0,3,4,3,50,17,4,23,3,0,9,3,3,0,4,64,3,3,9,0,3,4,3,6,0,3,32,0,0,0,0,0,0,0,3,3,0,9,0,0,0,0,0,0,0,0,0,0,0,3,3
SOSR431,..,46,166,31,28,24,22,4,8,23,352,..,3,40,14,12,11,3,13,4,6,119,..,0,0,0,0,0,0,3,3,4,15,..,0,0,0,0,0,0,0,0,0,0,..,5,47,12,12,11,3,18,14,11,134,..,0,0,0,0,0,0,0,0,0,3,..,48,205,43,38,44,25,20,22,39,483,64,149,106,14,15,10,8,5,10,25,410,21,29,48,11,10,11,15,7,17,9,170,0,0,0,0,0,3,8,12,0,11,31,0,0,0,0,0,0,0,0,0,0,7,22,27,48,11,10,16,25,20,13,20,203,0,0,0,0,0,0,0,0,0,3,3,86,178,149,24,20,22,32,30,23,52,612,158,53,97,28,34,24,22,17,12,27,470,58,44,103,31,23,23,38,21,20,27,388,0,5,15,7,7,8,16,23,10,8,93,0,0,4,0,0,0,0,0,0,0,3,66,46
SOSR479,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR499,..,0,0,0,3,0,0,0,0,0,6,..,0,0,0,0,0,0,0,4,0,5,..,0,0,0,0,3,0,0,4,0,6,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,5,0,0,11,0,15,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,3,5,0,0,7,0,20,4,3,3,0,0,0,3,10,9,3,41,0,0,3,3,0,0,8,20,16,4,60,0,0,0,0,0,0,3,3,5,3,18,0,0,0,0,0,0,0,3,0,0,3,0,0,5,3,0,0,10,24,22,4,75,0,0,0,0,0,0,0,0,0,9,7,6,5,6,3,0,3,17,32,37,13,122,4,0,3,4,0,6,4,19,13,3,61,0,9,13,3,3,0,7,17,10,9,74,0,0,0,0,0,3,6,11,9,0,22,0,0,0,0,0,0,0,0,0,0,0,0,9
SOSR501,..,2048,9703,2945,3566,2722,2131,1728,889,1013,26741,..,810,6871,2133,2856,2742,2287,1965,863,654,21190,..,12,74,56,142,295,511,901,819,354,3171,..,6,40,5,16,23,20,34,29,30,200,..,827,6984,2199,3019,3061,2818,2891,1713,1042,24558,..,3,14,0,6,10,9,16,19,44,108,..,2881,16701,5146,6584,5787,4954,4633,2617,2096,51404,4215,8911,10148,1687,1912,1386,1280,1218,827,975,32572,1615,4420,9668,2223,2665,2876,3343,4188,2819,1087,34894,12,78,139,80,143,274,451,702,590,346,2824,16,28,72,16,20,18,13,23,24,12,253,1644,4528,9880,2324,2831,3175,3808,4913,3426,1448,37969,5,12,12,3,3,3,11,0,6,116,171,5873,13452,20041,4011,4742,4570,5103,6129,4261,2545,70714,14955,5329,11319,4329,4973,3406,2391,1926,929,1255,50808,6674,8014,22243,4351,5481,5788,5622,5021,2810,1419,67425,74,363,1507,427,674,904,896,1069,658,496,7077,39,53,130,29,47,44,34,22,22,27,444,6777,8433
SOSR511,..,62,329,96,96,81,49,68,15,27,834,..,15,133,36,46,80,58,43,10,10,432,..,0,0,0,0,9,5,7,11,4,38,..,0,0,0,0,0,0,0,3,0,5,..,15,130,36,46,92,61,58,25,13,475,..,0,0,0,0,0,3,0,0,0,3,..,75,462,137,142,173,115,121,41,40,1307,83,199,291,43,56,34,17,31,9,25,790,12,47,161,27,27,26,29,36,17,19,393,0,0,0,0,3,10,0,3,8,10,38,0,0,0,0,0,0,0,0,0,0,10,12,47,164,29,30,34,28,46,27,33,444,0,0,0,0,0,0,0,0,0,4,8,96,244,452,78,90,66,52,71,37,59,1239,268,113,240,72,79,60,37,38,13,31,957,47,57,278,68,91,117,103,80,35,27,896,0,0,8,5,3,9,13,26,14,27,104,0,0,0,0,0,0,3,3,0,0,12,47,55
SOSR512,..,69,391,113,167,99,84,51,19,36,1024,..,14,235,99,95,103,53,79,29,29,732,..,0,3,0,0,19,14,17,11,19,80,..,0,0,0,0,0,0,3,0,0,9,..,14,241,102,96,122,62,98,38,47,824,..,0,0,0,0,0,0,3,3,0,10,..,89,629,212,264,213,149,151,67,83,1856,111,185,290,79,63,53,47,37,23,38,924,11,81,274,73,79,49,53,55,31,21,731,0,0,9,9,0,3,11,3,9,4,46,0,0,0,3,0,0,0,0,0,0,10,11,83,288,82,80,55,61,61,37,30,789,0,0,0,0,0,0,0,0,0,13,11,127,266,575,160,143,107,107,92,63,83,1722,401,153,426,159,167,72,75,48,25,41,1573,89,99,468,125,145,135,119,90,55,38,1349,0,3,11,6,12,19,17,16,11,9,117,0,0,5,0,0,0,0,0,3,0,12,84,102
SOSR513,..,29,134,40,63,52,43,19,14,31,418,..,6,95,38,38,37,60,49,15,7,359,..,0,0,0,6,4,9,11,14,0,44,..,0,0,0,3,0,0,0,0,0,3,..,6,95,34,49,45,70,64,28,12,406,..,0,6,0,0,0,0,0,0,0,9,..,29,233,75,113,102,105,85,47,41,832,28,58,120,28,28,25,35,31,13,27,402,7,26,113,23,31,29,38,58,38,16,390,0,0,0,0,0,4,3,10,9,6,31,0,0,0,0,0,0,0,0,0,0,8,7,26,120,23,31,39,43,62,44,20,423,0,0,0,0,0,4,0,0,0,3,8,36,88,239,53,58,65,82,102,58,55,834,251,107,320,108,119,93,78,45,16,56,1198,55,73,329,86,96,89,104,103,61,48,1037,0,4,7,0,9,8,13,34,6,16,103,0,0,3,0,0,0,0,0,0,3,7,55,71
SOSR514,..,26,178,63,81,55,29,25,4,9,472,..,3,52,11,9,23,12,9,3,11,131,..,0,0,3,3,0,0,4,7,3,24,..,0,0,0,0,0,0,0,0,0,0,..,3,52,12,8,26,11,12,10,10,152,..,0,0,0,0,0,0,0,0,0,7,..,27,231,75,96,80,39,42,14,28,628,39,100,158,24,37,15,14,8,11,15,424,0,7,55,5,4,9,12,13,20,13,134,0,0,0,0,0,0,0,3,8,3,18,0,0,0,0,0,0,0,0,0,0,0,0,7,55,6,4,9,12,21,26,19,153,0,0,0,0,0,0,0,0,0,0,0,37,106,206,34,40,22,22,34,38,35,578,213,98,199,50,78,49,52,29,19,26,800,16,28,123,36,35,50,50,40,25,22,429,0,0,3,0,3,7,8,16,22,7,76,0,0,0,0,0,0,0,0,0,0,4,18,29
SOSR515,..,34,186,53,79,57,41,30,14,31,522,..,4,102,31,34,64,42,49,20,16,353,..,0,10,0,0,0,5,14,17,6,65,..,0,3,0,0,0,0,0,0,0,3,..,4,118,31,31,64,49,65,40,30,422,..,0,0,0,0,0,0,3,0,0,4,..,44,304,83,111,118,92,91,58,55,953,51,127,119,24,45,16,16,25,26,29,487,3,22,154,33,37,37,39,54,37,58,473,0,0,16,0,5,7,11,39,17,17,114,0,0,0,0,0,0,0,0,0,0,3,3,27,166,33,38,47,50,93,54,82,590,0,0,0,0,0,0,0,0,0,0,5,59,153,288,62,86,60,67,119,76,113,1079,301,101,276,86,93,63,40,39,19,50,1079,40,34,235,71,74,93,79,102,53,40,829,0,3,30,12,17,21,16,28,21,27,180,0,0,0,0,0,6,0,0,0,0,6,40,44
SOSR521,..,29,61,12,18,19,12,12,4,10,173,..,0,36,24,18,22,25,16,8,5,164,..,0,0,0,0,0,0,3,4,3,10,..,0,0,0,0,0,0,0,0,0,0,..,0,36,24,18,22,25,24,14,8,174,..,0,0,0,0,0,0,0,0,0,3,..,31,99,32,40,37,38,35,15,17,353,22,77,48,9,13,6,11,15,11,8,220,0,14,31,10,16,10,6,10,14,12,126,0,0,0,0,0,0,0,5,0,9,15,0,0,0,0,0,0,0,0,0,0,0,0,15,31,10,16,10,6,19,15,15,138,0,0,0,0,0,0,0,0,0,0,0,27,86,84,18,32,11,15,32,23,30,359,122,42,115,42,55,25,25,17,10,21,478,5,16,71,31,28,50,45,39,19,26,329,0,0,6,0,0,3,4,18,9,26,66,0,0,0,0,0,3,0,0,0,0,4,5,19
SOSR522,..,5,23,3,12,8,10,5,4,5,77,..,0,3,3,6,0,4,3,4,3,25,..,0,0,0,0,0,0,0,8,0,8,..,0,0,0,0,0,0,0,0,0,0,..,0,5,3,6,0,9,3,13,3,34,..,0,0,0,0,0,0,0,0,0,0,..,5,27,6,17,7,15,11,12,13,114,10,26,16,0,3,5,5,7,4,5,86,0,0,8,3,4,5,6,7,8,3,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,4,5,6,7,8,3,50,0,0,0,0,0,0,0,0,0,0,0,11,26,32,4,6,9,10,18,14,7,133,47,22,64,19,39,22,10,12,8,6,246,6,10,15,8,16,11,16,10,18,7,108,0,0,0,0,0,0,0,3,8,0,12,0,0,0,0,0,0,0,0,0,0,3,6,10
SOSR531,..,73,231,52,55,78,42,43,8,40,626,..,11,92,17,28,17,18,18,15,10,228,..,0,0,0,0,0,3,7,7,4,25,..,0,0,0,0,0,0,0,0,0,4,..,12,92,17,28,17,21,30,19,18,257,..,0,0,0,0,0,0,0,0,0,4,..,84,327,71,90,98,68,67,28,56,888,161,307,266,44,46,42,43,30,19,44,1007,19,56,95,9,24,19,20,49,27,21,345,0,0,0,0,0,0,3,13,7,7,32,0,0,0,0,0,0,0,0,0,0,4,19,53,98,9,31,18,24,58,40,26,385,0,0,3,0,0,0,0,0,0,100,101,177,366,365,56,78,68,64,92,58,172,1489,609,257,598,231,236,101,101,79,14,92,2322,110,111,293,73,107,76,92,98,45,49,1063,0,4,15,5,6,10,13,15,12,25,110,0,0,0,0,0,0,0,0,0,7,11,112,120
SOSR579,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,8,0,7,3,4,0,4,0,0,0,24,0,0,4,0,9,0,0,0,0,0,13,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR599,..,0,3,0,3,0,0,0,10,5,20,..,0,0,0,0,0,3,0,3,0,5,..,0,0,0,0,0,0,0,3,0,3,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,4,0,6,5,15,..,0,0,0,0,0,0,0,0,0,0,..,0,3,0,3,0,4,0,15,4,30,5,8,11,7,3,3,11,21,16,7,90,0,0,4,6,0,6,10,22,21,14,81,0,0,0,0,0,0,0,3,6,5,23,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,4,11,31,24,16,100,0,0,0,0,0,0,0,0,0,6,6,5,14,16,11,8,8,22,51,44,27,200,30,9,28,11,13,11,13,26,35,13,193,9,10,23,4,4,8,23,42,41,14,182,0,0,3,0,0,0,8,3,4,10,34,0,0,0,0,0,0,0,0,0,4,3,8,10
SOSR603,..,74,247,62,43,49,67,44,30,28,640,..,39,180,66,64,91,76,75,41,24,657,..,0,3,7,9,23,36,49,81,39,240,..,0,0,0,0,0,4,4,3,0,11,..,39,181,68,69,113,112,130,122,67,904,..,0,0,0,0,0,0,0,0,0,3,..,111,428,132,116,163,180,174,152,99,1548,146,208,131,31,38,31,31,46,55,34,742,59,168,311,84,117,189,235,337,297,71,1880,0,5,13,5,5,26,54,58,64,36,271,0,0,3,3,0,0,3,6,3,3,24,61,174,327,92,119,219,298,403,370,113,2168,0,0,0,0,0,0,0,0,0,9,6,206,385,454,115,163,244,326,443,420,158,2922,412,112,207,68,55,74,67,72,32,39,1133,157,269,813,161,262,292,343,338,162,72,2874,3,4,51,16,36,42,47,54,35,26,313,0,0,3,0,0,0,0,3,0,0,10,164,279
SOSR611,..,30,104,21,22,17,32,27,0,15,263,..,3,85,30,24,90,65,24,8,18,348,..,0,3,3,3,38,30,28,55,33,192,..,0,0,0,0,0,3,0,3,3,6,..,3,86,30,28,126,102,55,70,54,550,..,0,0,0,0,0,0,0,0,0,0,..,33,190,52,43,143,137,82,72,64,815,46,96,62,4,3,4,17,23,20,3,280,14,52,141,61,69,102,118,115,101,23,788,0,0,5,3,12,11,24,25,35,6,123,0,0,0,0,0,0,0,0,0,0,5,14,49,145,65,76,112,140,143,137,30,916,0,0,0,0,0,0,0,0,0,0,3,61,144,203,72,80,117,158,168,152,36,1196,151,36,80,15,18,18,9,16,13,10,378,31,63,247,56,78,70,75,90,81,19,811,0,0,24,13,13,32,33,24,25,7,180,0,0,0,0,0,0,0,0,0,0,4,31,62
