SOSR_CODE_2016,M_PoDe_PoDe_NFD_Mng,M_PoDe_PoDe_NFD_Pro,M_PoDe_PoDe_NFD_TTW,M_PoDe_PoDe_NFD_CPS,M_PoDe_PoDe_NFD_CA,M_PoDe_PoDe_NFD_Sal,M_PoDe_PoDe_NFD_MOD,M_PoDe_PoDe_NFD_Lab,M_PoDe_PoDe_NFD_IDNS,M_PoDe_PoDe_NFD_Tot,M_PoDe_DoctDe_Mng,M_PoDe_DoctDe_Pro,M_PoDe_DoctDe_TTW,M_PoDe_DoctDe_CPS,M_PoDe_DoctDe_CA,M_PoDe_DoctDe_Sal,M_PoDe_DoctDe_MOD,M_PoDe_DoctDe_Lab,M_PoDe_DoctDe_IDNS,M_PoDe_DoctDe_Tot,M_PoDe_MasDe_Mng,M_PoDe_MasDe_Pro,M_PoDe_MasDe_TTW,M_PoDe_MasDe_CPS,M_PoDe_MasDe_CA,M_PoDe_MasDe_Sal,M_PoDe_MasDe_MOD,M_PoDe_MasDe_Lab,M_PoDe_MasDe_IDNS,M_PoDe_MasDe_Tot,M_GrDiGrCer_GrDiGrCerNFD_Mng,M_GrDiGrCer_GrDiGrCerNFD_Pro,M_GrDiGrCer_GrDiGrCerNFD_TTW,M_GrDiGrCer_GrDiGrCerNFD_CPS,M_GrDiGrCer_GrDiGrCerNFD_CA,M_GrDiGrCer_GrDiGrCerNFD_Sal,M_GrDiGrCer_GrDiGrCerNFD_MOD,M_GrDiGrCer_GrDiGrCerNFD_Lab,M_GrDiGrCer_GrDiGrCerNFD_IDNS,M_GrDiGrCer_GrDiGrCerNFD_Tot,M_GrDi_GrCer_GrDi_Mng,M_GrDi_GrCer_GrDi_Pro,M_GrDi_GrCer_GrDi_TTW,M_GrDi_GrCer_GrDi_CPS,M_GrDi_GrCer_GrDi_CA,M_GrDi_GrCer_GrDi_Sal,M_GrDi_GrCer_GrDi_MOD,M_GrDi_GrCer_GrDi_Lab,M_GrDi_GrCer_GrDi_IDNS,M_GrDi_GrCer_GrDi_Tot,M_GrDi_GrCer_GradCer_Mng,M_GrDi_GrCer_GradCer_Pro,M_GrDi_GrCer_GradCer_TTW,M_GrDi_GrCer_GradCer_CPS,M_GrDi_GrCer_GradCer_CA,M_GrDi_GrCer_GradCer_Sal,M_GrDi_GrCer_GradCer_MOD,M_GrDi_GrCer_GradCer_Lab,M_GrDi_GrCer_GradCer_IDNS,M_GrDi_GrCer_GradCer_Tot,M_BaDe_BaDe_Mng,M_BaDe_BaDe_Pro,M_BaDe_BaDe_TTW,M_BaDe_BaDe_CPS,M_BaDe_BaDe_CA,M_BaDe_BaDe_Sal,M_BaDe_BaDe_MOD,M_BaDe_BaDe_Lab,M_BaDe_BaDe_IDNS,M_BaDe_BaDe_Tot,M_AdvDi_Di_AdvDi_Di_NFD_Mng,M_AdvDi_Di_AdvDi_Di_NFD_Pro,M_AdvDi_Di_AdvDi_Di_NFD_TTW,M_AdvDi_Di_AdvDi_Di_NFD_CPS,M_AdvDi_Di_AdvDi_Di_NFD_CA,M_AdvDi_Di_AdvDi_Di_NFD_Sal,M_AdvDi_Di_AdvDi_Di_NFD_MOD,M_AdvDi_Di_AdvDi_Di_NFD_Lab,M_AdvDi_Di_AdvDi_Di_NFD_IDNS,M_AdvDi_Di_AdvDi_Di_NFD_Tot,M_AdvDi_Di_AdvDi_AsDe_Mng,M_AdvDi_Di_AdvDi_AsDe_Pro,M_AdvDi_Di_AdvDi_AsDe_TTW,M_AdvDi_Di_AdvDi_AsDe_CPS,M_AdvDi_Di_AdvDi_AsDe_CA,M_AdvDi_Di_AdvDi_AsDe_Sal,M_AdvDi_Di_AdvDi_AsDe_MOD,M_AdvDi_Di_AdvDi_AsDe_Lab,M_AdvDi_Di_AdvDi_AsDe_IDNS,M_AdvDi_Di_AdvDi_AsDe_Tot,M_AdvDi_Di_Dip_Mng,M_AdvDi_Di_Dip_Pro,M_AdvDi_Di_Dip_TTW,M_AdvDi_Di_Dip_CPS,M_AdvDi_Di_Dip_CA,M_AdvDi_Di_Dip_Sal,M_AdvDi_Di_Dip_MOD,M_AdvDi_Di_Dip_Lab,M_AdvDi_Di_Dip_IDNS,M_AdvDi_Di_Dip_Tot,M_Cert_CertIII_IV_Mng,M_Cert_CertIII_IV_Pro,M_Cert_CertIII_IV_TTW,M_Cert_CertIII_IV_CPS,M_Cert_CertIII_IV_CA,M_Cert_CertIII_IV_Sal,M_Cert_CertIII_IV_MOD,M_Cert_CertIII_IV_Lab,M_Cert_CertIII_IV_IDNS,M_Cert_CertIII_IV_Tot,M_Cert_CertI_II_Mng,M_Cert_CertI_II_Pro,M_Cert_CertI_II_TTW,M_Cert_CertI_II_CPS,M_Cert_CertI_II_CA,M_Cert_CertI_II_Sal,M_Cert_CertI_II_MOD,M_Cert_CertI_II_Lab,M_Cert_CertI_II_IDNS,M_Cert_CertI_II_Tot,M_Cert_Cert_nfd_Mng,M_Cert_Cert_nfd_Pro,M_Cert_Cert_nfd_TTW,M_Cert_Cert_nfd_CPS,M_Cert_Cert_nfd_CA,M_Cert_Cert_nfd_Sal,M_Cert_Cert_nfd_MOD,M_Cert_Cert_nfd_Lab,M_Cert_Cert_nfd_IDNS,M_Cert_Cert_nfd_Tot,M_LE_ID_Mng,M_LE_ID_Pro,M_LE_ID_TTW,M_LE_ID_CPS,M_LE_ID_CA,M_LE_ID_Sal,M_LE_ID_MOD,M_LE_ID_Lab,M_LE_ID_IDNS,M_LE_ID_Tot,M_LE_NS_Mng,M_LE_NS_Pro,M_LE_NS_TTW,M_LE_NS_CPS,M_LE_NS_CA,M_LE_NS_Sal,M_LE_NS_MOD,M_LE_NS_Lab,M_LE_NS_IDNS,M_LE_NS_Tot,M_Tot_Mng,M_Tot_Pro,M_Tot_TTW,M_Tot_CPS,M_Tot_CA,M_Tot_Sal,M_Tot_MOD,M_Tot_Lab,M_Tot_IDNS,M_Tot_Tot,F_PoDe_PoDe_NFD_Mng,F_PoDe_PoDe_NFD_Pro,F_PoDe_PoDe_NFD_TTW,F_PoDe_PoDe_NFD_CPS,F_PoDe_PoDe_NFD_CA,F_PoDe_PoDe_NFD_Sal,F_PoDe_PoDe_NFD_MOD,F_PoDe_PoDe_NFD_Lab,F_PoDe_PoDe_NFD_IDNS,F_PoDe_PoDe_NFD_Tot,F_PoDe_DoctDe_Mng,F_PoDe_DoctDe_Pro,F_PoDe_DoctDe_TTW,F_PoDe_DoctDe_CPS,F_PoDe_DoctDe_CA,F_PoDe_DoctDe_Sal,F_PoDe_DoctDe_MOD,F_PoDe_DoctDe_Lab,F_PoDe_DoctDe_IDNS,F_PoDe_DoctDe_Tot,F_PoDe_MasDe_Mng,F_PoDe_MasDe_Pro,F_PoDe_MasDe_TTW,F_PoDe_MasDe_CPS,F_PoDe_MasDe_CA,F_PoDe_MasDe_Sal,F_PoDe_MasDe_MOD,F_PoDe_MasDe_Lab,F_PoDe_MasDe_IDNS,F_PoDe_MasDe_Tot,F_GrDiGrCer_GrDiGrCerNFD_Mng,F_GrDiGrCer_GrDiGrCerNFD_Pro,F_GrDiGrCer_GrDiGrCerNFD_TTW,F_GrDiGrCer_GrDiGrCerNFD_CPS,F_GrDiGrCer_GrDiGrCerNFD_CA,F_GrDiGrCer_GrDiGrCerNFD_Sal,F_GrDiGrCer_GrDiGrCerNFD_MOD,F_GrDiGrCer_GrDiGrCerNFD_Lab,F_GrDiGrCer_GrDiGrCerNFD_IDNS,F_GrDiGrCer_GrDiGrCerNFD_Tot
SOSR322,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,26,25,39,5,6,3,3,0,0,0,80,0,0,0,0,0,0,0,0,0,0,10,28,0,3,3,0,0,0,0,48,3,3,4,0,0,0,0,0,0,14,114,243,36,47,31,8,18,19,8,530,3,0,0,0,0,0,0,4,0,9,43,47,36,27,12,8,13,12,3,198,68,57,47,52,13,13,30,23,7,311,330,137,1444,116,101,77,492,421,53,3173,12,10,18,22,4,8,24,46,4,145,25,13,17,8,5,6,34,31,3,147,6,0,10,3,3,0,14,7,0,47,40,15,61,18,20,14,92,101,32,390,693,616,1676,304,201,140,714,683,111,5126,0,0,0,0,0,0,0,0,0,0,9,27,0,4,0,0,0,0,0,37,33,81,4,3,13,7,0,0,0,136,0,4,0,0,0,0,0,0,0,3
SOSR331,10,34,6,0,3,0,0,0,0,52,85,335,12,3,13,0,0,11,3,455,487,773,63,40,91,26,22,32,15,1548,23,33,4,7,4,3,0,0,0,73,184,372,43,35,28,11,12,14,9,698,58,69,20,16,12,3,4,6,5,201,2150,3779,554,375,354,184,169,327,86,7983,18,9,11,7,0,3,3,7,4,58,1037,689,433,214,127,97,198,155,52,3005,1341,665,785,461,269,192,304,327,68,4428,6572,1031,16717,965,866,991,4987,4254,551,36933,217,57,149,70,30,109,188,294,12,1120,543,110,249,138,65,112,397,326,37,1977,130,65,96,34,18,30,92,102,20,591,684,149,544,103,74,152,596,581,260,3131,13527,8172,19694,2459,1962,1911,6981,6434,1117,62252,14,56,0,3,11,0,0,0,0,83,57,325,3,8,16,4,0,0,3,421,340,1286,20,75,135,22,8,30,13,1918,17,87,3,5,14,0,0,0,0,122
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR399,0,0,0,0,0,0,0,0,0,0,0,19,3,0,0,0,0,0,0,21,5,17,4,3,0,0,3,6,0,39,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,13,0,3,0,0,0,0,0,0,0,7,30,82,6,24,11,6,11,66,0,243,0,0,3,0,0,0,0,0,0,3,7,10,4,3,3,0,8,7,3,43,5,15,8,9,3,0,5,16,0,69,40,20,208,25,17,11,70,106,17,512,0,0,7,5,0,0,3,5,0,18,4,0,4,3,0,0,5,5,0,18,0,3,0,3,0,0,5,3,4,26,0,3,16,9,0,3,10,10,11,58,95,180,264,79,37,29,113,234,41,1070,0,3,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,7,9,25,0,9,0,0,0,7,0,49,0,0,0,0,0,0,0,0,0,0
SOSR401,40,214,8,21,15,8,3,6,4,310,426,3477,62,45,77,25,20,33,21,4177,2810,6001,610,653,925,506,438,639,128,12712,106,291,14,17,35,9,16,15,6,509,729,2224,132,190,298,84,45,85,31,3818,323,454,65,69,96,24,12,21,12,1077,7703,24596,3068,3024,3425,2127,1361,2378,500,48188,34,32,40,24,13,14,15,17,3,191,2029,2678,1633,1242,823,577,485,486,153,10113,3139,3066,2933,1961,1526,1033,841,974,210,15690,7381,3138,32697,4533,3643,3573,5832,6566,1031,68406,278,173,417,379,242,394,410,675,48,3024,641,474,627,668,388,488,545,574,89,4495,283,497,384,184,161,120,217,300,75,2208,467,484,845,337,228,315,583,677,466,4416,26390,47788,43545,13355,11901,9298,10823,13447,2782,179338,56,349,3,20,44,9,0,5,3,487,266,2502,35,57,94,16,0,13,13,2998,1686,7209,244,1132,1339,422,21,402,131,12579,84,431,5,48,56,21,0,9,8,655
SOSR412,0,12,0,0,0,0,0,0,0,9,8,60,0,0,0,0,0,0,0,68,67,141,3,12,11,0,0,4,3,243,0,0,0,0,0,0,0,0,0,6,24,80,8,5,9,3,0,4,3,127,8,14,4,0,8,0,0,0,3,28,229,759,73,75,49,25,23,28,16,1277,0,0,0,0,0,0,0,0,0,3,83,98,61,64,20,18,21,18,7,403,159,130,136,86,60,41,42,38,7,707,505,172,2900,334,211,233,800,550,114,5818,12,13,30,20,12,34,49,78,3,254,34,21,27,47,16,25,62,44,4,279,9,8,14,9,4,8,22,14,6,100,22,18,49,26,8,22,93,69,27,329,1160,1519,3312,668,410,403,1116,859,203,9659,3,16,0,0,0,0,0,0,0,20,3,33,0,0,0,0,0,0,0,43,31,212,0,13,21,4,0,0,0,292,0,17,0,0,0,0,0,0,0,20
SOSR413,7,10,0,0,0,0,0,0,0,18,39,183,0,3,7,4,0,0,0,232,133,293,16,9,27,13,3,23,3,518,11,22,0,0,0,0,0,0,0,33,50,143,15,7,8,9,0,9,3,248,24,41,4,5,8,3,0,3,0,82,442,1419,141,147,137,94,34,123,27,2570,3,4,0,7,0,0,0,0,0,12,158,217,87,108,60,35,31,37,11,743,188,199,160,144,99,63,42,64,15,983,719,287,3057,468,216,326,694,764,104,6636,49,12,42,33,14,48,48,107,0,354,60,46,46,62,26,39,69,71,5,432,28,29,31,11,9,3,16,52,0,178,62,48,92,38,16,48,76,126,51,541,1960,2940,3693,1047,615,686,1029,1371,234,13580,3,31,0,4,0,0,0,0,0,41,24,121,5,9,6,0,0,0,0,163,103,418,11,28,41,5,0,13,4,618,6,32,0,3,3,0,0,0,0,46
SOSR414,0,0,0,0,0,0,0,0,0,3,0,17,0,0,0,0,0,0,0,15,16,24,0,0,3,0,0,4,0,46,0,0,0,0,0,0,0,0,0,3,10,15,0,0,3,0,0,3,0,31,3,0,0,0,0,0,0,0,0,9,64,201,22,17,17,11,9,31,0,378,0,0,0,3,0,0,0,0,0,0,25,37,12,17,11,4,5,17,3,142,45,33,30,22,13,25,12,21,4,209,193,34,706,77,67,93,162,242,21,1601,4,0,12,7,3,12,4,24,0,69,10,7,18,11,14,14,16,36,3,125,5,4,7,6,3,3,0,10,0,40,20,10,30,6,3,11,25,57,12,168,405,384,848,169,144,172,245,445,46,2854,0,3,0,0,0,0,0,0,0,3,3,12,0,0,0,0,0,0,0,13,8,61,0,8,7,0,0,3,0,88,0,3,0,0,0,0,0,0,0,5
SOSR415,0,8,0,0,0,0,0,0,0,11,14,63,0,3,7,0,0,0,0,89,81,181,17,13,19,11,4,6,5,331,3,6,0,0,0,0,0,0,0,13,31,109,13,13,10,3,9,3,0,186,16,27,3,4,3,0,0,0,0,43,375,1110,105,108,78,52,42,112,16,1990,0,0,4,0,0,0,0,0,0,10,160,184,89,124,42,41,40,50,6,739,237,157,167,124,56,71,60,63,15,958,967,254,3830,336,247,334,883,1017,122,8000,30,21,50,33,14,46,68,86,6,357,81,34,80,51,24,39,77,117,6,514,18,11,29,7,17,16,14,42,5,157,92,36,130,30,26,24,94,173,57,654,2113,2207,4497,842,536,644,1287,1667,247,14041,6,15,0,3,0,0,0,3,0,28,3,66,0,0,4,0,0,0,0,87,63,266,3,18,28,7,0,3,7,388,3,17,0,0,0,0,0,0,0,24
SOSR421,0,0,0,0,0,0,0,0,0,3,0,23,0,0,0,0,0,0,0,24,24,39,3,3,3,0,0,0,3,76,0,0,0,0,0,0,0,0,0,4,11,41,9,4,7,3,0,3,0,78,8,0,0,0,3,0,0,0,0,20,108,280,36,30,28,12,9,33,3,538,0,0,0,0,0,0,0,0,0,4,58,51,29,30,16,12,6,10,4,208,79,53,53,40,15,16,21,20,5,301,372,89,1203,101,75,80,324,328,36,2613,20,5,12,4,4,11,16,27,0,106,26,9,23,14,12,10,23,24,8,155,3,3,3,4,0,0,3,5,0,27,52,14,34,9,6,19,41,37,19,236,760,618,1402,236,170,178,457,489,80,4386,0,9,0,0,3,0,0,0,0,7,7,20,0,0,0,0,0,0,0,25,13,77,0,4,8,3,0,3,0,114,3,5,0,0,0,0,0,0,0,11
SOSR422,0,3,0,0,0,0,0,0,0,3,3,9,0,0,0,0,0,0,0,14,10,20,0,3,3,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,0,0,0,0,28,5,3,0,0,0,0,0,0,0,10,43,114,16,23,13,5,5,11,3,231,3,0,0,0,0,0,0,0,0,3,27,22,12,9,4,7,3,3,0,91,29,21,23,21,8,4,11,20,0,131,217,48,650,61,28,44,175,216,18,1462,7,8,12,0,0,0,12,14,0,52,20,8,6,6,3,7,13,22,0,93,3,3,0,4,0,3,3,10,0,26,21,8,22,5,0,6,29,29,7,134,406,290,739,137,62,79,246,322,34,2313,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,12,38,0,4,3,0,0,0,0,52,0,0,0,0,0,0,0,0,0,3
SOSR431,9,11,0,0,0,0,0,0,0,24,62,177,4,0,3,0,0,10,0,257,154,224,10,19,23,11,9,6,4,455,8,17,0,0,0,0,0,0,0,24,86,144,9,16,16,0,3,14,0,292,28,32,3,0,5,0,0,3,0,71,1021,1316,150,119,140,72,50,177,38,3096,4,0,0,3,0,0,0,0,0,18,455,265,135,101,60,45,51,67,13,1200,613,246,212,114,73,73,79,121,14,1547,2777,371,4697,339,254,343,1162,1488,147,11582,143,23,59,28,16,32,67,138,4,512,313,51,75,55,26,36,108,158,15,839,74,24,46,10,5,8,29,57,8,255,356,53,176,29,24,53,170,195,76,1135,6104,2968,5586,827,638,676,1731,2440,323,21303,4,27,0,3,3,0,0,0,0,38,31,162,5,0,9,0,0,0,0,210,131,391,3,20,46,8,0,6,3,612,3,44,3,0,3,0,0,0,3,50
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR499,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,11,0,0,0,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,6,17,0,3,3,0,0,14,0,53,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,3,0,0,8,0,3,4,0,3,0,3,4,0,18,6,0,58,7,7,10,18,27,3,127,0,0,0,0,0,0,0,3,0,4,0,0,3,0,0,0,0,4,0,8,0,0,0,0,0,0,3,0,0,8,4,0,3,0,0,0,8,9,4,27,23,50,65,11,9,9,36,65,7,279,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
SOSR501,130,345,19,30,39,14,3,18,7,602,725,4837,86,61,105,29,42,40,49,5977,5621,11243,1096,811,1656,767,704,671,268,22834,257,546,37,37,76,28,33,22,10,1055,1389,3958,287,262,441,151,120,97,63,6776,487,705,91,187,160,35,23,29,30,1739,16807,44055,6786,4522,6215,3912,3102,3793,1079,90267,51,38,99,49,22,25,44,44,8,389,4279,4930,4169,1721,1430,1036,1358,1091,309,20324,4767,4625,6267,2627,1986,1719,2063,1858,389,26313,12017,5182,66927,5667,5087,4526,12157,10540,2215,124323,335,223,743,562,287,496,604,957,68,4289,922,692,1349,851,464,541,1116,948,126,7002,637,962,821,257,262,214,390,456,98,4091,760,941,1599,517,399,458,1176,1134,813,7793,49183,83267,90372,18168,18627,13957,22954,21702,5542,323766,120,634,11,44,101,16,0,12,3,938,370,3494,67,74,155,34,6,25,27,4259,2775,11215,431,1287,2331,783,62,458,216,19560,163,872,20,49,157,48,0,12,22,1349
SOSR511,4,3,0,0,0,0,0,0,0,7,3,57,3,0,3,0,0,0,0,72,73,153,13,8,13,3,14,14,0,295,0,16,0,0,0,0,0,0,0,24,33,113,4,3,7,3,3,4,3,178,9,12,6,4,4,0,0,0,0,40,270,921,136,67,69,47,48,88,13,1654,0,0,3,0,0,0,3,0,0,10,98,128,133,43,38,19,51,42,11,556,155,133,218,66,49,40,72,55,12,808,452,197,3423,164,166,206,810,573,120,6113,15,9,36,9,12,38,29,60,0,218,29,24,60,25,14,19,67,50,0,296,17,17,21,11,3,4,27,25,3,134,19,18,57,9,12,10,72,80,32,315,1192,1824,4120,418,389,400,1202,1001,198,10735,3,20,0,0,0,0,0,0,0,23,0,42,3,0,0,0,0,0,3,47,43,169,3,17,20,4,0,11,0,273,0,27,0,0,0,0,0,0,0,32
SOSR512,0,9,0,3,0,0,0,0,0,15,9,101,3,0,3,0,0,0,0,123,109,274,29,10,25,5,17,9,0,482,7,14,0,0,0,0,0,0,0,25,47,163,8,18,5,0,7,6,0,257,14,29,8,9,8,0,0,3,0,64,416,1291,195,117,81,51,102,91,22,2377,0,4,9,3,0,0,0,0,0,17,199,231,143,112,47,37,79,47,5,904,238,234,256,144,49,61,76,85,18,1152,904,319,5499,398,266,324,1297,805,184,10000,30,25,61,32,23,39,77,119,10,419,54,37,71,47,15,33,105,73,11,440,25,31,31,12,9,7,37,29,3,178,46,30,117,32,11,31,147,95,64,576,2099,2784,6428,943,541,589,1946,1373,324,17036,3,28,3,0,5,0,0,0,0,33,4,46,0,3,4,0,0,0,0,59,71,307,11,36,39,10,0,3,0,477,5,29,0,0,4,0,0,0,0,35
SOSR513,3,4,0,3,0,0,0,0,0,11,4,36,4,0,0,0,0,0,0,41,88,126,20,7,19,8,9,5,4,285,4,8,0,0,0,0,0,0,0,21,26,71,12,9,0,0,3,0,0,125,22,12,11,4,0,0,0,0,0,51,288,686,168,84,74,29,48,70,23,1477,0,0,3,5,0,0,0,0,0,13,113,121,121,40,29,13,37,29,11,506,129,100,186,78,46,24,56,39,20,676,468,235,3246,172,220,135,686,466,154,5771,20,8,41,21,10,18,34,32,3,181,36,28,60,25,11,18,60,57,7,295,13,15,23,11,0,4,8,18,3,91,36,24,82,32,15,30,95,58,44,412,1248,1471,3972,480,431,279,1031,772,266,9960,0,10,0,0,0,0,0,0,0,15,7,11,0,0,5,0,0,0,0,27,50,198,12,26,27,12,0,8,5,336,3,19,0,7,3,0,0,0,0,31
SOSR514,0,3,0,0,0,0,0,0,0,3,3,12,0,0,0,0,0,0,0,20,27,56,3,5,0,8,3,10,0,108,0,3,0,0,0,0,0,0,0,10,8,39,0,3,0,6,0,3,0,63,3,9,0,0,0,0,0,0,0,16,130,361,67,41,33,28,29,63,4,759,0,0,0,0,0,0,0,0,0,7,49,49,47,36,6,14,24,20,0,253,71,57,77,45,22,29,19,31,3,359,259,70,1727,102,55,89,335,296,37,2977,7,10,14,17,3,7,13,24,0,97,19,15,31,10,3,6,44,19,4,151,6,0,11,3,0,3,9,8,0,41,17,7,41,8,6,10,49,31,24,192,602,691,2029,268,138,204,528,513,78,5048,4,6,0,0,0,0,0,0,0,17,0,16,0,0,0,0,0,0,0,17,16,68,5,6,6,8,0,7,0,112,0,5,0,0,0,0,0,0,0,5
SOSR515,4,4,0,0,0,0,0,0,0,7,10,39,0,3,0,0,0,0,0,51,74,111,20,6,11,0,5,13,5,246,3,10,0,0,0,0,0,0,0,16,24,84,4,6,4,3,6,3,0,135,10,14,4,4,0,0,0,0,0,41,269,761,149,114,66,29,63,113,16,1581,5,0,5,0,0,0,0,3,0,9,111,122,101,63,24,27,34,39,12,523,136,112,165,113,46,32,75,65,5,750,589,267,4042,252,172,160,1026,722,124,7355,30,27,49,20,8,28,63,94,9,322,52,38,68,34,13,21,80,77,12,383,12,11,14,3,5,0,22,28,3,97,49,19,97,30,20,30,132,119,61,561,1367,1620,4722,653,371,327,1511,1266,248,12085,3,8,0,0,0,0,0,0,0,9,3,17,0,0,4,0,0,0,0,24,38,167,11,20,27,8,0,8,0,280,3,29,0,0,0,0,0,0,0,29
SOSR521,0,0,0,0,0,0,0,0,0,3,3,15,0,0,0,0,0,0,0,19,21,43,3,4,3,0,3,0,0,82,0,6,0,3,0,0,0,0,0,5,14,42,0,8,4,0,3,0,0,75,11,8,3,5,0,0,0,0,0,27,148,283,70,46,13,22,25,29,6,636,0,0,0,0,0,0,0,0,0,7,76,40,38,37,11,3,17,18,3,245,66,42,87,58,22,11,38,23,6,354,351,127,1717,95,72,67,517,341,70,3364,6,8,15,13,3,5,11,28,3,96,28,18,30,16,4,7,28,32,8,174,8,6,9,3,0,3,9,8,4,54,34,13,68,21,5,21,83,75,28,343,771,655,2050,298,149,135,738,561,127,5483,0,7,0,0,0,0,0,0,0,13,3,16,0,0,0,0,0,0,0,17,31,73,0,9,11,3,0,4,0,128,0,9,0,0,0,0,0,0,0,11
SOSR522,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,9,10,18,0,3,0,0,0,5,0,41,0,0,0,0,0,0,0,0,0,5,5,15,0,4,0,0,0,3,0,26,4,0,0,0,0,0,0,0,0,4,76,135,13,20,8,11,3,14,4,292,0,0,0,0,0,0,0,0,0,0,38,35,22,20,0,3,12,9,0,139,26,16,23,24,5,6,13,13,0,134,142,66,637,60,31,25,178,165,18,1322,7,3,5,10,3,3,6,23,0,62,13,7,19,11,5,3,17,20,0,94,3,0,0,0,0,0,3,7,0,18,18,10,31,13,10,3,36,25,11,160,348,312,759,165,69,56,274,276,42,2305,3,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,8,9,35,0,10,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,4
SOSR531,3,6,3,0,3,0,0,0,0,17,36,109,3,3,4,0,0,3,0,163,184,294,38,11,30,3,16,17,9,608,16,14,0,0,0,0,0,0,0,31,71,152,14,17,11,4,10,11,3,285,15,30,7,5,3,0,3,0,0,71,1338,1803,332,125,142,80,163,220,46,4253,9,9,9,0,0,0,4,3,0,35,562,312,298,92,65,52,138,110,19,1644,550,269,397,149,75,68,189,160,35,1890,2499,478,8595,383,283,281,2249,1781,289,16842,90,31,92,32,19,33,99,159,5,556,263,52,118,47,34,43,166,118,18,857,61,40,45,10,8,16,33,66,6,284,312,61,158,37,26,28,235,187,71,1127,6014,3664,10113,922,698,598,3308,2844,503,28667,5,28,0,3,3,0,0,0,0,51,34,108,3,0,7,3,0,3,0,167,132,333,10,28,55,15,3,15,10,599,9,33,0,0,9,0,0,3,0,53
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,16,3,0,0,0,0,7,0,25,0,0,0,0,0,0,0,0,0,0,0,20,9,0,3,0,0,5,0,32,0,11,0,0,0,0,3,0,0,17,3,11,59,0,0,0,9,35,3,121,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,12,5,76,69,0,5,0,21,50,9,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
