SOSR_CODE_2016,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
SOSR179,0,3,8,8,10,4,0,0,0,28,0,0,0,0,3,3,3,0,0,7,0,0,0,8,6,0,0,0,0,20,0,0,0,0,0,0,0,0,0,5,0,3,9,11,20,10,6,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,11,20,10,6,0,0,61,4,5,5,0,3,8,31,14,3,77,0,3,0,0,0,4,10,9,0,24,3,9,11,18,25,22,48,16,3,157,3,0,10,0,5,4,0,0,0,25,0,0,3,4,3,9,5,0,0,18,0,3,4,4,9,3,6,0,0,24,0,0,0,0,0,3,0,0,0,4,3,3,17,13,17,11,11,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
SOSR199,39,169,440,315,195,130,25,3,0,1322,16,85,143,90,92,73,30,3,0,531,0,10,24,9,15,15,7,0,0,85,5,25,32,27,14,8,0,0,0,103,63,284,637,441,319,228,61,3,5,2042,25,76,145,91,80,56,3,0,0,467,13,23,33,12,16,15,3,0,0,120,35,101,177,106,87,66,6,0,0,583,102,382,816,548,406,294,63,5,5,2623,115,204,305,238,301,381,503,112,20,2178,68,158,491,484,440,313,157,39,12,2153,285,746,1615,1269,1148,986,719,162,32,6958,12,116,261,93,93,64,8,0,0,653,24,106,149,80,80,63,18,0,0,520,3,4,27,6,12,13,0,0,0,65,3,7,15,13,6,4,0,0,0,47,44,243,451,183,185,151,28,0,0,1291,26,34,59,43,42,27,4,0,0,230,12,21,38,18,13,23,4,0,0,127,35,52,103,58,59,42,3,0,0,358
SOSR201,7711,46836,212646,206625,176886,105794,18780,1352,240,776867,27880,44717,46696,29279,27228,28100,16912,2828,338,223984,1219,2022,4945,4365,3959,4063,1497,224,35,22323,1047,2811,6165,4384,3698,2333,769,215,88,21512,37856,96395,270451,244656,211767,140286,37966,4617,699,1044686,2439,7129,12546,9077,8361,5905,516,31,15,46031,9556,8220,4430,1946,1784,2287,809,88,7,29130,11998,15348,16975,11028,10144,8200,1330,122,21,75156,49850,111746,287426,255677,221911,148484,39293,4738,716,1119843,71503,38705,33008,24249,29148,51038,100967,71188,27474,447271,5481,9170,22087,16628,14301,11599,9337,6807,3470,98880,126834,159623,342522,296548,265362,211120,149599,82732,31661,1665995,2860,36260,147731,102631,102873,56697,7133,346,101,456627,37265,52631,77460,95315,86842,58562,16366,1414,175,426019,1439,2731,13292,9041,4670,4506,1317,133,39,37165,1131,2203,4107,2940,2863,1660,572,219,83,15783,42691,93822,242586,209920,197250,121420,25394,2113,396,935589,1579,4685,8979,5937,5084,2641,123,23,8,29062,10153,8190,7431,6704,5174,3177,444,60,17,41349,11729,12878,16412,12641,10259,5817,570,85,31,70411
SOSR203,392,2062,6630,6411,5987,3932,581,55,5,26055,1246,1623,1394,904,929,1223,630,99,12,8063,65,107,208,178,192,223,58,10,0,1039,44,103,197,139,116,81,24,13,4,714,1745,3895,8433,7629,7230,5459,1287,169,26,35868,121,349,454,323,343,266,7,0,0,1870,308,255,138,73,75,107,22,5,0,973,431,600,583,397,422,368,35,6,0,2841,2170,4500,9020,8026,7649,5823,1318,176,23,38704,2579,1157,996,945,1257,2378,4868,3211,1371,18763,236,347,631,508,581,490,478,360,200,3824,4990,6002,10640,9472,9480,8701,6667,3744,1596,61294,151,1476,4021,2811,3388,2009,194,11,7,14051,1843,2221,2917,3802,3617,2853,645,46,6,17958,105,166,533,347,218,262,67,7,0,1698,83,91,94,93,83,70,23,9,6,552,2176,3956,7558,7052,7314,5186,926,70,25,34262,99,187,251,169,193,110,4,6,3,1008,362,244,232,231,152,125,20,3,0,1364,457,432,480,393,343,231,23,7,0,2376
SOSR211,1013,4133,11778,10851,10056,6777,980,70,21,45683,2122,2149,2105,1653,1606,2012,1047,149,6,12840,101,163,330,313,315,417,135,14,0,1804,104,194,268,217,209,152,48,21,3,1223,3339,6638,14482,13036,12190,9355,2212,252,30,61541,351,705,838,595,499,374,27,3,0,3381,550,366,215,142,130,170,43,3,0,1622,899,1077,1056,736,622,543,64,3,0,5007,4240,7714,15540,13774,12819,9895,2280,258,30,66550,4280,1625,1700,1756,2234,4129,8496,5116,1753,31084,477,641,1225,1015,998,985,875,549,275,7037,8994,9981,18467,16545,16043,15011,11647,5919,2053,104666,431,2572,6281,5008,6004,3744,342,14,13,24406,3158,3428,5466,6133,5671,4612,953,67,15,29505,169,308,971,565,394,448,109,9,0,2971,101,159,174,173,144,127,38,13,3,933,3856,6465,12890,11873,12209,8935,1444,109,29,57814,207,418,487,370,345,188,5,0,3,2024,604,415,465,432,304,218,29,0,0,2481,817,832,951,802,651,408,37,4,3,4502
SOSR212,650,2512,6874,6542,6796,4652,736,46,9,28819,1471,1000,1196,942,938,1154,706,97,14,7516,75,99,190,193,208,271,84,12,4,1140,75,87,169,145,140,92,35,10,8,760,2277,3697,8433,7823,8084,6165,1566,162,39,38243,232,389,544,349,326,239,14,4,0,2093,383,170,106,80,65,107,28,4,0,941,615,554,647,427,390,349,39,8,0,3040,2899,4248,9079,8247,8477,6516,1605,171,34,41278,2477,760,1005,1068,1346,2496,5201,3425,1280,19062,327,423,810,667,767,749,676,435,193,5040,5699,5431,10891,9983,10588,9766,7481,4035,1507,65381,279,1669,3841,3132,4003,2575,278,17,0,15802,2100,1684,3040,3924,3874,2929,652,51,7,18257,78,148,556,293,270,283,58,8,5,1691,66,89,116,106,103,85,42,9,5,618,2525,3594,7547,7451,8247,5872,1033,86,17,36368,141,236,260,221,186,101,4,0,0,1149,397,167,233,244,183,146,12,4,0,1383,539,406,490,461,364,252,19,4,0,2540
SOSR213,924,3271,9328,9646,9627,6905,985,101,10,40796,2130,1319,1422,1430,1500,2011,1166,205,18,11198,108,116,271,276,366,497,149,24,6,1808,81,157,250,204,211,156,59,25,10,1150,3237,4858,11275,11551,11711,9576,2361,347,42,54954,245,550,555,512,477,419,20,0,4,2790,409,159,132,104,87,151,50,3,0,1095,652,716,691,613,560,575,77,4,4,3888,3892,5573,11959,12162,12274,10151,2430,351,48,58840,3447,912,1193,1361,1896,4013,9337,6131,2245,30540,387,483,910,929,965,986,1020,705,358,6741,7722,6968,14067,14460,15136,15150,12792,7194,2649,96130,387,2028,4779,4235,5441,3336,367,22,7,20601,2792,2186,4522,6117,6067,4933,1057,107,18,27799,148,157,798,437,442,504,115,16,3,2615,121,108,146,135,157,165,53,23,8,907,3447,4479,10243,10925,12100,8931,1592,159,37,51919,184,260,269,280,288,170,3,3,0,1461,439,205,323,353,243,223,25,0,3,1805,620,470,591,628,533,389,31,7,4,3265
SOSR214,516,1665,4013,4457,5052,3711,632,65,19,20128,993,616,771,731,926,1300,670,121,14,6139,81,65,142,163,210,288,100,19,3,1064,72,84,114,110,103,106,34,17,5,645,1659,2430,5042,5456,6286,5406,1435,226,43,27979,145,228,275,239,251,231,7,0,0,1379,156,79,75,48,59,89,26,0,0,534,298,315,347,288,310,320,37,3,0,1909,1953,2744,5391,5747,6598,5719,1476,225,43,29888,2074,638,839,997,1333,2674,6459,4245,1563,20824,224,216,445,458,614,644,759,555,267,4190,4253,3596,6673,7206,8544,9042,8690,5023,1869,54907,206,805,1991,2083,3017,1826,240,13,5,10203,1283,1008,2034,2932,3239,2788,695,75,20,14080,78,108,371,258,243,297,91,6,0,1454,59,48,73,82,79,83,28,16,9,464,1627,1969,4471,5354,6578,4994,1059,115,34,26199,95,130,145,148,163,86,7,0,3,780,190,93,139,146,144,112,20,5,0,852,284,222,283,299,313,200,30,3,3,1630
SOSR215,768,2625,7024,7810,8214,6136,1169,97,35,33879,1407,941,1076,1169,1523,2160,1220,228,29,9756,75,91,245,318,351,498,169,30,5,1783,97,135,207,200,193,174,56,29,12,1105,2347,3788,8552,9499,10287,8967,2618,380,88,46524,180,314,434,372,390,382,20,3,3,2098,240,89,78,65,96,127,44,4,4,742,416,403,514,439,481,511,66,9,3,2837,2760,4196,9066,9933,10763,9485,2678,385,91,49365,3086,682,837,1105,1735,3989,9530,6101,2288,29340,311,379,714,745,947,1090,1049,771,360,6362,6155,5253,10613,11785,13448,14555,13263,7255,2740,85067,251,1452,3399,3400,4637,3061,385,33,11,16637,1927,1640,3531,4870,5137,4374,1145,83,21,22731,89,146,641,420,381,523,141,18,4,2355,87,90,131,142,188,152,53,24,6,871,2358,3326,7690,8833,10346,8104,1727,165,37,42594,111,144,191,200,236,161,7,3,3,1054,283,121,204,229,221,205,32,5,0,1294,396,269,393,427,449,362,38,12,3,2347
SOSR221,216,609,1722,2007,2391,1858,310,39,15,9173,357,215,256,363,479,685,362,57,10,2770,25,30,51,80,135,163,59,8,0,548,23,25,37,60,68,47,23,11,3,292,617,881,2066,2507,3061,2752,757,114,24,12780,59,101,103,106,128,137,7,0,0,628,61,27,16,30,32,55,17,0,0,233,115,127,115,129,159,190,21,0,0,865,737,1007,2183,2641,3226,2941,778,119,24,13643,850,152,225,361,620,1482,3193,1697,502,9093,90,89,187,229,285,393,395,204,105,1979,1673,1249,2596,3227,4133,4821,4362,2023,633,24722,58,345,755,868,1288,860,116,3,3,4293,529,363,806,1369,1566,1350,339,24,5,6351,26,38,157,102,134,162,42,6,0,675,22,22,42,35,39,40,16,9,5,219,632,767,1762,2373,3026,2406,517,42,17,11537,35,49,63,56,75,68,4,0,0,350,69,30,58,67,61,63,7,0,0,352,102,76,123,121,134,132,10,0,0,701
SOSR222,169,407,1057,1310,1570,1342,242,33,3,6128,236,135,203,210,311,455,244,35,3,1820,16,17,38,48,80,114,28,7,0,350,11,28,42,30,46,33,9,7,5,218,427,587,1344,1594,2005,1942,533,74,14,8518,32,50,78,63,93,99,0,0,0,413,33,16,13,16,20,30,7,0,0,135,67,67,87,85,110,133,7,0,0,546,489,650,1430,1682,2112,2076,538,74,14,9063,571,86,152,221,379,913,1878,866,288,5352,82,73,144,150,239,239,218,105,46,1305,1150,816,1726,2050,2737,3228,2638,1043,344,15723,65,240,495,601,899,619,67,7,9,3001,284,239,551,808,930,897,181,17,3,3914,22,21,98,64,99,94,20,7,0,413,12,11,34,20,33,27,5,9,0,156,381,508,1176,1492,1964,1641,277,35,16,7484,19,31,40,29,54,31,0,0,0,202,48,15,29,42,42,44,0,0,0,224,66,43,66,76,93,72,0,0,0,423
SOSR231,2169,5448,11207,15765,21410,17203,5055,994,162,79411,3194,1764,1696,2135,3419,5216,3275,824,149,21672,161,178,378,515,833,1186,537,113,28,3922,250,260,344,406,565,470,277,142,35,2749,5774,7645,13626,18833,26225,24072,9145,2068,375,107756,310,453,526,486,666,711,49,5,0,3208,490,137,119,96,163,294,95,10,0,1413,803,591,647,582,829,1007,142,11,0,4618,6574,8231,14275,19415,27060,25075,9285,2080,376,112378,6706,1437,2356,2760,3743,7929,15813,7261,1816,49817,903,694,1281,1719,2468,2700,2306,1071,309,13458,14188,10371,17911,23893,33275,35706,27407,10409,2499,175653,676,2739,5387,6843,11112,7935,1751,299,50,36785,4412,3035,5149,9417,12174,10044,3111,451,63,47859,213,248,951,736,932,1138,410,64,14,4699,246,199,246,306,416,372,223,87,18,2104,5555,6209,11737,17297,24636,19491,5490,899,146,91453,158,274,295,287,392,313,10,4,0,1741,545,237,274,365,377,373,33,0,8,2215,706,512,570,656,767,686,41,7,7,3949
SOSR279,0,0,4,3,8,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,3,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,3,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,4,3,11,5,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,22,78,302,181,125,89,12,3,0,811,17,61,84,55,47,47,11,3,0,317,3,4,18,13,16,5,3,0,0,64,0,0,15,18,10,0,0,0,0,53,42,145,420,264,195,140,24,3,0,1242,12,33,94,56,54,22,6,0,0,274,12,26,32,13,10,6,3,0,0,91,27,56,123,68,63,24,10,0,0,367,68,202,545,333,260,169,35,3,0,1610,72,124,212,144,134,164,200,59,9,1119,41,121,296,337,236,133,45,13,0,1218,180,447,1052,813,628,460,283,72,9,3942,8,58,175,69,53,21,3,0,0,384,20,72,102,43,47,44,7,0,0,326,0,6,16,10,5,13,3,0,0,50,3,11,11,3,4,0,0,0,0,35,25,142,304,121,102,80,16,0,0,786,3,22,56,27,16,7,0,0,0,136,15,29,23,21,6,12,0,0,0,115,20,55,76,44,23,20,0,0,0,251
SOSR301,6369,30067,99330,99658,88074,52296,8733,540,66,385134,17361,20264,20748,13460,12314,12174,6775,1065,96,104245,758,1137,2622,2262,2260,2300,638,58,14,12043,645,1350,2466,1909,1479,887,268,95,26,9123,25120,52818,125163,117283,104130,67662,16402,1762,201,510546,2862,5110,6599,4880,4503,3352,272,16,7,27603,5651,3173,2023,954,767,1066,402,35,3,14070,8511,8283,8624,5832,5273,4417,676,56,7,41677,33633,61095,133787,123118,109396,72082,17079,1818,213,552221,30863,14045,14690,11524,13537,25893,51288,29509,10300,201645,2945,4761,10028,8147,7548,5890,4513,2890,1741,48462,67439,79899,158507,142787,130481,103861,72883,34214,12259,802321,3458,23115,66127,55710,57598,31570,3695,147,23,241441,24203,25673,38452,44877,38590,26039,7069,562,41,205503,902,1591,6974,4218,2622,2522,566,45,9,19447,673,935,1658,1342,1221,718,230,78,42,6895,29232,51318,113207,106154,100029,60847,11558,827,119,473280,1803,3181,4543,3239,2951,1573,59,21,6,17368,5721,3394,3720,3157,2241,1439,198,12,3,19875,7523,6578,8260,6393,5191,3004,256,31,12,37246
SOSR302,1767,6793,22178,24285,22111,13701,2971,212,18,94025,4657,4619,5292,3963,4062,4207,2774,435,35,30051,194,260,593,600,587,580,184,24,3,3028,162,326,595,498,421,304,116,30,7,2466,6776,12002,28665,29336,27181,18791,6047,707,58,129564,697,1068,1397,1124,1167,967,108,8,8,6543,1328,599,412,236,239,323,163,26,3,3321,2023,1671,1808,1362,1402,1292,274,31,8,9863,8799,13671,30477,30695,28582,20080,6316,739,66,139431,6895,2864,2905,2677,3485,6700,16472,10474,3465,55938,1111,1414,3056,2622,2556,2262,1949,1171,754,16893,16809,17943,36432,36000,34625,29043,24738,12394,4290,212260,962,5512,14045,12858,14455,8624,1280,44,8,57785,6570,6236,10667,12884,11529,8464,2732,230,13,59316,219,345,1483,942,628,623,194,24,3,4451,200,263,463,411,358,264,75,32,19,2083,7950,12357,26658,27091,26968,17969,4276,324,43,123639,454,652,856,757,834,531,22,3,4,4106,1306,699,920,908,703,565,99,8,3,5210,1762,1343,1773,1668,1542,1092,120,7,6,9318
SOSR303,2448,9598,25537,26577,26225,16790,2932,178,21,110300,6028,4374,4939,4163,4583,4975,2726,373,27,32187,311,346,899,850,907,895,278,33,10,4514,219,349,625,587,487,311,99,34,9,2722,9006,14671,31999,32178,32198,22971,6031,617,64,149729,1001,1531,1928,1612,1715,1470,120,15,0,9390,1672,707,518,316,289,463,197,24,0,4180,2672,2234,2443,1926,2004,1934,319,42,0,13573,11677,16906,34442,34100,34198,24900,6353,659,69,163303,8586,2980,3686,3700,4680,9758,21103,12983,4310,71779,1327,1983,3526,3070,3221,2711,2249,1372,718,20169,21583,21871,41645,40866,42096,37366,29703,15016,5092,255245,1390,6758,15794,15458,18270,10661,1294,60,9,69693,8212,6613,11422,14830,13993,10349,2770,231,21,68436,348,488,1978,1021,929,935,217,21,3,5936,214,237,419,405,374,285,103,52,17,2104,10164,14100,29604,31706,33559,22239,4380,369,50,146170,615,896,1180,1021,1053,645,25,8,3,5448,1682,805,1012,1018,830,626,107,5,3,6089,2297,1697,2192,2046,1883,1271,131,15,4,11536
SOSR311,891,3268,8922,8478,8905,6108,835,61,8,37466,2076,1217,1563,1268,1358,1464,720,110,12,9785,90,107,314,253,346,366,87,6,0,1583,68,127,249,195,204,114,36,22,3,1010,3120,4722,11042,10197,10809,8050,1672,199,23,49845,558,851,963,768,758,656,23,3,0,4586,514,207,189,136,120,177,45,5,0,1392,1070,1061,1143,909,882,833,70,8,0,5980,4188,5781,12188,11104,11695,8885,1744,206,23,55825,3097,806,1213,1405,2126,4271,9171,5913,1859,29871,387,542,1306,1197,1419,1256,945,649,306,8005,7674,7126,14719,13707,15234,14415,11866,6773,2193,93700,575,2356,4967,4776,5753,3424,359,18,0,22227,2802,1853,3989,4537,4617,3328,726,77,8,21936,110,150,650,310,317,315,74,8,0,1935,81,83,137,146,144,106,37,22,10,757,3565,4443,9738,9772,10830,7173,1198,123,15,46861,329,348,541,475,504,255,9,0,0,2457,540,253,456,401,314,250,28,3,0,2241,870,598,997,874,821,505,37,4,0,4703
SOSR312,237,825,2180,2207,2192,1344,174,12,3,9173,433,291,352,276,270,302,125,19,0,2065,32,16,85,72,90,92,21,0,0,408,14,26,63,56,50,31,3,5,0,251,714,1165,2674,2606,2604,1773,324,42,6,11901,134,304,326,277,246,194,7,3,0,1488,108,40,28,15,21,38,15,0,0,269,241,347,352,289,268,233,23,3,0,1758,954,1511,3031,2899,2868,2006,348,40,6,13653,721,195,328,377,560,1107,1862,1088,346,6590,117,134,268,305,297,259,179,112,32,1707,1794,1835,3626,3585,3723,3374,2385,1241,385,21954,123,542,1143,1017,1130,620,61,3,0,4643,574,422,868,1003,1029,663,152,17,3,4729,19,28,142,66,82,64,15,0,0,416,27,19,21,26,30,13,9,0,0,142,732,1008,2180,2113,2270,1358,244,18,3,9928,71,126,162,153,161,65,0,0,0,726,115,64,128,108,80,46,3,0,0,553,184,193,284,257,241,107,3,0,0,1278
SOSR313,669,2398,6162,5906,5868,3998,695,56,13,25763,1212,710,910,769,894,1004,559,95,11,6168,85,92,231,231,224,280,84,8,3,1239,61,84,140,145,139,83,42,19,10,714,2027,3279,7448,7053,7124,5371,1373,178,32,33882,299,414,482,368,362,333,26,3,0,2287,305,98,87,73,73,110,25,0,0,772,601,516,570,442,428,442,52,5,0,3060,2630,3798,8019,7497,7549,5810,1422,187,31,36938,2045,485,727,896,1242,2812,6120,3776,1175,19277,290,382,868,797,821,694,585,388,236,5074,4963,4665,9618,9191,9613,9322,8130,4351,1444,61287,468,1548,3258,3141,3861,2290,262,19,3,14846,1761,1182,2586,3180,3030,2263,567,62,6,14644,62,106,455,236,214,267,55,4,0,1406,71,52,101,94,96,57,34,21,5,521,2360,2894,6410,6654,7191,4872,918,100,17,31418,208,224,300,226,296,133,4,3,0,1393,290,129,270,221,184,156,19,4,0,1265,496,353,564,449,477,285,21,7,0,2661
SOSR314,755,2285,6339,6609,6347,4229,781,76,12,27431,1271,687,970,785,875,1004,575,99,8,6278,80,85,222,242,266,259,85,13,3,1253,93,100,185,162,149,86,32,14,4,831,2201,3152,7712,7805,7647,5578,1480,195,30,35798,245,358,491,379,419,361,21,0,0,2277,225,87,97,63,61,87,32,5,4,655,466,444,589,439,475,448,58,10,3,2933,2670,3595,8301,8240,8122,6029,1540,203,32,38732,2024,465,705,774,1073,2294,5092,3191,1012,16630,344,426,1045,878,866,771,684,385,143,5549,5035,4483,10051,9901,10070,9098,7308,3780,1189,60910,425,1577,3465,3334,3885,2211,309,22,3,15218,1658,1108,2748,3421,3051,2160,533,57,9,14743,87,110,480,288,251,229,52,5,0,1495,85,46,113,121,111,64,32,14,3,603,2251,2839,6809,7162,7301,4662,914,105,20,32059,140,184,276,276,266,148,15,0,0,1303,237,114,244,247,195,139,22,0,0,1199,381,300,516,524,462,291,32,3,0,2508
SOSR315,1089,3148,8554,9338,9278,6556,1110,97,8,39183,1600,967,1249,1379,1570,1761,862,144,17,9554,87,113,328,350,387,454,121,20,0,1854,95,134,256,235,241,178,59,25,3,1236,2877,4365,10387,11303,11483,8955,2158,281,34,51830,448,581,817,624,639,584,41,7,0,3746,370,144,153,97,104,174,52,9,0,1107,823,725,968,719,747,763,98,13,0,4851,3694,5086,11355,12020,12227,9713,2254,300,32,56683,3380,1168,1840,1934,2484,4804,10042,5472,1441,32558,453,666,1592,1442,1476,1419,1173,660,299,9176,7523,6919,14780,15391,16190,15934,13476,6433,1782,98419,552,2148,4648,4739,5658,3442,458,34,7,21676,2289,1560,3694,4793,4717,3635,898,82,9,21660,100,156,638,374,377,388,90,14,0,2141,114,87,151,163,158,151,52,24,8,905,3060,3956,9126,10061,10904,7616,1495,147,20,46385,274,320,457,410,445,279,8,0,3,2199,355,187,363,341,280,224,31,3,0,1783,633,511,817,752,721,500,38,3,3,3984
SOSR321,417,1036,2633,3298,3894,2882,539,57,8,14757,616,325,458,564,733,907,427,62,5,4103,34,41,101,165,194,211,63,6,3,829,42,43,97,93,89,78,34,5,4,495,1116,1452,3293,4117,4910,4083,1057,132,22,20184,151,211,291,269,344,340,27,5,3,1638,110,50,56,43,49,71,23,3,0,403,258,257,346,313,386,414,46,11,4,2037,1375,1712,3636,4430,5296,4495,1105,141,23,22220,1398,471,734,847,1251,2283,4661,2147,552,14351,199,209,405,479,585,576,543,247,77,3320,2978,2392,4771,5762,7137,7352,6312,2535,654,39891,204,637,1384,1800,2355,1609,218,19,3,8227,884,561,1273,1914,2083,1699,388,31,12,8851,40,52,189,145,188,145,49,4,0,814,31,27,54,66,76,51,35,8,0,356,1163,1270,2900,3925,4701,3510,691,65,14,18249,115,116,187,180,200,147,6,0,0,942,131,70,130,140,136,94,5,0,0,713,243,180,321,318,335,239,12,0,0,1652
