SOSR_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
SOSR203,58,524,6325,27805,11606,1597,364,1085,49368,29,1360,3348,1182,148,16,11,226,6320,4,139,476,602,102,3,0,32,1361,34,1502,3825,1786,249,22,12,255,7684,23,577,924,255,17,4,3,94,1891,3,33,68,3,0,0,0,5,107,0,46,93,32,7,3,3,8,186,0,0,3,0,0,0,0,0,4,30,654,1084,293,21,3,6,105,2189,11,82,109,75,71,15,7,17,399,0,10,47,63,24,3,0,15,170,138,2775,11388,30025,11979,1641,385,1472,59805
SOSR211,88,707,8986,46974,24879,2821,491,1916,86861,33,1420,5140,3208,793,50,23,416,11080,0,54,376,621,166,21,8,40,1291,37,1478,5516,3826,955,75,24,458,12374,15,457,1038,324,29,3,7,92,1967,0,37,48,14,4,0,0,10,121,0,14,0,4,0,0,0,0,23,0,3,0,0,0,0,0,0,3,15,514,1093,338,34,4,7,107,2112,24,69,63,54,22,0,0,20,255,7,45,82,102,53,9,7,43,337,170,2812,15738,51299,25949,2903,529,2548,101942
SOSR212,54,341,4797,29316,14737,1794,298,1180,52524,41,662,3376,1160,100,8,3,285,5630,0,30,228,286,37,3,0,19,607,41,694,3609,1444,135,14,3,295,6236,21,557,1867,472,18,0,3,203,3144,0,65,18,9,3,0,0,7,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,629,1889,483,22,0,3,208,3250,25,93,68,33,10,0,0,22,255,0,18,55,53,19,4,0,41,187,141,1777,10414,31327,14923,1812,309,1753,62461
SOSR213,85,619,8167,45262,23335,2578,467,1927,82441,45,1184,4207,1388,225,19,18,362,7441,0,122,263,446,92,16,4,32,976,48,1307,4473,1831,318,26,21,395,8418,5,604,1963,358,17,0,0,158,3117,0,17,32,11,0,0,0,3,67,0,0,11,3,0,0,0,0,15,0,3,0,0,0,0,0,0,4,5,621,2004,372,18,0,4,166,3204,54,149,101,58,19,3,0,31,420,0,30,64,115,47,11,9,84,354,195,2722,14810,47641,23742,2620,502,2604,94837
SOSR214,82,573,6751,25976,11573,1472,276,1272,47974,24,544,1349,590,54,5,3,126,2699,0,3,77,121,16,0,0,0,216,19,551,1419,710,73,11,3,129,2914,10,424,1243,244,22,6,3,120,2074,0,0,34,3,0,0,0,3,42,0,17,20,3,0,0,0,3,43,0,0,5,0,0,0,0,0,9,10,440,1304,253,24,6,3,123,2168,46,150,161,44,17,0,4,31,459,12,32,79,99,36,10,3,36,304,169,1742,9713,27086,11726,1496,297,1596,53821
SOSR215,95,1068,10214,41157,18444,2395,467,1918,75762,11,546,1378,534,40,5,4,178,2703,0,17,78,129,14,4,5,8,248,16,561,1453,664,57,14,8,187,2950,22,526,1278,298,23,4,10,141,2305,0,11,8,3,0,0,0,0,27,0,7,0,5,3,0,0,0,13,0,0,0,0,0,3,0,0,7,22,540,1294,304,23,3,10,144,2352,75,302,217,257,84,20,12,86,1055,3,31,77,176,64,5,23,55,435,214,2508,13262,42554,18674,2433,518,2387,82548
SOSR221,34,423,3531,11562,5186,718,153,550,22162,14,88,122,41,4,4,0,27,299,0,0,3,30,3,0,0,0,37,14,88,123,73,9,4,0,27,343,4,77,77,15,0,3,0,19,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,4,82,77,19,3,0,0,19,215,61,232,84,63,18,3,4,50,513,0,9,34,48,23,0,0,18,135,119,830,3860,11766,5239,732,157,670,23363
SOSR222,29,274,2098,7288,3029,426,97,363,13605,0,15,50,65,18,0,0,10,159,0,4,7,16,0,0,0,0,33,0,23,60,76,20,0,0,11,191,3,84,60,25,0,0,3,21,196,7,4,6,4,0,0,0,0,18,0,6,16,9,4,0,0,0,37,0,0,0,0,0,0,0,0,0,8,94,79,38,8,3,5,27,254,20,42,42,55,24,3,11,12,197,0,16,20,51,25,8,6,17,146,52,443,2303,7506,3108,434,116,431,14393
SOSR231,375,2689,14221,61109,45547,8876,2072,2885,137775,3,50,101,109,60,14,4,13,361,0,4,46,49,9,3,3,0,119,3,52,154,164,71,20,8,11,480,16,92,87,100,13,3,0,12,330,0,0,0,0,0,0,0,0,5,0,10,40,9,0,0,0,3,66,0,4,4,0,0,0,0,4,21,16,108,130,117,21,5,3,17,419,166,632,459,260,99,21,18,149,1802,12,56,192,470,286,71,24,115,1224,570,3539,15157,62113,46020,8996,2123,3177,141696
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR301,523,3197,30577,222762,211160,47338,9822,9428,534804,180,2643,10831,7953,722,56,34,1280,23693,131,2248,13813,32461,2241,198,64,1251,52407,310,4892,24641,40414,2957,254,96,2536,76100,602,9873,16976,5523,489,102,105,1266,34943,381,3865,21027,3921,226,30,43,627,30112,506,7764,17628,6384,340,31,25,758,33437,3,42,63,22,8,0,3,15,152,1491,21544,55693,15856,1065,169,171,2663,98640,329,1305,820,481,173,53,22,234,3415,46,318,512,658,327,82,52,614,2601,2693,31264,112236,280163,215681,47892,10171,15461,715565
SOSR302,105,514,4969,40422,50939,9896,2123,2110,111081,79,498,6886,6649,359,33,25,556,15080,37,611,5757,16766,1968,143,44,577,25909,116,1111,12651,23419,2322,182,64,1130,40983,175,1564,4411,1346,179,30,25,352,8072,54,2402,8685,1548,66,10,11,459,13237,234,4064,9936,3145,192,17,19,508,18111,0,19,17,3,0,0,0,3,39,464,8042,23048,6039,436,56,54,1326,39467,139,527,393,112,34,8,7,86,1318,14,108,208,177,100,16,5,273,905,839,10304,41271,70168,53845,10149,2252,4927,193760
SOSR303,179,1151,10471,78396,68419,10880,2043,3197,174732,118,1720,11291,5272,289,28,20,771,19519,85,1093,6321,4532,434,44,30,337,12872,199,2816,17612,9808,727,69,47,1105,32387,255,2533,8334,2539,206,20,23,604,14519,60,865,4568,1657,49,3,7,208,7418,44,788,4104,2730,158,11,3,241,8086,0,34,12,0,0,0,0,0,52,363,4218,17012,6932,416,38,33,1061,30070,327,738,562,201,114,20,14,157,2133,23,224,277,304,124,18,19,298,1281,1092,9140,45930,95639,69800,11020,2153,5823,240599
SOSR311,79,585,7040,35221,24125,3528,662,1504,72738,53,704,3722,1595,132,12,10,271,6491,28,611,1138,993,88,11,3,123,2998,82,1310,4865,2588,221,22,10,390,9485,41,704,2332,725,55,3,11,198,4067,0,24,155,49,5,0,0,11,248,0,61,231,254,19,3,0,15,592,0,0,3,7,0,0,0,0,11,41,789,2732,1038,83,5,14,226,4920,164,510,185,116,33,10,0,114,1123,16,58,105,134,40,14,16,170,562,381,3259,14925,39095,24495,3574,693,2412,88835
SOSR312,20,122,1699,8565,5749,813,135,345,17445,5,220,451,184,11,3,0,36,918,0,51,252,300,22,0,0,16,639,10,271,704,478,33,0,0,54,1555,6,154,666,153,8,0,0,57,1058,10,29,64,22,0,0,0,3,123,3,7,184,25,0,0,0,4,224,0,0,0,0,0,0,0,0,0,19,196,917,202,14,0,0,73,1408,29,62,40,13,7,0,0,17,171,0,8,9,16,5,0,0,5,52,70,657,3371,9274,5818,823,140,499,20639
SOSR313,57,410,4020,22454,17661,2417,440,1089,48547,22,491,2337,1059,76,8,3,165,4154,23,272,900,567,44,9,0,46,1858,40,764,3238,1624,114,10,6,211,6017,28,695,1672,479,56,6,3,135,3072,0,32,221,79,0,0,0,8,344,0,16,170,91,3,0,0,9,289,0,3,3,0,0,0,0,4,11,33,747,2059,644,58,11,3,153,3707,94,309,109,75,40,13,0,79,707,10,32,56,93,51,10,3,51,312,232,2258,9483,24891,17925,2461,454,1584,59285
SOSR314,83,573,3998,20827,17709,2504,533,1069,47293,50,205,1036,694,58,0,3,106,2149,3,63,470,458,34,4,0,30,1069,53,268,1505,1155,95,9,3,136,3218,34,373,1964,582,57,6,7,159,3188,3,20,154,30,3,0,0,7,216,0,31,59,41,0,0,0,3,131,0,6,12,11,0,0,0,0,30,40,429,2182,670,62,9,5,175,3569,130,356,225,179,64,12,17,81,1062,4,28,67,68,28,7,7,67,280,315,1657,7977,22894,17959,2529,564,1520,55417
SOSR315,161,1166,8666,35310,25417,3797,827,1885,77230,18,388,1326,589,68,5,3,119,2520,3,85,565,242,83,3,3,46,1024,24,474,1890,834,152,7,3,159,3550,30,483,1851,513,61,7,7,241,3189,12,46,111,28,4,0,0,7,205,0,14,35,8,0,0,0,3,60,0,4,3,3,0,0,0,0,14,40,544,2001,549,66,7,4,253,3463,296,707,274,149,64,6,6,239,1753,10,56,78,114,62,11,9,75,421,532,2956,12909,36958,25762,3836,858,2611,86419
SOSR321,148,908,4710,14891,8895,1654,415,813,32434,5,112,291,110,48,7,3,25,594,0,7,28,32,0,0,0,0,73,5,117,313,147,50,11,5,28,670,5,127,377,97,26,8,7,50,693,0,4,6,18,0,0,0,0,28,0,11,0,3,3,0,0,3,18,0,7,4,0,0,0,0,0,13,9,147,392,113,24,12,7,52,751,172,382,156,95,38,9,14,104,958,22,68,105,155,77,18,13,44,497,349,1620,5676,15397,9092,1696,445,1036,35309
SOSR322,81,518,2905,7107,3402,601,178,467,15265,3,26,122,111,21,3,0,12,303,0,0,25,11,10,5,0,0,54,3,30,144,121,28,7,3,13,355,3,87,194,29,0,0,4,17,335,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,95,196,31,0,0,4,17,346,103,217,88,61,18,4,9,97,594,9,32,34,51,19,10,5,40,202,205,881,3368,7381,3475,621,195,641,16758
SOSR331,938,5000,16958,55052,43130,10412,3378,3204,138072,9,52,167,180,94,21,7,27,556,0,3,29,25,26,15,4,0,105,9,61,196,205,120,32,13,27,658,6,78,134,66,32,13,4,33,360,0,0,3,0,0,0,0,0,4,0,3,3,3,0,0,0,0,16,4,17,10,12,3,3,4,4,60,8,96,158,81,34,17,9,34,437,608,1327,540,367,206,46,44,430,3577,34,145,202,418,304,93,58,245,1503,1599,6631,18054,56128,43798,10597,3498,3939,144249
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR401,316,2550,29867,195274,77232,12031,2161,5372,324804,183,5056,27979,22416,2096,220,103,1881,59934,30,731,5942,11372,1929,264,42,454,20770,213,5791,33922,33787,4029,484,144,2333,80704,153,5175,19133,2814,130,37,32,878,28344,42,552,2838,359,21,0,8,142,3960,69,1262,3286,811,58,10,6,119,5622,0,35,27,16,3,0,0,4,86,268,7023,25289,3998,209,43,48,1142,38014,79,271,294,238,77,21,12,60,1057,14,117,271,505,145,22,14,159,1254,890,15744,89640,233808,81692,12608,2380,9071,445836
SOSR412,27,192,2098,11922,5699,764,136,369,21196,31,353,1677,3457,229,41,29,230,6044,0,3,39,72,10,0,0,0,123,31,353,1710,3529,240,41,29,227,6166,38,191,837,259,11,0,0,65,1394,0,3,19,0,0,0,0,0,21,0,0,9,4,0,0,0,0,16,0,0,0,0,0,0,0,0,3,38,188,862,267,16,0,0,63,1439,16,41,7,17,14,3,0,4,90,0,10,34,33,16,0,0,12,100,106,778,4714,15765,5974,808,170,673,28988
