SOSR_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
SOSR303,52729,7340,5067,1238,225,66590,68189,4012,3634,130,190,76157,31258,11788,13779,98,256,57187,3718,2232,2022,11,35,8017,10758,3016,3222,104,143,17239,315,353,290,3,11,978,2300,431,474,358,69,3633,620,220,209,24,10,1089,48980,18044,19998,594,521,88139,1143,1763,275,25,34,3242,3687,1234,1104,147,307,6477,174732,32387,30070,2133,1281,240599
SOSR311,24906,1470,671,632,91,27769,25568,763,321,51,62,26772,11823,3715,2111,41,96,17784,1730,1437,542,3,13,3724,5289,877,531,38,56,6793,188,308,172,3,4,677,535,193,106,243,39,1113,300,94,50,6,10,460,19863,6618,3510,338,220,30547,652,239,171,11,17,1090,1749,404,244,93,170,2654,72738,9485,4920,1123,562,88835
SOSR312,5352,138,90,89,11,5673,6136,101,56,3,9,6311,3369,708,779,11,3,4872,537,274,220,5,0,1031,1233,89,97,0,12,1433,62,91,30,0,0,176,246,42,36,42,5,376,74,22,15,3,0,114,5521,1224,1171,60,21,8001,65,29,20,0,0,119,377,65,71,12,5,533,17445,1555,1408,171,52,20639
SOSR313,15576,1189,418,407,47,17635,16639,473,282,56,59,17507,9360,2105,1607,20,50,13141,978,636,377,6,9,2004,3420,518,425,32,31,4424,133,229,139,4,3,508,773,236,153,105,38,1302,218,45,57,6,6,336,14883,3767,2749,165,144,21720,251,341,100,15,9,709,1191,240,157,66,55,1711,48547,6017,3707,707,312,59285
SOSR314,14528,455,362,537,60,15936,16546,220,198,92,46,17097,8603,1337,1694,102,46,11778,1112,318,433,8,4,1873,3108,309,343,63,31,3858,218,105,124,0,3,445,1492,258,193,158,12,2116,259,33,42,15,3,345,14783,2360,2828,344,104,20420,215,42,25,12,3,297,1218,141,162,76,73,1679,47293,3218,3569,1062,280,55417
SOSR315,24788,516,315,879,97,26599,26450,332,205,110,77,27176,12170,1222,1322,55,62,14834,2819,352,503,4,3,3680,5045,237,319,59,45,5704,355,168,127,0,4,648,2654,310,335,353,41,3690,504,67,47,40,9,655,23542,2353,2654,506,157,29210,321,178,48,34,13,595,2133,165,242,216,74,2832,77230,3550,3463,1753,421,86419
SOSR321,11733,95,63,563,164,12626,11369,46,36,91,95,11629,2928,100,226,10,36,3298,1522,180,138,10,21,1868,2403,46,92,56,44,2645,297,66,43,3,4,411,799,72,89,102,58,1124,266,3,15,17,8,309,8211,471,595,197,181,9653,208,24,3,28,13,275,912,29,47,85,43,1126,32434,670,751,958,497,35309
SOSR322,5940,93,23,335,60,6452,4517,62,11,49,38,4668,1208,81,93,6,13,1400,990,55,66,6,4,1118,1204,35,34,31,11,1320,112,13,53,0,0,179,485,9,41,57,26,615,162,3,10,10,3,184,4161,189,301,108,56,4817,105,0,3,11,7,122,541,15,16,87,35,703,15265,355,346,594,202,16758
SOSR331,56167,189,67,1751,472,58643,52409,133,58,500,368,53469,7647,134,120,50,65,8018,369,36,13,4,5,430,10445,66,77,231,167,10975,168,16,17,4,4,212,3497,35,25,458,110,4136,2177,17,20,109,50,2366,24307,299,271,862,395,26131,1502,14,5,79,26,1625,3689,29,33,389,238,4379,138072,658,437,3577,1503,144249
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
