SOSR_CODE_2016,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOSR512,177,300,479,508,473,318,83,9,0,2343,143,203,390,427,448,321,114,31,3,2081,3431,4324,10266,11132,11842,8438,1935,223,23,51617
SOSR513,54,142,355,256,185,110,21,3,0,1125,74,143,322,297,285,151,37,10,4,1311,1180,2034,7210,6369,5334,3342,621,86,16,26200
SOSR514,30,68,124,151,117,71,17,3,0,586,33,71,140,156,142,95,27,3,0,669,761,1126,3353,3656,3182,2213,519,36,11,14850
SOSR515,104,177,351,294,269,177,56,7,0,1430,83,132,284,281,296,240,90,21,4,1438,1815,2857,7508,7909,8145,6142,1515,215,23,36136
SOSR521,54,71,131,132,130,106,22,7,0,652,53,82,145,146,187,156,69,26,0,862,764,1213,3154,3528,4333,3402,925,133,9,17460
SOSR522,20,42,105,66,75,55,22,3,0,389,20,24,61,53,88,67,21,10,0,355,271,526,1511,1375,1749,1535,456,74,8,7494
SOSR531,179,260,444,536,622,451,106,18,0,2618,194,278,502,653,882,706,266,97,21,3580,3436,5026,13096,16105,20884,16199,5265,1003,135,81157
SOSR579,0,0,0,0,0,0,0,0,0,0,0,3,16,20,15,10,0,0,0,60,0,19,100,98,82,35,4,0,0,334
SOSR599,0,0,12,9,7,3,0,0,0,44,3,12,41,28,24,23,4,0,0,126,26,202,598,332,308,266,40,0,0,1773
SOSR603,104,274,644,598,593,466,153,27,0,2856,136,215,491,428,468,323,124,46,15,2248,4065,7310,16854,16685,17352,13012,2848,327,50,78514
SOSR611,61,169,278,226,275,181,44,4,0,1246,58,99,211,210,201,171,55,19,3,1023,1957,3412,6508,6516,7228,5315,1110,130,17,32194
SOSR612,17,49,94,86,83,49,18,0,0,403,14,23,75,66,65,58,28,9,6,333,578,778,1760,1744,2080,1508,338,40,5,8822
SOSR613,15,69,112,97,128,85,19,0,0,530,34,44,69,84,84,75,29,4,3,423,893,1161,2274,2355,2954,2234,376,47,4,12309
SOSR614,10,24,31,31,30,25,7,0,0,151,8,20,30,25,43,20,18,5,0,166,218,359,791,720,900,714,142,19,0,3870
SOSR615,49,109,194,200,170,165,35,5,0,925,65,75,169,162,194,166,59,15,3,910,1264,2014,4479,4752,5592,4487,919,95,14,23622
SOSR621,11,11,66,58,78,41,11,3,0,272,23,22,54,66,78,50,11,5,3,315,382,549,1353,1614,1846,1602,363,46,11,7766
SOSR622,10,25,43,26,39,33,11,0,0,186,12,15,29,28,39,31,8,0,3,157,218,315,677,858,1190,1065,254,40,7,4621
SOSR631,91,172,256,299,370,276,68,8,0,1543,110,124,223,337,440,352,142,45,5,1776,2341,2869,6053,8776,11851,9679,2539,423,63,44577
SOSR679,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,21,3,14,9,0,0,0,47
SOSR699,0,3,4,0,0,0,0,0,0,6,0,0,8,3,8,0,0,0,0,18,12,22,86,47,46,23,0,0,0,247
SOSR703,115,228,555,422,372,219,60,7,0,1969,152,280,717,577,535,309,87,14,6,2680,2697,6037,17916,14111,11788,7535,1701,144,14,61953
SOSR712,31,47,138,107,113,70,10,0,0,515,29,37,119,80,80,69,20,5,0,438,593,869,2951,2550,2625,1983,437,35,0,12045
SOSR714,3,13,34,17,17,24,9,0,0,113,7,12,19,21,22,9,6,0,0,92,134,243,738,506,512,371,112,4,0,2620
SOSR715,10,37,95,88,80,53,9,0,0,378,20,43,82,69,65,37,0,3,0,328,175,369,1148,1104,1062,721,139,16,0,4731
SOSR721,8,36,59,79,56,42,10,0,0,293,25,31,68,49,52,29,8,0,0,267,138,388,1178,984,914,598,121,11,0,4320
SOSR722,10,29,78,63,55,18,13,0,0,271,10,19,23,32,31,15,6,0,0,139,89,216,591,570,626,472,119,11,7,2708
SOSR731,42,81,130,125,162,87,20,0,0,654,38,71,129,175,166,109,36,14,0,733,682,1169,2707,3019,3401,2134,555,67,4,13740
SOSR779,0,0,3,0,0,0,0,0,0,3,0,0,3,4,3,0,0,0,0,9,0,0,8,9,9,0,0,0,0,28
SOSR799,0,0,0,0,0,0,0,0,0,9,0,4,12,6,4,9,0,0,0,36,18,75,169,97,111,89,11,0,0,574
SOSR802,333,792,1503,1298,1154,733,241,21,5,6081,301,625,1387,1201,965,562,212,47,25,5330,10698,20867,52482,47990,41658,24706,5791,590,78,204869
SOSR822,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,6,14,7,12,29,38,24,10,0,0,130
SOSR831,0,3,0,3,6,0,0,0,0,18,3,0,3,3,3,0,0,0,0,11,25,34,85,114,94,52,20,5,0,424
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR899,0,0,0,0,0,0,0,0,0,5,0,6,3,0,0,4,0,0,0,11,10,39,57,41,28,26,3,0,0,202
SOSR915,0,0,4,3,6,3,0,0,0,19,0,0,3,6,6,8,4,0,0,39,9,48,155,163,197,161,81,4,0,820
SOSR921,0,0,0,0,8,4,0,0,0,13,0,0,0,6,3,3,5,0,0,15,21,16,44,98,102,93,47,14,0,436
SOSR922,0,0,0,3,0,0,0,0,0,4,0,7,0,9,10,7,3,0,0,32,15,31,72,70,60,55,13,0,0,321
SOSR931,0,0,3,4,8,0,0,0,0,12,0,0,4,3,11,3,0,0,0,25,29,18,56,112,141,136,62,14,4,573
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6
SOSR999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,0,0,11
