SOSR_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
SOSR179,3,10,17,32,37,69,0,0,0,7,0,5,0,0,0,47,71,120,0,0,0,4,6,13,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,3,3,5,15,0,0,0,0,0,3,7,7,18,3,3,5,0,0,0,104,143,249,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,40,48,85,0,0,0,0,0,0,40,49,88,20,36,60,171,239,412
SOSR199,100,107,211,785,549,1339,4,0,8,44,37,79,0,0,0,912,731,1643,0,3,3,43,38,83,21,11,31,58,24,81,11,13,32,15,7,17,26,25,48,34,43,75,134,104,238,9,13,26,21,19,46,143,146,292,147,138,281,8,5,9,2419,1912,4328,73,48,122,150,70,222,17,10,24,11,7,17,13,3,14,31,26,60,54,39,91,2021,1415,3434,33,27,57,21,26,52,2073,1463,3537,2461,1286,3744,7351,4939,12288
SOSR201,75283,92602,167889,135738,169125,304866,1333,1352,2684,25780,29845,55630,777,791,1561,460345,516420,976761,2832,3604,6439,93019,97869,190891,4097,5223,9322,4285,4635,8922,6038,7697,13732,7428,7621,15049,7882,9118,16998,18554,21608,40161,29129,34658,63788,2309,3242,5555,3347,3936,7285,39628,53934,93563,50270,58189,108464,1708,2004,3716,894495,1030875,1925372,68366,58604,126973,97290,86991,184279,19940,21525,41468,89,106,189,26829,21390,48220,6675,7924,14601,33591,29420,63010,666868,623686,1290558,6589,5349,11944,2587,3881,6473,676053,632923,1308975,191077,187159,378238,2056095,2140106,4196198
SOSR203,786,995,1779,6749,8716,15462,0,0,0,1390,1608,2997,87,74,160,18807,21863,40672,115,157,271,1398,1429,2826,181,245,432,96,107,197,589,785,1372,48,41,94,168,246,412,482,551,1030,2049,2466,4518,164,222,384,77,111,188,3176,4487,7669,1917,2306,4216,53,88,142,37553,45495,83049,899,596,1490,1313,1022,2339,38,38,78,10,3,10,348,300,650,213,253,474,577,563,1133,26888,25074,51964,299,216,515,133,157,287,27319,25441,52759,7153,7322,14467,75635,81462,157104
SOSR211,1155,1520,2674,14553,18013,32567,4,5,10,1903,2196,4096,251,219,471,31257,35880,67137,460,639,1100,966,970,1932,419,571,992,344,392,738,765,875,1647,156,158,311,337,400,738,1215,1445,2658,2899,3566,6464,342,478,819,241,312,552,6598,8959,15557,3040,3496,6544,73,79,156,65819,78660,144482,1208,1127,2333,1099,961,2057,47,58,104,20,19,41,612,556,1167,315,497,816,949,1073,2020,49114,45775,94891,477,393,865,153,275,428,49743,46448,96188,13055,12810,25869,133073,142654,275731
SOSR212,653,901,1552,8508,10706,19214,0,5,9,703,791,1496,141,158,303,20951,23887,44833,231,270,500,883,884,1770,218,329,545,191,248,445,503,650,1150,60,39,105,227,253,474,742,896,1635,2461,3038,5499,185,301,483,173,230,395,3426,4751,8179,1628,1945,3574,40,56,103,41278,49437,90717,561,511,1072,2445,2110,4553,30,35,65,25,16,41,520,452,976,139,225,367,691,693,1387,27777,25310,53088,237,184,419,96,128,221,28107,25625,53729,8495,8682,17179,82267,87993,170256
SOSR213,739,1019,1759,15148,19071,34219,0,0,0,1569,1797,3361,295,306,600,27576,31160,58738,291,428,718,741,726,1465,392,512,906,164,207,372,1218,1456,2677,34,22,53,378,470,851,867,1032,1902,3592,4345,7941,368,534,901,158,215,373,6064,8708,14776,2447,2987,5432,67,77,144,61371,74053,135426,479,402,885,585,400,990,43,43,84,14,24,39,254,218,469,208,356,567,480,600,1077,44580,41142,85726,390,310,697,154,245,397,45120,41697,86823,11958,12019,23970,120784,130231,251012
SOSR214,430,619,1048,8808,10920,19729,3,0,4,628,774,1409,119,117,237,15011,16888,31899,148,191,340,417,382,795,218,298,513,67,84,148,515,658,1173,15,15,30,132,173,305,443,555,996,2219,2525,4746,236,324,561,81,117,196,3709,5169,8873,1128,1332,2459,26,42,68,33924,40550,74479,256,220,480,307,253,559,28,34,70,7,7,12,168,141,307,168,263,431,342,409,750,24173,22148,46327,202,171,373,78,125,204,24454,22447,46903,7491,7100,14595,67240,71633,138874
SOSR215,721,1037,1759,14393,17520,31916,3,0,6,1136,1312,2445,142,138,286,22243,24799,47042,182,227,411,578,557,1135,237,313,553,132,166,298,654,796,1457,29,29,61,287,332,614,681,794,1474,3249,3813,7070,250,350,598,205,243,440,5820,7877,13696,2053,2364,4423,65,77,140,52340,61707,114044,293,273,561,324,276,598,50,54,102,6,10,14,133,117,254,268,426,697,410,556,965,40117,36458,76580,287,279,558,152,282,439,40554,37021,77576,10679,10695,21372,105368,111612,216976
SOSR221,201,273,469,4138,4772,8911,0,0,0,344,390,735,3,7,11,5615,6031,11643,61,87,149,153,143,301,114,130,243,37,36,70,211,270,482,12,12,22,53,64,119,164,194,360,1039,1023,2061,45,80,124,67,82,156,1756,2219,3976,581,645,1222,27,24,51,14432,16201,30636,51,47,101,52,41,97,13,14,26,0,9,6,12,8,13,72,115,184,79,131,208,11884,10416,22306,96,80,177,49,67,113,12029,10567,22592,3334,3157,6491,30195,30425,60620
SOSR222,109,170,280,2738,3070,5812,0,0,0,154,182,335,0,0,3,3609,3824,7429,27,37,63,95,84,175,21,32,60,12,20,34,188,212,401,4,4,8,57,36,95,79,106,186,623,672,1296,31,44,69,29,57,87,1100,1356,2455,294,331,622,17,20,36,9079,10090,19169,22,17,42,22,24,51,8,6,21,3,9,8,23,15,36,53,86,140,80,106,181,7577,6498,14072,65,32,95,31,51,74,7673,6573,14245,2198,2020,4216,19200,19003,38204
SOSR231,1098,1474,2574,27793,29793,57587,14,10,27,2357,2544,4899,69,73,142,45368,44657,90022,401,471,873,1727,1470,3199,489,572,1059,229,242,470,1847,1942,3795,56,43,95,540,533,1074,1342,1469,2809,6976,6564,13540,356,418,772,419,498,915,13908,14789,28704,4573,4759,9335,148,178,323,108616,111018,219635,481,432,912,687,575,1265,99,123,227,23,19,38,371,278,650,423,650,1073,817,944,1763,74784,63933,138714,584,477,1058,276,373,646,75640,64779,140424,26422,20843,47258,213864,200186,414055
SOSR279,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,0,5,3,0,3,28,4,29
SOSR299,77,76,156,216,206,416,0,0,3,29,32,62,3,0,3,508,440,947,3,4,11,44,42,90,10,8,14,12,9,20,10,16,23,8,0,8,22,12,27,30,38,69,64,56,122,7,3,9,11,10,19,66,58,125,82,73,149,0,0,0,1125,999,2129,66,35,99,137,113,247,10,6,15,3,0,4,13,6,19,13,20,35,24,28,54,1410,1106,2512,23,17,46,9,18,34,1441,1142,2591,1451,838,2289,4331,3238,7565
SOSR301,18326,24321,42644,121540,141006,262542,32,25,56,21029,23518,44545,553,606,1162,209962,236927,446887,1146,1422,2564,10273,10781,21060,4067,5187,9255,5939,6530,12464,8509,10362,18873,992,964,1953,5817,6531,12346,15082,17598,32677,25501,28193,53699,2053,2751,4799,3703,4344,8045,39187,50450,89638,29481,33451,62935,2257,2564,4822,507127,583209,1090335,17296,15822,33124,17491,15999,33494,1044,1022,2066,112,110,225,6882,5453,12335,3418,4569,7990,10418,10137,20552,335103,299183,634288,4047,3131,7178,1585,2255,3839,340734,304568,645302,96588,90515,187107,1009029,1045588,2054614
SOSR302,3417,5206,8622,39851,47206,87056,16,14,34,3113,3482,6592,17,21,40,52569,60382,112948,354,471,826,2509,2767,5270,1208,1493,2707,1402,1466,2874,1669,2111,3782,266,241,511,871,1004,1871,3815,4544,8360,7141,8001,15145,364,481,849,568,684,1250,9226,11794,21018,7611,8994,16599,396,473,869,132967,155637,288598,2094,1897,3989,2354,2023,4371,575,611,1181,24,22,43,847,622,1472,746,1061,1805,1609,1701,3315,89968,81869,171833,813,674,1489,483,809,1290,91260,83348,174609,28183,27673,55862,262469,278089,540559
SOSR303,3184,4648,7833,47663,56169,103831,0,0,0,4645,5345,9991,168,149,319,69261,78668,147932,777,933,1717,1246,1439,2679,1479,1992,3473,718,871,1589,3625,4534,8159,172,126,300,1246,1448,2695,4921,6063,10977,9465,10926,20388,784,1041,1824,909,1188,2099,13229,17642,30866,9095,10706,19798,372,435,811,169783,199670,369450,2385,2064,4452,1896,1656,3548,279,247,527,74,71,146,889,737,1622,931,1328,2261,1894,2136,4032,104192,93197,197382,1194,984,2181,554,833,1390,105942,95010,200950,34223,31850,66068,319582,337288,656870
SOSR311,854,1213,2069,19522,22596,42119,0,3,3,2247,2540,4789,147,144,295,26682,29747,56430,186,225,410,242,269,505,626,833,1456,321,343,670,1406,1750,3154,34,31,63,495,582,1075,1598,1937,3532,4126,4390,8516,403,591,990,427,566,989,7516,9554,17072,3063,3490,6560,248,283,528,69290,79873,149163,747,672,1412,631,450,1078,38,38,70,33,34,70,186,153,341,268,382,654,488,569,1063,32317,28206,60523,389,298,684,164,226,392,32865,28728,61599,12180,10516,22699,117087,122062,239151
SOSR312,201,282,480,4467,4863,9338,0,0,0,499,552,1055,71,67,141,5348,5808,11153,94,107,196,98,82,178,150,180,332,66,59,125,287,372,658,3,0,7,249,250,501,354,428,782,1011,971,1984,97,148,245,45,53,99,1557,1906,3465,787,847,1633,56,43,95,15241,16739,31978,219,225,444,153,145,302,12,9,23,5,7,13,59,45,104,67,110,175,131,158,290,8830,7547,16372,95,74,169,27,47,75,8952,7666,16622,2882,2605,5486,27787,27834,55622
SOSR313,481,714,1190,12941,14901,27844,0,3,5,1479,1779,3256,195,198,390,16966,18897,35869,180,211,397,163,168,324,472,672,1145,294,316,606,1065,1299,2369,15,9,25,427,456,880,1231,1383,2614,2797,2979,5773,285,406,694,256,333,585,4603,5896,10499,2569,2820,5386,113,100,213,46049,52819,98869,292,277,578,174,173,352,34,25,59,27,19,48,100,88,188,191,332,517,315,437,759,22275,19723,41994,285,241,532,116,187,299,22674,20147,42821,8219,7768,15989,78241,82378,160616
SOSR314,554,807,1366,13434,14444,27884,0,0,0,1327,1423,2751,9,15,21,17663,19348,37012,183,214,400,244,264,501,568,745,1313,216,230,441,1059,1170,2238,13,13,25,243,282,524,1255,1429,2687,2607,2787,5391,195,250,446,365,477,842,4211,5067,9280,2126,2391,4520,151,138,283,45866,50686,96551,352,286,638,407,271,679,38,39,79,26,15,44,328,304,627,208,287,497,564,602,1162,21600,18946,40542,203,184,391,109,162,276,21912,19293,41209,8801,8141,16940,78499,80128,158624
SOSR315,816,1191,2000,22841,24441,47281,7,0,8,2515,2585,5102,229,246,475,25684,27413,53101,204,244,451,256,276,534,694,918,1605,269,294,558,2044,2267,4313,0,4,9,624,734,1351,1566,1846,3411,3850,3877,7729,340,450,783,434,496,931,7544,8894,16445,3389,3778,7167,342,370,709,72838,79134,151967,288,237,524,210,166,373,29,45,74,124,122,245,193,133,322,363,553,918,677,807,1487,34734,30274,65006,293,254,545,204,274,476,35229,30796,66024,15196,12502,27701,125283,124878,250156
SOSR321,315,481,797,10040,10634,20675,0,0,0,633,739,1372,30,31,61,9534,10177,19713,97,101,202,103,110,216,305,423,732,76,109,185,1073,1083,2157,0,0,0,280,298,572,609,723,1326,1635,1557,3189,172,205,375,203,222,421,2830,3179,6010,1284,1404,2690,105,124,231,29022,31112,60131,73,79,153,58,48,114,26,15,43,117,129,251,38,38,82,137,224,359,301,394,691,13860,11711,25570,139,118,256,62,114,175,14065,11943,26005,6080,4855,10938,49939,48934,98873
SOSR322,109,173,284,4714,4885,9595,0,0,0,255,289,551,5,8,15,4478,4398,8874,28,51,82,39,45,84,151,192,337,41,38,80,396,497,897,0,0,0,122,133,250,609,672,1280,843,719,1559,68,98,168,67,71,136,1385,1502,2883,671,666,1334,52,53,98,13918,14309,28228,27,13,41,18,17,33,9,20,31,39,29,72,16,16,30,65,88,148,120,133,248,5877,4755,10633,36,36,73,54,63,117,5966,4858,10823,2664,2327,4995,22828,21855,44685
SOSR331,1408,1912,3320,39873,40017,79888,0,0,0,3710,3758,7474,90,83,176,46308,44602,90906,536,581,1120,478,441,918,1169,1397,2568,423,474,898,4882,4867,9748,19,17,41,976,874,1851,2295,2413,4704,7839,7074,14909,562,652,1214,974,1036,2005,15020,15644,30665,7116,7231,14350,689,712,1399,132956,131870,264827,295,242,542,260,216,475,103,115,220,49,43,96,159,134,291,574,848,1426,792,1022,1810,58602,47832,106432,579,437,1015,396,541,941,59574,48815,108389,28747,22429,51177,224138,206625,430761
SOSR379,0,0,0,11,10,27,0,0,0,3,3,6,0,0,0,13,27,44,0,0,0,0,3,5,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,3,3,0,0,3,0,0,0,0,3,4,0,0,0,0,0,0,37,55,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16,33,0,0,0,0,0,0,20,16,33,8,12,22,66,87,150
SOSR399,93,82,179,854,785,1639,0,0,0,81,69,149,0,0,3,884,768,1651,7,12,19,17,18,37,31,30,61,22,17,41,48,44,86,0,0,0,29,28,61,57,65,118,177,150,329,23,18,41,21,20,44,229,232,462,183,197,380,6,9,15,2682,2458,5143,33,27,65,41,20,69,6,10,12,6,3,7,7,7,13,23,33,60,34,45,82,2148,1665,3817,21,19,39,28,25,44,2191,1707,3905,1846,1220,3063,6937,5572,12510
SOSR401,12173,15089,27268,49625,61452,111069,3,0,3,9030,10512,19547,242,273,515,106688,121389,228071,1245,1756,3003,18286,19184,37470,1647,2113,3758,1060,1294,2351,9429,11950,21379,842,825,1662,2221,2602,4822,6043,7250,13295,4657,5550,10207,1053,1477,2536,846,993,1844,27370,37414,64779,14649,17217,31866,1296,1453,2749,256236,304694,560926,11518,10440,21961,14517,12418,26929,416,450,865,83,74,158,4256,3683,7936,2414,3013,5425,6745,6774,13526,214632,194536,409173,2161,1820,3976,875,1347,2217,217666,197701,415373,50420,48372,98793,569694,595939,1165632
SOSR412,188,247,429,3825,4545,8370,0,0,0,597,736,1335,58,61,118,5969,7011,12986,87,107,198,216,221,435,142,179,319,81,88,163,1011,1247,2257,10,11,21,149,175,325,460,558,1018,944,1149,2096,146,180,328,45,55,105,2185,2882,5066,988,1052,2038,23,24,49,16934,20286,37216,129,122,248,90,84,170,6,0,10,8,14,24,27,19,43,101,137,236,134,164,301,15147,13618,28763,138,121,258,46,68,111,15331,13800,29136,3342,3272,6612,36154,37970,74124
SOSR413,357,486,839,5100,6128,11228,0,0,0,793,875,1664,60,63,130,7294,8508,15805,204,263,462,252,232,488,272,371,639,114,142,255,1975,2485,4460,7,5,7,164,183,350,649,815,1469,527,594,1113,202,254,456,106,112,214,4064,5385,9448,1388,1618,3005,121,131,251,23287,28172,51457,142,134,282,203,168,371,35,26,60,15,23,39,94,90,185,140,214,347,243,328,570,20747,18948,39689,183,148,329,90,129,221,21021,19224,40248,5778,4930,10705,51065,53463,104523
SOSR414,105,142,249,1276,1643,2916,0,0,0,118,126,251,0,0,0,1223,1445,2670,66,94,164,31,20,46,56,76,134,19,23,45,978,1196,2175,0,0,0,42,42,85,169,194,364,231,240,473,19,28,51,11,26,39,1170,1520,2682,355,403,761,21,20,39,5795,7104,12903,16,10,28,254,65,316,10,5,10,0,0,0,3,4,8,24,42,59,25,47,72,4266,3939,8208,34,19,55,23,41,67,4324,4001,8329,1036,1021,2053,11566,12399,23967
SOSR415,305,411,717,5553,6564,12114,0,0,0,566,616,1184,11,14,23,7163,7873,15035,216,288,506,597,506,1106,155,230,387,61,77,135,3490,4289,7779,8,8,18,157,198,361,534,667,1197,644,681,1330,134,197,323,86,115,204,5431,6921,12355,1357,1497,2854,83,98,185,26256,30842,57105,120,100,217,272,117,388,12,16,21,11,21,29,158,150,309,125,199,329,300,369,669,20889,18425,39317,144,129,269,77,105,183,21115,18663,39774,5319,5101,10424,53696,55612,109309
SOSR421,126,168,295,1799,2150,3949,0,0,0,192,195,387,0,0,3,2054,2223,4278,32,45,78,71,73,141,64,88,150,15,26,44,835,1003,1836,3,0,3,62,69,132,102,133,239,158,151,313,41,37,78,27,28,54,2114,2581,4692,369,403,774,26,30,60,7981,9238,17215,25,20,41,38,22,61,6,3,10,3,7,10,12,7,25,52,70,115,62,81,147,6423,5414,11839,58,51,106,26,34,62,6505,5495,12006,1641,1553,3195,16388,16584,32967
