SOSR_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
SOSR222,298,269,565,1307,1208,2513,169,144,314,100,116,214,1571,1464,3035,750,788,1540,236,257,487,136,133,272,1118,1184,2300,44,47,90,24,41,67,92,60,146,68,119,194,3,3,5,233,270,499,72,141,215,31,83,111,7,35,45,71,173,245,0,6,8,186,435,619,26,31,58,46,106,148,3,0,3,70,140,212,1793,1786,3578,5272,5544,10813
SOSR231,3010,2758,5772,11918,10932,22852,3844,3699,7542,1953,1974,3931,17712,16611,34322,7809,7521,15336,3813,3993,7809,2754,2909,5665,14373,14430,28807,504,526,1033,149,348,501,1467,635,2098,693,1367,2059,31,32,58,2849,2903,5753,1542,2548,4089,320,788,1103,240,432,679,662,1896,2562,8,34,45,2778,5704,8480,368,382,748,471,1115,1585,30,27,54,863,1525,2388,21553,17244,38796,63143,61172,124322
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,0,6
SOSR299,27,25,49,63,82,139,9,10,17,7,8,23,76,101,179,49,53,102,5,3,4,20,8,30,67,66,137,16,25,43,11,22,35,7,4,13,13,27,38,0,3,4,55,82,139,78,125,206,43,45,90,6,15,23,12,29,43,3,0,4,147,220,366,18,26,49,36,30,66,0,0,0,58,63,114,1310,734,2042,1743,1279,3025
SOSR301,13804,12670,26473,62509,58737,121238,17057,16647,33705,10345,10348,20690,89909,85732,175642,37451,35481,72937,15592,14682,30281,13820,13763,27585,66863,63934,130803,3749,4245,7992,3061,5611,8673,3656,3013,6674,5033,8749,13779,123,145,267,15621,21765,37384,31157,37655,68808,11652,13676,25325,3160,4335,7497,10226,15582,25801,155,225,377,56353,71467,127814,3185,4128,7313,3929,7377,11314,103,127,237,7224,11637,18859,65556,64860,130419,315333,332064,647397
SOSR302,3813,3572,7386,14618,13632,28250,2909,2930,5840,4184,4188,8368,21713,20748,42461,10040,9410,19450,2156,2087,4249,4477,4472,8944,16668,15967,32639,799,1010,1810,722,1443,2165,1147,843,1994,1442,2453,3888,38,39,76,4145,5785,9936,5878,7474,13354,2299,2954,5253,611,962,1576,1649,3228,4872,56,61,118,10492,14676,25170,742,991,1726,1006,2055,3064,24,21,49,1770,3071,4842,20910,21810,42717,79510,85640,165152
SOSR303,3955,3509,7458,18194,17064,35262,6136,6341,12476,4009,3925,7938,28342,27332,55675,12389,11846,24239,5128,5110,10238,4227,4132,8364,21750,21093,42839,750,911,1665,648,1504,2150,1161,1114,2282,1571,3099,4667,37,54,92,4175,6680,10850,5167,7687,12857,2539,3832,6369,778,1278,2060,2744,5269,8012,47,59,103,11278,18123,29404,633,873,1497,1104,2260,3362,44,45,85,1780,3175,4953,26178,25637,51817,97449,105550,203000
SOSR311,1313,1201,2513,6918,6428,13343,2261,2291,4555,1186,1137,2323,10364,9857,20213,4410,4138,8549,2219,2198,4421,1274,1339,2609,7911,7672,15581,183,225,411,167,343,507,416,474,889,487,1042,1530,24,16,41,1274,2099,3373,780,1305,2089,416,861,1275,268,504,774,782,1637,2418,11,14,24,2255,4327,6581,207,266,478,353,752,1104,12,19,31,572,1035,1610,10037,9144,19181,33722,35336,69060
SOSR312,342,317,661,1859,1739,3591,401,391,795,208,193,404,2464,2328,4792,1426,1388,2814,295,268,558,140,127,271,1866,1784,3648,46,48,93,24,88,112,125,139,262,90,311,397,3,5,13,286,594,883,74,170,247,58,153,211,43,100,143,178,364,545,0,0,3,358,785,1142,55,76,131,98,194,294,4,3,9,156,274,428,2284,2186,4461,7757,8262,16014
SOSR313,955,927,1879,5165,4676,9842,1416,1445,2863,781,733,1515,7360,6857,14218,3225,3034,6256,1506,1312,2822,645,616,1263,5370,4969,10337,131,169,295,117,244,365,289,337,626,365,857,1223,7,12,18,917,1618,2529,324,610,936,186,455,641,112,239,345,486,1123,1610,3,11,12,1104,2438,3549,127,157,282,261,538,798,14,13,21,397,707,1109,6729,6652,13384,22833,24166,46999
SOSR314,961,968,1923,5419,5182,10600,1381,1394,2771,766,734,1497,7566,7303,14871,3803,3562,7362,874,828,1696,720,704,1428,5392,5090,10485,108,158,266,98,215,308,258,263,524,319,804,1120,12,7,17,791,1442,2237,360,745,1111,179,406,577,78,187,266,422,921,1346,4,15,17,1045,2268,3316,105,137,239,215,533,742,7,17,24,335,680,1011,7611,7450,15064,23696,25204,48905
