SOSR_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
SOSR421,0,8,0,84,6,0,0,7,0,10,6,3,0,61,211,301,5,4,0,7,4,0,0,0,0,43,31,104,636,213,42,624,63,340,43,335,51,1676,277,4300
SOSR422,0,6,0,58,4,0,0,4,0,8,5,3,0,29,136,189,4,0,0,5,0,0,0,0,3,27,22,61,354,126,22,333,33,234,20,222,37,1175,182,2737
SOSR431,8,67,4,750,35,15,4,25,3,48,3,25,10,134,966,1266,32,17,15,25,0,15,5,16,8,101,106,342,3472,1183,222,3124,262,1530,176,1319,241,5462,1216,18206
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR501,106,1074,23,14792,439,79,46,273,75,355,32,209,78,1091,13468,16150,172,38,85,108,42,95,15,57,51,1169,887,2737,42294,8045,1282,25042,2762,20295,1301,12872,2050,54699,15146,185788
SOSR511,5,20,0,357,10,0,0,12,4,21,0,12,0,49,568,685,5,0,0,10,0,0,0,5,3,59,54,140,1338,268,48,1132,99,784,88,545,91,2463,654,7525
SOSR512,3,39,7,636,25,5,3,14,3,27,7,16,9,90,895,1091,24,4,6,12,4,8,3,10,7,107,88,274,2455,508,114,1680,191,1156,108,856,171,3763,1054,12050
SOSR513,3,15,0,768,14,3,3,13,11,19,3,9,3,16,390,478,15,0,5,3,0,3,0,3,3,17,23,81,1754,135,83,731,132,562,52,160,66,547,445,4684
SOSR514,3,9,0,154,3,4,0,6,0,9,0,15,3,41,245,331,3,0,0,0,0,0,0,5,0,29,29,72,627,175,36,482,53,325,38,255,45,1200,294,3525
SOSR515,5,34,0,557,25,4,3,18,0,30,0,11,8,70,705,885,17,3,3,11,0,10,0,7,3,93,59,198,1873,401,123,1133,159,810,89,545,125,2785,845,8879
SOSR521,3,13,0,224,7,4,3,11,0,13,3,6,0,48,336,431,7,3,7,4,0,0,0,3,3,57,41,121,826,180,72,612,68,500,48,348,90,1635,411,4792
SOSR522,0,7,0,89,3,0,3,3,0,0,0,3,0,25,145,182,5,0,0,0,0,3,0,3,0,26,21,56,373,86,27,280,21,208,8,156,37,731,174,2113
SOSR531,11,84,3,1204,52,19,9,35,11,61,9,36,12,94,1287,1626,64,19,26,24,12,16,3,11,6,96,125,405,3854,1243,295,2804,294,1778,216,1315,262,4881,1545,18488
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR603,9,88,3,795,32,6,3,15,0,23,0,21,5,131,919,1161,13,5,7,8,0,8,3,0,7,123,100,272,3512,883,105,2461,245,1584,146,1529,178,6521,1128,18285
SOSR611,4,28,0,261,8,6,0,18,3,15,3,12,3,55,364,476,5,0,3,3,0,0,0,0,9,67,41,131,1341,366,56,1106,102,625,64,595,96,2667,463,7483
SOSR612,3,3,0,38,3,0,0,3,0,4,0,3,0,18,122,158,0,3,0,3,0,0,0,0,3,29,16,55,311,91,22,295,40,218,16,223,41,1090,147,2493
SOSR613,0,6,0,64,0,0,0,3,0,4,0,0,0,39,150,208,0,0,0,4,0,0,0,0,0,46,22,76,448,142,20,509,36,309,23,276,39,1560,202,3555
SOSR614,0,4,0,21,5,0,0,3,0,8,0,3,0,12,59,85,0,0,0,0,0,0,0,0,0,19,9,26,137,50,16,141,12,128,4,101,19,630,74,1311
SOSR615,3,16,0,107,11,7,0,21,6,16,0,12,3,68,311,458,9,3,0,4,0,10,0,3,0,106,56,190,1062,268,45,894,70,591,58,554,103,3245,439,7331
SOSR621,0,11,0,57,0,0,3,5,0,10,0,7,0,34,141,195,3,0,0,0,0,0,0,0,0,38,24,78,336,144,31,287,31,228,19,205,37,1044,193,2555
SOSR622,0,5,0,34,4,0,0,0,0,4,0,3,0,18,89,125,3,0,0,4,0,0,0,4,0,17,13,37,179,69,10,208,24,143,13,156,20,681,123,1629
SOSR631,0,40,5,362,24,11,6,28,6,33,3,26,8,91,704,938,6,4,8,15,0,10,0,8,11,105,89,255,1994,826,153,1936,169,1203,129,1139,198,4514,936,13201
SOSR679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR703,10,24,3,1393,46,3,4,14,8,22,5,10,7,30,847,1002,15,9,6,3,0,9,3,3,4,29,61,137,4359,364,120,1418,265,1189,91,357,121,1290,952,10522
SOSR712,6,3,0,182,11,0,3,4,3,0,0,3,0,10,209,241,6,0,6,0,0,0,0,0,0,6,13,35,816,57,24,267,46,196,14,65,20,232,232,1963
SOSR714,0,0,0,25,3,0,0,4,0,3,0,0,0,4,44,57,0,0,0,0,0,0,0,0,0,5,4,11,174,15,11,54,13,39,3,20,4,71,49,456
SOSR715,0,3,0,69,4,5,0,3,0,0,0,0,0,11,43,64,0,0,0,0,0,4,0,0,0,11,22,39,284,22,8,74,22,95,6,43,13,255,77,908
SOSR721,0,0,0,64,0,0,0,0,0,11,0,0,0,5,37,53,7,4,3,0,0,11,0,6,0,43,29,89,286,23,20,65,15,91,12,44,16,230,72,869
SOSR722,0,0,0,29,3,0,0,0,0,0,0,0,0,9,30,43,0,0,0,0,0,4,0,3,0,15,12,39,124,24,6,56,10,67,7,51,16,280,54,695
SOSR731,0,0,0,249,7,3,0,0,0,11,4,3,0,16,197,243,8,0,3,0,0,6,0,0,0,23,44,96,853,91,54,320,72,290,26,126,28,620,253,2732
SOSR779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR802,36,347,12,4760,122,9,7,52,18,36,8,25,9,152,2217,2660,23,4,13,9,3,18,0,11,6,129,103,318,11689,1273,266,4503,648,3958,224,2379,406,10527,2469,38343
SOSR822,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,4,0,18,5,34
SOSR831,0,0,0,11,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,28,3,0,13,3,9,0,0,0,6,3,62
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR915,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,25,3,3,27,0,19,0,5,3,9,5,107
SOSR921,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,3,3,24,7,3,25,0,9,0,9,0,18,9,116
SOSR922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,10,9,3,9,3,15,0,3,7,24,3,72
SOSR931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,0,0,0,0,0,0,0,0,0,3,3,3,39,17,3,24,4,12,0,14,0,37,8,150
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
