SOSR_CODE_2016,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,3,8,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,3,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,3,0,0,0,23,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,4,3,11,5,0,0,0,25
SOSR299,52,191,377,169,132,102,19,0,0,1038,90,157,230,172,129,178,157,40,23,1175,38,102,182,144,89,73,32,7,5,669,178,453,795,479,347,352,204,49,28,2883,27,136,482,250,171,109,19,0,0,1194,32,136,187,94,91,86,17,3,0,641,3,5,35,21,22,20,3,3,0,111,6,12,22,20,16,3,0,0,0,84,64,289,726,386,300,215,42,7,0,2033,21,52,148,83,72,30,5,0,0,410,29,59,54,29,13,20,3,0,0,204,47,111,202,111,90,48,10,0,0,613,117,397,921,499,388,268,51,7,0,2647,165,284,449,311,262,338,355,95,28,2291,74,215,474,477,328,210,80,16,5,1886,357,898,1848,1295,975,816,482,121,38,6825
SOSR301,36759,57898,121468,112540,105216,63850,11813,860,125,510525,25882,17316,32228,28593,25228,41291,62747,37594,18494,289380,2812,4641,9813,7265,6647,5737,4780,3952,4145,49786,65453,79853,163506,148405,137093,110881,79338,42405,22766,849694,9824,53184,165454,155367,145677,83866,12427,684,88,626569,41563,45938,59194,58334,50903,38208,13838,1625,134,309748,1657,2729,9599,6481,4879,4821,1202,104,23,31493,1314,2282,4120,3250,2701,1612,499,172,69,16021,54355,104138,238375,223433,204156,128503,27962,2589,317,983828,4667,8288,11144,8114,7454,4923,327,40,18,44973,11368,6570,5736,4107,3001,2503,597,45,6,33945,16037,14857,16884,12221,10456,7425,933,82,21,78919,70389,118995,255253,235662,214611,135932,28887,2675,339,1062748,56744,31356,46916,40122,38771,67189,114035,67102,28794,491021,5756,9398,19848,15415,14189,11625,9292,6837,5891,98246,132888,159749,322012,291188,267570,214742,152218,76617,35022,1652019
SOSR302,9713,13700,28424,28752,28507,19068,4399,334,54,132951,5779,3427,7140,7284,6621,11390,20213,12092,5692,79643,963,1449,3011,2471,2491,2319,1979,1539,1468,17694,16459,18581,38580,38508,37614,32771,26593,13970,7214,230293,2733,12301,36225,37137,36563,22320,4248,258,26,151812,11229,10858,15961,16843,15592,12667,5507,668,47,89365,411,607,2073,1539,1212,1211,380,49,6,7479,362,594,1059,905,779,564,191,60,27,4542,14730,24358,55320,56426,54143,36762,10325,1033,109,253203,1144,1719,2251,1884,2003,1500,130,14,5,10648,2635,1296,1328,1142,939,887,265,29,5,8527,3785,3017,3579,3027,2939,2383,394,40,10,19179,18513,27374,58899,59450,57087,39145,10719,1073,121,272383,12671,6297,10039,9962,10105,18088,36685,22571,9160,135580,2074,2859,6068,5091,5046,4577,3931,2718,2224,34591,33265,36525,75009,74505,72240,61812,51332,26359,11505,442549
SOSR303,12461,15796,31798,33753,35448,23508,4517,386,55,157712,7228,4041,8987,8146,7825,14553,24989,15574,7254,98595,1207,1589,3036,2750,2865,2621,2350,1800,1508,19726,20893,21423,43817,44650,46130,40685,31857,17764,8821,276031,3841,16360,41326,42031,44494,27449,4223,239,33,179998,14238,10990,16359,18993,18574,15321,5490,607,49,100624,652,828,2874,1864,1835,1830,496,54,10,10451,430,592,1041,994,859,603,199,84,31,4828,19168,28773,61604,63885,65759,45204,10413,985,119,295899,1611,2426,3111,2635,2768,2113,146,23,4,14836,3355,1507,1529,1336,1114,1093,306,30,0,10270,4971,3933,4636,3969,3890,3201,450,51,8,25111,24138,32702,66235,67851,69647,48411,10862,1040,124,321015,15810,7019,12669,11843,12501,24315,46096,28562,11558,170372,2530,3573,6560,5820,6084,5333,4595,3175,2227,39894,42475,43296,85464,85515,88232,78051,61558,32774,13909,531278
SOSR311,4435,5043,10734,10642,11650,7674,1238,130,15,51567,2595,1546,3463,2979,3310,6408,10482,7176,3100,41060,418,520,923,859,998,959,993,792,569,7026,7453,7108,15119,14483,15961,15037,12712,8093,3680,99652,1465,5624,13886,13260,14662,9525,1193,74,6,59700,4870,3070,5548,5803,5973,4794,1446,195,23,31721,199,261,961,565,661,685,166,15,3,3518,146,211,385,339,348,219,68,47,13,1767,6688,9164,20779,19970,21639,15221,2871,326,43,96707,883,1200,1501,1241,1261,906,34,3,0,7041,1058,458,638,541,440,427,72,11,0,3636,1941,1657,2143,1778,1698,1336,107,14,0,10685,8626,10823,22923,21749,23344,16563,2982,337,43,107387,5694,2356,4678,4385,5438,10675,19658,13086,4962,70929,803,1057,2232,2056,2416,2217,1938,1435,873,15036,15120,14232,29837,28189,31198,29454,24573,14865,5876,193346
SOSR312,922,1202,2466,2372,2510,1472,246,18,4,11207,614,390,1110,942,884,1494,2004,1327,593,9359,109,122,286,231,218,209,212,147,84,1610,1639,1721,3859,3547,3606,3171,2459,1486,677,22180,358,1374,3324,3222,3315,1963,240,14,3,13812,1004,710,1220,1278,1301,972,280,33,0,6795,47,47,222,143,172,159,41,3,0,827,36,43,90,87,86,37,16,7,0,395,1443,2173,4854,4724,4873,3131,572,60,10,21827,207,431,484,426,403,262,7,3,0,2216,224,107,154,120,107,87,15,0,0,817,426,544,639,551,503,342,26,3,0,3039,1873,2715,5494,5270,5376,3477,590,62,8,24863,1334,585,1438,1326,1450,2601,3862,2418,936,15950,227,255,554,541,513,467,385,258,119,3318,3434,3554,7487,7133,7334,6544,4843,2734,1063,44133
SOSR313,2851,3246,6977,7104,7672,5164,938,112,17,34078,1610,1051,2528,2086,2123,4215,7142,4571,1953,27273,278,341,727,604,701,674,621,525,462,4946,4739,4634,10234,9792,10492,10050,8707,5209,2436,66289,1143,3945,9424,9047,9721,6288,952,67,10,40609,2976,1894,3502,3951,3925,3269,1125,156,18,20809,140,196,690,468,439,550,141,12,3,2640,125,137,243,234,231,139,72,34,14,1234,4385,6175,13855,13703,14315,10248,2288,280,45,65297,508,635,780,599,653,467,33,8,0,3680,588,224,358,298,249,264,43,8,0,2043,1093,867,1136,892,910,729,80,13,0,5721,5481,7043,14991,14599,15225,10975,2369,294,52,71013,3653,1532,3256,2986,3360,7026,13263,8347,3131,46548,573,722,1598,1405,1526,1365,1207,919,698,10019,9705,9296,19844,18984,20108,19369,16829,9558,3875,127579
SOSR314,2628,3142,7327,7683,7765,4950,952,104,17,34569,1719,913,2429,2024,1890,3574,5684,3649,1701,23591,331,384,917,802,769,764,640,505,230,5347,4676,4444,10676,10511,10424,9293,7267,4257,1953,63505,1177,3861,9801,9949,10233,6435,1088,101,15,42649,2926,1796,3719,4209,3930,3166,1111,155,19,21023,163,196,703,526,521,488,135,16,3,2755,183,144,299,284,265,152,66,33,6,1435,4447,5993,14522,14968,14946,10244,2397,298,48,67857,390,546,762,654,685,512,35,3,0,3584,459,205,340,308,255,231,53,4,6,1859,851,747,1102,959,941,740,88,7,5,5441,5295,6736,15624,15926,15882,10979,2487,309,52,73300,3741,1374,3140,2795,2967,5867,10775,6841,2713,40221,676,808,1965,1683,1637,1534,1319,893,371,10891,9711,8927,20721,20412,20493,18387,14577,8041,3140,124412
SOSR315,3695,4463,9950,10807,11627,8111,1534,152,24,50369,2916,1618,4045,3416,3589,6782,10701,5443,2424,40936,496,620,1281,1038,1177,1200,1093,750,466,8127,7102,6704,15268,15258,16393,16098,13333,6346,2912,99429,1645,5295,13207,14076,14937,9992,1571,136,16,60862,3883,2528,4935,6174,6285,5397,1759,222,23,31213,189,272,964,716,767,842,212,34,4,4000,210,224,408,395,397,332,109,44,9,2140,5933,8316,19512,21364,22383,16566,3655,437,53,98215,728,904,1272,1035,1084,864,56,5,3,5942,728,330,518,438,388,394,83,15,0,2892,1451,1235,1791,1472,1466,1261,138,16,6,8833,7385,9545,21306,22834,23854,17826,3787,449,54,107053,6290,2786,5881,5346,6077,11588,20750,10919,3864,73496,948,1285,2868,2477,2654,2621,2275,1409,768,17299,14625,13623,30056,30656,32585,32033,26810,12776,4690,197849
SOSR321,1408,1453,3216,4247,5036,3754,700,65,13,19903,1192,688,1424,1351,1617,3031,4493,2043,677,16516,209,213,363,396,481,517,477,251,103,3005,2805,2349,5008,5998,7131,7294,5674,2362,800,39421,622,1668,4012,5097,6248,4494,751,76,11,22983,1504,884,1732,2481,2820,2611,817,93,16,12960,78,96,291,314,375,358,112,11,3,1640,82,75,157,156,166,131,65,16,6,842,2283,2723,6192,8049,9608,7591,1747,198,35,38433,263,323,479,442,540,487,35,8,3,2573,235,121,191,187,183,168,31,3,0,1117,503,437,664,634,723,651,59,12,7,3690,2785,3161,6856,8681,10333,8244,1814,211,45,42119,2590,1157,2156,2192,2861,5320,9159,4191,1232,30860,408,423,766,880,1068,1091,1020,493,183,6323,5785,4742,9781,11752,14264,14652,11988,4895,1457,79309
SOSR322,484,601,1363,1689,2142,1741,349,43,0,8423,518,322,669,587,752,1570,2259,982,283,7945,107,123,184,167,251,253,241,131,50,1511,1117,1049,2217,2440,3147,3559,2855,1161,329,17874,243,717,1689,2151,2722,2185,395,51,3,10160,499,371,732,912,1138,1184,409,48,3,5290,36,31,125,134,158,161,45,8,0,705,33,32,60,81,90,75,35,12,0,413,807,1150,2605,3279,4103,3604,885,124,10,16567,135,155,217,211,279,241,19,3,0,1258,90,63,88,77,80,97,17,3,0,519,224,219,307,289,359,334,33,11,0,1778,1033,1368,2909,3570,4461,3941,915,136,10,18348,1070,507,950,914,1306,2708,4695,2117,538,14803,247,235,412,374,554,558,574,276,79,3303,2354,2112,4269,4859,6318,7203,6183,2524,626,36449
SOSR331,6675,6644,13177,19571,25214,18025,4715,783,91,94896,4980,1696,4763,5168,6521,11890,15653,6263,1730,58660,896,789,1610,2115,2733,2604,2026,860,318,13957,12551,9128,19550,26852,34470,32520,22396,7908,2140,167514,3559,8419,18280,25661,34066,24286,6505,1323,141,122246,7179,4058,7010,11143,13739,12296,4738,917,131,61207,369,388,1379,1201,1553,1713,562,89,26,7288,389,374,577,872,1031,793,450,204,44,4727,11498,13236,27246,38878,50388,39084,12252,2529,344,195465,905,1088,1253,1294,1794,1557,97,16,3,8015,1180,419,510,616,636,760,132,16,0,4268,2085,1503,1763,1914,2432,2319,228,28,3,12282,13583,14738,29014,40791,52822,41408,12483,2560,344,207751,11017,3181,7170,8025,10868,21026,32677,13725,3369,111062,1897,1740,3726,4605,5998,5796,4569,1997,599,30922,26495,19656,39910,53426,69689,68226,49736,18283,4307,349730
SOSR379,4,0,6,4,4,9,0,0,0,35,0,3,0,0,3,6,11,6,0,32,0,0,0,0,0,4,4,0,0,9,5,4,6,3,7,19,16,7,0,81,0,3,3,8,8,9,0,0,0,32,3,0,5,0,3,5,0,0,0,16,0,0,3,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,8,3,9,8,11,19,3,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,3,9,14,13,17,3,0,0,68,0,3,0,0,7,7,23,12,3,57,0,3,0,0,0,4,7,0,0,22,11,11,11,14,24,30,33,16,4,144
SOSR399,89,305,538,205,263,280,28,0,0,1712,81,148,257,185,285,756,663,116,16,2514,29,118,212,122,140,184,102,36,6,959,203,576,1005,514,688,1224,798,153,18,5179,40,257,610,294,302,216,26,5,0,1749,52,181,299,115,141,155,38,0,0,978,4,15,46,30,44,50,6,0,0,195,9,19,50,35,23,9,5,3,0,158,103,480,1010,470,509,430,76,6,0,3087,52,107,189,148,137,117,8,0,0,757,32,27,51,36,32,42,10,0,0,228,83,140,234,191,166,150,15,0,0,986,179,618,1245,662,678,581,94,8,0,4074,162,287,505,383,570,1362,1548,304,24,5145,72,228,535,436,418,430,273,70,13,2472,408,1133,2293,1485,1663,2373,1916,381,44,11693
SOSR401,17412,28419,61421,56833,59642,41702,7977,659,112,274175,15947,10322,18481,15959,15581,28015,45898,31478,18091,199769,1268,1793,3878,3042,3158,3165,3063,2591,2122,24087,34631,40535,83779,75838,78384,72874,56946,34727,20318,498030,3251,21917,77530,72186,75717,49467,7153,444,56,307724,20224,25809,34694,35574,34243,28227,9988,1195,127,190086,860,1548,5533,3674,3057,3154,908,103,23,18870,538,1077,1994,1456,1405,899,358,123,48,7893,24876,50353,119757,112893,114423,81748,18407,1871,261,524576,1849,4303,6784,5140,4640,3047,146,25,7,25952,5977,3850,3170,2427,2021,1651,289,49,4,19436,7827,8150,9952,7574,6659,4701,436,68,19,45393,32700,58509,129707,120462,121085,86446,18839,1943,273,569969,35336,20081,27954,24012,26159,46682,82708,55741,28252,346928,2518,3670,8008,6647,6826,6365,5731,4494,3184,47440,70554,82252,165670,151122,154069,139495,107279,62177,31706,964327
SOSR412,1322,1648,3223,3291,3925,2624,384,41,6,16472,909,485,1173,936,1062,1806,3093,2200,953,12625,99,116,234,193,278,240,269,249,136,1819,2332,2251,4635,4419,5266,4668,3753,2490,1094,30909,365,1622,4114,4046,4958,3158,381,39,4,18682,1433,1162,1813,2004,2223,1816,482,58,3,10991,65,109,323,203,231,253,56,8,3,1258,52,50,92,102,120,79,12,10,3,528,1914,2942,6348,6349,7527,5314,929,113,15,31455,218,357,409,348,345,231,4,0,0,1915,368,168,172,137,121,106,9,6,0,1077,580,530,579,486,469,337,19,3,0,2996,2495,3475,6928,6841,7992,5647,942,117,20,34448,2082,787,1565,1403,1814,3064,5614,3934,1561,21831,210,239,496,418,562,506,491,394,220,3539,4783,4500,8983,8666,10367,9222,7052,4449,1795,59823
SOSR413,1605,2057,3962,4606,5219,3896,791,66,7,22218,1239,613,1394,1258,1412,2776,5563,3350,1678,19287,153,165,323,312,362,431,400,306,187,2647,3001,2842,5679,6179,6992,7102,6752,3725,1875,44145,438,1964,4922,5209,6098,4223,700,48,16,23608,1969,1636,2389,3027,3262,2883,1025,124,10,16326,93,137,421,317,330,336,105,14,0,1750,65,73,150,115,139,108,40,21,5,723,2560,3808,7876,8673,9823,7556,1878,210,30,42410,227,390,449,436,426,284,21,7,0,2237,380,184,197,186,188,163,34,3,0,1339,609,576,648,622,615,445,50,5,0,3581,3169,4388,8528,9292,10435,8007,1929,212,33,45988,2722,1114,2325,2144,2405,4745,10101,6181,2657,34388,288,312,664,653,754,862,764,566,304,5163,6175,5815,11523,12088,13597,13606,12793,6959,2992,85541
SOSR414,319,370,854,908,1086,928,221,23,7,4719,267,91,297,282,279,733,1618,1080,492,5132,25,21,68,50,57,80,119,106,105,633,607,486,1212,1234,1424,1741,1968,1206,602,10485,126,416,1131,1136,1282,967,152,18,4,5223,365,269,549,613,684,759,327,42,0,3612,17,37,98,60,82,93,30,6,0,425,11,10,23,16,33,24,7,6,4,134,524,733,1796,1833,2084,1837,516,68,15,9400,30,52,73,62,65,38,3,0,0,328,54,27,35,26,38,50,6,3,0,245,80,82,116,87,108,89,8,6,0,579,599,817,1910,1919,2187,1928,529,70,15,9976,560,154,399,420,440,1197,2961,1981,820,8942,48,44,131,116,130,157,230,193,158,1208,1209,1017,2443,2455,2754,3284,3720,2246,992,20125
SOSR415,1543,1958,4134,4739,5615,4113,894,93,25,23106,1286,471,1359,1204,1344,3005,5607,3727,2061,20066,133,161,311,325,397,452,469,398,374,3025,2961,2595,5802,6265,7353,7564,6968,4213,2460,46197,545,2162,5279,5716,6650,4757,761,79,26,25979,1864,1401,2449,2987,3470,3098,1115,168,22,16574,90,154,482,363,376,469,157,36,3,2122,76,90,157,140,148,109,77,22,9,840,2573,3809,8372,9199,10641,8429,2112,307,59,45512,181,298,362,307,392,303,13,3,4,1859,281,127,178,169,166,163,31,10,0,1139,470,425,540,475,558,461,48,12,5,3001,3044,4235,8915,9680,11201,8898,2166,322,63,48514,2830,809,1827,1793,2357,5149,10478,6830,3230,35305,270,321,673,704,856,945,957,738,560,6027,6144,5360,11414,12170,14414,14987,13602,7891,3858,89846
SOSR421,425,521,1154,1392,1756,1400,300,48,6,7013,406,127,369,343,387,921,1689,1007,585,5822,47,39,102,95,113,155,148,103,125,925,875,685,1621,1828,2254,2476,2137,1156,716,13767,162,566,1517,1596,2078,1644,292,33,9,7894,496,406,734,987,1169,1072,374,69,8,5318,25,48,123,85,128,175,68,10,0,657,25,24,42,43,58,44,24,23,6,278,709,1041,2417,2712,3429,2936,752,123,18,14144,35,76,95,84,118,103,7,0,0,526,80,25,31,36,53,61,8,0,0,297,118,103,126,123,176,160,14,0,0,825,828,1141,2548,2837,3608,3091,764,123,18,14966,863,206,493,491,656,1656,3257,1905,896,10420,94,84,204,206,245,316,306,208,178,1836,1783,1438,3238,3530,4507,5062,4329,2242,1100,27229
SOSR422,224,296,649,729,1032,863,169,28,5,3990,298,120,322,289,323,670,1040,556,227,3825,19,43,68,73,104,97,113,52,38,601,538,454,1033,1084,1461,1627,1314,630,269,8413,101,336,798,846,1225,995,168,14,5,4486,262,210,395,507,655,642,247,42,7,2964,14,21,86,67,75,96,42,9,0,392,12,7,27,24,18,35,11,13,0,149,380,566,1304,1442,1973,1767,464,81,12,7992,37,78,72,69,112,87,0,0,0,458,36,21,34,24,31,46,9,0,0,197,75,103,104,95,141,131,9,0,0,661,459,673,1414,1538,2114,1898,466,82,12,8652,584,218,489,502,609,1229,2138,1144,393,7299,60,69,142,158,233,220,247,101,61,1278,1106,958,2040,2203,2952,3344,2850,1332,465,17234
SOSR431,1986,2132,4141,6347,8872,7122,1915,288,54,32852,1926,516,1345,1456,1866,3605,5164,2122,660,18647,235,176,370,480,700,797,530,235,87,3613,4147,2823,5851,8278,11439,11525,7601,2649,796,55110,926,2616,5663,8071,11746,9260,2359,381,71,41109,2323,1639,2566,4136,5609,5325,2224,403,62,24298,123,168,446,474,623,829,280,48,12,3009,142,130,202,248,288,252,130,63,13,1470,3514,4552,8883,12929,18276,15667,4995,898,164,69883,183,273,322,298,433,397,20,3,0,1924,324,136,123,167,200,248,38,3,0,1230,499,414,439,465,628,648,63,3,0,3160,4015,4969,9318,13399,18899,16311,5059,902,168,73041,4227,973,2056,2349,3318,6509,10696,4491,1220,35839,507,439,859,1069,1539,1698,1208,513,164,8003,8754,6381,12234,16817,23752,24519,16965,5909,1555,116882
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
SOSR499,25,53,103,54,66,51,3,0,0,367,33,32,69,51,77,91,77,12,7,454,10,19,36,36,46,22,14,7,0,191,80,99,209,140,192,164,97,21,7,1016,4,42,139,70,73,57,9,3,0,404,18,35,68,39,44,30,12,0,0,250,0,5,13,7,13,8,3,0,0,53,0,7,13,6,3,5,0,0,0,32,23,88,242,125,131,102,24,3,0,734,16,43,65,47,45,32,3,0,0,238,17,7,14,17,4,3,0,0,0,68,34,49,71,64,46,33,5,0,0,301,59,138,316,186,179,137,28,3,0,1038,87,72,148,119,149,187,204,44,23,1040,25,51,97,112,149,82,42,13,0,571,173,266,556,421,474,403,271,59,22,2648
SOSR501,29672,47211,108733,96523,95761,62600,12623,1036,133,454290,24390,12111,31532,29213,23133,37066,57919,38327,17588,271271,2381,3792,9668,6939,6312,5727,4873,4344,3848,47884,56441,63114,149926,132670,125204,105395,75422,43707,21571,773447,7713,42014,149830,130024,127247,76857,11982,691,98,546457,34227,39121,54409,55997,51794,41812,16239,2070,181,295861,1375,2523,9359,6529,5472,5311,1557,172,11,32305,1033,1993,3799,2884,2586,1578,510,144,40,14577,44345,85651,217399,195435,187098,125554,30293,3079,339,889202,3509,6743,11485,9313,9115,6082,484,45,12,46787,9526,5553,5689,4652,3262,2722,750,84,5,32245,13036,12290,17168,13967,12380,8798,1234,131,18,79030,57384,97942,234574,209396,199482,134359,31529,3216,355,968229,52982,23318,43325,38553,33978,57675,104991,68667,27913,451409,4992,7769,20879,15513,14037,11892,9464,7551,5651,97748,115359,129031,298774,263462,247498,203928,145991,79433,33920,1517390
SOSR511,1282,1392,3253,3519,3801,2525,411,23,5,16211,831,373,1241,1017,859,1621,2504,1527,741,10722,122,118,297,276,293,276,249,191,98,1930,2243,1886,4793,4817,4955,4414,3167,1748,846,28863,487,1691,4228,4341,4742,2947,359,13,3,18809,1450,806,1785,2255,2130,1714,573,61,5,10776,64,88,314,258,311,297,63,8,0,1398,58,53,121,106,103,58,12,5,0,529,2060,2645,6439,6956,7281,5026,1006,87,10,31516,164,262,396,330,323,226,18,0,0,1724,300,111,206,175,125,135,31,0,0,1088,463,380,601,509,450,363,50,0,0,2814,2526,3017,7043,7466,7734,5391,1055,93,14,34326,1854,600,1622,1421,1323,2544,4625,2753,1157,17895,262,244,613,607,662,574,493,335,146,3938,4639,3867,9274,9491,9712,8508,6174,3177,1316,56161
SOSR512,2082,2189,4973,5687,6118,4146,779,83,3,26054,1375,681,2014,1512,1373,2429,3992,2731,1201,17299,238,255,564,501,523,534,433,389,264,3698,3689,3119,7547,7704,8011,7107,5196,3204,1473,47056,977,2893,6947,7241,7788,4942,756,53,7,31606,2265,1169,2588,3302,3371,2903,984,126,11,16719,107,167,536,402,466,474,137,16,0,2304,83,90,200,189,216,125,53,26,7,986,3431,4324,10266,11132,11842,8438,1935,223,23,51617,294,387,516,451,422,357,22,3,0,2457,333,139,228,230,164,163,44,7,0,1302,627,528,738,677,589,520,70,7,0,3755,4060,4849,11007,11815,12425,8959,2002,233,23,55372,2993,1155,2731,2173,2216,3859,7439,4931,2007,29501,500,500,1258,1114,1194,1169,842,679,428,7682,7552,6503,14989,15092,15833,13991,10289,5848,2458,92555
SOSR513,655,1084,3481,2970,2479,1456,239,31,0,12400,568,282,1093,754,525,621,700,390,158,5090,143,199,644,477,422,301,155,67,35,2450,1375,1565,5218,4199,3425,2383,1097,486,194,19933,384,1425,5244,4556,3899,2327,331,32,9,18214,715,460,1399,1434,1080,728,216,44,9,6086,41,84,444,269,252,222,56,4,0,1372,42,65,122,112,109,68,19,0,4,537,1180,2034,7210,6369,5334,3342,621,86,16,26200,88,147,249,210,214,121,15,0,0,1040,95,41,101,81,41,42,18,0,0,414,186,191,349,290,250,157,34,0,0,1455,1366,2229,7558,6658,5589,3505,652,84,16,27659,1251,437,1380,1043,828,1056,1374,718,253,8346,295,396,1356,1081,956,672,344,129,50,5291,2907,3066,10295,8781,7377,5240,2375,933,319,41292
