SOSR_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
SOSR303,41,98,9,5596,1039,185,37,964,117,546,58,214,83,441,5247,8930,91,12,40,87,25,44,11,17,27,74,182,609,15143,2808,506,19737,2166,11460,763,3448,832,4902,5542,67297
SOSR311,3,33,7,1697,318,51,14,330,28,211,14,93,28,192,2238,3521,18,3,22,21,4,14,0,9,11,45,78,225,4871,824,202,6424,690,4128,250,1295,305,2214,2364,23569
SOSR312,7,14,0,558,70,10,4,55,3,69,10,21,11,47,424,724,4,0,3,3,3,8,0,0,0,13,23,58,990,163,52,1411,144,1351,76,319,105,629,464,5695
SOSR313,16,24,4,1183,233,32,13,241,28,167,11,63,26,115,1247,2176,17,3,8,16,3,7,6,3,8,21,52,147,3227,528,114,4358,554,3088,206,787,241,1430,1350,15869
SOSR314,18,20,6,1354,303,40,11,295,31,164,20,58,30,126,1222,2297,27,7,16,30,4,18,5,3,15,17,52,193,3699,551,184,4884,595,3154,216,756,280,1199,1334,16842
SOSR315,22,23,3,1561,380,76,24,389,47,287,25,112,45,234,1749,3366,31,10,12,40,5,26,4,4,19,54,108,327,5029,937,257,6635,800,4681,279,1348,438,2586,1937,24931
SOSR321,6,16,0,543,186,34,15,169,19,129,11,58,21,104,736,1492,18,3,11,19,9,12,7,7,6,17,41,132,1900,413,104,2561,294,1703,152,607,165,1164,820,9873
SOSR322,5,6,0,217,88,15,3,66,6,53,7,22,8,67,285,614,3,0,0,9,3,3,0,0,7,13,21,68,729,151,42,988,109,711,45,217,65,570,318,3946
SOSR331,39,72,13,4118,1290,232,71,1157,112,580,56,242,85,430,3567,7820,120,9,79,116,27,66,7,10,30,62,179,712,11490,2005,545,14042,1411,7935,605,2304,724,4116,3912,49083
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR401,64,199,14,12889,1903,380,92,2273,215,1233,119,507,145,1108,6695,14671,98,21,69,166,28,67,12,22,38,159,302,966,24757,6085,1070,41490,4469,22814,1491,8026,1448,12877,7250,131777
SOSR412,0,5,0,472,134,18,4,143,17,83,10,26,10,43,462,949,6,0,4,12,5,0,0,0,4,11,11,59,1560,302,59,2461,279,1334,103,334,87,617,494,7632
SOSR413,0,18,0,874,148,43,11,234,14,92,8,56,9,73,759,1442,8,0,6,10,7,4,0,4,4,18,22,85,1842,502,108,3406,338,1631,139,644,124,860,808,10398
SOSR414,0,0,0,72,30,14,0,42,0,26,3,14,0,13,116,265,4,0,0,0,0,0,0,0,0,0,4,14,332,107,20,717,73,360,28,141,37,168,126,2114
SOSR415,0,11,0,598,195,41,5,238,24,95,11,39,14,73,631,1372,7,0,3,13,3,3,0,6,3,20,25,89,1985,499,130,3654,394,1711,139,553,138,856,690,10748
SOSR421,0,3,0,162,68,20,7,74,13,28,3,13,3,31,201,456,0,0,0,4,0,3,0,0,0,11,5,29,558,170,41,1166,101,493,53,192,35,229,221,3248
SOSR422,0,0,0,64,36,12,0,39,0,19,3,10,6,31,138,292,4,0,0,0,0,0,0,0,0,6,10,33,289,111,14,524,60,311,26,123,25,252,157,1897
SOSR431,5,20,4,1256,414,73,34,506,31,193,27,61,27,132,1008,2510,28,5,12,32,4,15,7,3,10,18,79,217,3557,854,242,5947,516,2505,213,688,206,1056,1138,16923
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR501,291,652,29,36242,3051,608,214,3686,378,2379,198,885,337,1590,18947,32266,202,55,117,283,61,153,37,43,79,215,559,1802,40348,8703,1759,67716,7037,50015,2513,12042,3262,16622,19879,229904
SOSR511,16,12,0,743,115,14,5,151,12,93,12,22,13,44,833,1324,4,3,7,6,4,5,3,0,0,7,23,57,1257,274,76,2542,241,1736,133,366,149,460,870,8109
SOSR512,4,21,3,1257,195,35,19,193,21,114,18,35,20,87,1249,1979,20,3,9,11,3,7,4,3,12,12,41,118,2316,458,129,3736,411,2401,175,577,186,734,1313,12441
SOSR513,11,6,0,1225,114,16,13,97,14,55,6,11,6,33,467,849,8,0,0,6,0,3,0,0,10,20,21,75,1326,148,89,1731,240,1341,79,164,126,229,510,5985
SOSR514,6,8,0,295,53,11,0,74,10,38,9,18,9,25,482,733,3,0,5,3,0,5,0,0,0,6,15,33,507,184,33,1226,112,746,81,193,64,278,499,3916
SOSR515,9,11,3,877,151,36,7,181,22,108,11,31,14,65,796,1424,16,0,0,22,3,5,0,0,6,19,39,111,1542,328,113,2348,290,1778,137,365,190,673,865,8618
SOSR521,4,7,0,329,91,17,4,89,18,59,10,22,13,62,411,801,12,0,3,7,3,4,0,5,5,15,40,82,639,167,44,1092,132,892,68,217,110,514,460,4326
SOSR522,0,4,0,96,40,7,3,33,6,26,0,12,8,56,114,300,0,0,4,3,0,5,0,3,3,8,25,56,249,71,24,362,43,321,18,150,44,352,151,1793
SOSR531,20,25,4,1894,503,93,23,533,37,252,34,87,31,149,1528,3281,45,4,24,48,6,17,0,4,8,24,90,270,3365,806,203,5259,404,2916,240,790,263,1115,1677,17041
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR603,7,35,5,1751,285,57,11,352,21,142,19,75,27,142,878,2002,11,3,8,14,3,3,0,6,10,31,28,114,3486,982,132,6027,686,2562,233,1007,181,1566,946,17813
SOSR611,5,11,4,448,128,26,4,141,4,57,6,32,7,51,357,810,3,3,3,13,0,4,0,0,4,14,11,61,1272,356,56,2456,238,1205,105,431,93,719,404,7332
SOSR612,0,3,0,78,29,10,4,43,6,23,5,9,3,33,106,262,0,0,0,0,0,0,0,0,0,4,3,11,342,99,21,651,70,350,28,137,26,274,118,2114
SOSR613,0,3,0,133,32,11,0,55,10,27,3,13,3,23,172,355,3,0,0,3,3,3,0,0,0,4,14,30,487,128,18,916,104,480,47,208,39,318,195,2943
SOSR614,0,0,0,31,19,0,0,12,5,13,0,0,0,16,55,116,0,0,0,3,0,0,0,0,0,4,0,10,159,33,5,281,33,162,10,86,20,150,55,986
SOSR615,3,5,0,180,88,21,3,147,14,54,6,24,13,58,275,713,3,0,7,6,0,0,0,3,5,17,13,58,931,312,52,1977,183,991,90,334,113,575,315,5867
SOSR621,0,4,0,114,36,5,3,49,3,13,0,15,4,13,107,252,3,0,0,0,0,0,0,0,0,5,7,18,298,98,21,627,69,304,29,134,33,166,124,1899
SOSR622,0,0,0,29,17,5,3,33,4,26,3,3,0,18,59,173,4,0,0,3,0,0,0,0,0,0,6,13,171,59,21,316,40,209,16,71,22,85,73,1084
SOSR631,3,5,10,574,253,68,18,324,26,141,9,80,28,103,608,1659,13,0,13,13,0,10,7,5,6,16,33,101,2074,646,148,3645,336,1644,172,699,154,1004,710,11233
SOSR679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR703,15,22,3,2385,297,23,14,119,27,124,10,26,26,61,848,1576,24,0,19,11,3,12,0,3,9,11,40,136,4225,297,164,2727,582,2635,123,395,205,615,925,12891
SOSR712,3,0,0,296,79,3,0,27,7,22,0,0,3,17,194,356,3,0,3,0,0,5,0,0,0,4,19,38,880,65,24,538,111,365,27,46,21,126,226,2424
SOSR714,0,0,0,47,18,0,0,3,0,5,3,0,0,7,51,93,3,0,0,0,0,0,0,0,0,0,3,6,201,3,8,109,26,92,5,9,0,50,55,566
SOSR715,0,3,0,98,34,8,3,5,0,17,0,22,9,96,52,244,0,0,0,0,0,3,0,3,0,19,43,66,283,48,28,179,23,267,8,135,34,769,106,1879
SOSR721,0,0,0,84,20,3,0,4,3,11,0,19,8,47,46,164,8,6,4,7,3,7,0,20,9,110,55,227,204,45,23,135,32,209,11,105,40,510,106,1415
SOSR722,0,0,0,16,13,3,0,11,0,11,0,17,9,69,36,151,0,6,0,3,0,0,0,0,0,9,17,40,102,46,7,90,18,173,3,117,24,551,61,1189
SOSR731,5,5,3,462,106,14,3,39,8,42,3,17,6,43,201,485,9,0,6,5,0,8,0,0,0,20,43,98,1040,110,57,616,125,473,41,163,47,512,261,3445
SOSR779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR802,39,145,21,11578,913,75,37,542,106,343,25,106,49,240,2554,4987,50,4,23,31,13,22,0,0,7,16,71,241,14591,1699,506,13316,2489,7422,533,1664,423,2469,2746,47864
SOSR822,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,15,0,8,0,3,0,3,0,40
SOSR831,0,0,0,27,3,0,0,3,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,26,4,3,42,6,14,0,0,0,3,4,106
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR915,0,0,0,26,3,0,0,4,0,4,0,0,0,0,9,17,0,0,0,0,0,0,0,0,0,0,0,0,46,5,3,38,5,37,3,8,0,3,13,156
SOSR921,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,17,0,3,0,3,0,0,3,58
SOSR922,0,0,0,7,5,0,0,3,0,3,0,0,0,4,8,20,0,0,0,0,0,0,3,0,0,0,0,3,15,3,0,14,3,26,0,4,3,16,6,103
SOSR931,0,0,0,0,6,0,0,4,0,0,0,0,0,0,8,24,0,0,0,0,0,0,0,0,0,0,0,3,34,3,0,35,5,6,0,3,0,6,11,108
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
