SOSR_CODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
SOSR101,2131038,2190497,4321535,143869,136979,280846,269798,255152,524942,131656,124874,256521,157780,154626,312400,355650,365579,721227,314947,319928,634879,273705,284607,558311,221844,235941,457780,152924,164386,317307,78665,95672,174334,30209,52767,82975,2057370,2122665,4180038,73666,67831,141501,25052,25626,50675,784,759,1543,471,504,975,26308,26885,53193,1171938,1185994,2357933,826597,871698,1698292,1185624,1193204,2378833,817371,874752,1692120,1667041,1720127,3387168,32517,30990,63514,248815,235806,484627,105715,103856,209570,73931,75809,149743,81366,112805,194168,1066592,1117219,2183814,88500,81516,170019,268753,277862,546614,73896,79586,153487,65149,78357,143504,21568,29974,51545,1972058,2036050,4008112,158779,152126,310907
SOSR102,482030,506012,988046,30417,28152,58573,61346,58193,119537,30797,29387,60181,32756,31383,64140,59439,60694,120129,59424,62664,122090,63032,66486,129517,59046,64346,123390,48128,52877,101006,27137,33803,60940,10512,18027,28538,456526,483651,940177,25507,22360,47871,16786,17340,34127,473,422,897,389,417,806,17649,18179,35835,380025,396653,776676,74164,79906,154068,413790,432068,845859,42993,47419,90409,428485,450690,879174,7950,7338,15284,57129,54277,111403,22374,22278,44653,12126,12747,24872,13586,21404,34994,165970,181156,347124,28470,26058,54532,113651,119635,233286,32051,36571,68624,18598,20823,39424,1685,2012,3694,446921,469965,916886,29876,32093,61969
SOSR111,61164,64825,125992,4594,4342,8941,8706,8232,16934,4014,3902,7913,3965,4254,8223,8270,8825,17097,7874,8168,16041,7666,8236,15905,7104,7675,14772,5356,5951,11310,2689,3537,6229,918,1705,2622,57660,61694,119358,3501,3131,6633,2598,2736,5330,73,70,139,68,60,131,2737,2865,5599,51656,54736,106400,5618,6016,11632,54456,57676,112131,3087,3508,6592,55070,58437,113507,1010,970,1973,8011,7606,15620,2760,2804,5563,951,1357,2312,1466,2700,4165,17279,21013,38286,4488,4392,8878,15180,15190,30368,4473,4821,9289,2400,2500,4904,215,228,446,56260,59757,116008,4306,4376,8684
SOSR112,219757,236331,456094,14610,13947,28560,29696,28307,58008,14476,14349,28829,14398,14364,28762,27256,28340,55597,25730,27017,52744,26836,29475,56316,26964,30073,57040,22555,25319,47872,12641,16518,29158,4593,8620,13209,206245,223694,429942,13511,12636,26153,15044,15442,30489,266,281,548,280,269,556,15600,15998,31592,178886,192411,371296,24889,26560,51445,189793,207308,397101,12790,13745,26535,191701,209519,401219,3513,3465,6976,27156,25938,53093,9715,10177,19897,3628,4882,8507,5714,10462,16176,68132,81248,149386,12962,13376,26343,50160,54474,104636,15011,16248,31255,9490,9590,19082,743,732,1482,195336,212550,407882,26674,25091,51761
SOSR113,136649,144280,280928,8399,8019,16418,17188,16234,33421,8341,7610,15950,7388,7253,14638,15015,15284,30304,14687,15479,30165,16828,17687,34512,18137,19800,37936,17031,18432,35465,9962,12055,22019,3665,6431,10099,128016,136392,264401,8638,7889,16527,8938,9199,18139,208,186,396,155,146,303,9303,9528,18829,111758,117379,229134,14057,15254,29312,119677,126723,246405,6647,7199,13846,121092,128394,249489,1995,1878,3876,15532,14667,30203,5378,5175,10554,1220,1692,2907,2312,4887,7199,34230,39173,73405,8741,8581,17320,36371,38368,74739,11510,12862,24368,7606,7585,15192,482,416,901,122820,130398,253218,13848,13242,27081
SOSR114,114669,122935,237603,7226,7066,14289,14961,14328,29285,6990,6753,13744,5854,5808,11658,11739,12706,24441,12592,13529,26122,14002,15202,29205,15340,16562,31907,14500,15500,29996,8527,10240,18767,2938,5243,8178,107340,116045,223383,7331,6890,14224,7383,7810,15187,155,131,279,140,166,304,7675,8104,15778,93672,100208,193881,10625,11588,22209,101447,108901,210348,4154,4673,8824,101616,109144,210764,1762,1802,3562,13468,12837,26304,4513,4571,9083,935,1305,2244,1736,4214,5950,30005,36234,66240,7330,7727,15057,28694,30410,59105,9159,9396,18555,6294,5816,12109,359,286,644,102781,110240,213018,13041,13159,26200
SOSR115,174076,182376,356452,10827,10293,21122,22780,21655,44430,10232,9856,20085,8614,8219,16834,17493,18481,35972,18709,20054,38766,21565,23281,44847,24631,25886,50519,22871,23402,46275,12132,14020,26147,4215,7225,11444,162956,172232,335188,11119,10144,21262,11433,11777,23206,204,184,391,185,186,372,11816,12155,23967,141914,148108,290024,16960,18288,35248,153737,161840,315579,6511,7186,13694,154306,162689,316996,2777,2771,5551,20495,19478,39979,6662,6775,13444,1557,2262,3819,2697,5938,8641,44528,55057,99583,10546,10962,21504,45089,45022,90113,14396,14356,28756,9420,8315,17740,599,422,1015,155720,164134,319859,19703,18921,38626
SOSR121,46831,47711,94540,2735,2529,5262,6430,6221,12654,2900,2816,5717,2213,2055,4275,4035,4399,8442,5045,5554,10602,6440,6787,13224,7260,7450,14709,6124,5947,12074,2833,2833,5664,815,1114,1934,43809,45087,88895,3021,2623,5646,3060,3096,6159,45,53,94,71,58,129,3179,3205,6381,38955,39361,78319,4130,4513,8641,42325,42965,85291,1300,1563,2866,42274,43059,85337,680,683,1362,5766,5585,11350,1930,2006,3929,413,530,946,675,1615,2286,12060,14634,26698,2853,2898,5752,12721,12308,25031,3802,3559,7360,2523,1905,4437,121,90,210,42549,43645,86200,4071,3968,8034
SOSR122,27253,26762,54021,1422,1356,2773,3483,3327,6807,1671,1523,3192,1163,1082,2238,2311,2407,4713,2894,3082,5975,3795,3916,7709,4555,4430,8979,3789,3456,7240,1746,1595,3341,439,604,1046,25382,25119,50498,1873,1646,3518,1871,1907,3783,26,20,49,38,44,85,1940,1970,3914,22167,21643,43808,2491,2576,5073,24266,23823,48086,788,867,1659,24290,23886,48178,396,332,727,3122,2960,6077,1081,1079,2164,210,273,488,381,858,1238,6668,7975,14646,1663,1561,3220,7450,6883,14329,2264,2016,4279,1708,1177,2886,90,79,165,24419,24196,48615,5867,5091,10959
SOSR131,285013,267300,552316,14561,13436,27997,38497,36247,74747,18729,17018,35753,13601,11532,25135,23718,23136,46857,31084,32498,63585,43405,43171,86576,47179,43769,90948,36434,30752,67180,14394,11785,26179,3412,3961,7371,267240,252391,519630,17776,14911,32684,10148,9200,19347,239,235,472,221,177,402,10616,9607,20226,230151,214320,444470,26484,26892,53379,246679,232822,479498,11661,11901,23564,250445,236304,486756,3825,3475,7302,34217,32415,66631,12779,12455,25228,2914,3473,6390,3690,8470,12165,79387,93825,173216,15938,15084,31024,74233,61444,135669,20663,15524,36182,13650,8244,21890,818,583,1398,250458,239639,490100,34630,27007,61637
SOSR179,171,239,412,10,4,14,7,14,22,3,7,12,9,4,9,11,24,32,18,14,34,25,31,50,22,53,74,48,60,108,16,24,42,3,7,10,173,234,409,3,3,6,4,10,10,0,0,0,0,0,0,5,10,13,102,135,232,60,86,142,119,154,279,36,55,92,137,184,325,0,0,0,10,10,22,0,5,5,0,3,3,0,6,8,52,76,125,12,15,22,38,57,93,9,22,35,13,12,27,0,0,4,0,0,0,1415,1860,3279
SOSR199,7351,4939,12288,188,149,338,202,200,402,285,232,517,746,615,1358,1615,1091,2703,1269,629,1900,1148,646,1798,986,732,1722,719,477,1196,162,120,282,32,48,78,0,0,0,7351,4939,12288,503,289,789,17,8,26,20,3,25,538,301,839,4304,2726,7028,1663,1346,3012,4175,3038,7212,997,821,1822,4199,3009,7203,24,19,43,148,158,304,90,82,172,137,141,283,179,254,430,2208,1965,4169,385,247,633,1339,826,2159,454,274,731,286,135,420,41,24,65,0,0,0,0,0,0
SOSR201,2056095,2140106,4196198,137494,130480,267976,252600,239991,492595,126834,123105,249943,159623,156508,316127,342522,353181,695698,296548,304594,601145,265362,280226,545587,211120,228049,439174,149599,167930,317529,82732,102445,185177,31661,53590,85254,1975997,2062546,4038537,80097,77560,157659,9564,9649,19216,522,502,1029,253,289,549,10344,10445,20790,1212362,1250452,2462808,716347,758023,1474364,1250438,1288155,2538591,688543,734529,1423074,1623264,1692433,3315699,27053,25950,53006,231686,220954,452639,103273,104252,207524,77793,80217,158012,75459,105612,181074,994585,1080950,2075538,173058,165477,338533,193642,181371,375016,81433,80022,161452,79322,102689,182017,19951,27464,47413,1905360,1983146,3888503,138538,147436,285977
SOSR203,75635,81462,157104,5029,4732,9762,9312,8797,18114,4990,4969,9959,6002,5934,11931,10640,11039,21680,9472,10084,19552,9480,10403,19884,8701,9767,18465,6667,7721,14388,3744,5024,8763,1596,2996,4593,71706,77694,149397,3932,3772,7705,733,819,1557,41,34,76,15,13,31,795,865,1664,57022,61648,118672,13481,14224,27705,61063,66024,127090,10052,10534,20579,65075,70755,135830,956,874,1831,8521,8040,16558,3836,3934,7766,2385,2629,5019,2281,3353,5632,28159,32929,61087,9505,9073,18578,9839,9995,19833,4477,4780,9260,3659,4653,8312,455,551,1002,69000,73896,142892,5618,6489,12109
SOSR211,133073,142654,275731,9977,9558,19530,18430,17504,35934,8994,8670,17664,9981,10117,20098,18467,19862,38326,16545,17743,34284,16043,17586,33634,15011,17108,32117,11647,13112,24759,5919,7502,13422,2053,3895,5952,125560,135615,261176,7511,7044,14557,2165,2407,4574,95,94,188,46,57,102,2307,2559,4862,107449,115164,222611,15973,17152,33125,113119,121321,234443,11197,12111,23310,117392,125976,243368,1784,1797,3579,16713,15893,32613,6327,6408,12740,2831,3581,6418,3125,5514,8640,42079,51680,93756,15904,16300,32200,21345,20715,42056,9216,8826,18035,6165,6917,13084,650,666,1321,121268,129946,251211,10056,10937,20988
SOSR212,82267,87993,170256,5702,5430,11137,11176,10593,21771,5699,5441,11145,5431,5468,10899,10891,11499,22389,9983,10828,20807,10588,11557,22142,9766,10739,20504,7481,8380,15863,4035,5321,9362,1507,2739,4248,77272,83339,160607,4995,4657,9648,2064,2248,4307,62,72,135,68,47,118,2192,2365,4555,64247,69054,133300,11320,11788,23103,67461,72471,139940,8791,9181,17969,70759,76297,147056,961,892,1851,10056,9597,19654,4013,4025,8037,1134,1595,2726,1577,3103,4688,24345,30253,54595,10766,10966,21730,12896,12463,25360,5651,5458,11107,4545,5020,9572,726,635,1358,74231,79403,153642,7149,7502,14657
SOSR213,120784,130231,251012,8283,7823,16108,16369,15523,31887,7722,7258,14987,6968,6773,13737,14067,15262,29330,14460,15728,30191,15136,16799,31934,15150,16904,32056,12792,14263,27053,7194,9051,16238,2649,4849,7501,112748,122584,235334,8031,7651,15684,1978,2169,4141,55,64,120,46,34,82,2081,2265,4347,98393,105732,204123,13233,14632,27868,106441,114696,221137,6294,6983,13279,107578,116246,223823,1509,1444,2946,14925,14191,29118,5501,5361,10864,1387,1826,3211,1976,4265,6237,35350,44576,79928,16513,17201,33713,19758,18796,38553,8484,8420,16902,6428,7169,13602,524,480,1007,109028,117307,226331,8979,9983,18961
SOSR214,67240,71633,138874,4058,3702,7760,8283,7941,16221,4253,3795,8049,3596,3164,6762,6673,6928,13599,7206,7888,15094,8544,9259,17803,9042,9885,18934,8690,9777,18475,5023,6026,11053,1869,3261,5132,62700,67137,129840,4545,4493,9038,1005,1030,2036,40,50,86,25,29,58,1076,1111,2183,53978,57384,111367,7574,7803,15380,58337,62731,121061,3371,3488,6855,59020,63338,122359,762,718,1474,7447,7148,14596,2956,2712,5669,705,756,1462,888,2019,2907,17741,22815,40553,8829,9224,18055,11724,11133,22859,5537,5243,10780,4291,4603,8893,302,238,539,59357,63522,122882,6418,6483,12903
SOSR215,105368,111612,216976,6537,6175,12710,13764,12977,26735,6155,5665,11821,5253,4929,10185,10613,11573,22188,11785,12757,24539,13448,14549,27995,14555,15700,30257,13263,13961,27228,7255,8507,15760,2740,4820,7560,98124,104764,202884,7246,6844,14092,1403,1445,2849,77,60,133,50,48,94,1528,1552,3079,85048,89777,174825,11266,12274,23543,93213,98613,191830,4616,5250,9869,93816,99363,193183,1278,1257,2534,12417,11716,24131,4377,4225,8600,1036,1357,2385,1518,3327,4851,28729,37600,66330,13974,14417,28392,18468,16543,35010,8245,7431,15681,6428,6408,12832,332,347,678,93973,99163,193137,9050,10250,19291
SOSR221,30195,30425,60620,1650,1535,3187,3825,3521,7348,1673,1546,3218,1249,1161,2410,2596,2769,5364,3227,3503,6731,4133,4336,8472,4821,4824,9647,4362,4146,8504,2023,2111,4133,633,972,1603,28052,28445,56496,2146,1975,4121,344,344,681,12,14,31,12,11,21,369,363,732,24196,24426,48623,3247,3253,6500,26922,27097,54026,962,1023,1980,26840,27036,53871,316,329,645,3417,3178,6597,1175,1148,2326,242,283,518,356,865,1218,7825,10061,17880,4173,4179,8352,5633,4659,10295,2537,2134,4672,1830,1560,3393,63,71,133,26851,27095,53950,2603,2614,5216
SOSR222,19200,19003,38204,1060,961,2021,2420,2364,4781,1150,1012,2156,816,751,1563,1726,1788,3521,2050,2236,4284,2737,2826,5565,3228,3161,6392,2638,2340,4978,1043,1052,2095,344,502,847,17872,17799,35670,1327,1207,2531,272,273,545,13,12,30,10,6,11,295,298,593,15503,15127,30625,1858,2036,3896,16972,16704,33676,627,737,1365,16996,16690,33687,217,194,407,2124,2087,4211,781,757,1538,125,182,307,239,538,775,4898,6240,11136,2565,2555,5121,3574,2829,6402,1658,1295,2954,1191,922,2115,46,29,77,16888,16765,33652,6479,5968,12440
SOSR231,213864,200186,414055,10584,10062,20650,27624,26317,53945,14188,12860,27043,10371,8809,19177,17911,17334,35251,23893,24097,47992,33275,33153,66424,35706,33382,69088,27407,22945,50347,10409,8465,18869,2499,2766,5266,200229,188365,388598,13633,11821,25454,2330,2097,4431,106,71,180,41,54,95,2485,2226,4709,172948,161197,334150,21765,21004,42766,184983,175812,360793,9586,9565,19154,187353,177525,364875,2137,2047,4183,24794,23632,48428,10132,9848,19974,2257,2823,5080,2276,5573,7853,58008,74550,132554,30440,27460,57901,38369,27142,65512,16812,10899,27704,10933,7539,18465,582,469,1059,188206,180600,368808,20019,15013,35033
SOSR279,28,4,29,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,3,11,0,11,5,0,5,0,0,0,0,0,0,0,0,0,20,4,26,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,6,4,6,18,0,18,7,4,10,25,4,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,13,4,0,4,9,0,10,0,0,0,0,0,0,0,0,0,0,0,0,310,38,349
SOSR299,4331,3238,7565,215,163,379,173,197,367,180,178,357,447,453,898,1052,795,1848,813,479,1295,628,347,975,460,352,816,283,204,482,72,49,121,9,28,38,0,0,0,4331,3238,7565,146,102,247,13,7,16,3,6,11,160,117,279,2581,1804,4389,1057,952,2011,2372,1835,4201,698,692,1393,2454,1897,4355,22,15,37,113,145,259,68,85,158,102,136,242,131,161,299,1345,1347,2698,379,247,627,475,301,776,257,143,404,155,82,238,43,42,85,0,0,0,0,0,0
SOSR301,1009029,1045588,2054614,69788,66090,135876,136920,129803,266722,67439,65453,132888,79899,79853,159749,158507,163506,322012,142787,148405,291188,130481,137093,267570,103861,110881,214742,72883,79338,152218,34214,42405,76617,12259,22766,35022,961137,1004288,1965428,47887,41302,89184,20387,21166,41558,1494,1414,2902,1236,1327,2571,23120,23906,47026,676441,695580,1372021,271863,288299,560168,779244,800380,1579625,169857,187088,356944,814772,846665,1661437,11966,11187,23150,126415,120234,246646,48348,49935,98282,28298,33046,61337,34758,52806,87561,468114,500480,968590,58317,54789,113105,148270,159987,308259,32533,31471,64005,29673,35894,65563,4659,5634,10286,930595,971110,1901706,67019,68617,135638
SOSR302,262469,278089,540559,16397,15815,32218,33803,31987,65786,16809,16459,33265,17943,18581,36525,36432,38580,75009,36000,38508,74505,34625,37614,72240,29043,32771,61812,24738,26593,51332,12394,13970,26359,4290,7214,11505,249905,267175,517084,12561,10917,23478,3964,4253,8216,233,200,428,161,175,338,4355,4631,8983,168400,175730,344125,73165,81036,154197,211824,221864,433686,31093,36378,67468,204500,216565,421065,3355,3217,6574,30690,29163,59847,11469,12003,23475,5748,6920,12669,7346,12531,19868,109365,121119,230486,19143,19266,38407,46550,50359,96907,10555,10486,21038,6275,7072,13352,690,779,1471,237648,253587,491234,31443,33984,65433
SOSR303,319582,337288,656870,20510,19206,39715,43827,42048,85872,21583,20893,42475,21871,21423,43296,41645,43817,85464,40866,44650,85515,42096,46130,88232,37366,40685,78051,29703,31857,61558,15016,17764,32774,5092,8821,13909,299097,321286,620381,20486,16001,36484,11276,11899,23178,2891,3236,6129,2136,2237,4373,16300,17381,33680,237677,248973,486649,57105,63940,121048,269971,284528,554497,25448,29914,55365,269595,284947,554539,3469,3206,6674,40048,38496,78547,13961,14809,28779,5138,7138,12273,8651,16257,24913,123835,139509,263337,22809,22485,45295,59433,63988,123428,12750,12225,24975,10795,12002,22796,1114,1175,2286,284998,306892,591892,42788,43058,85851
SOSR311,117087,122062,239151,7451,7184,14631,15942,15231,31168,7674,7453,15120,7126,7108,14232,14719,15119,29837,13707,14483,28189,15234,15961,31198,14415,15037,29454,11866,12712,24573,6773,8093,14865,2193,3680,5876,107214,115855,223075,9874,6201,16077,4898,5347,10246,730,765,1495,644,667,1303,6272,6773,13049,92431,97044,189471,14995,16334,31329,101431,106688,208123,6716,7489,14209,101175,106885,208055,1189,1107,2294,14616,13994,28611,4686,4803,9489,1018,1618,2634,2175,4670,6846,35623,40663,76281,8259,7922,16183,26280,28022,54304,6262,6102,12363,6851,7169,14023,440,349,789,103551,111235,214787,12581,12626,25216
SOSR312,27787,27834,55622,1960,1968,3927,3876,3687,7561,1794,1639,3434,1835,1721,3554,3626,3859,7487,3585,3547,7133,3723,3606,7334,3374,3171,6544,2385,2459,4843,1241,1486,2734,385,677,1063,25742,26378,52115,2047,1461,3502,1113,1143,2260,48,63,115,107,122,230,1268,1334,2606,22006,21976,43980,3527,3747,7271,24108,24171,48284,1590,1762,3355,23870,23850,47718,297,287,582,3504,3339,6841,1056,1027,2079,187,319,505,433,1108,1543,8338,9068,17398,2042,1858,3898,6498,6379,12873,1443,1308,2751,1435,1457,2890,87,67,149,24862,25329,50198,2708,2320,5031
SOSR313,78241,82378,160616,5499,5473,10971,11460,10615,22071,4963,4739,9705,4665,4634,9296,9618,10234,19844,9191,9792,18984,9613,10492,20108,9322,10050,19369,8130,8707,16829,4351,5209,9558,1444,2436,3875,72483,78007,150492,5763,4369,10129,4162,4504,8672,205,161,367,212,209,426,4581,4879,9459,61846,64885,126733,9722,10962,20682,68736,72516,141252,3393,4037,7423,67577,71562,139140,845,848,1696,10376,9586,19965,2958,2953,5910,551,901,1451,1369,3219,4592,23335,27783,51122,5430,5473,10904,17566,18412,35972,4065,3773,7839,4204,4132,8338,234,204,446,69874,74969,144844,8531,8042,16573
SOSR314,78499,80128,158624,5683,5245,10925,11903,11384,23290,5035,4676,9711,4483,4444,8927,10051,10676,20721,9901,10511,20412,10070,10424,20493,9098,9293,18387,7308,7267,14577,3780,4257,8041,1189,1953,3140,73540,76357,149902,4955,3769,8723,4224,4615,8837,368,378,745,472,495,972,5061,5482,10546,60036,60875,120910,11014,11924,22939,66709,68085,134791,5011,5539,10552,66392,67991,134387,864,875,1731,10523,10123,20644,2972,2976,5944,495,892,1388,1237,2895,4126,23937,27621,51553,5524,5119,10640,16362,16127,32483,3758,3297,7057,4100,4116,8214,315,307,619,69422,72036,141457,13358,10571,23931
SOSR315,125283,124878,250156,8660,8222,16881,18205,17227,35429,7523,7102,14625,6919,6704,13623,14780,15268,30056,15391,15258,30656,16190,16393,32585,15934,16098,32033,13476,13333,26810,6433,6346,12776,1782,2912,4690,116887,118434,235320,8402,6446,14841,10206,10273,20482,1544,1608,3148,1226,1229,2448,12970,13103,26079,98430,97985,196418,14966,15999,30966,106658,107599,214251,6786,7619,14406,107057,108450,215503,1332,1286,2621,16201,15378,31578,4240,4308,8552,715,1128,1840,1708,4159,5867,34137,39871,74008,8632,8534,17170,28228,27463,55685,7014,5720,12733,7496,6805,14303,405,363,764,109373,112348,221722,23931,18286,42213
SOSR321,49939,48934,98873,3079,2936,6017,6968,6573,13544,2978,2805,5785,2392,2349,4742,4771,5008,9781,5762,5998,11752,7137,7131,14264,7352,7294,14652,6312,5674,11988,2535,2362,4895,654,800,1457,46166,46188,92350,3771,2741,6516,4532,4723,9255,639,638,1274,846,832,1675,6011,6191,12200,39974,38931,78906,5522,5908,11432,42461,42083,84540,2975,3304,6283,43555,43275,86831,465,490,956,6198,5839,12038,1685,1707,3396,228,373,609,568,1525,2093,12944,15556,28494,3440,3567,7008,12183,11308,23495,2935,2249,5187,3300,2666,5966,203,129,334,44108,44726,88835,7913,6467,14378
SOSR322,22828,21855,44685,1389,1196,2584,2870,2778,5646,1236,1117,2354,1063,1049,2112,2048,2217,4269,2419,2440,4859,3172,3147,6318,3653,3559,7203,3326,2855,6183,1366,1161,2524,296,329,626,20941,20466,41409,1884,1388,3269,1449,1549,2999,1567,1525,3095,552,600,1148,3572,3679,7244,18555,17704,36254,2122,2229,4352,18368,17476,35840,2415,2595,5011,20208,19424,39632,206,185,393,2518,2457,4975,597,661,1259,112,204,321,253,646,901,5548,6571,12123,1497,1465,2957,5835,5278,11115,1419,1061,2485,1899,1422,3319,80,83,163,20417,19913,40328,4290,3525,7818
SOSR331,224138,206625,430761,11453,10936,22385,30466,28176,58642,13950,12551,26495,10530,9128,19656,20361,19550,39910,26572,26852,53426,35217,34470,69689,35710,32520,68226,27336,22396,49736,10373,7908,18283,2170,2140,4307,208517,195608,404124,15617,11015,26638,6872,5705,12569,763,525,1284,546,408,949,8176,6628,14806,178106,162798,340907,23716,24581,48299,194896,182027,376928,7368,7990,15356,193961,180907,374872,1841,1742,3579,27126,25178,52305,8424,8502,16923,1483,2213,3693,2369,6293,8662,62654,73602,136251,14700,13317,28023,55708,46441,102151,12540,8474,21013,13458,8298,21756,654,398,1047,195546,187537,383086,40524,25938,66458
SOSR379,66,87,150,0,3,3,0,0,4,3,5,11,3,4,11,4,6,11,7,3,14,10,7,24,7,19,30,13,16,33,7,7,16,0,0,4,56,81,135,10,3,21,0,3,6,0,0,0,0,0,0,0,5,3,43,50,89,18,20,40,56,56,110,7,10,21,51,65,116,0,0,0,0,0,4,3,5,7,0,0,0,0,3,3,24,23,50,7,9,15,13,26,39,3,7,11,5,6,17,0,0,0,0,0,0,940,1037,1974
