SOSR_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
SOSR613,15,17,113,103,48,367,11,208,16,893,53,101,257,186,112,195,59,192,14,1161,180,455,427,279,248,231,156,262,39,2274,260,423,344,311,287,220,190,298,36,2355,307,450,373,423,436,233,282,401,47,2954,221,379,286,295,321,154,211,335,35,2234,48,61,35,36,47,33,42,54,16,376,11,6,0,3,3,3,4,10,5,47,3,0,0,0,0,0,0,0,0,4,1094,1895,1830,1640,1504,1433,955,1756,213,12309
SOSR614,3,0,38,18,14,85,7,55,3,218,13,22,97,63,29,56,18,52,6,359,68,90,168,105,75,75,94,115,12,791,72,80,97,119,83,77,77,101,16,720,82,98,121,166,112,74,99,139,14,900,62,90,96,119,80,64,76,118,14,714,19,19,17,19,16,8,17,18,13,142,3,4,4,4,0,3,0,0,3,19,0,0,0,0,0,0,0,0,0,0,323,394,630,610,408,436,392,590,84,3870
SOSR615,25,13,179,211,40,478,22,274,24,1264,100,120,485,304,197,295,133,337,40,2014,393,701,920,517,543,396,348,577,74,4479,573,736,740,582,640,399,394,599,85,4752,680,754,760,724,770,490,543,768,107,5592,555,592,605,533,640,352,508,618,82,4487,149,134,98,89,137,77,93,127,26,919,18,11,10,9,9,8,12,13,5,95,3,0,0,0,0,0,3,0,3,14,2494,3071,3793,2975,2973,2500,2061,3314,437,23622
SOSR621,8,7,64,59,11,140,9,87,5,382,31,45,105,81,47,73,41,110,13,549,144,238,289,150,139,103,97,183,20,1353,254,311,251,170,165,121,107,199,31,1614,270,311,255,215,216,122,165,254,37,1846,224,294,207,178,210,105,141,228,22,1602,80,64,24,22,54,32,37,52,4,363,8,7,7,0,3,5,3,3,5,46,0,3,0,0,0,0,0,0,3,11,1018,1278,1200,874,845,701,589,1118,152,7766
SOSR622,3,4,28,32,9,62,6,57,5,218,24,19,67,51,28,36,21,54,7,315,54,91,145,69,84,54,73,88,15,677,96,159,134,116,106,64,82,98,10,858,131,159,181,159,171,76,107,183,26,1190,141,176,156,91,127,77,109,172,15,1065,63,42,28,17,30,13,31,31,4,254,9,4,4,0,4,3,0,3,0,40,0,0,3,0,0,0,0,0,0,7,517,657,747,536,554,389,436,692,87,4621
SOSR631,75,31,377,341,81,776,66,542,50,2341,179,158,697,408,223,388,195,575,48,2869,836,916,1241,641,682,395,415,846,86,6053,1546,1553,1363,919,1022,557,638,1035,146,8776,2139,1916,1603,1236,1524,722,1057,1426,220,11851,2036,1725,1234,871,1187,550,804,1093,177,9679,969,412,218,135,237,106,150,248,66,2539,252,23,12,14,15,16,11,36,39,423,29,4,0,3,10,0,3,3,8,63,8058,6737,6743,4563,4983,3505,3347,5814,832,44577
SOSR679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,6,0,0,0,3,0,21,0,0,3,0,0,0,0,0,0,3,0,3,3,0,0,0,0,3,0,14,0,0,4,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,9,9,0,0,3,15,0,47
SOSR699,0,0,0,0,3,6,0,3,0,12,0,3,3,5,0,0,0,6,0,22,4,18,10,13,8,0,4,23,0,86,3,11,4,3,10,5,9,7,0,47,9,6,7,8,5,3,6,10,0,46,0,6,8,7,3,0,3,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,49,38,33,27,14,20,54,3,247
SOSR703,41,70,321,506,241,958,74,426,58,2697,303,564,1118,1361,864,730,327,615,152,6037,1639,4033,3564,2551,2347,1035,901,1517,338,17916,1968,3272,2350,1676,2054,731,695,1093,274,14111,2006,2473,1740,1180,1854,636,721,938,241,11788,1270,1679,985,629,1251,372,581,611,152,7535,260,411,182,120,301,117,125,130,51,1701,21,32,19,5,16,22,7,4,11,144,0,0,3,0,0,0,0,3,6,14,7519,12530,10275,8042,8922,4605,3443,5337,1275,61953
SOSR712,12,17,64,107,50,224,14,107,13,593,36,102,172,149,140,110,28,104,23,869,273,792,410,568,372,171,101,206,66,2951,312,737,290,465,341,101,95,150,60,2550,413,691,263,378,394,121,118,185,63,2625,309,508,193,276,315,94,113,141,35,1983,71,93,46,47,66,23,30,43,13,437,7,8,3,3,5,3,3,5,0,35,0,0,0,0,0,0,0,0,0,0,1428,2956,1436,1989,1686,840,493,944,278,12045
