SOSR_CODE_2016,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_SE_Europe_nfd_0_4,P_SE_Europe_nfd_5_14,P_SE_Europe_nfd_15_24,P_SE_Europe_nfd_25_44,P_SE_Europe_nfd_45_54,P_SE_Europe_nfd_55_64,P_SE_Europe_nfd_65_74,P_SE_Europe_nfd_75_84,P_SE_Europe_nfd_85ov,P_SE_Europe_nfd_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_FYROM_0_4,P_FYROM_5_14,P_FYROM_15_24,P_FYROM_25_44,P_FYROM_45_54,P_FYROM_55_64,P_FYROM_65_74,P_FYROM_75_84,P_FYROM_85ov,P_FYROM_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOSR511,0,3,3,8,18,8,0,0,0,38,17,140,92,357,133,50,19,0,0,800,0,0,0,26,8,21,14,17,17,107,4,16,25,82,83,100,86,50,9,460,3,14,9,37,19,16,6,7,0,104,9,180,215,447,271,127,68,31,8,1367,0,0,0,5,0,4,5,0,0,17,3,9,3,33,10,4,3,0,0,70,0,0,5,68,0,0,0,0,0,76,3,15,11,41,28,6,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,4,26,21,56,36,31,26,9,4,211,0,3,12,30,19,5,8,0,0,79,0,3,4,21,29,24,18,8,8,113,0,21,72,153,88,83,32,0,0,450,11,77,65,322,148,111,82,47,16,874,283,540,518,1336,748,675,558,366,159,5180,4909,10019,8501,18768,9712,8508,6174,3177,1316,71090
SOSR512,0,44,32,60,34,7,0,0,0,182,31,271,245,741,291,132,52,6,0,1776,0,4,4,32,3,10,12,11,18,96,4,29,19,110,130,156,143,82,26,695,0,10,8,31,30,12,7,3,0,105,20,191,258,499,363,145,62,34,4,1578,0,0,0,5,3,6,9,6,9,39,0,21,6,71,21,9,7,5,0,130,0,3,7,59,3,0,0,0,0,71,11,64,64,131,59,22,3,4,0,351,0,0,0,0,0,3,3,0,3,16,0,0,0,14,4,0,5,0,0,29,9,16,16,83,35,43,35,12,3,246,0,12,22,72,26,26,5,0,0,168,0,3,9,40,38,39,28,19,9,188,7,54,62,200,111,63,17,8,4,518,11,110,95,466,228,161,164,89,36,1364,535,992,1018,2536,1383,1324,964,652,298,9713,7771,16220,14052,30082,15833,13991,10289,5848,2458,116554
SOSR513,0,5,0,25,12,6,0,0,0,51,25,158,165,480,207,73,11,3,0,1126,0,0,0,21,8,7,5,0,0,35,0,9,10,66,70,51,19,14,8,234,0,0,7,21,17,13,8,3,0,68,0,61,89,254,129,55,16,3,0,613,0,0,0,0,0,0,5,0,0,11,4,14,3,49,24,5,8,0,0,110,0,3,12,103,0,0,0,0,0,124,6,20,27,126,45,12,0,0,0,249,0,0,0,11,3,6,5,0,0,22,0,0,0,4,7,0,0,0,0,13,0,10,8,56,17,10,7,0,0,118,0,7,7,34,7,5,0,0,0,56,0,0,0,21,10,11,7,0,0,46,0,23,32,114,48,15,8,0,0,242,5,32,33,359,111,77,34,15,6,675,511,853,749,2690,1142,772,358,134,54,7261,4711,8067,5975,19079,7377,5240,2375,933,319,54065
SOSR514,0,0,0,12,7,4,0,0,0,20,7,36,27,122,24,27,9,0,0,252,0,0,0,10,3,8,13,17,11,56,7,26,15,80,48,59,46,20,17,313,0,0,3,16,8,6,3,0,0,40,3,47,51,185,90,44,38,10,4,469,0,0,0,0,0,0,5,4,3,11,0,3,0,8,5,0,0,3,0,26,0,0,9,84,0,0,0,0,0,96,0,8,6,21,15,0,0,0,0,52,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,10,41,15,26,13,7,3,119,3,0,8,22,9,3,3,0,0,41,0,3,6,25,23,16,17,14,4,108,0,0,8,43,10,12,10,0,3,97,8,30,19,176,69,49,50,25,10,435,221,369,304,979,461,424,333,199,97,3380,2757,5105,3634,9920,4418,4007,3145,1460,589,35029
SOSR515,0,15,5,34,23,14,3,0,0,100,39,177,128,461,149,64,20,0,0,1027,0,3,4,18,5,5,15,8,4,64,0,9,21,75,104,111,130,72,21,539,0,3,13,20,14,18,11,3,0,76,3,54,65,219,113,77,42,17,3,592,0,0,0,3,0,8,7,4,3,24,0,12,3,48,7,10,0,0,3,76,0,0,28,135,0,0,0,0,0,165,3,48,58,97,49,17,0,0,0,270,0,0,0,11,5,4,8,15,5,42,0,0,0,0,3,0,0,0,0,3,9,19,19,62,49,40,33,3,0,240,3,16,5,63,18,12,4,0,0,122,0,3,4,17,26,25,31,16,3,126,0,19,24,98,48,33,14,0,0,236,6,46,57,273,157,139,109,61,31,877,546,1065,954,2843,1488,1291,962,621,262,10021,6216,12207,9379,22678,11555,10612,7870,4189,1497,86204
SOSR521,0,3,0,11,11,3,0,0,0,31,14,109,55,258,79,23,12,3,0,549,0,0,0,3,0,13,6,3,8,32,0,7,13,43,52,60,71,18,8,265,0,3,7,11,13,9,0,0,0,36,0,22,36,115,76,52,17,6,0,327,0,0,0,0,3,3,0,0,0,11,0,6,0,14,0,4,5,3,0,28,4,0,11,76,0,0,0,0,0,89,4,3,0,30,14,3,0,0,0,58,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,24,20,22,17,3,0,94,0,0,0,15,3,0,0,0,0,20,0,0,3,13,15,23,9,11,4,78,4,8,13,30,18,17,7,0,0,89,4,4,20,112,77,77,61,38,7,407,216,512,457,1176,739,758,526,304,138,4822,2811,6100,4616,10574,6371,6244,4605,2242,742,44304
SOSR522,0,0,0,3,3,0,0,0,0,8,0,10,14,45,16,18,6,3,0,109,0,0,0,0,0,3,3,0,0,7,0,0,0,10,21,24,30,12,3,101,0,0,0,3,4,7,0,0,0,15,8,11,10,38,26,5,8,3,0,111,0,0,0,0,0,0,0,0,0,6,0,0,0,8,0,0,0,0,0,7,0,0,0,13,0,0,0,0,0,19,0,0,0,11,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,3,3,3,0,0,23,0,0,0,5,0,3,0,0,0,11,0,0,0,3,0,11,9,4,0,24,0,0,0,6,7,3,6,0,0,26,3,5,6,43,26,30,26,17,10,158,136,202,184,683,327,416,289,164,43,2439,1529,2816,2244,5256,2809,2949,2141,1024,268,21030
SOSR531,3,4,3,59,54,20,9,0,0,157,13,69,41,413,181,82,16,0,0,811,0,0,4,43,12,35,24,6,3,131,3,12,37,221,256,300,186,78,11,1099,0,10,12,54,44,47,16,8,3,202,5,107,161,513,362,187,124,32,8,1493,0,0,0,7,6,18,26,7,0,58,0,0,4,56,19,11,13,0,0,102,0,3,21,94,3,4,0,0,0,122,11,26,12,82,43,18,11,5,3,209,0,0,0,4,8,10,3,6,0,32,0,0,0,8,3,0,0,0,0,12,3,25,27,140,101,116,83,27,4,539,3,11,18,193,80,63,13,5,0,382,0,3,13,55,70,61,64,6,5,279,0,12,25,187,106,127,49,8,3,520,9,54,120,689,483,461,324,100,38,2274,601,1460,1657,5773,3300,2858,1758,723,160,18287,7989,19881,16866,43147,28322,25541,16447,5691,1288,165175
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,11,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,16,0,0,3,44,15,8,0,0,0,67,0,0,20,250,105,43,8,3,3,434
SOSR599,0,0,0,0,0,0,0,0,0,3,0,0,0,14,3,3,0,0,0,22,0,0,0,0,0,0,0,0,0,9,0,0,6,12,3,12,4,0,0,43,0,0,0,3,0,3,0,0,0,12,0,0,5,22,6,9,5,0,0,44,0,0,0,0,0,0,3,3,0,4,0,0,0,0,0,0,0,0,0,3,0,0,10,18,0,0,0,0,0,31,3,3,0,7,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,8,11,3,3,3,0,0,29,0,0,3,3,0,0,0,0,0,8,0,0,0,4,0,4,0,0,0,7,0,0,0,3,4,0,4,0,0,9,0,0,23,79,25,25,13,0,0,164,28,36,113,352,151,160,100,13,5,956,161,237,656,2216,957,977,633,98,23,5950
SOSR603,0,0,10,45,34,20,4,3,0,121,14,47,78,223,119,99,43,8,3,640,3,3,8,73,29,50,79,51,59,347,0,22,22,98,133,138,201,155,51,814,3,15,128,88,27,26,13,10,3,308,3,37,60,241,114,101,88,38,18,697,0,0,0,3,3,13,4,16,0,38,0,8,19,75,22,22,15,15,0,179,9,4,12,87,9,5,0,0,0,125,7,58,59,158,29,20,9,0,0,336,0,0,0,0,0,4,0,0,0,8,0,4,0,8,11,5,3,3,0,33,12,64,63,201,117,101,95,26,9,687,13,14,38,128,18,28,9,0,0,243,0,5,4,19,28,45,34,28,10,182,0,9,12,26,24,26,10,0,3,109,49,214,343,1133,411,371,292,216,123,3152,499,872,1140,2739,1537,1630,1402,1014,503,11325,10290,21057,22810,45773,23022,22751,17594,10056,4651,178009
SOSR611,0,0,0,17,19,8,6,0,0,51,3,14,25,124,62,47,17,3,0,302,0,0,0,16,8,14,8,8,26,85,0,7,3,32,46,65,95,42,21,310,5,10,40,52,6,10,3,5,0,126,0,16,26,64,34,30,21,9,3,205,0,0,0,0,0,0,0,0,0,8,4,4,3,40,10,10,5,0,0,84,3,0,0,20,4,0,0,0,0,31,0,10,16,34,12,4,3,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,9,5,22,9,55,24,27,16,7,4,170,0,12,16,52,11,7,0,0,0,91,0,0,5,8,3,15,26,5,11,74,0,4,8,3,10,5,3,3,0,30,17,90,165,549,210,136,97,63,50,1374,275,416,663,1287,733,731,772,433,269,5583,4404,8923,10773,18408,9872,9120,7504,4264,2061,75329
SOSR612,0,0,0,3,3,0,0,0,0,10,0,6,5,32,14,30,14,3,0,107,0,0,0,0,3,0,4,0,0,11,0,0,0,9,15,17,44,22,5,107,3,3,0,0,0,0,0,0,0,9,0,0,9,11,8,14,10,4,0,51,0,0,0,0,0,0,0,3,0,5,0,14,3,18,11,3,5,0,0,51,0,0,14,46,0,0,0,0,0,55,0,0,3,14,4,0,0,0,0,23,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,4,10,11,6,14,3,0,50,0,0,0,3,3,0,0,0,0,11,0,0,0,7,3,5,0,3,3,18,0,0,0,3,0,3,0,0,0,8,0,5,0,21,16,27,25,26,9,131,63,113,113,301,197,268,272,175,74,1582,1324,2834,2725,5110,3022,3018,2755,1572,680,23046
SOSR613,0,0,0,3,0,6,0,0,0,11,0,10,12,29,16,24,7,0,0,105,0,0,0,0,0,3,7,5,3,17,0,3,6,7,22,28,53,19,4,139,0,0,0,3,3,4,0,0,0,14,0,3,7,18,8,3,3,3,0,55,0,0,0,0,0,0,7,0,0,8,0,7,0,13,7,0,0,0,0,22,0,0,0,4,0,0,0,0,0,6,0,6,9,8,6,3,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,4,15,10,10,4,0,3,57,0,3,0,7,0,0,0,0,0,12,0,0,0,0,0,0,19,4,0,31,0,0,3,0,9,0,0,0,0,13,3,13,11,45,25,33,33,35,13,203,63,128,203,432,307,305,356,234,85,2102,1773,3737,3943,6773,4213,4211,3620,2273,872,31416
SOSR614,0,0,0,0,0,0,0,0,0,4,3,0,0,9,9,4,3,0,0,25,0,0,0,0,0,0,0,3,0,10,0,0,0,5,0,3,19,17,3,50,0,0,0,0,0,0,0,0,0,0,0,4,0,6,3,3,6,0,0,23,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11,4,16,0,0,0,0,3,0,3,0,0,9,0,3,4,7,4,10,7,10,7,52,26,67,76,196,118,138,145,119,36,916,637,1311,1174,2313,1412,1522,1412,915,294,11004
SOSR615,0,0,0,12,12,6,3,0,0,40,4,11,11,59,18,20,19,6,0,151,0,0,0,0,8,6,4,6,3,28,0,3,0,14,27,51,91,54,21,265,0,5,0,8,7,3,3,0,0,24,0,8,5,48,13,11,22,10,3,117,0,0,0,0,3,3,0,9,0,13,0,0,0,6,0,0,0,0,0,16,0,0,0,11,0,0,0,0,0,14,3,3,4,14,14,4,3,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,14,10,33,24,22,20,11,4,145,0,0,4,8,3,3,0,0,0,17,0,3,0,9,8,8,20,10,0,60,0,0,0,12,5,5,4,3,0,30,3,27,18,77,57,84,89,44,25,417,153,335,366,878,620,797,721,511,192,4576,3527,7474,6345,12829,7936,8658,7815,4234,1632,60455
SOSR621,0,3,0,6,7,0,0,0,0,17,0,4,3,20,15,10,8,3,0,60,0,0,0,3,4,3,3,6,0,12,0,0,0,7,10,26,34,17,3,101,0,0,4,3,7,4,0,0,0,14,0,3,0,27,12,10,6,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,5,0,0,0,4,6,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,19,9,19,21,0,0,74,0,0,0,5,0,0,0,0,0,6,0,0,0,0,4,7,9,6,0,29,0,0,0,7,3,4,0,0,0,18,3,5,6,39,24,32,27,18,14,168,49,143,126,301,253,315,259,140,51,1645,1050,2303,1807,4026,2577,3124,2619,1227,363,19103
SOSR622,0,0,0,0,0,3,3,0,0,10,0,0,0,6,0,7,3,0,0,18,0,0,0,3,0,3,0,0,0,5,0,3,0,5,10,9,25,14,5,62,0,0,0,0,0,4,0,0,0,10,0,0,0,0,3,3,9,0,0,16,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,3,0,0,0,4,0,0,0,0,0,9,0,0,0,3,4,3,0,0,0,10,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,6,12,9,9,5,3,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,17,0,0,0,3,0,0,3,0,0,5,0,0,0,24,9,17,22,6,3,87,24,63,85,181,173,219,195,123,50,1120,519,1340,1130,2200,1696,2093,1819,829,286,11910
SOSR631,0,0,0,21,19,16,4,3,0,66,4,21,5,86,40,33,22,3,0,216,0,0,0,9,6,18,20,3,3,67,0,4,9,35,74,106,145,57,6,433,0,8,4,15,17,18,6,0,0,68,0,13,24,69,57,79,43,16,4,300,0,0,0,0,3,6,3,7,0,23,0,0,3,11,6,5,3,3,0,31,0,0,4,49,0,3,0,0,0,52,3,3,4,28,12,6,3,0,0,56,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,10,7,19,27,62,66,93,90,17,6,390,0,0,0,13,0,0,0,0,0,14,0,0,5,15,23,35,45,13,3,137,0,0,0,14,13,17,8,3,0,61,6,34,32,160,140,186,178,85,14,833,269,705,645,1709,1406,1711,1210,505,106,8272,4898,12713,10066,20056,16160,17527,12150,4225,926,98715
SOSR679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,10,32,15,12,7,0,0,68
SOSR699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,0,0,0,13,0,5,14,44,21,13,14,3,0,116,40,36,153,329,135,113,84,12,3,912
SOSR703,0,17,30,163,112,48,23,9,0,397,86,600,611,2244,703,383,149,38,16,4823,0,3,0,40,4,24,9,5,3,84,6,19,26,119,95,96,61,34,7,463,3,11,15,81,41,51,25,12,0,252,7,50,78,252,106,50,23,12,0,574,0,0,0,4,8,6,5,9,0,31,25,64,45,312,77,55,30,19,6,626,11,5,33,387,15,10,0,3,0,472,26,68,100,298,145,62,25,14,0,731,0,0,0,6,5,3,3,0,0,15,0,3,0,18,6,3,5,0,0,41,13,60,47,148,67,40,34,9,0,409,8,32,69,289,94,78,34,9,0,616,0,3,7,51,22,13,18,8,0,121,3,34,48,205,51,32,6,0,0,375,69,308,335,1487,684,467,322,171,38,3889,850,1256,1602,5377,1867,1444,726,249,80,13448,8966,14697,15025,43534,15672,11658,6161,2169,572,118456
SOSR712,0,0,6,18,14,7,3,0,0,52,5,41,83,209,89,50,4,0,3,486,0,0,0,3,3,7,0,0,0,12,0,0,0,20,16,15,12,11,0,77,0,3,0,20,6,0,0,0,0,29,0,17,20,58,30,7,5,3,0,142,0,0,0,0,0,5,0,0,0,4,8,14,7,55,14,10,0,0,0,103,0,0,18,81,3,4,0,0,0,111,0,11,8,26,11,3,3,0,0,58,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,38,97,70,238,115,83,22,4,0,669,0,3,13,27,19,7,3,0,0,71,0,0,0,0,6,7,0,5,0,17,0,32,13,88,32,8,3,0,0,181,9,36,41,234,96,58,36,12,0,512,168,300,310,972,425,365,197,61,30,2828,1760,3261,2696,7686,3548,2864,1288,468,156,23726
SOSR714,0,0,0,6,3,0,0,0,0,12,3,17,27,66,31,26,11,3,0,182,0,0,0,4,0,0,0,0,0,4,0,0,0,0,5,4,6,5,0,19,0,0,0,0,0,0,0,0,0,0,0,0,4,4,9,3,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,3,0,17,0,0,0,0,0,21,0,0,0,4,0,0,0,0,0,5,0,0,0,6,7,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,10,3,3,0,0,0,25,0,3,3,14,3,0,0,0,0,22,0,0,0,4,3,0,0,0,0,6,0,0,8,3,6,3,0,0,0,21,0,0,0,18,10,6,5,3,0,39,93,121,162,413,193,141,84,39,14,1252,536,851,826,1970,879,697,372,136,38,6303
SOSR715,0,0,6,13,8,0,0,0,0,30,6,13,10,56,25,12,0,3,0,133,0,0,0,3,0,3,0,0,0,3,0,0,3,0,0,8,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,4,3,8,14,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,10,0,0,3,12,3,0,3,0,0,24,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,10,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,13,5,4,3,0,0,29,0,4,3,33,29,21,9,0,0,105,76,172,158,391,195,170,55,16,4,1231,1574,3291,2898,5795,2224,1413,477,128,14,17812
SOSR721,0,6,0,17,5,4,0,0,0,30,0,8,0,28,4,9,3,0,0,58,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,3,3,0,0,10,0,0,0,0,0,0,0,0,0,4,0,8,0,20,4,3,0,0,0,35,0,0,0,0,0,0,3,0,0,6,0,0,0,5,0,0,0,0,0,5,0,0,0,6,0,4,0,0,0,9,0,0,0,11,10,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,9,0,0,0,21,0,0,3,4,0,0,0,0,0,11,0,0,0,0,3,0,0,0,0,3,0,0,0,7,0,3,0,0,0,9,0,4,0,36,20,16,7,0,0,88,44,106,149,372,184,104,54,13,3,1037,1259,2513,2301,4644,1765,1109,426,109,27,14150
SOSR722,0,0,0,3,0,3,0,0,0,6,0,3,0,10,7,0,3,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,0,0,10,4,8,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4,0,0,0,13,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,3,0,0,0,5,0,3,3,22,7,3,9,3,0,49,53,91,79,211,136,139,71,18,0,795,1094,2163,1998,3416,1524,1146,556,181,38,12119
SOSR731,3,3,0,22,14,14,5,0,0,63,3,14,3,78,44,27,16,4,0,197,0,0,0,5,0,3,0,0,0,11,0,0,4,10,16,34,24,4,0,84,0,0,0,6,3,3,0,0,0,11,0,0,5,23,23,8,4,0,0,67,0,0,0,0,0,3,3,0,0,5,0,0,0,3,0,0,0,0,0,6,0,0,0,12,0,0,0,0,0,14,3,7,3,28,21,14,5,3,0,84,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,3,3,16,4,20,6,0,0,57,3,13,5,85,54,34,3,4,0,201,0,0,0,8,3,6,8,0,0,20,0,3,5,18,14,15,4,0,0,50,3,6,17,81,47,46,51,10,6,271,243,516,525,1311,851,695,337,100,11,4594,2364,4949,4746,9716,5235,3962,2104,541,88,33706
SOSR779,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,3,5,47,9,3,0,3,0,70
