SOSR_CODE_2016,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
SOSR714,1335,751,1058,762,802,633,343,129,38,5856,0,5,4,3,0,3,0,0,0,20,9,5,19,16,36,100,76,10,3,266,6,8,20,24,26,70,82,32,10,289,8,22,25,22,38,60,36,8,0,226,3,6,24,11,32,47,39,8,0,166,5,5,5,11,16,31,29,3,0,96,0,0,4,0,0,13,9,0,0,29,37,41,83,71,108,92,22,3,0,461,0,0,0,0,0,5,7,0,0,17,0,0,0,0,0,0,0,0,0,0,75,97,181,152,250,414,295,74,12,1555,75,104,186,158,251,414,295,73,12,1567,1409,857,1249,921,1055,1052,635,200,47,7427
SOSR715,4658,2738,2994,2449,2041,1301,432,125,14,16745,42,21,16,12,10,9,0,0,0,105,0,13,22,10,18,30,61,10,3,161,9,6,22,5,13,39,50,15,3,160,16,10,16,33,26,48,27,7,0,173,16,0,12,5,16,35,16,8,0,109,0,4,7,7,11,15,10,0,0,57,0,0,0,0,3,9,3,0,0,20,76,65,157,84,120,106,23,4,0,629,0,0,4,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,111,104,236,138,206,280,188,42,10,1323,154,126,249,156,214,287,191,42,10,1428,4811,2860,3245,2601,2256,1588,622,168,19,18176
SOSR721,3586,2176,2498,1879,1609,1017,404,105,25,13311,32,20,15,9,6,4,0,0,0,93,23,16,45,64,89,155,149,25,0,579,33,11,53,32,58,157,139,17,0,502,28,37,108,94,119,150,84,3,0,613,16,7,12,24,26,42,42,6,0,174,0,11,10,15,17,46,76,4,0,189,5,0,3,0,9,24,9,4,0,52,86,97,155,121,135,72,21,4,0,693,3,0,9,6,8,18,4,0,0,46,0,0,0,0,0,3,0,0,0,3,194,180,399,364,466,667,516,64,3,2846,227,201,407,373,476,671,516,64,5,2938,3812,2380,2909,2250,2087,1691,926,165,30,16250
SOSR722,3070,1850,1731,1389,1373,1045,511,167,35,11175,30,13,20,5,11,5,3,0,0,101,4,4,19,16,32,73,94,4,3,254,4,8,18,20,24,64,72,20,0,229,13,18,13,12,26,65,69,15,0,230,14,6,12,9,15,60,101,16,0,230,21,3,24,14,16,41,37,7,0,167,4,0,0,4,8,18,9,0,0,41,96,108,98,83,60,89,34,8,0,578,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,157,153,189,159,182,408,416,70,3,1739,188,169,209,167,197,413,415,73,6,1836,3260,2015,1939,1551,1572,1463,926,243,43,13011
SOSR731,7071,4416,4596,4566,4956,3658,1969,514,85,31824,21,44,29,18,22,12,14,0,0,160,80,101,161,131,171,407,436,57,8,1548,138,56,120,136,177,444,487,102,6,1677,49,115,197,186,251,385,337,57,8,1579,21,35,84,71,104,262,266,69,9,919,26,38,127,125,120,225,211,24,0,907,16,10,3,16,32,82,66,14,0,252,210,245,401,274,305,357,166,35,6,1994,8,3,11,7,7,23,16,3,0,85,0,0,0,0,0,0,0,0,0,0,552,610,1106,943,1174,2177,1991,373,39,8962,572,653,1135,963,1195,2194,2006,373,39,9129,7642,5065,5729,5523,6148,5846,3976,880,124,40944
SOSR779,3,5,30,19,9,3,0,3,0,70,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,6,15,8,0,44,0,0,3,3,4,4,3,3,0,24,0,0,5,8,7,7,13,0,0,35,0,0,0,0,0,3,0,0,0,5,0,3,13,7,12,10,0,0,0,43,0,0,0,0,0,0,4,0,0,7,0,3,3,7,10,6,3,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,27,23,31,46,38,13,0,185,0,11,27,23,31,46,38,13,0,185,3,20,54,47,39,46,38,10,0,252
SOSR799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR802,72551,52989,62420,55705,48407,38463,26703,13177,5764,376175,71,97,88,76,69,107,121,61,25,713,261,984,956,901,1081,1137,651,257,76,6298,64,220,380,351,395,348,186,37,17,1996,119,191,248,234,328,248,139,32,10,1537,10,57,78,85,127,120,71,12,9,569,68,55,87,92,95,89,47,13,3,554,5,19,16,42,33,44,42,7,0,211,6,17,21,26,22,15,3,0,0,109,876,1295,1515,847,602,497,353,313,203,6492,0,0,0,3,3,4,0,0,0,16,1407,2840,3307,2585,2679,2494,1488,670,311,17772,1477,2936,3398,2660,2748,2596,1606,727,337,18479,74032,55921,65815,58366,51158,41063,28309,13901,6103,394661
SOSR822,56,27,7,30,43,34,29,19,3,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,3,0,0,0,0,6,54,27,14,31,48,34,32,19,3,264
SOSR831,173,93,100,131,116,82,33,14,3,736,0,0,0,0,0,0,0,0,0,0,0,5,9,0,8,4,0,0,0,30,0,0,4,0,3,3,3,0,0,19,0,0,0,3,5,3,0,0,0,10,0,0,4,0,0,3,0,0,0,8,0,3,0,3,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,3,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,8,13,24,12,16,19,3,0,0,95,8,13,24,12,16,19,3,0,0,95,179,105,118,141,135,94,38,16,3,827
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,3,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,3,0,3,0,0,0,0,12,0,9,3,0,3,0,0,0,0,12,0,9,3,0,3,0,0,0,0,12
SOSR899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR915,300,137,187,197,245,226,133,29,3,1467,0,0,0,0,0,0,0,0,0,4,3,3,8,10,12,5,0,0,0,34,0,0,0,0,7,3,0,0,0,17,0,0,4,8,16,5,0,0,0,32,0,0,3,0,3,11,0,0,0,16,5,0,13,14,17,16,10,0,0,68,0,0,0,0,0,0,0,0,0,3,0,0,5,0,3,0,0,0,0,13,0,0,5,0,0,4,0,0,0,13,0,0,17,12,17,8,0,0,0,51,4,10,61,42,71,48,14,0,0,245,4,10,61,42,72,48,14,0,0,248,308,141,248,237,322,270,153,29,3,1714
SOSR921,122,51,54,100,116,128,103,38,17,724,0,0,0,0,0,3,0,0,0,5,0,0,0,3,9,30,44,15,0,105,0,0,0,0,0,3,6,3,3,11,0,0,3,0,9,14,19,3,0,49,3,0,0,0,0,3,3,0,0,11,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0,12,0,0,0,0,0,0,0,0,0,7,3,5,3,3,23,53,79,27,3,199,3,5,7,6,23,60,79,27,3,210,123,49,59,107,134,183,180,62,22,931
SOSR922,146,87,103,99,82,93,56,23,0,694,0,0,0,0,3,0,0,3,0,6,0,19,34,23,17,8,8,3,0,109,0,5,12,6,0,0,3,0,0,20,0,9,5,3,0,8,3,0,0,28,0,0,0,0,0,0,0,0,0,5,0,9,13,13,16,14,17,0,0,81,0,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,9,3,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,40,76,51,38,35,22,3,0,266,3,46,76,51,38,35,24,3,0,271,152,134,183,149,123,121,82,26,6,972
SOSR931,217,121,180,205,209,190,139,71,27,1365,0,0,0,0,0,0,3,0,0,3,6,3,9,3,14,14,17,7,0,68,0,0,3,0,0,7,3,4,0,21,0,3,3,0,3,15,15,3,0,44,3,0,7,0,0,3,0,3,0,16,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,6,3,0,0,0,0,3,0,5,4,19,15,6,26,9,17,51,39,19,7,190,15,5,26,9,17,52,47,18,7,190,234,125,206,212,220,243,184,95,32,1556
SOSR979,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,14,0,0,3,3,6,0,0,0,0,14,0,0,9,5,3,0,0,0,0,19
SOSR999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
