SOSR_CODE_2016,POL_Greek_SEO,POL_Greek_SOLSE_VWorW,POL_Greek_SOLSE_NWorNAA,POL_Greek_SOLSE_Tot,POL_Greek_NS,POL_Greek_Tot,POL_IAL_Bengali_SEO,POL_IAL_Bengali_SOLSE_VWorW,POL_IAL_Bengali_SOLSE_NWorNAA,POL_IAL_Bengali_SOLSE_Tot,POL_IAL_Bengali_NS,POL_IAL_Bengali_Tot,POL_IAL_Hindi_SEO,POL_IAL_Hindi_SOLSE_VWorW,POL_IAL_Hindi_SOLSE_NWorNAA,POL_IAL_Hindi_SOLSE_Tot,POL_IAL_Hindi_NS,POL_IAL_Hindi_Tot,POL_IAL_Punjabi_SEO,POL_IAL_Punjabi_SOLSE_VWorW,POL_IAL_Punjabi_SOLSE_NWorNAA,POL_IAL_Punjabi_SOLSE_Tot,POL_IAL_Punjabi_NS,POL_IAL_Punjabi_Tot,POL_IAL_Sinhalese_SEO,POL_IAL_Sinhalese_SOLSE_VWorW,POL_IAL_Sinhale_SOLSE_NWorNAA,POL_IAL_Sinhalese_SOLSE_Tot,POL_IAL_Sinhalese_NS,POL_IAL_Sinhalese_Tot,POL_IAL_Urdu_SEO,POL_IAL_Urdu_SOLSE_VWorW,POL_IAL_Urdu_SOLSE_NWorNAA,POL_IAL_Urdu_SOLSE_Tot,POL_IAL_Urdu_NS,POL_IAL_Urdu_Tot,POL_IAL_Oth_SEO,POL_IAL_Oth_SOLSE_VWorW,POL_IAL_Oth_SOLSE_NWorNAA,POL_IAL_Oth_SOLSE_Tot,POL_IAL_Oth_NS,POL_IAL_Oth_Tot,POL_IAL_Tot_SEO,POL_IAL_Tot_SOLSE_VWorW,POL_IAL_Tot_SOLSE_NWorNAA,POL_IAL_Tot_SOLSE_Tot,POL_IAL_Tot_NS,POL_IAL_Tot_Tot,POL_Italian_SEO,POL_Italian_SOLSE_VWorW,POL_Italian_SOLSE_NWorNAA,POL_Italian_SOLSE_Tot,POL_Italian_NS,POL_Italian_Tot,POL_Japanese_SEO,POL_Japanese_SOLSE_VWorW,POL_Japanese_SOLSE_NWorNAA,POL_Japanese_SOLSE_Tot,POL_Japanese_NS,POL_Japanese_Tot,POL_Korean_SEO,POL_Korean_SOLSE_VWorW,POL_Korean_SOLSE_NWorNAA,POL_Korean_SOLSE_Tot,POL_Korean_NS,POL_Korean_Tot,POL_Macedonian_SEO,POL_Macedonian_SOLSE_VWorW,POL_Macedonian_SOLSE_NWorNAA,POL_Macedonian_SOLSE_Tot,POL_Macedonian_NS,POL_Macedonian_Tot,POL_Maltese_SEO,POL_Maltese_SOLSE_VWorW,POL_Maltese_SOLSE_NWorNAA,POL_Maltese_SOLSE_Tot,POL_Maltese_NS,POL_Maltese_Tot,POL_Persian_ED_SEO,POL_Persian_ED_SOLSE_VWorW,POL_Persian_ED_SOLSE_NWorNAA,POL_Persian_ED_SOLSE_Tot,POL_Persian_ED_NS,POL_Persian_ED_Tot,POL_Polish_SEO,POL_Polish_SOLSE_VWorW,POL_Polish_SOLSE_NWorNAA,POL_Polish_SOLSE_Tot,POL_Polish_NS,POL_Polish_Tot,POL_Russian_SEO,POL_Russian_SOLSE_VWorW,POL_Russian_SOLSE_NWorNAA,POL_Russian_SOLSE_Tot,POL_Russian_NS,POL_Russian_Tot,POL_Samoan_SEO,POL_Samoan_SOLSE_VWorW,POL_Samoan_SOLSE_NWorNAA,POL_Samoan_SOLSE_Tot,POL_Samoan_NS,POL_Samoan_Tot,POL_Serbian_SEO,POL_Serbian_SOLSE_VWorW,POL_Serbian_SOLSE_NWorNAA,POL_Serbian_SOLSE_Tot,POL_Serbian_NS,POL_Serbian_Tot,POL_SAL_Filipino_SEO,POL_SAL_Filipino_SOLSE_VWorW,POL_SAL_Filipin_SOLSE_NWorNAA,POL_SAL_Filipino_SOLSE_Tot,POL_SAL_Filipino_NS,POL_SAL_Filipino_Tot,POL_SAL_Indonesian_SEO,POL_SAL_Indonesia_SOLSE_VWorW,POL_SAL_Indones_SOLSE_NWorNAA,POL_SAL_Indonesian_SOLSE_Tot,POL_SAL_Indonesian_NS,POL_SAL_Indonesian_Tot,POL_SAL_Tagalog_SEO,POL_SAL_Tagalog_SOLSE_VWorW,POL_SAL_Tagalog_SOLSE_NWorNAA,POL_SAL_Tagalog_SOLSE_Tot,POL_SAL_Tagalog_NS,POL_SAL_Tagalog_Tot,POL_SAL_Oth_SEO,POL_SAL_Oth_SOLSE_VWorW,POL_SAL_Oth_SOLSE_NWorNAA,POL_SAL_Oth_SOLSE_Tot,POL_SAL_Oth_NS,POL_SAL_Oth_Tot,POL_SAL_Tot_SEO,POL_SAL_Tot_SOLSE_VWorW,POL_SAL_Tot_SOLSE_NWorNAA,POL_SAL_Tot_SOLSE_Tot,POL_SAL_Tot_NS,POL_SAL_Tot_Tot,POL_Spanish_SEO,POL_Spanish_SOLSE_VWorW,POL_Spanish_SOLSE_NWorNAA,POL_Spanish_SOLSE_Tot,POL_Spanish_NS,POL_Spanish_Tot,POL_Tamil_SEO,POL_Tamil_SOLSE_VWorW,POL_Tamil_SOLSE_NWorNAA,POL_Tamil_SOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_SOLSE_VWorW,POL_Thai_SOLSE_NWorNAA,POL_Thai_SOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_SOLSE_VWorW,POL_Turkish_SOLSE_NWorNAA,POL_Turkish_SOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_SOLSE_VWorW,POL_Vietnamese_SOLSE_NWorNAA,POL_Vietnamese_SOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_SOLSE_VWorW,POL_Oth_SOLSE_NWorNAA,POL_Oth_SOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_SOLSE_VWorW,POL_Tot_SOLSE_NWorNAA,POL_Tot_SOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LSatH_NS_SEO,P_LSatH_NS_SOLSE_VWorW,P_LSatH_NS_SOLSE_NWorNAA,P_LSatH_NS_SOLSE_Tot,P_LSatH_NS_NS,P_LSatH_NS_Tot,P_Tot_SEO,P_Tot_SOLSE_VWorW,P_Tot_SOLSE_NWorNAA,P_Tot_SOLSE_Tot,P_Tot_NS,P_Tot_Tot
SOSR179,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,3,0,3,0,3,..,3,3,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,4,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,16,16,0,16,..,3,0,3,0,5,..,48,44,90,0,92,..,3,0,4,41,44,279,54,46,96,40,412
SOSR199,..,34,0,36,0,36,..,16,3,20,0,20,..,51,4,55,0,55,..,15,3,18,0,18,..,6,0,6,0,6,..,37,8,38,0,38,..,36,0,32,0,32,..,157,17,173,0,173,..,55,3,54,0,61,..,14,3,16,0,16,..,27,11,36,0,36,..,10,0,10,0,10,..,3,0,3,0,3,..,16,3,16,0,16,..,8,0,8,0,8,..,15,5,19,0,19,..,35,0,35,0,35,..,8,0,9,0,9,..,22,0,22,0,22,..,28,3,31,0,31,..,28,0,28,0,28,..,8,0,8,0,8,..,88,3,91,0,91,..,83,15,96,3,98,..,12,0,12,0,12,..,22,10,32,0,32,..,24,3,26,0,26,..,61,21,80,0,80,..,243,41,283,8,286,..,1495,314,1803,19,1822,..,36,9,43,3211,3251,7212,1529,320,1848,3230,12288
SOSR201,..,86340,18809,105148,949,106101,..,9498,680,10180,79,10258,..,45820,2302,48117,357,48480,..,45576,5225,50798,531,51328,..,33529,1940,35474,262,35737,..,19923,1950,21876,211,22088,..,28135,2434,30569,208,30772,..,182480,14528,197010,1648,198662,..,83232,14308,97540,1281,98825,..,8667,1482,10152,87,10233,..,10518,4095,14616,128,14744,..,22580,4498,27075,291,27359,..,13047,1114,14160,180,14347,..,12356,3035,15393,148,15544,..,11713,1650,13366,123,13488,..,13716,2962,16677,131,16806,..,9428,801,10236,181,10417,..,12436,2640,15081,151,15233,..,14680,406,15093,130,15219,..,14639,1062,15702,106,15811,..,19356,546,19899,192,20094,..,6237,376,6616,55,6668,..,54914,2396,57309,483,57797,..,28659,3582,32237,313,32552,..,22216,2252,24465,219,24682,..,8100,1890,9994,83,10077,..,23872,5587,29460,302,29760,..,68803,31162,99965,766,100731,..,164529,43781,208311,4004,212313,..,1162936,245677,1408615,14457,1423074,..,10185,2632,12821,221714,234537,2538591,1173117,248316,1421435,236170,4196198
SOSR203,..,524,89,614,6,622,..,101,12,112,0,112,..,463,13,473,5,473,..,625,67,687,4,699,..,205,12,221,0,221,..,199,21,227,0,227,..,297,11,312,5,315,..,1892,137,2033,15,2051,..,1531,266,1797,34,1833,..,179,12,191,0,191,..,103,29,136,0,136,..,733,184,920,12,930,..,64,4,67,0,67,..,331,78,408,3,407,..,336,67,409,3,411,..,164,41,211,0,211,..,22,0,22,0,22,..,548,144,692,11,702,..,290,10,292,0,292,..,182,4,186,0,189,..,359,9,365,4,366,..,143,3,148,3,149,..,968,23,993,11,1000,..,363,78,446,11,454,..,173,10,181,0,181,..,164,43,209,3,211,..,202,53,250,3,254,..,363,146,509,4,516,..,3251,1120,4372,94,4465,..,16893,3413,20303,277,20579,..,435,50,484,8947,9433,127090,17330,3459,20787,9221,157104
SOSR211,..,499,85,581,4,593,..,251,26,273,0,280,..,850,61,917,6,917,..,1076,158,1239,16,1253,..,445,27,476,4,474,..,342,36,376,9,382,..,497,137,631,4,636,..,3461,448,3908,40,3951,..,792,66,857,18,877,..,194,24,213,3,218,..,140,36,172,0,172,..,209,34,248,4,252,..,725,50,775,15,790,..,120,31,150,0,150,..,222,32,259,0,255,..,156,19,177,0,175,..,556,39,593,12,608,..,370,61,434,11,442,..,589,14,604,6,613,..,196,7,211,4,212,..,758,22,780,3,790,..,168,8,172,3,172,..,1714,56,1764,21,1784,..,647,76,722,7,726,..,193,18,209,0,208,..,221,49,266,9,275,..,222,38,251,0,255,..,383,162,552,14,563,..,4543,1458,6004,142,6139,..,19424,3542,22961,345,23310,..,803,67,870,17103,17975,234443,20223,3611,23836,17452,275731
SOSR212,..,598,96,701,7,705,..,122,0,124,0,128,..,330,12,339,0,345,..,868,158,1018,17,1043,..,326,25,349,0,345,..,179,12,193,3,197,..,264,26,290,4,297,..,2084,231,2313,35,2346,..,1753,270,2022,29,2052,..,145,32,176,0,183,..,95,97,188,0,193,..,163,23,184,3,182,..,162,4,162,0,164,..,103,38,140,0,140,..,133,13,147,0,148,..,51,7,54,0,54,..,282,23,303,3,300,..,64,8,74,0,73,..,287,15,293,0,294,..,80,9,82,0,85,..,368,16,382,0,381,..,156,51,210,0,216,..,882,92,972,9,979,..,198,29,229,0,233,..,143,23,165,0,165,..,188,50,235,3,238,..,600,236,834,9,836,..,207,138,345,3,350,..,3129,1188,4317,81,4401,..,14080,3659,17740,230,17969,..,435,72,513,11839,12345,139940,14516,3735,18245,12072,170256
SOSR213,..,485,68,553,12,564,..,70,3,77,0,77,..,254,17,274,3,276,..,452,58,509,8,514,..,205,17,218,0,221,..,96,3,104,0,106,..,198,21,216,0,219,..,1279,118,1402,15,1412,..,1640,279,1918,42,1960,..,143,15,159,0,155,..,44,15,62,0,62,..,79,14,95,0,92,..,295,23,318,3,325,..,59,9,70,0,70,..,199,30,223,3,226,..,74,8,79,0,79,..,53,3,56,0,56,..,146,30,173,3,174,..,400,22,417,0,424,..,144,18,158,0,159,..,484,21,504,0,504,..,108,19,127,0,128,..,1134,72,1206,3,1210,..,295,34,327,3,331,..,99,17,122,0,122,..,140,30,170,6,174,..,81,22,105,0,105,..,239,94,329,7,336,..,1835,452,2289,65,2353,..,11288,1770,13063,213,13279,..,655,61,710,15890,16597,221137,11940,1829,13770,16104,251012
SOSR214,..,279,42,324,11,336,..,26,3,24,0,24,..,135,10,148,0,143,..,279,40,316,0,316,..,67,7,78,0,77,..,72,9,79,0,80,..,76,8,83,0,83,..,644,74,724,3,728,..,906,113,1017,26,1045,..,79,8,85,0,85,..,44,4,46,0,46,..,64,3,69,0,69,..,174,13,182,0,184,..,11,3,14,0,14,..,82,9,86,0,94,..,39,3,38,0,38,..,21,0,21,0,24,..,42,0,42,0,45,..,165,3,162,4,168,..,52,5,62,0,62,..,171,5,177,0,181,..,41,6,42,0,44,..,433,15,444,3,450,..,170,14,189,0,189,..,74,8,83,3,80,..,90,22,108,0,110,..,43,9,54,0,54,..,70,21,91,0,95,..,846,194,1038,40,1074,..,5746,984,6729,125,6855,..,335,32,362,10588,10952,121061,6075,1022,7095,10719,138874
SOSR215,..,373,47,417,5,425,..,52,0,55,0,55,..,162,4,163,6,168,..,216,38,253,5,254,..,88,10,97,0,96,..,44,9,48,0,50,..,131,8,141,3,139,..,689,63,754,8,766,..,1315,182,1497,34,1535,..,105,19,120,0,120,..,38,15,49,3,51,..,85,7,92,0,97,..,161,9,166,0,167,..,31,0,32,0,32,..,153,17,175,6,179,..,63,12,78,0,78,..,27,5,40,0,40,..,71,8,74,0,75,..,220,8,225,0,225,..,70,3,69,3,72,..,259,8,267,3,277,..,95,8,98,0,99,..,641,23,661,15,679,..,294,19,315,3,318,..,45,21,67,4,66,..,158,43,202,3,204,..,130,36,164,0,164,..,179,147,322,6,324,..,1537,347,1888,50,1939,..,8332,1355,9682,186,9869,..,525,35,562,14714,15282,191830,8855,1386,10247,14899,216976
SOSR221,..,107,19,126,3,122,..,4,0,4,0,4,..,14,0,14,0,14,..,28,5,34,0,34,..,5,0,5,0,5,..,8,0,8,0,8,..,17,0,17,0,17,..,71,5,79,0,79,..,217,14,234,5,238,..,25,4,26,0,26,..,8,0,4,0,4,..,23,10,28,0,28,..,68,3,72,3,76,..,5,0,10,0,10,..,28,3,26,0,28,..,14,3,18,3,17,..,8,0,11,0,11,..,29,3,32,0,32,..,46,0,44,3,48,..,27,0,27,0,33,..,42,0,41,0,39,..,19,0,19,0,19,..,129,4,137,3,137,..,88,3,92,4,98,..,11,0,11,0,11,..,55,7,67,0,67,..,19,11,32,0,32,..,19,4,21,0,21,..,329,45,376,10,380,..,1762,173,1936,41,1980,..,144,9,157,4462,4619,54026,1909,182,2093,4505,60620
SOSR222,..,65,5,69,0,69,..,0,0,0,0,0,..,7,0,7,0,9,..,29,0,31,0,31,..,3,0,3,0,3,..,5,0,5,0,5,..,7,0,7,0,7,..,51,3,51,0,48,..,147,12,157,0,157,..,15,3,23,0,23,..,12,9,21,0,21,..,7,0,7,0,7,..,20,0,20,0,20,..,0,0,0,0,0,..,12,3,12,0,13,..,13,0,13,0,13,..,3,0,3,0,3,..,14,4,14,0,16,..,56,7,65,0,64,..,3,0,6,0,9,..,38,0,37,0,42,..,12,3,18,0,18,..,109,13,129,4,129,..,64,8,74,0,74,..,3,0,3,0,3,..,29,9,34,0,34,..,9,0,9,0,9,..,13,3,18,0,22,..,203,36,247,8,253,..,1162,182,1348,20,1365,..,130,0,131,3028,3155,33676,1293,191,1481,3044,38204
SOSR231,..,987,130,1115,17,1131,..,56,4,58,0,58,..,356,15,378,0,377,..,561,108,670,8,677,..,205,13,213,8,220,..,58,3,64,0,61,..,110,7,116,0,116,..,1348,146,1497,15,1511,..,3302,306,3607,68,3671,..,206,21,222,5,226,..,39,6,50,0,50,..,400,54,449,10,460,..,714,29,741,10,750,..,38,0,38,0,38,..,301,22,318,3,323,..,158,25,179,0,182,..,111,4,122,0,121,..,229,25,251,0,258,..,387,20,409,3,407,..,139,5,144,4,149,..,344,17,358,6,368,..,102,12,111,0,111,..,968,53,1022,13,1029,..,419,38,455,11,466,..,112,8,128,0,128,..,219,38,260,0,260,..,278,46,319,6,328,..,262,110,378,4,379,..,2411,400,2810,81,2890,..,16914,1944,18858,302,19154,..,927,70,994,33101,34097,360793,17839,2015,19857,33406,414055
SOSR279,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,10,0,10,..,0,0,0,3,3,18,5,0,10,3,29
SOSR299,..,36,3,41,0,41,..,8,0,8,0,8,..,27,3,28,0,28,..,23,0,25,0,25,..,10,0,10,0,10,..,10,3,17,0,17,..,21,0,23,0,23,..,97,9,104,0,104,..,58,7,69,3,68,..,7,3,9,0,9,..,20,20,37,0,37,..,9,0,9,0,9,..,3,0,4,0,4,..,14,8,22,0,22,..,5,0,5,0,5,..,11,7,19,0,19,..,12,0,17,0,17,..,9,0,9,0,9,..,11,0,11,0,14,..,11,0,11,0,11,..,16,0,16,0,16,..,3,0,3,0,3,..,42,0,41,0,42,..,49,9,60,0,60,..,11,3,14,0,14,..,9,3,14,0,14,..,34,4,36,0,41,..,62,27,90,3,95,..,220,74,296,11,307,..,1036,339,1376,22,1393,..,37,4,42,1929,1976,4201,1069,343,1412,1951,7565
SOSR301,..,6601,750,7352,59,7414,..,2283,238,2523,13,2531,..,13625,634,14259,132,14396,..,11432,1299,12728,131,12862,..,4133,224,4351,20,4380,..,3411,385,3790,31,3828,..,9088,702,9785,56,9844,..,43968,3482,47443,381,47829,..,8570,917,9489,140,9632,..,5528,956,6491,49,6541,..,8801,4156,12963,78,13040,..,731,89,826,9,830,..,388,19,411,11,422,..,4321,844,5158,29,5190,..,2916,266,3182,33,3214,..,3108,402,3511,21,3527,..,12286,1136,13421,237,13658,..,2767,459,3227,18,3248,..,5485,165,5645,44,5690,..,3251,292,3538,29,3568,..,8613,245,8867,79,8945,..,2289,102,2390,25,2417,..,19638,800,20441,173,20616,..,12626,1698,14321,105,14430,..,3665,366,4033,31,4062,..,3261,715,3977,30,4010,..,1009,158,1165,5,1171,..,15350,6761,22110,129,22243,..,52427,11871,64298,1482,65787,..,297201,56022,353226,3723,356944,..,4861,743,5603,112446,118047,1579625,302068,56758,358826,116163,2054614
SOSR302,..,1348,131,1480,8,1490,..,357,24,380,0,385,..,1287,52,1341,9,1349,..,1276,144,1425,14,1439,..,310,8,322,5,322,..,386,19,404,5,404,..,1142,64,1212,16,1225,..,4763,309,5072,45,5121,..,2159,161,2322,31,2350,..,4561,1116,5675,25,5703,..,2411,1025,3430,28,3457,..,272,33,311,3,310,..,253,6,258,7,266,..,761,94,857,3,864,..,852,74,927,10,936,..,1157,163,1321,11,1334,..,532,18,546,8,550,..,926,161,1086,9,1097,..,1046,23,1069,9,1083,..,664,34,702,15,719,..,1522,33,1557,7,1567,..,352,18,370,3,374,..,3590,111,3705,37,3736,..,2784,278,3063,41,3107,..,297,4,300,3,305,..,1177,262,1437,10,1448,..,453,66,516,0,521,..,773,168,940,11,944,..,9990,1329,11317,188,11503,..,57711,9097,66810,657,67468,..,1369,131,1502,37898,39402,433686,59083,9229,68307,38558,540559
SOSR303,..,762,81,840,18,858,..,288,16,305,3,309,..,1017,47,1067,7,1067,..,1514,177,1689,24,1717,..,556,31,589,7,593,..,274,19,296,3,300,..,1646,553,2203,18,2216,..,5307,848,6149,58,6211,..,2400,194,2597,36,2628,..,2587,514,3096,13,3114,..,1203,572,1770,11,1779,..,51,6,55,0,53,..,112,0,114,4,118,..,341,41,381,4,381,..,421,31,449,14,466,..,427,48,477,5,482,..,251,21,270,9,281,..,157,13,168,3,171,..,1331,41,1374,16,1390,..,541,51,594,4,598,..,2160,83,2240,21,2262,..,419,16,429,5,436,..,4450,187,4643,48,4685,..,1479,124,1606,14,1621,..,410,19,429,9,438,..,999,179,1176,6,1189,..,93,13,104,0,109,..,706,217,918,4,924,..,11635,2258,13896,319,14209,..,47509,7090,54600,756,55365,..,1691,162,1853,45147,47006,554497,49205,7259,56458,45908,656870
SOSR311,..,89,10,102,7,107,..,184,15,202,0,207,..,369,23,389,0,393,..,322,33,357,8,368,..,213,13,226,0,227,..,145,10,156,0,160,..,442,52,496,5,500,..,1681,149,1835,19,1852,..,454,64,514,11,527,..,150,42,193,0,197,..,160,85,246,3,245,..,12,0,12,0,12,..,181,21,199,4,199,..,58,9,67,0,67,..,76,10,83,0,83,..,109,8,116,0,118,..,93,5,99,0,105,..,41,0,43,3,45,..,829,50,874,16,891,..,111,13,121,0,122,..,1193,61,1256,18,1272,..,165,16,176,0,177,..,2293,135,2428,33,2461,..,247,22,263,3,264,..,206,81,285,0,285,..,277,45,325,4,330,..,95,11,112,0,112,..,336,261,595,3,602,..,2364,578,2940,66,3008,..,11994,2008,14006,202,14209,..,644,51,698,16120,16817,208123,12641,2058,14701,16322,239151
SOSR312,..,36,6,42,0,42,..,59,8,67,0,73,..,135,6,139,0,140,..,89,16,109,0,109,..,34,4,34,0,34,..,48,6,51,0,51,..,65,3,69,0,69,..,431,38,473,4,472,..,71,3,72,0,72,..,32,3,35,0,35,..,32,8,45,0,45,..,6,0,5,0,5,..,5,0,5,0,5,..,41,3,39,0,39,..,24,0,28,0,28,..,28,7,35,0,35,..,21,0,21,0,19,..,21,3,17,0,17,..,261,22,283,3,287,..,46,0,49,0,49,..,397,27,422,9,426,..,51,0,50,0,51,..,751,46,797,13,804,..,86,9,99,0,97,..,90,14,101,3,104,..,76,4,83,0,83,..,7,0,7,0,7,..,30,14,52,0,52,..,556,79,637,34,671,..,2968,328,3299,58,3355,..,127,12,144,3836,3985,48284,3097,344,3442,3897,55622
SOSR313,..,89,7,92,5,101,..,29,3,35,0,35,..,203,9,210,3,216,..,153,23,178,0,178,..,97,4,95,0,99,..,48,6,53,0,53,..,154,11,165,0,165,..,677,61,739,3,745,..,210,18,230,7,232,..,122,17,142,5,145,..,66,35,96,0,101,..,3,0,3,0,3,..,10,0,13,0,12,..,26,3,26,0,26,..,79,6,84,0,90,..,83,3,84,0,84,..,82,3,86,0,86,..,30,0,32,0,32,..,553,15,571,6,578,..,65,3,64,0,64,..,573,20,595,10,603,..,91,8,94,0,96,..,1279,49,1321,12,1337,..,189,18,204,0,210,..,98,7,107,0,107,..,146,22,167,0,173,..,29,4,33,0,33,..,89,32,118,3,121,..,1424,203,1628,54,1684,..,6603,690,7293,136,7423,..,439,42,481,11459,11942,141252,7047,734,7776,11593,160616
SOSR314,..,122,12,128,3,134,..,42,18,64,0,64,..,148,17,165,0,165,..,529,97,625,13,639,..,79,8,84,0,81,..,50,0,53,3,54,..,150,20,169,0,169,..,993,163,1155,13,1171,..,971,217,1184,16,1199,..,216,77,295,4,298,..,156,197,358,3,361,..,4,0,4,0,4,..,27,0,28,0,26,..,43,4,43,0,43,..,87,7,94,0,93,..,59,6,69,0,69,..,51,0,52,0,52,..,30,3,29,0,29,..,380,22,395,4,401,..,80,13,95,0,99,..,552,18,566,8,575,..,82,4,85,0,85,..,1095,53,1145,15,1162,..,209,32,234,3,237,..,88,25,106,0,106,..,159,29,181,0,188,..,42,11,48,0,48,..,153,110,256,3,263,..,1515,389,1906,31,1937,..,8420,1994,10415,140,10552,..,445,40,487,12790,13281,134791,8864,2035,10901,12934,158624
SOSR315,..,109,16,127,0,132,..,36,7,44,0,44,..,165,16,178,0,178,..,254,35,291,4,296,..,61,8,68,0,68,..,47,4,53,0,53,..,123,8,129,3,130,..,685,80,767,6,773,..,870,178,1049,25,1073,..,219,47,266,5,272,..,161,173,336,3,339,..,5,0,8,0,8,..,39,4,47,3,48,..,27,0,26,0,26,..,77,7,83,0,83,..,76,12,87,0,87,..,96,3,97,4,102,..,36,5,40,0,46,..,465,26,492,9,503,..,114,9,121,5,118,..,653,30,685,6,694,..,124,18,137,0,137,..,1349,84,1439,22,1458,..,304,21,320,9,327,..,46,0,46,0,46,..,190,41,234,8,236,..,4,3,10,0,10,..,153,93,251,4,251,..,2424,466,2893,101,2991,..,12116,1913,14028,384,14406,..,718,86,805,20695,21501,214251,12835,1993,14831,21077,250156
SOSR321,..,37,4,39,0,44,..,10,0,10,0,10,..,40,0,38,0,37,..,57,12,69,7,69,..,9,0,9,0,9,..,19,0,19,0,19,..,31,3,31,0,31,..,159,12,173,9,182,..,250,28,279,6,282,..,97,11,111,0,111,..,9,0,11,0,19,..,0,0,0,0,0,..,26,0,33,3,30,..,4,0,4,0,4,..,33,3,39,0,39,..,35,3,33,0,33,..,12,0,12,0,12,..,13,5,19,0,19,..,92,3,96,3,99,..,29,7,35,0,36,..,142,3,146,0,149,..,27,0,28,3,24,..,287,12,303,7,308,..,80,5,91,0,90,..,13,0,13,0,13,..,79,17,90,3,95,..,4,3,7,0,7,..,29,5,36,0,36,..,943,209,1155,31,1185,..,5491,628,6119,166,6283,..,264,29,292,7756,8047,84540,5756,652,6411,7920,98873
SOSR322,..,14,0,15,0,15,..,4,0,4,0,4,..,12,0,12,0,12,..,30,7,37,0,37,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,10,0,10,..,49,7,56,0,54,..,179,20,196,3,198,..,28,10,41,0,42,..,8,3,9,0,9,..,3,0,3,0,3,..,12,0,12,0,12,..,6,0,6,0,6,..,13,0,13,0,13,..,16,3,17,0,17,..,0,0,0,0,0,..,0,0,0,0,4,..,47,3,45,0,49,..,14,0,14,0,14,..,49,3,52,3,53,..,7,0,7,0,10,..,122,3,126,3,131,..,28,3,34,0,33,..,0,0,0,0,0,..,26,7,32,0,32,..,0,0,0,0,0,..,9,5,12,0,12,..,563,91,656,8,670,..,4236,607,4845,168,5011,..,165,47,212,3617,3827,35840,4393,657,5049,3789,44685
SOSR331,..,182,8,191,6,199,..,22,7,27,0,27,..,191,3,190,3,199,..,231,36,271,4,270,..,64,3,73,0,74,..,30,0,31,0,32,..,84,6,91,0,95,..,631,61,688,6,700,..,1555,130,1685,41,1723,..,307,91,397,5,403,..,113,75,186,0,183,..,22,0,25,0,25,..,199,9,211,4,212,..,37,3,40,0,41,..,148,13,164,3,163,..,172,30,201,5,202,..,85,3,89,0,89,..,61,8,70,0,70,..,388,14,397,3,405,..,125,7,139,3,141,..,418,18,437,5,441,..,87,5,94,0,96,..,1024,37,1063,17,1081,..,484,35,521,5,522,..,54,0,58,0,58,..,282,52,333,0,333,..,37,5,37,0,44,..,257,175,432,8,440,..,2377,425,2802,79,2886,..,13404,1645,15054,308,15356,..,1053,48,1105,37372,38474,376928,14461,1701,16161,37676,430761
