SOSR_CODE_2016,P_15_19_Num_chld_evr_brn_Nne,P_15_19_Num_chld_evr_brn_1,P_15_19_Num_chld_evr_brn_2,P_15_19_Num_chld_evr_brn_3,P_15_19_Num_chld_evr_brn_4,P_15_19_Num_chld_evr_brn_5,P_15_19_Num_chd_evr_brn_6_mr,P_15_19_Num_chld_evr_brn_ns,P_15_19_yrs_Total,P_20_24_Num_chld_evr_brn_Nne,P_20_24_Num_chld_evr_brn_1,P_20_24_Num_chld_evr_brn_2,P_20_24_Num_chld_evr_brn_3,P_20_24_Num_chld_evr_brn_4,P_20_24_Num_chld_evr_brn_5,P_20_24_Num_chd_evr_brn_6_mr,P_20_24_Num_chld_evr_brn_ns,P_20_24_yrs_Total,P_25_29_Num_chld_evr_brn_Nne,P_25_29_Num_chld_evr_brn_1,P_25_29_Num_chld_evr_brn_2,P_25_29_Num_chld_evr_brn_3,P_25_29_Num_chld_evr_brn_4,P_25_29_Num_chld_evr_brn_5,P_25_29_Num_chd_evr_brn_6_mr,P_25_29_Num_chld_evr_brn_ns,P_25_29_yrs_Total,P_30_34_Num_chld_evr_brn_Nne,P_30_34_Num_chld_evr_brn_1,P_30_34_Num_chld_evr_brn_2,P_30_34_Num_chld_evr_brn_3,P_30_34_Num_chld_evr_brn_4,P_30_34_Num_chld_evr_brn_5,P_30_34_Num_chd_evr_brn_6_mr,P_30_34_Num_chld_evr_brn_ns,P_30_34_yrs_Total,P_35_39_Num_chld_evr_brn_Nne,P_35_39_Num_chld_evr_brn_1,P_35_39_Num_chld_evr_brn_2,P_35_39_Num_chld_evr_brn_3,P_35_39_Num_chld_evr_brn_4,P_35_39_Num_chld_evr_brn_5,P_35_39_Num_chd_evr_brn_6_mr,P_35_39_Num_chld_evr_brn_ns,P_35_39_yrs_Total,P_40_44_Num_chld_evr_brn_Nne,P_40_44_Num_chld_evr_brn_1,P_40_44_Num_chld_evr_brn_2,P_40_44_Num_chld_evr_brn_3,P_40_44_Num_chld_evr_brn_4,P_40_44_Num_chld_evr_brn_5,P_40_44_Num_chd_evr_brn_6_mr,P_40_44_Num_chld_evr_brn_ns,P_40_44_yrs_Total,P_45_49_Num_chld_evr_brn_Nne,P_45_49_Num_chld_evr_brn_1,P_45_49_Num_chld_evr_brn_2,P_45_49_Num_chld_evr_brn_3,P_45_49_Num_chld_evr_brn_4,P_45_49_Num_chld_evr_brn_5,P_45_49_Num_chd_evr_brn_6_mr,P_45_49_Num_chld_evr_brn_ns,P_45_49_yrs_Total,P_50_54_Num_chld_evr_brn_Nne,P_50_54_Num_chld_evr_brn_1,P_50_54_Num_chld_evr_brn_2,P_50_54_Num_chld_evr_brn_3,P_50_54_Num_chld_evr_brn_4,P_50_54_Num_chld_evr_brn_5,P_50_54_Num_chd_evr_brn_6_mr,P_50_54_Num_chld_evr_brn_ns,P_50_54_yrs_Total,P_55_59_Num_chld_evr_brn_Nne,P_55_59_Num_chld_evr_brn_1,P_55_59_Num_chld_evr_brn_2,P_55_59_Num_chld_evr_brn_3,P_55_59_Num_chld_evr_brn_4,P_55_59_Num_chld_evr_brn_5,P_55_59_Num_chd_evr_brn_6_mr,P_55_59_Num_chld_evr_brn_ns,P_55_59_yrs_Total,P_60_64_Num_chld_evr_brn_Nne,P_60_64_Num_chld_evr_brn_1,P_60_64_Num_chld_evr_brn_2,P_60_64_Num_chld_evr_brn_3,P_60_64_Num_chld_evr_brn_4,P_60_64_Num_chld_evr_brn_5,P_60_64_Num_chd_evr_brn_6_mr,P_60_64_Num_chld_evr_brn_ns,P_60_64_yrs_Total,P_65_69_Num_chld_evr_brn_Nne,P_65_69_Num_chld_evr_brn_1,P_65_69_Num_chld_evr_brn_2,P_65_69_Num_chld_evr_brn_3,P_65_69_Num_chld_evr_brn_4,P_65_69_Num_chld_evr_brn_5,P_65_69_Num_chd_evr_brn_6_mr,P_65_69_Num_chld_evr_brn_ns,P_65_69_yrs_Total,P_70_74_Num_chld_evr_brn_Nne,P_70_74_Num_chld_evr_brn_1,P_70_74_Num_chld_evr_brn_2,P_70_74_Num_chld_evr_brn_3,P_70_74_Num_chld_evr_brn_4,P_70_74_Num_chld_evr_brn_5,P_70_74_Num_chd_evr_brn_6_mr,P_70_74_Num_chld_evr_brn_ns,P_70_74_yrs_Total,P_75_79_Num_chld_evr_brn_Nne,P_75_79_Num_chld_evr_brn_1,P_75_79_Num_chld_evr_brn_2,P_75_79_Num_chld_evr_brn_3,P_75_79_Num_chld_evr_brn_4,P_75_79_Num_chld_evr_brn_5,P_75_79_Num_chd_evr_brn_6_mr,P_75_79_Num_chld_evr_brn_ns,P_75_79_yrs_Total,P_80_84_Num_chld_evr_brn_Nne,P_80_84_Num_chld_evr_brn_1,P_80_84_Num_chld_evr_brn_2,P_80_84_Num_chld_evr_brn_3,P_80_84_Num_chld_evr_brn_4,P_80_84_Num_chld_evr_brn_5,P_80_84_Num_chd_evr_brn_6_mr,P_80_84_Num_chld_evr_brn_ns,P_80_84_yrs_Total,P_85_ov_Num_chld_evr_brn_Nne,P_85_ov_Num_chld_evr_brn_1,P_85_ov_Num_chld_evr_brn_2,P_85_ov_Num_chld_evr_brn_3,P_85_ov_Num_chld_evr_brn_4,P_85_ov_Num_chld_evr_brn_5,P_85_ov_Num_chd_evr_brn_6_mr,P_85_ov_Num_chld_evr_brn_ns,P_85ov_Total,Tot_Nmbr_child_ever_born_None,Tot_Nmbr_children_ever_born_1,Tot_Nmbr_children_ever_born_2,Tot_Nmbr_children_ever_born_3,Tot_Nmbr_children_ever_born_4,Tot_Nmbr_children_ever_born_5,Tot_Nmbr_chidrn_ever_brn_6_mr,Tot_Nmbr_childrn_ever_born_Ns,Total_Total
SOSR521,902,35,5,3,0,0,0,234,1179,646,170,72,20,3,0,3,140,1053,549,248,244,106,35,11,5,144,1340,308,235,359,218,74,16,19,146,1375,213,154,349,260,119,37,50,133,1312,187,145,441,236,125,52,43,138,1363,206,145,501,300,155,58,57,150,1577,201,161,477,356,142,57,55,158,1597,158,124,475,364,182,64,42,144,1560,134,129,442,350,146,78,61,151,1480,97,88,388,327,158,57,33,129,1273,48,55,238,239,125,57,42,94,900,17,29,139,172,119,55,46,77,664,17,14,43,101,108,50,57,83,474,13,13,64,85,77,32,52,86,427,3702,1746,4232,3134,1573,626,568,2002,17583
SOSR522,391,20,3,0,0,0,0,101,516,316,115,50,12,0,0,0,94,597,261,120,104,82,22,4,0,120,719,167,116,151,112,37,19,13,116,726,108,69,134,109,60,29,16,81,597,82,75,144,111,47,36,24,92,601,85,73,177,130,68,35,26,73,659,76,66,196,151,83,35,40,81,728,85,60,226,146,88,25,29,79,736,50,67,182,178,78,33,20,94,706,43,32,180,131,60,27,20,67,562,22,17,91,102,72,22,23,58,401,20,16,46,82,52,26,37,46,320,10,10,24,49,45,15,23,23,194,5,5,15,21,25,21,19,25,136,1714,867,1720,1417,749,326,280,1139,8205
SOSR531,3406,41,3,0,0,0,0,668,4125,2304,269,107,30,3,4,3,403,3124,1808,524,448,203,43,16,6,483,3536,1142,626,1059,567,184,36,32,459,4109,690,482,1379,937,299,75,56,434,4349,666,518,1845,1132,426,114,91,515,5318,723,566,2111,1346,513,142,94,574,6072,745,565,2077,1526,612,177,96,602,6401,621,485,2002,1548,665,182,92,539,6142,448,389,1801,1408,659,172,81,477,5441,285,257,1509,1105,511,149,86,408,4312,173,166,843,770,447,130,72,268,2858,77,66,346,433,303,136,74,165,1610,32,37,133,219,145,106,69,105,848,26,35,131,127,101,59,62,81,633,13152,5038,15802,11360,4919,1499,920,6186,58873
SOSR579,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,3,0,0,0,0,9,26
SOSR599,45,3,0,0,0,0,0,20,65,156,9,6,0,3,0,0,71,242,184,15,8,9,3,3,3,87,309,108,8,22,11,3,0,0,78,230,55,12,16,17,7,0,0,47,155,44,7,24,10,4,3,0,53,147,33,14,20,8,4,3,0,50,137,29,13,52,32,8,3,3,48,185,37,19,65,38,12,11,0,40,216,33,14,56,57,14,6,4,33,218,14,13,67,29,16,8,0,29,176,6,3,23,14,10,3,3,20,83,0,3,3,3,6,4,0,3,24,0,0,3,0,6,0,0,4,15,0,0,0,0,0,0,0,3,11,753,137,375,233,86,37,17,589,2220
SOSR603,4682,83,14,0,0,0,0,562,5343,4680,494,199,57,11,3,3,487,5926,3794,896,643,236,67,18,3,413,6067,2164,1300,1388,520,190,51,27,364,6005,1243,1004,1844,750,287,96,68,310,5606,1060,891,2109,973,350,131,82,319,5908,957,847,2159,1080,376,120,81,327,5950,916,821,2177,1109,371,130,103,362,5982,916,802,2160,1301,476,158,84,391,6292,763,656,2002,1246,470,138,85,351,5711,613,527,1919,1201,443,144,80,363,5285,404,354,1347,1014,448,131,103,331,4132,252,216,879,801,434,191,143,268,3179,178,143,530,605,422,208,148,237,2465,244,271,680,617,434,200,201,360,2999,22865,9306,20031,11513,4763,1724,1209,5438,76850
SOSR611,2115,42,4,0,0,0,0,277,2449,2110,282,111,24,4,0,0,236,2764,1338,441,320,99,21,13,4,176,2415,702,447,604,256,91,39,17,167,2333,443,365,776,337,114,42,38,148,2264,423,340,843,445,158,70,43,157,2471,369,370,968,484,176,68,41,164,2636,355,307,913,505,168,58,42,173,2525,343,268,829,583,192,72,41,190,2503,267,251,847,536,205,70,35,161,2370,227,179,797,531,168,56,40,205,2193,182,125,574,442,207,71,46,161,1807,120,99,311,354,206,84,58,129,1369,93,62,222,256,180,86,66,121,1095,118,105,275,320,189,95,80,175,1359,9209,3687,8390,5189,2082,821,546,2633,32562
SOSR612,650,23,3,0,0,0,0,59,740,432,98,59,11,0,0,0,43,646,326,143,120,47,24,11,0,38,701,179,103,194,84,21,9,7,30,618,96,93,217,117,56,16,18,29,646,85,102,264,141,55,22,12,38,723,86,147,301,151,67,19,14,47,822,98,102,286,170,60,27,17,33,792,104,87,290,170,77,27,15,52,819,81,51,265,191,73,27,19,58,767,85,86,280,199,94,34,14,79,871,52,44,180,163,80,38,21,60,633,36,20,113,111,92,38,23,61,496,28,22,78,87,51,34,34,60,385,30,22,86,86,51,41,42,98,443,2373,1125,2722,1728,800,341,230,780,10103
SOSR613,895,15,3,0,0,0,0,99,1015,633,124,63,17,0,0,0,59,899,393,163,177,74,23,7,0,57,890,191,173,258,137,41,20,10,48,881,131,123,287,160,76,30,12,42,863,105,122,334,192,65,39,23,49,923,114,128,386,238,104,27,18,39,1057,147,124,411,261,91,34,21,72,1171,131,117,428,278,105,29,25,65,1176,99,116,346,262,129,25,7,68,1046,103,93,293,296,148,41,21,73,1065,59,54,228,237,145,51,32,76,876,45,27,144,168,126,71,42,72,706,35,21,101,130,112,63,49,48,559,49,43,95,112,91,47,62,56,562,3137,1439,3548,2553,1255,483,330,925,13679
SOSR614,269,18,0,0,0,0,0,30,315,177,51,19,0,0,0,0,19,266,94,74,67,34,8,0,5,23,303,58,71,95,61,29,0,5,23,334,32,38,95,63,23,7,6,16,279,43,40,91,58,33,16,4,17,302,57,40,133,81,38,11,5,16,379,50,49,121,102,36,17,11,22,397,49,40,127,79,47,14,7,23,382,43,42,138,107,51,9,8,29,415,35,36,106,110,55,20,10,30,405,25,19,82,95,44,24,12,35,340,20,20,49,82,58,30,20,29,301,12,6,47,43,29,21,19,32,206,17,16,31,25,35,21,26,17,185,971,550,1205,941,474,181,134,359,4803
SOSR615,1428,27,0,0,0,0,0,166,1627,1037,232,102,25,3,0,0,125,1522,659,344,305,125,28,11,4,103,1594,365,327,524,291,83,13,16,96,1715,208,245,590,308,115,40,26,101,1627,229,234,653,364,146,45,41,93,1803,274,262,693,424,145,55,36,99,1987,285,223,769,437,178,72,47,132,2146,274,224,755,536,219,57,29,144,2249,230,197,769,555,227,62,39,168,2252,215,181,741,589,232,84,41,170,2249,160,117,528,477,201,91,62,134,1775,89,72,287,340,235,105,96,128,1351,61,63,177,209,148,89,75,108,932,64,90,205,187,153,96,116,130,1039,5584,2837,7102,4861,2111,823,619,1908,25850
SOSR621,397,8,0,0,0,0,0,68,477,284,47,34,3,0,0,0,48,418,208,93,94,29,9,6,0,32,461,131,95,151,65,19,5,0,30,502,79,75,164,110,37,14,3,27,515,87,78,236,129,31,18,13,47,632,77,98,212,121,44,16,15,45,627,87,86,218,135,61,14,21,43,668,114,79,283,200,79,24,7,53,830,88,81,276,169,66,16,12,58,767,77,65,271,172,61,24,3,48,722,49,37,163,144,74,23,14,56,555,30,19,82,96,68,26,20,40,387,9,18,46,54,37,13,14,42,238,26,6,30,37,31,18,13,33,210,1745,879,2261,1457,630,223,139,660,8003
SOSR622,254,3,0,0,0,0,0,41,306,155,27,10,3,3,0,0,24,220,100,36,53,20,5,0,0,20,235,60,51,80,41,17,3,3,25,269,40,35,106,43,29,6,9,15,281,49,48,128,86,20,9,7,24,362,65,54,130,93,23,11,4,20,405,70,66,155,100,36,7,9,37,477,59,53,187,113,44,11,7,35,510,67,45,170,110,54,20,3,41,505,42,57,180,117,63,16,5,47,534,33,28,102,76,39,16,11,29,335,18,23,48,58,44,21,20,25,251,8,12,25,29,19,9,17,27,153,6,12,40,32,24,16,13,18,167,1029,559,1410,924,413,151,114,427,5021
SOSR631,2389,29,5,0,0,0,5,399,2826,1404,199,80,13,8,0,0,164,1868,963,345,304,103,34,12,7,149,1913,544,451,678,386,115,33,20,163,2392,417,388,929,510,187,62,31,176,2700,453,406,1177,644,244,68,48,217,3267,602,464,1389,820,295,104,68,234,3971,594,430,1420,857,347,106,56,276,4097,669,425,1504,960,431,120,82,320,4522,496,384,1296,876,384,119,67,292,3912,363,306,1127,770,387,122,62,283,3409,188,158,597,510,274,109,66,165,2067,95,65,263,337,193,88,69,117,1229,33,35,117,136,103,76,60,57,625,34,38,86,90,77,46,44,35,456,9246,4136,10986,7012,3083,1066,674,3055,39262
SOSR679,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,8,0,0,0,0,18
SOSR699,22,0,0,0,0,0,0,3,33,14,3,4,0,0,0,0,8,29,29,4,0,0,0,0,0,4,38,10,3,5,0,0,0,0,3,29,14,3,7,5,0,0,0,3,30,8,4,0,3,0,0,0,3,24,4,8,4,3,4,0,0,9,29,7,0,7,4,3,0,0,10,36,3,0,6,3,0,0,0,3,25,7,3,6,10,4,0,0,3,30,4,3,11,7,0,0,0,7,31,3,0,3,3,3,0,0,0,13,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,34,57,46,20,5,0,56,350
SOSR703,2506,48,3,0,0,0,0,502,3058,2817,363,143,24,0,0,4,579,3926,3498,846,505,173,43,16,10,824,5903,2219,1191,1118,430,128,40,26,682,5828,1052,845,1389,642,220,70,30,477,4729,772,628,1289,680,275,71,63,441,4210,644,522,1217,661,265,92,75,394,3866,604,433,999,663,259,97,53,359,3470,415,366,934,607,283,85,50,354,3099,274,245,768,489,218,84,50,307,2436,181,193,525,375,197,61,53,206,1804,101,90,317,227,124,33,39,126,1056,65,52,151,158,84,55,57,89,726,30,28,61,61,59,35,66,43,369,21,30,50,54,38,26,49,59,323,15188,5877,9477,5250,2193,760,625,5446,44816
SOSR712,504,9,0,0,0,0,0,85,606,432,72,38,6,0,0,0,103,665,594,195,107,40,14,3,3,195,1143,375,201,227,94,39,18,8,150,1112,241,136,242,135,52,17,11,120,950,174,117,267,120,52,15,17,111,882,168,124,250,184,65,33,4,118,948,159,111,255,159,64,21,16,111,901,126,87,234,159,63,29,18,109,823,82,63,166,134,63,21,19,94,641,55,38,83,77,40,24,17,59,385,28,22,64,45,31,18,10,44,261,15,16,30,24,17,12,9,20,137,15,6,19,9,23,16,14,14,114,14,8,15,12,21,7,12,24,106,2974,1213,2005,1189,527,233,165,1357,9671
SOSR714,128,6,0,0,0,0,0,50,183,127,31,13,0,0,0,0,45,223,136,36,43,21,4,0,0,69,309,76,53,49,20,10,5,7,64,280,36,31,59,31,16,4,6,52,237,28,22,50,34,14,12,7,34,195,27,28,50,30,20,9,5,59,225,30,18,54,40,21,8,9,53,225,23,13,36,36,12,9,10,36,176,15,20,44,20,18,11,3,33,156,6,6,22,23,8,5,3,14,89,3,5,4,13,9,3,7,18,61,0,3,5,0,3,3,3,11,40,0,3,4,0,3,0,3,7,23,3,0,0,0,0,0,6,8,15,622,279,441,267,130,71,70,547,2446
SOSR715,369,77,6,3,0,0,0,253,712,263,203,88,19,3,4,0,130,718,205,143,166,105,33,5,3,134,788,162,133,163,124,59,29,17,158,846,93,82,117,131,75,44,30,95,672,93,57,121,101,68,26,36,128,626,92,68,98,99,65,42,34,77,577,72,51,96,97,55,32,38,110,546,46,38,82,91,45,26,34,55,416,38,28,46,51,36,21,34,38,297,16,13,26,22,11,25,16,18,146,13,3,3,14,5,5,12,9,63,3,7,7,4,5,6,13,3,44,0,0,9,0,4,3,4,4,33,0,0,3,0,3,0,0,0,16,1452,919,1030,872,456,275,271,1215,6494
SOSR721,285,41,9,3,3,0,0,180,514,258,127,60,17,5,0,0,125,591,270,127,105,58,20,7,3,123,712,169,104,119,69,45,18,7,102,639,93,55,112,80,48,38,18,88,524,86,40,101,65,54,28,18,101,493,83,60,104,75,58,21,17,117,529,60,40,72,61,42,32,16,68,394,35,34,58,63,35,16,13,47,297,23,27,37,47,26,19,20,42,242,12,6,20,25,15,9,10,23,124,7,4,10,11,13,7,16,18,90,3,0,0,3,3,0,9,9,30,3,0,0,0,3,0,7,6,24,0,0,0,0,3,4,3,0,19,1394,664,825,574,369,189,157,1048,5226
SOSR722,257,43,4,0,0,0,0,155,462,163,152,99,24,3,3,3,113,551,111,97,130,63,25,11,3,92,520,98,64,105,88,46,17,6,46,481,64,41,79,62,44,31,20,66,418,58,56,60,61,53,28,27,42,387,66,42,80,61,47,36,29,49,412,49,39,67,51,62,31,24,48,369,43,31,51,66,39,19,25,49,331,24,24,58,50,35,23,20,45,274,23,16,33,38,20,13,20,27,182,7,5,16,10,12,11,15,8,94,9,3,6,8,6,3,6,7,48,3,0,7,4,3,5,5,7,42,0,3,3,3,3,0,4,3,19,974,620,792,598,403,238,208,761,4592
SOSR731,675,43,3,0,0,0,0,332,1055,533,142,84,8,8,0,0,253,1032,438,166,159,63,18,8,6,213,1066,302,183,256,149,59,22,11,194,1177,191,134,303,187,81,31,23,168,1127,188,121,325,193,100,29,20,170,1149,176,126,357,231,101,41,34,191,1268,182,103,309,196,89,51,37,166,1144,109,108,246,228,97,39,40,177,1034,77,86,195,130,74,32,28,116,740,48,43,153,124,54,29,24,84,557,32,23,78,61,36,22,23,49,324,12,6,32,26,27,12,16,18,152,4,0,13,13,13,6,11,21,85,4,4,3,12,0,3,13,7,45,2975,1289,2535,1624,760,323,285,2173,11958
SOSR779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,9
SOSR799,16,0,0,0,0,0,0,0,17,51,0,0,0,0,0,0,37,85,62,11,5,3,0,0,0,50,129,35,8,9,6,5,0,0,41,106,21,13,14,6,0,0,0,27,83,15,9,18,9,6,3,3,31,95,17,9,19,12,7,0,3,31,99,13,0,29,19,5,0,5,36,104,16,6,30,16,10,4,0,20,100,18,15,34,23,5,0,3,19,107,6,0,32,10,4,4,3,6,67,3,3,6,4,6,0,0,8,30,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,75,201,106,54,17,20,302,1043
SOSR802,10920,46,13,0,0,0,4,1092,12080,13335,624,214,48,6,0,3,1272,15502,11617,2118,1115,292,88,24,4,1227,16487,7117,3926,3624,1002,216,74,44,1085,17084,3633,2810,5263,1938,460,147,69,789,15108,2595,2092,5544,2302,688,179,103,729,14234,2295,1917,5138,2327,711,164,105,683,13343,2062,1633,4677,2425,780,213,98,641,12535,1719,1499,4105,2389,821,208,132,638,11503,1239,1138,3612,2252,829,228,86,602,9991,972,968,3335,2138,786,230,132,494,9052,590,548,2239,1599,654,225,121,444,6413,348,358,1275,1187,632,249,177,384,4616,228,237,789,790,487,210,195,352,3286,215,317,794,759,494,244,242,773,3836,58881,20232,41725,21477,7644,2393,1512,11209,165069
SOSR822,14,0,0,0,0,0,0,0,18,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,3,0,0,10,0,0,0,0,17,0,0,3,3,0,0,0,0,9,4,3,5,3,0,0,0,3,13,0,0,3,3,0,0,0,0,5,3,0,7,5,0,0,0,0,14,0,0,3,0,0,0,0,0,6,0,0,0,4,0,0,0,0,9,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,4,29,29,6,5,0,9,116
SOSR831,28,0,0,0,0,0,0,8,31,15,0,0,0,0,0,0,3,20,12,3,3,0,0,0,0,3,28,9,6,8,4,3,0,0,4,32,9,11,10,8,0,0,0,0,33,3,0,17,14,0,0,0,3,34,11,3,3,4,6,0,0,4,24,0,4,3,11,6,0,0,3,24,0,3,12,8,7,0,0,0,27,3,0,3,0,3,0,0,0,12,0,0,0,3,5,0,0,3,11,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,88,36,59,50,29,3,0,36,295
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR899,14,0,0,0,0,0,0,3,20,31,0,0,0,0,0,0,9,42,20,0,0,0,0,0,0,0,21,14,0,3,0,0,0,0,3,20,12,4,4,0,0,0,0,9,25,8,0,3,0,0,0,0,0,9,0,0,3,3,0,0,0,0,11,0,0,6,3,0,0,0,3,15,6,3,3,3,3,0,0,0,22,3,0,3,4,0,0,0,0,15,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,3,101,14,30,21,7,7,0,29,209
SOSR915,22,0,0,0,0,0,0,5,34,24,0,0,0,0,0,0,4,36,22,7,4,3,0,0,0,5,47,19,11,11,3,4,0,0,9,61,10,9,12,14,0,0,0,4,57,10,3,19,13,0,0,0,6,48,6,9,23,8,3,0,3,7,62,6,3,14,6,7,0,0,20,65,6,6,15,13,11,0,0,16,66,3,4,16,11,3,3,0,5,49,0,0,6,0,3,0,3,3,23,0,0,0,0,0,3,0,3,14,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,140,48,141,73,35,10,14,98,562
SOSR921,11,0,0,0,0,0,0,8,19,5,0,0,0,0,0,0,0,11,15,0,4,0,0,0,0,0,18,5,3,4,0,0,0,0,0,19,4,3,6,0,0,0,0,0,20,8,4,8,10,4,4,0,0,34,5,9,12,5,5,0,0,0,32,3,3,13,4,0,0,0,3,31,9,4,14,6,0,0,0,0,36,5,3,14,4,3,0,0,7,37,9,4,14,12,3,0,0,3,35,0,0,8,5,3,0,0,3,20,0,0,3,4,0,0,0,3,12,0,0,0,3,0,0,3,0,5,3,0,3,3,0,0,0,0,11,88,39,93,50,27,10,0,34,346
SOSR922,14,0,0,0,0,0,0,3,20,4,3,0,0,0,0,0,6,14,3,3,9,5,0,0,0,0,20,11,6,9,5,0,0,0,7,38,0,4,5,5,0,0,0,0,20,3,7,3,3,3,0,0,3,25,3,3,3,4,0,0,0,3,19,3,3,11,4,5,3,0,0,28,4,0,12,13,3,0,0,3,27,4,0,3,8,0,0,0,0,21,0,5,4,4,0,0,0,0,14,4,3,0,4,0,0,0,0,16,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,60,38,57,50,14,7,4,35,276
SOSR931,24,0,0,0,0,0,0,7,28,7,0,0,0,0,0,0,0,9,7,6,0,0,0,0,0,0,15,5,6,6,4,0,0,0,4,32,9,3,15,12,0,0,0,5,43,12,6,8,8,0,0,0,7,41,11,5,18,12,4,0,5,3,51,7,10,16,14,0,0,0,7,54,4,8,25,12,0,0,0,11,55,7,3,16,4,7,4,0,5,50,9,4,12,11,3,0,0,6,45,5,6,11,12,4,0,0,3,42,3,0,7,4,4,3,0,3,23,0,3,3,0,3,3,3,7,22,0,0,3,4,3,0,0,0,13,109,62,124,98,35,10,11,67,519
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR999,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,6,3,0,0,0,4,30
