SOSR_CODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR201,4980,10369,7485,5381,7401,3863,1947,41426,643,417,288,227,320,207,145,2244,275,371,303,220,322,222,125,1842,9587,19430,14983,11469,17738,10291,5741,89244,575,1129,748,557,853,488,249,4602,878,1808,1115,694,790,419,206,5910,1457,2942,1861,1250,1646,907,449,10507,11043,22369,16846,12721,19381,11200,6192,99753,13907,13401,7633,5171,6861,3609,2149,52731,317,357,233,176,146,72,43,1349,25264,36127,24711,18072,26393,14883,8388,153834
SOSR203,315,502,399,274,382,152,64,2094,46,30,21,11,27,4,7,149,6,9,10,9,11,4,3,58,506,878,710,548,853,359,160,4015,25,81,47,40,45,6,7,259,52,97,61,31,41,12,3,294,86,178,108,70,91,21,12,552,591,1055,816,612,943,378,174,4570,899,843,413,320,368,126,58,3035,18,24,15,11,10,3,3,82,1503,1925,1248,940,1323,503,238,7678
SOSR211,679,1313,865,531,776,208,65,4444,117,93,45,36,41,15,4,348,22,24,22,18,27,3,9,123,1095,2092,1510,1064,1712,555,206,8234,88,204,127,77,93,20,8,607,169,299,151,89,108,21,9,846,252,502,277,170,197,37,11,1455,1346,2595,1789,1235,1903,595,215,9693,2305,2066,1055,613,642,178,80,6938,32,36,17,6,7,3,0,108,3684,4696,2861,1856,2555,780,298,16731
SOSR212,352,745,501,357,492,123,42,2614,60,30,25,16,37,6,7,174,13,33,13,9,20,3,0,94,615,1182,895,721,1130,308,109,4963,43,89,61,39,44,10,4,296,78,151,72,51,55,11,4,423,123,246,131,91,98,23,8,716,736,1425,1018,818,1228,333,115,5673,1211,1018,482,323,343,87,30,3494,26,27,13,9,9,0,0,88,1973,2468,1513,1149,1576,427,146,9251
SOSR213,586,1127,734,523,755,184,54,3964,63,61,29,31,40,9,3,241,19,25,29,19,20,8,0,112,856,1734,1265,981,1513,438,126,6923,48,121,82,51,71,21,3,404,92,212,121,60,71,18,7,578,133,332,205,112,136,43,6,979,990,2067,1474,1096,1657,475,133,7900,1682,1427,714,481,513,123,27,4972,41,36,16,11,12,7,0,126,2713,3535,2211,1593,2182,605,159,12997
SOSR214,260,571,408,301,400,106,20,2072,46,32,24,18,36,8,0,163,8,12,11,13,6,0,0,54,412,903,703,589,849,245,48,3753,19,79,40,27,32,4,3,208,39,89,50,35,28,4,0,246,61,166,88,60,65,15,3,453,467,1075,793,653,908,261,52,4209,880,773,375,286,277,69,21,2680,13,14,16,10,7,0,0,59,1357,1863,1180,948,1193,328,69,6942
SOSR215,446,997,650,429,599,129,41,3295,43,46,28,22,40,5,0,184,14,20,17,9,20,5,4,95,663,1469,1077,799,1205,303,90,5603,17,79,53,44,66,12,3,272,52,128,75,33,58,5,3,357,67,207,129,72,124,25,3,631,729,1676,1205,875,1325,321,93,6233,1121,1106,559,357,405,98,30,3677,15,19,19,14,7,3,0,76,1865,2802,1782,1243,1741,428,127,9980
SOSR221,88,214,176,120,140,33,9,776,12,12,11,7,10,0,0,56,3,4,0,3,8,3,0,22,132,327,272,200,294,65,17,1304,5,27,9,9,10,3,0,70,14,41,23,13,7,3,0,95,18,64,30,27,19,9,3,168,153,396,302,222,310,69,17,1471,263,264,162,87,102,28,3,900,10,8,4,0,3,3,0,25,425,668,462,312,418,94,26,2399
SOSR222,57,146,93,68,84,23,3,474,0,10,5,6,0,0,0,19,3,3,3,0,0,0,0,10,91,234,164,129,171,48,6,834,3,18,15,13,13,8,0,68,0,17,10,5,11,3,0,51,7,34,27,13,22,8,3,119,95,271,191,147,195,54,11,957,170,189,72,62,64,18,0,579,3,4,3,0,4,0,0,12,270,459,267,212,262,71,15,1545
SOSR231,402,776,614,440,612,182,55,3074,60,37,35,20,31,11,9,202,22,23,20,22,32,3,3,116,683,1364,1169,871,1319,363,152,5918,17,76,67,40,54,9,3,257,68,142,72,56,45,11,3,396,90,219,145,92,94,21,4,660,768,1578,1307,965,1414,382,157,6572,1048,1063,579,374,459,120,35,3667,25,32,29,15,19,4,0,123,1841,2673,1913,1356,1888,502,186,10361
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR301,3395,6491,4362,2810,3710,1299,578,22649,529,377,219,179,197,71,51,1628,154,274,157,115,159,57,27,933,6870,13501,10058,7128,10200,3965,1905,53627,643,1203,733,444,569,156,89,3830,848,1356,647,399,393,106,48,3798,1494,2562,1378,841,955,262,141,7629,8361,16065,11440,7963,11158,4227,2045,61258,9881,9297,4951,3046,3359,1139,632,32303,178,230,144,83,56,21,9,722,18420,25587,16534,11095,14574,5381,2687,94280
SOSR302,1064,2168,1447,987,1238,344,164,7418,114,107,59,38,65,27,12,413,33,80,37,41,49,14,5,260,1879,3874,2862,2113,2999,927,453,15100,98,241,154,97,123,29,19,765,201,412,195,129,129,39,10,1109,299,647,346,223,253,70,28,1870,2179,4521,3206,2338,3248,992,480,16966,2236,2127,1061,728,851,231,145,7380,36,63,29,25,24,3,3,179,4457,6714,4293,3089,4120,1229,635,24535
SOSR303,1291,2819,1879,1233,1623,277,140,9256,106,134,76,53,88,17,17,487,57,60,70,52,52,6,10,317,2292,5100,3748,2810,3917,775,364,19001,232,498,291,197,238,41,9,1513,289,569,302,184,153,27,16,1537,524,1067,592,382,395,67,22,3049,2812,6164,4336,3194,4307,843,391,22051,3684,3698,1796,1174,1225,232,105,11915,52,71,38,40,30,3,3,239,6553,9935,6173,4404,5566,1075,503,34202
SOSR311,488,1041,643,467,523,60,14,3234,47,52,31,9,30,4,0,176,19,30,24,11,23,7,3,112,815,1817,1323,922,1306,177,54,6416,132,294,198,111,118,11,3,870,178,281,144,84,61,14,0,773,313,569,348,199,185,23,6,1642,1124,2389,1669,1121,1490,193,63,8061,1927,1667,863,483,481,57,22,5499,32,40,29,18,9,0,3,127,3085,4099,2562,1622,1975,253,89,13687
SOSR312,106,183,126,78,107,3,4,606,3,12,9,4,8,0,0,32,6,9,4,3,3,0,0,28,180,348,256,187,256,10,10,1238,44,65,46,20,48,9,0,237,42,62,27,22,15,0,0,173,89,129,80,40,60,10,0,404,271,476,332,227,317,18,10,1644,498,451,179,141,142,9,6,1428,14,22,8,4,3,0,0,50,776,942,515,379,457,29,10,3127
SOSR313,392,742,464,332,401,41,11,2378,48,39,15,19,26,3,0,164,16,24,18,8,17,0,5,85,683,1277,930,668,856,96,37,4548,83,155,103,49,59,3,0,447,86,183,92,54,46,0,4,473,165,339,195,107,102,3,7,913,845,1616,1127,773,959,98,40,5463,1300,1097,603,361,289,38,13,3710,26,22,16,12,3,0,0,76,2179,2736,1743,1140,1256,142,57,9246
SOSR314,319,655,457,296,338,27,16,2105,25,25,35,16,14,0,0,119,13,15,22,25,16,3,0,92,586,1204,884,653,783,91,42,4233,53,158,90,58,46,3,0,411,76,150,66,36,27,3,0,357,129,314,153,96,68,3,0,770,714,1514,1034,751,847,95,41,5003,1061,1007,465,289,257,35,10,3128,21,35,17,6,6,0,0,89,1796,2558,1525,1045,1112,125,56,8221
SOSR315,469,992,677,455,518,46,14,3166,62,64,30,22,31,8,0,218,27,55,29,19,30,0,0,156,870,1822,1288,900,1150,136,34,6203,119,255,153,101,106,14,3,750,146,222,119,75,64,0,0,626,267,480,272,177,169,14,3,1370,1134,2295,1563,1073,1325,145,36,7576,2025,1891,963,606,498,43,21,6047,72,59,43,32,20,0,0,225,3240,4248,2564,1706,1836,194,56,13846
SOSR321,159,347,230,147,179,9,3,1075,18,30,13,15,4,3,0,82,9,8,11,0,12,0,0,48,289,674,450,324,375,40,12,2161,34,72,54,35,31,3,0,227,62,78,36,25,16,3,0,224,96,148,88,58,51,5,3,451,383,821,541,375,421,46,13,2610,788,711,365,219,159,13,3,2257,31,19,16,12,7,0,0,88,1202,1543,920,606,589,60,24,4952
SOSR322,90,151,103,51,67,0,3,476,10,10,4,3,8,0,0,28,5,3,4,0,6,0,0,20,167,281,202,105,151,8,8,923,30,61,19,19,24,0,0,149,21,37,20,11,5,0,3,87,47,94,45,23,29,0,3,237,213,374,242,127,180,6,12,1159,411,350,179,95,83,8,3,1135,6,9,13,8,0,0,0,37,632,735,438,228,258,20,13,2325
SOSR331,420,1058,748,483,575,76,41,3406,58,55,41,21,32,6,0,218,30,53,36,27,45,4,0,194,859,1876,1497,1039,1393,192,94,6953,69,192,129,83,93,10,8,582,90,183,78,76,62,10,0,496,166,370,204,163,151,18,5,1079,1024,2254,1702,1201,1549,206,100,8031,1564,1569,856,529,541,68,19,5146,32,37,27,21,16,4,0,140,2615,3858,2584,1753,2104,276,121,13309
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR401,1995,3848,2623,1862,2568,1039,564,14501,302,199,122,76,137,53,44,934,72,102,71,53,68,37,16,420,3375,6577,4875,3680,5891,2749,1520,28672,232,574,320,244,307,141,51,1873,397,719,406,221,256,96,44,2135,628,1285,725,471,564,234,95,4006,4001,7865,5606,4150,6457,2984,1616,32679,5666,5345,2816,1958,2305,956,529,19588,117,146,81,45,39,14,9,449,9785,13361,8505,6158,8798,3958,2151,52713
SOSR412,192,362,250,163,223,44,22,1250,32,17,9,6,16,6,3,83,3,10,9,4,7,0,0,42,305,579,426,309,472,99,41,2227,37,61,46,28,50,9,0,231,44,60,45,20,17,0,3,184,78,120,91,47,64,11,3,412,384,697,509,359,537,112,49,2644,626,485,267,176,174,33,10,1778,19,26,11,4,0,0,0,57,1021,1209,784,537,716,150,55,4473
SOSR413,188,455,329,239,306,72,20,1607,32,18,10,9,9,0,0,83,4,10,8,3,4,0,0,34,288,683,519,406,622,147,59,2722,26,54,48,28,37,3,0,198,52,79,64,26,39,5,7,269,77,135,112,46,69,12,7,465,364,820,624,452,695,161,67,3189,690,684,347,215,221,49,12,2221,19,18,9,5,7,0,0,65,1077,1526,983,680,920,208,75,5471
SOSR414,31,93,69,43,57,18,9,320,7,13,3,0,6,0,0,31,0,0,0,0,3,0,0,7,60,148,116,93,147,31,11,609,3,3,3,10,3,0,0,23,3,8,9,4,8,0,0,34,3,14,15,11,15,0,0,56,58,158,129,109,157,31,11,666,83,102,58,39,37,15,0,333,8,3,3,0,0,0,0,13,148,266,195,153,197,45,12,1017
SOSR415,163,441,354,206,297,54,22,1539,18,15,13,15,16,10,0,80,11,12,11,11,8,0,0,51,284,729,577,408,601,118,44,2755,28,72,49,28,39,9,0,218,35,87,41,29,20,3,0,221,62,163,92,60,62,10,0,441,343,892,669,471,661,128,44,3203,553,522,289,172,196,28,9,1769,4,14,7,7,10,0,0,40,897,1425,967,650,859,157,52,5013
SOSR421,45,115,104,65,97,21,7,445,8,7,0,8,0,0,0,22,0,0,0,0,3,0,0,3,74,167,167,128,166,37,8,740,5,8,9,6,4,0,0,34,10,6,7,11,4,3,0,41,11,20,19,14,6,5,0,77,86,190,184,139,170,40,8,823,143,130,62,50,45,15,3,447,4,7,3,0,0,0,0,14,238,328,250,193,217,54,6,1282
SOSR422,15,74,52,38,48,6,0,232,6,3,0,3,0,0,0,16,0,4,3,0,0,0,0,3,36,113,85,70,87,14,3,403,3,13,8,3,9,0,0,38,6,5,0,3,3,0,3,22,12,20,6,3,11,0,3,57,45,132,95,72,103,12,3,464,115,124,61,44,34,9,0,394,0,3,0,0,0,0,0,3,161,256,154,114,132,26,6,858
SOSR431,113,261,210,152,207,62,20,1017,14,12,9,9,10,0,0,63,4,13,0,7,12,0,0,33,180,460,386,329,454,124,44,1977,16,33,26,16,31,7,0,120,21,39,22,9,19,0,0,115,35,68,48,31,47,8,0,237,212,534,438,357,501,131,47,2219,354,335,209,153,147,21,8,1211,16,17,12,7,6,0,0,67,585,883,655,515,657,149,55,3496
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR501,2712,5771,3923,2673,3667,1329,671,20752,326,247,172,128,211,74,66,1222,115,149,94,82,123,56,29,635,4887,10209,7614,5820,8923,3680,1965,43102,403,899,587,416,569,203,86,3160,641,1234,704,388,385,108,58,3511,1042,2135,1290,799,958,305,142,6673,5928,12347,8905,6619,9879,3983,2115,49777,7695,7067,3567,2270,2535,884,537,24566,178,190,119,71,38,12,4,620,13808,19598,12596,8965,12452,4883,2656,74959
SOSR511,136,309,234,142,231,17,3,1068,18,18,11,12,10,0,3,71,3,6,0,0,7,3,0,17,223,481,398,295,474,55,15,1937,17,45,20,19,20,3,3,122,26,85,32,15,23,0,0,186,44,130,47,35,42,11,3,304,260,607,450,328,509,61,22,2243,481,408,168,139,111,14,6,1320,3,13,5,6,3,3,0,34,746,1030,625,473,625,81,23,3609
SOSR512,222,476,347,213,251,31,13,1543,18,33,17,12,22,6,0,100,7,18,8,4,13,3,0,51,361,797,643,469,649,75,29,3025,21,72,43,40,51,5,0,231,39,103,51,33,21,5,0,256,64,172,94,74,78,7,0,488,423,971,739,542,727,81,35,3514,745,652,335,215,186,12,9,2146,28,27,18,6,5,0,0,82,1195,1648,1086,766,914,96,39,5744
SOSR513,92,152,77,52,47,0,0,426,7,4,3,3,8,0,0,31,5,5,3,0,5,0,0,24,199,334,206,164,176,6,3,1081,15,19,9,15,12,3,0,75,23,26,10,8,4,4,0,74,40,47,21,26,17,3,0,147,232,379,228,192,192,6,3,1229,338,289,145,66,71,0,0,906,16,26,13,10,0,0,0,64,591,695,377,266,263,8,3,2199
SOSR514,65,150,131,74,104,10,3,534,3,15,4,6,4,0,0,40,0,3,4,9,4,0,0,13,111,236,202,154,211,23,8,951,6,29,13,16,12,0,0,70,16,29,19,12,13,0,0,83,23,57,33,27,23,0,0,152,131,291,234,183,233,23,8,1105,297,229,108,70,51,4,0,766,0,8,3,0,0,0,0,6,428,531,350,250,289,32,12,1877
SOSR515,126,343,216,158,179,19,3,1038,19,22,17,5,16,0,3,80,7,11,8,6,8,0,0,43,244,588,434,328,391,48,10,2042,11,47,37,26,23,3,0,149,23,70,43,19,25,0,0,181,39,124,79,47,46,3,0,330,283,707,509,375,431,51,13,2371,602,569,257,159,126,12,0,1733,29,25,19,9,5,0,0,84,910,1297,790,541,568,63,14,4188
