SOSR_CODE_2016,A25_34_SOLSE_T_06_10,A25_34_SOLSE_T_11,A25_34_SOLSE_T_12,A25_34_SOLSE_T_13,A25_34_SOLSE_T_14,A25_34_SOLSE_T_15,A25_34_SOLSE_T_16,A25_34_SOLSE_T_YNS,A25_34_SOLSE_T_T,A25_34_L_PinE_NS_B00,A25_34_L_PinE_NS_00_05,A25_34_L_PinE_NS_06_10,A25_34_L_PinE_NS_11,A25_34_L_PinE_NS_12,A25_34_L_PinE_NS_13,A25_34_L_PinE_NS_14,A25_34_L_PinE_NS_15,A25_34_L_PinE_NS_16,A25_34_L_PinE_NS_YNS,A25_34_L_PinE_NS_T,A25_34_T_B00,A25_34_T_00_05,A25_34_T_06_10,A25_34_T_11,A25_34_T_12,A25_34_T_13,A25_34_T_14,A25_34_T_15,A25_34_T_16,A25_34_T_YNS,A25_34_T_T,A35_44_SEO_B00,A35_44_SEO_00_05,A35_44_SEO_06_10,A35_44_SEO_11,A35_44_SEO_12,A35_44_SEO_13,A35_44_SEO_14,A35_44_SEO_15,A35_44_SEO_16,A35_44_SEO_YNS,A35_44_SEO_T,A35_44_SOLSE_VWW_B00,A35_44_SOLSE_VWW_00_05,A35_44_SOLSE_VWW_06_10,A35_44_SOLSE_VWW_11,A35_44_SOLSE_VWW_12,A35_44_SOLSE_VWW_13,A35_44_SOLSE_VWW_14,A35_44_SOLSE_VWW_15,A35_44_SOLSE_VWW_16,A35_44_SOLSE_VWW_YNS,A35_44_SOLSE_VWW_T,A35_44_SOLSE_NWNAA_B00,A35_44_SOLSE_NWNAA_00_05,A35_44_SOLSE_NWNAA_06_10,A35_44_SOLSE_NWNAA_11,A35_44_SOLSE_NWNAA_12,A35_44_SOLSE_NWNAA_13,A35_44_SOLSE_NWNAA_14,A35_44_SOLSE_NWNAA_15,A35_44_SOLSE_NWNAA_16,A35_44_SOLSE_NWNAA_YNS,A35_44_SOLSE_NWNAA_T,A35_44_SOLSE_PinE_NS_B00,A35_44_SOLSE_PinE_NS_00_05,A35_44_SOLSE_PinE_NS_06_10,A35_44_SOLSE_PinE_NS_11,A35_44_SOLSE_PinE_NS_12,A35_44_SOLSE_PinE_NS_13,A35_44_SOLSE_PinE_NS_14,A35_44_SOLSE_PinE_NS_15,A35_44_SOLSE_PinE_NS_16,A35_44_SOLSE_PinE_NS_YNS,A35_44_SOLSE_PinE_NS_T,A35_44_SOLSE_T_B00,A35_44_SOLSE_T_00_05,A35_44_SOLSE_T_06_10,A35_44_SOLSE_T_11,A35_44_SOLSE_T_12,A35_44_SOLSE_T_13,A35_44_SOLSE_T_14,A35_44_SOLSE_T_15,A35_44_SOLSE_T_16,A35_44_SOLSE_T_YNS,A35_44_SOLSE_T_T,A35_44_L_PinE_NS_B00,A35_44_L_PinE_NS_00_05,A35_44_L_PinE_NS_06_10,A35_44_L_PinE_NS_11,A35_44_L_PinE_NS_12,A35_44_L_PinE_NS_13,A35_44_L_PinE_NS_14,A35_44_L_PinE_NS_15,A35_44_L_PinE_NS_16,A35_44_L_PinE_NS_YNS,A35_44_L_PinE_NS_T,A35_44_T_B00,A35_44_T_00_05,A35_44_T_06_10,A35_44_T_11,A35_44_T_12,A35_44_T_13,A35_44_T_14,A35_44_T_15,A35_44_T_16,A35_44_T_YNS,A35_44_T_T,A45_54_SEO_B00,A45_54_SEO_00_05,A45_54_SEO_06_10,A45_54_SEO_11,A45_54_SEO_12,A45_54_SEO_13,A45_54_SEO_14,A45_54_SEO_15,A45_54_SEO_16,A45_54_SEO_YNS,A45_54_SEO_T,A45_54_SOLSE_VWW_B00,A45_54_SOLSE_VWW_00_05,A45_54_SOLSE_VWW_06_10,A45_54_SOLSE_VWW_11,A45_54_SOLSE_VWW_12,A45_54_SOLSE_VWW_13,A45_54_SOLSE_VWW_14,A45_54_SOLSE_VWW_15,A45_54_SOLSE_VWW_16,A45_54_SOLSE_VWW_YNS,A45_54_SOLSE_VWW_T,A45_54_SOLSE_NWNAA_B00,A45_54_SOLSE_NWNAA_00_05,A45_54_SOLSE_NWNAA_06_10,A45_54_SOLSE_NWNAA_11,A45_54_SOLSE_NWNAA_12,A45_54_SOLSE_NWNAA_13,A45_54_SOLSE_NWNAA_14,A45_54_SOLSE_NWNAA_15,A45_54_SOLSE_NWNAA_16,A45_54_SOLSE_NWNAA_YNS,A45_54_SOLSE_NWNAA_T,A45_54_SOLSE_PinE_NS_B00,A45_54_SOLSE_PinE_NS_00_05,A45_54_SOLSE_PinE_NS_06_10,A45_54_SOLSE_PinE_NS_11,A45_54_SOLSE_PinE_NS_12,A45_54_SOLSE_PinE_NS_13,A45_54_SOLSE_PinE_NS_14,A45_54_SOLSE_PinE_NS_15,A45_54_SOLSE_PinE_NS_16,A45_54_SOLSE_PinE_NS_YNS,A45_54_SOLSE_PinE_NS_T,A45_54_SOLSE_T_B00,A45_54_SOLSE_T_00_05,A45_54_SOLSE_T_06_10,A45_54_SOLSE_T_11,A45_54_SOLSE_T_12,A45_54_SOLSE_T_13,A45_54_SOLSE_T_14,A45_54_SOLSE_T_15,A45_54_SOLSE_T_16,A45_54_SOLSE_T_YNS,A45_54_SOLSE_T_T,A45_54_L_PinE_NS_B00,A45_54_L_PinE_NS_00_05,A45_54_L_PinE_NS_06_10,A45_54_L_PinE_NS_11,A45_54_L_PinE_NS_12,A45_54_L_PinE_NS_13,A45_54_L_PinE_NS_14,A45_54_L_PinE_NS_15,A45_54_L_PinE_NS_16,A45_54_L_PinE_NS_YNS,A45_54_L_PinE_NS_T,A45_54_T_B00,A45_54_T_00_05,A45_54_T_06_10,A45_54_T_11,A45_54_T_12,A45_54_T_13,A45_54_T_14,A45_54_T_15,A45_54_T_16,A45_54_T_YNS,A45_54_T_T,A55_64_SEO_B00,A55_64_SEO_00_05,A55_64_SEO_06_10,A55_64_SEO_11,A55_64_SEO_12,A55_64_SEO_13,A55_64_SEO_14,A55_64_SEO_15,A55_64_SEO_16,A55_64_SEO_YNS,A55_64_SEO_T,A55_64_SOLSE_VWW_B00,A55_64_SOLSE_VWW_00_05,A55_64_SOLSE_VWW_06_10,A55_64_SOLSE_VWW_11
SOSR179,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,3,9,4,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0,0,0,0,0,0,3,11,10,0,0,0,0,0,0,0,0,3,10,5,0,0,0
SOSR199,73,22,27,23,69,113,137,50,573,0,0,0,0,0,0,0,0,0,38,38,80,25,85,23,34,29,90,160,188,109,829,63,14,17,7,3,4,0,6,17,10,142,52,19,27,3,3,4,3,13,37,12,171,4,5,4,0,0,0,0,0,8,3,25,0,0,0,0,0,0,0,0,0,0,4,58,23,31,3,6,3,7,9,45,13,201,0,0,0,0,0,0,0,0,0,37,39,122,40,52,11,7,4,13,15,63,61,382,135,13,12,3,3,3,0,0,6,9,184,63,8,8,0,0,4,0,3,9,5,97,4,5,0,3,0,0,3,0,6,3,31,0,0,0,0,0,0,0,0,0,0,0,68,11,11,3,0,4,3,3,14,13,124,0,0,0,0,0,0,0,0,0,57,57,207,27,23,9,6,3,3,4,15,79,367,175,10,10,0,0,0,0,3,3,12,220,61,4,4,0
SOSR201,78163,12769,16613,19248,19629,19356,11057,5849,238232,24,26,48,7,8,14,12,10,12,557,723,45028,36823,91780,17037,21306,23636,23754,23385,13398,8282,304436,31607,12105,11794,2416,2202,1722,1429,1353,645,1588,66848,45747,34516,43198,5721,6331,5721,4970,4716,2401,2308,155640,3712,3580,5949,1244,1654,2070,1591,1575,996,868,23229,331,250,294,23,39,58,33,25,17,75,1138,49789,38344,49441,6987,8024,7846,6594,6322,3412,3246,180011,44,32,27,3,10,9,5,4,3,300,442,81444,50480,61263,9405,10237,9574,8029,7676,4063,5138,247300,52713,8256,6275,1048,957,673,589,489,284,1636,72922,67376,14683,13239,1806,1791,1550,1245,1087,570,1974,105304,12506,3716,4968,1058,1293,1485,1228,1228,872,1483,29828,544,124,96,12,18,14,17,9,5,84,927,80418,18518,18306,2879,3104,3049,2482,2327,1442,3538,136061,73,16,21,0,0,7,0,4,3,220,339,133204,26795,24602,3928,4063,3724,3075,2814,1731,5390,209320,58722,2872,1683,320,282,259,223,189,106,1484,66140,70463,4491,2628,467
SOSR203,1104,192,240,299,253,298,181,71,3075,0,0,3,0,0,0,0,0,0,5,6,592,339,1346,249,310,358,315,358,219,134,4223,664,255,245,60,32,44,25,23,10,38,1398,359,283,601,84,107,87,60,59,34,31,1703,15,23,77,18,24,38,23,24,19,13,280,7,0,8,0,0,0,0,0,0,0,13,378,308,685,104,138,125,81,90,54,43,2002,0,0,0,0,0,0,0,0,0,7,11,1042,560,929,162,171,169,106,113,60,91,3409,1452,174,187,25,8,15,17,11,4,36,1934,695,185,216,24,27,23,23,16,18,28,1253,90,22,56,11,25,31,19,20,9,14,289,11,0,3,0,0,0,0,0,0,3,19,798,211,270,30,51,51,37,34,24,46,1554,3,0,0,0,0,0,0,0,0,3,3,2251,383,465,58,57,71,50,43,32,85,3491,2132,67,60,10,5,3,3,7,0,56,2347,1024,52,28,3
SOSR211,1645,244,271,280,248,242,141,74,3889,0,0,0,0,0,0,0,0,0,7,6,792,610,1918,309,354,353,303,317,171,131,5256,931,322,304,57,55,50,31,26,9,61,1849,523,659,1104,134,136,111,96,93,49,57,2968,25,43,129,31,29,28,33,29,14,10,370,9,9,9,0,0,0,0,0,0,0,25,560,711,1242,169,163,142,125,121,64,71,3364,0,0,0,3,0,0,0,0,0,0,4,1495,1031,1554,224,217,192,159,146,77,130,5220,1909,203,195,25,36,16,17,16,7,91,2512,742,338,364,38,41,32,30,31,12,32,1658,70,55,105,19,15,31,12,19,16,11,362,10,4,9,0,5,0,0,0,0,0,24,816,391,475,59,60,67,42,52,34,47,2040,3,3,0,0,0,0,0,0,0,5,9,2727,595,670,85,97,82,60,62,42,143,4563,2574,79,82,6,13,16,7,4,6,96,2880,975,114,85,5
SOSR212,971,136,229,221,278,326,192,164,3009,0,0,0,0,0,0,0,0,3,0,8,497,393,1160,202,276,260,325,375,224,195,3910,525,182,161,57,36,24,40,27,10,32,1090,308,363,640,90,87,96,81,62,39,32,1797,61,62,119,28,30,62,33,29,22,16,454,5,3,8,0,0,0,0,0,0,0,25,373,422,767,117,119,157,120,89,62,54,2276,0,0,0,0,0,0,0,0,0,0,3,899,600,929,176,153,189,158,111,71,82,3373,1258,166,122,27,28,27,11,19,6,48,1721,593,208,250,38,31,28,31,23,12,23,1228,103,66,92,24,34,29,10,17,8,13,401,7,3,3,0,0,0,0,0,0,0,12,696,279,348,63,63,56,40,34,18,34,1649,4,0,0,0,0,0,0,0,0,0,5,1957,446,474,97,96,86,52,50,26,81,3373,1639,73,54,9,7,5,3,5,3,70,1873,588,69,43,4
SOSR213,724,121,127,145,168,158,56,64,1841,0,0,0,3,0,0,0,0,0,0,8,513,324,999,178,199,199,213,177,78,114,2986,930,332,347,71,50,52,39,31,15,68,1938,252,256,553,58,66,72,57,44,19,48,1420,7,23,45,4,20,6,9,5,3,9,131,0,3,3,0,0,0,0,0,0,0,14,263,283,601,68,84,78,60,52,20,55,1564,3,0,0,0,0,0,0,0,0,3,14,1194,621,950,135,135,134,98,81,35,125,3515,1953,234,239,36,39,23,22,9,6,87,2659,414,165,176,30,27,23,12,10,4,32,900,34,21,53,14,10,9,9,13,3,4,186,4,0,0,0,0,0,0,0,0,0,4,452,192,229,48,41,31,27,24,10,42,1086,4,0,0,0,0,0,0,0,0,3,6,2415,425,469,86,76,51,45,32,14,129,3754,3059,116,71,9,10,20,3,9,6,95,3401,701,47,55,7
SOSR214,356,57,79,77,102,98,44,42,969,0,0,0,0,0,0,0,0,0,73,77,211,127,472,86,112,110,126,111,58,147,1550,436,149,176,33,23,21,15,18,3,41,908,127,123,250,45,44,35,25,20,5,17,683,10,8,15,3,9,8,0,3,4,0,67,0,0,0,0,0,0,0,0,0,0,8,138,140,268,49,57,43,27,25,12,13,761,0,0,0,0,0,0,0,0,0,45,50,570,292,445,83,80,62,38,38,11,100,1714,1131,129,109,15,12,8,8,3,6,52,1482,250,64,82,23,11,7,6,3,3,12,459,23,14,9,4,3,3,8,8,3,11,92,4,3,0,0,0,0,0,0,0,0,6,276,76,91,27,16,12,11,12,9,22,553,7,0,0,0,0,0,0,0,0,47,55,1410,207,202,46,25,20,26,19,15,125,2093,1753,51,44,6,11,3,4,8,3,74,1958,322,16,12,3
SOSR215,445,64,99,118,108,113,83,51,1268,0,0,0,0,0,0,0,0,0,3,5,402,209,642,107,147,156,151,151,105,94,2159,835,298,205,46,37,18,23,8,11,76,1556,208,197,340,38,48,45,24,31,15,25,974,12,18,33,9,9,7,11,10,4,16,122,0,3,4,0,0,0,3,0,0,0,14,221,215,379,46,62,54,37,37,18,43,1108,3,0,0,0,0,0,0,0,0,0,9,1063,514,585,92,96,77,55,46,28,114,2677,2052,233,163,29,24,10,12,0,5,100,2628,386,92,118,11,14,13,9,9,4,31,685,50,4,35,4,0,0,5,3,5,10,109,3,0,0,0,0,0,0,0,0,0,10,434,96,152,21,20,17,10,14,5,40,805,4,0,4,0,0,0,0,0,0,3,8,2491,327,319,43,40,30,26,17,16,140,3446,2971,106,51,9,9,9,9,5,3,126,3299,552,35,30,3
SOSR221,51,7,9,24,24,18,3,11,176,0,0,0,0,0,0,0,0,0,0,3,97,33,101,27,17,36,32,24,9,19,394,239,57,43,5,3,4,7,5,3,14,390,45,24,59,6,7,9,3,3,3,4,163,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,45,21,58,10,7,14,5,3,4,4,173,0,0,0,0,0,0,0,0,0,0,0,286,85,105,20,12,22,10,9,12,19,567,616,64,49,11,3,6,3,0,0,40,800,95,21,20,3,6,6,3,0,0,6,158,3,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,3,97,24,21,3,6,6,3,0,4,4,168,3,0,0,0,0,0,0,0,0,0,5,723,87,74,10,13,10,6,5,4,47,974,1098,36,24,3,3,0,0,0,3,57,1223,175,8,10,0
SOSR222,39,12,8,16,28,27,17,23,183,0,0,0,0,0,0,0,0,0,0,0,55,25,66,15,13,17,31,30,25,27,312,167,40,36,11,3,3,3,3,0,15,287,29,19,43,5,11,12,11,3,3,3,131,0,0,8,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,32,20,43,5,12,11,11,3,3,9,145,0,0,0,0,0,0,0,0,0,0,0,196,62,84,19,19,12,9,5,5,24,433,387,48,13,3,3,5,3,0,3,26,493,68,9,22,0,4,4,0,3,4,0,110,3,0,0,0,3,0,3,0,0,3,12,3,0,0,0,0,0,0,0,0,0,3,74,9,19,0,4,9,5,4,3,3,122,0,0,0,0,0,0,0,0,0,0,0,461,52,36,3,6,13,5,4,3,32,623,675,16,13,3,0,3,0,0,0,29,739,90,4,3,0
SOSR231,644,106,129,122,136,145,80,100,1823,0,0,3,0,0,0,0,0,0,224,229,609,354,993,183,205,198,191,190,105,377,3400,1513,494,418,76,43,52,28,34,10,110,2784,406,325,476,86,69,50,47,50,33,49,1586,22,15,30,3,11,3,7,9,7,15,112,3,0,8,0,0,0,0,0,0,0,15,429,337,512,90,77,50,53,52,39,69,1711,4,0,0,0,0,0,0,3,0,225,235,1952,830,934,164,125,102,78,94,48,403,4727,4394,562,394,40,47,27,29,24,5,242,5766,851,164,210,37,25,22,24,20,14,64,1428,37,11,28,6,9,12,3,18,9,22,148,9,3,0,0,0,0,0,0,0,0,15,896,184,235,41,30,28,26,40,25,85,1589,11,0,0,0,0,0,0,0,0,150,160,5299,746,630,80,74,57,52,67,34,474,7510,6552,254,153,25,12,16,18,12,10,254,7300,1479,69,40,9
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,59,10,15,20,40,81,97,32,408,0,0,0,0,0,0,0,5,0,28,34,44,36,85,16,25,26,55,123,148,77,634,47,11,11,5,0,5,0,0,16,8,100,19,15,17,7,5,3,5,5,23,8,102,0,0,8,3,0,3,3,5,4,6,31,0,0,0,0,0,0,0,0,0,0,0,20,11,22,5,3,8,10,10,31,16,136,0,0,0,0,0,0,0,0,0,33,38,69,22,28,9,3,10,10,13,44,51,268,65,19,9,0,0,0,0,0,0,9,99,46,4,15,3,3,0,0,0,0,4,74,6,0,0,0,0,0,3,0,0,6,17,0,0,0,0,0,0,0,0,0,3,5,50,4,15,3,3,0,4,0,4,14,94,0,0,0,0,0,0,0,0,0,22,25,118,26,25,5,3,0,3,0,3,45,226,66,5,5,0,0,3,0,0,0,8,92,30,0,3,0
SOSR301,21835,4039,4976,6122,6334,6308,3868,2263,71065,12,3,25,3,0,15,8,12,4,283,370,19558,13281,30588,6439,7381,8131,8122,7970,4891,3688,110041,20862,7881,9019,1672,1498,1056,776,689,351,996,44814,12077,9911,15117,2299,2299,1957,1598,1524,837,751,48372,704,832,2026,338,428,566,378,373,335,199,6194,94,62,115,12,26,9,9,14,6,13,364,12875,10808,17258,2652,2755,2533,1982,1917,1182,968,54934,25,15,16,0,4,3,5,0,0,180,241,33771,18705,26288,4320,4260,3592,2760,2605,1540,2141,99985,33421,7314,6822,971,849,561,455,359,174,998,51920,15432,5348,5945,821,768,590,443,388,226,466,30432,2202,997,1432,237,288,336,262,249,236,302,6535,127,48,42,8,3,14,6,3,4,14,271,17761,6390,7419,1069,1057,930,713,642,474,782,37240,44,10,15,6,0,0,0,0,0,121,190,51230,13716,14253,2041,1910,1494,1164,995,649,1902,89351,33023,2993,2234,352,306,241,178,167,96,822,40414,15111,1897,1384,201
SOSR302,3605,645,808,1017,1246,1204,707,463,11991,8,7,3,0,0,4,3,3,0,20,45,4335,3112,6865,1445,1597,1675,1857,1787,1048,868,24591,6357,2866,3173,560,531,391,339,268,125,376,14989,2199,2141,2639,309,383,339,330,288,131,161,8915,97,158,277,50,77,76,84,75,49,57,992,18,15,11,8,0,3,4,6,0,6,67,2312,2310,2919,365,458,414,409,369,187,225,9968,12,0,4,3,0,0,3,0,0,32,51,8680,5172,6100,927,992,801,755,635,313,624,25005,10640,2575,2739,378,338,256,203,154,79,409,17766,3605,1121,1072,179,176,104,127,83,59,135,6661,349,189,251,42,39,64,56,51,38,61,1135,18,6,4,3,3,0,0,0,0,3,42,3970,1313,1332,225,218,167,180,136,101,198,7838,18,0,3,0,0,0,0,0,0,18,37,14623,3896,4069,598,551,428,381,291,178,625,25639,11359,1505,1182,199,140,131,113,86,47,346,15108,3515,450,296,44
SOSR303,2988,588,761,958,917,886,502,343,9260,0,0,0,0,0,0,0,5,0,28,37,2906,1824,4815,1076,1253,1391,1298,1278,716,604,17168,4789,1984,2239,354,355,324,242,224,136,310,10940,1167,1418,2780,387,441,352,332,344,158,134,7518,44,102,303,73,63,100,88,75,49,51,939,10,17,18,0,3,3,0,3,0,0,55,1224,1533,3103,459,508,459,419,424,211,189,8515,4,0,3,0,0,0,0,0,0,32,43,6013,3521,5347,813,858,780,660,646,346,524,19499,9440,2049,2104,330,269,181,146,125,84,350,15080,2233,889,1234,155,165,114,98,71,46,88,5102,147,80,175,35,36,56,34,23,32,39,654,22,9,13,0,0,0,3,0,0,0,46,2408,974,1416,187,203,168,132,96,78,127,5797,16,0,0,0,0,0,0,0,0,16,39,11854,3027,3525,518,469,350,283,222,170,501,20913,10528,1019,834,111,135,88,65,63,32,313,13198,2172,309,264,39
SOSR311,911,171,294,227,217,249,158,133,2660,0,0,0,0,0,0,0,0,0,5,9,622,401,1338,283,417,294,286,341,199,218,4396,1029,320,373,98,87,51,35,30,11,61,2089,223,258,956,148,203,118,114,102,31,22,2172,11,27,141,14,38,15,9,15,4,8,284,0,0,5,4,0,0,0,0,0,0,10,240,284,1103,170,234,128,124,116,33,35,2473,0,0,5,0,0,0,0,0,0,4,14,1269,601,1479,267,320,179,154,145,49,102,4570,2168,379,476,86,59,38,25,18,6,78,3330,416,278,508,49,59,35,26,23,10,34,1425,28,44,86,15,14,7,3,0,6,10,216,0,0,5,0,0,0,0,0,0,0,5,438,324,595,61,77,42,26,25,13,41,1651,7,0,0,0,0,0,0,0,0,3,9,2616,704,1072,148,136,79,53,42,21,122,4993,2840,225,200,36,43,13,14,9,6,79,3466,475,99,90,12
SOSR312,212,52,72,48,63,45,29,13,592,0,0,0,0,0,0,0,0,0,3,3,150,93,330,78,103,89,88,70,38,31,1072,305,75,106,32,20,21,26,11,3,12,620,70,75,269,52,77,43,32,36,10,7,669,3,6,6,3,0,5,3,6,6,0,36,0,0,0,0,0,0,0,0,0,0,11,74,75,280,54,74,50,38,41,17,10,714,0,0,0,0,0,0,0,0,0,0,0,380,158,382,90,97,72,61,55,17,18,1336,569,76,90,14,24,19,7,4,3,26,832,94,41,137,36,25,16,11,8,8,3,381,4,6,3,3,3,3,0,0,3,0,26,0,0,0,0,3,0,0,0,0,0,6,101,42,136,33,32,24,13,9,8,3,413,3,0,0,0,0,0,0,0,0,0,3,673,125,228,50,50,43,24,20,12,31,1247,662,44,57,16,22,14,3,0,0,25,833,118,15,16,9
SOSR313,411,81,108,110,105,101,76,44,1193,0,0,0,0,0,0,0,0,0,3,0,465,260,747,185,216,189,151,158,93,85,2554,840,291,306,77,81,42,31,25,8,43,1741,146,178,469,76,113,67,70,32,23,17,1187,8,9,20,3,0,13,0,6,0,13,79,0,5,4,3,3,0,0,3,0,0,10,156,191,494,82,115,75,66,42,23,31,1276,3,0,0,0,0,0,0,0,0,0,3,998,488,796,157,199,118,100,69,28,69,3026,1597,278,356,91,66,37,27,20,9,85,2560,281,131,260,29,36,31,18,10,3,21,812,15,7,13,4,4,0,4,0,3,3,57,6,0,0,0,0,0,0,0,0,0,8,295,143,278,35,40,30,17,13,5,25,882,0,0,0,0,0,0,0,0,0,3,8,1893,418,628,127,101,72,46,37,17,115,3447,1966,205,119,28,33,16,7,20,10,76,2485,341,57,69,4
SOSR314,597,119,161,223,251,416,152,240,2330,0,0,0,0,0,0,3,0,3,6,18,496,265,958,223,259,310,325,499,194,308,3844,1006,332,403,73,61,58,34,29,9,84,2089,167,179,514,75,97,67,55,49,23,38,1258,13,15,59,12,18,18,7,8,7,10,171,3,0,3,0,0,0,0,0,0,0,10,180,194,578,85,115,80,63,55,31,46,1438,3,0,3,0,0,0,0,0,0,7,23,1189,523,986,165,176,140,100,84,44,144,3548,1832,345,370,58,52,30,30,29,11,76,2831,295,136,215,37,22,30,14,14,3,21,799,36,13,21,6,3,8,3,0,4,11,107,3,3,3,0,0,0,0,0,0,0,14,337,152,235,46,26,40,20,19,7,33,914,0,0,0,0,0,0,0,0,0,7,7,2166,496,607,103,79,66,50,44,18,112,3745,2035,142,152,31,13,22,8,14,5,62,2495,361,58,60,6
SOSR315,524,106,158,179,209,302,148,143,1986,0,3,0,0,0,0,0,0,0,55,58,661,354,975,221,260,289,292,385,187,275,3903,1435,412,501,83,63,48,43,24,19,89,2713,212,219,434,67,79,49,43,43,16,34,1200,3,20,38,11,7,5,21,7,3,13,128,3,0,6,0,4,0,0,0,0,0,10,217,238,484,82,88,47,65,47,24,51,1343,3,3,0,0,0,0,0,0,0,43,53,1653,655,987,164,152,95,104,65,37,178,4098,2884,492,401,62,54,44,28,20,5,145,4137,357,141,223,30,26,10,25,12,8,22,845,20,8,40,5,3,4,0,4,3,11,101,3,0,0,0,0,0,0,0,0,0,7,384,151,256,36,32,10,23,15,12,36,957,9,0,0,0,0,0,0,0,0,13,23,3274,639,661,97,93,60,47,36,16,193,5113,3804,256,166,29,30,21,12,12,8,124,4458,485,66,57,6
SOSR321,96,18,26,25,37,27,25,17,307,0,0,0,0,0,0,0,0,0,9,11,197,83,213,48,52,46,57,45,30,47,828,483,167,153,15,22,24,12,5,8,37,921,85,73,121,22,25,17,10,15,3,11,390,6,0,4,0,0,3,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,5,91,76,128,22,25,19,10,15,3,14,410,0,0,0,0,0,0,0,0,0,10,6,579,240,283,35,45,41,29,19,13,59,1341,1254,230,186,15,12,10,11,15,3,54,1794,153,60,64,9,7,0,8,3,0,10,318,7,0,6,0,0,0,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,5,168,64,70,9,7,0,4,4,0,12,346,3,0,0,0,0,0,0,0,0,9,11,1420,294,264,29,22,14,17,15,0,78,2153,1730,113,71,5,5,3,3,15,0,55,2003,222,24,18,3
SOSR322,32,3,10,13,9,20,11,17,137,0,0,0,0,0,0,0,3,0,0,3,69,30,75,7,19,25,15,30,12,25,321,172,52,62,6,17,0,9,5,0,20,344,30,20,37,4,4,6,11,4,4,10,119,0,0,4,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,30,18,39,3,6,6,11,3,5,10,133,0,0,0,0,0,0,0,0,0,0,0,200,70,108,8,20,7,15,11,5,25,478,437,54,59,3,5,0,6,0,0,33,599,65,10,21,5,0,4,3,3,0,12,117,3,4,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,3,68,14,18,5,3,4,4,3,0,12,129,3,0,0,0,0,0,0,0,0,0,0,514,69,79,7,5,5,5,3,0,47,735,683,43,25,7,7,4,0,0,0,35,813,86,14,16,0
SOSR331,383,93,129,109,144,193,127,157,1627,0,0,0,0,0,0,0,0,0,77,77,875,437,869,231,243,208,226,286,175,329,3882,2366,763,697,115,88,76,60,31,13,147,4355,378,284,458,64,69,58,57,40,25,57,1493,31,14,36,3,4,11,6,6,3,12,134,0,3,0,0,0,0,0,0,0,3,10,412,304,492,70,77,68,67,50,31,69,1636,0,0,0,0,0,0,0,0,0,63,70,2783,1068,1187,181,166,145,123,74,46,288,6062,6049,944,679,82,69,40,32,39,5,310,8246,805,261,286,30,37,24,23,20,5,42,1544,65,15,23,11,0,3,4,8,4,16,157,10,0,3,0,0,0,0,0,0,4,17,885,277,321,37,36,29,28,23,12,63,1717,17,0,0,0,0,0,0,0,0,57,71,6943,1223,992,122,106,71,68,62,19,428,10033,7441,468,262,43,28,17,23,20,8,310,8632,1047,111,87,8
