SOSR_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
SOSR179,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,14,15,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,50,79,5,3,7,59,72,130
SOSR199,152,122,272,78,98,174,8,0,8,4,0,5,4,3,12,914,440,1355,125,98,221,36,0,36,13,4,21,33,6,39,68,34,106,190,164,352,1624,975,2603,57,38,95,0,0,0,0,0,0,11,7,18,0,10,11,4,0,4,79,49,128,0,0,3,0,0,0,0,0,0,3,0,4,0,0,4,8,3,11,19,6,21,101,55,158,15,11,24,0,0,0,0,0,0,18,7,25,60,51,112,190,163,360,46,29,74,2042,1291,3331
SOSR201,78401,70128,148525,11279,13205,24481,297,112,408,22861,27936,50799,2633,1321,3946,663195,518882,1182076,31064,45279,76344,9881,196,10074,6578,736,7311,20796,8734,29531,6439,3383,9828,29640,31276,60916,883055,721186,1604242,10852,9416,20268,12,13,21,7813,8006,15818,14248,10578,24832,1970,3555,5530,2091,921,3010,36994,32488,69480,11,4,14,1150,1612,2766,687,655,1347,559,1038,1596,205,192,394,2607,3498,6109,8011,5620,13626,47612,41604,89219,8562,8798,17367,292,338,637,475,289,766,9330,9431,18762,33860,47037,80899,61343,108641,169986,9471,7692,17167,1044686,935589,1980273
SOSR203,1007,552,1559,494,567,1064,16,10,28,12,14,19,94,72,165,25421,22185,47609,1522,2007,3523,292,7,299,178,14,197,565,165,734,193,95,284,1005,1112,2124,30804,26798,57603,57,45,100,0,0,0,65,63,128,264,168,434,33,25,57,58,14,71,474,311,786,0,0,0,0,0,0,26,30,62,17,54,75,15,5,23,64,98,157,259,156,413,798,559,1357,174,150,326,11,4,19,18,5,26,204,164,369,954,1319,2278,2752,5112,7864,351,305,662,35868,34262,70130
SOSR211,926,807,1735,429,529,954,28,12,37,13,23,34,119,101,225,45693,39061,84755,2921,3358,6287,707,27,725,327,40,369,668,151,822,330,158,485,1599,1560,3156,53758,45828,99578,87,72,160,0,0,0,52,53,105,260,185,438,33,47,76,33,11,46,462,367,828,3,0,3,0,0,0,31,19,45,41,61,102,21,8,32,90,92,182,425,239,667,983,700,1681,166,173,342,13,11,24,27,4,29,206,193,395,1387,2130,3518,4592,8453,13039,621,521,1146,61541,57814,119360
SOSR212,510,495,1003,188,158,346,7,3,11,10,10,18,75,66,136,28567,24929,53501,2039,2388,4429,345,8,350,180,24,208,386,108,491,246,93,338,1089,1036,2118,33645,29315,62961,64,54,111,0,0,0,21,23,38,140,117,256,24,36,54,18,5,19,257,225,483,0,0,0,0,0,0,22,23,42,13,32,45,6,6,15,47,52,101,239,128,367,546,410,954,63,76,131,0,8,9,11,8,17,71,88,158,724,1329,2058,2842,4878,7723,415,348,758,38243,36368,74610
SOSR213,744,577,1318,286,256,542,19,12,27,19,16,31,104,75,173,40449,35049,75501,2489,2648,5141,605,11,618,216,28,246,612,199,812,377,140,514,1511,1644,3162,47436,40657,88093,58,38,95,0,0,0,26,29,57,323,170,498,32,35,68,33,3,38,480,277,753,0,0,0,0,0,0,21,30,58,14,38,53,9,11,14,51,78,129,393,179,576,923,535,1458,172,120,289,7,6,12,18,3,16,197,131,320,1428,2319,3748,4362,7681,12045,617,595,1212,54954,51919,106877
SOSR214,369,343,710,86,64,144,6,6,9,9,10,22,39,25,62,20004,16896,36899,1306,1294,2598,382,12,393,95,9,106,301,103,398,175,87,266,1078,1121,2194,23849,19960,43805,30,28,62,0,0,0,13,22,36,162,117,278,14,15,33,29,10,35,252,189,438,0,0,0,0,0,0,3,9,9,6,5,16,0,0,0,7,13,27,190,74,266,451,280,727,76,64,142,0,0,0,9,0,9,86,64,147,820,1353,2168,2411,4210,6617,365,337,697,27979,26199,54179
SOSR215,572,459,1035,210,132,343,13,3,16,11,15,30,31,16,52,33075,27124,60201,1876,1825,3703,822,16,841,173,16,185,408,163,571,296,148,442,1817,2049,3863,39300,31976,71282,41,51,88,0,0,0,32,33,60,250,202,455,21,52,70,21,7,29,367,336,706,0,0,0,0,0,0,17,8,28,16,20,36,7,3,9,37,36,71,330,136,460,735,504,1243,113,123,234,7,0,9,16,0,16,140,127,264,1590,2362,3952,4095,7029,11129,657,596,1257,46524,42594,89120
SOSR221,65,58,118,63,30,101,7,4,12,7,6,9,3,0,8,9154,7551,16708,441,454,894,279,7,280,48,3,51,70,30,97,123,49,175,460,511,972,10712,8702,19416,10,3,8,0,0,0,7,0,4,52,39,96,7,7,10,3,0,5,71,58,132,0,0,0,0,0,0,4,3,8,0,4,3,0,0,0,4,6,14,118,55,170,196,118,314,20,18,45,0,0,0,0,0,5,27,22,49,493,658,1150,1174,1901,3075,174,140,313,12780,11537,24320
SOSR222,45,39,85,48,43,91,6,0,6,0,8,13,5,0,3,5889,4787,10678,317,301,614,182,8,184,35,3,45,63,18,81,121,47,166,462,385,842,7175,5641,12815,0,0,3,0,0,0,3,0,7,28,17,46,4,8,12,0,0,0,36,31,71,0,0,0,0,0,0,0,0,3,3,0,4,0,0,0,3,3,6,49,25,70,92,54,146,15,11,23,0,0,3,4,0,3,19,9,32,373,469,842,738,1189,1920,118,122,243,8518,7484,16005
SOSR231,819,733,1552,405,247,651,23,12,37,37,41,73,58,40,98,67066,55640,122708,3239,3610,6855,2836,88,2928,960,189,1156,316,90,406,1295,465,1767,5238,2983,8224,82289,64152,146435,43,37,83,0,0,0,29,33,66,569,414,983,51,68,123,18,3,24,722,553,1274,0,0,0,3,0,3,29,32,56,20,27,49,13,0,17,66,60,119,706,282,986,1487,892,2380,215,202,414,13,9,20,86,10,91,309,222,525,14170,12071,26247,7904,12662,20568,1604,1451,3054,107756,91453,199216
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,23,0,23
SOSR299,60,36,101,22,18,42,0,0,0,39,49,85,10,3,10,582,275,859,70,59,126,17,0,17,14,0,14,17,8,19,36,16,50,140,83,227,1002,549,1552,9,18,24,0,0,0,5,9,20,4,7,8,0,0,0,4,0,7,29,35,64,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,13,7,14,39,41,83,14,9,21,0,0,0,0,0,0,12,9,24,25,38,69,138,134,274,19,18,33,1242,786,2033
SOSR301,18300,20174,38475,21841,27454,49298,1125,1167,2294,79,50,132,1116,752,1869,327525,271018,598548,20494,29159,49657,7321,148,7463,9110,947,10059,9167,2505,11679,3848,1776,5629,14576,14303,28875,434505,369465,803964,3174,3260,6437,27,36,63,4,7,12,4487,4862,9354,819,1203,2024,673,189,862,9190,9554,18743,269,276,541,3,9,15,1571,2127,3703,642,1481,2124,406,309,718,2892,4202,7092,4457,2408,6865,16538,16163,32697,1439,1475,2917,352,343,698,252,96,348,2044,1919,3964,17403,25169,42572,36214,57397,93610,3845,3173,7019,510546,473280,983828
SOSR302,1309,1069,2383,1440,1519,2961,46,18,60,710,932,1643,160,149,309,92058,82428,174485,5482,6778,12258,1775,50,1820,1794,222,2016,1531,631,2161,1250,630,1882,3081,3465,6542,110625,97885,208511,240,270,506,0,0,0,20,17,35,565,374,938,84,72,155,81,15,91,980,741,1725,6,3,11,219,347,563,78,84,158,63,153,211,30,25,52,399,605,998,1134,671,1804,2512,2017,4531,290,225,514,85,92,182,65,41,103,443,354,794,6054,8628,14680,8853,13751,22601,1090,1004,2093,129564,123639,253203
SOSR303,161,129,293,2097,1807,3905,72,29,104,12,17,33,301,296,599,105095,100448,205544,7426,9449,16876,2024,60,2086,2485,309,2791,2966,1077,4047,1987,669,2657,4424,4025,8452,129055,118311,247374,25,23,50,0,0,0,0,0,3,209,113,324,9,18,29,4,6,12,246,163,411,11,4,13,3,0,3,84,50,135,112,202,315,97,59,159,306,313,620,1393,731,2122,1941,1212,3152,46,31,73,101,67,168,97,41,139,245,135,383,5461,8357,13821,11711,17053,28758,1316,1098,2420,149729,146170,295899
SOSR311,19,14,30,1062,312,1376,21,11,25,0,0,4,115,121,236,35331,32966,68298,3029,3480,6505,759,24,779,825,78,904,764,227,990,328,146,472,1223,1236,2458,43481,38605,82089,0,3,9,0,0,0,0,0,0,11,17,27,0,4,7,0,0,0,21,22,37,5,4,8,0,0,0,80,10,91,19,32,52,12,7,22,119,56,169,420,234,658,560,307,864,4,0,5,22,4,25,16,7,23,46,11,57,1011,2021,3029,4274,5512,9795,475,405,873,49845,46861,96707
SOSR312,4,3,6,254,28,281,105,13,119,0,0,3,34,25,61,7721,6896,14617,623,681,1298,118,5,125,337,26,362,194,51,237,77,32,114,300,342,648,9757,8111,17870,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,9,0,10,81,18,95,0,0,0,14,3,13,4,4,8,7,0,6,105,22,128,309,80,389,421,99,522,0,0,3,353,70,426,9,4,14,365,78,446,137,397,539,1101,1168,2266,115,77,200,11901,9928,21827
SOSR313,36,33,69,707,177,885,4,6,12,0,0,0,64,101,170,23509,21631,45142,2076,2190,4262,678,20,691,512,50,565,365,111,468,242,121,361,1102,1107,2204,29294,25535,54826,14,12,21,0,0,0,0,0,0,48,41,93,8,3,11,3,0,3,69,53,126,0,0,0,0,0,0,69,11,75,22,8,31,8,4,9,98,19,119,241,112,357,412,190,602,5,8,13,12,3,19,25,11,38,46,22,71,749,1551,2298,3011,3815,6823,368,304,675,33882,31418,65297
SOSR314,63,59,117,633,277,907,61,20,76,7,0,7,57,63,122,24294,21266,45568,2298,2363,4659,705,16,727,438,46,489,381,131,511,335,153,490,1176,1262,2431,30449,25667,56116,6,10,12,0,0,0,0,0,0,50,54,96,3,6,9,4,3,5,61,71,131,32,10,39,0,0,0,75,63,135,23,22,48,7,6,15,139,99,238,391,154,543,585,321,903,15,21,36,94,22,115,19,3,24,127,43,173,903,1682,2588,3299,3964,7263,434,379,813,35798,32059,67857
SOSR315,138,146,278,1061,462,1521,73,41,108,4,6,6,55,46,98,33943,29123,63061,2825,3002,5826,1301,38,1344,592,89,679,535,295,829,629,299,923,2546,2904,5448,43684,36444,80130,20,30,46,0,0,0,0,0,0,142,126,265,9,24,36,10,3,13,185,184,369,24,27,43,0,0,0,99,64,161,25,24,50,18,0,18,164,113,274,652,365,1016,999,657,1659,28,45,74,83,32,122,60,32,86,174,111,278,1449,2515,3963,4844,6103,10948,680,559,1236,51830,46385,98215
SOSR321,38,32,68,293,103,402,29,14,39,3,0,3,6,6,15,13135,11626,24761,1039,1027,2066,570,21,590,211,26,230,155,72,222,267,127,395,1205,1247,2455,16939,14303,31244,0,0,3,0,0,0,0,0,0,38,27,67,3,6,9,0,0,3,41,37,84,3,3,12,0,0,0,33,7,38,4,6,14,4,9,8,48,29,73,206,145,352,293,215,510,13,3,12,22,16,37,23,10,30,55,35,85,807,1232,2032,1797,2235,4037,293,235,524,20184,18249,38433
SOSR322,11,5,14,138,55,192,12,15,28,4,0,4,3,0,7,5444,4467,9920,458,394,847,280,10,289,88,15,105,49,22,72,156,72,229,780,877,1660,7425,5932,13361,0,0,3,0,0,0,0,0,0,9,12,21,0,0,5,0,0,0,9,16,22,0,8,10,0,0,0,15,8,26,0,6,7,0,0,0,18,19,43,120,68,184,153,100,251,3,3,5,13,4,18,6,7,17,20,18,43,412,571,985,763,913,1675,145,103,252,8923,7650,16567
SOSR331,263,264,533,1506,428,1932,42,14,54,5,7,10,45,25,71,63232,54526,117755,3843,4060,7910,3841,162,4002,1252,172,1420,331,86,415,1732,704,2438,5381,3515,8897,81471,63967,145442,25,15,40,0,0,0,0,0,0,340,302,637,32,50,81,18,6,22,406,370,779,21,3,25,0,0,0,152,123,281,31,55,91,33,11,47,248,196,441,908,318,1226,1567,887,2449,62,57,114,112,22,133,102,23,130,276,105,376,13061,12762,25826,8119,10448,18571,1513,1292,2801,106008,89460,195465
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,12,0,3,3,0,0,0,0,0,0,0,0,0,0,3,5,4,0,4,11,15,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,15,38,0,0,0,31,33,60
SOSR399,13,26,36,83,86,172,3,5,10,3,0,3,8,4,10,811,453,1259,162,174,334,35,5,36,20,3,23,24,14,41,63,38,100,182,223,407,1398,1030,2428,11,6,17,0,0,0,0,0,0,3,5,8,0,3,3,4,0,4,19,11,29,0,0,0,0,0,0,7,0,3,0,0,0,0,3,3,5,5,9,25,10,28,46,25,72,3,6,8,3,0,3,4,0,3,12,5,20,35,56,93,208,197,404,46,25,64,1743,1336,3087
SOSR401,3987,4465,8456,11876,15486,27367,78,21,96,1173,1560,2734,723,392,1120,189313,155652,344970,9205,14955,24161,2451,63,2518,2305,270,2573,4907,1598,6509,2408,798,3204,5883,5720,11599,234313,200995,435307,776,678,1453,3,0,3,81,103,184,678,876,1555,102,157,255,143,41,178,1778,1861,3638,4,0,3,138,178,314,892,1483,2383,314,785,1094,186,144,329,1533,2589,4122,2491,1824,4313,5808,6268,12077,316,409,725,162,206,373,126,68,198,606,688,1293,7330,9866,17193,20059,34597,54651,2156,1897,4054,270266,254310,524576
SOSR412,149,210,360,238,48,286,8,3,14,0,0,3,45,35,82,11949,10770,22722,837,825,1665,171,3,167,131,10,143,150,26,170,130,52,180,362,393,757,14168,12378,26549,25,20,42,0,0,0,3,0,6,35,52,85,4,9,15,3,0,3,69,78,154,0,0,0,0,0,0,66,8,80,4,3,5,4,0,9,77,14,89,117,39,154,262,131,398,3,16,24,4,3,8,0,3,5,12,24,34,238,439,679,1410,2087,3499,146,141,291,16248,15210,31455
SOSR413,13,5,21,470,380,855,4,3,4,3,3,3,39,45,86,15470,13860,29332,1079,1380,2458,198,3,209,168,14,189,190,44,238,208,69,280,626,556,1182,18474,16372,34848,10,3,11,0,0,0,3,0,3,16,14,27,0,0,0,0,0,0,30,14,44,0,0,0,6,0,3,72,76,154,24,34,52,12,0,9,107,113,220,158,75,233,298,201,496,7,4,12,12,13,20,12,3,12,27,17,42,683,971,1651,1992,2932,4927,225,215,440,21695,20710,42410
SOSR414,3,0,4,16,13,32,0,0,0,0,0,0,3,5,13,3646,2973,6615,216,262,471,64,4,67,24,4,33,57,13,68,53,13,63,151,164,315,4235,3442,7678,0,0,0,0,0,0,0,0,0,0,10,15,0,0,0,0,0,0,0,10,15,0,0,0,0,0,0,5,14,21,0,0,0,0,0,0,9,14,21,40,17,61,49,39,91,3,0,8,0,0,0,0,0,0,8,7,14,140,219,362,430,711,1144,60,50,110,4929,4470,9400
SOSR415,40,44,80,198,130,333,7,3,8,4,5,6,18,21,40,17281,14541,31818,1028,1026,2047,341,8,354,129,11,142,131,47,184,224,67,297,872,925,1792,20280,16829,37104,11,8,17,0,0,0,0,0,0,52,39,91,3,4,9,0,0,0,64,55,119,0,0,0,0,0,0,27,57,86,13,11,23,3,4,5,42,68,111,162,57,217,267,183,447,4,16,20,6,3,9,10,3,14,22,23,43,663,1102,1765,2288,3343,5632,260,263,518,23775,21740,45512
SOSR421,8,18,24,65,44,112,3,3,7,0,0,0,0,3,3,5227,4200,9428,253,286,539,147,3,149,36,3,37,63,28,87,97,43,138,384,428,813,6290,5052,11339,3,0,3,0,0,0,0,0,0,7,11,24,0,0,0,0,0,0,15,12,23,0,0,0,0,0,0,24,37,60,0,9,11,0,3,0,22,43,68,64,19,84,103,78,181,4,4,10,3,3,4,3,0,3,9,13,16,261,392,660,708,1076,1786,81,76,163,7455,6688,14144
