UCL_CODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
UCL315084,4,7,12,9,10,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,18,24,9,22,4,0,82,0,8,3,4,6,0,0,27,3,0,0,3,0,0,0,8,3,14,3,6,7,0,0,32,10,26,24,16,25,3,0,114,27,29,12,10,14,0,0,93,0,0,0,0,0,0,0,0,38,59,35,22,41,3,0,204
UCL315085,7,8,9,3,3,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,11,4,10,0,3,47,0,3,0,0,0,0,0,6,3,3,3,3,0,0,0,9,3,3,3,3,0,0,0,15,14,16,17,7,10,0,3,62,33,31,16,13,10,3,0,99,0,0,0,0,0,0,0,4,43,41,32,21,17,4,3,162
UCL315086,0,3,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,9,3,0,25,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,6,9,4,3,29,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,5,5,6,7,4,3,36
UCL315087,11,16,4,3,3,0,0,43,0,4,0,0,3,0,0,5,0,0,0,0,0,0,0,4,15,36,20,11,22,0,0,110,4,8,3,0,0,0,0,13,8,6,5,0,5,0,0,21,11,13,5,3,7,0,0,37,22,45,24,16,30,0,0,145,29,41,8,7,0,0,0,88,3,0,3,0,0,0,0,7,51,92,40,20,31,0,0,240
UCL315088,5,7,9,7,3,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,24,11,11,12,0,0,70,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,5,4,7,0,0,0,0,0,9,9,27,14,11,12,0,0,77,28,21,8,3,0,0,0,59,0,0,0,0,0,0,0,0,38,54,20,8,12,0,0,132
UCL315089,13,38,9,11,14,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,50,16,18,16,0,0,118,5,6,3,0,3,0,0,19,3,4,3,3,0,0,0,12,7,14,9,3,8,0,0,33,26,66,18,20,21,0,0,158,31,34,11,10,11,0,0,93,0,3,0,0,0,0,0,5,58,100,30,29,35,0,0,253
UCL315090,6,12,10,6,5,0,0,31,0,0,0,0,0,0,0,3,3,0,4,0,0,0,0,7,27,31,18,10,18,0,0,106,3,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,12,26,35,15,14,20,0,0,119,35,28,16,8,7,3,0,94,0,0,3,0,0,0,0,12,69,62,31,24,26,4,0,223
UCL315091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,10
UCL315092,0,5,4,0,5,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,7,3,5,0,0,34,0,3,0,0,0,0,0,4,0,4,3,0,0,0,0,8,3,7,4,3,0,0,0,11,5,16,7,3,7,0,0,42,11,12,8,13,4,0,0,49,0,0,0,0,0,0,0,0,18,29,20,16,12,0,0,93
UCL315093,0,0,3,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,3,0,0,0,4,0,3,4,8,4,0,0,16,9,16,10,3,8,0,0,40,0,0,0,0,0,0,0,0,10,19,10,11,7,0,0,60
