UCL_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
UCL115139,896,2087,13,20,0,3,12,23,29,44,0,0,0,0,0,0,29,44,4,8,10,10,0,0,6,4,19,25,5,8,959,2182,133,..,1092,2182
UCL115140,911,2007,72,108,27,34,99,146,76,101,11,14,0,0,0,0,85,113,34,57,4,12,0,0,0,3,42,69,10,16,1141,2354,124,..,1267,2354
UCL115141,529,1194,19,39,10,12,26,53,0,0,0,0,0,0,0,0,0,0,6,11,0,0,0,0,0,0,11,9,0,3,569,1264,101,..,667,1264
UCL115142,1011,2258,35,55,38,60,74,118,66,114,0,0,0,0,0,0,66,114,0,0,0,0,0,3,0,0,3,4,3,3,1152,2491,927,..,2080,2491
UCL115143,548,1155,0,3,0,0,0,3,18,25,0,0,0,0,0,3,17,26,3,0,3,4,0,3,4,6,9,11,10,28,588,1222,98,..,680,1222
UCL115144,424,1171,0,0,0,0,0,0,41,48,0,0,0,0,0,0,41,48,0,0,0,0,0,0,0,0,0,0,30,79,490,1302,105,..,599,1302
UCL115145,293,900,0,0,0,9,0,9,44,59,0,0,0,0,0,0,44,59,27,36,0,0,0,0,0,0,27,36,8,10,372,1009,19,..,397,1009
UCL115146,476,1230,17,24,4,5,22,27,5,11,0,0,0,0,0,0,5,11,0,0,0,3,0,0,183,475,184,476,3,10,690,1756,41,..,736,1756
UCL115147,450,1016,5,8,0,0,5,8,15,17,0,0,0,0,0,0,15,17,3,3,0,3,0,0,0,6,9,15,3,4,477,1059,55,..,531,1059
UCL115148,535,1199,6,16,0,0,6,16,39,60,0,0,0,0,0,0,39,60,4,5,0,4,0,0,0,0,4,8,3,3,591,1280,140,..,726,1280
UCL115149,495,1312,57,77,0,0,57,77,18,30,0,0,0,0,0,0,18,30,12,12,0,0,0,0,0,0,12,16,3,3,589,1443,98,..,684,1443
UCL115150,1449,3469,81,126,0,0,81,126,36,62,0,3,0,0,0,0,39,63,3,5,0,3,3,3,137,291,140,302,10,22,1720,3977,295,..,2017,3977
UCL115151,421,897,12,13,0,0,12,13,67,92,0,0,0,0,0,0,67,92,8,18,3,3,0,3,3,3,11,29,7,16,514,1042,98,..,610,1042
UCL115152,554,1221,3,3,0,0,3,3,15,19,0,0,0,0,0,0,15,19,0,0,0,0,0,0,11,15,11,15,0,0,578,1254,84,..,659,1254
UCL115153,964,2253,9,12,0,0,9,12,45,54,0,0,0,0,0,0,45,54,0,0,0,0,0,0,6,5,6,5,26,47,1048,2373,167,..,1216,2373
UCL115154,605,1836,0,0,3,5,3,5,0,0,0,0,0,0,0,0,0,0,36,42,0,0,0,0,0,0,38,43,6,10,652,1886,32,..,681,1886
UCL115155,394,1305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,396,1312,20,..,421,1312
UCL115156,1582,3916,94,133,8,16,99,149,52,91,0,0,0,0,0,0,52,91,4,3,0,0,3,5,3,13,14,23,7,14,1759,4197,149,..,1903,4197
UCL115157,641,1709,70,157,0,3,70,162,86,157,0,0,0,0,0,0,86,157,0,0,0,0,0,0,0,0,0,0,0,3,805,2029,46,..,855,2029
UCL115158,1316,3576,189,343,130,271,315,615,34,45,30,88,0,0,0,0,64,138,25,43,96,137,3,8,0,0,123,187,23,31,1843,4544,202,..,2047,4544
UCL115159,474,1424,16,36,0,0,16,36,3,3,0,0,0,0,0,0,3,3,3,4,0,0,3,7,0,0,3,8,0,3,501,1475,50,..,548,1475
UCL115160,306,897,39,69,6,9,47,75,0,3,0,0,0,0,0,0,0,3,0,0,98,151,0,0,0,0,98,151,0,0,456,1128,51,..,502,1128
UCL115161,346,869,5,17,0,0,5,17,29,28,0,0,0,0,0,0,29,28,0,0,0,0,0,0,0,0,0,0,3,4,383,924,33,..,416,924
UCL121001,309,727,3,3,0,0,3,3,14,25,0,4,0,0,0,0,15,26,3,3,0,0,0,0,0,4,6,4,3,3,333,770,53,..,386,770
UCL121002,248,556,0,0,0,0,3,3,11,8,0,0,0,0,0,0,11,8,0,0,0,0,0,0,6,10,9,9,0,9,267,582,42,..,309,582
UCL121003,256,558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,29,0,0,0,0,20,29,0,4,275,594,388,..,667,594
UCL121004,214,575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,217,577,8,..,223,577
UCL121005,161,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,542,17,..,178,542
UCL121006,208,472,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,19,26,0,0,0,0,20,37,0,0,227,515,331,..,558,515
UCL121007,324,801,15,40,21,39,39,72,9,22,0,0,0,0,0,0,9,22,0,0,0,0,0,0,0,0,0,0,0,0,372,890,113,..,490,890
UCL121008,348,719,0,0,0,0,0,0,25,28,0,0,0,0,0,0,24,24,0,0,3,4,0,0,5,8,7,12,0,3,381,761,73,..,457,761
UCL121009,157,512,0,0,0,0,0,0,8,6,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,164,518,15,..,177,518
UCL121010,293,717,0,0,0,0,0,0,16,26,0,0,0,0,0,0,16,26,4,7,0,0,0,0,0,7,7,14,3,9,320,762,74,..,399,762
UCL121011,342,838,16,15,0,0,16,15,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,7,3,7,0,0,363,872,29,..,387,872
UCL121012,269,818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,275,821,11,..,283,821
UCL121013,240,643,0,0,5,4,5,4,14,24,24,37,0,0,0,0,36,56,0,0,0,8,0,0,5,5,4,15,0,0,281,725,54,..,341,725
UCL121014,234,611,0,0,0,0,0,0,14,20,3,7,0,0,0,6,20,26,0,0,0,0,0,0,3,7,3,12,12,18,269,668,52,..,319,668
UCL121015,180,469,3,4,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,3,3,8,15,0,0,192,488,14,..,203,488
UCL121016,303,830,4,8,0,0,4,8,7,9,0,0,0,0,0,0,7,9,6,4,0,0,0,0,0,0,6,4,0,0,315,847,13,..,324,847
UCL121017,216,632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,632,14,..,231,632
UCL121018,182,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,184,492,19,..,201,492
UCL121019,211,494,0,0,0,0,0,0,28,41,0,0,0,0,0,0,28,41,0,5,3,3,0,0,4,9,9,22,0,0,255,558,54,..,305,558
UCL121020,275,626,0,0,0,0,0,0,0,3,0,0,5,13,0,0,10,15,0,0,0,0,0,0,0,0,0,0,7,15,295,652,58,..,358,652
UCL121021,218,406,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,220,419,127,..,349,419
UCL121022,357,901,10,11,0,0,10,11,5,17,0,0,0,0,0,0,5,17,0,0,0,0,0,0,0,0,0,3,6,5,375,938,39,..,415,938
UCL121023,188,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,520,13,..,196,520
UCL121024,198,584,3,8,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,588,5,..,208,588
UCL121025,287,656,49,73,0,4,51,78,12,21,5,16,0,0,0,0,25,35,0,0,0,0,0,0,0,0,0,0,31,54,395,821,217,..,607,821
UCL121026,129,377,34,81,25,46,54,123,3,4,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,187,507,13,..,201,507
UCL121027,276,884,9,21,3,5,13,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,293,919,14,..,308,919
UCL121028,267,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,523,518,..,786,523
UCL121029,210,531,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,6,3,26,3,3,216,569,20,..,239,569
UCL121030,161,413,17,31,0,0,17,31,4,4,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,183,451,27,..,213,451
UCL121031,331,820,3,3,0,0,3,3,7,17,0,0,0,0,0,0,7,17,0,3,0,0,0,3,0,0,6,7,0,0,349,851,45,..,386,851
UCL121032,292,709,8,18,20,53,33,74,14,34,0,0,0,0,0,0,14,34,3,3,0,0,0,0,0,0,3,3,0,3,336,819,99,..,438,819
UCL121033,281,628,0,0,0,0,0,0,12,17,0,0,0,0,0,0,12,17,0,0,0,0,0,0,0,0,0,0,4,13,298,658,55,..,352,658
UCL121034,186,516,3,7,0,0,3,7,8,32,0,0,0,0,0,0,8,32,0,0,0,0,0,0,0,0,0,0,8,17,204,570,60,..,266,570
UCL121035,298,840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,298,843,11,..,314,843
UCL121036,298,905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,296,912,27,..,321,912
UCL121037,286,678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,7,0,0,0,0,6,5,0,0,294,692,205,..,495,692
UCL121038,196,426,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9,8,0,0,203,438,44,..,247,438
UCL121039,148,405,4,4,3,3,6,11,5,8,0,0,0,0,0,0,5,8,7,5,0,0,0,0,0,0,7,5,0,0,158,434,15,..,170,434
UCL121040,165,441,3,5,0,3,3,8,0,3,0,0,0,0,0,0,0,3,0,3,9,15,0,0,0,0,13,19,0,3,182,473,42,..,226,473
UCL121041,164,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,501,8,..,173,501
UCL121042,223,542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,223,546,26,..,245,546
UCL121043,182,447,7,15,8,12,15,28,14,35,0,0,0,0,0,0,14,35,6,13,0,4,0,0,3,8,15,24,0,0,222,533,231,..,453,533
UCL121044,206,630,3,6,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,635,11,..,219,635
UCL121045,210,479,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,3,0,0,217,485,43,..,261,485
UCL121046,206,478,7,4,0,3,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,5,15,3,14,222,512,34,..,248,512
UCL121047,254,576,133,233,15,26,149,257,10,21,0,0,0,0,0,0,9,22,0,0,5,7,0,0,3,8,5,11,0,0,414,865,173,..,589,865
UCL121048,186,555,3,5,0,0,3,5,8,11,0,0,0,0,0,0,8,11,0,0,0,0,0,0,0,0,0,0,0,0,190,576,24,..,218,576
UCL121049,50,121,0,5,9,14,7,16,24,43,3,5,0,0,0,0,27,51,0,0,150,250,0,0,0,4,155,260,89,155,321,602,62,..,383,602
UCL121050,386,798,48,94,34,56,77,152,40,62,22,34,0,0,0,0,63,98,3,3,0,4,0,0,3,7,9,12,0,0,532,1060,891,..,1421,1060
UCL121051,355,793,15,14,0,0,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,5,6,8,34,386,847,66,..,450,847
UCL121052,201,421,57,84,33,64,97,145,50,71,7,9,0,5,0,0,61,85,3,3,3,10,0,0,0,0,10,19,6,10,366,688,257,..,628,688
UCL121053,326,872,3,6,5,8,7,12,3,7,0,0,0,0,0,0,3,7,0,0,0,0,0,0,3,3,3,3,0,0,341,898,16,..,359,898
UCL121054,281,640,0,0,0,3,0,3,25,32,0,0,0,0,0,0,25,32,3,3,0,0,0,0,0,3,8,10,3,4,316,696,73,..,392,696
