UCL_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
UCL115151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,108,221,9,21,30,0,0,0,0,0,0,6,0,3,7,4,11,12,16,34,148,146,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,18,14,19,38,3,4,6,174,188,362
UCL115152,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,157,125,277,9,17,22,5,0,5,0,0,0,0,0,0,3,0,3,13,10,17,186,144,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,25,28,46,0,8,8,213,181,396
UCL115153,0,0,0,44,6,45,0,0,0,0,0,0,3,0,0,346,351,699,57,36,89,19,0,20,0,0,0,5,4,10,8,0,13,39,33,68,527,427,948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,3,0,3,3,0,3,7,5,10,0,0,0,0,0,0,0,0,0,0,0,0,19,33,58,49,63,113,12,9,17,617,532,1146
UCL115154,11,9,20,0,0,0,0,0,0,0,0,0,0,0,0,417,354,773,24,15,38,41,0,41,3,0,3,0,0,0,0,0,0,5,3,6,496,383,879,0,0,3,0,0,0,0,0,0,14,7,21,0,0,3,0,0,0,19,5,29,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,4,0,0,3,21,15,35,0,0,3,0,0,0,0,0,0,0,0,3,11,41,51,26,55,78,6,11,12,560,501,1060
UCL115155,5,4,10,0,0,0,0,0,0,0,0,0,0,0,0,306,253,556,8,9,14,3,0,3,3,0,3,0,0,0,0,0,0,3,6,6,325,273,598,0,0,0,0,0,0,0,0,0,6,5,12,0,0,0,0,0,0,9,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,15,7,18,0,0,0,0,0,0,0,0,0,0,0,0,6,21,32,37,42,72,5,6,15,383,348,733
UCL115156,0,0,0,3,5,8,0,0,0,0,0,0,0,0,5,547,540,1084,42,38,83,32,0,32,9,0,9,3,0,3,3,0,3,28,21,48,672,607,1276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,7,8,3,10,0,0,0,0,0,0,0,0,0,0,0,0,16,21,38,69,123,194,10,13,15,767,768,1531
UCL115157,0,0,0,4,3,4,0,0,0,0,0,0,0,0,0,369,386,754,18,21,40,10,0,10,4,0,6,5,0,9,3,6,5,7,5,7,413,425,833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,3,0,3,6,0,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,11,23,27,30,58,88,0,0,4,463,506,965
UCL115158,0,0,0,5,3,9,0,0,0,0,0,0,0,0,0,683,543,1226,84,120,211,28,3,29,7,3,6,0,0,3,8,3,7,30,31,59,854,711,1564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,8,6,14,14,6,17,0,0,0,0,0,0,0,0,0,0,0,0,29,44,70,73,107,179,14,11,31,981,880,1858
UCL115159,12,5,15,3,0,3,0,0,0,0,0,0,0,0,0,245,214,458,21,13,31,21,0,21,3,0,3,0,0,0,0,3,0,6,9,13,306,238,546,0,0,0,0,0,0,0,0,0,3,6,6,0,0,0,0,0,0,5,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,6,13,0,0,0,0,0,0,0,0,0,0,0,0,14,31,50,35,43,80,4,0,5,376,322,697
UCL115160,3,6,5,0,0,0,0,0,0,0,0,0,0,0,0,206,170,371,10,7,17,5,0,5,0,0,0,0,0,0,0,0,3,4,0,3,229,182,416,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,7,16,19,21,36,59,0,3,0,262,238,496
UCL115161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,177,366,14,12,28,5,0,5,0,0,0,0,0,0,3,0,3,8,4,10,222,201,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,16,22,34,5,7,8,246,228,474
UCL121001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,105,246,4,4,11,5,0,5,0,0,0,0,0,0,0,0,0,3,4,13,159,118,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,9,21,33,0,3,4,171,151,326
UCL121002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,56,130,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,8,10,21,85,68,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,7,4,8,18,6,0,6,103,86,191
UCL121003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,72,152,3,4,6,3,0,3,0,0,0,0,3,3,3,0,7,6,9,18,95,87,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,21,15,28,36,5,0,5,126,122,246
UCL121004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,89,179,3,6,6,3,0,3,0,0,0,0,0,0,0,0,0,3,3,7,106,95,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,17,8,14,24,3,0,3,122,122,245
UCL121005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,93,205,0,12,12,10,0,10,0,0,3,0,0,0,0,0,0,3,0,4,131,102,236,0,0,0,0,0,0,0,0,0,5,3,11,0,4,4,0,0,0,6,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,13,0,0,0,0,0,0,0,0,0,0,0,0,3,11,20,10,20,36,0,0,0,154,144,302
UCL121006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,54,135,6,3,15,3,0,3,0,0,0,3,0,0,0,0,0,3,4,8,97,63,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19,19,6,18,21,3,3,4,113,93,209
UCL121007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,134,287,12,4,22,4,0,4,0,0,0,0,0,0,4,0,8,7,12,26,193,162,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,10,19,35,36,68,3,6,6,241,211,453
UCL121008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,91,204,6,3,12,6,0,6,3,0,3,3,0,4,3,3,8,12,7,19,145,113,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,19,13,25,29,4,0,3,168,153,322
UCL121009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,36,81,0,7,8,7,0,7,0,0,0,0,0,0,0,0,0,7,0,16,59,47,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,10,13,3,0,3,72,53,122
UCL121010,0,0,0,3,3,11,0,0,0,0,0,0,0,0,0,115,74,194,3,10,11,7,0,7,0,0,0,0,0,0,0,0,0,7,12,21,143,105,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,8,12,14,24,0,0,3,162,121,282
UCL121011,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,81,71,154,5,10,11,3,0,3,0,0,0,0,0,0,0,0,0,9,10,18,103,92,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,13,18,34,0,0,0,120,116,237
UCL121012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,155,336,10,0,10,8,0,8,4,0,4,0,0,0,0,0,0,3,0,4,203,162,369,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3,10,0,0,0,0,0,0,0,0,0,0,0,0,12,16,21,33,29,59,9,3,6,254,217,473
UCL121013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,60,109,10,3,13,10,0,10,0,0,0,0,0,0,0,0,0,35,47,81,112,108,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,6,14,3,3,5,121,117,240
UCL121014,27,21,46,3,0,0,0,0,0,0,0,0,0,0,0,123,91,213,4,3,6,3,0,4,3,0,3,0,0,0,3,0,4,10,3,14,174,125,301,0,0,0,0,0,0,0,0,0,12,6,16,0,3,3,0,0,0,8,8,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,8,24,4,3,7,0,0,0,0,0,0,4,3,9,13,17,26,13,17,34,0,0,0,220,174,396
UCL121015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,89,177,3,4,7,3,0,3,0,0,0,0,0,0,0,4,4,3,4,7,101,101,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,11,8,11,24,0,3,9,118,127,248
UCL121016,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,136,115,250,13,9,17,7,0,7,0,0,0,3,0,3,0,0,0,3,3,10,162,125,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,14,28,43,3,0,7,188,160,342
UCL121017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,124,247,7,6,11,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,137,125,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,17,21,8,14,27,0,0,0,167,159,324
UCL121018,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,86,90,181,0,3,5,3,0,3,0,0,0,0,0,0,0,0,0,4,4,6,103,101,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,10,19,7,20,27,0,4,8,122,136,256
UCL121019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,77,187,12,5,15,4,0,4,0,0,0,4,0,6,3,0,5,16,15,31,148,98,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,12,8,21,30,0,0,0,161,129,290
UCL121020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,76,162,11,5,15,7,0,7,0,0,0,0,0,0,0,3,7,18,21,35,122,106,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9,10,22,34,3,0,9,141,132,274
UCL121021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,66,0,5,6,6,0,6,0,0,0,0,0,0,0,0,0,3,0,3,40,36,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,4,7,5,0,3,3,49,42,93
UCL121022,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,130,115,248,6,3,10,6,0,6,0,0,0,0,0,0,3,0,3,11,11,19,158,129,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,11,14,11,22,31,3,3,7,177,170,348
UCL121023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,56,135,4,3,9,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,85,67,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8,8,17,27,0,0,3,98,90,188
UCL121024,26,15,44,0,0,0,0,0,0,0,0,0,0,0,0,106,89,196,3,3,12,9,0,9,0,0,0,0,0,0,0,0,0,0,3,5,145,106,255,0,0,0,0,0,0,0,0,0,3,4,7,0,3,0,0,0,3,6,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,18,0,0,0,0,0,0,0,0,0,0,0,0,3,11,19,5,19,23,0,5,5,163,149,318
UCL121025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,122,245,4,0,8,3,0,7,0,0,0,3,0,3,0,4,5,20,17,33,153,142,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,16,18,35,55,4,3,6,175,198,377
UCL121026,0,0,0,6,5,4,0,0,0,0,0,0,0,0,0,94,89,181,3,13,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,105,105,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,8,11,14,19,31,0,0,0,118,135,256
UCL121027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,165,359,4,13,25,3,0,3,4,0,3,0,0,3,3,0,3,0,0,0,212,183,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,28,20,27,45,3,0,0,245,230,474
UCL121028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,59,143,3,8,11,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,92,69,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,20,14,17,34,3,0,4,123,97,222
UCL121029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,63,177,0,4,6,8,0,8,0,0,0,0,0,0,0,0,0,3,5,10,126,76,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,16,11,30,0,0,3,146,92,246
UCL121030,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,29,28,62,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,8,22,50,38,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,5,6,3,0,3,59,46,104
UCL121031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,122,278,14,8,18,3,0,4,0,0,0,0,0,0,3,0,0,9,6,12,183,144,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,11,21,17,31,6,3,6,207,165,373
UCL121032,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,125,124,251,4,6,13,3,0,3,0,0,0,0,0,0,0,3,3,0,0,0,143,142,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,30,21,24,49,3,3,8,184,185,369
UCL121033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,70,160,3,0,3,8,0,8,0,0,3,0,0,0,7,0,7,11,18,23,107,93,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,12,8,12,27,0,3,3,124,113,237
UCL121034,0,0,0,5,3,4,0,0,0,0,0,0,0,0,0,111,123,232,10,6,14,3,0,3,0,0,0,3,3,3,3,0,3,6,6,11,132,137,274,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,9,0,0,3,0,0,0,0,0,0,0,0,3,7,19,23,20,19,41,0,3,3,161,186,347
UCL121035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,131,284,7,5,14,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,172,140,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,17,16,30,50,0,0,4,197,181,381
UCL121036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,151,278,5,18,24,7,0,7,3,0,3,0,0,0,3,0,3,4,0,8,152,175,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,3,0,3,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,22,33,28,23,49,0,0,3,200,213,417
UCL121037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,99,216,0,9,7,4,0,4,4,0,4,0,0,0,0,0,0,3,3,7,132,109,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,10,13,14,20,32,0,0,3,163,137,299
UCL121038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,59,134,6,5,7,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,88,59,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,10,19,28,3,7,11,105,87,190
UCL121039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,64,148,3,4,6,7,0,7,0,0,0,0,0,0,0,0,0,7,3,8,96,74,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,11,7,6,13,0,0,0,107,87,201
UCL121040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,76,153,9,7,14,3,0,3,0,0,0,0,0,4,0,0,0,0,7,11,103,92,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,20,35,8,16,23,0,3,0,122,132,250
UCL121041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,100,213,6,10,11,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,128,111,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,15,22,39,3,8,4,148,143,292
UCL121042,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,61,61,119,11,4,16,9,0,9,0,0,0,0,0,0,0,0,3,3,0,3,83,62,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7,8,9,20,3,3,3,97,86,177
UCL121043,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,85,88,173,9,8,10,3,0,8,0,0,0,0,0,0,3,0,3,4,4,14,110,103,213,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,11,10,16,9,23,32,0,5,3,140,132,273
UCL121044,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,133,113,247,4,3,6,3,0,3,0,0,0,0,0,0,0,0,0,0,3,5,143,126,266,0,0,0,0,0,0,0,0,0,6,3,9,0,0,0,0,0,0,6,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,10,15,0,0,0,0,0,0,0,0,0,0,0,0,9,20,27,11,12,22,3,3,3,172,170,336
