UCL_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
UCL112015,4786,9417,101,567,567,2678,171,805,2845,11326,3680,15378,177,714,352,1121,799,2476,1322,4314,5003,19689,33,154,189,686,102,395,1035,2894,1362,4124,74,226,198,423,744,1585,1015,2233,2376,6355,226,464,12388,35934
UCL113001,2188,4346,11,61,108,480,33,137,640,2448,789,3122,38,150,105,324,244,752,382,1228,1177,4347,4,25,54,178,36,122,334,852,425,1173,28,82,84,189,328,670,444,941,871,2113,70,145,4298,10958
UCL113002,1518,3013,12,62,60,289,40,197,404,1624,511,2165,18,73,49,169,182,553,251,795,766,2956,11,39,45,162,23,95,255,734,331,1032,21,67,34,76,226,484,282,622,618,1648,37,85,2935,7704
UCL113003,1909,3762,38,189,120,520,67,296,755,2875,974,3884,46,194,73,228,365,1130,487,1548,1465,5431,16,90,77,265,41,142,478,1290,603,1787,23,77,60,135,361,768,450,985,1052,2773,75,158,4501,12121
UCL113004,768,1521,8,53,66,285,10,56,344,1338,427,1733,29,105,33,101,73,222,128,420,554,2160,3,14,14,54,3,4,70,176,92,249,7,17,14,38,56,122,78,179,174,429,8,20,1511,4122
UCL113005,3010,5980,25,123,147,701,41,199,636,2462,855,3490,39,147,115,384,284,863,439,1389,1296,4876,6,42,69,256,34,128,391,1074,502,1500,27,79,79,172,409,840,514,1088,1015,2591,77,151,5394,13606
UCL113006,1620,3237,30,158,172,810,66,334,726,2958,997,4253,47,184,93,295,284,881,423,1365,1418,5615,13,54,63,221,51,198,499,1383,628,1856,34,104,66,151,321,675,425,929,1052,2782,80,161,4171,11793
UCL113007,1691,3367,49,293,210,979,76,357,1194,4781,1534,6406,80,319,113,351,387,1269,577,1937,2107,8344,10,58,48,168,42,157,312,906,410,1287,21,60,44,98,258,577,327,729,737,2013,77,175,4615,13895
UCL113008,862,1742,13,89,80,369,32,155,373,1479,489,2089,26,124,47,144,141,453,214,715,708,2812,18,94,56,238,43,164,371,1144,489,1644,28,95,40,76,242,536,308,706,802,2346,47,107,2424,7003
UCL113009,1759,3468,22,133,173,766,45,202,761,2976,1002,4074,90,373,162,535,338,1060,598,1969,1598,6045,4,22,30,109,12,31,158,404,206,563,27,86,62,127,177,370,265,585,471,1146,31,66,3861,10727
