UCL_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
UCL303003,10410,20604,187,1108,1014,4875,278,1292,5510,21839,6987,29113,340,1410,710,2277,1565,4858,2622,8541,9609,37652,80,394,389,1414,189,688,2023,5544,2676,8040,170,544,426,913,1478,3116,2074,4575,4746,12616,451,944,25217,71817
UCL303004,16005,31209,298,1689,1808,8405,565,2563,10440,40203,13108,52859,701,2883,1432,4681,2610,8027,4748,15587,17858,68447,115,550,648,2337,332,1200,3716,10309,4805,14397,267,843,749,1605,2210,4720,3229,7172,8034,21571,763,1590,42660,122821
UCL311001,5623,11181,99,562,432,2000,176,811,2440,9605,3145,12974,173,688,322,1024,831,2581,1327,4294,4471,17270,31,161,184,657,141,503,1257,3547,1612,4872,87,279,174,384,911,1961,1171,2627,2779,7495,223,461,13093,36408
UCL311002,7289,14457,82,443,433,1985,162,732,2349,9222,3023,12374,130,546,304,961,865,2673,1304,4177,4325,16554,38,172,206,785,123,472,1158,3173,1525,4603,73,239,212,461,784,1643,1066,2347,2591,6951,158,329,14368,38288
UCL311003,7647,14759,146,824,767,3488,294,1285,4967,18858,6171,24450,331,1319,606,1853,1353,4109,2286,7276,8463,31729,41,189,239,831,155,567,1628,4431,2068,6026,103,313,238,493,916,1932,1252,2743,3322,8774,282,577,19707,55830
UCL311004,5737,11273,120,683,604,2796,225,987,3526,13752,4472,18222,278,1134,427,1353,1135,3548,1842,6034,6315,24248,51,241,204,784,109,388,1349,3796,1723,5210,101,308,216,468,1026,2174,1343,2944,3063,8153,303,627,15408,44304
UCL312001,3205,6236,76,396,364,1659,127,574,2458,9437,3019,12072,129,515,231,687,522,1566,885,2766,3898,14842,12,50,97,340,53,189,707,1884,864,2462,29,91,109,225,401,846,541,1165,1404,3625,121,246,8629,24943
UCL312002,2597,5175,37,204,166,795,74,350,987,3902,1263,5250,70,318,112,359,342,1087,531,1766,1793,7021,15,78,98,341,50,181,584,1660,750,2256,38,127,86,187,427,906,554,1225,1299,3485,111,220,5795,15900
UCL313001,1786,3501,22,110,123,560,30,134,608,2403,781,3205,44,163,85,279,162,485,291,919,1065,4126,6,26,34,135,26,83,188,513,252,759,7,17,38,77,112,236,154,332,407,1094,23,48,3279,8768
UCL313002,3267,6464,18,106,93,438,52,254,522,2022,687,2821,54,219,107,340,358,1084,517,1633,1204,4455,5,26,35,127,26,95,306,845,379,1092,28,79,57,122,298,613,385,823,759,1916,58,121,5296,12954
UCL313003,1129,2209,22,131,139,631,41,186,785,3225,988,4176,67,273,63,194,204,629,336,1097,1324,5272,9,39,48,164,28,100,276,771,356,1079,9,23,35,80,145,320,192,414,545,1495,51,101,3047,9081
UCL313004,1082,2101,27,129,174,794,35,175,1163,4585,1401,5681,53,214,72,217,180,550,312,982,1714,6668,3,20,34,142,19,73,211,561,275,792,9,35,32,69,96,188,136,284,406,1076,37,78,3242,9919
UCL313005,933,1798,21,132,93,437,44,216,839,3311,1002,4098,39,160,55,157,185,576,281,896,1283,4997,9,31,39,156,26,117,354,1042,427,1345,20,57,25,59,125,267,171,384,598,1727,26,56,2845,8582
UCL313006,1820,3625,36,223,160,742,69,303,872,3506,1139,4773,43,191,88,289,269,839,406,1317,1540,6089,15,50,90,334,37,128,579,1544,714,2057,26,79,101,218,355,760,482,1061,1194,3113,69,150,4631,12979
UCL313007,1072,2145,13,74,103,492,34,161,588,2353,733,3082,24,107,44,136,134,421,207,667,939,3749,10,28,39,156,24,88,293,841,365,1115,8,27,27,60,149,302,187,394,549,1513,47,95,2606,7496
UCL313008,1537,3040,35,198,168,771,96,456,1309,5097,1600,6527,50,204,85,258,243,774,376,1239,1985,7759,14,63,48,179,48,208,378,1087,485,1540,24,84,47,90,217,481,292,651,770,2186,61,136,4351,13127
UCL313009,1781,3545,32,204,173,841,69,296,1058,4153,1337,5488,65,284,108,357,336,1042,516,1680,1850,7172,9,56,57,198,36,144,463,1278,568,1669,28,83,98,208,312,648,434,934,997,2607,62,128,4690,13452
UCL313010,1512,2991,33,190,159,771,44,174,712,2882,950,4017,54,215,84,263,210,672,345,1149,1293,5161,8,52,68,241,40,167,365,1034,485,1487,14,48,39,85,225,476,272,601,756,2086,70,140,3630,10381
UCL313011,1952,3788,27,162,165,702,58,260,899,3451,1144,4571,56,235,145,437,320,939,522,1609,1668,6177,6,26,55,189,25,102,303,833,395,1152,14,50,65,137,180,374,265,560,654,1712,47,93,4319,11779
UCL314001,962,1880,8,31,43,190,26,125,582,2184,657,2521,21,72,33,109,76,223,127,405,784,2929,4,10,20,76,14,45,207,549,246,669,9,24,33,63,69,144,107,232,350,902,32,59,2133,5768
UCL314002,807,1606,9,61,54,246,26,134,311,1268,407,1699,22,81,28,100,104,314,151,489,555,2190,3,24,23,105,25,77,165,480,218,678,11,41,30,59,108,216,146,317,363,999,43,85,1771,4875
UCL314003,920,1821,17,102,88,395,29,132,415,1624,552,2253,36,141,50,145,199,612,280,902,825,3151,4,17,27,120,10,39,157,455,202,635,10,29,27,55,136,285,172,371,372,1004,32,71,2151,6050
UCL314004,554,1114,13,67,43,192,25,120,250,1043,329,1419,20,89,20,79,104,332,151,499,481,1917,4,19,25,92,14,62,194,542,235,713,9,37,32,69,112,238,155,347,392,1058,40,86,1467,4175
UCL314005,508,993,11,54,54,239,22,114,335,1339,422,1745,20,75,34,102,80,265,135,447,554,2188,4,20,24,72,20,58,123,328,167,482,8,27,28,63,90,203,124,288,295,773,12,31,1366,3988
UCL314006,527,1034,9,40,70,328,22,119,423,1723,527,2208,19,80,43,137,89,282,154,498,680,2705,0,0,7,29,3,14,97,288,113,326,3,13,10,22,67,145,85,178,192,511,21,41,1423,4292
UCL314007,973,1910,19,97,67,325,30,134,453,1799,573,2355,24,95,42,130,134,403,200,629,777,2984,6,28,26,95,15,65,168,480,215,671,6,22,22,40,105,231,135,300,353,967,33,70,2134,5926
UCL314008,781,1537,12,74,74,339,38,161,377,1522,506,2097,19,73,33,96,122,363,174,527,677,2627,3,15,32,118,22,87,190,555,251,773,7,28,31,66,123,270,161,362,415,1137,39,82,1918,5388
UCL314009,537,1048,3,26,63,319,14,56,380,1519,468,1922,6,41,35,98,64,199,111,330,572,2247,4,31,19,64,8,29,143,437,175,554,4,19,14,27,67,137,89,185,261,736,15,28,1383,4063
UCL314010,630,1247,8,55,55,258,18,93,299,1194,382,1593,26,101,25,71,79,245,125,418,507,2015,0,17,28,89,20,70,117,337,161,514,11,39,15,29,92,189,115,259,281,771,39,81,1456,4114
UCL314011,564,1127,9,58,49,217,13,66,369,1499,448,1838,20,72,36,105,57,186,116,366,566,2201,3,10,14,47,4,32,100,287,123,372,3,18,21,38,70,147,88,197,217,572,23,49,1368,3954
UCL314012,532,1041,20,112,65,327,36,151,358,1429,477,2016,20,85,43,133,124,401,187,621,664,2639,8,21,36,125,9,40,182,537,230,721,11,35,35,70,88,197,135,296,364,1019,20,40,1578,4737
UCL314013,1117,2204,22,142,146,691,36,178,726,2993,932,4008,62,262,112,367,220,686,400,1315,1335,5326,3,22,30,98,8,34,117,334,156,482,3,17,20,42,54,121,83,174,243,658,16,32,2706,8222
UCL314014,661,1323,14,100,58,265,23,105,329,1290,420,1765,25,91,38,100,119,382,174,575,595,2340,6,39,29,107,25,99,180,538,237,784,5,19,17,42,119,273,149,337,386,1112,43,92,1695,4863
UCL314015,405,820,24,158,107,487,52,229,459,1871,634,2743,55,213,45,154,115,372,217,735,850,3482,11,30,20,74,7,38,105,325,141,470,6,19,13,25,36,76,55,125,192,594,11,14,1460,4904
UCL314016,784,1570,23,125,64,289,24,112,367,1490,476,2022,23,90,36,115,130,398,189,603,663,2623,6,40,22,81,15,60,199,555,245,735,12,43,25,49,150,335,192,422,437,1160,41,95,1923,5447
UCL314017,584,1133,10,74,110,498,35,141,852,3386,1007,4102,24,87,40,112,73,228,132,427,1140,4531,3,13,16,59,7,40,121,339,152,453,7,12,12,24,54,108,70,144,225,594,9,21,1958,6285
UCL314018,496,979,12,73,84,376,16,83,642,2475,762,3012,42,169,53,173,103,319,197,666,955,3674,3,10,12,34,3,4,81,219,97,266,15,40,12,27,46,91,73,157,169,424,11,23,1634,5102
UCL314019,642,1255,11,62,72,308,21,101,476,1843,583,2311,15,54,32,100,93,287,142,436,726,2746,0,7,15,57,16,55,128,339,165,453,5,10,17,32,62,128,81,172,247,625,15,28,1622,4658
UCL314020,1329,2636,19,98,73,348,42,160,458,1824,589,2433,27,113,66,227,210,657,306,995,892,3426,7,41,36,129,14,45,165,495,216,702,10,29,30,66,117,245,153,334,376,1037,25,51,2621,7157
UCL314021,1051,2081,9,53,76,354,20,90,417,1655,518,2155,26,94,71,235,126,384,221,710,740,2865,6,14,22,64,7,22,100,276,131,378,11,30,34,70,91,183,134,289,267,668,12,34,2075,5641
UCL314022,956,1869,15,73,160,692,47,206,768,2993,990,3965,46,180,76,230,183,536,300,943,1289,4906,7,24,28,120,13,37,156,409,203,592,6,29,22,46,77,161,108,235,315,824,23,41,2578,7638
UCL315001,220,436,3,15,44,187,10,42,182,717,236,954,17,57,24,83,62,205,102,348,335,1299,0,0,3,17,0,13,18,39,21,71,0,0,11,24,10,22,20,43,45,116,3,3,606,1861
UCL315002,204,393,0,7,10,31,0,10,51,195,59,246,3,17,11,37,23,69,37,113,93,362,0,0,3,11,0,6,23,62,28,74,3,14,3,11,10,22,22,47,46,116,3,7,348,872
UCL315003,34,87,4,49,3,15,13,86,73,335,97,490,0,0,0,0,15,57,15,57,107,550,3,13,0,7,17,82,55,179,74,282,0,0,3,3,27,93,32,99,105,377,22,56,268,1070
UCL315004,45,97,5,42,7,71,7,39,76,345,99,497,0,0,0,3,12,38,8,36,107,530,5,29,3,7,13,50,49,155,65,241,3,14,8,7,18,41,20,65,91,307,15,48,259,975
UCL315005,485,976,4,29,23,113,15,71,170,639,213,855,14,52,18,51,59,191,92,293,303,1146,3,12,8,29,14,54,67,201,94,297,4,10,10,26,55,108,68,142,159,442,13,30,965,2588
UCL315006,320,626,9,44,41,196,18,88,409,1640,474,1961,14,68,22,61,67,199,104,332,577,2298,3,7,10,46,3,10,61,178,77,242,5,8,8,18,31,69,47,95,127,334,12,20,1034,3278
UCL315007,334,657,3,23,30,130,8,47,131,525,175,731,15,54,17,54,56,181,83,284,255,1011,4,17,10,29,0,3,48,127,61,182,0,9,11,20,27,71,38,98,102,279,7,16,699,1966
UCL315008,404,794,6,49,14,65,10,56,106,420,140,591,5,25,17,60,55,176,85,261,225,854,0,3,6,24,10,34,52,141,67,205,0,3,9,17,40,80,48,103,120,305,14,33,757,1986
UCL315009,309,621,0,0,3,17,0,3,23,82,24,99,0,0,7,14,21,51,26,66,47,170,0,0,3,9,0,0,14,37,11,44,0,0,0,3,6,16,12,16,26,60,7,13,388,856
UCL315010,309,601,10,37,40,169,18,62,319,1288,376,1554,13,46,16,38,41,114,67,199,445,1756,0,4,7,31,0,4,91,231,96,274,0,0,0,3,23,60,30,61,126,337,9,17,882,2712
UCL315011,113,231,0,11,12,53,7,35,93,353,110,458,4,10,4,24,17,55,32,91,140,547,0,0,3,16,0,9,28,89,36,117,0,0,4,4,15,25,14,33,52,148,3,6,314,926
UCL315012,190,374,0,0,3,14,3,14,44,159,44,184,3,9,5,18,13,44,27,74,70,261,0,0,3,3,0,4,17,53,24,61,3,4,0,0,14,30,16,36,40,99,5,13,302,746
UCL315013,195,396,6,49,33,154,8,47,114,463,168,722,12,62,33,100,81,242,125,401,286,1122,0,7,6,12,3,13,34,86,40,119,3,8,11,20,16,39,31,65,69,179,3,3,556,1701
UCL315014,187,373,5,44,47,222,23,109,236,945,311,1321,22,95,15,61,46,135,82,292,398,1612,0,4,5,16,8,23,26,90,34,129,7,16,3,5,15,32,28,58,61,180,0,3,646,2162
UCL315015,344,669,5,27,27,124,8,43,175,692,216,883,3,21,9,20,42,116,51,160,265,1047,0,6,11,47,12,41,69,204,88,291,4,9,11,23,48,96,61,133,146,417,4,12,768,2147
UCL315016,35,83,5,28,7,66,4,37,52,243,67,373,0,3,0,7,11,46,11,57,79,423,5,34,3,28,16,99,81,320,110,482,0,14,5,4,22,60,27,76,131,563,19,37,266,1110
UCL315017,166,330,0,4,8,54,3,18,44,173,56,247,8,36,5,18,21,55,36,111,88,361,0,3,0,6,0,12,30,89,41,109,5,20,10,15,24,44,32,76,73,190,3,14,335,894
UCL315018,189,371,0,4,20,85,3,6,181,708,201,799,5,28,6,15,20,61,33,96,228,896,0,4,4,10,4,9,32,82,40,106,6,16,7,11,18,36,27,62,65,169,7,15,491,1449
UCL315019,146,283,0,8,21,96,4,17,57,242,77,361,3,8,5,27,11,36,24,68,104,429,0,0,5,11,3,9,26,74,27,92,0,5,3,4,17,31,22,39,48,134,8,19,300,858
UCL315020,198,375,7,21,16,68,5,30,147,582,175,706,0,11,13,32,36,108,46,151,223,851,3,9,6,20,3,21,30,98,47,143,3,6,8,11,25,44,33,65,77,211,9,24,500,1457
UCL315021,138,266,0,7,10,39,3,6,64,236,74,296,3,9,0,5,20,63,24,75,100,367,0,0,0,10,0,0,20,43,18,51,0,0,3,6,12,22,18,30,38,81,4,5,278,727
UCL315022,159,310,0,3,15,58,7,22,81,305,95,388,3,12,3,20,19,56,24,83,120,475,0,3,4,18,6,17,39,125,47,169,0,0,4,10,19,41,26,57,75,218,4,14,363,1020
UCL315023,503,1003,6,32,18,75,5,24,87,341,112,470,3,19,8,25,30,97,47,141,155,611,0,4,7,33,7,28,50,143,66,207,5,6,8,16,42,92,58,115,120,320,7,11,789,1952
UCL315024,327,660,5,26,30,134,10,40,136,534,176,733,9,32,20,74,50,156,79,259,253,998,0,8,13,48,6,21,69,201,94,279,9,25,20,35,63,140,91,201,180,480,6,17,777,2153
UCL315025,239,468,5,17,12,52,0,6,78,324,93,397,3,15,11,24,34,89,40,133,137,524,0,8,8,20,3,14,44,141,55,181,0,4,0,4,24,43,22,56,84,234,4,15,454,1241
UCL315026,125,248,0,4,11,39,0,12,77,289,87,346,3,10,11,34,27,77,37,114,123,461,0,3,0,0,3,8,19,50,26,68,0,0,6,10,15,21,16,36,42,101,5,8,294,810
UCL315027,219,442,3,27,29,138,11,34,158,640,198,839,13,47,22,66,38,118,69,233,268,1073,0,0,6,30,3,9,21,56,29,91,0,4,4,6,18,30,19,44,51,135,3,5,549,1655
UCL315028,40,83,3,21,10,53,36,215,100,485,142,774,0,0,0,0,12,38,9,43,159,815,3,13,7,24,7,55,60,200,72,288,0,0,0,0,13,39,13,39,86,323,6,21,292,1243
UCL315029,163,325,3,8,22,99,9,39,194,789,221,934,0,10,12,51,16,48,36,108,256,1042,0,0,3,13,0,0,38,113,42,127,4,10,9,16,12,33,27,51,64,183,0,4,491,1549
UCL315030,540,1046,11,64,42,196,18,74,246,954,316,1290,0,11,27,73,73,218,101,299,414,1587,0,6,19,79,9,35,116,349,150,470,5,11,21,35,55,112,77,157,222,626,11,24,1187,3286
UCL315031,220,425,3,29,31,152,12,57,226,912,275,1150,14,53,18,63,50,158,85,278,357,1432,4,18,9,21,4,15,87,264,101,313,5,19,8,22,31,62,43,98,147,414,3,10,728,2283
UCL315032,188,367,3,27,14,82,12,44,68,252,98,400,4,25,8,20,23,75,37,115,131,519,0,0,7,31,3,11,30,93,42,133,0,0,5,9,15,37,24,50,68,179,6,16,386,1081
UCL315033,456,905,11,62,34,134,19,74,248,992,301,1268,18,86,31,109,83,253,131,445,436,1711,3,9,8,40,9,44,50,148,79,242,3,19,10,31,50,111,70,158,149,394,10,17,1053,3031
UCL315034,138,275,3,13,15,64,3,19,95,393,117,491,10,43,14,48,36,120,63,214,183,699,0,4,0,5,0,6,29,94,39,111,3,10,6,17,24,53,28,70,65,182,0,3,385,1162
UCL315035,202,384,7,44,34,169,12,36,180,727,233,978,17,60,17,50,48,149,79,260,311,1240,0,3,4,21,0,4,14,48,25,77,3,4,5,10,8,23,18,40,44,121,0,3,556,1745
UCL315036,49,113,4,8,3,31,16,121,60,271,85,430,0,7,0,3,6,36,7,44,95,473,3,17,0,12,10,61,51,174,72,262,4,10,0,0,19,51,20,66,93,326,13,24,247,934
UCL315037,35,66,0,5,3,12,0,5,20,62,18,82,0,0,0,0,3,6,3,6,21,87,0,0,0,0,0,0,3,11,3,11,0,0,0,0,0,0,0,0,3,11,0,3,60,168
UCL315038,167,318,6,24,4,27,7,41,73,291,96,388,4,19,8,29,31,89,42,134,133,525,0,3,3,12,0,5,34,79,36,104,0,0,8,13,14,30,22,43,54,148,7,13,368,1003
UCL315039,366,731,5,20,22,120,11,65,143,567,187,768,17,56,15,54,62,200,94,306,285,1073,3,27,6,26,3,13,55,163,64,215,3,8,9,17,50,104,64,134,124,350,12,23,790,2178
UCL315040,154,311,0,0,3,26,4,13,28,120,39,162,3,7,3,9,19,62,23,75,64,234,0,8,3,11,0,0,21,76,26,92,0,8,3,8,24,42,23,56,51,141,4,4,274,698
UCL315041,521,1037,3,21,40,185,16,61,186,762,248,1027,19,80,28,89,78,243,132,418,382,1444,4,15,13,33,13,47,68,195,93,295,3,9,14,26,83,186,104,222,195,514,17,34,1112,3029
UCL315042,267,524,3,18,9,43,5,24,118,444,136,528,8,36,13,52,50,162,73,248,210,778,0,0,6,25,0,3,21,48,25,81,0,0,9,16,21,42,28,62,55,145,0,9,535,1454
UCL315043,350,708,12,66,72,320,26,115,329,1290,436,1796,29,123,42,134,121,385,193,641,623,2437,0,9,14,39,4,23,85,226,99,296,3,9,14,40,44,101,64,151,165,454,9,19,1150,3615
UCL315044,531,1044,8,51,47,243,27,131,347,1402,433,1831,19,91,36,124,97,311,162,526,596,2353,7,34,18,59,9,43,84,260,122,403,7,23,13,32,52,108,71,161,189,566,4,4,1320,3977
UCL315045,173,345,0,9,19,88,10,35,120,477,151,616,14,46,8,22,30,95,49,163,199,777,0,0,9,38,6,27,40,107,55,172,3,12,4,12,26,49,36,77,88,253,6,15,463,1390
UCL315046,201,388,10,46,17,71,11,50,109,451,142,626,8,35,10,37,31,94,46,159,197,783,0,0,8,19,3,16,23,70,30,102,3,3,6,11,17,40,20,57,56,155,3,6,452,1343
UCL315047,228,459,3,16,14,77,8,48,73,301,99,440,3,12,13,42,33,91,47,139,145,578,4,16,5,23,3,19,29,81,44,136,3,8,11,19,25,45,38,72,79,212,3,11,461,1255
UCL315048,279,525,3,26,24,116,5,23,112,408,142,574,4,15,15,42,34,110,52,174,197,746,0,0,8,37,3,27,53,132,71,194,3,4,3,9,29,65,35,79,108,276,15,39,596,1589
UCL315049,319,625,15,84,18,99,8,35,156,640,195,856,9,28,11,25,34,99,50,153,242,1008,5,30,12,57,8,35,115,326,144,441,13,45,16,31,73,157,102,237,242,683,25,60,831,2378
UCL315050,444,863,7,43,41,191,16,65,206,789,267,1095,30,121,29,91,95,305,159,519,421,1612,3,12,11,41,5,27,77,223,98,301,5,35,17,23,67,143,89,206,186,506,17,34,1068,3012
UCL315051,305,612,3,26,28,143,16,73,138,597,193,840,15,62,26,72,84,258,119,395,313,1232,0,0,4,8,3,16,32,93,41,112,4,9,10,23,29,53,38,84,75,196,10,19,703,2070
UCL315052,276,530,6,33,17,85,9,53,157,618,190,781,10,44,10,34,48,140,70,218,264,1003,0,4,9,38,4,16,53,145,72,199,0,4,3,10,31,65,35,71,105,271,11,31,652,1841
UCL315053,328,663,6,32,39,180,23,101,209,857,269,1173,11,61,15,56,74,225,104,341,373,1514,4,36,19,88,13,64,129,412,175,596,3,11,11,21,62,135,74,168,248,762,20,39,967,2981
UCL315054,437,871,0,20,9,37,3,16,54,202,68,274,8,24,4,17,41,116,46,160,118,431,3,14,5,31,4,20,67,188,83,244,3,6,15,34,49,104,66,145,151,391,13,19,717,1715
UCL315055,217,427,3,23,18,86,8,34,63,252,91,400,5,18,4,21,30,81,41,124,136,517,3,17,4,12,3,12,30,93,47,134,0,0,7,15,23,48,35,61,76,194,3,12,431,1153
UCL315056,444,866,3,13,23,102,3,8,121,472,148,597,3,8,15,32,43,145,60,189,210,785,0,7,10,21,3,8,56,145,66,186,5,22,15,29,43,85,64,133,132,319,8,13,791,1985
UCL315057,194,369,3,21,22,92,14,65,237,907,276,1094,10,49,19,58,33,101,67,214,340,1302,0,0,6,28,0,6,41,124,50,164,3,16,3,10,11,31,19,51,71,213,11,15,621,1902
UCL315058,94,181,4,23,31,135,3,16,134,516,172,688,8,36,15,47,22,59,40,135,211,827,3,10,10,28,0,3,33,88,47,132,0,0,8,22,15,29,23,53,73,187,7,11,379,1206
UCL315059,231,453,6,43,32,166,5,24,219,924,273,1155,12,35,17,51,40,133,66,220,335,1377,0,0,12,31,8,19,26,75,42,125,8,18,7,6,17,38,30,57,64,187,0,3,633,2019
UCL315060,110,211,0,0,21,109,12,51,185,729,219,891,3,8,12,39,14,54,32,105,250,994,0,0,5,16,0,0,25,61,31,74,0,3,3,16,3,5,12,25,36,94,0,0,399,1299
UCL315061,124,244,0,7,15,57,0,6,57,231,71,296,0,3,12,30,8,17,13,54,86,347,0,5,0,4,0,0,33,101,36,103,0,0,4,10,8,13,8,22,47,126,8,13,266,737
UCL315062,178,341,0,3,11,59,3,16,87,338,103,423,4,14,3,13,16,47,27,79,134,504,5,18,3,12,3,13,21,44,30,89,0,4,0,3,17,29,18,35,43,119,5,11,354,980
UCL315063,120,236,0,4,6,19,0,7,46,172,53,205,0,10,5,24,8,25,15,52,71,255,0,0,0,9,0,0,24,65,28,73,0,0,4,11,5,14,14,28,42,104,3,5,232,604
UCL315064,342,680,9,28,35,151,8,44,234,904,286,1126,9,50,32,105,79,235,119,391,407,1516,0,0,12,37,6,22,49,140,73,195,7,21,10,26,46,103,59,149,128,346,3,7,880,2555
UCL315065,264,505,3,12,13,81,8,37,81,328,106,460,5,27,13,48,28,85,49,156,160,618,0,9,4,8,3,15,61,193,66,224,3,6,10,15,27,54,36,79,104,303,9,19,530,1443
UCL315066,163,317,3,23,11,72,8,30,84,306,105,430,3,9,3,19,37,111,40,133,150,561,3,6,5,14,3,17,55,153,62,188,4,7,14,27,30,55,39,96,105,281,10,19,420,1184
UCL315067,256,497,3,22,19,86,6,23,63,258,94,390,3,10,9,26,41,144,55,180,147,567,3,15,13,66,8,31,63,175,91,294,6,20,12,23,57,126,74,174,166,465,21,45,583,1569
UCL315068,161,313,3,8,9,52,3,15,115,463,135,550,0,3,0,4,20,52,24,64,153,614,3,10,3,7,4,16,26,63,33,93,0,0,0,0,23,43,22,44,54,142,5,17,377,1085
UCL315069,95,183,0,8,9,51,3,12,76,307,97,375,0,11,9,26,22,57,29,96,129,473,0,0,3,8,0,5,17,54,19,67,0,4,0,4,12,21,9,28,30,94,3,4,254,747
UCL315070,122,254,0,0,8,43,10,31,59,246,75,328,0,3,0,8,9,38,14,46,94,379,0,5,3,12,0,0,22,66,29,76,0,3,6,15,11,23,19,38,46,118,3,9,269,760
UCL315071,220,432,6,25,11,56,14,67,80,332,108,483,4,13,10,31,24,78,41,127,148,605,0,8,9,26,11,36,57,171,76,241,3,6,3,5,26,51,27,69,109,308,15,29,486,1379
UCL315072,410,820,0,4,24,120,14,58,145,605,183,791,5,21,16,39,30,108,51,168,231,959,0,0,16,62,9,42,78,222,110,331,3,12,16,24,60,125,76,163,188,496,7,18,842,2290
UCL315073,148,291,0,0,9,26,0,0,35,144,47,166,0,0,4,11,21,63,22,72,64,239,0,7,5,13,0,0,29,77,31,90,0,0,3,4,17,28,20,33,54,125,3,3,268,652
UCL315074,433,875,21,119,45,208,27,122,213,872,298,1322,13,39,28,88,77,243,114,370,419,1697,5,19,16,48,11,60,124,350,155,483,9,26,11,20,60,130,79,186,233,667,15,24,1102,3262
UCL315075,69,142,5,61,12,74,29,201,118,593,166,928,3,15,4,7,37,146,43,167,206,1093,4,40,3,19,38,197,97,345,148,607,0,7,3,7,52,202,58,213,200,815,27,62,496,2121
UCL315076,476,944,3,27,52,244,21,82,293,1183,372,1531,13,56,39,132,81,249,142,443,509,1977,0,12,16,64,10,31,68,180,97,287,3,11,17,31,64,147,86,192,180,479,11,29,1177,3433
UCL315077,329,644,11,44,20,101,15,67,170,700,210,912,14,65,17,42,46,136,76,243,289,1153,0,8,13,44,7,38,47,140,70,226,3,5,7,16,32,68,42,94,110,317,8,15,731,2135
UCL315078,211,427,5,12,14,69,4,15,105,392,125,483,3,15,11,37,26,87,48,138,174,627,0,3,6,15,0,14,42,122,56,157,3,13,7,16,33,66,45,93,97,249,4,13,487,1304
UCL315079,538,1070,0,13,15,60,5,35,162,624,185,729,7,15,8,35,32,103,46,149,234,879,0,3,5,20,6,13,75,184,82,215,0,6,10,23,33,73,48,93,134,313,14,35,920,2289
UCL315080,342,682,3,14,34,165,6,30,178,696,218,902,12,56,25,67,67,200,105,320,323,1223,5,18,21,61,11,34,70,196,104,312,3,4,14,33,54,104,66,147,168,456,7,20,850,2386
UCL315081,171,336,0,6,8,50,4,17,47,181,58,252,4,9,4,18,6,29,19,63,75,312,0,0,3,7,0,0,22,63,27,71,0,3,4,13,10,16,17,30,40,100,5,5,301,755
UCL315082,113,234,3,13,23,99,5,19,53,203,78,327,14,54,13,49,47,145,78,246,155,577,0,0,0,5,0,3,4,9,6,12,3,6,4,7,11,21,19,37,22,54,4,5,298,868
UCL315083,277,541,3,12,9,47,7,40,66,242,82,338,3,9,12,26,36,104,46,144,131,483,4,7,3,11,0,13,25,68,30,94,0,0,8,12,24,56,30,68,59,158,0,3,466,1183
UCL315084,232,458,12,58,18,91,9,61,99,408,144,616,10,27,5,21,49,156,65,208,204,823,3,14,17,55,11,37,64,179,92,289,10,37,12,25,35,76,58,139,155,433,12,24,599,1736
UCL315085,402,794,3,11,13,57,11,38,66,277,93,377,9,31,14,32,38,125,60,190,146,570,0,0,5,21,3,4,80,214,86,243,3,5,11,23,61,126,71,147,160,395,15,40,730,1795
UCL315086,219,426,3,13,51,212,4,11,163,685,223,920,33,149,53,183,54,172,138,498,357,1418,0,0,0,6,0,0,12,26,13,28,0,0,9,28,24,53,31,81,42,111,0,0,617,1962
