UCL_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
UCL222056,0,0,4,0,0,0,0,9,8,3,8,7,7,8,18,0,11,7,14,3,12,10,6,11,12,5,17,5,5,9,10,0,8,9,0,8,4,3,7,9,0,9,0,0,0,0,0,0,0,0,0,15,0,15,0,4,4,95,58,153
UCL222057,0,3,4,0,0,0,0,3,3,0,6,6,7,9,11,4,9,11,18,7,19,6,9,15,12,0,15,16,3,17,12,0,10,13,4,15,13,0,13,4,0,4,6,0,6,0,0,0,3,0,3,17,0,17,4,4,5,131,51,185
UCL222058,3,0,3,0,0,0,3,3,11,0,4,7,4,10,16,5,6,11,15,4,12,3,0,5,6,6,15,9,0,8,4,0,5,8,0,8,13,3,14,3,0,3,0,0,0,0,0,0,0,0,0,8,0,8,0,0,3,95,38,132
UCL222059,0,0,0,0,0,0,0,5,5,0,12,9,4,15,15,4,4,10,13,3,15,5,4,12,10,0,14,11,0,17,10,0,10,8,0,10,13,0,13,5,0,5,0,0,0,0,0,0,0,0,0,15,0,15,0,7,5,115,54,164
UCL222060,4,3,3,0,0,0,0,0,0,3,0,3,6,3,4,0,5,3,6,4,13,9,6,6,7,3,8,12,0,12,4,0,4,6,0,6,13,0,13,3,0,3,3,0,3,0,0,4,0,0,0,4,0,4,0,0,0,75,18,93
UCL222061,3,3,7,0,0,0,0,8,8,0,7,7,6,32,42,3,8,9,21,3,28,6,5,10,12,3,16,5,3,12,5,0,4,3,0,3,8,0,8,0,0,0,0,0,0,0,0,4,0,0,0,10,0,10,5,6,8,94,81,173
UCL222062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,10,11,18
UCL222063,0,3,3,0,0,0,0,0,5,0,4,4,3,3,5,0,3,5,3,4,3,7,4,10,6,0,7,6,3,10,3,7,5,7,3,8,7,0,7,5,0,5,4,0,5,0,0,0,0,0,0,4,0,4,0,3,3,56,37,96
UCL222064,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,5,4,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,13,12,27
UCL222065,0,0,0,0,0,0,0,4,4,0,3,8,0,4,4,3,3,10,6,3,6,5,3,12,9,0,8,3,0,5,3,0,3,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,3,0,3,11,0,11,0,3,3,54,29,86
UCL222066,0,0,0,0,0,0,0,0,0,0,3,3,0,7,14,5,3,7,7,0,12,5,0,7,9,0,5,6,0,8,3,0,3,0,3,4,4,0,4,3,0,3,0,0,0,0,0,4,3,0,3,3,0,3,0,8,10,54,39,90
UCL222067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,4,0,4,4,3,9,4,0,4,0,3,4,3,0,3,10,0,10,11,0,11,4,0,4,0,0,0,6,0,6,7,0,7,0,0,7,64,12,71
UCL222068,0,0,3,0,0,0,0,10,10,0,8,3,4,21,24,4,6,14,8,10,16,5,10,19,14,9,24,13,9,16,5,4,7,3,0,3,12,4,9,3,0,3,3,0,3,3,0,3,0,0,0,11,0,11,3,3,6,99,80,176
UCL222069,0,0,0,0,0,0,0,3,4,0,4,4,0,15,12,0,12,12,12,4,15,10,4,12,17,0,17,11,5,16,11,0,11,7,3,14,9,0,9,8,0,8,0,0,0,5,0,5,8,0,8,11,0,13,3,3,5,110,53,160
UCL222070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,3,10,7,3,6,8,0,8,3,0,3,7,0,10,7,0,7,20,0,21,21,0,21,3,0,3,3,0,8,15,0,15,14,0,14,3,3,3,128,20,148
UCL222071,0,0,0,0,0,0,0,0,3,0,0,0,0,8,8,0,0,0,3,0,3,4,0,4,4,6,6,6,0,6,5,0,3,8,0,8,14,0,14,5,0,5,0,0,0,0,0,0,4,0,4,3,0,3,0,0,0,60,17,71
UCL222072,0,0,0,0,0,0,0,0,0,0,3,4,3,5,12,3,4,8,7,3,8,3,3,4,9,0,9,3,0,3,3,0,0,3,0,3,12,0,12,5,0,5,3,0,3,0,0,0,4,0,4,7,0,7,0,0,4,61,15,74
UCL222073,0,6,6,0,0,0,0,0,4,0,3,3,3,9,16,0,3,3,6,3,15,6,6,8,9,4,13,5,0,5,7,0,7,9,0,9,6,0,8,5,0,5,0,0,0,3,0,3,0,0,3,4,0,4,0,0,6,70,41,112
UCL222074,0,0,0,3,0,3,0,3,3,0,13,13,8,19,25,9,10,18,21,6,29,12,10,16,13,0,13,9,0,9,4,0,4,5,0,12,5,0,5,0,0,0,0,0,0,0,3,3,0,0,0,12,0,12,0,3,9,102,62,162
UCL222075,0,0,0,0,0,0,4,3,4,0,4,4,4,8,9,3,3,5,9,5,11,5,7,12,8,4,9,4,7,7,5,3,4,3,0,5,3,0,4,0,0,0,3,0,3,0,0,0,0,0,0,5,0,5,0,0,0,59,40,97
UCL222076,0,0,0,0,0,0,0,0,0,0,0,0,7,12,16,0,7,9,6,0,6,8,5,18,7,3,14,3,0,4,12,4,12,8,3,8,16,0,20,13,0,13,0,0,0,0,0,0,9,0,9,9,0,9,0,0,6,104,38,137
UCL222077,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,4,0,7,4,0,3,4,0,3,0,0,0,6,0,4,10,0,10,8,0,8,5,0,5,5,0,5,4,0,4,4,0,4,3,0,3,57,12,65
UCL222078,0,0,0,3,0,3,0,7,3,4,10,15,6,14,20,6,10,20,10,3,14,9,4,12,8,8,17,19,4,20,5,3,6,4,3,12,13,0,11,3,0,3,3,0,3,0,0,0,3,0,3,10,0,10,3,7,14,111,78,185
UCL222079,0,3,3,0,3,3,0,3,5,0,5,6,5,11,13,3,0,3,14,4,19,7,3,6,15,5,19,7,0,9,13,0,13,8,0,8,10,0,10,7,0,7,0,0,3,3,0,3,0,0,3,12,0,12,0,3,3,104,45,144
UCL222080,0,0,0,0,3,5,0,0,8,0,8,8,3,13,19,9,5,15,6,3,8,5,8,9,8,4,14,8,0,12,0,3,3,0,0,0,5,0,5,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,61,60,119
UCL222081,0,0,3,0,0,0,0,0,4,0,3,3,3,3,3,0,0,0,0,0,0,0,0,0,7,0,7,4,3,9,0,0,0,0,0,7,7,8,11,7,0,7,3,0,3,0,3,0,6,0,6,3,0,8,3,0,4,59,24,83
UCL222082,3,0,3,0,0,0,0,0,0,0,0,0,3,3,4,3,5,4,3,3,4,3,7,12,9,3,15,3,0,3,7,0,7,4,0,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,12,0,0,4,52,25,74
UCL222083,4,0,4,0,0,0,0,0,0,0,4,10,5,3,12,3,0,3,6,4,11,8,3,12,14,3,20,7,3,11,4,0,4,12,3,12,10,0,16,7,0,11,3,0,3,3,0,3,3,0,3,17,0,17,0,3,5,117,32,148
UCL222084,3,5,11,3,0,0,3,3,7,0,12,15,0,27,27,3,4,8,7,6,16,11,6,12,26,3,29,12,0,12,9,0,9,7,0,7,9,0,9,3,0,3,0,0,0,0,0,0,3,0,3,11,0,15,0,10,7,106,83,189
UCL222085,0,0,0,0,0,0,0,0,0,0,8,8,3,15,18,4,3,10,7,4,13,3,3,10,0,0,3,6,0,5,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,3,45,47,88
UCL222086,5,4,4,0,0,5,3,7,12,0,16,16,6,30,36,5,9,15,13,3,21,15,3,20,13,8,16,13,0,17,8,0,9,7,0,8,15,0,13,0,0,0,0,0,0,0,3,3,0,0,0,10,0,10,5,7,8,125,95,215
UCL222087,0,0,0,0,3,3,0,3,3,0,5,5,8,12,20,4,4,11,11,3,17,3,9,12,7,6,16,6,0,8,4,3,8,0,0,3,3,0,3,4,0,4,0,0,0,0,0,0,0,0,0,9,0,12,0,0,3,63,52,119
UCL222088,0,0,3,0,0,0,0,0,4,0,0,0,0,6,6,0,3,3,12,0,10,7,8,17,3,3,7,6,0,9,9,0,15,8,0,7,14,0,13,12,0,12,11,0,11,3,3,9,4,0,4,16,0,16,0,7,7,113,31,150
UCL222089,0,3,4,0,0,0,0,0,4,0,8,7,3,15,17,8,16,21,21,5,24,9,7,22,19,3,23,16,0,17,10,0,10,11,0,9,12,3,19,3,0,3,3,0,3,4,0,5,3,0,3,15,0,13,3,4,10,139,79,220
UCL222090,0,0,0,0,0,0,3,7,10,0,0,0,6,12,20,3,11,12,16,7,21,3,3,12,6,0,9,6,0,6,5,0,5,4,0,5,9,3,11,4,0,4,0,0,0,0,0,3,3,0,3,10,0,8,0,9,12,89,53,143
UCL222091,0,0,3,0,0,3,0,5,3,0,0,0,0,8,7,0,0,0,0,0,3,11,3,13,7,3,5,4,0,7,3,0,5,0,0,3,3,0,6,0,0,0,4,0,4,0,3,3,0,0,0,8,0,8,0,0,4,52,25,74
UCL222092,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,7,9,5,3,8,5,0,9,8,5,12,4,0,4,6,0,4,6,0,6,5,0,11,3,0,3,3,0,3,0,0,0,0,0,0,3,0,3,3,4,4,45,30,75
UCL222093,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,3,0,5,4,0,4,3,3,5,5,0,4,11,4,11,3,4,9,6,0,6,6,0,6,10,0,10,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,56,18,74
UCL222094,0,0,0,0,0,0,0,3,3,0,0,0,0,4,3,0,3,5,9,3,7,5,4,9,12,7,21,5,3,10,12,3,14,5,5,13,13,3,19,13,0,13,8,0,8,3,0,3,12,0,12,12,0,12,10,6,12,115,50,159
UCL222095,0,0,4,0,5,5,0,13,13,0,6,9,7,29,32,9,3,10,18,5,26,10,3,14,14,7,18,4,0,7,3,3,9,7,0,7,4,0,4,3,0,3,0,0,0,0,0,0,3,0,3,15,0,15,3,10,17,93,91,182
UCL222096,0,0,0,0,0,0,0,5,3,0,0,0,4,8,9,0,4,4,4,4,11,5,7,12,6,0,11,4,0,4,0,0,5,7,0,7,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,3,56,27,82
UCL222097,0,0,0,0,0,0,0,3,3,0,4,4,3,9,15,3,0,3,9,3,16,8,4,10,10,3,9,12,3,11,3,0,3,6,0,3,10,0,10,4,0,4,0,0,0,0,0,3,0,0,0,12,0,12,0,0,0,73,36,114
UCL222098,0,0,0,0,0,0,0,0,3,0,3,3,0,3,4,6,0,6,11,4,11,3,0,4,0,3,3,13,0,12,4,3,5,9,0,9,15,3,13,12,0,12,8,0,8,6,0,6,5,0,5,18,0,18,0,3,3,106,28,131
UCL222099,0,9,9,3,0,7,0,7,9,4,7,10,11,16,23,3,3,5,21,0,24,10,3,21,13,3,15,13,4,16,6,0,6,4,0,4,8,3,15,3,0,3,0,0,0,0,0,0,3,0,3,21,0,17,0,3,3,128,62,189
UCL222100,0,0,0,0,0,0,0,3,3,0,3,3,5,11,16,6,5,12,14,3,20,6,8,17,12,5,13,10,3,11,8,0,8,4,0,7,12,0,13,12,0,12,3,0,3,0,3,3,0,0,0,9,0,9,3,5,8,110,47,156
UCL222101,0,3,3,0,3,3,0,3,3,0,13,10,0,16,19,6,8,9,17,6,24,9,7,13,10,4,13,5,0,8,3,0,3,0,0,0,5,0,9,3,0,3,0,0,0,0,0,0,0,0,0,4,0,4,5,8,11,67,60,126
UCL222102,0,0,0,3,0,3,3,0,3,0,3,3,5,8,10,0,0,3,3,4,5,3,4,4,10,6,10,7,0,7,3,0,0,9,0,5,10,0,11,5,0,5,3,0,3,0,0,0,3,0,3,5,0,5,0,4,3,56,32,90
UCL222103,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,3,0,3,7,0,3,5,4,9,4,3,9,6,0,6,6,0,7,4,0,4,19,0,19,0,0,0,4,0,4,0,0,3,0,0,0,6,0,6,5,0,5,72,16,85
UCL222104,3,0,3,0,0,0,0,0,0,0,5,5,4,11,10,4,8,12,14,4,12,10,4,11,13,3,16,7,5,10,6,3,12,3,3,9,11,0,11,4,0,4,6,0,6,0,0,0,0,0,0,13,0,13,3,0,3,115,35,148
UCL222105,0,0,0,0,0,0,0,3,3,3,3,9,3,10,16,3,4,7,8,3,11,9,7,9,7,0,10,5,3,7,4,0,3,8,0,8,6,0,13,11,0,11,0,0,0,0,0,0,3,0,3,12,0,12,3,0,3,85,34,125
UCL222106,0,0,0,0,0,0,0,0,3,0,0,0,0,7,3,0,3,5,5,3,9,3,0,6,5,3,5,3,0,7,8,0,8,6,0,11,9,0,10,17,0,17,11,0,6,0,0,0,6,0,6,9,0,11,0,0,4,92,23,110
UCL222107,0,3,3,0,0,0,3,5,5,3,3,3,3,7,10,4,0,4,7,0,7,10,0,6,13,5,19,13,0,13,6,5,18,17,4,18,18,3,22,16,0,16,6,0,6,3,0,3,3,0,3,12,0,12,3,4,5,138,45,182
UCL222108,0,0,0,0,0,0,0,5,6,0,7,10,6,28,32,4,10,17,18,6,23,13,3,19,9,5,15,17,4,22,12,3,12,9,0,9,4,0,9,7,0,7,0,0,0,0,0,0,0,0,0,9,3,6,3,13,15,114,90,201
UCL222109,3,0,3,0,0,4,0,10,10,0,8,8,4,11,15,10,0,10,12,4,15,0,4,7,19,6,23,6,0,6,4,0,4,5,0,5,3,0,6,4,0,4,0,0,0,0,0,0,3,0,3,10,0,10,3,0,3,90,47,135
UCL222110,0,0,0,0,0,0,0,0,0,0,6,6,0,0,3,3,0,3,9,5,10,10,6,15,12,6,18,9,4,7,11,5,18,8,0,8,13,0,17,15,0,15,4,0,4,0,0,0,3,0,3,12,0,8,0,0,3,107,35,143
UCL222111,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,6,5,0,4,4,0,7,3,3,6,11,0,9,6,0,6,5,0,9,8,0,9,5,0,5,4,0,4,0,0,0,3,0,3,8,3,9,3,0,3,67,23,90
UCL222112,0,0,0,0,0,0,0,0,3,0,0,0,3,5,11,0,0,0,5,3,9,0,4,7,4,5,7,3,4,6,3,0,3,3,0,6,3,0,3,10,0,10,4,0,4,4,0,4,0,0,0,4,0,4,0,3,0,51,27,81
UCL222113,0,3,3,0,0,0,0,0,0,0,3,3,3,10,17,3,9,8,5,9,12,0,0,4,14,3,14,10,0,10,4,3,7,4,0,4,9,0,9,6,0,6,0,0,0,0,0,0,3,0,3,5,0,6,0,0,3,78,42,115
UCL222114,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,3,3,6,3,0,4,3,3,4,10,3,10,3,3,6,3,0,3,3,0,3,6,0,12,3,0,3,3,0,3,0,0,0,5,0,5,9,0,10,0,0,0,57,20,78
UCL222115,0,0,0,0,0,0,3,3,8,0,4,4,6,13,16,8,6,9,11,0,11,13,7,17,0,6,7,3,0,6,3,0,3,4,0,5,4,0,5,0,0,0,0,0,0,5,0,5,0,0,3,4,0,7,4,7,5,53,56,108
UCL222116,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,3,3,5,0,10,10,3,18,4,0,8,3,0,5,0,0,3,4,0,3,12,0,16,4,0,4,4,0,4,0,0,0,3,0,3,7,0,7,3,3,6,60,25,85
UCL222117,0,0,0,0,0,0,0,0,0,0,3,3,3,6,14,3,11,9,12,8,19,12,8,14,9,3,12,8,0,8,6,0,10,4,0,4,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,13,3,15,3,0,3,94,37,133
UCL222118,5,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,3,0,3,3,3,7,4,0,4,0,0,0,0,0,0,3,0,3,7,0,7,5,0,5,5,4,6,9,0,9,3,0,3,0,0,0,57,8,61
UCL222119,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,3,3,6,5,3,9,7,3,5,3,0,3,5,0,5,7,3,10,6,0,6,11,0,11,4,0,4,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,57,14,75
UCL222120,0,0,0,0,0,0,0,0,0,0,0,0,4,3,13,6,0,8,12,0,16,11,0,10,7,3,14,4,3,9,4,0,3,9,0,9,8,0,8,0,0,0,0,0,0,0,0,0,4,0,4,11,0,11,0,4,3,80,24,107
UCL222121,0,3,3,0,0,0,0,4,5,0,3,3,3,3,9,0,0,7,13,3,10,8,4,8,4,0,4,4,3,5,11,0,11,8,0,8,5,0,5,3,0,3,0,0,0,0,0,0,0,0,0,8,0,8,0,3,3,68,27,96
UCL222122,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,3,0,3,3,0,5,0,3,3,6,3,9,3,0,5,7,0,7,11,0,6,3,0,3,3,0,3,0,0,0,4,0,4,3,0,3,0,0,4,52,13,65
UCL231777,1238,1100,2337,874,635,1510,894,2094,2988,617,2953,3563,3332,5749,9077,2820,2935,5756,8244,2785,11027,7172,3054,10227,9694,2720,12415,9608,1729,11335,6757,1281,8030,7489,844,8331,12902,1056,13964,8321,124,8447,4948,54,5001,3136,624,3765,7029,65,7090,12394,413,12800,2181,1834,4011,109645,32059,141696
UCL279997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL299994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL301001,4244,5610,9848,1986,2229,4213,3148,8042,11189,3005,12867,15870,10322,27886,38208,12313,16442,28748,29836,14129,43968,27865,16970,44837,38303,18824,57126,39086,14180,53262,33262,12203,45466,34255,8761,43020,69295,13413,82710,49671,3064,52735,33250,1719,34972,24060,5190,29254,51426,1577,53001,46843,7277,54122,5740,7278,13018,517911,197658,715565
UCL302001,1374,1675,3050,587,663,1249,839,2337,3176,817,3805,4622,3214,8746,11961,3814,5234,9042,9651,4674,14323,8442,5277,13716,11658,5340,16997,11768,3553,15327,9462,2851,12317,9782,2052,11832,18112,2820,20934,12017,700,12717,7319,333,7646,4809,1218,6030,9451,304,9757,12663,2022,14687,1826,2556,4380,137605,56151,193760
UCL303001,302,425,726,156,187,344,268,790,1059,296,1184,1477,853,2333,3190,1144,1422,2569,2265,1481,3746,2212,1623,3830,2951,1575,4528,3028,1069,4100,2498,833,3331,2383,613,2993,4735,816,5550,3007,156,3165,1734,98,1830,1139,267,1408,1919,86,2005,3961,539,4496,538,686,1221,35384,16180,51562
UCL303002,546,597,1141,298,266,561,415,1212,1625,375,2091,2466,1752,4899,6652,1886,3027,4912,5612,2347,7964,4607,2360,6959,6095,2240,8334,5966,1552,7518,4454,1169,5616,4316,834,5149,7783,1106,8889,5021,247,5266,3030,121,3155,1969,515,2489,3928,117,4046,6376,808,7183,862,1218,2078,65294,26712,92008
UCL303003,165,235,397,102,126,228,174,555,725,180,1001,1179,654,2487,3146,820,1404,2223,2248,1133,3377,1852,1233,3087,2321,1203,3528,2264,714,2976,1763,617,2383,1726,425,2151,3132,546,3680,1935,94,2028,1126,58,1182,700,198,901,1322,39,1363,2039,292,2334,323,639,967,24862,13000,37861
UCL303004,306,421,724,169,211,378,276,849,1124,299,1225,1527,972,2420,3391,1210,1434,2646,2612,1350,3960,2460,1631,4090,3217,1704,4921,3359,1367,4727,2901,1064,3965,2886,711,3599,5671,935,6604,4016,198,4218,2340,97,2435,1461,278,1739,2324,97,2426,4805,655,5459,537,701,1242,41826,17349,59174
UCL311001,100,118,215,61,77,142,121,439,568,133,659,794,536,1589,2124,567,724,1287,1703,509,2211,1207,515,1722,1344,476,1820,1269,242,1512,884,168,1055,783,101,888,1261,124,1386,657,19,684,400,4,404,184,45,227,309,11,321,1066,101,1161,268,438,709,12859,6368,19222
UCL311002,120,138,251,90,82,171,145,355,502,127,670,800,639,1594,2234,618,788,1408,2272,511,2788,1327,471,1798,1639,429,2066,1331,224,1554,792,158,951,736,103,840,1207,142,1346,619,32,647,336,14,351,217,47,263,388,8,399,1192,100,1291,294,372,668,14079,6245,20325
UCL311003,154,193,350,78,113,195,152,443,589,143,676,822,481,1229,1714,579,652,1236,1180,559,1741,1062,670,1730,1380,670,2047,1356,533,1886,1169,405,1579,1182,288,1478,2468,502,2974,1760,82,1837,1179,41,1217,708,154,863,1342,42,1383,2716,230,2940,319,383,705,19415,7878,27293
UCL311004,91,150,238,63,93,158,114,356,473,130,608,738,431,1382,1812,517,620,1134,1263,545,1808,1013,601,1614,1151,621,1778,1176,408,1583,1027,297,1330,1046,202,1251,1935,272,2207,1253,53,1306,753,23,779,464,116,573,814,39,855,1647,143,1789,220,348,568,15119,6876,21991
UCL312001,75,104,181,49,39,95,68,212,282,68,267,343,245,432,673,268,223,489,494,226,726,440,252,695,483,285,769,547,229,774,474,206,677,458,179,641,1160,281,1443,804,33,842,535,25,555,467,157,629,806,27,829,944,96,1033,106,110,224,8508,3386,11898
UCL312002,46,65,115,39,40,72,57,201,259,62,357,421,304,844,1148,280,303,579,859,231,1086,626,218,839,680,203,882,535,123,660,317,79,392,307,46,353,463,46,511,248,6,252,120,6,121,76,21,96,98,7,99,438,46,481,140,225,364,5696,3044,8739
UCL313001,32,16,49,17,16,30,16,48,69,15,84,103,101,242,337,102,127,230,433,82,520,273,95,365,322,76,400,264,60,323,193,53,252,180,40,225,343,37,379,228,7,232,117,3,122,93,25,120,160,0,158,300,27,330,54,66,113,3240,1112,4352
UCL313002,44,56,100,45,30,76,41,134,176,39,306,346,223,777,1003,206,441,648,887,225,1113,537,203,740,582,185,768,489,78,570,289,69,365,265,60,318,400,46,445,225,7,234,156,0,156,81,37,116,178,8,182,398,27,427,111,201,306,5210,2886,8097
UCL313003,10,22,31,19,14,37,11,46,55,37,93,132,87,218,305,111,98,210,216,121,333,199,113,311,264,103,368,266,57,325,209,40,251,221,33,251,413,59,472,261,10,264,138,7,143,79,20,94,127,3,129,329,18,340,40,54,94,3020,1139,4155
UCL313004,19,22,41,10,15,24,5,44,52,17,54,71,37,82,123,59,57,112,95,69,166,105,96,203,165,120,289,209,105,316,198,86,282,239,56,300,481,103,588,363,7,371,202,13,214,161,46,203,318,8,326,455,26,483,42,25,72,3194,1052,4248
UCL313005,24,12,39,10,12,24,22,38,60,25,44,75,85,91,171,98,55,145,194,50,247,183,52,238,253,77,330,239,55,298,206,38,241,207,39,239,365,52,422,232,11,240,142,3,149,58,10,65,91,0,90,314,25,339,36,30,64,2784,687,3476
UCL313006,36,39,74,26,32,51,42,136,175,52,250,303,182,648,832,255,286,541,632,207,843,467,193,657,524,184,711,442,99,544,290,81,369,289,40,327,382,54,434,226,12,231,133,3,134,54,20,77,89,3,93,352,39,398,84,153,232,4547,2480,7026
UCL313007,17,26,41,5,14,18,26,57,79,23,113,128,99,288,388,125,118,237,294,111,408,206,113,322,250,87,336,256,50,304,189,46,242,165,36,206,297,46,348,149,10,163,90,0,90,65,19,80,86,3,94,190,26,215,45,76,118,2572,1235,3811
UCL313008,23,52,75,13,15,27,39,59,95,29,86,111,71,127,205,77,67,142,141,97,238,125,100,219,166,144,305,208,126,331,192,115,303,234,133,363,613,314,926,522,32,557,443,25,471,296,78,374,580,41,617,410,68,479,74,82,150,4250,1740,5992
UCL313009,27,39,67,17,24,41,33,125,160,36,189,231,123,504,631,183,284,465,514,211,718,381,187,576,456,165,621,433,96,530,364,66,425,327,46,380,569,55,621,282,9,288,143,3,146,81,13,99,93,9,99,412,40,449,83,126,205,4570,2192,6759
UCL313010,34,36,64,12,31,47,28,113,139,36,170,209,134,438,572,155,196,357,489,144,633,288,165,461,383,123,500,395,71,465,254,49,304,252,33,283,359,31,393,180,6,186,89,0,89,44,19,66,58,0,65,314,26,337,69,118,187,3587,1775,5355
UCL313011,36,40,73,22,19,46,30,106,136,32,170,196,138,355,493,126,167,286,348,157,502,233,122,348,349,137,484,326,93,421,227,87,311,258,59,318,482,79,564,346,15,357,226,3,225,156,26,181,264,10,271,611,39,649,60,88,150,4254,1766,6022
UCL314001,17,27,40,12,9,20,19,48,63,17,66,84,54,118,172,69,86,154,125,107,235,153,106,266,194,87,288,190,84,276,151,54,204,169,43,210,271,77,347,163,26,184,90,11,99,51,24,74,106,7,114,239,64,301,27,23,49,2107,1068,3169
UCL314002,11,22,31,11,14,26,24,44,72,11,116,128,60,255,317,72,111,182,226,91,315,136,83,222,185,70,254,159,42,205,122,25,149,104,15,116,180,17,197,105,3,113,51,0,53,20,11,33,51,0,51,175,6,187,41,70,112,1744,1007,2754
UCL314003,14,13,36,8,19,27,19,79,93,20,121,144,68,233,301,60,115,178,216,106,319,147,100,250,192,85,281,216,45,258,143,35,178,132,23,151,248,21,274,155,4,156,92,7,97,47,10,60,95,0,94,194,16,209,52,87,138,2134,1115,3247
UCL314004,7,15,19,7,6,14,10,45,55,15,68,82,61,182,242,71,104,181,195,66,260,134,56,189,157,51,205,159,30,190,96,17,115,91,6,97,138,8,150,61,0,63,29,0,29,14,8,31,26,0,28,121,12,133,33,43,78,1425,722,2146
UCL314005,9,13,19,0,0,3,8,18,24,13,35,45,33,93,125,50,36,87,124,37,158,129,31,156,133,34,169,141,23,161,92,17,112,96,9,106,170,14,186,84,0,84,40,0,40,19,0,19,33,0,33,143,12,159,16,25,38,1338,400,1732
UCL314006,3,16,20,3,8,12,6,20,25,17,45,58,23,68,88,29,34,63,57,44,105,73,38,111,74,60,131,92,31,122,88,20,111,101,25,123,216,63,283,151,5,158,108,5,113,64,23,90,141,4,151,123,17,137,34,25,57,1405,547,1954
UCL314007,20,25,45,10,13,23,14,75,87,26,122,150,71,224,299,82,112,202,197,97,292,156,96,255,194,71,263,180,49,231,107,32,137,131,25,156,240,49,287,137,8,141,90,12,101,48,17,62,94,13,108,256,10,265,46,66,114,2099,1128,3227
