UCL_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
UCL113006,16,46,68,13,18,34,53,137,193,51,239,285,171,630,807,208,282,496,526,217,743,406,178,592,456,145,600,396,69,464,269,55,326,250,43,290,352,45,399,225,4,228,109,5,117,56,16,72,91,3,93,358,45,405,72,159,233,4100,2344,6436
UCL113007,31,52,81,26,19,47,27,88,119,34,170,198,152,309,461,134,135,274,357,159,514,299,190,486,355,157,510,421,115,544,370,72,440,294,48,343,561,82,641,352,23,374,206,14,219,116,35,148,213,17,226,438,31,467,114,136,254,4503,1841,6348
UCL113008,9,20,26,19,19,39,35,83,119,36,156,187,114,350,468,164,120,286,328,119,446,236,112,344,271,75,345,221,30,257,152,19,168,122,11,137,187,14,201,76,0,81,42,3,44,21,10,26,28,3,29,204,19,225,84,123,204,2350,1285,3640
UCL113009,21,32,54,14,6,23,22,41,64,19,109,126,92,257,348,105,140,243,261,100,356,218,108,322,317,94,409,284,60,337,229,58,291,266,43,312,455,78,534,307,12,321,246,6,253,164,28,187,336,4,337,385,16,399,43,52,97,3775,1235,5013
UCL113010,26,41,65,17,9,30,49,115,158,42,196,235,166,415,583,179,158,338,454,151,609,330,165,496,386,131,523,402,76,477,314,54,370,315,43,358,467,53,522,301,6,305,161,4,173,89,3,94,119,3,123,395,17,419,91,103,194,4312,1745,6054
UCL113011,12,43,56,18,26,52,33,156,187,39,253,288,109,473,586,149,151,304,358,161,520,230,113,343,292,120,417,218,69,285,154,42,193,162,45,210,278,51,333,173,5,174,108,3,117,68,18,90,125,3,127,235,7,243,62,131,197,2844,1872,4715
UCL113012,30,51,84,24,13,39,44,102,141,31,162,192,170,456,628,151,234,380,517,185,703,428,163,593,497,141,636,435,84,519,325,63,390,308,42,349,579,52,631,378,10,389,196,3,200,137,32,172,198,3,197,472,39,515,85,125,215,5006,1969,6974
UCL113013,11,29,44,11,20,34,24,62,80,33,107,140,88,248,333,69,147,218,239,89,324,175,101,285,238,98,334,235,69,299,149,34,185,164,53,216,327,79,406,223,5,224,131,5,145,107,22,133,187,7,197,249,22,278,39,91,127,2700,1300,4001
UCL113014,32,25,51,20,24,48,31,87,120,29,113,147,95,207,302,105,96,199,197,80,282,179,102,278,180,107,288,174,80,254,146,64,208,152,50,199,332,101,431,235,6,241,162,7,163,100,23,119,166,8,174,241,20,261,60,83,135,2640,1274,3920
UCL113015,31,37,73,32,23,47,38,84,117,26,152,176,142,319,463,109,197,306,350,138,492,290,162,451,386,131,519,351,78,433,228,56,285,231,50,285,402,52,449,257,9,263,149,0,149,97,28,129,206,3,209,375,29,403,65,88,151,3754,1639,5391
UCL113016,25,24,45,8,14,22,40,92,132,45,135,174,129,338,462,164,147,311,328,123,452,277,149,421,349,134,484,319,68,382,265,58,324,215,25,241,371,40,411,267,0,264,102,0,106,55,8,67,82,3,83,296,24,322,46,100,143,3377,1476,4853
UCL113017,25,34,58,14,23,38,21,84,105,25,125,149,85,228,319,117,103,213,195,96,291,182,108,288,252,108,356,242,92,332,186,71,255,211,66,279,468,117,588,324,8,332,197,6,206,138,55,197,303,6,307,356,33,381,57,59,114,3399,1419,4819
UCL113018,23,28,48,9,19,29,22,79,105,29,140,175,144,337,483,103,135,233,451,104,551,281,101,388,327,95,424,283,49,328,169,23,194,147,13,162,202,13,212,118,0,118,54,0,54,23,9,31,40,0,43,241,11,257,75,92,167,2744,1248,3993
UCL113019,40,42,81,34,35,66,75,203,275,54,329,391,202,687,886,234,287,519,682,212,895,436,226,664,504,153,660,457,88,541,305,52,356,265,29,293,342,26,362,193,6,202,81,3,87,45,24,65,80,3,85,400,32,428,114,186,303,4537,2614,7155
UCL113020,42,25,65,19,23,44,40,101,142,33,190,226,171,471,644,148,223,375,553,147,699,345,136,483,446,103,546,357,59,411,216,40,259,174,28,201,296,29,322,177,6,176,79,0,77,34,9,44,78,0,84,335,16,351,94,125,212,3628,1739,5370
UCL114001,6,10,16,3,5,7,15,39,49,8,63,76,30,199,223,40,109,144,153,74,224,114,50,163,178,61,243,133,20,157,90,20,109,97,7,108,147,15,163,78,0,78,41,0,41,22,5,25,43,0,43,131,13,146,24,40,65,1350,735,2081
UCL114002,8,17,24,7,4,11,8,19,28,10,54,64,51,121,172,37,39,84,136,41,182,101,32,137,113,41,150,106,16,128,82,20,101,82,17,95,150,11,158,98,0,105,57,0,57,21,6,34,59,0,59,177,4,182,26,28,53,1320,478,1801
UCL114003,17,12,30,5,12,22,15,41,53,13,84,96,44,214,255,61,125,186,108,90,195,99,96,191,154,98,246,170,69,246,133,58,185,127,47,176,204,64,271,141,31,172,91,17,106,64,26,94,161,12,182,238,115,357,29,42,71,1866,1269,3137
UCL114004,19,36,51,15,21,38,15,59,76,20,137,154,110,384,499,85,170,256,423,108,523,245,94,340,250,70,319,185,30,217,108,16,121,91,17,101,138,15,152,72,0,72,35,0,36,13,11,26,36,0,36,194,10,207,51,139,193,2110,1310,3419
UCL114005,21,21,42,10,22,25,19,94,110,27,188,217,127,381,508,101,186,289,359,112,473,241,141,383,302,86,391,259,41,294,169,18,193,147,26,169,208,23,230,106,0,104,40,0,40,16,14,35,17,0,17,188,13,205,60,100,161,2428,1464,3891
UCL114006,11,14,26,11,14,25,18,63,78,16,114,125,63,207,275,46,111,153,176,98,278,112,97,206,147,62,214,142,38,174,107,33,142,109,19,135,178,26,206,98,6,99,55,0,54,36,13,56,56,0,58,175,20,190,35,64,95,1590,998,2589
