UCL_CODE_2016,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
UCL121124,0,12,15,12,20,17,3,0,0,84,0,0,3,3,0,3,0,0,0,14,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9,20,21,26,22,6,3,0,108,0,3,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,0,0,13,3,15,19,22,25,27,6,3,0,115,7,3,0,4,6,9,19,22,10,74,0,3,6,3,0,4,4,0,0,17,15,15,22,31,28,42,29,19,13,212,0,3,6,6,8,9,0,0,0,36,3,0,8,7,10,11,3,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,15,18,21,21,4,0,0,86,0,0,0,3,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,4,3,0,3,3,0,0,0,0,0,7
UCL121125,6,9,34,32,28,17,3,0,0,130,11,5,4,10,3,3,0,0,0,38,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,6,16,16,36,45,36,20,4,0,0,173,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,7,16,20,38,44,36,24,4,0,0,185,6,5,0,3,6,10,13,12,0,56,0,4,3,3,4,0,3,0,0,18,29,22,38,50,46,38,22,15,0,260,0,14,15,17,7,10,0,0,0,76,12,10,7,21,12,12,3,0,0,81,0,0,0,0,0,0,0,0,0,3,0,7,0,0,3,0,0,0,0,10,11,26,30,48,28,25,3,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4
UCL121126,7,19,46,57,58,41,3,0,0,232,14,6,5,10,16,7,3,0,0,49,0,0,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,3,17,24,54,69,77,49,13,0,0,293,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,3,4,0,0,0,0,0,0,4,22,25,57,69,77,48,13,0,0,300,12,3,3,9,4,14,31,21,5,103,7,0,0,3,3,3,3,3,0,20,42,23,60,74,83,68,44,27,5,425,8,7,19,35,31,15,3,0,0,121,23,8,17,28,26,22,3,0,0,129,0,0,3,3,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,4,34,12,46,70,52,47,8,0,0,259,0,0,0,4,0,0,0,0,0,4,0,0,0,3,3,3,0,0,0,5,0,0,0,3,3,4,0,0,0,14
UCL122001,4,0,14,9,11,3,0,0,0,42,3,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,14,13,11,7,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,12,13,11,7,0,0,0,55,5,0,4,0,3,4,3,4,0,27,4,3,4,0,7,3,0,3,0,27,15,7,22,19,19,10,9,8,0,105,0,0,0,0,3,3,0,0,0,13,4,6,5,15,4,0,0,0,0,29,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,4,10,13,10,3,0,0,0,48,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,5
UCL122002,0,3,8,6,8,4,5,0,0,36,0,0,0,0,0,3,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,6,13,13,4,3,0,48,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,5,12,6,16,14,3,3,0,52,0,0,0,0,3,13,8,6,0,41,0,0,0,0,0,3,0,3,0,5,5,3,11,10,18,26,17,14,0,95,0,0,0,6,3,7,0,0,0,16,3,3,0,3,8,3,3,0,0,19,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,4,3,5,9,9,5,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL122003,3,8,6,18,14,14,3,0,0,62,3,3,3,0,3,4,0,0,0,20,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,13,15,19,18,16,4,0,0,91,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,4,11,13,13,19,18,14,4,0,0,96,11,0,3,0,0,5,12,3,0,40,0,0,3,0,0,0,0,0,0,3,13,11,18,25,18,23,16,4,0,138,0,6,9,10,10,6,0,0,0,43,6,3,6,7,11,3,4,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,17,18,20,12,4,0,0,85,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7
UCL122004,3,0,4,4,3,12,0,0,0,27,0,0,4,3,0,4,3,0,0,17,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,3,3,3,4,9,5,16,8,0,0,50,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,3,3,4,10,5,20,8,0,0,56,6,0,3,0,5,8,5,3,4,33,0,0,0,0,0,3,0,0,0,6,7,3,10,12,11,28,13,4,4,94,0,0,5,9,7,0,0,0,0,18,0,0,0,3,6,13,5,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,16,19,5,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3
UCL122005,0,3,10,8,7,13,0,0,0,43,0,0,3,0,3,7,4,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,12,8,13,16,3,0,0,57,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,13,9,14,21,3,0,0,66,7,0,3,0,4,10,17,22,4,74,3,3,4,0,10,5,8,3,0,33,13,6,15,12,23,35,27,29,4,175,0,0,0,3,5,3,0,0,0,11,7,4,3,3,10,6,0,0,0,30,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,5,3,5,18,12,0,0,0,48,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3
UCL122006,0,0,5,6,3,6,9,0,0,25,0,0,3,0,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,9,6,7,11,0,0,46,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,4,13,9,7,11,0,0,47,3,0,0,0,4,13,19,11,3,51,0,0,0,0,0,0,0,0,0,7,5,0,4,17,10,19,28,7,3,108,0,0,3,4,5,0,0,0,0,14,0,0,0,4,6,7,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,10,6,6,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL122007,0,0,9,10,8,9,3,0,0,38,3,0,0,0,5,3,3,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,3,3,5,11,18,13,3,0,0,64,0,0,0,3,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,13,3,3,11,16,21,19,3,0,0,72,10,7,0,3,3,27,28,21,7,97,0,0,0,0,0,4,3,0,0,14,11,9,10,16,23,51,34,21,7,183,0,0,0,0,9,6,0,0,0,14,0,3,3,13,7,9,4,0,0,35,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,3,3,17,8,19,4,0,0,58,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6
UCL122008,3,6,17,10,16,6,4,0,0,58,0,0,0,3,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,17,14,22,8,4,0,0,71,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,13,16,14,22,8,4,0,0,70,4,0,3,0,3,4,10,3,0,26,0,0,3,0,0,0,0,0,0,5,7,9,18,16,25,11,14,3,0,102,0,3,3,7,8,0,0,0,0,31,0,0,10,3,8,4,0,0,0,26,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,16,14,18,9,3,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL122009,3,3,16,16,7,4,0,0,0,53,8,3,0,6,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,5,5,20,20,9,10,3,0,0,76,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,5,3,0,3,0,3,0,0,0,0,9,8,5,19,20,14,10,3,0,0,83,0,0,3,0,4,10,13,5,0,40,0,0,3,3,0,4,0,0,0,14,9,5,26,27,17,23,17,7,0,131,0,0,8,13,7,7,0,0,0,36,0,0,7,7,0,3,3,0,0,24,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,13,23,7,14,3,0,0,68,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
UCL122010,3,8,19,10,20,9,0,0,0,72,3,0,0,3,0,0,0,0,0,9,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,9,19,16,20,12,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,8,9,16,16,22,12,0,0,0,86,7,0,0,3,8,3,14,10,0,48,0,0,0,0,0,0,0,0,0,0,9,15,16,17,32,21,14,10,0,134,0,3,0,3,8,9,0,0,0,25,3,3,5,14,14,5,0,0,0,40,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,7,10,16,19,11,0,0,0,68,0,0,3,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,5,3,0,3,0,0,0,0,0,0,8
UCL122011,3,4,14,12,21,27,0,0,0,79,3,3,0,0,0,9,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,14,11,25,27,0,0,0,94,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,10,14,11,24,29,0,0,0,103,9,0,0,0,3,15,12,0,0,38,0,0,0,0,0,0,0,0,0,6,17,10,13,17,31,45,13,3,0,142,0,3,6,4,13,8,0,0,0,42,3,0,6,4,19,6,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,6,13,30,13,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL122012,3,4,8,11,14,8,4,0,0,56,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,8,9,8,20,16,4,0,0,62,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,5,9,8,20,15,4,0,0,72,9,0,4,3,3,15,8,7,3,55,0,0,3,3,0,0,0,3,0,15,12,6,20,18,24,27,15,8,6,131,0,0,5,7,5,3,0,0,0,22,0,0,3,5,9,4,3,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,12,6,14,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL122013,0,0,3,3,3,3,0,0,0,8,3,0,0,3,0,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,8,3,6,3,0,0,24,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,0,8,6,3,7,5,3,12,3,0,0,33,4,4,0,8,6,8,26,3,0,51,0,0,0,0,0,0,3,0,0,3,7,3,7,16,8,25,24,3,0,90,0,0,3,3,3,0,0,0,0,7,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
UCL122014,3,3,21,12,13,7,4,0,0,64,0,0,0,0,4,5,0,0,0,14,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,3,9,17,13,19,15,9,0,0,82,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,17,13,17,15,9,0,0,86,8,4,0,3,0,5,5,6,0,32,0,0,4,3,0,3,0,3,0,13,7,11,21,21,18,26,13,7,0,137,0,3,6,4,7,8,0,0,0,33,3,0,7,3,7,9,0,0,0,31,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,8,3,19,14,12,17,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL122015,0,3,11,8,10,14,0,0,0,45,0,0,0,3,3,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,4,8,10,17,13,0,0,0,63,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,5,3,5,15,10,17,14,6,0,0,68,0,3,4,3,8,9,17,8,0,50,0,0,0,0,0,3,4,3,0,12,9,8,16,12,23,29,25,5,0,130,0,0,4,6,6,6,0,0,0,22,8,0,3,11,9,13,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,13,19,15,0,0,0,65,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3
UCL122016,0,0,0,6,10,12,0,0,0,27,3,0,0,0,3,5,6,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,9,7,16,8,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,9,7,16,8,0,0,51,4,0,0,0,0,6,11,7,3,34,0,0,0,0,0,0,0,0,0,10,5,3,3,15,7,22,22,12,3,90,0,0,3,4,4,3,0,0,0,15,0,0,0,8,7,5,8,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,13,13,8,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL122017,4,3,9,9,15,8,0,0,0,58,4,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,9,16,19,10,4,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,9,12,19,10,4,0,0,67,3,3,0,0,0,4,7,3,0,22,0,0,0,0,0,0,3,0,0,3,15,5,10,17,19,17,13,3,0,96,3,3,3,6,10,4,0,0,0,28,3,3,13,8,3,3,3,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,15,12,14,6,3,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL122018,6,3,13,16,12,7,3,0,0,63,0,0,0,0,0,9,3,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,12,18,17,19,5,0,0,82,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,16,18,17,24,5,0,0,87,3,3,0,3,0,6,10,8,3,42,0,0,0,0,0,0,0,0,0,5,10,7,14,19,17,30,21,10,3,133,0,0,3,4,3,4,3,0,0,22,0,0,4,7,10,7,4,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,14,11,14,5,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
UCL122019,0,0,0,6,12,11,0,0,0,31,0,0,0,0,3,4,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,3,0,11,18,19,0,0,0,50,3,0,0,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,10,3,4,3,8,19,22,0,0,0,63,17,0,3,6,15,23,35,12,8,114,0,0,0,3,3,0,12,0,0,20,26,7,9,19,34,45,48,14,4,197,0,0,0,4,3,0,0,0,0,12,0,0,0,4,9,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,8,15,3,0,0,0,31,0,0,3,3,0,3,0,0,0,8,0,3,0,0,0,0,0,0,0,3,0,3,3,3,0,3,0,0,0,14
UCL122020,0,3,7,9,7,7,0,0,0,41,3,0,0,3,6,7,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,9,13,17,0,0,0,57,4,3,4,0,0,0,0,0,0,11,0,0,0,0,0,3,0,0,0,3,4,3,4,0,0,3,0,0,0,16,8,7,13,9,18,19,0,0,0,73,5,0,0,4,11,5,13,3,0,42,0,0,0,3,0,0,0,3,0,4,12,8,13,16,25,24,21,7,0,120,3,0,0,3,3,0,0,0,0,15,3,0,3,3,16,15,3,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,10,19,13,3,0,0,58,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5
UCL122021,0,0,3,4,3,3,5,0,0,23,0,0,3,0,3,8,3,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,4,6,7,4,0,0,38,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,13,4,6,15,4,0,0,47,0,0,0,3,8,19,19,17,3,67,0,0,0,0,5,3,0,3,0,19,3,0,13,9,21,32,27,20,3,132,0,0,0,0,0,3,0,0,0,8,3,0,0,3,8,6,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,9,16,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,4
UCL122022,0,0,0,5,15,7,0,0,0,30,0,0,0,0,0,4,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,7,14,12,3,0,0,37,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,3,11,14,12,3,0,0,40,6,0,0,3,5,7,14,5,0,37,0,0,0,3,0,3,0,0,0,6,7,0,3,10,15,22,13,12,0,84,0,0,0,9,7,5,0,0,0,17,4,0,0,3,3,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,6,14,6,0,0,0,37,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
UCL122023,0,7,3,7,14,20,3,0,0,64,3,0,4,0,9,6,3,0,0,21,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,10,8,11,27,29,3,0,0,94,4,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,8,14,9,11,24,29,3,0,0,98,6,0,0,0,3,10,21,19,4,81,0,0,0,0,0,0,0,3,0,10,11,12,9,14,30,45,30,26,4,186,3,3,0,7,16,5,0,0,0,37,3,0,4,8,12,9,3,0,0,44,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,11,8,18,29,21,3,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
UCL122024,0,3,5,10,8,16,0,0,0,46,3,3,0,3,0,3,11,0,0,26,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,6,3,10,13,18,22,10,0,0,78,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,4,4,6,11,13,21,21,10,0,0,89,8,0,0,0,4,17,29,7,5,70,0,0,3,0,0,0,0,0,0,7,11,7,17,13,23,42,34,6,5,156,0,0,0,4,16,6,0,0,0,25,7,4,4,14,11,14,3,0,0,51,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,10,7,15,20,23,3,0,0,79,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
