UCL_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
UCL115120,0,4,4,8,3,7,3,9,0,33,3,5,0,3,5,9,0,3,10,34,45,154,125,138,195,183,108,125,16,1097
UCL115121,0,12,6,6,30,28,11,31,0,127,3,6,4,10,22,18,13,23,11,105,72,227,205,212,435,501,216,471,31,2374
UCL115122,0,5,3,0,3,0,0,0,0,15,0,3,0,0,4,0,0,4,3,14,19,82,63,73,87,74,31,70,11,507
UCL115123,0,3,3,3,3,0,0,3,0,19,0,3,0,0,4,3,0,4,3,21,13,73,53,70,58,48,30,45,22,412
UCL115124,0,5,4,10,9,3,3,3,0,28,5,7,3,12,5,7,3,9,0,41,35,140,132,166,125,101,56,101,14,866
UCL115125,0,3,4,3,4,3,5,3,0,19,0,0,5,5,3,3,0,4,4,29,19,87,98,94,86,161,72,108,13,742
UCL115126,4,4,0,0,4,10,0,3,0,29,0,3,0,4,4,3,0,0,13,40,38,131,130,122,156,135,47,87,24,870
UCL115127,4,8,9,4,14,14,3,16,0,67,3,9,3,4,19,13,5,13,18,95,78,171,167,217,438,363,207,301,42,1994
UCL115128,5,11,8,3,16,3,8,14,3,69,4,4,5,6,13,13,3,7,18,65,83,173,153,182,273,228,100,162,27,1391
UCL115129,0,0,3,5,4,3,3,3,0,18,0,0,0,3,3,0,3,4,8,20,37,75,71,83,126,98,52,91,13,645
UCL115130,0,3,3,3,5,4,0,3,0,24,0,4,0,0,3,0,3,0,3,21,27,94,65,91,95,85,42,73,10,584
UCL115131,0,8,6,7,15,14,12,14,0,80,0,7,11,8,6,6,4,0,14,56,58,206,145,208,279,257,160,213,33,1567
UCL115132,3,7,3,3,3,0,8,7,0,31,0,4,0,0,7,9,0,0,3,36,43,137,102,110,160,102,56,139,24,880
UCL115133,0,4,4,5,14,5,3,11,0,46,3,3,3,3,11,10,5,4,6,58,20,86,89,95,169,140,95,142,20,861
UCL115134,3,9,9,7,9,12,5,12,0,60,0,3,3,3,7,10,3,8,10,54,56,147,130,132,263,238,143,238,41,1382
UCL115135,0,5,3,4,4,3,4,11,0,40,0,5,0,4,5,0,0,3,7,37,27,121,87,107,111,86,70,151,19,769
UCL115136,0,5,0,3,0,3,3,4,0,17,0,0,0,0,0,3,0,0,3,11,6,46,42,61,54,61,31,38,4,346
UCL115137,0,4,0,3,5,3,6,3,0,16,0,0,0,0,5,7,0,9,8,28,26,68,48,70,125,83,53,110,16,586
UCL115138,0,3,0,0,5,5,0,0,0,22,3,3,3,3,3,0,0,4,3,26,36,102,95,103,135,88,31,76,14,690
UCL115139,0,6,4,7,6,5,3,4,0,30,0,4,9,3,8,6,0,0,11,40,28,141,117,123,235,121,73,102,15,961
UCL115140,3,3,0,0,4,3,0,10,0,31,0,6,3,0,3,3,0,4,6,24,33,122,114,139,177,110,65,112,17,885
UCL115141,0,4,3,0,4,7,0,5,0,20,0,0,0,0,0,0,0,4,0,11,22,65,75,59,81,64,28,78,9,480
UCL115142,0,7,4,7,3,3,3,5,0,35,8,3,3,0,4,6,0,0,7,35,48,156,130,142,180,153,111,149,19,1096
UCL115143,0,3,0,3,3,3,5,3,0,26,0,3,0,4,0,0,3,3,9,20,20,64,63,83,88,85,58,90,20,559
UCL115144,0,3,0,0,0,8,3,3,0,13,0,0,0,3,0,3,0,0,8,24,26,42,28,59,131,90,42,80,20,516
UCL115145,0,0,0,0,3,8,3,3,0,20,0,0,0,0,6,7,4,7,3,28,11,52,48,64,95,114,56,82,12,535
UCL115146,0,0,3,5,4,6,0,4,0,26,0,0,5,0,5,6,0,7,9,29,26,89,89,93,169,118,71,100,23,772
UCL115147,0,10,0,4,0,4,3,3,0,22,3,3,3,5,5,3,0,4,3,25,12,47,44,56,85,62,36,49,7,396
UCL115148,0,3,4,0,4,8,4,3,0,27,0,0,0,0,3,3,3,3,5,24,26,42,34,50,98,97,41,95,15,509
UCL115149,0,7,0,0,6,7,6,6,0,35,3,3,0,3,5,5,0,6,11,30,18,66,54,72,85,103,48,140,17,602
UCL115150,0,4,3,5,16,6,3,13,3,58,0,8,10,0,10,9,3,9,16,63,47,149,121,193,293,235,114,184,41,1374
UCL115151,0,0,0,0,0,3,0,3,0,10,0,3,0,0,5,0,0,0,9,25,18,47,42,40,71,51,20,56,21,362
UCL115152,0,3,0,3,3,3,0,0,0,20,3,0,4,0,6,3,0,0,6,26,17,55,36,63,99,44,29,38,14,396
UCL115153,0,5,7,3,12,9,9,13,0,62,0,3,3,3,5,3,7,9,16,49,44,126,121,120,179,171,103,254,31,1146
UCL115154,3,7,4,3,7,13,8,12,0,59,0,4,3,6,5,12,0,5,13,54,32,96,108,97,168,213,106,215,20,1060
UCL115155,0,0,0,3,5,5,3,5,0,22,0,3,3,0,12,8,0,8,0,38,24,82,71,60,135,146,73,133,12,733
UCL115156,0,6,4,3,20,19,8,7,0,75,0,4,4,3,4,12,3,7,22,57,102,155,192,227,299,238,129,148,45,1531
UCL115157,0,5,3,4,12,7,5,3,0,35,0,3,3,0,11,3,0,3,7,36,26,116,104,144,219,147,82,123,12,965
UCL115158,3,13,7,10,16,3,7,11,0,66,3,18,14,9,19,13,3,4,24,103,77,230,219,297,392,272,115,206,47,1858
UCL115159,0,6,0,4,4,4,0,3,0,28,0,4,0,0,8,6,0,0,5,36,21,83,91,96,137,121,45,80,9,697
UCL115160,0,0,3,9,3,0,4,6,0,19,0,0,3,3,7,3,0,3,9,26,21,55,61,72,85,77,37,76,8,496
UCL115161,0,4,0,3,6,0,0,0,0,14,0,3,0,0,4,7,0,0,4,23,24,47,32,52,111,91,42,59,14,474
UCL121001,0,0,0,0,3,3,0,3,0,10,0,0,0,3,9,9,0,9,4,30,20,39,35,34,48,46,26,73,5,326
UCL121002,0,0,0,0,0,5,0,0,0,7,0,0,0,0,3,0,0,0,9,13,4,18,19,19,32,39,11,39,11,191
UCL121003,0,3,3,0,0,0,0,0,0,11,0,3,0,0,0,0,3,3,3,8,14,45,33,36,26,38,14,31,3,246
UCL121004,0,3,4,0,3,4,0,0,0,11,0,0,0,0,4,0,0,3,4,11,11,30,25,40,42,37,14,34,5,245
UCL121005,0,3,0,3,5,4,0,0,0,22,3,3,0,0,0,9,0,3,0,21,13,40,21,29,45,82,19,47,0,302
UCL121006,0,0,0,0,3,0,0,0,0,3,0,0,3,0,3,0,0,0,0,13,5,37,18,34,45,39,13,19,3,209
UCL121007,0,3,0,0,0,0,3,3,3,13,0,3,0,0,3,0,3,0,5,12,20,50,43,75,73,59,45,67,17,453
UCL121008,0,3,0,0,0,3,0,5,0,13,0,0,0,0,3,3,5,0,4,23,14,38,28,33,53,51,32,55,8,322
UCL121009,0,0,0,0,0,0,0,0,0,3,0,0,5,0,3,0,0,0,0,11,3,12,15,20,32,13,4,24,3,122
UCL121010,0,0,0,3,0,3,3,3,0,12,0,3,0,0,3,0,0,0,3,7,9,31,21,30,35,39,30,81,8,282
UCL121011,0,0,0,0,3,3,0,0,0,9,0,0,0,0,0,0,0,0,0,7,11,52,33,47,41,20,4,22,3,237
UCL121012,0,0,3,0,5,4,5,7,0,26,0,0,0,3,3,3,0,0,0,15,19,52,59,59,86,68,33,76,8,473
UCL121013,0,0,3,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,8,6,9,6,12,33,55,46,14,57,8,240
UCL121014,0,0,0,3,4,3,3,3,0,19,0,3,0,4,4,4,0,3,0,22,12,43,33,49,60,94,24,67,7,396
UCL121015,0,3,0,0,0,0,0,0,0,14,0,3,0,6,0,0,0,3,6,21,8,32,30,41,49,38,14,29,14,248
UCL121016,0,3,3,3,0,3,4,3,0,20,0,3,3,3,8,0,0,0,3,21,19,38,29,36,62,57,38,51,4,342
UCL121017,0,0,0,0,3,3,0,4,0,12,0,0,0,0,3,0,0,0,0,11,12,39,38,40,49,50,37,64,4,324
UCL121018,0,0,0,0,0,3,0,0,0,11,0,3,0,0,3,0,0,4,0,10,8,47,30,44,39,40,19,30,6,256
UCL121019,0,0,0,0,0,3,0,3,0,17,0,0,5,0,0,0,0,3,0,15,7,29,28,36,39,47,33,70,5,290
UCL121020,0,0,0,5,3,0,3,0,0,14,0,3,0,0,0,0,0,0,5,7,8,36,32,44,46,31,37,34,3,274
UCL121021,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,20,11,12,12,17,8,6,4,93
UCL121022,0,0,3,0,6,0,3,0,0,16,0,0,0,0,3,0,0,0,4,16,9,40,40,50,74,49,28,40,11,348
UCL121023,0,0,4,0,0,3,3,0,0,11,0,0,0,0,0,0,0,0,3,10,6,26,28,25,37,27,11,15,7,188
UCL121024,0,0,0,0,8,4,8,3,0,19,0,4,0,4,0,3,5,4,3,18,3,41,30,32,53,68,26,48,3,318
UCL121025,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,12,23,52,53,50,46,61,37,46,11,377
UCL121026,0,3,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,9,3,36,24,35,47,46,19,37,3,256
UCL121027,0,0,4,3,0,3,4,3,0,20,0,0,0,0,4,0,0,3,4,15,13,59,54,70,95,66,40,76,7,474
UCL121028,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,12,9,42,31,34,31,37,13,15,0,222
UCL121029,0,3,0,0,4,6,0,7,0,19,0,0,0,0,0,5,0,0,0,5,9,30,19,30,43,35,17,50,3,246
UCL121030,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,3,12,4,14,4,17,37,8,6,8,4,104
UCL121031,0,0,0,0,4,3,0,0,0,13,0,0,0,0,3,4,3,0,4,18,27,38,26,43,99,53,36,45,8,373
UCL121032,0,4,0,0,0,0,0,0,0,13,0,4,0,0,0,0,3,0,3,14,17,50,49,61,62,57,25,36,7,369
UCL121033,0,0,0,0,0,10,0,0,0,14,0,3,0,0,3,3,0,0,3,16,8,36,19,39,31,44,23,38,11,237
UCL121034,0,0,0,0,0,0,6,0,0,12,0,0,3,0,0,0,0,7,0,11,8,26,30,50,46,53,41,88,10,347
UCL121035,0,0,4,3,3,3,0,4,0,14,0,3,0,7,0,4,0,0,0,16,17,43,42,58,59,71,39,48,4,381
UCL121036,0,0,0,0,7,3,3,0,0,16,0,3,0,0,0,0,0,0,0,7,23,64,44,52,74,55,31,63,8,417
UCL121037,0,0,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,3,3,10,5,48,34,19,65,50,29,38,3,299
UCL121038,0,0,0,0,0,3,0,0,0,6,0,0,0,0,6,3,0,4,3,13,9,14,16,18,34,42,8,32,6,190
UCL121039,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,0,0,0,3,16,12,12,28,26,37,37,9,35,7,201
UCL121040,0,5,0,0,0,0,0,0,0,10,0,6,0,0,9,0,7,9,3,30,5,36,25,32,28,53,22,39,4,250
UCL121041,0,0,0,3,0,0,0,4,0,7,0,0,0,3,0,0,0,4,3,9,17,31,22,28,59,41,22,64,7,292
UCL121042,0,0,0,0,4,0,0,0,0,7,0,0,4,0,0,0,3,0,4,9,7,17,29,17,39,25,15,16,8,177
UCL121043,0,0,3,0,0,0,0,3,0,13,0,3,0,0,0,0,0,0,0,8,13,36,45,28,30,42,29,46,3,273
UCL121044,0,3,3,0,5,0,4,3,0,17,0,0,0,0,0,3,0,3,0,9,9,33,38,39,50,64,36,57,4,336
UCL121045,0,3,4,0,0,7,0,0,0,11,0,0,0,0,0,0,0,0,0,9,11,29,34,29,37,30,8,24,3,202
UCL121046,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,8,16,24,24,24,41,47,23,38,10,247
UCL121047,0,0,0,0,3,3,0,0,0,5,0,3,0,0,3,4,0,0,3,16,11,36,37,48,56,51,16,35,5,299
UCL121048,0,3,3,0,3,6,0,0,0,18,0,0,4,0,0,5,4,0,0,21,14,35,40,43,67,51,28,41,5,331
UCL121049,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,0,6,3,29,16,34,29,8,8,11,5,152
UCL121050,0,0,0,0,0,3,0,0,0,7,0,5,0,0,3,3,0,0,4,16,10,52,37,41,61,62,35,45,10,359
UCL121051,0,4,0,0,3,3,6,3,0,19,3,0,3,0,0,0,0,0,0,11,18,48,36,33,44,34,24,40,6,290
UCL121052,0,5,3,3,0,3,0,3,0,15,0,0,0,0,0,0,0,0,0,10,18,42,35,35,46,48,26,49,3,305
UCL121053,0,3,0,3,3,5,0,6,0,12,0,0,0,0,4,4,0,0,3,18,11,65,55,49,87,84,38,74,3,472
UCL121054,0,0,0,0,3,3,0,3,0,11,0,0,0,0,5,6,0,0,6,14,13,28,31,36,64,58,18,42,9,311
UCL121055,0,0,0,0,6,3,3,7,0,23,0,3,4,0,0,0,0,0,3,11,14,62,42,47,57,74,31,65,5,400
UCL121056,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,4,10,32,33,53,66,50,16,30,4,297
UCL121057,0,0,0,0,7,6,0,0,0,16,3,3,0,0,0,3,0,0,0,7,13,49,37,42,65,58,13,31,4,322
UCL121058,0,3,0,0,3,3,0,3,0,20,0,0,0,0,3,5,0,3,3,13,12,37,33,41,69,82,37,40,6,354
UCL121059,0,5,0,0,6,4,0,6,0,26,3,5,8,0,0,8,0,8,7,35,42,97,81,77,125,101,54,115,19,715
UCL121060,0,3,0,7,3,3,0,3,0,14,0,3,0,3,0,0,0,0,4,7,10,37,28,33,40,46,22,27,7,244
UCL121061,0,0,3,3,3,3,4,5,0,21,0,0,0,0,3,8,0,0,3,14,17,53,35,56,78,77,39,96,10,473
UCL121062,0,3,0,0,0,6,0,5,0,17,0,3,4,4,5,5,0,3,3,30,19,64,59,48,81,99,54,86,3,518
UCL121063,0,3,4,0,0,0,0,0,0,5,4,0,0,0,3,3,0,0,4,18,17,47,32,30,30,26,15,32,7,233
UCL121064,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,8,10,40,23,38,47,31,13,32,0,235
UCL121065,0,0,0,0,3,3,0,0,0,9,0,0,0,0,3,0,0,3,8,12,16,33,31,46,56,52,21,51,10,314
UCL121066,0,5,4,5,3,4,4,5,0,30,0,4,4,0,0,7,0,3,0,21,27,76,81,86,95,98,55,57,4,580
UCL121067,0,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,7,10,40,34,28,37,37,32,55,0,279
UCL121068,0,0,0,3,0,0,0,0,0,5,0,3,0,0,0,8,0,0,5,19,11,24,39,32,49,77,24,36,10,293
UCL121069,0,0,0,0,3,3,0,0,0,12,0,0,0,0,0,3,0,0,7,12,13,23,35,29,41,43,24,50,8,277
UCL121070,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,4,11,11,30,16,39,46,32,19,38,7,236
UCL121071,0,0,0,0,0,0,0,0,0,3,0,3,3,3,0,0,0,0,0,11,11,40,42,36,55,56,30,29,3,298
UCL121072,0,0,0,3,0,0,0,3,0,6,0,0,0,0,0,3,0,3,3,10,3,18,18,34,23,42,31,30,3,205
UCL121073,0,0,0,0,5,0,0,3,0,8,0,3,0,0,0,6,0,3,0,17,21,39,32,44,51,59,39,57,6,338
UCL121074,0,3,3,3,0,3,0,3,0,16,0,3,0,0,3,0,0,0,7,13,10,41,35,22,48,45,34,32,6,278
UCL121075,0,4,0,5,0,0,4,8,0,13,0,3,0,0,0,0,0,0,3,3,19,50,26,40,50,40,44,57,4,329
UCL121076,0,3,0,4,3,3,5,0,0,23,0,3,0,0,0,0,0,0,3,10,14,37,42,40,71,70,39,42,3,353
UCL121077,0,3,0,0,0,0,0,4,0,16,0,0,0,0,0,0,0,5,0,9,5,40,30,30,46,37,14,37,0,231
UCL121078,0,3,0,0,0,0,0,0,0,12,0,0,3,0,4,3,0,3,0,16,12,46,40,58,77,55,33,57,9,386
UCL121079,0,0,0,3,4,5,0,0,0,13,0,0,0,0,0,0,0,0,0,5,10,33,22,39,41,44,21,40,0,240
UCL121080,3,0,3,0,0,0,0,0,0,10,0,3,0,3,0,3,0,5,4,22,16,65,51,67,72,51,20,52,8,405
UCL121081,0,4,0,0,3,0,3,0,0,7,0,0,0,0,0,0,3,3,0,10,16,70,58,55,60,61,31,48,3,395
UCL121082,0,4,0,0,0,9,5,0,0,17,0,3,0,0,0,9,3,7,0,21,10,36,25,27,60,87,44,88,7,379
UCL121083,0,0,0,0,0,3,3,0,0,7,0,0,0,0,0,5,3,3,0,12,15,50,45,51,75,60,34,71,5,406
UCL121084,0,0,0,3,3,9,0,0,0,20,0,0,0,0,0,0,0,0,3,6,3,35,44,42,51,51,22,50,3,298
UCL121085,0,0,0,4,0,5,0,0,0,14,0,0,0,0,0,5,0,3,0,16,8,30,27,41,33,41,14,22,4,211
UCL121086,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,5,5,24,23,37,67,49,29,40,4,278
UCL121087,0,7,0,0,0,0,4,0,0,15,0,3,0,0,3,0,0,3,4,12,24,61,47,48,56,78,40,65,5,425
UCL121088,0,4,0,0,3,3,3,5,0,20,0,0,0,0,0,0,0,0,0,8,15,39,43,29,51,41,40,39,0,294
UCL121089,0,12,0,3,5,4,3,3,0,34,0,0,0,0,3,3,0,0,0,16,7,61,49,43,79,66,35,57,9,408
UCL121090,0,0,0,0,3,3,0,0,0,13,0,0,0,0,0,0,0,3,3,15,13,51,40,37,51,47,23,48,3,308
UCL121091,0,0,0,3,3,3,3,8,0,25,3,0,3,0,8,3,6,6,7,41,15,34,50,55,98,102,54,91,19,521
UCL121092,0,3,0,0,4,0,0,4,0,12,3,0,0,3,4,0,0,3,3,17,17,42,33,38,74,62,25,46,11,345
UCL121093,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,3,9,9,23,23,25,26,30,8,37,7,191
UCL121094,0,3,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,9,10,35,35,23,29,40,35,72,8,281
UCL121095,0,0,0,3,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,6,9,30,21,19,23,35,15,25,9,193
UCL121096,0,3,3,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,3,8,13,26,34,40,43,41,18,49,6,275
UCL121097,0,3,3,3,4,0,3,3,0,21,0,4,4,3,0,0,0,0,4,18,14,54,41,66,82,57,39,66,9,429
UCL121098,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,5,4,33,23,29,28,40,28,27,0,210
UCL121099,3,0,3,3,0,3,0,0,0,10,0,0,0,0,3,0,0,0,0,7,14,41,53,59,79,72,33,64,3,423
UCL121100,0,4,0,3,9,4,0,8,0,30,0,0,0,0,4,4,0,0,7,23,17,72,49,61,72,102,32,76,17,489
UCL121101,0,0,0,3,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,23,47,40,40,54,40,26,42,3,313
UCL121102,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,9,12,19,38,41,52,62,42,35,48,15,344
UCL121103,0,4,3,3,0,0,4,0,0,11,0,0,3,0,4,3,0,0,0,10,8,32,30,29,51,34,29,38,0,262
UCL121104,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,9,10,34,29,23,33,13,16,14,4,176
UCL121105,0,0,3,0,0,0,3,3,0,11,0,3,0,0,0,0,0,0,0,10,12,42,37,34,49,39,20,24,0,256
UCL121106,0,0,3,4,4,8,0,3,0,16,0,0,0,3,3,0,0,0,3,9,8,29,34,46,83,61,31,41,6,343
UCL121107,0,0,0,0,6,4,0,0,0,16,0,0,0,0,4,0,0,0,3,10,14,41,28,49,84,44,24,35,4,326
UCL121108,3,0,0,5,0,3,0,0,0,14,0,0,0,3,0,3,0,0,0,5,11,29,33,35,36,21,14,30,3,223
UCL121109,0,0,0,0,4,3,0,0,0,15,0,0,0,0,3,3,0,0,0,10,19,50,50,50,62,39,22,25,12,323
UCL121110,0,0,0,0,3,3,0,3,0,11,0,0,0,0,3,0,0,4,0,11,13,24,14,30,40,53,14,58,3,256
UCL121111,0,3,3,0,7,0,3,3,0,16,0,3,0,0,3,3,0,0,9,20,12,23,35,55,81,57,31,55,10,359
UCL121112,0,0,0,0,0,6,0,5,0,11,0,0,0,0,0,0,0,0,0,10,12,26,30,16,26,39,19,37,10,217
UCL121113,0,0,4,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,7,6,42,46,43,64,41,21,45,9,308
UCL121114,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,12,32,23,24,32,26,15,26,0,184
UCL121115,0,3,0,0,3,3,0,8,0,19,3,4,0,0,3,4,3,5,0,22,22,51,48,51,86,97,48,73,8,489
UCL121116,0,0,0,0,4,0,0,3,0,11,0,3,0,0,0,0,0,0,3,10,10,35,27,39,53,38,17,24,6,244
UCL121117,0,6,0,0,9,5,3,3,0,23,0,0,0,0,3,0,0,3,4,15,18,48,31,49,84,62,34,48,3,379
UCL121118,0,0,0,0,0,5,0,0,0,13,0,0,0,0,6,0,0,0,3,6,6,3,10,16,36,38,10,15,3,134
UCL121119,0,0,7,0,0,0,4,3,0,16,0,3,0,0,0,0,0,0,3,9,11,27,37,15,53,59,22,41,6,281
UCL121120,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,7,16,10,22,21,32,58,24,21,30,16,227
UCL121121,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,3,0,0,0,10,13,28,29,48,33,29,21,39,9,241
UCL121122,0,0,0,0,3,0,3,0,0,13,0,0,0,0,0,0,0,0,0,3,12,28,26,43,63,50,25,37,3,275
UCL121123,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,3,4,14,11,32,20,30,38,28,18,54,8,238
UCL121124,0,0,0,0,0,3,0,0,0,5,0,4,0,0,3,0,0,0,0,9,10,16,13,28,21,44,22,34,3,195
UCL121125,0,0,0,0,0,4,3,4,0,17,0,3,3,6,6,3,0,3,3,28,6,41,39,36,59,60,26,52,9,339
UCL121126,0,0,0,0,9,3,5,4,0,26,0,3,0,3,3,6,4,3,6,29,17,64,55,59,99,94,63,91,9,552
UCL122001,0,0,3,3,3,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,3,12,17,17,17,16,12,13,0,95
UCL122002,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,4,3,13,5,8,18,13,9,17,0,87
UCL122003,0,0,0,3,0,0,0,0,0,6,0,3,0,4,3,0,3,0,0,10,3,18,16,25,25,28,22,27,0,169
UCL122004,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,10,9,22,16,9,8,7,21,3,103
UCL122005,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,3,17,14,17,8,23,5,15,3,102
UCL122006,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,3,13,3,9,13,12,7,16,3,80
UCL122007,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,9,4,25,12,21,24,15,7,12,4,119
UCL122008,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,8,4,10,10,16,22,17,24,27,3,130
UCL122009,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,8,11,8,26,31,28,8,21,8,140
UCL122010,0,0,0,0,3,3,0,0,0,5,0,0,0,0,0,0,0,0,0,3,5,11,14,18,30,36,12,19,0,154
UCL122011,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,4,3,13,0,17,20,12,34,39,12,30,3,174
UCL122012,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,6,7,0,6,11,9,24,30,15,16,6,112
UCL122013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,6,9,6,0,3,0,40
UCL122014,0,0,0,0,4,0,3,4,0,11,3,3,0,0,0,0,0,0,3,11,14,15,19,7,33,21,15,24,7,153
UCL122015,0,0,0,0,0,3,0,0,0,3,0,3,3,0,0,0,0,0,3,8,3,20,12,20,20,19,10,21,3,128
UCL122016,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,22,14,16,11,10,6,16,0,90
UCL122017,0,3,0,0,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,7,4,16,9,13,35,25,4,23,0,133
UCL122018,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,18,24,17,26,27,18,23,0,138
UCL122019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,10,14,9,15,6,5,16,3,80
UCL122020,0,0,0,0,0,4,0,0,0,7,0,3,0,0,0,0,0,0,0,3,3,18,19,17,16,20,9,13,0,122
UCL122021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,22,15,10,4,5,8,11,0,74
UCL122022,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,10,9,3,13,16,3,11,3,72
UCL122023,0,0,0,0,3,5,3,0,0,11,0,0,0,0,3,0,0,0,0,12,10,25,25,15,36,34,13,18,3,176
UCL122024,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,3,9,5,29,18,26,20,19,15,22,4,158
UCL122025,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,3,7,7,34,32,27,22,35,14,24,3,189
UCL122026,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,14,3,18,15,19,31,12,16,15,3,132
UCL122027,0,0,0,0,0,0,0,3,0,7,0,0,0,5,0,0,0,7,0,13,11,16,18,34,36,23,19,38,4,196
UCL122028,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,8,8,4,13,13,8,8,9,17,20,9,96
UCL122029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,5,6,12,8,9,16,3,5,3,56
UCL122030,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,8,3,21,9,24,17,14,9,18,6,114
UCL122031,0,0,0,3,0,0,3,0,0,5,0,0,0,0,3,0,0,0,0,4,4,9,8,8,11,16,3,16,0,90
UCL122032,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,26,23,22,24,24,8,14,0,142
UCL122033,3,0,3,0,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,3,9,17,12,17,36,29,20,19,0,162
UCL122034,0,3,0,0,0,4,0,0,3,11,0,0,0,0,0,3,0,0,0,5,11,17,13,16,53,35,24,30,3,202
UCL122035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,13,4,18,6,3,11,0,64
UCL122036,0,0,0,3,0,0,4,0,0,6,0,3,0,0,0,0,0,3,0,3,0,8,7,12,32,19,7,21,4,109
UCL122037,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,12,7,11,16,20,6,15,0,87
UCL122038,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,3,3,21,14,17,21,13,3,13,0,115
