UCL_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
UCL112013,219,202,185,127,47,4,934,11,62,112,132,171,87,43,3,619,122,783,960,752,665,508,228,81,4095,111,398,673,755,729,568,277,95,3607,570,1122,1146,1332,1247,1028,530,188,7162,102,87,67,82,95,74,25,7,540,51,81,123,170,241,220,135,39,1051,727,1293,1334,1589,1576,1318,681,239,8755,8,18,30,48,66,92,61,24,344,336,332,275,404,531,822,761,560,4018,1326,3017,3611,3880,3921,3522,2100,1009,22382
UCL112014,108,104,78,40,17,3,499,8,86,71,66,79,30,16,0,358,143,712,532,392,380,203,87,33,2488,82,359,363,419,377,197,106,46,1950,617,1142,904,861,773,468,216,63,5043,104,98,73,73,64,48,12,4,485,55,80,86,121,135,117,39,18,648,778,1328,1063,1057,968,633,275,80,6178,34,47,30,31,36,40,35,9,249,515,472,407,381,474,453,405,228,3339,1562,3141,2575,2455,2384,1597,941,398,15055
UCL112015,286,255,227,101,39,12,1123,13,125,138,146,140,51,20,3,647,317,1331,1166,765,612,331,148,35,4701,149,553,623,582,560,334,120,46,2963,1057,1867,1351,1361,1163,596,250,91,7740,141,121,98,104,77,49,6,0,604,74,108,118,179,199,143,50,22,895,1279,2096,1566,1645,1444,791,311,120,9243,18,51,23,30,52,60,28,10,276,480,419,362,419,502,490,403,211,3285,2266,4768,4162,3843,3541,2160,1067,435,22234
UCL113001,52,53,76,45,14,5,291,9,19,35,43,62,47,13,3,226,30,256,310,263,304,214,98,45,1515,26,114,180,211,282,232,125,50,1230,181,367,416,484,512,371,189,77,2596,39,25,25,36,45,34,4,3,212,21,38,33,69,81,84,42,10,378,240,424,479,586,640,489,231,93,3179,3,11,12,9,26,40,16,9,122,132,140,145,201,264,289,346,305,1831,446,1012,1210,1360,1650,1354,847,509,8395
UCL113002,18,25,31,39,13,4,134,3,7,10,20,39,32,11,0,131,10,74,106,87,154,137,59,19,639,24,67,93,102,152,155,79,24,692,99,236,272,348,364,286,166,44,1818,25,32,20,16,17,17,4,0,132,12,22,40,40,67,70,21,3,278,134,290,332,402,450,375,198,52,2230,0,4,0,10,19,30,10,5,83,112,94,108,150,175,294,265,178,1369,281,538,661,790,1010,1062,630,290,5269
UCL113003,46,32,35,15,3,0,188,0,37,33,35,48,18,4,0,178,70,214,172,164,170,75,22,0,889,24,130,162,198,168,80,31,10,799,263,575,458,550,539,318,126,40,2866,43,38,40,43,38,21,0,0,224,20,40,32,52,88,34,18,4,287,324,658,530,645,662,371,143,44,3382,6,11,3,18,22,12,13,0,78,197,236,199,253,279,323,284,253,2015,619,1345,1149,1337,1380,895,488,306,7523
UCL113004,14,11,6,3,3,0,58,0,30,13,13,6,4,0,0,65,21,118,114,76,55,30,13,0,435,11,57,76,53,73,42,19,4,342,63,189,127,152,145,144,63,17,894,9,7,8,8,4,3,3,0,48,7,8,9,18,9,19,9,3,80,79,208,146,175,161,168,68,15,1020,0,3,0,0,4,5,5,0,20,52,51,48,55,75,118,113,42,554,160,478,414,388,381,372,221,68,2493
UCL113005,24,38,57,41,13,7,210,3,7,27,38,66,34,9,6,187,42,172,197,192,267,205,97,30,1204,35,134,177,231,293,283,123,49,1332,219,384,457,524,629,633,388,141,3372,33,39,44,49,57,40,15,3,267,23,23,47,65,115,129,62,28,489,265,439,543,637,794,810,466,168,4125,6,5,9,18,29,50,27,15,154,177,139,140,205,284,503,501,333,2290,530,927,1112,1356,1796,1928,1237,609,9499
UCL113006,39,29,31,17,6,3,139,4,19,24,24,36,18,8,0,137,40,195,194,153,180,91,53,16,920,33,135,146,189,181,103,50,23,859,265,523,498,488,429,239,134,57,2641,64,43,43,32,23,23,5,0,237,21,48,49,57,73,65,31,9,346,352,615,590,582,527,332,168,60,3225,7,6,8,8,20,23,14,7,92,232,250,243,219,239,268,282,187,1919,669,1237,1253,1196,1217,853,571,285,7289
UCL113007,58,56,21,15,6,3,242,6,35,45,28,29,8,6,0,157,74,436,300,206,147,60,31,6,1258,56,249,190,193,112,65,21,12,910,337,636,508,475,376,181,71,26,2608,31,32,35,32,21,11,0,0,170,30,50,40,60,56,30,11,5,284,391,721,578,568,456,223,88,32,3066,18,23,16,13,25,19,12,3,130,278,325,238,246,289,262,265,221,2125,830,1870,1430,1308,1093,653,430,279,7895
UCL113008,16,7,10,4,3,0,54,0,4,12,13,13,6,3,0,56,25,87,67,56,86,53,20,9,397,15,50,75,79,99,50,21,8,397,153,302,246,251,260,181,70,11,1475,36,45,30,21,21,12,0,0,173,9,28,29,38,43,26,16,4,201,202,379,308,313,324,219,86,15,1844,9,3,4,3,9,11,8,3,49,289,380,255,223,231,204,209,196,1982,533,911,729,689,775,550,346,238,4771
UCL113009,96,103,135,88,21,3,528,3,38,47,67,98,48,13,3,326,78,295,352,331,371,232,95,24,1785,52,143,213,255,308,248,88,21,1329,168,317,356,434,395,287,147,44,2161,23,22,19,22,26,10,6,3,128,16,25,23,56,79,86,33,13,332,216,366,399,509,501,380,191,62,2623,3,6,7,14,20,31,13,10,107,74,63,86,92,131,145,153,109,859,438,993,1206,1368,1563,1167,579,239,7551
UCL113010,12,12,17,8,0,0,81,0,15,16,9,15,3,3,0,67,29,165,106,83,104,38,12,3,532,49,154,159,144,127,68,21,3,727,322,768,621,586,497,301,103,22,3220,58,58,40,30,33,11,0,0,230,28,58,42,56,52,41,11,6,283,408,883,704,674,574,353,111,29,3730,5,12,12,18,16,4,7,3,73,189,172,137,164,197,213,185,92,1349,680,1429,1141,1107,1044,693,338,125,6560
UCL113011,22,19,33,10,9,0,117,0,8,16,18,27,21,4,0,94,21,127,104,91,110,76,34,14,578,35,103,86,113,112,72,39,10,576,212,396,320,385,284,221,116,43,1974,39,37,32,26,22,10,3,0,168,22,27,23,41,44,47,20,4,225,270,455,373,458,354,274,143,46,2371,5,11,7,3,17,18,12,3,75,137,140,119,145,159,228,188,73,1182,471,852,728,844,816,697,431,155,4995
