UCL_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
UCL222110,3,0,0,0,0,0,5,0,0,4,0,0,0,0,0,6,3,7,5,8,4,4,0,0,34,0,5,6,9,7,7,0,0,32,8,18,17,19,11,10,0,0,78,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,8,8,18,17,23,18,8,0,0,89,0,0,0,0,0,0,0,0,3,0,3,5,0,3,5,0,0,26,8,34,45,38,34,24,3,4,199
UCL222111,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,4,0,5,4,0,0,21,0,3,0,0,0,0,0,0,9,4,5,12,18,9,7,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,4,8,12,21,9,7,0,0,51,0,0,0,0,0,0,0,0,3,3,0,0,13,0,3,0,0,22,9,21,21,34,12,10,3,0,115
UCL222112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,11,0,3,0,0,0,0,3,0,8,0,4,8,3,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,3,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,4,5,3,0,5,5,0,28,6,13,19,9,6,5,9,0,61
UCL222113,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,5,0,9,6,9,10,3,0,0,36,0,4,4,4,0,3,3,0,20,4,10,12,12,12,4,4,0,57,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,10,19,13,11,5,4,0,65,0,0,0,0,0,0,0,0,0,3,3,7,7,0,3,3,0,24,8,24,34,32,31,20,6,0,161
UCL222114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,3,0,8,6,17,6,9,4,0,0,0,43,3,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,4,10,18,6,6,11,0,0,0,52,0,0,0,0,0,0,0,0,0,4,9,0,4,6,0,3,0,21,13,34,5,11,18,3,3,0,90
UCL222115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,12,0,0,3,0,0,0,0,0,16,0,3,0,8,14,7,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,6,0,3,3,10,14,13,0,0,42,0,0,0,0,3,0,0,0,3,3,4,3,8,0,11,9,4,49,6,11,18,25,20,32,7,3,119
UCL222116,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,5,8,3,10,0,0,0,19,0,0,0,5,3,0,0,0,13,3,9,7,12,6,8,3,0,40,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,3,8,9,18,6,9,3,0,52,0,0,0,0,0,0,0,0,0,3,5,0,8,3,3,0,0,26,9,19,18,32,21,20,4,0,120
UCL222117,0,3,4,0,0,0,5,0,3,0,0,0,0,0,0,10,0,4,6,6,12,0,0,0,32,0,7,3,7,7,0,0,0,25,7,18,15,8,11,7,0,0,62,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,7,9,20,18,14,15,7,0,0,71,0,0,0,0,0,0,0,0,0,6,0,4,12,12,3,5,0,46,19,29,31,38,48,17,5,0,193
UCL222118,0,3,0,0,0,0,4,0,0,0,3,0,0,0,0,3,0,3,3,7,7,3,0,0,27,0,3,3,4,3,6,0,0,22,3,3,5,4,0,3,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,5,4,0,6,7,0,27,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,4,0,17,11,11,16,21,9,18,7,0,102
UCL222119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,3,0,0,0,0,10,0,0,7,5,3,4,0,0,18,0,4,10,13,7,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,4,13,13,8,0,0,0,38,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,3,0,22,7,7,15,26,16,3,7,0,87
UCL222120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,3,0,0,16,6,9,13,9,5,9,0,0,56,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,3,17,16,10,8,9,0,0,63,0,0,0,0,0,0,0,0,0,6,0,0,4,4,3,3,0,18,12,20,18,17,19,13,3,0,101
UCL222121,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,3,0,0,3,3,3,0,0,15,7,13,5,8,8,5,0,0,48,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,13,7,9,13,5,0,0,54,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,10,11,18,8,17,16,9,3,0,83
UCL222122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,9,0,0,0,12,3,3,3,0,0,4,0,0,13,13,3,3,16,5,3,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,7,11,7,5,16,7,5,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,16,10,11,19,16,10,7,0,88
UCL231777,1412,1732,1913,1210,299,41,7528,88,780,1347,1754,2084,970,159,17,7201,1440,5447,7718,7181,7462,4309,1032,213,34798,1358,3680,5423,7186,7041,4669,1167,250,30773,5912,10125,12068,16032,13343,7171,2204,464,67324,726,629,702,762,702,301,49,21,3894,417,643,1003,1344,1421,1014,247,59,6154,7060,11399,13776,18143,15466,8488,2504,544,77376,91,144,253,365,473,490,155,49,2032,5509,4278,5280,7040,7743,6948,3380,1053,41232,15639,26558,35211,43412,42184,27084,8692,2163,200936
UCL279997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,6,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,3,5,10,0,0,0,25
UCL299994,63,20,20,14,0,0,238,0,36,18,19,14,3,0,0,91,121,360,126,75,68,33,4,3,792,61,119,74,59,51,22,9,0,404,107,219,155,124,108,52,11,0,777,18,14,12,5,3,3,0,0,60,7,24,18,14,16,9,5,0,101,138,255,188,152,125,61,12,0,932,3,8,10,0,3,8,0,0,42,309,513,497,343,235,114,29,13,2076,650,1413,971,670,526,263,61,19,4580
UCL301001,24477,17823,11628,5715,1567,371,86404,997,7681,9325,8659,6243,2720,732,130,36492,25005,83319,68747,45807,29172,15830,5293,1513,274686,14297,31798,33306,31774,22678,12593,4665,1380,152484,34494,59921,51197,48002,36690,21432,9230,2749,263716,6597,3884,2868,2308,1685,957,230,79,18607,3072,4641,5516,5461,5113,3477,1362,531,29174,44161,68442,59586,55773,43490,25869,10821,3356,311494,1102,2212,2074,2084,1924,1698,962,386,12432,20670,24667,20069,18997,16630,15034,12248,8975,137288,107479,241693,217579,180911,131760,79454,36288,16118,1011278
UCL302001,3784,2829,2060,1143,326,61,14234,235,1316,1504,1421,1241,601,161,33,6509,4861,15426,13599,9101,6639,4196,1496,408,55725,4076,8885,10001,9484,6962,4266,1519,436,45623,8971,16071,16229,15646,11882,8354,3645,1017,81820,1355,825,790,619,579,324,95,24,4609,842,1341,1818,1831,1694,1500,647,191,9858,11168,18236,18832,18100,14154,10175,4385,1230,96288,249,511,609,632,694,713,401,156,3960,6290,7131,6289,6487,6204,6092,4652,3213,46360,27206,55211,54621,48057,37949,27189,12935,5537,268703
UCL303001,855,831,563,260,65,16,3193,35,382,476,515,377,161,35,5,1984,791,3808,3563,2787,1898,917,259,68,14080,458,2016,2647,2575,1865,928,259,74,10819,2305,4624,4668,4438,3544,1944,664,143,22328,486,354,297,235,151,66,15,0,1605,193,362,451,467,409,243,88,20,2232,2985,5338,5413,5135,4110,2254,764,168,26164,54,136,158,178,151,130,57,25,889,2087,2421,2299,2440,2100,1566,919,413,14244,6448,14663,15415,14463,11064,6211,2362,751,71384
UCL303002,1278,1282,1179,828,306,44,5811,54,480,755,983,869,541,157,16,3854,1271,5185,6196,5041,3885,2976,1105,334,26000,1009,2831,4137,4550,3774,2798,1266,373,20740,3836,6823,7260,7829,6612,4508,2178,688,39723,737,343,319,292,299,218,81,17,2302,353,524,631,848,915,866,389,117,4652,4922,7690,8200,8970,7821,5590,2653,823,46676,70,161,217,260,294,355,273,82,1716,1991,1934,2175,2447,2525,2946,2553,1793,18358,9364,19133,22961,23539,20339,16042,8315,3463,123159
UCL303003,734,654,498,280,84,10,2920,31,225,317,361,329,146,53,9,1468,829,2817,2229,1676,1402,818,363,98,10231,390,1207,1176,1330,1104,722,308,83,6328,2275,3383,2495,2397,2005,1165,533,157,14409,477,274,132,119,98,44,14,0,1152,188,183,213,254,261,193,85,34,1411,2944,3835,2841,2768,2367,1404,633,194,16972,36,68,61,67,69,79,64,26,477,1199,1007,876,940,1021,1144,1123,931,8231,5469,9770,8227,7800,6791,4590,2629,1356,46633
UCL303004,1002,857,639,278,82,13,3728,85,488,528,490,316,144,28,6,2086,1385,4885,3799,2721,1804,888,293,63,15841,746,2042,2389,2441,1741,823,279,77,10543,3735,6783,5225,4799,3630,1891,690,192,26945,739,372,259,182,140,56,15,3,1772,237,373,368,377,342,219,83,27,2034,4714,7532,5853,5363,4109,2164,795,220,30742,71,140,134,132,121,101,57,11,758,2753,2642,2056,2057,1711,1424,982,469,14097,9791,18560,15768,14052,10445,5823,2515,866,77803
UCL311001,110,85,61,43,14,0,405,11,62,81,89,81,48,12,3,376,163,744,669,521,404,239,117,38,2897,118,414,455,499,460,289,142,39,2411,932,1548,1338,1336,1350,881,475,137,8000,263,160,107,66,64,33,17,3,704,79,120,114,132,123,91,70,21,754,1277,1830,1556,1532,1538,1000,558,164,9459,15,43,29,31,50,41,33,23,262,535,542,428,547,599,737,788,413,4582,2130,3717,3324,3304,3191,2397,1662,675,20394
UCL311002,146,136,130,93,21,3,627,16,54,118,148,142,89,22,3,599,151,676,751,651,552,435,179,28,3432,108,387,572,693,779,586,222,53,3403,693,1207,1368,1545,1599,1480,693,138,8727,202,102,86,66,50,60,12,6,588,61,111,132,144,194,200,97,26,968,958,1424,1587,1763,1843,1742,806,167,10286,19,22,22,48,58,87,48,11,318,460,390,495,591,772,1053,853,396,5014,1723,3037,3696,4013,4283,4086,2157,669,23671
UCL311003,230,231,157,55,9,4,916,20,163,192,200,141,42,20,0,773,384,1799,1426,1027,746,259,82,35,5758,181,717,957,1018,755,308,123,35,4095,1598,3476,2811,2769,2032,956,373,94,14110,233,180,136,120,59,24,8,0,757,96,179,196,223,161,92,33,3,990,1921,3834,3144,3119,2247,1075,415,99,15858,27,51,54,69,60,47,33,14,353,750,1003,1001,1152,943,689,564,288,6398,3296,7778,7010,6819,5050,2477,1252,476,34150
UCL311004,254,234,178,77,16,4,972,25,143,159,189,158,53,10,3,731,335,1266,1156,858,632,284,99,26,4647,143,580,622,680,567,270,94,23,2977,1229,2279,1701,1701,1359,697,357,74,9397,341,175,119,75,49,22,0,0,784,100,129,132,139,121,75,35,11,742,1674,2579,1958,1914,1526,796,393,84,10919,23,47,39,48,40,44,19,7,279,761,705,682,800,756,646,631,489,5468,2970,5510,4861,4719,3857,2171,1268,636,25992
UCL312001,156,95,67,11,0,0,467,7,67,77,89,60,10,0,0,321,174,845,676,423,236,101,31,7,2486,68,339,391,436,265,103,31,8,1646,869,1710,1359,1240,786,316,138,29,6437,163,127,55,63,21,13,3,0,441,51,61,82,80,67,36,10,0,391,1079,1894,1491,1380,879,363,152,29,7269,15,34,35,35,34,16,4,3,171,404,483,414,454,357,203,151,59,2523,1757,3794,3254,2911,1890,806,371,107,14884
UCL312002,39,37,33,20,9,4,156,4,7,35,48,49,28,11,0,190,41,168,198,177,189,138,55,12,976,41,114,190,250,286,199,69,22,1170,353,604,619,582,654,481,229,51,3583,118,96,46,39,29,16,0,0,346,27,48,62,59,65,65,18,3,357,497,749,730,678,751,566,246,57,4278,11,14,13,8,25,29,20,3,125,230,189,269,231,320,413,341,153,2152,828,1262,1472,1434,1661,1387,764,239,9050
UCL313001,71,58,63,33,12,0,286,0,20,30,50,63,16,9,0,183,55,239,272,215,188,113,45,8,1130,12,68,128,155,178,161,62,10,773,100,223,324,313,383,297,139,23,1789,37,12,21,12,22,17,3,0,118,6,14,11,34,34,41,25,4,176,143,256,350,359,434,353,163,22,2086,0,10,7,10,9,15,9,3,63,65,59,66,74,120,144,111,30,677,279,684,930,921,1052,842,408,77,5191
UCL313002,27,46,73,67,22,6,266,4,12,36,40,61,45,24,3,224,35,103,185,194,249,294,104,22,1181,44,89,175,246,327,337,153,25,1388,182,243,344,527,629,702,356,83,3060,31,22,27,31,39,43,7,0,198,17,22,38,46,76,104,51,18,373,232,287,412,603,743,839,417,100,3632,4,6,9,23,11,36,36,13,131,97,79,108,150,276,465,371,281,1827,416,596,946,1296,1730,2093,1117,445,8648
UCL313003,31,15,14,8,0,0,93,0,21,30,21,16,5,0,0,95,64,224,219,126,68,44,8,5,755,27,106,159,149,89,51,9,3,597,307,464,396,333,236,106,42,13,1895,60,25,23,14,13,4,0,0,145,13,34,41,38,19,4,8,3,162,381,523,457,389,274,120,47,18,2205,3,9,6,7,7,5,4,0,47,172,127,181,149,138,126,115,70,1081,648,1033,1083,846,611,351,190,98,4866
UCL313004,37,35,23,5,0,0,154,6,33,38,28,14,6,0,0,124,67,355,265,168,93,19,3,0,972,32,144,188,144,85,25,3,0,630,259,685,547,469,266,72,11,4,2314,51,54,31,14,21,8,0,0,172,23,35,37,30,15,8,4,0,150,333,773,612,503,307,89,19,4,2640,4,3,15,10,4,3,0,0,36,312,304,294,298,180,67,43,16,1517,764,1668,1451,1182,706,211,72,28,6079
UCL313005,25,11,6,0,0,0,75,0,28,25,13,14,0,0,0,81,38,184,125,87,57,21,8,0,528,34,125,117,105,68,34,12,0,492,270,625,369,262,222,69,19,9,1852,54,47,21,12,4,0,0,0,142,14,44,22,23,19,3,3,0,129,337,722,410,303,245,76,27,9,2126,4,5,15,9,9,3,3,0,44,131,157,122,94,110,63,53,28,753,554,1246,842,630,502,195,103,37,4102
UCL313006,33,43,27,22,3,0,149,6,24,29,30,33,10,3,0,143,34,188,201,189,179,117,42,10,963,53,153,182,241,199,110,52,17,1000,372,610,533,486,466,301,115,27,2914,107,56,46,35,24,10,3,0,285,25,42,38,48,46,37,15,4,262,506,711,622,567,534,352,133,38,3459,6,5,10,15,13,18,14,8,90,172,169,153,201,230,306,301,228,1756,777,1266,1227,1291,1222,934,542,299,7554
UCL313007,24,22,15,8,0,0,96,3,21,26,21,18,12,0,0,94,52,191,127,117,96,49,17,3,654,29,88,131,119,129,64,28,3,590,191,352,323,252,231,136,53,14,1552,62,46,31,13,14,9,0,0,175,23,20,27,31,24,15,8,3,152,273,419,380,297,265,157,64,16,1879,3,3,5,3,5,8,0,0,33,127,98,88,93,109,108,123,83,834,502,832,779,666,651,400,235,109,4177
UCL313008,73,57,36,10,0,0,267,10,61,55,35,18,3,0,0,179,157,562,293,172,90,33,8,0,1313,37,182,186,210,90,28,14,3,757,369,943,726,659,381,135,27,4,3248,80,56,21,9,5,5,3,0,186,17,54,43,37,23,7,3,0,190,470,1059,789,705,415,148,35,5,3624,3,13,12,16,4,8,5,0,59,354,474,304,372,275,152,53,16,2012,1034,2434,1716,1568,922,385,122,29,8207
UCL313009,56,57,42,27,15,8,233,5,36,60,56,45,22,3,0,229,63,329,318,242,197,136,60,23,1358,72,172,288,283,230,166,73,24,1308,340,656,637,576,482,292,150,37,3172,78,48,33,30,25,8,7,3,225,23,42,46,48,64,37,25,7,293,442,745,718,657,570,346,178,49,3691,9,14,14,12,22,24,11,3,108,182,164,153,181,150,228,199,174,1425,773,1489,1605,1490,1249,938,531,281,8352
UCL313010,25,32,27,17,9,0,134,9,14,26,39,31,19,4,0,146,40,137,154,154,116,89,55,8,748,36,99,113,144,147,98,44,20,702,283,433,370,362,285,231,89,11,2069,61,47,17,26,23,5,3,0,190,31,32,43,57,30,36,8,6,252,379,519,434,445,344,280,102,15,2509,8,3,3,4,6,14,13,0,49,143,100,116,126,136,195,203,140,1152,609,895,871,929,815,699,431,183,5430
UCL313011,73,62,73,27,12,0,282,3,34,48,57,55,28,9,3,241,67,276,327,301,214,126,51,17,1376,34,114,183,250,180,131,49,20,962,258,538,506,562,485,293,112,40,2801,67,26,18,29,17,8,0,4,179,18,30,42,45,46,28,14,3,224,345,594,567,641,551,336,135,42,3210,3,13,12,11,17,12,13,0,80,152,149,205,246,250,199,174,102,1481,611,1212,1420,1565,1331,861,437,191,7620
UCL314001,25,21,22,20,3,0,118,5,14,25,10,21,10,3,0,97,64,231,164,104,94,49,21,0,722,46,199,157,129,123,62,13,3,737,148,459,416,321,236,136,35,8,1758,22,36,30,13,18,3,3,0,133,21,27,24,35,21,13,7,0,151,192,522,474,365,280,158,41,8,2039,0,9,10,9,8,9,3,0,49,178,333,222,198,161,137,26,7,1268,494,1342,1072,839,707,439,117,17,5032
UCL314002,17,21,23,19,6,3,102,7,4,9,20,15,7,3,0,61,24,89,114,83,85,65,33,9,494,21,54,79,93,98,68,42,14,469,139,177,179,190,159,142,71,10,1069,20,9,16,10,5,12,0,0,72,6,12,18,22,18,17,7,0,103,175,196,214,223,185,160,83,8,1246,3,0,5,3,3,11,10,4,44,93,50,61,77,108,83,114,57,653,317,416,498,523,514,415,289,103,3068
UCL314003,9,16,11,0,0,0,52,0,14,10,10,17,3,3,0,53,47,139,112,73,59,36,10,4,491,16,39,53,91,62,33,19,8,327,186,266,246,230,213,149,75,12,1369,29,20,9,8,11,3,0,0,84,8,17,10,26,13,14,0,0,87,222,297,265,264,237,161,79,11,1544,4,3,4,4,7,4,5,0,32,106,76,95,101,105,133,116,60,794,405,590,548,554,501,378,224,80,3284
UCL314004,4,3,11,3,3,0,35,0,14,7,7,11,3,0,0,37,3,50,43,31,41,33,13,3,220,18,58,41,74,46,35,14,3,290,79,150,135,169,110,79,36,6,762,22,12,11,14,3,3,0,0,66,3,9,28,23,21,18,5,0,114,105,166,175,207,130,102,48,7,945,0,3,0,3,4,10,0,0,27,81,89,48,83,85,117,103,59,658,212,377,323,406,323,304,187,75,2205
UCL314005,11,9,3,7,3,0,32,0,11,15,8,6,4,0,0,46,16,84,84,47,36,24,8,8,302,21,59,68,62,55,29,11,4,316,77,192,193,150,127,83,27,15,869,22,14,12,6,8,0,0,0,66,6,11,23,16,19,13,8,0,104,109,217,225,183,153,104,33,15,1038,5,0,6,6,5,3,6,0,25,55,51,57,50,54,61,41,64,431,210,430,456,358,312,235,99,94,2191
UCL314006,23,11,7,3,0,0,62,3,8,14,9,3,0,0,0,41,24,131,120,64,38,11,3,3,388,9,51,55,61,45,7,10,0,241,139,268,184,158,114,42,30,3,936,19,12,6,3,6,0,0,0,54,9,14,11,5,3,5,0,0,62,164,298,205,175,124,48,33,3,1052,3,5,8,6,6,0,0,0,28,76,79,98,78,63,51,43,6,496,273,592,519,403,291,118,84,18,2304
UCL314007,15,19,6,3,0,0,62,4,8,13,15,16,4,3,0,71,35,142,91,52,55,39,13,3,431,16,72,75,69,81,53,24,0,398,128,290,232,295,264,174,47,12,1444,39,14,10,21,17,9,0,0,112,13,27,19,23,24,16,3,0,122,175,336,260,335,302,196,57,19,1673,5,9,4,7,5,13,3,3,48,192,183,127,167,149,169,108,55,1148,425,769,585,668,624,476,205,76,3826
UCL314008,15,22,17,7,3,0,70,4,20,22,14,15,6,3,0,84,39,118,102,87,59,41,10,8,468,15,34,65,71,71,41,19,6,332,110,197,197,178,153,111,46,13,1007,46,13,8,8,8,3,0,0,91,12,23,18,14,15,15,10,0,100,167,230,229,209,183,125,52,11,1198,0,3,0,11,6,12,4,0,34,137,98,108,121,130,114,107,25,845,373,508,540,527,482,342,195,54,3026
UCL314009,19,5,3,3,0,0,47,3,12,3,5,3,0,0,0,27,21,129,104,37,28,10,4,0,331,17,61,71,78,34,17,8,3,293,125,253,173,163,97,30,16,5,863,24,24,8,8,3,0,0,0,77,8,15,11,13,12,5,3,0,70,153,298,196,186,109,38,18,5,999,0,0,3,3,7,0,0,0,15,110,144,115,116,84,68,60,31,729,309,665,517,428,257,141,87,44,2446
UCL314010,36,16,18,0,0,0,112,0,4,7,10,4,3,0,0,27,71,203,83,32,27,19,11,4,455,26,90,52,38,44,23,9,4,286,110,148,135,102,103,52,24,4,681,31,13,11,7,3,3,0,0,73,22,19,8,14,14,4,0,0,89,159,185,156,124,116,61,28,8,838,14,34,4,5,0,3,5,0,60,95,124,58,74,52,83,83,37,610,363,685,397,302,259,189,137,58,2391
UCL314011,7,5,4,0,0,0,39,0,10,12,8,11,0,3,0,40,20,140,113,61,49,27,9,3,416,17,58,67,64,40,19,18,3,289,91,209,139,120,111,40,20,3,739,21,15,10,10,6,0,0,0,59,8,14,17,17,14,4,3,0,72,118,233,161,149,128,51,21,3,866,0,0,0,3,0,0,0,0,11,79,94,79,78,89,85,61,21,587,244,557,433,364,315,184,107,32,2251
UCL314012,19,8,9,5,0,0,48,0,3,20,22,17,4,0,0,67,21,81,85,64,51,31,9,3,342,26,47,88,94,55,32,7,6,351,126,226,227,219,157,83,34,7,1077,19,12,19,7,0,4,0,0,61,7,16,18,19,11,9,4,0,82,146,255,266,242,175,94,37,3,1224,0,0,4,6,5,3,0,0,20,90,48,82,64,87,79,37,11,494,287,444,560,493,394,250,91,34,2549
UCL314013,48,66,53,33,3,0,228,3,34,43,55,32,24,3,0,189,38,185,295,245,186,103,30,12,1085,29,86,158,232,155,105,26,12,790,153,288,309,292,226,126,36,13,1450,34,20,16,5,8,7,0,0,95,8,18,24,34,33,28,8,3,151,195,324,354,327,262,161,53,15,1693,5,6,6,8,4,8,14,3,57,50,44,55,64,55,90,64,14,443,319,699,959,990,750,524,186,53,4483
UCL314014,27,12,15,3,0,0,81,7,8,8,4,11,4,0,0,47,32,103,58,69,55,24,11,9,361,17,66,44,67,69,36,16,3,329,102,161,166,195,220,107,57,12,1008,38,18,15,13,5,4,0,0,103,8,15,16,23,20,9,5,0,90,146,197,196,229,247,118,61,7,1205,6,12,5,3,6,3,4,0,33,133,154,121,108,137,117,106,31,902,343,558,462,494,540,310,203,51,2962
UCL314015,12,7,4,0,0,0,32,0,8,10,3,4,0,0,0,29,16,57,89,46,20,8,3,0,234,24,65,109,71,36,11,0,0,321,125,241,268,214,109,37,17,3,1007,21,11,21,12,5,0,0,0,76,9,14,34,21,8,3,0,0,86,156,267,324,243,122,40,23,3,1170,3,4,3,3,3,4,0,0,23,64,39,62,56,27,23,10,0,277,260,442,608,430,227,83,37,3,2097
UCL314016,19,16,9,10,3,0,71,0,8,14,13,10,0,6,0,49,26,134,72,80,60,42,13,3,431,21,68,88,75,62,34,19,3,363,104,197,181,205,132,116,58,14,1010,31,16,18,11,6,4,0,0,81,8,14,19,22,20,11,12,4,104,143,223,216,234,152,138,63,18,1198,9,5,4,8,6,10,7,0,40,154,141,114,105,134,149,118,42,966,354,598,520,520,433,382,232,73,3120
UCL314017,26,10,3,0,0,0,96,7,25,27,8,5,3,0,0,72,42,291,189,77,28,6,0,0,634,13,92,131,86,40,4,0,0,359,152,537,422,288,118,22,0,0,1543,40,34,16,14,3,0,0,0,102,13,32,33,16,8,0,0,0,103,208,598,470,317,129,22,0,0,1751,0,8,8,5,3,0,0,0,26,124,221,189,154,83,23,4,4,800,387,1280,1047,657,298,56,11,3,3741
UCL314018,51,33,15,7,0,0,132,3,16,33,17,15,4,0,0,86,28,196,213,88,53,31,4,0,617,46,110,171,120,51,16,5,0,517,88,296,277,194,105,37,11,0,1006,17,6,18,7,5,3,0,0,50,9,12,17,16,15,9,0,0,84,117,318,310,212,133,45,11,0,1138,0,7,4,5,3,0,0,0,16,15,42,30,34,18,16,3,0,160,202,720,797,505,289,118,23,0,2664
UCL314019,34,15,3,0,0,0,82,3,23,16,19,8,0,0,0,75,41,250,120,75,56,12,7,0,558,20,118,84,84,49,26,6,7,383,166,324,215,172,130,58,28,3,1086,24,16,19,11,4,0,0,0,82,11,15,20,18,13,0,3,0,78,209,357,248,198,147,59,26,3,1247,3,5,9,3,8,0,0,0,25,103,178,106,105,112,70,58,26,763,385,970,615,497,372,167,100,41,3140
