UCL_CODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
UCL121006,5,3,4,0,0,0,0,0,3,12,0,0,3,5,3,0,0,3,0,14,12,3,38,10,7,6,0,10,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,21,24,42,19,20,7,0,18,4,158
UCL121007,0,3,0,3,0,0,0,0,0,14,3,10,0,12,3,3,0,0,0,28,20,7,54,23,11,9,10,19,0,151,3,0,0,0,3,0,0,7,0,13,0,0,0,3,4,4,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,36,52,59,53,36,19,11,28,3,303
UCL121008,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,3,0,0,0,17,7,3,26,13,7,5,11,10,0,93,0,0,0,0,0,3,0,3,0,9,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,3,5,0,0,0,0,0,9,20,30,33,31,19,15,18,19,0,185
UCL121009,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,5,9,0,7,6,3,0,31,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,3,4,14,5,17,3,7,5,10,0,65
UCL121010,0,3,0,0,0,0,0,0,0,3,0,3,0,4,0,0,0,0,0,9,6,3,39,7,6,0,18,8,0,93,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,7,0,18,11,22,45,16,10,3,23,18,0,165
UCL121011,0,0,0,7,0,0,0,0,0,6,0,0,0,7,3,0,0,0,0,12,6,3,20,24,3,7,3,9,3,75,0,0,4,0,3,0,0,0,0,9,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,25,28,40,15,11,5,11,4,145
UCL121012,5,9,6,6,4,0,0,0,0,27,12,5,0,3,3,3,0,3,0,26,16,0,49,6,15,3,18,3,3,121,4,0,0,3,0,0,0,3,0,13,0,3,0,4,8,3,0,0,0,18,0,0,0,0,0,0,0,0,0,3,3,4,3,0,3,4,0,0,0,15,47,80,70,24,37,12,19,12,3,307
UCL121013,3,0,0,3,0,0,0,0,0,12,8,3,0,9,0,0,0,0,0,14,3,4,16,4,4,0,3,4,3,37,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,16,21,47,17,33,8,4,6,11,8,141
UCL121014,8,9,3,3,8,0,0,0,0,30,3,3,4,4,4,0,0,0,0,19,11,6,37,9,14,7,0,7,3,86,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,12,52,89,48,23,37,7,3,13,6,272
UCL121015,0,6,0,8,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,9,5,0,33,10,3,0,7,8,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,7,15,30,34,18,17,8,10,9,3,140
UCL121016,0,0,0,0,8,0,0,0,0,15,5,3,0,7,3,3,0,0,0,24,9,0,55,15,10,7,12,5,0,120,0,0,0,0,0,0,0,3,0,6,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,14,19,27,66,24,26,9,15,15,3,213
UCL121017,4,8,0,0,3,0,0,0,0,14,3,7,6,4,6,0,0,3,0,30,7,3,24,7,11,3,3,5,0,70,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,34,94,37,18,28,9,7,10,0,247
UCL121018,0,3,0,0,0,0,0,0,0,14,0,5,3,3,0,0,0,0,0,18,3,3,22,4,7,0,0,6,0,47,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,71,33,23,19,3,4,9,0,177
UCL121019,0,7,0,0,0,0,0,0,0,10,5,0,0,4,0,0,0,0,0,6,6,0,32,6,4,3,10,9,0,75,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,33,40,30,21,13,4,12,12,3,166
UCL121020,3,3,0,5,0,0,0,0,0,10,3,0,0,7,3,0,0,0,0,15,4,0,28,8,11,5,12,13,6,81,0,0,3,0,0,0,0,0,0,7,3,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,8,20,40,34,25,18,6,10,12,6,170
UCL121021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,21,4,0,0,3,11,0,38,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,20,4,8,4,3,9,0,61
UCL121022,3,3,0,3,0,4,0,0,0,17,3,3,0,6,5,0,0,0,0,24,4,7,40,11,10,3,19,9,0,110,0,0,0,0,0,0,0,0,0,5,0,0,0,4,4,0,0,8,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,11,19,35,48,31,24,13,21,20,3,212
UCL121023,0,0,0,9,0,0,0,0,0,11,0,0,0,0,3,3,0,0,0,5,0,3,14,16,5,5,8,7,0,57,0,0,0,0,0,0,0,3,0,4,0,0,4,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,9,17,25,12,12,17,11,6,111
UCL121024,0,6,0,0,0,0,0,0,0,10,0,3,0,7,4,0,0,3,0,22,9,7,43,18,5,0,4,6,0,90,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,33,68,49,32,21,10,6,7,0,228
UCL121025,0,11,3,3,7,3,0,0,0,32,3,5,0,10,5,3,0,0,3,26,13,3,34,13,8,6,3,7,0,90,0,0,0,4,3,3,0,0,0,9,0,0,0,3,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,31,103,46,36,19,12,3,11,7,263
UCL121026,0,3,0,0,0,0,3,0,0,6,0,5,0,7,3,0,0,3,0,18,3,6,31,14,8,5,3,11,0,92,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,6,50,38,21,16,16,5,16,6,179
UCL121027,0,9,0,3,3,0,0,0,0,23,3,6,0,7,8,0,0,4,0,31,11,3,44,19,14,6,5,12,0,115,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,3,0,17,0,0,0,0,3,3,0,0,0,10,0,3,0,3,0,3,0,0,0,11,37,107,49,45,42,18,11,22,10,335
UCL121028,0,0,0,3,7,0,0,0,0,9,3,0,0,4,6,0,0,0,0,14,3,5,33,8,6,3,4,5,0,67,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,7,10,45,35,21,25,9,4,7,0,157
UCL121029,0,0,0,4,0,0,0,0,0,5,0,3,0,0,4,0,0,0,0,7,11,0,32,13,0,5,8,7,0,72,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,11,15,12,36,23,8,4,11,11,3,127
UCL121030,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,8,0,3,10,3,0,5,3,0,29,3,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,14,8,15,12,0,5,3,0,70
UCL121031,0,3,0,3,0,0,0,0,0,11,0,5,0,5,3,0,0,0,0,11,11,0,29,13,14,6,6,13,0,99,0,0,0,3,3,3,0,5,0,9,3,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,4,0,16,21,26,29,29,27,15,14,31,3,189
UCL121032,3,9,3,0,0,0,0,0,0,20,3,9,6,12,3,3,0,0,0,37,16,7,31,18,18,11,10,7,0,118,0,3,0,0,0,3,0,0,0,7,0,0,0,4,0,3,0,0,0,10,0,3,0,0,0,0,0,0,0,4,0,3,0,0,9,0,0,0,0,14,32,82,46,39,33,23,13,11,4,281
UCL121033,0,3,0,3,0,0,0,0,0,12,0,0,0,6,0,0,0,0,0,8,9,3,20,5,3,3,5,7,4,60,0,0,0,3,0,0,0,0,0,9,3,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,8,18,23,21,24,11,6,5,11,3,127
UCL121034,11,3,0,6,0,3,0,0,0,22,4,3,4,9,3,3,0,0,0,26,10,0,34,4,17,9,3,6,0,88,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,7,0,0,0,3,0,0,0,0,0,5,3,0,0,0,0,3,0,0,0,12,47,58,42,35,34,26,7,15,3,266
UCL121035,3,4,0,5,0,0,3,0,0,13,6,4,0,9,10,0,0,0,0,30,9,4,53,11,14,3,27,13,0,133,0,0,0,0,3,4,0,0,0,10,0,0,0,0,3,0,0,3,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,3,0,14,21,34,54,39,33,11,33,14,0,237
UCL121036,5,4,0,3,3,0,0,0,0,15,3,7,3,0,4,0,0,0,0,22,19,3,37,20,9,5,12,14,0,116,0,0,0,0,0,0,0,0,0,7,0,0,0,3,4,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,45,63,49,36,30,19,11,16,0,269
UCL121037,3,6,3,3,0,0,0,0,0,17,0,0,4,4,4,0,0,0,0,20,4,5,45,11,10,9,6,15,3,108,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,53,55,26,26,11,6,17,7,221
UCL121038,0,6,0,4,0,0,0,0,0,8,0,3,0,4,0,0,0,0,0,10,3,3,28,11,7,0,4,6,0,65,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,12,20,28,21,4,6,6,14,3,112
UCL121039,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,7,9,0,16,0,8,0,3,7,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,3,3,0,0,3,3,0,14,13,14,17,10,10,0,8,13,0,93
UCL121040,3,10,0,0,4,0,0,0,0,19,3,3,3,3,0,3,0,0,0,16,10,0,22,11,4,0,0,3,0,58,0,0,0,0,0,0,0,0,0,4,3,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,4,3,0,0,11,40,56,28,24,19,10,3,6,5,191
UCL121041,0,3,0,0,3,0,0,0,0,6,4,3,3,3,0,3,0,0,0,18,8,10,30,12,7,4,0,4,0,70,0,0,0,0,4,0,0,0,0,7,0,0,0,0,3,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,11,28,60,34,18,26,5,5,5,0,191
UCL121042,0,0,0,0,0,0,0,0,0,4,0,3,0,3,0,0,0,0,0,7,5,0,24,12,7,3,8,11,0,56,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,10,8,18,28,18,12,3,9,16,4,108
UCL121043,0,11,0,5,0,0,0,0,0,18,3,3,3,0,0,0,0,0,0,12,11,3,19,3,0,0,0,3,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,12,39,75,20,17,16,7,3,11,3,192
UCL121044,3,6,0,0,3,0,0,0,0,15,3,0,0,0,5,0,0,3,0,14,18,3,37,4,3,5,8,9,0,90,0,0,0,0,5,3,0,0,0,6,0,0,3,0,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,40,69,50,4,28,9,7,15,0,232
UCL121045,0,0,0,3,3,0,0,0,0,10,0,0,0,5,0,0,0,0,0,11,5,7,24,5,9,3,5,6,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,37,27,14,19,11,5,10,0,132
UCL121046,6,0,0,0,0,0,0,0,0,11,3,3,0,6,3,0,0,0,0,18,3,3,18,12,4,0,10,5,0,66,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,15,42,25,29,25,6,11,6,3,155
UCL121047,0,4,0,4,3,0,0,0,0,18,0,0,4,14,5,3,0,3,0,24,17,0,27,3,9,3,3,0,3,75,0,0,0,0,0,3,0,0,0,5,3,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,9,27,58,39,28,27,12,3,9,4,212
UCL121048,0,3,0,0,0,0,0,0,0,8,6,0,0,0,0,0,3,5,0,19,9,5,37,8,14,5,8,18,3,100,0,0,0,0,3,0,0,0,0,4,0,0,0,3,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,4,0,0,9,21,28,44,16,22,9,12,31,3,187
UCL121049,3,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,9,0,0,21,3,5,6,3,0,0,37,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,11,8,24,20,6,14,5,6,12,0,98
UCL121050,7,3,3,3,6,0,0,3,0,21,5,5,3,7,0,3,0,3,0,25,10,3,36,16,3,9,7,16,3,107,0,0,0,0,3,3,0,0,0,6,0,0,0,0,3,0,4,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,5,12,39,46,46,29,27,25,11,21,13,256
UCL121051,4,0,0,0,0,0,0,0,0,13,3,0,0,11,3,0,0,0,0,18,12,3,30,11,7,3,10,4,3,77,0,0,0,0,0,0,0,3,0,5,4,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,7,3,0,0,3,0,0,3,0,16,27,33,33,28,18,5,15,14,3,175
UCL121052,8,6,0,5,4,0,0,0,0,22,3,6,5,0,3,3,0,0,0,17,10,0,25,6,9,7,0,10,0,73,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,4,37,57,39,17,29,7,5,11,0,207
UCL121053,3,12,0,3,0,0,0,3,0,24,4,8,4,9,3,0,0,0,0,36,13,6,53,16,15,4,10,7,4,130,0,0,0,3,0,0,0,0,0,4,3,0,0,0,3,4,3,0,0,13,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,3,0,14,40,112,65,39,41,20,19,15,7,354
UCL121054,0,0,0,5,0,0,0,0,0,6,0,3,3,3,3,0,0,0,0,19,12,3,31,6,10,8,10,3,0,79,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,8,23,23,42,20,19,11,13,12,3,164
UCL121055,5,3,0,3,3,0,0,0,0,16,0,11,5,10,3,4,0,0,0,34,17,0,56,4,12,5,8,7,0,112,0,0,0,0,3,0,0,0,0,4,3,0,0,0,3,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,9,50,61,72,22,36,19,7,9,3,276
UCL121056,0,5,0,3,4,0,0,0,0,14,3,5,0,3,0,0,0,3,0,13,7,3,36,3,9,3,3,8,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,10,13,67,44,26,27,3,3,13,0,200
UCL121057,0,0,0,3,3,0,0,0,0,10,0,0,0,12,0,0,0,0,0,25,7,4,45,15,11,5,10,10,0,102,0,0,0,0,3,0,0,0,0,6,0,0,0,3,3,0,0,3,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,10,36,48,34,22,15,8,17,0,209
UCL121058,3,3,3,3,0,0,0,0,0,13,0,4,3,4,0,3,0,0,0,20,13,6,60,8,10,4,17,8,0,130,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,20,37,74,24,21,11,17,14,3,215
UCL121059,9,12,0,7,10,4,0,0,0,41,12,9,6,11,12,3,0,3,0,53,13,5,65,19,42,11,25,10,4,194,0,0,0,3,4,0,0,0,0,9,0,0,0,4,5,8,0,0,0,20,0,3,0,0,0,0,0,0,0,4,0,0,0,0,3,4,4,0,0,21,59,157,77,56,90,30,27,16,6,510
UCL121060,0,0,3,0,0,0,0,0,0,3,3,3,0,6,5,0,0,0,0,16,11,7,34,13,4,7,3,3,0,87,0,0,0,0,3,0,0,0,0,3,0,0,0,0,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,12,39,42,17,25,7,3,8,0,154
UCL121061,3,9,3,4,11,3,0,0,0,27,6,6,0,5,7,0,0,0,0,28,24,11,47,8,12,10,17,9,3,136,0,0,0,0,0,0,0,0,0,5,0,3,0,0,5,3,0,0,0,15,0,0,0,0,0,0,0,0,0,4,0,0,0,4,5,0,0,0,3,10,51,86,56,21,46,20,19,14,11,318
UCL121062,9,16,7,7,5,5,0,0,0,44,6,7,4,11,4,6,0,0,0,37,19,9,46,11,18,7,14,13,0,123,0,3,0,0,3,0,0,0,0,8,0,0,0,0,3,3,0,0,0,11,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,58,120,60,39,39,18,20,16,3,375
UCL121063,3,3,0,3,0,0,0,0,0,12,0,3,0,3,4,0,0,0,0,17,8,6,27,12,6,8,6,12,0,86,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,9,17,29,32,30,22,14,8,18,0,162
UCL121064,0,4,3,4,0,0,3,0,0,16,0,4,3,0,0,0,0,0,0,7,3,5,18,14,13,3,10,16,0,87,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,41,29,23,20,11,14,20,0,164
UCL121065,3,0,0,0,3,0,0,0,0,8,0,0,0,5,3,0,0,0,0,15,18,7,23,12,11,9,9,8,3,96,0,0,0,0,0,0,3,0,0,5,4,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,33,40,24,30,24,12,10,12,5,176
UCL121066,8,9,3,4,3,0,0,4,0,25,9,0,3,7,5,0,0,0,0,31,15,10,79,19,21,11,10,11,0,182,0,0,0,3,3,0,0,0,0,7,0,3,0,5,5,4,0,0,0,20,0,0,0,3,3,0,0,0,0,4,3,0,7,3,3,0,0,0,0,12,58,79,95,56,49,24,12,26,5,391
UCL121067,4,12,3,0,0,0,0,0,0,20,4,8,0,3,3,3,0,0,0,22,10,7,21,4,5,7,4,4,0,63,0,0,0,0,4,4,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,29,64,29,10,24,14,7,9,0,194
UCL121068,3,3,0,0,0,0,0,0,0,10,8,4,6,4,3,0,0,0,0,26,10,4,24,7,3,4,3,4,3,63,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,65,32,21,18,9,8,5,3,210
UCL121069,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,17,10,0,34,8,7,4,18,6,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,15,16,41,19,13,9,22,13,0,144
UCL121070,0,3,0,0,0,0,0,0,0,5,3,0,0,6,0,0,0,0,0,12,7,4,21,9,3,4,9,12,3,71,0,0,0,4,0,0,0,0,0,10,0,0,3,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,10,12,16,31,20,11,9,11,13,3,127
UCL121071,4,3,0,3,3,4,0,0,0,18,7,3,3,11,3,0,0,0,0,25,3,5,28,11,5,3,3,6,0,69,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,33,65,43,33,16,15,9,19,0,228
UCL121072,0,5,5,0,5,0,0,0,0,10,3,4,0,0,0,0,0,0,0,9,7,0,23,3,8,6,4,8,0,57,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,18,40,33,10,21,5,4,3,3,143
UCL121073,0,3,0,3,3,0,0,0,0,10,0,3,0,7,3,0,0,3,0,17,11,0,31,19,7,3,17,3,0,90,0,0,0,0,0,0,3,0,0,7,0,0,0,0,8,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,6,0,0,20,18,34,37,38,19,6,27,14,0,190
UCL121074,0,0,4,4,0,0,0,0,0,13,0,0,0,5,0,8,0,0,0,13,0,3,38,12,8,0,11,10,0,89,0,0,0,0,0,0,0,4,0,5,0,0,0,3,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,10,26,49,24,14,9,14,23,0,165
UCL121075,3,0,3,3,3,0,0,0,0,13,6,3,8,3,0,0,0,3,0,18,6,8,33,5,9,0,5,4,0,75,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,4,27,59,56,23,27,7,10,16,0,217
UCL121076,5,5,0,0,0,0,0,0,0,10,3,3,0,7,6,0,0,0,0,26,4,4,55,14,8,4,10,11,3,120,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,19,39,56,30,20,8,17,13,5,214
UCL121077,0,5,0,0,3,0,0,0,0,6,5,0,0,3,3,0,0,0,0,15,12,3,18,4,8,5,10,10,0,62,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,25,45,29,17,21,9,9,13,0,154
UCL121078,0,3,0,4,6,0,0,0,0,19,8,3,0,9,15,3,0,0,0,35,10,8,48,12,6,9,9,3,0,108,0,0,4,0,0,0,0,0,0,5,3,0,3,4,5,3,0,0,0,16,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,11,23,87,61,35,38,19,11,11,7,290
UCL121079,0,0,0,0,3,0,0,0,0,10,3,3,0,5,7,0,0,0,0,21,9,3,20,6,5,6,4,6,3,56,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,23,60,23,16,22,8,3,9,3,167
UCL121080,4,5,0,8,0,0,0,0,0,20,0,0,3,8,6,0,0,3,3,24,7,5,29,13,7,3,5,12,0,95,0,0,0,0,3,0,0,3,0,10,0,0,0,9,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,13,41,85,41,53,31,9,9,25,5,288
UCL121081,6,3,0,3,7,3,0,0,0,24,3,4,3,3,3,4,0,0,0,28,4,8,46,13,8,3,7,6,0,99,0,0,3,0,4,3,0,0,0,7,0,0,0,0,4,0,0,3,0,8,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,42,80,65,42,29,21,8,11,3,291
