UCL_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
UCL314015,7,56,21,50,0,146,7,5,50,55,78,3,192,0,0,0,3,7,0,6,0,0,4,15,54,0,75,0,0,6,4,52,12,75,26,27,200,262,930,65,1515
UCL314016,16,72,25,38,3,166,12,6,79,49,96,16,256,0,0,3,0,4,0,12,0,0,5,8,63,6,80,0,0,3,0,16,10,27,53,32,308,268,773,121,1549
UCL314017,22,137,22,43,3,234,10,5,51,30,46,3,140,0,0,3,0,5,4,20,0,0,4,12,67,3,87,0,0,8,4,28,17,56,75,64,562,304,1508,128,2638
UCL314018,30,134,35,43,0,286,31,20,124,76,71,3,321,0,0,4,8,12,0,26,3,0,10,18,71,3,98,0,4,9,11,40,7,77,119,79,543,439,966,55,2196
UCL314019,24,134,22,39,3,230,22,12,133,69,97,12,354,0,0,3,4,8,0,12,0,0,5,13,75,8,98,0,0,4,6,54,12,80,74,63,513,319,1045,119,2139
UCL314020,10,73,20,43,3,159,14,12,77,96,137,5,346,0,0,0,9,13,0,21,0,3,0,18,79,3,106,0,4,4,9,43,13,75,37,41,279,346,1113,104,1926
UCL314021,48,159,42,38,11,386,41,21,142,68,72,11,348,3,0,20,8,26,3,62,0,0,18,14,43,0,83,3,3,17,12,36,16,97,209,102,640,405,762,102,2216
UCL314022,30,173,45,79,8,350,13,18,94,61,88,8,286,0,0,0,3,15,0,16,0,0,3,7,78,0,90,3,0,7,9,55,17,95,77,91,541,407,1583,116,2820
UCL315001,8,33,12,25,3,94,10,6,33,22,31,3,102,0,0,0,0,4,0,5,0,0,0,4,33,0,44,0,0,3,0,14,0,25,38,24,129,107,365,25,689
UCL315002,4,19,5,3,0,34,0,0,13,8,29,5,57,0,0,0,4,0,0,5,0,0,0,0,9,0,11,0,0,0,0,4,4,13,8,8,57,34,172,19,303
UCL315003,0,15,3,5,4,25,3,0,3,3,13,0,19,0,0,0,0,0,0,0,0,0,0,3,4,3,18,0,0,0,0,5,0,6,3,0,22,23,69,17,142
UCL315004,9,28,12,28,4,77,5,3,16,25,21,6,76,0,0,0,0,0,0,0,0,0,0,3,13,0,21,0,0,0,0,0,3,3,8,10,59,54,141,32,310
UCL315005,8,26,7,11,3,67,9,8,23,38,45,0,118,0,0,3,0,3,0,7,0,0,0,3,10,0,20,0,0,3,7,20,5,37,25,18,104,126,366,35,681
UCL315006,15,57,7,22,3,117,5,3,19,15,23,3,68,0,0,0,0,4,0,5,0,0,0,0,44,6,57,0,0,0,0,16,10,27,36,32,216,137,799,80,1294
UCL315007,13,30,11,19,0,76,5,5,22,23,26,7,92,0,0,3,5,3,0,8,0,0,3,6,21,0,33,0,0,3,4,10,6,26,22,25,116,89,242,38,535
UCL315008,4,16,6,7,0,44,3,6,42,27,62,7,151,0,0,0,0,4,0,0,0,0,0,0,24,0,24,0,0,0,3,16,5,21,10,16,94,83,317,28,539
UCL315009,0,3,0,3,0,13,3,0,13,4,15,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,6,0,4,3,3,27,24,80,7,145
UCL315010,10,42,7,15,0,71,3,3,30,16,33,6,85,0,0,0,0,5,0,9,0,0,0,3,23,0,31,0,0,0,6,20,3,27,8,16,115,103,568,35,854
UCL315011,3,13,3,7,0,37,4,0,13,10,29,0,50,0,0,0,0,3,0,4,0,0,0,4,8,0,12,0,0,0,0,6,0,15,7,6,54,36,193,16,312
UCL315012,0,5,3,3,0,10,0,0,6,8,18,3,34,0,0,0,3,5,3,15,0,0,0,0,9,0,8,0,0,0,0,5,0,3,3,6,37,36,129,17,226
UCL315013,4,26,19,23,3,77,0,4,19,25,25,0,78,0,0,0,0,3,0,6,0,0,5,3,34,0,42,0,0,4,3,17,0,28,10,11,91,119,366,33,629
UCL315014,8,34,18,30,3,96,3,3,21,29,30,3,96,0,0,0,0,0,0,0,0,0,0,9,44,0,55,0,0,3,7,24,8,36,16,15,95,156,453,37,759
UCL315015,17,65,15,17,3,121,8,3,52,27,48,11,147,0,0,0,0,0,0,3,0,0,0,0,27,0,33,0,0,3,3,18,10,30,26,28,195,101,347,62,754
UCL315016,0,0,3,7,0,12,0,0,0,8,10,0,19,0,0,0,0,0,0,0,0,0,0,3,3,3,12,0,0,0,0,0,0,0,0,4,0,18,40,6,61
UCL315017,7,18,3,8,0,37,3,0,14,4,8,0,31,0,0,0,0,3,0,3,0,0,0,0,6,0,7,0,0,0,0,3,0,8,9,6,39,25,115,16,205
UCL315018,3,38,0,11,0,64,0,4,18,9,14,8,51,0,0,0,0,0,0,3,0,0,0,0,25,0,27,0,0,0,0,9,0,7,15,7,117,46,321,25,528
UCL315019,3,8,0,11,0,27,4,0,21,14,13,0,44,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,6,0,6,4,5,36,25,112,11,192
UCL315020,8,39,6,12,0,68,4,0,18,3,10,0,40,0,0,0,0,0,0,6,0,0,0,5,22,3,25,0,0,0,3,9,8,23,33,17,123,90,285,31,573
UCL315021,7,18,7,11,0,40,0,0,3,3,10,4,25,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,0,4,7,11,6,7,38,13,144,21,231
UCL315022,9,30,4,12,0,66,14,6,25,21,25,3,87,0,0,0,3,3,3,14,0,0,0,5,8,0,16,0,0,3,0,3,7,18,21,23,92,83,212,40,477
UCL315023,0,14,3,9,0,25,3,0,10,12,10,0,30,0,0,0,0,5,0,5,0,0,0,4,22,0,26,0,0,0,3,16,0,24,9,3,35,48,220,19,327
UCL315024,0,24,24,14,3,70,10,7,33,32,54,0,140,0,0,3,3,3,0,9,0,0,0,8,34,4,49,0,0,0,9,15,0,26,25,20,113,134,375,34,702
UCL315025,4,14,4,8,0,28,0,0,17,24,35,0,82,0,0,0,0,0,0,3,0,0,0,0,13,0,12,0,0,0,3,3,0,7,10,7,51,61,169,14,307
UCL315026,0,4,3,16,0,29,0,0,3,13,17,0,35,0,0,0,0,3,0,3,0,0,0,0,9,0,14,0,0,0,0,9,0,13,6,9,26,40,187,15,272
UCL315027,11,33,12,15,3,80,4,3,37,22,24,4,95,0,0,3,0,3,0,7,0,0,3,3,27,0,31,0,0,7,3,6,0,16,33,34,176,116,244,29,621
UCL315028,4,17,0,4,3,36,0,0,3,7,14,3,29,0,0,0,0,0,0,0,0,3,0,0,21,0,20,0,0,0,0,0,0,0,10,4,23,15,53,11,116
UCL315029,4,27,5,15,0,56,0,0,5,14,7,3,34,0,0,0,0,3,0,4,0,0,0,0,22,0,23,0,0,0,0,12,3,12,10,10,92,59,388,35,595
UCL315030,7,51,8,33,0,109,8,8,55,45,60,7,185,0,0,0,0,3,0,9,0,0,0,10,35,4,47,0,3,3,3,14,5,30,38,30,190,142,547,57,998
UCL315031,12,40,11,18,0,76,3,7,28,33,46,3,114,0,0,3,3,3,0,11,0,0,0,5,25,4,36,0,0,4,3,25,3,32,11,20,109,130,402,36,696
UCL315032,9,19,9,17,0,55,0,0,14,22,44,0,86,0,0,0,0,0,0,0,0,0,0,3,22,0,27,0,0,0,0,7,5,6,4,12,68,58,224,25,396
UCL315033,13,39,19,16,0,101,4,9,40,46,64,5,174,0,0,6,8,5,0,24,0,0,5,3,41,4,51,0,0,4,3,23,4,35,34,31,186,194,549,36,1026
UCL315034,3,12,0,13,0,38,5,0,6,10,22,3,48,0,0,0,0,0,0,3,0,0,0,3,13,0,18,0,0,3,6,13,0,18,9,9,48,65,210,17,360
UCL315035,6,34,15,15,0,82,10,9,31,22,38,7,110,0,0,0,0,0,0,0,0,0,5,0,31,0,32,0,0,3,3,12,0,13,26,22,125,110,347,21,651
UCL315036,5,15,0,5,7,41,0,0,11,3,6,3,30,0,0,0,0,0,0,3,0,0,0,6,7,7,18,0,0,0,0,0,0,6,6,8,43,25,61,39,176
UCL315037,0,3,0,0,0,4,3,3,7,3,3,0,14,0,0,5,3,13,5,19,0,0,0,3,3,0,4,0,0,0,6,9,6,20,21,5,163,215,274,30,721
UCL315038,0,5,5,5,0,21,3,0,3,6,9,3,25,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,4,10,3,11,8,6,35,40,228,19,337
UCL315039,3,23,8,26,0,68,0,3,21,30,45,3,91,0,0,0,0,0,0,3,0,0,3,0,17,0,21,0,0,0,3,8,3,16,6,13,89,81,401,39,638
UCL315040,0,6,4,0,0,11,0,4,8,8,17,3,39,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,4,3,0,4,19,28,68,12,128
UCL315041,6,48,17,32,7,114,3,3,49,46,61,8,170,0,0,0,0,4,0,5,3,0,4,4,43,3,54,0,0,0,8,13,5,26,18,14,171,147,555,62,965
UCL315042,0,13,10,17,3,48,3,0,9,13,24,3,56,0,0,0,6,0,0,7,0,0,0,3,31,0,37,0,0,3,3,15,3,23,22,4,68,85,322,30,535
UCL315043,14,40,23,47,3,134,7,5,34,46,50,3,153,0,0,0,0,11,0,13,0,0,6,11,61,0,76,0,0,0,8,53,8,79,33,29,167,205,753,55,1242
UCL315044,17,45,23,29,4,122,5,5,33,56,62,4,170,0,0,3,6,6,0,12,0,3,3,8,46,3,57,0,0,10,3,26,7,43,21,35,159,219,697,66,1199
UCL315045,3,16,8,10,0,37,0,0,11,7,21,6,50,0,0,0,0,3,0,4,0,0,0,7,15,0,16,0,0,3,3,5,3,21,4,7,80,47,211,42,390
UCL315046,3,11,9,12,0,37,0,0,13,18,35,5,76,0,0,0,0,0,0,0,0,0,0,3,27,0,35,0,0,0,3,7,0,11,7,8,37,67,293,22,423
UCL315047,7,9,8,15,0,36,3,0,6,17,23,5,62,0,0,0,0,4,0,5,0,0,0,0,15,0,17,0,0,0,3,14,0,21,11,7,36,62,210,25,346
UCL315048,9,44,15,16,0,96,17,15,38,18,26,5,111,5,0,3,4,6,3,24,0,0,0,3,11,0,15,0,0,0,6,18,3,27,52,31,159,127,274,38,674
UCL315049,5,23,8,28,3,69,3,0,9,29,48,3,91,0,0,0,0,3,0,9,0,0,0,3,14,0,17,0,0,0,3,9,3,18,16,12,81,90,331,38,567
UCL315050,9,45,17,28,3,117,4,4,37,45,47,6,146,0,0,0,0,9,3,20,0,0,0,4,35,0,44,0,4,0,4,15,7,40,26,28,156,182,549,59,1007
UCL315051,0,16,12,19,0,55,9,0,25,27,21,3,80,0,0,0,3,5,0,4,0,0,0,4,38,3,42,0,0,0,4,22,16,39,20,12,95,102,402,42,672
UCL315052,19,64,9,31,5,133,9,20,64,36,36,6,175,0,0,3,4,7,0,12,0,3,3,4,37,3,46,0,0,10,0,16,7,34,42,46,210,127,376,53,855
UCL315053,0,20,5,22,0,61,5,3,16,14,53,3,94,0,0,0,0,0,3,7,0,0,0,5,24,0,39,0,0,0,3,23,4,30,16,9,57,106,449,48,678
UCL315054,6,18,4,3,0,29,0,0,12,17,28,0,65,0,0,3,0,0,0,6,0,0,3,4,5,0,15,0,0,3,9,10,4,22,17,13,69,84,187,21,390
UCL315055,10,16,4,20,0,60,4,0,20,16,31,0,75,0,0,3,0,0,0,3,0,0,0,0,14,0,14,0,0,0,0,10,3,8,16,11,71,62,225,11,395
UCL315056,15,46,22,10,3,119,26,3,53,42,28,4,158,0,0,3,5,3,0,18,7,0,3,3,20,0,25,3,0,7,4,12,3,32,73,46,196,136,230,18,709
UCL315057,4,23,12,23,0,60,3,3,14,15,18,6,61,0,0,0,0,3,0,9,0,0,0,3,38,0,44,0,0,0,0,8,3,13,9,20,78,69,452,31,654
UCL315058,9,37,10,11,0,70,7,6,33,15,27,4,83,0,0,3,0,8,0,4,0,0,3,3,15,0,20,0,0,0,4,4,3,14,15,14,137,82,212,25,480
UCL315059,8,40,15,19,0,82,10,7,28,21,44,7,120,0,0,0,0,0,0,0,0,0,5,4,29,0,34,0,0,3,3,16,4,28,25,18,114,130,431,22,747
UCL315060,13,26,7,13,0,58,0,0,9,4,9,0,23,0,0,0,0,0,0,0,0,0,0,3,12,0,20,0,0,0,0,3,0,3,18,21,96,60,332,28,552
UCL315061,0,26,6,6,0,36,0,0,10,6,14,0,34,0,0,0,0,0,0,3,0,0,4,0,3,0,10,0,0,0,0,8,0,12,0,0,54,54,147,15,273
UCL315062,3,10,3,7,0,28,0,0,14,8,27,3,54,0,0,0,3,0,0,3,0,0,0,0,14,0,13,0,0,0,0,6,5,17,7,3,64,36,193,26,332
UCL315063,4,13,6,8,0,42,0,3,11,10,10,0,35,0,0,0,0,0,0,4,0,0,0,0,10,0,8,0,0,0,0,6,3,8,9,13,35,27,117,8,207
UCL315064,12,39,16,27,0,98,7,10,44,51,46,8,165,0,0,3,3,9,0,13,0,0,3,6,34,0,49,0,0,0,11,21,0,30,30,30,188,198,446,36,927
UCL315065,10,14,8,3,0,39,3,0,20,26,31,4,75,0,0,0,0,0,0,3,0,0,0,3,3,0,12,0,0,0,0,4,0,4,16,22,65,76,192,22,397
UCL315066,4,26,4,9,0,50,0,0,16,7,21,3,45,0,0,5,0,7,0,8,3,0,0,3,16,0,25,0,0,0,5,13,5,29,12,13,68,58,233,33,418
UCL315067,0,14,3,11,0,38,0,0,18,25,30,0,77,0,0,0,0,0,0,0,0,0,0,3,6,0,9,0,0,0,3,12,5,14,0,3,52,62,193,12,321
UCL315068,0,27,3,8,3,46,0,0,9,7,8,0,21,0,0,0,0,4,0,5,0,0,0,6,13,0,18,0,0,0,0,11,5,17,9,4,84,47,224,19,395
UCL315069,3,12,3,3,0,27,0,0,16,8,16,0,35,0,0,0,0,0,0,0,0,0,0,0,10,0,13,0,0,0,0,3,0,9,3,7,50,38,147,10,253
UCL315070,4,11,6,11,0,29,0,0,11,11,4,0,28,0,0,0,4,0,0,4,0,0,3,0,3,0,8,3,0,0,0,6,6,13,9,7,68,44,102,33,261
UCL315071,13,28,3,16,0,67,3,0,26,29,30,5,104,0,0,0,0,0,0,0,0,0,0,5,13,0,22,0,0,0,3,9,5,14,12,16,77,65,186,19,376
UCL315072,3,35,4,16,0,76,4,4,19,20,37,4,92,0,0,0,0,3,0,3,0,0,0,3,14,0,22,0,0,3,3,8,3,14,17,8,100,70,269,32,494
UCL315073,3,17,0,3,0,38,4,0,13,8,14,0,40,0,0,3,0,0,0,6,0,0,0,0,8,0,11,0,0,3,7,4,0,16,38,10,73,43,130,18,311
UCL315074,5,21,14,28,0,72,3,0,19,30,59,8,124,0,0,0,0,4,0,3,0,0,0,5,31,0,43,0,0,0,6,12,11,37,17,5,91,130,548,81,874
UCL315075,12,24,3,23,8,70,6,4,16,9,40,8,78,0,0,0,0,0,0,0,0,0,0,3,15,3,23,0,0,0,0,3,0,7,13,9,46,32,151,19,271
UCL315076,30,71,15,29,3,165,11,13,79,52,54,10,224,0,0,4,3,7,0,17,0,0,3,10,42,0,63,0,0,7,7,12,6,28,42,47,273,227,583,35,1216
UCL315077,7,32,7,12,0,71,0,0,28,10,35,3,75,0,0,0,0,3,0,5,0,0,3,7,28,0,43,0,0,0,0,10,3,20,8,17,113,90,410,33,667
UCL315078,6,37,8,13,0,68,11,3,29,26,29,0,97,0,0,0,4,0,0,4,0,0,0,3,17,0,21,0,0,3,6,13,0,22,21,18,111,100,226,16,494
UCL315079,6,23,10,6,0,57,8,8,25,20,28,4,90,3,3,5,0,9,0,32,0,0,4,6,39,0,57,0,3,5,14,31,7,59,72,43,357,295,608,79,1453
UCL315080,10,41,9,28,7,107,3,6,18,24,50,7,108,0,0,3,3,4,0,12,0,0,3,3,35,4,42,0,0,4,4,25,10,37,8,19,114,117,490,51,800
UCL315081,6,9,4,4,0,24,3,0,5,3,3,0,13,0,0,7,0,5,0,14,0,0,0,4,8,0,13,0,0,0,3,3,0,6,12,7,38,45,135,19,258
UCL315082,0,21,9,14,0,49,5,7,12,10,12,0,50,0,0,0,0,0,0,0,0,0,3,3,15,0,17,0,0,0,0,11,3,14,9,10,50,49,213,11,343
UCL315083,4,4,3,10,0,27,4,3,13,11,41,3,77,0,0,0,0,0,0,3,0,0,0,0,8,3,9,0,0,0,0,12,0,15,15,11,34,50,192,18,318
UCL315084,5,15,12,10,0,41,5,3,18,25,47,0,96,0,0,0,3,0,0,6,0,0,0,4,16,0,17,0,0,0,3,10,6,22,15,17,56,102,256,21,462
UCL315085,3,7,7,16,3,37,0,0,17,13,47,3,87,0,0,3,0,4,0,6,0,0,0,0,9,0,8,0,0,0,5,7,4,18,11,10,61,62,221,41,403
UCL315086,11,54,14,22,3,109,13,7,47,19,17,0,108,0,0,6,0,3,0,15,0,0,0,3,14,3,23,3,0,12,0,8,0,22,79,38,282,141,227,23,793
UCL315087,6,20,4,21,3,57,0,0,7,19,36,0,61,0,0,0,0,3,0,3,0,0,0,0,30,3,40,0,0,3,4,18,7,32,15,11,56,82,442,52,659
UCL315088,14,34,12,16,4,86,13,7,49,26,27,7,124,0,0,0,0,0,0,0,0,0,0,3,38,0,45,0,0,0,3,10,6,20,26,23,133,116,295,43,635
UCL315089,9,58,15,24,5,125,9,3,48,47,61,5,184,0,0,0,3,8,0,7,0,0,8,8,49,3,64,0,0,3,6,17,9,31,37,20,207,155,486,59,969
UCL315090,11,58,18,29,4,137,21,7,61,39,55,22,206,0,0,0,0,0,0,3,0,0,0,0,16,3,18,0,0,0,7,16,23,41,59,33,178,119,320,92,805
UCL315091,0,10,4,6,0,22,0,0,7,7,4,0,16,0,0,0,0,0,0,0,0,0,0,0,7,0,12,0,0,0,0,4,0,3,10,11,55,56,189,12,329
UCL315092,3,16,0,3,0,29,0,3,6,9,18,0,30,0,0,0,0,3,0,3,0,0,0,0,9,0,6,0,0,0,0,5,3,11,7,10,40,38,129,11,232
UCL315093,7,13,0,9,0,28,0,0,8,0,9,3,22,0,0,0,0,0,0,4,0,0,0,4,5,0,12,0,0,0,0,0,5,7,5,5,37,20,78,17,157
UCL315094,0,21,10,6,0,37,3,0,24,21,30,8,82,0,0,0,0,3,0,3,0,0,0,0,10,3,15,0,0,0,0,0,3,5,11,5,65,84,185,19,367
UCL315095,8,22,4,11,0,49,0,0,14,11,19,0,44,0,0,0,0,0,0,0,0,0,7,0,24,0,29,0,0,0,0,7,9,15,14,14,107,66,227,36,465
UCL315096,3,31,17,19,0,70,0,4,37,20,37,3,98,0,0,3,0,0,0,3,0,0,5,3,74,7,94,0,0,4,4,22,0,28,9,14,141,111,646,36,959
UCL315097,3,13,3,16,0,41,0,5,11,17,17,3,59,0,0,0,0,0,0,0,0,0,0,3,16,0,19,0,0,0,3,6,0,10,0,5,56,65,228,14,370
UCL315098,16,77,15,30,3,153,16,10,49,31,23,8,136,0,0,0,0,4,0,5,0,0,6,3,28,3,36,3,0,6,3,20,12,41,57,43,261,174,836,64,1439
UCL315099,13,57,24,22,4,135,10,5,68,39,57,0,179,0,0,0,0,6,0,11,3,0,3,12,59,0,76,0,0,3,5,18,6,32,35,18,222,174,618,26,1102
UCL315100,3,8,6,14,0,30,3,5,11,14,22,7,50,0,0,0,0,5,0,3,0,0,3,4,19,0,24,0,0,0,0,9,3,11,5,10,39,66,225,26,368
UCL315101,4,25,10,20,3,74,0,3,25,22,16,0,73,0,0,0,0,3,0,10,0,0,3,3,21,0,24,0,0,0,4,11,3,19,31,12,120,97,265,15,538
UCL315102,3,25,3,12,0,48,3,3,19,19,28,6,81,0,0,0,0,0,0,3,0,0,0,0,11,0,13,0,0,0,0,9,3,14,12,12,65,52,187,22,344
UCL315103,3,23,0,4,0,37,0,0,13,3,5,0,28,0,0,3,0,0,0,5,0,0,0,0,0,0,10,0,0,0,4,8,3,15,19,11,90,58,134,19,327
UCL315104,7,15,6,8,3,40,4,5,5,16,22,3,53,0,0,0,4,7,0,11,0,0,0,3,18,0,24,0,0,3,4,11,3,25,13,10,44,75,258,31,436
UCL315105,3,4,7,0,0,14,0,0,4,3,3,0,10,0,0,0,0,0,0,0,0,0,0,3,11,0,11,0,0,0,3,8,0,11,6,3,21,36,75,14,155
UCL315106,4,12,6,12,0,33,3,5,18,17,24,3,71,0,0,0,3,7,0,6,0,0,0,4,22,0,24,0,0,0,3,12,3,23,8,12,45,57,253,16,390
UCL315107,5,21,9,10,3,45,6,3,22,19,42,7,98,0,0,3,0,4,0,7,0,0,3,4,11,0,18,0,0,0,3,13,6,25,18,13,83,75,256,40,485
UCL315108,3,18,7,20,3,45,0,0,5,22,23,6,67,0,0,0,0,0,0,0,0,0,4,3,17,3,34,0,0,0,0,7,0,6,3,10,34,37,120,26,228
UCL315109,6,63,20,26,3,127,6,7,44,47,61,6,166,0,0,3,9,3,0,20,0,0,6,13,53,0,75,3,0,3,11,35,3,53,38,24,206,216,637,55,1178
UCL315110,3,24,8,8,0,54,6,3,24,17,17,0,60,0,0,3,0,0,0,0,0,0,0,0,8,0,10,3,0,0,3,3,0,11,28,14,90,55,127,10,319
UCL321001,4,20,7,3,0,38,0,0,4,6,3,0,19,0,0,0,0,0,0,5,0,0,0,0,6,0,11,0,0,0,0,3,0,6,15,8,45,51,107,14,244
UCL321002,0,0,3,12,0,17,0,3,6,3,20,0,25,0,0,0,0,0,0,0,0,0,0,0,8,0,10,0,0,0,0,0,0,0,0,3,8,11,74,6,100
UCL321003,0,7,7,3,3,16,3,0,10,11,15,0,34,0,0,0,0,0,0,4,0,0,4,0,11,0,15,0,0,0,0,3,3,6,6,0,28,30,93,15,171
UCL321004,0,4,3,4,0,12,3,4,0,3,8,0,19,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,3,3,6,5,14,18,53,6,110
UCL321005,3,12,3,3,0,18,0,0,5,0,4,0,12,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,6,3,0,4,23,20,109,11,170
UCL321006,4,8,3,15,0,25,3,0,8,4,17,7,46,0,0,0,0,0,0,0,0,0,0,3,12,0,17,0,0,0,0,5,3,9,4,4,35,27,129,23,221
UCL321007,0,14,0,0,0,16,0,0,4,6,13,3,28,0,0,0,0,3,0,4,0,0,0,0,8,0,10,0,0,0,0,3,0,3,3,3,20,12,66,11,116
UCL321008,0,4,3,4,0,14,0,3,10,9,12,0,37,0,0,0,0,4,0,4,0,0,0,0,19,0,19,0,0,0,0,13,3,13,3,5,35,27,192,16,283
UCL321009,3,6,0,4,0,22,0,0,4,5,7,3,18,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,3,3,9,4,3,23,16,82,16,148
UCL321010,5,29,5,14,0,46,0,0,24,11,19,0,57,0,0,0,0,4,0,3,0,0,3,3,13,0,23,0,0,3,0,5,3,9,16,8,97,53,171,16,361
UCL321011,3,7,0,3,0,23,3,0,8,3,4,0,24,0,0,0,4,0,0,4,0,0,5,0,3,0,7,0,0,0,0,3,0,8,12,3,42,27,95,9,189
UCL321012,0,18,4,8,0,35,0,0,10,8,20,3,43,0,0,3,0,0,0,3,0,0,0,0,11,0,11,0,0,0,0,6,6,12,0,3,47,39,141,18,245
UCL321013,3,10,3,8,0,29,0,0,4,8,6,0,13,0,0,0,0,0,0,0,0,0,0,0,6,0,12,0,0,0,0,3,4,6,4,3,21,44,131,15,228
UCL321014,0,7,0,3,0,11,0,0,3,4,6,0,14,0,0,0,0,0,0,0,0,0,0,0,9,0,5,0,0,0,0,3,0,3,5,0,15,8,56,5,83
UCL321015,0,17,4,0,0,31,0,3,16,11,6,0,35,0,0,0,0,0,0,0,0,0,0,3,5,0,9,0,0,0,0,0,5,9,11,8,40,46,84,11,195
UCL321016,0,5,0,11,3,21,0,0,7,3,11,0,28,0,0,3,0,0,0,3,0,0,0,0,15,0,18,0,0,0,0,19,0,20,4,3,34,29,167,8,252
UCL321017,4,14,3,7,0,28,3,5,11,17,17,0,51,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,7,0,9,6,13,40,37,112,16,225
UCL321018,0,4,0,3,0,11,0,0,0,3,3,0,11,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,3,4,0,11,8,58,4,81
UCL321019,11,36,3,8,0,87,5,6,17,11,6,3,51,0,0,0,0,0,0,0,0,0,0,4,4,0,11,0,0,3,0,0,0,8,37,31,130,58,81,16,356
UCL321020,3,6,0,7,0,23,0,0,7,11,3,0,23,0,0,0,0,0,0,0,0,0,0,0,15,0,10,0,0,0,0,4,0,3,3,10,32,25,112,6,187
UCL321021,0,16,5,5,0,27,8,0,12,11,16,0,46,0,0,0,0,3,0,4,0,0,3,3,6,3,11,0,0,0,0,8,3,16,12,7,44,50,169,18,298
UCL321022,0,8,0,8,0,24,5,0,11,7,21,3,39,0,0,0,0,0,0,0,0,0,0,0,9,0,6,0,0,0,0,8,0,9,4,4,29,26,112,15,193
UCL321023,0,13,5,3,0,17,0,0,7,7,12,3,34,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,9,0,10,3,3,22,32,100,13,168
UCL321024,0,12,7,3,0,21,0,0,14,4,8,0,29,0,0,0,0,0,0,0,0,0,0,0,13,3,16,0,0,0,0,5,0,8,13,3,45,39,100,10,211
UCL321025,0,10,3,4,0,15,0,0,3,5,11,0,16,0,0,0,0,0,0,0,0,0,0,0,7,0,11,0,0,0,0,9,0,9,3,0,29,23,108,7,169
UCL321026,3,3,0,3,0,20,0,0,5,3,9,0,16,0,0,0,0,0,0,0,0,0,0,0,9,0,7,0,0,0,0,3,3,11,4,8,24,8,91,15,142
UCL321027,3,5,0,0,0,11,0,0,7,13,15,0,31,0,0,0,0,3,0,8,0,0,0,0,4,0,10,0,0,0,7,3,3,11,3,5,28,51,126,11,220
UCL321028,0,24,5,4,0,40,0,4,7,0,6,0,15,0,0,0,0,0,0,4,0,0,0,3,11,0,16,0,0,0,0,3,0,10,3,7,46,34,170,16,273
UCL321029,0,7,3,3,0,19,0,3,6,6,15,6,39,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,3,3,8,8,15,31,23,72,21,170
UCL321030,0,4,0,0,0,7,0,0,0,3,6,0,17,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,3,0,6,0,0,8,19,74,13,118
UCL321031,3,17,3,8,0,32,0,0,15,17,14,0,50,0,0,0,0,5,0,10,0,0,0,3,8,0,10,0,0,0,0,7,3,10,6,13,45,48,121,14,250
UCL321032,7,21,12,7,0,49,4,0,27,22,26,3,80,0,0,3,0,8,0,8,0,0,0,7,23,5,33,0,0,0,3,17,4,24,16,15,92,95,288,20,529
UCL321033,0,6,0,0,0,16,0,0,7,9,6,0,23,0,0,0,0,3,0,3,0,0,0,0,0,0,4,0,0,0,0,4,0,11,4,3,31,27,85,16,162
UCL321034,3,16,4,3,3,28,3,3,3,14,13,3,41,0,0,0,0,0,0,0,0,0,0,0,13,0,13,0,0,0,0,8,0,8,4,6,29,43,115,18,222
