UCL_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
UCL113002,31,74,32,35,5,194,18,12,96,83,190,15,413,0,0,3,4,14,3,32,6,0,10,12,83,4,116,3,0,9,11,46,30,93,63,57,359,327,1226,151,2179
UCL113003,40,221,66,106,10,491,71,61,261,203,357,40,992,0,0,4,6,25,0,32,0,3,7,18,159,7,193,3,6,6,11,59,25,106,158,151,709,587,2252,238,4100
UCL113004,23,100,23,15,0,163,12,16,74,49,64,7,221,0,0,7,4,8,3,28,0,0,3,8,35,0,50,0,0,3,3,29,9,55,46,57,353,235,679,72,1446
UCL113005,47,211,66,79,7,451,41,29,211,166,338,36,832,0,0,11,8,25,3,49,0,0,11,32,140,9,197,3,0,11,13,62,23,114,128,111,724,646,2008,240,3852
UCL113006,34,167,55,86,21,380,34,28,198,152,368,26,810,0,0,3,7,26,3,44,3,3,18,26,148,3,199,0,4,0,10,63,21,93,114,87,655,533,1964,195,3536
UCL113007,54,233,74,76,10,489,35,33,235,167,243,26,733,0,0,6,7,21,3,40,4,0,11,22,211,15,262,9,8,18,22,92,44,192,198,128,1065,731,2428,324,4875
UCL113008,17,76,24,60,4,183,20,7,97,86,225,18,461,0,0,3,0,5,0,13,0,0,5,9,60,7,86,0,0,3,0,33,26,67,34,39,264,233,1088,116,1774
UCL113009,83,317,79,82,7,698,109,46,272,149,158,25,757,4,0,20,18,20,3,64,6,4,17,21,102,6,159,3,0,28,21,62,11,123,361,209,1199,786,1667,125,4341
UCL113010,22,102,41,93,6,287,16,10,112,156,319,22,637,0,0,0,3,25,0,27,3,0,8,21,206,10,252,3,0,4,11,113,28,159,67,47,387,504,2531,178,3717
UCL113011,22,80,39,57,3,223,14,16,106,76,156,13,382,0,0,6,3,20,0,28,0,3,8,12,93,3,118,0,0,9,10,54,19,98,84,60,375,362,1488,124,2492
