UCL_CODE_2016,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_Resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_Resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_Resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_Resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_Resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_Resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_Resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_Resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_Resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_Resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_Resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_Resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_Resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_Resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_Resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_Resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_Resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_Resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_Resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_Resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_Resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_Resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_Resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_Resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_Resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_Resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_Resp,Turkish_BP_B_OS,Turkish_FO_B_OS,Turkish_MO_B_OS,Turkish_BP_B_Aus,Turkish_BP_NS,Turkish_Tot_Resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_Resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_Resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_Resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_Resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_Resp
UCL112003,171,1444,963,7644,157,10385,0,17,3,129,0,145,353,23,33,57,12,481,81,16,12,41,0,152,279,111,62,146,5,603,2720,1455,986,7522,179,12864,121,3,19,8,4,153,137,38,19,90,4,284,526,169,120,740,20,1572,124,42,29,83,0,278,155,24,16,35,0,224,139,17,9,10,0,181,717,436,291,3444,63,4949,300,104,55,325,19,799,70,0,4,3,0,73,60,23,3,29,0,114,7,0,4,0,0,10,99,36,18,73,0,233,40,14,8,13,0,70,120,73,37,31,3,265,213,38,30,68,0,348,96,22,12,45,3,175,732,400,265,2355,45,3803,19,12,3,0,0,40,46,16,14,4,0,70,115,8,4,26,0,149,29,9,0,3,0,40,15,3,3,0,0,22,85,8,4,5,0,101,112,35,24,150,3,330,1341,360,194,406,15,2314,51,18,11,131,1611,1824,7048,2797,1836,15613,2015,29319
UCL112004,117,938,600,5868,132,7653,0,4,0,33,3,40,151,11,15,39,0,215,55,17,12,12,0,97,183,56,28,75,4,353,1953,954,652,5944,149,9657,57,10,18,0,0,81,69,21,8,56,0,154,261,68,55,498,14,904,112,27,18,69,4,222,55,9,5,10,0,79,158,4,3,0,0,164,399,228,152,2328,51,3160,225,94,32,289,11,647,29,0,3,3,0,35,50,19,4,19,0,93,23,0,0,9,0,26,47,16,12,39,0,115,14,5,5,5,3,30,70,36,23,17,3,142,104,16,14,43,0,172,48,7,10,16,0,76,516,270,201,1814,43,2836,24,0,0,0,0,29,66,3,9,14,0,99,48,6,6,19,0,75,11,0,3,4,0,24,14,0,5,3,0,21,30,0,3,4,0,43,87,18,15,79,4,195,818,176,125,271,6,1399,23,8,7,115,1172,1326,4647,1761,1182,12300,1505,21394
UCL112005,57,578,396,8773,202,10010,0,3,0,117,3,120,62,4,9,30,0,109,6,4,0,3,0,19,50,34,26,61,0,174,608,516,353,7385,178,9038,66,3,26,7,0,106,20,8,6,45,4,78,90,45,33,628,12,814,11,9,0,35,0,59,15,3,0,17,0,34,53,7,0,7,3,73,126,94,51,1735,44,2048,42,28,3,176,7,251,3,0,0,0,0,3,18,0,5,18,0,38,0,0,0,0,0,3,10,6,3,23,4,49,37,11,12,21,0,87,42,28,24,31,0,135,22,11,4,40,3,79,14,4,7,19,0,36,259,197,135,2078,36,2702,3,0,0,0,0,3,17,3,0,10,0,32,22,0,0,34,0,53,7,0,0,0,0,5,3,0,0,0,0,7,4,0,0,0,0,4,19,13,5,120,3,168,264,61,37,177,9,543,10,7,3,220,2130,2387,1568,1018,667,15929,2546,21725
UCL112006,187,1632,1122,16004,316,19267,0,16,7,336,10,370,245,35,39,106,6,421,50,11,5,17,0,85,290,100,60,195,3,652,2742,1528,1042,14345,352,20006,210,9,51,18,5,291,103,17,9,122,0,257,412,142,101,1411,34,2091,64,30,4,80,0,189,82,13,9,23,0,120,389,19,20,21,4,452,613,337,205,5024,82,6258,299,127,50,629,14,1127,16,0,0,6,0,25,28,11,6,35,0,75,17,3,0,11,0,26,59,23,26,52,4,165,103,32,15,14,0,172,169,94,61,40,3,369,126,22,15,65,4,230,63,11,5,18,3,96,646,392,280,3783,62,5170,13,0,3,4,0,21,99,16,11,11,0,130,117,11,17,67,3,208,24,0,0,3,0,28,15,10,0,3,0,30,49,3,0,0,0,55,104,33,20,153,3,312,2315,324,236,472,47,3397,109,38,16,378,3230,3769,8025,2944,2011,31256,3986,48225
UCL112007,77,663,458,14750,248,16203,3,12,5,516,13,549,271,15,16,101,4,408,11,5,3,9,0,23,113,48,35,146,0,342,626,602,442,11378,252,13295,187,4,39,5,9,240,34,9,6,93,0,144,97,58,40,936,8,1142,52,13,13,76,0,155,14,3,0,7,0,26,432,6,11,15,3,466,169,161,110,3861,59,4364,81,49,17,295,4,447,53,3,0,0,0,56,37,9,3,35,3,86,0,3,0,0,0,0,17,12,6,38,0,69,59,15,15,20,0,111,49,31,16,33,4,137,36,9,9,48,0,109,26,3,3,11,0,38,176,182,119,2625,37,3132,3,0,3,4,0,16,35,7,3,8,0,55,15,4,0,33,7,55,99,7,6,0,0,109,7,4,0,0,0,7,55,0,3,0,4,63,28,11,8,72,0,116,1004,114,68,254,25,1467,36,8,8,352,2155,2559,3377,1209,865,26187,2700,34339
UCL112008,68,560,414,8320,179,9535,0,0,0,71,4,81,120,0,9,57,0,186,23,8,3,7,0,34,75,23,23,58,0,179,712,537,358,7353,212,9171,126,0,26,4,0,167,31,10,0,53,0,97,109,60,35,511,7,722,60,15,9,68,0,157,19,11,8,14,0,46,140,3,3,12,0,154,158,158,85,2563,55,3017,87,34,15,161,8,303,67,0,0,3,0,70,15,10,0,11,0,35,9,0,0,0,0,12,17,8,5,27,0,56,44,12,6,5,0,59,47,21,19,18,0,101,40,14,6,27,0,90,18,0,5,9,0,33,209,156,91,1663,34,2146,0,0,0,3,0,4,8,6,17,4,0,35,32,4,0,16,3,50,17,0,0,3,0,19,12,0,0,0,0,12,3,0,0,0,0,3,31,13,12,86,0,147,581,96,61,155,7,902,41,7,12,227,1907,2192,2436,1033,696,15955,2299,22419
UCL112009,98,826,552,9781,187,11447,0,10,11,302,3,332,131,9,10,60,0,204,14,3,0,0,0,22,109,43,31,78,3,262,1058,798,515,8949,159,11486,119,6,53,12,5,197,58,8,8,82,0,155,167,89,49,905,17,1226,29,15,3,44,0,91,33,8,3,7,0,48,117,9,11,24,0,163,227,237,106,3572,51,4198,291,140,37,733,13,1206,25,0,7,0,0,32,3,4,0,40,0,49,3,0,0,0,0,3,21,11,4,42,0,83,58,15,19,32,0,117,59,49,33,22,3,161,46,14,7,34,0,92,16,6,0,18,0,37,285,209,151,2518,26,3193,4,0,0,0,0,6,41,4,6,12,0,65,33,0,3,21,0,60,12,0,0,0,0,12,0,0,0,0,0,3,40,0,8,0,7,55,34,7,13,99,0,153,640,191,119,358,18,1324,40,15,12,219,1996,2293,3007,1586,1021,19574,2378,27569
UCL112010,5,29,36,936,11,1010,0,0,0,23,0,19,3,0,0,0,0,3,8,0,0,0,0,12,8,0,4,8,0,25,65,34,33,676,11,819,0,0,0,0,0,0,0,0,0,8,0,10,10,9,0,93,0,112,7,4,0,5,0,9,3,0,0,0,0,4,5,0,0,0,0,5,9,15,10,159,6,191,55,12,0,56,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,10,0,0,0,0,0,3,4,0,0,3,0,6,0,0,0,0,0,6,0,0,0,0,0,0,11,13,12,195,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,10,22,3,3,15,3,54,3,0,0,34,116,156,202,80,55,1667,144,2154
UCL112011,131,1110,811,11322,242,13614,0,17,3,360,13,397,186,10,18,63,8,284,37,16,9,18,4,87,194,60,47,132,0,428,1752,1085,806,8947,251,12833,167,12,47,9,0,238,38,16,13,55,3,120,257,96,60,745,28,1185,66,16,12,113,0,203,56,8,6,17,0,89,181,9,3,13,0,217,268,212,127,2699,55,3366,147,70,28,291,14,545,27,4,0,3,0,35,19,5,0,21,0,54,17,0,3,3,0,27,61,14,6,59,7,149,49,23,6,17,0,100,67,63,30,30,4,197,84,28,5,35,0,148,28,3,8,11,4,56,405,244,186,1952,50,2830,13,0,0,7,0,23,38,6,6,0,0,51,57,4,5,33,0,104,27,4,0,4,0,35,9,4,0,3,0,13,31,10,0,0,0,45,80,17,15,86,4,197,781,183,127,281,26,1397,49,16,8,204,2705,2988,4402,1974,1390,19844,3243,30853
UCL112012,83,940,589,13986,322,15920,0,7,3,261,4,273,285,19,12,95,4,409,54,28,0,24,0,101,183,61,38,157,3,446,1064,951,634,12447,300,15402,188,10,34,8,6,240,30,14,10,94,0,144,198,86,57,1060,27,1429,70,18,7,46,0,139,44,7,6,24,3,77,497,17,3,11,5,537,247,200,161,4438,73,5117,238,86,39,458,13,828,74,4,0,8,0,84,29,9,7,30,0,73,14,5,3,0,0,25,17,13,11,41,0,97,55,27,7,19,9,120,74,40,37,46,3,195,104,9,22,66,3,196,80,18,17,35,0,148,313,239,157,2915,53,3674,26,9,6,8,0,43,84,3,7,3,3,101,45,6,4,26,0,79,42,3,0,3,0,50,24,3,0,0,0,21,40,0,8,3,0,49,41,13,17,143,13,222,1128,189,101,366,14,1803,47,22,9,341,2112,2529,4529,1806,1146,26918,2788,37182
