UCL_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
UCL115158,1022,203,30,56,14,1327,236,99,25,65,4,426,54,17,12,11,5,97,1316,315,64,123,23,1843
UCL115159,389,7,3,3,0,400,75,4,0,3,0,79,14,0,0,0,0,14,474,16,3,3,0,501
UCL115160,265,36,0,54,0,362,31,7,0,44,0,81,12,3,0,5,0,20,306,47,0,98,0,456
UCL115161,251,5,14,0,3,280,82,0,7,0,0,89,12,0,3,0,0,11,346,5,29,0,3,383
UCL121001,216,3,3,3,0,221,84,0,13,0,0,96,16,0,5,0,0,20,309,3,15,6,3,333
UCL121002,157,0,0,3,0,162,84,0,4,3,0,97,9,0,0,0,0,7,248,3,11,9,0,267
UCL121003,217,0,0,20,0,236,41,0,0,0,0,41,3,0,0,0,0,3,256,0,0,20,0,275
UCL121004,162,0,0,0,4,163,50,0,0,0,0,50,3,0,0,0,0,3,214,0,0,0,4,217
UCL121005,152,0,0,0,0,152,12,0,0,0,0,12,3,0,0,0,0,3,161,0,0,0,0,164
UCL121006,163,0,0,13,0,170,42,0,0,13,0,52,8,0,0,0,0,6,208,0,0,20,0,227
UCL121007,249,31,9,0,0,291,55,7,0,0,0,66,14,0,0,0,0,15,324,39,9,0,0,372
UCL121008,240,0,10,4,0,260,90,0,11,0,0,106,13,0,0,0,0,14,348,0,24,7,0,381
UCL121009,89,0,0,0,0,93,69,0,3,0,0,78,0,0,0,0,0,0,157,0,8,0,0,164
UCL121010,185,0,6,3,3,200,98,0,11,3,0,111,12,0,3,0,0,9,293,0,16,7,3,320
UCL121011,229,4,0,0,0,232,97,13,3,0,0,109,21,0,0,0,0,23,342,16,0,3,0,363
UCL121012,246,0,0,0,0,247,18,0,0,0,0,18,9,0,0,0,0,9,269,0,0,0,0,275
UCL121013,116,0,15,0,0,138,101,3,22,0,0,120,22,0,3,3,0,28,240,5,36,4,0,281
UCL121014,204,0,11,3,4,224,22,0,3,0,3,21,11,0,4,0,13,23,234,0,20,3,12,269
UCL121015,155,3,0,4,0,161,22,0,0,0,0,29,3,0,0,0,0,3,180,3,0,8,0,192
UCL121016,239,0,3,0,0,247,61,3,3,0,0,62,4,0,0,3,0,6,303,4,7,6,0,315
UCL121017,195,0,0,0,0,195,18,0,0,0,0,18,0,0,0,0,0,0,216,0,0,0,0,216
UCL121018,163,0,0,0,3,166,15,0,0,0,0,15,10,0,0,0,0,10,182,0,0,0,3,184
UCL121019,150,0,8,5,0,167,53,0,17,5,0,77,11,0,3,0,0,8,211,0,28,9,0,255
UCL121020,192,0,6,0,6,204,74,0,5,0,0,80,10,0,0,0,0,11,275,0,10,0,7,295
UCL121021,159,0,0,0,0,161,52,0,0,0,0,56,5,0,0,0,0,5,218,0,0,0,3,220
UCL121022,245,0,5,0,3,256,95,4,0,0,4,110,15,0,0,0,0,15,357,10,5,0,6,375
UCL121023,146,0,0,0,0,146,35,0,0,0,0,35,3,0,0,0,0,3,188,0,0,0,0,188
UCL121024,183,3,0,0,0,185,13,0,0,0,0,13,3,0,0,0,0,3,198,3,0,0,0,204
UCL121025,226,26,15,0,24,293,50,17,3,0,8,80,15,7,0,0,0,20,287,51,25,0,31,395
UCL121026,112,46,3,0,0,165,10,10,0,0,0,22,3,0,0,0,0,3,129,54,3,0,0,187
UCL121027,257,13,0,0,4,269,16,0,0,0,0,16,3,0,0,0,0,3,276,13,0,0,4,293
UCL121028,202,0,0,0,0,202,59,0,0,0,0,59,6,0,0,0,0,6,267,0,0,0,0,268
UCL121029,156,0,0,3,3,167,44,0,0,0,0,44,8,0,0,0,0,8,210,0,0,3,3,216
UCL121030,95,10,0,0,0,111,61,7,0,0,0,69,3,0,0,0,0,7,161,17,4,0,0,183
UCL121031,224,0,3,3,0,238,101,0,5,0,0,103,6,0,0,0,0,6,331,3,7,6,0,349
UCL121032,265,25,11,3,0,300,20,5,3,0,0,33,7,0,0,0,0,7,292,33,14,3,0,336
UCL121033,182,0,7,0,4,191,92,0,4,0,0,99,6,0,0,0,0,3,281,0,12,0,4,298
UCL121034,174,3,5,0,8,196,7,0,0,0,0,7,0,0,3,0,0,3,186,3,8,0,8,204
UCL121035,240,0,0,0,0,238,53,0,0,0,0,53,8,0,0,0,0,8,298,0,0,0,0,298
UCL121036,267,0,0,0,0,267,25,0,0,0,0,25,3,0,0,0,0,4,298,0,0,0,3,296
UCL121037,225,0,0,3,0,226,49,0,0,0,0,49,7,0,0,0,0,11,286,0,0,6,0,294
UCL121038,131,0,0,4,0,138,54,3,0,0,0,56,5,0,0,0,0,8,196,3,0,9,0,203
UCL121039,101,3,3,0,0,111,41,0,0,4,0,47,5,0,0,0,0,4,148,6,5,7,0,158
UCL121040,160,3,0,10,0,173,0,0,0,0,0,4,4,0,0,0,0,7,165,3,0,13,0,182
UCL121041,155,0,0,0,0,155,7,0,0,0,0,7,3,0,0,0,0,3,164,0,0,0,0,164
UCL121042,159,0,0,0,0,161,50,0,0,0,0,50,12,0,0,0,0,12,223,0,0,0,0,223
UCL121043,155,16,11,10,0,189,20,0,4,3,0,29,3,0,0,0,0,3,182,15,14,15,0,222
UCL121044,191,3,0,0,0,188,17,0,0,0,0,17,3,0,0,0,0,3,206,3,0,0,0,211
UCL121045,173,0,0,4,0,175,33,0,0,0,0,33,4,0,0,0,0,4,210,0,0,4,0,217
UCL121046,170,4,0,3,3,176,37,0,0,0,0,41,0,0,0,0,0,6,206,3,0,5,3,222
UCL121047,221,118,9,5,0,354,30,23,0,0,0,60,4,3,0,0,0,6,254,149,9,5,0,414
UCL121048,154,3,8,0,0,162,26,3,0,0,0,25,8,0,0,0,0,8,186,3,8,0,0,190
UCL121049,47,10,22,96,72,244,3,0,3,51,16,72,3,0,0,8,0,8,50,7,27,155,89,321
UCL121050,277,55,44,6,0,383,89,19,18,3,0,123,16,3,0,0,0,21,386,77,63,9,0,532
UCL121051,239,3,0,5,7,258,96,12,0,0,0,111,18,3,0,0,0,15,355,15,0,5,8,386
UCL121052,152,61,31,5,6,261,37,28,29,3,0,93,6,0,0,0,0,9,201,97,61,10,6,366
UCL121053,295,7,5,0,0,306,23,0,3,0,0,22,10,0,0,0,0,11,326,7,3,3,0,341
UCL121054,200,0,8,4,0,211,76,0,16,0,0,88,10,0,3,0,0,8,281,0,25,8,3,316
UCL121055,187,0,0,0,0,191,12,0,0,0,0,12,0,0,0,0,0,0,202,0,0,0,0,203
UCL121056,202,0,0,11,0,215,16,0,0,7,0,21,7,0,0,0,0,7,225,0,0,20,0,245
UCL121057,241,0,0,0,3,240,50,0,0,0,0,50,11,0,0,0,0,11,303,0,0,0,4,306
UCL121058,191,0,0,0,0,199,13,0,0,0,0,12,3,0,0,0,0,3,206,3,0,0,0,209
UCL121059,446,0,3,0,3,456,37,0,0,0,0,35,8,0,0,0,0,8,495,0,3,3,3,500
UCL121060,185,3,0,0,0,185,22,0,0,0,0,23,4,0,0,0,0,4,212,4,0,0,0,214
UCL121061,267,0,0,0,0,266,23,0,0,0,0,23,8,0,0,0,0,8,293,0,0,0,0,295
UCL121062,295,0,0,0,0,297,22,0,0,0,0,22,4,0,0,0,0,4,317,0,0,0,0,319
UCL121063,206,0,0,0,0,214,39,0,0,0,0,39,8,0,0,0,0,8,260,0,0,0,0,259
UCL121064,228,0,0,0,3,235,82,0,0,0,0,81,11,0,0,0,0,17,324,0,0,0,5,329
UCL121065,218,0,6,10,0,228,89,0,14,3,0,109,11,0,0,0,0,11,313,0,21,8,0,349
UCL121066,440,44,0,12,0,495,41,7,0,12,0,63,11,0,0,0,0,15,495,51,0,22,0,570
UCL121067,135,0,0,0,0,135,4,0,0,0,0,4,0,0,0,0,0,0,139,0,0,0,0,139
UCL121068,179,0,0,0,0,177,12,0,0,0,0,15,0,0,0,0,0,0,189,0,3,0,0,193
UCL121069,186,0,0,0,0,191,55,0,0,3,0,62,11,0,0,0,0,11,253,0,3,5,0,261
UCL121070,176,10,10,8,0,197,76,5,10,0,0,95,12,0,3,0,0,18,272,9,22,8,0,308
UCL121071,200,0,0,0,3,203,29,0,0,0,0,29,5,0,0,0,0,6,241,0,0,0,3,241
UCL121072,99,70,0,0,0,173,6,20,0,0,0,29,0,5,0,0,0,6,108,101,0,3,0,212
UCL121073,239,0,10,0,3,257,96,0,18,0,0,114,14,0,0,0,0,14,352,3,32,3,3,387
UCL121074,180,0,0,0,0,179,48,0,0,0,0,48,3,0,0,0,0,4,229,0,0,0,3,232
UCL121075,213,0,0,3,0,219,30,0,4,0,0,35,6,0,0,0,0,6,251,0,4,3,0,264
UCL121076,189,5,0,0,0,195,31,0,0,0,0,33,3,0,0,0,0,3,222,9,0,0,0,231
UCL121077,153,0,0,0,0,154,14,0,0,0,0,14,4,0,0,0,0,4,170,0,0,0,0,175
UCL121078,222,14,3,19,0,253,23,7,0,4,0,30,3,0,0,0,0,7,252,20,3,21,0,292
UCL121079,150,0,0,0,0,150,9,0,0,0,0,9,6,0,0,0,0,6,167,0,0,0,0,167
UCL121080,272,33,8,0,0,314,43,14,3,0,0,56,3,3,0,0,3,12,321,50,17,0,4,387
UCL121081,326,0,0,0,0,327,51,0,0,0,0,49,3,0,0,0,0,3,375,0,0,0,0,382
UCL121082,200,0,0,0,0,206,16,0,0,0,0,16,4,0,0,0,0,4,225,0,0,0,0,227
UCL121083,261,22,0,0,0,283,24,6,0,0,0,24,8,11,0,0,0,12,292,31,0,0,0,327
UCL121084,231,0,0,3,4,240,95,0,13,0,0,108,6,0,0,0,0,6,334,0,13,3,4,349
UCL121085,174,0,0,0,0,178,43,0,0,0,0,43,10,0,0,0,0,10,232,0,0,0,0,235
UCL121086,172,0,0,0,3,175,41,0,0,0,0,42,6,0,0,0,0,6,219,0,0,0,3,222
UCL121087,273,0,0,6,0,283,25,0,0,0,0,25,11,0,0,0,0,11,306,0,0,6,0,317
UCL121088,164,0,0,0,15,173,26,0,0,0,3,34,3,0,0,0,0,3,195,0,0,0,20,213
UCL121089,229,0,0,0,0,229,21,0,0,0,0,21,6,0,0,0,0,6,257,0,0,0,0,257
UCL121090,201,0,0,0,0,201,17,0,0,0,0,17,3,0,0,0,0,3,224,0,0,0,0,224
UCL121091,271,4,0,6,0,281,37,0,0,11,0,50,14,0,0,0,0,11,325,4,0,21,0,348
UCL121092,222,0,0,0,6,227,70,0,0,0,0,66,6,0,0,0,0,3,292,0,0,0,9,301
UCL121093,147,0,3,5,3,159,131,0,0,0,0,132,16,0,0,0,0,14,290,0,6,11,6,310
UCL121094,158,0,0,0,0,168,16,0,0,0,0,16,5,0,0,0,0,8,186,0,0,3,0,190
UCL121095,142,7,9,25,0,185,12,0,0,7,0,20,4,0,0,0,0,5,157,7,12,34,0,206
UCL121096,204,9,0,3,0,216,19,0,0,8,0,24,4,0,0,0,0,3,227,8,0,11,0,246
UCL121097,263,0,0,0,0,263,33,0,0,0,0,33,9,0,0,0,0,9,296,0,0,0,0,296
UCL121098,190,0,3,0,0,193,71,0,0,0,0,71,3,0,0,0,0,3,264,0,3,0,0,269
UCL121099,305,0,0,3,0,307,25,0,3,0,0,28,3,0,0,0,0,9,329,0,3,3,0,340
UCL121100,303,4,0,0,0,307,41,3,0,0,0,49,11,0,0,0,0,17,356,6,0,0,0,371
UCL121101,247,24,9,0,3,289,51,8,4,3,0,68,8,0,0,0,0,10,316,31,14,4,3,368
UCL121102,252,0,0,0,3,252,93,0,0,0,0,98,17,0,0,0,0,17,362,0,0,0,7,366
UCL121103,185,0,3,0,0,187,53,0,0,0,0,56,9,0,0,0,0,9,244,0,5,3,0,254
UCL121104,197,0,0,7,0,203,96,0,0,0,0,100,5,0,0,0,0,5,299,0,0,10,0,307
UCL121105,215,22,12,0,0,248,14,8,3,0,0,19,0,0,0,0,0,0,232,28,10,0,0,272
UCL121106,236,0,0,0,3,239,77,4,0,0,0,76,11,0,0,0,0,11,318,3,0,4,3,324
UCL121107,230,8,6,0,3,239,39,0,0,0,0,40,7,0,0,0,0,6,269,10,5,0,3,291
UCL121108,142,0,0,0,0,142,11,0,0,0,0,11,3,0,0,0,0,3,159,0,0,0,0,159
UCL121109,245,18,0,4,0,269,46,10,0,0,0,57,12,0,0,0,0,13,306,28,0,5,0,342
UCL121110,170,5,7,0,3,186,91,0,14,0,0,109,14,0,0,6,3,20,279,11,22,6,8,322
UCL121111,223,0,0,0,0,225,32,0,0,0,0,32,7,0,0,0,0,7,265,0,0,0,0,264
UCL121112,128,0,0,4,3,139,59,0,0,0,0,61,0,0,0,0,0,0,190,0,0,4,3,202
UCL121113,197,11,11,0,3,218,18,0,3,0,0,23,3,0,0,0,0,6,218,11,10,0,0,242
UCL121114,208,0,0,0,3,217,46,0,0,4,3,54,11,0,0,0,0,11,270,0,0,3,8,280
UCL121115,260,0,0,0,0,264,15,0,0,0,0,18,3,0,0,0,0,3,281,0,3,0,0,286
UCL121116,157,0,10,3,0,167,45,0,6,0,0,51,14,0,4,0,0,11,210,0,16,4,0,228
UCL121117,261,0,0,0,0,261,36,0,0,0,0,36,3,0,0,0,0,3,294,0,0,0,0,296
UCL121118,56,3,3,0,0,65,83,5,4,5,0,90,4,0,0,0,0,3,143,8,3,3,0,160
UCL121119,154,0,0,0,0,158,23,0,0,0,0,23,6,0,0,0,0,11,191,0,0,0,3,190
UCL121120,142,3,0,0,0,149,64,0,3,0,0,63,5,0,0,0,0,5,215,6,3,0,0,222
UCL121121,239,0,0,29,0,263,49,0,0,21,0,67,6,0,0,0,0,13,293,0,0,48,0,340
UCL121122,175,3,0,0,0,176,22,0,0,0,0,22,6,0,0,0,0,6,202,3,0,0,0,206
UCL121123,138,0,0,0,0,137,65,0,0,0,0,63,6,0,0,0,0,6,207,0,0,0,0,207
UCL121124,122,4,0,0,3,132,56,9,0,0,0,67,5,0,0,0,0,6,179,19,0,0,3,200
UCL121125,166,0,0,0,0,172,23,0,0,0,0,24,6,0,0,0,0,6,197,0,0,0,0,196
UCL121126,310,0,0,0,0,313,52,0,0,0,0,52,11,0,0,0,0,11,373,0,0,0,0,371
UCL122001,56,0,0,0,0,56,12,0,0,0,0,12,3,0,0,0,0,3,73,0,0,0,0,73
UCL122002,68,0,0,0,3,72,24,0,0,0,0,23,4,0,0,0,0,4,95,0,3,0,3,101
UCL122003,102,0,0,0,0,102,13,0,0,0,0,13,0,0,0,0,0,0,113,0,0,0,0,113
UCL122004,61,20,0,0,4,79,5,3,0,0,0,10,0,0,0,0,0,0,62,18,0,0,4,87
UCL122005,99,0,0,0,4,105,40,0,4,0,0,50,7,0,0,0,0,7,148,0,4,0,4,161
UCL122006,64,0,3,3,0,71,29,3,0,0,0,32,4,0,0,0,0,4,103,8,3,3,0,111
UCL122007,101,0,0,3,0,107,66,0,0,3,0,70,4,0,0,6,0,15,172,3,3,7,0,188
UCL122008,69,0,0,0,0,69,30,0,0,0,0,30,4,0,0,0,0,7,100,0,0,0,0,105
UCL122009,91,0,0,0,0,92,33,0,0,0,0,33,0,0,0,0,0,0,123,0,0,0,0,126
UCL122010,92,0,0,0,0,88,22,0,0,0,0,22,0,0,0,0,0,0,118,0,0,0,0,118
UCL122011,96,0,0,0,0,95,16,0,0,0,0,18,0,0,0,0,0,0,113,0,0,0,3,114
UCL122012,79,0,0,0,0,79,39,0,0,0,0,39,8,0,0,0,0,8,128,0,0,0,0,128
UCL122013,62,0,0,3,0,60,24,0,0,0,0,23,3,0,0,0,0,3,89,0,0,5,0,89
UCL122014,84,0,0,0,0,84,25,0,0,0,0,25,0,0,0,0,0,3,111,0,0,0,0,111
UCL122015,81,0,0,0,0,83,38,0,0,0,0,40,3,0,0,0,0,3,123,0,0,0,0,123
UCL122016,76,0,0,0,0,77,4,0,0,0,0,4,3,0,0,0,0,3,89,0,0,0,0,86
UCL122017,70,0,0,0,3,73,14,0,0,0,0,14,0,0,0,0,0,0,86,0,0,0,3,91
UCL122018,96,0,0,0,0,95,32,0,0,0,0,32,3,0,0,0,0,3,129,0,0,0,0,135
UCL122019,101,0,0,0,3,107,61,0,3,0,0,67,13,0,0,0,0,10,178,0,5,0,4,183
UCL122020,74,0,0,3,3,81,33,0,0,0,0,33,5,0,0,0,0,8,112,0,0,3,3,117
UCL122021,84,3,0,3,0,86,38,0,0,0,0,36,4,0,0,0,0,4,121,3,0,3,3,128
UCL122022,65,0,0,0,0,65,3,0,0,0,0,3,0,0,0,0,0,3,69,0,0,0,0,72
UCL122023,130,0,0,3,0,134,9,0,0,0,0,9,0,0,0,0,0,0,139,0,0,3,3,144
UCL122024,121,0,0,0,0,121,7,0,0,0,0,7,3,0,0,0,0,3,132,0,0,0,0,132
UCL122025,105,19,10,18,0,151,16,0,3,10,0,30,0,0,0,0,0,6,123,22,18,26,0,181
UCL122026,75,0,0,0,0,82,21,0,0,0,0,21,4,0,0,0,0,6,104,0,0,0,0,107
UCL122027,114,0,0,25,4,140,18,0,0,15,0,38,3,0,0,0,0,6,140,0,0,43,4,186
UCL122028,69,0,0,0,0,73,7,0,0,0,0,7,0,0,0,0,0,0,80,0,0,0,0,84
UCL122029,49,0,3,14,4,66,21,0,3,16,0,42,0,0,0,0,0,0,73,0,9,25,4,108
UCL122030,97,0,0,3,0,95,47,0,0,0,0,53,11,0,0,0,0,11,152,0,0,8,0,157
UCL122031,71,0,0,0,0,71,10,0,0,0,0,10,0,0,0,0,0,0,87,0,0,0,0,87
UCL122032,111,5,0,0,0,118,21,0,0,0,0,26,4,0,0,0,0,4,135,5,0,0,0,142
UCL122033,85,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,92
UCL122034,136,0,8,0,0,147,29,0,0,0,0,33,4,0,0,0,0,7,172,0,5,3,0,187
UCL122035,39,3,0,3,0,53,21,0,0,4,0,30,0,0,0,0,0,0,68,7,0,7,0,76
UCL122036,63,0,0,0,0,63,21,0,0,0,0,25,0,0,0,0,0,0,88,0,0,4,0,92
UCL122037,53,0,0,0,0,53,8,0,0,0,0,8,0,0,0,0,0,0,65,0,0,0,0,66
UCL122038,93,4,3,3,7,108,46,0,5,0,0,48,10,0,0,0,0,10,145,4,11,3,7,169
UCL122039,76,0,6,0,0,82,61,0,3,0,0,62,10,0,0,0,0,11,146,0,12,0,0,154
UCL122040,100,0,0,0,4,106,23,0,0,0,0,26,8,0,0,0,0,8,135,0,0,0,3,136
UCL122041,98,0,0,0,0,103,38,0,0,0,0,38,5,0,0,0,0,5,143,0,0,0,0,145
UCL122042,113,0,0,0,0,113,20,0,0,0,0,20,8,0,0,0,0,8,137,0,0,0,0,137
UCL122043,74,0,0,0,0,74,13,0,0,0,0,13,3,0,0,0,0,3,86,0,0,0,0,89
UCL122044,87,0,0,0,0,83,31,0,0,0,0,33,6,0,0,0,0,6,123,0,0,0,0,124
UCL122045,31,0,0,0,0,31,26,0,0,0,0,26,0,0,0,0,0,0,63,0,0,0,0,63
UCL122046,67,0,0,0,0,66,37,0,0,0,0,37,5,0,0,0,0,5,108,0,0,0,0,106
UCL122047,133,0,0,0,0,136,33,0,0,0,0,33,3,0,0,0,0,3,165,0,0,0,0,172
UCL122048,104,0,0,0,0,104,7,0,0,0,0,7,3,0,0,0,0,3,117,0,0,0,0,117
UCL122049,94,0,0,0,0,96,37,0,0,0,0,39,3,0,0,0,0,3,135,0,0,0,3,139
UCL122050,61,0,0,0,0,68,56,0,0,0,0,55,7,0,0,0,0,5,123,0,0,4,0,129
UCL122051,59,0,0,0,3,59,49,0,0,0,0,51,4,0,0,0,0,4,111,0,0,0,6,113
UCL122052,133,0,0,0,0,133,17,0,0,0,0,17,3,0,0,0,0,7,155,0,0,0,0,154
UCL122053,64,4,0,0,0,69,9,0,0,3,0,13,4,0,0,0,0,6,77,4,0,6,0,92
UCL122054,88,0,0,4,0,93,47,0,8,0,0,51,8,0,0,0,0,8,134,0,5,4,0,146
UCL122055,144,0,0,0,0,145,20,0,0,0,0,20,3,0,0,0,0,3,169,0,0,0,0,170
UCL122056,74,0,0,0,0,74,28,0,0,0,0,28,0,0,0,0,0,0,98,0,0,0,0,98
UCL122057,74,0,0,0,0,74,5,0,0,0,0,5,0,0,0,0,0,0,87,0,0,0,0,87
UCL122058,147,0,0,0,0,151,27,0,0,0,0,27,9,0,0,0,0,8,186,0,0,0,3,186
UCL122059,127,0,0,0,0,127,42,0,0,0,0,41,0,0,0,0,0,0,176,0,0,0,0,177
UCL122060,96,0,0,0,0,97,36,0,0,0,0,37,7,0,0,0,0,4,143,0,0,3,0,144
UCL122061,139,0,0,0,5,140,26,0,0,3,0,26,7,0,0,0,0,7,161,0,0,3,5,172
UCL122062,21,0,0,0,0,21,39,0,0,0,0,39,3,0,0,0,0,3,64,0,0,0,0,64
UCL122063,79,0,0,0,8,83,31,0,0,0,0,27,5,0,0,0,0,5,109,0,3,0,8,115
UCL122064,71,0,0,0,0,77,39,0,0,0,0,39,0,0,0,0,0,0,115,0,0,0,0,119
UCL122065,54,0,0,0,0,58,69,3,3,0,0,73,10,0,0,3,0,13,127,7,4,3,3,143
UCL122066,134,0,0,0,5,137,4,0,0,0,0,3,3,0,0,0,0,3,139,0,0,0,9,148
UCL122067,126,0,0,0,0,126,14,0,0,0,0,13,0,0,0,0,0,0,140,0,0,0,0,145
UCL122068,90,0,3,5,0,91,35,0,5,0,0,37,3,0,0,0,0,3,127,0,8,4,0,134
UCL122069,102,0,0,0,0,105,13,0,0,0,0,13,3,0,0,0,0,3,116,0,0,0,0,118
UCL122070,142,0,0,0,0,142,23,3,0,0,0,26,4,0,0,0,0,5,169,5,3,0,0,175
UCL122071,26,0,0,0,3,32,21,0,0,0,0,22,8,0,0,0,0,3,49,0,0,0,5,56
UCL122072,90,0,6,13,0,111,12,0,0,7,0,16,0,0,0,0,0,3,104,0,6,19,0,132
UCL122073,98,17,9,0,0,120,0,5,9,0,0,17,0,0,0,0,0,0,106,22,12,0,0,137
UCL122074,58,0,0,0,0,59,28,0,0,0,0,28,3,0,0,0,0,3,90,0,0,0,0,90
UCL122075,78,0,0,0,0,78,30,0,0,4,3,38,3,0,0,0,0,3,113,0,0,8,3,120
UCL122076,90,0,0,0,0,90,33,0,0,0,0,33,3,0,0,0,0,3,123,0,0,0,0,123
UCL122077,23,48,0,0,7,73,3,28,0,0,8,39,0,6,0,0,3,6,28,82,0,0,21,121
UCL122078,79,0,4,0,0,86,10,0,0,0,0,5,0,0,0,0,0,0,86,0,6,0,0,92
UCL122079,60,0,0,0,0,60,8,0,0,0,0,10,5,0,0,0,0,8,74,0,0,4,0,72
UCL122080,125,0,0,0,0,126,43,0,0,0,0,46,9,0,0,0,0,7,178,0,0,4,0,179
UCL122081,65,0,0,0,0,65,5,0,0,0,0,5,0,0,0,0,0,0,73,0,0,0,0,73
UCL122082,100,0,0,0,0,97,26,0,0,0,0,26,4,0,0,0,0,4,129,0,0,0,0,132
UCL122083,88,0,0,0,0,88,35,0,0,0,3,37,3,0,0,0,0,3,131,0,0,0,3,131
UCL122084,94,0,0,0,0,94,10,0,0,0,0,10,0,0,0,0,0,0,99,0,0,0,0,99
UCL122085,129,0,3,0,0,133,15,0,0,0,0,19,3,0,0,0,0,3,150,3,4,0,0,155
UCL122086,118,0,0,0,0,118,10,0,0,0,0,10,9,0,0,0,0,9,132,0,0,0,0,132
UCL122087,121,0,0,0,0,128,13,0,0,0,0,13,4,0,0,0,0,4,142,0,0,0,0,146
UCL122088,74,0,0,0,0,73,26,0,0,0,0,26,4,0,0,0,0,4,101,0,0,0,0,100
UCL122089,97,11,0,0,0,111,30,5,0,0,0,35,3,0,0,0,0,4,132,16,0,0,0,147
UCL122090,118,0,0,3,0,120,62,0,8,0,0,71,7,0,0,0,0,3,185,0,13,3,0,191
UCL122091,40,0,0,31,0,67,19,0,0,19,0,36,4,0,0,3,0,9,63,0,0,48,0,116
UCL122092,79,0,0,0,0,79,11,0,0,0,0,11,0,0,0,0,0,0,95,0,0,0,0,95
UCL122093,60,0,0,0,0,57,15,0,0,0,0,15,0,0,0,0,0,0,68,0,0,0,0,69
UCL122094,71,0,0,0,0,68,34,0,0,0,0,36,6,0,0,0,0,9,109,0,0,0,0,113
UCL122095,72,5,0,0,0,84,60,0,4,0,0,67,7,3,0,0,0,12,145,12,5,3,0,166
UCL122096,64,0,3,0,0,67,16,0,3,0,0,19,0,0,0,0,0,0,81,0,7,0,0,87
UCL122097,64,0,0,0,0,67,22,0,0,0,0,17,7,0,0,0,0,7,88,0,0,0,0,98
UCL122098,103,0,0,0,0,102,29,0,0,0,0,29,5,0,0,0,0,5,139,0,0,0,0,137
UCL122099,134,0,0,0,0,135,10,0,0,0,0,15,8,0,0,0,0,8,154,0,0,0,3,151
UCL122100,67,0,4,0,3,72,38,0,0,0,0,42,10,0,0,0,0,11,112,0,6,4,3,128
UCL122101,110,0,0,0,0,110,10,0,0,0,0,10,0,0,0,0,0,0,122,0,0,0,0,122
UCL122102,88,9,0,0,0,101,43,7,0,0,0,50,13,0,0,0,0,15,151,11,0,8,0,166
UCL122103,83,3,10,8,0,105,24,0,7,11,0,40,0,0,0,3,0,3,112,3,11,21,0,147
UCL122104,66,0,0,0,0,70,13,0,0,0,0,13,0,0,0,0,0,0,80,0,0,0,0,79
UCL122105,69,0,0,0,0,76,15,0,0,0,0,15,3,0,0,0,0,3,90,0,0,0,0,93
UCL122106,54,0,0,0,4,59,16,0,0,0,3,21,5,0,0,0,0,5,77,0,0,3,7,85
UCL122107,104,8,5,10,0,128,31,0,4,5,0,41,9,0,8,4,0,19,150,8,13,17,0,191
UCL122108,68,0,0,0,0,68,28,0,0,0,0,28,3,0,0,0,0,3,99,0,0,0,0,99
UCL122109,141,0,0,0,0,143,23,0,0,0,0,23,9,0,0,0,0,9,173,0,0,0,0,180
UCL122110,99,0,0,0,0,99,18,0,3,0,0,27,0,0,0,0,7,6,120,0,3,0,7,136
UCL122111,73,0,0,3,0,81,44,0,0,3,0,49,3,0,0,0,0,3,115,0,3,6,0,131
UCL122112,64,0,0,0,3,64,32,0,0,0,0,32,0,0,3,0,0,4,93,0,4,0,3,102
UCL122113,107,0,0,0,0,111,6,0,0,0,0,12,0,0,0,0,0,0,117,0,0,0,0,124
UCL122114,95,3,0,0,0,100,0,0,0,0,0,0,3,0,0,0,0,3,102,3,0,0,0,102
UCL122115,29,27,0,3,5,66,26,16,0,3,0,40,4,3,0,0,0,7,63,46,0,5,3,110
UCL122116,96,0,0,3,0,99,25,0,0,0,0,24,0,0,0,0,0,0,118,0,3,3,0,122
UCL122117,76,0,0,3,0,75,19,0,0,0,0,18,0,0,0,0,0,0,95,3,0,3,0,98
UCL122118,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
UCL122119,116,0,3,0,0,113,16,3,0,0,0,20,3,0,0,0,0,3,132,3,3,0,0,138
UCL122120,95,0,0,0,0,95,3,0,0,0,0,3,3,0,0,0,0,3,97,0,0,0,0,97
UCL122121,89,0,0,0,0,92,17,0,0,0,0,17,3,0,0,0,0,3,114,0,0,0,0,114
UCL122122,68,0,0,0,0,68,10,0,0,0,0,10,0,0,0,0,0,0,72,0,0,0,0,72
