UCL_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
UCL114028,0,4,9,7,14,50,99,66,51,306,0,0,0,0,3,0,0,3,3,13,12,8,24,29,45,71,103,84,33,410,90,164,327,449,569,837,1043,551,205,4221
UCL114029,3,0,0,5,14,54,75,45,14,213,0,0,0,0,3,3,3,3,0,13,8,18,25,32,33,29,71,57,13,281,174,328,546,670,780,778,818,362,93,4549
UCL114030,0,10,5,15,34,51,91,77,48,328,0,0,0,0,3,3,9,0,3,16,31,39,66,74,99,104,101,97,92,703,171,334,652,693,780,795,701,442,225,4791
UCL114031,6,4,4,12,20,61,96,98,67,368,0,0,0,0,3,0,8,3,0,16,31,23,35,70,71,81,108,106,103,631,185,332,633,774,790,842,825,560,268,5204
UCL114032,0,0,8,4,14,36,74,108,48,288,0,0,0,0,0,0,3,0,0,6,20,18,48,47,58,93,90,99,47,525,116,156,461,512,689,952,1187,743,305,5115
UCL114033,0,3,0,4,8,8,45,44,14,127,0,0,0,0,0,0,3,0,0,4,3,4,11,21,18,25,48,44,16,188,36,61,163,190,223,287,391,218,62,1632
UCL114034,0,3,5,6,21,37,53,51,25,202,0,0,0,0,0,4,4,6,0,18,27,30,37,43,65,63,68,96,109,537,154,289,623,656,669,651,556,380,214,4190
UCL114035,6,3,14,27,29,72,96,115,95,450,0,5,3,0,8,8,9,3,0,39,34,25,55,52,93,85,120,81,53,595,227,394,787,818,797,740,806,562,286,5416
UCL115001,0,0,4,0,5,21,35,17,3,96,0,0,0,0,0,0,0,3,0,6,6,13,12,29,30,29,28,11,9,164,45,101,250,242,246,215,192,91,28,1400
UCL115002,0,0,0,3,7,6,15,7,4,37,0,0,0,0,0,3,0,0,0,7,4,3,3,3,7,17,13,3,0,50,43,78,157,186,223,180,107,42,14,1028
UCL115003,0,0,3,0,4,19,11,14,4,61,0,0,0,0,0,0,0,0,3,4,8,6,23,15,18,17,37,34,6,173,31,49,162,140,189,307,271,148,51,1343
UCL115004,3,4,3,3,9,21,26,31,7,109,0,0,0,0,0,0,0,0,3,4,4,7,10,10,16,21,27,20,11,121,26,61,100,123,157,192,126,94,29,911
UCL115005,0,0,0,3,0,7,7,6,12,37,0,0,0,0,0,0,0,0,0,3,9,4,4,24,28,19,10,20,20,151,34,42,128,299,264,211,143,73,57,1249
UCL115006,0,0,3,4,7,20,41,20,10,110,0,0,0,0,0,3,0,0,0,4,9,6,25,16,23,24,29,35,11,180,93,159,360,437,446,385,314,199,58,2447
UCL115007,0,0,0,3,0,9,28,31,23,95,0,0,0,0,0,0,0,0,0,0,0,4,5,5,17,15,19,47,22,138,17,41,74,76,144,191,187,158,90,978
UCL115008,0,0,4,0,0,11,31,29,10,85,0,0,0,4,0,0,0,0,0,5,4,10,20,10,15,26,43,18,10,160,31,71,199,187,191,217,231,138,37,1302
UCL115009,0,0,5,3,0,30,28,46,12,124,0,0,0,0,0,0,3,0,0,4,6,0,5,4,27,22,30,31,10,140,23,26,90,78,124,192,189,167,61,956
UCL115010,0,0,3,3,6,6,22,21,6,76,0,0,0,0,0,0,0,0,0,0,8,5,10,6,15,13,27,23,35,133,50,89,138,162,190,212,203,118,63,1223
UCL115011,0,0,3,6,10,18,16,21,9,78,0,0,0,0,0,0,4,0,0,10,0,0,10,10,14,20,26,15,15,114,18,41,114,97,117,169,152,89,41,849
UCL115012,3,0,9,18,27,38,46,63,44,254,0,0,0,0,0,0,0,3,0,11,14,13,37,41,53,49,58,55,34,358,120,221,432,422,513,568,409,336,164,3188
UCL115013,0,0,3,3,8,10,13,17,24,79,0,0,0,3,0,0,0,3,0,4,12,3,17,34,35,33,40,25,17,207,68,79,253,400,416,439,334,181,89,2246
UCL115014,0,0,3,0,4,12,24,9,15,69,0,0,0,0,0,0,0,0,0,4,3,3,7,9,19,26,29,25,7,128,28,38,82,123,172,294,297,128,55,1227
UCL115015,0,0,0,0,0,8,16,13,15,51,0,0,0,0,0,0,0,0,0,4,3,5,3,16,12,24,24,37,50,177,30,56,140,170,181,297,362,320,177,1739
UCL115016,0,0,0,3,3,12,32,41,20,112,0,0,0,0,0,0,0,0,0,0,6,3,3,14,11,21,28,47,23,151,24,32,55,84,116,152,207,182,76,935
UCL115017,0,0,0,3,4,17,17,22,12,87,0,0,0,0,0,0,4,0,0,17,4,3,25,36,53,51,73,16,5,264,64,137,330,464,645,763,723,300,84,3513
UCL115018,4,0,5,6,15,23,36,48,37,175,0,0,0,0,0,0,0,0,0,7,17,13,29,28,51,26,51,31,20,265,99,159,351,346,391,320,282,191,93,2230
UCL115019,0,0,0,0,10,21,31,16,16,98,0,0,0,0,0,0,3,3,0,9,9,0,6,9,20,14,15,13,11,92,32,50,124,131,150,174,143,76,53,944
UCL115020,0,0,0,0,4,19,27,15,13,70,0,0,0,0,0,0,0,0,0,0,4,4,12,15,21,27,36,26,3,150,65,84,178,294,441,408,420,189,49,2128
UCL115021,0,0,3,0,9,10,13,16,8,67,0,0,0,0,0,0,4,0,0,6,3,6,3,8,14,20,25,15,17,107,29,64,94,121,155,176,194,86,46,971
UCL115022,3,0,9,3,6,27,19,13,8,90,0,0,0,3,4,0,3,0,0,9,20,25,40,37,56,60,29,25,13,299,54,113,276,201,265,214,125,66,32,1345
UCL115023,0,0,0,4,0,8,6,0,3,23,0,0,0,0,3,0,0,0,0,4,3,10,11,13,20,6,9,0,0,66,45,90,178,202,235,169,92,25,9,1039
UCL115024,0,0,0,0,0,9,10,4,10,32,0,0,0,0,0,3,0,3,0,4,4,0,7,19,18,12,30,27,6,130,26,44,125,144,147,178,169,103,43,992
UCL115025,0,0,5,0,6,18,24,13,15,82,0,0,0,0,0,0,0,0,0,0,11,10,32,29,14,34,27,11,8,189,71,136,461,394,297,334,205,74,39,2003
UCL115026,0,0,0,0,3,6,19,21,21,76,0,0,0,0,0,0,0,0,0,0,3,11,11,12,19,24,23,36,9,147,38,88,139,226,295,324,302,251,131,1790
UCL115027,0,0,0,0,0,11,14,9,11,50,0,0,0,0,0,0,0,0,0,0,14,5,6,25,25,38,28,19,11,173,36,50,124,189,228,295,194,117,52,1286
UCL115028,0,0,0,0,11,15,30,29,27,117,0,0,0,0,0,0,0,0,0,3,0,3,8,8,18,15,17,17,11,102,29,35,93,80,175,176,177,110,62,933
UCL115029,0,0,0,3,4,8,10,17,14,55,0,0,3,0,0,0,0,0,0,4,0,3,0,16,24,30,26,35,57,192,34,65,120,201,329,422,560,257,112,2097
UCL115030,0,0,0,0,0,8,12,6,9,27,0,0,0,0,0,0,0,0,0,3,3,0,5,6,13,8,21,14,3,80,44,94,142,187,331,304,270,110,41,1520
UCL115031,0,0,3,0,7,4,19,9,3,39,0,0,0,0,0,0,0,0,0,0,14,14,25,36,37,30,19,4,3,171,85,136,420,561,513,359,206,59,21,2351
UCL115032,0,0,0,0,7,9,7,3,0,31,0,0,0,0,0,0,0,0,0,0,7,9,12,14,14,10,10,0,3,84,82,89,253,266,218,172,96,23,11,1214
UCL115033,0,0,4,7,8,13,18,16,7,73,0,0,3,0,6,0,0,4,0,15,14,6,21,21,23,25,23,7,0,144,81,136,388,385,378,337,285,144,29,2155
UCL115034,3,0,5,3,17,18,54,45,16,162,0,0,0,0,0,0,0,3,0,10,11,9,8,19,35,38,42,46,9,214,79,155,198,298,457,472,505,254,69,2486
UCL115035,0,0,0,0,0,3,4,3,0,17,0,0,0,0,0,0,0,0,0,0,3,6,3,3,15,6,7,3,0,54,37,52,95,140,203,170,97,43,11,845
UCL115036,0,4,0,3,9,23,34,28,14,108,0,0,0,0,0,0,0,0,0,3,4,3,10,11,5,18,17,14,12,92,31,60,124,124,199,198,185,128,48,1091
UCL115037,0,0,8,11,13,30,57,37,19,181,0,0,0,0,0,0,0,0,0,6,20,33,81,62,76,83,58,37,19,461,99,217,605,474,454,457,276,168,72,2821
UCL115038,0,0,0,0,0,7,11,11,0,33,0,0,0,0,0,0,3,0,0,7,10,0,16,8,6,7,10,3,3,65,64,87,169,164,209,166,145,60,12,1067
UCL115039,0,3,3,4,16,44,39,45,19,181,0,0,0,0,3,7,9,3,0,20,23,21,39,23,46,44,43,39,18,288,86,201,374,265,317,347,273,207,93,2155
UCL115040,0,0,0,0,3,13,21,28,11,84,0,0,0,0,0,0,0,0,0,4,0,3,12,15,16,35,37,29,25,177,36,76,146,176,194,213,212,158,62,1275
UCL115041,0,0,3,4,12,27,59,47,19,170,0,0,0,0,0,0,3,0,0,3,8,13,24,31,35,41,31,27,19,234,63,111,237,239,290,353,353,235,133,2010
UCL115042,3,12,0,5,19,26,59,41,19,192,0,0,0,0,4,0,8,3,0,16,34,12,65,42,66,59,70,46,14,412,91,134,294,235,310,308,268,146,75,1859
UCL115043,0,0,4,3,8,9,8,7,3,48,0,0,0,0,0,0,0,0,0,4,4,4,6,22,12,15,13,10,0,93,52,63,182,205,221,210,140,53,6,1134
UCL115044,0,0,0,0,5,20,47,58,21,153,0,0,0,0,0,0,0,0,3,6,8,10,19,6,28,21,33,45,37,207,48,93,196,177,267,290,288,256,96,1720
UCL115045,0,0,3,12,8,32,43,58,46,190,0,0,0,0,0,0,3,3,0,9,24,17,48,24,44,47,75,59,25,365,98,137,304,300,456,549,545,373,161,2932
UCL115046,0,0,0,3,6,12,15,7,3,57,0,0,0,0,0,0,0,0,0,4,4,14,9,9,3,16,15,14,17,103,30,57,108,99,128,163,160,79,41,859
UCL115047,0,0,0,0,0,21,28,18,15,85,0,0,0,0,0,3,0,6,9,13,0,5,8,4,13,33,39,32,68,213,27,44,120,157,193,350,351,181,180,1603
UCL115048,0,0,3,3,7,8,28,20,15,83,0,0,0,0,3,0,0,0,0,6,9,4,5,8,13,24,20,13,8,100,32,62,133,170,155,141,163,85,52,995
UCL115049,0,0,3,0,4,7,12,15,16,63,0,0,0,0,0,0,3,0,0,4,4,0,3,3,11,10,13,20,6,73,24,28,70,94,111,189,170,113,57,858
UCL115050,0,0,3,8,0,5,5,4,0,20,0,0,0,0,0,0,0,0,0,3,0,7,7,6,13,15,8,0,0,54,33,54,99,136,180,188,85,24,9,800
UCL115051,0,0,0,3,3,29,25,35,28,126,0,0,0,0,0,0,0,0,0,5,8,9,7,22,22,29,38,43,30,209,52,69,177,226,261,329,290,209,99,1713
UCL115052,0,0,5,11,19,34,52,37,23,186,0,0,0,0,0,0,4,0,0,12,7,10,20,26,33,55,65,51,60,345,63,121,256,306,372,494,466,255,126,2461
UCL115053,0,0,0,3,0,6,10,14,20,54,0,0,0,0,0,0,0,3,0,8,12,18,28,18,16,12,11,13,8,139,183,653,595,390,301,196,142,150,98,2705
UCL115054,0,0,0,3,8,13,43,43,33,152,0,0,0,0,0,0,3,0,0,6,12,12,13,34,26,47,61,37,17,256,76,103,212,292,348,488,422,268,109,2325
UCL115055,0,0,0,3,0,3,14,12,8,52,0,0,0,0,0,0,0,3,0,5,8,10,9,14,16,28,52,54,53,245,40,51,95,124,151,268,342,230,123,1417
UCL115056,0,0,6,3,9,23,42,31,36,146,0,0,0,0,0,0,0,0,0,7,8,11,23,13,28,32,40,30,20,197,45,69,178,186,202,288,291,174,101,1534
UCL115057,3,0,3,5,9,12,17,14,0,66,0,0,0,0,0,0,0,0,0,0,12,4,19,13,16,15,15,6,0,104,133,227,413,316,236,170,111,42,11,1642
UCL115058,0,0,0,0,8,14,20,35,34,111,0,0,0,0,0,0,0,3,0,3,5,0,4,6,13,17,14,18,4,79,27,52,106,114,122,143,117,115,92,876
UCL115059,0,0,3,0,3,11,4,9,3,35,0,0,0,0,0,0,0,0,0,0,6,6,8,6,13,16,10,8,0,72,63,96,172,153,190,179,111,38,13,1016
UCL115060,0,0,0,0,0,0,9,3,5,16,0,0,0,0,0,3,0,0,0,7,0,3,0,3,3,5,5,3,0,20,40,55,124,171,163,145,103,29,15,836
UCL115061,0,0,0,0,3,14,21,33,41,113,0,0,0,3,0,0,3,0,0,15,20,12,28,31,62,51,65,45,57,372,122,201,386,517,554,672,523,274,194,3452
UCL115062,0,3,9,11,15,41,51,50,36,218,0,0,0,0,0,3,0,4,0,11,17,8,25,29,29,32,47,52,23,255,73,143,243,264,304,338,287,246,116,2019
UCL115063,0,4,5,0,5,13,11,4,0,48,0,0,0,0,0,0,0,0,0,4,9,8,15,19,27,19,24,9,0,122,72,185,405,346,314,297,161,43,4,1835
