UCL_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
UCL215030,87,12,3,0,0,0,3,105
UCL215031,91,4,10,0,0,0,0,107
UCL215032,188,13,9,0,0,0,0,218
UCL215033,407,26,21,0,0,0,0,459
UCL215034,63,3,3,0,0,0,0,73
UCL215035,150,7,3,0,0,0,0,160
UCL215036,145,7,8,0,0,0,0,161
UCL215037,92,11,0,0,0,0,0,112
UCL215038,109,12,15,0,0,0,0,135
UCL215039,74,7,12,0,0,0,0,98
UCL215040,278,14,17,4,0,0,0,323
UCL215041,235,34,29,3,0,0,0,304
UCL215042,153,10,5,3,0,0,0,176
UCL215043,277,31,17,0,0,0,0,322
UCL215044,397,34,16,3,0,0,5,448
UCL215045,145,15,10,0,0,0,0,170
UCL215046,109,17,12,0,0,0,0,141
UCL215047,116,14,11,3,0,0,0,150
UCL215048,65,0,3,0,0,0,0,75
UCL215049,347,18,11,4,0,0,3,383
UCL215050,347,16,25,3,0,0,6,395
UCL215051,74,3,7,0,0,0,0,82
UCL215052,302,17,12,0,0,0,0,332
UCL215053,136,17,9,0,0,0,3,161
UCL215054,119,11,16,0,0,0,4,145
UCL215055,159,15,4,3,0,0,0,181
UCL215056,66,4,6,0,0,0,0,80
UCL215057,116,13,9,0,0,0,3,138
UCL215058,209,17,10,0,0,0,0,237
UCL215059,129,10,8,0,0,0,0,148
UCL215060,102,4,9,0,0,0,0,117
UCL215061,143,15,4,0,0,0,0,162
UCL215062,267,28,16,3,0,0,0,315
UCL215063,118,7,9,4,0,0,3,147
UCL215064,69,6,4,0,0,0,0,81
UCL215065,179,18,8,3,0,0,0,220
UCL215066,269,18,6,0,0,0,0,293
UCL215067,246,18,7,0,0,0,0,272
UCL215068,196,32,20,3,0,0,0,249
UCL215069,422,26,13,3,0,0,0,471
UCL215070,145,11,5,5,0,0,0,175
UCL215071,196,20,17,3,0,0,3,233
UCL215072,476,31,25,3,0,3,5,542
UCL215073,105,12,7,0,0,0,0,125
UCL215074,168,13,9,3,0,0,3,194
UCL215075,74,6,10,0,0,0,0,92
UCL215076,232,23,15,3,0,0,0,264
UCL215077,151,10,6,0,0,0,0,171
UCL215078,177,20,17,0,0,0,4,208
UCL215079,375,26,17,4,0,0,0,427
UCL215080,151,11,9,0,0,0,0,177
UCL215081,109,4,10,0,0,0,0,130
UCL215082,121,16,4,0,0,0,0,147
UCL215083,290,38,14,0,0,0,4,354
UCL215084,207,15,16,3,3,0,0,245
UCL215085,117,25,10,0,0,0,0,155
UCL215086,148,16,5,0,0,0,3,173
UCL215087,413,27,22,3,0,0,0,466
UCL215088,114,15,9,0,0,0,0,137
UCL215089,239,15,4,0,0,0,3,260
UCL215090,421,28,20,3,0,0,0,470
UCL215091,425,49,32,5,0,0,3,515
UCL215092,81,5,4,3,0,0,0,97
UCL215093,251,31,7,0,0,0,0,292
UCL215094,295,15,18,8,0,0,3,345
UCL215095,97,12,3,3,0,0,0,119
UCL215096,102,11,6,4,0,0,0,125
UCL215097,76,7,10,0,0,0,3,96
UCL221001,90,6,3,0,0,0,0,95
UCL221002,71,13,6,0,0,0,0,88
UCL221003,63,5,9,0,0,0,0,81
UCL221004,56,3,4,0,0,0,0,62
UCL221005,124,3,4,0,0,0,0,130
UCL221006,60,5,4,0,0,0,0,68
UCL221007,51,0,8,0,0,0,0,59
UCL221008,53,4,3,0,0,0,0,57
UCL221009,54,4,3,0,0,0,0,58
UCL221010,57,5,3,0,0,0,0,67
UCL221011,48,4,7,0,0,0,0,62
UCL221012,73,15,3,0,0,0,0,91
UCL221013,63,9,6,0,0,0,0,78
UCL221014,63,12,4,0,0,0,0,74
UCL221015,57,0,0,0,0,0,0,64
UCL221016,77,0,3,0,0,0,0,79
UCL221017,80,7,10,0,0,0,0,102
UCL221018,57,4,3,0,0,0,0,69
UCL221019,77,9,9,3,0,0,3,103
UCL221020,52,3,3,0,0,0,0,61
UCL221021,42,0,3,0,0,0,0,47
UCL221022,31,3,0,0,0,0,0,34
UCL221023,46,0,0,0,0,0,0,48
UCL221024,28,3,3,0,0,0,0,39
UCL221025,51,3,3,0,0,0,0,57
UCL221026,63,3,9,0,0,0,0,78
UCL221027,33,7,3,0,0,0,0,43
UCL221028,31,8,3,0,0,0,0,36
UCL221029,46,9,3,0,0,0,0,53
UCL221030,48,5,0,0,0,0,0,55
UCL221031,80,6,5,0,0,0,0,97
UCL221032,46,10,3,0,0,0,3,69
UCL221033,71,0,3,0,0,0,0,83
UCL221034,48,9,4,0,0,0,0,62
UCL221035,23,3,4,0,0,0,0,29
UCL221036,127,9,6,0,0,0,0,140
UCL221037,47,6,3,0,0,0,0,58
UCL221038,94,7,7,0,0,0,0,102
UCL221039,46,0,3,0,0,0,0,49
UCL221040,117,14,7,0,0,0,0,143
UCL221041,117,9,7,0,0,0,0,126
UCL221042,65,11,0,3,0,0,0,81
UCL221043,38,0,5,0,0,0,0,48
UCL221044,75,6,9,0,0,0,0,87
UCL221045,18,3,3,0,0,0,3,24
UCL221046,51,5,0,0,0,0,0,58
UCL221047,63,4,5,0,0,0,0,66
UCL221048,114,17,10,0,0,0,0,138
UCL221049,78,4,3,0,0,0,3,88
UCL221050,66,10,0,0,0,0,0,78
UCL221051,109,3,6,0,0,0,0,117
UCL221052,47,4,3,0,0,0,0,56
UCL221053,66,4,5,0,0,0,0,71
UCL221054,65,5,4,0,0,0,0,75
UCL221055,82,9,3,3,0,0,0,89
UCL221056,45,3,0,0,0,0,0,49
UCL221057,47,4,0,0,0,0,0,49
UCL221058,79,3,8,0,0,0,0,96
UCL221059,55,3,0,0,0,0,0,68
UCL221060,17,4,0,0,0,0,0,20
UCL221061,62,9,0,0,0,0,0,69
UCL221062,42,5,4,0,0,0,3,59
UCL221063,33,3,0,0,0,0,0,40
UCL221064,84,6,5,0,0,0,0,98
UCL221065,62,8,0,0,0,0,0,71
UCL221066,43,3,5,0,0,0,0,52
UCL221067,78,3,0,0,0,0,0,82
UCL221068,63,12,4,0,0,0,0,74
UCL221069,224,16,13,0,0,0,0,248
UCL221070,65,4,3,0,0,0,3,80
UCL221071,71,5,4,0,0,0,0,86
UCL221072,57,6,0,0,0,0,0,60
UCL221073,48,3,0,0,0,0,0,48
UCL221074,40,0,0,0,0,0,0,40
UCL221075,37,4,0,0,0,0,0,49
UCL221076,40,5,5,0,0,0,0,52
UCL221077,36,3,0,0,0,0,0,39
UCL221078,57,3,3,0,0,0,0,58
UCL221079,104,7,7,0,0,0,0,124
UCL221080,33,3,0,0,0,0,4,38
UCL221081,103,0,5,0,0,0,0,108
UCL221082,58,3,3,0,0,0,0,65
UCL222001,36,0,0,0,0,0,0,41
UCL222002,41,0,5,0,0,0,0,51
UCL222003,35,4,3,0,0,0,0,37
UCL222004,0,0,0,0,0,0,0,0
UCL222005,15,3,0,0,0,0,0,18
UCL222006,34,5,3,0,0,0,0,38
UCL222007,19,4,0,0,0,0,0,24
UCL222008,17,5,0,0,0,0,0,24
UCL222009,25,3,0,0,0,0,0,31
UCL222010,45,0,0,0,0,0,0,49
UCL222011,45,0,3,0,0,0,0,54
UCL222012,24,3,0,0,0,0,0,35
UCL222013,19,0,0,0,0,0,0,24
UCL222014,38,0,0,0,0,0,0,38
UCL222015,60,0,5,0,0,0,0,64
UCL222016,53,0,3,0,0,0,0,56
UCL222017,43,0,5,0,0,0,0,49
UCL222018,48,6,5,0,0,0,0,61
UCL222019,11,4,0,0,0,0,0,20
UCL222020,21,0,0,0,0,0,0,23
UCL222021,10,0,0,0,0,0,0,13
UCL222022,36,3,3,0,0,0,0,47
UCL222023,28,3,3,0,0,0,0,31
UCL222024,19,4,0,0,0,0,0,26
UCL222025,56,5,4,0,0,0,0,64
UCL222026,14,0,0,0,0,0,0,17
UCL222027,10,0,0,0,0,0,0,16
UCL222028,40,0,7,3,0,0,0,46
UCL222029,31,3,0,0,0,0,0,34
UCL222030,19,0,0,0,0,0,0,21
UCL222031,30,3,0,0,0,0,0,36
UCL222032,45,8,3,0,0,0,0,51
UCL222033,15,0,0,0,0,0,0,15
UCL222034,14,0,0,0,0,0,0,17
UCL222035,21,0,0,0,0,0,0,25
UCL222036,29,0,0,0,0,0,0,29
UCL222037,23,0,0,0,0,0,0,25
UCL222038,17,0,0,0,0,0,0,26
UCL222039,16,0,0,0,0,0,3,22
UCL222040,8,0,0,0,0,0,0,16
UCL222041,20,5,3,0,0,0,0,24
UCL222042,24,0,0,0,0,0,0,31
UCL222043,48,3,0,0,0,0,0,51
UCL222044,26,4,0,0,0,0,0,35
UCL222045,22,6,0,0,0,0,0,27
UCL222046,17,0,0,0,0,0,0,19
UCL222047,43,0,0,0,0,0,0,52
UCL222048,22,3,3,0,0,0,0,29
UCL222049,17,4,0,0,0,0,0,21
UCL222050,28,4,0,0,0,0,0,35
UCL222051,22,0,0,0,0,0,0,26
UCL222052,13,0,0,0,0,0,0,15
UCL222053,11,0,4,0,0,0,0,16
UCL222054,21,0,0,0,0,0,0,24
UCL222055,36,3,0,0,0,0,0,38
UCL222056,17,4,0,0,0,0,0,23
UCL222057,39,3,3,0,0,0,0,48
UCL222058,31,3,4,0,0,0,0,45
UCL222059,42,0,3,0,0,0,0,46
UCL222060,25,4,0,0,0,0,0,26
UCL222061,19,0,0,0,0,0,0,19
UCL222062,3,0,0,0,0,0,0,6
UCL222063,15,3,0,0,0,0,0,20
UCL222064,0,0,0,0,0,0,0,0
UCL222065,15,0,0,0,0,0,0,20
UCL222066,23,0,0,0,0,0,0,22
UCL222067,34,3,3,0,0,0,0,36
UCL222068,26,0,4,0,0,0,0,27
UCL222069,26,4,3,0,0,0,0,36
UCL222070,68,3,0,0,0,0,0,72
UCL222071,34,0,0,0,0,0,0,39
UCL222072,26,3,0,0,0,0,0,26
UCL222073,18,5,0,0,0,0,0,24
UCL222074,23,3,0,0,0,0,0,29
UCL222075,19,0,3,0,0,0,0,24
UCL222076,48,4,0,0,0,0,0,59
UCL222077,26,4,0,0,0,0,0,33
UCL222078,26,0,0,0,0,0,0,34
UCL222079,37,3,5,0,0,0,0,44
UCL222080,14,0,0,0,0,0,0,14
UCL222081,19,3,3,0,0,0,0,23
UCL222082,17,0,3,0,0,0,0,21
UCL222083,47,6,0,7,0,0,0,56
UCL222084,28,3,3,0,0,0,0,32
UCL222085,10,0,0,0,0,0,0,8
UCL222086,32,3,3,0,0,0,0,33
UCL222087,13,3,6,0,0,0,0,23
UCL222088,49,0,3,0,0,0,0,52
UCL222089,28,3,0,0,0,0,0,37
UCL222090,25,3,0,0,0,0,0,27
UCL222091,14,0,0,0,0,0,0,14
UCL222092,13,0,0,0,0,0,0,14
UCL222093,25,0,0,0,0,0,0,29
UCL222094,36,0,0,0,0,0,0,42
UCL222095,24,0,3,0,0,0,0,26
UCL222096,16,0,4,0,0,0,0,21
UCL222097,31,9,3,0,0,0,0,36
UCL222098,42,0,3,3,0,0,0,52
UCL222099,27,3,0,3,0,0,0,33
UCL222100,40,0,3,0,0,0,0,45
UCL222101,16,4,4,0,0,0,3,23
UCL222102,20,0,0,0,0,0,0,21
UCL222103,36,0,0,0,0,0,0,38
UCL222104,40,0,3,0,0,0,0,49
UCL222105,35,0,0,0,0,0,0,35
UCL222106,52,3,0,0,0,0,0,53
UCL222107,58,5,3,0,0,0,0,68
UCL222108,25,4,3,0,0,0,0,34
UCL222109,17,0,0,0,0,0,0,19
UCL222110,45,0,3,0,0,0,0,49
UCL222111,38,0,0,0,0,0,0,36
UCL222112,19,0,3,0,0,0,0,19
UCL222113,31,0,0,0,0,0,0,33
UCL222114,21,0,0,0,0,0,0,24
UCL222115,11,0,4,0,0,0,0,11
UCL222116,28,0,0,0,0,0,0,28
UCL222117,34,0,3,0,0,0,0,42
UCL222118,32,0,0,0,0,0,0,33
UCL222119,24,0,0,0,0,0,0,23
UCL222120,30,0,0,0,0,0,0,34
UCL222121,15,3,3,0,0,0,0,23
UCL222122,24,3,4,0,0,0,0,30
UCL231777,43874,3055,1857,416,64,24,282,49588
UCL279997,0,0,0,0,0,0,0,0
UCL299994,0,0,0,0,0,0,0,0
UCL301001,210105,17393,10366,2883,395,197,1044,242381
UCL302001,50447,4877,2683,611,104,38,237,59002
UCL303001,12417,1163,627,194,35,14,95,14543
UCL303002,21948,1993,1022,193,28,14,98,25290
UCL303003,8206,721,498,91,14,10,68,9609
UCL303004,14964,1499,1034,204,30,21,104,17858
UCL311001,3658,433,279,38,9,7,43,4471
UCL311002,3533,411,287,45,15,3,38,4325
UCL311003,7246,649,403,89,11,12,40,8463
UCL311004,5334,483,349,81,21,10,42,6315
UCL312001,3303,305,235,38,0,3,18,3898
UCL312002,1445,170,122,27,5,3,13,1793
UCL313001,914,81,61,8,0,0,3,1065
UCL313002,945,149,82,16,3,3,12,1204
UCL313003,1130,93,82,11,0,0,10,1324
UCL313004,1510,98,81,15,3,0,7,1714
UCL313005,1062,103,98,12,3,0,11,1283
UCL313006,1235,142,131,17,4,0,9,1540
UCL313007,791,67,66,7,0,3,4,939
UCL313008,1658,138,118,32,3,0,25,1985
UCL313009,1546,170,108,15,3,0,9,1850
UCL313010,1073,102,79,15,4,0,9,1293
UCL313011,1445,128,67,11,0,3,7,1668
UCL314001,670,69,39,4,0,0,3,784
UCL314002,465,48,34,3,6,0,0,555
UCL314003,713,63,39,6,0,0,4,825
UCL314004,378,49,43,10,0,0,0,481
UCL314005,459,47,41,9,5,0,3,554
UCL314006,583,45,35,5,0,0,4,680
UCL314007,645,66,51,5,0,0,3,777
UCL314008,566,50,53,8,0,0,7,677
UCL314009,505,25,42,4,0,0,5,572
UCL314010,431,33,34,9,0,3,0,507
UCL314011,492,31,22,4,0,3,6,566
UCL314012,551,52,41,14,0,5,4,664
UCL314013,1179,68,57,16,3,0,5,1335
UCL314014,512,37,25,14,0,0,11,595
UCL314015,692,74,63,10,0,0,7,850
UCL314016,524,67,48,11,0,0,5,663
UCL314017,1012,58,57,3,0,0,6,1140
UCL314018,843,67,39,7,0,0,0,955
UCL314019,636,42,38,8,0,0,5,726
UCL314020,708,91,66,18,8,0,5,892
UCL314021,636,69,22,9,0,0,4,740
UCL314022,1131,79,62,13,0,0,3,1289
UCL315001,294,24,13,0,0,0,0,335
UCL315002,78,14,3,0,0,0,0,93
UCL315003,72,5,7,10,11,0,5,107
UCL315004,72,11,11,5,3,0,4,107
UCL315005,239,31,23,3,0,0,6,303
UCL315006,500,33,33,6,0,0,4,577
UCL315007,217,18,10,4,0,0,3,255
UCL315008,180,17,10,3,0,0,8,225
UCL315009,40,10,3,0,0,0,0,47
UCL315010,383,25,37,0,0,0,4,445
UCL315011,122,9,4,0,0,4,0,140
UCL315012,59,6,6,0,0,0,0,70
UCL315013,244,31,11,4,0,0,0,286
UCL315014,322,24,40,3,0,0,3,398
UCL315015,236,15,7,3,0,0,0,265
UCL315016,57,6,3,6,3,0,0,79
UCL315017,67,15,5,0,0,0,0,88
UCL315018,208,7,12,0,0,0,0,228
UCL315019,83,9,9,3,0,0,0,104
UCL315020,188,15,3,3,0,0,4,223
UCL315021,79,13,7,0,0,0,4,100
UCL315022,97,10,8,0,0,0,8,120
UCL315023,121,12,13,0,0,0,0,155
UCL315024,207,25,19,6,0,0,0,253
UCL315025,110,6,14,0,0,0,3,137
UCL315026,108,8,7,0,0,0,0,123
UCL315027,231,21,18,3,0,0,0,268
UCL315028,112,10,11,20,0,0,3,159
UCL315029,213,22,19,0,0,0,0,256
UCL315030,334,38,28,6,0,0,3,414
UCL315031,290,44,23,3,0,0,0,357
UCL315032,110,10,8,3,0,0,0,131
UCL315033,355,49,25,3,0,0,0,436
UCL315034,154,21,4,0,0,0,0,183
UCL315035,281,18,10,3,0,0,3,311
UCL315036,60,11,0,18,0,0,9,95
UCL315037,20,0,0,0,0,0,0,21
UCL315038,117,9,8,0,0,0,0,133
UCL315039,230,23,15,3,3,0,0,285
UCL315040,51,3,0,5,0,0,0,64
UCL315041,337,18,14,5,0,0,0,382
UCL315042,171,27,8,0,0,0,0,210
UCL315043,509,47,53,4,3,4,5,623
UCL315044,489,50,43,6,3,0,9,596
UCL315045,172,17,10,0,0,0,0,199
UCL315046,162,16,13,4,0,0,3,197
UCL315047,120,9,12,0,0,0,0,145
UCL315048,169,18,6,0,0,4,4,197
UCL315049,189,16,31,0,0,0,4,242
UCL315050,357,39,22,4,0,0,5,421
UCL315051,261,23,21,3,3,0,0,313
UCL315052,227,17,16,3,0,0,3,264
UCL315053,297,35,35,3,3,0,3,373
UCL315054,80,25,13,0,0,0,3,118
UCL315055,118,6,8,0,0,0,0,136
UCL315056,167,27,6,5,0,0,0,210
UCL315057,294,18,25,0,0,0,0,340
UCL315058,176,13,11,0,0,0,0,211
UCL315059,298,13,14,6,0,0,0,335
UCL315060,213,17,15,0,0,0,0,250
UCL315061,70,10,7,0,0,0,0,86
UCL315062,119,8,4,0,0,0,0,134
UCL315063,59,4,4,0,0,0,4,71
UCL315064,352,29,19,3,0,0,0,407
UCL315065,124,15,14,4,0,0,0,160
UCL315066,123,11,5,3,0,0,3,150
UCL315067,109,17,13,8,0,0,0,147
UCL315068,137,6,12,0,0,0,0,153
UCL315069,107,10,9,0,0,0,0,129
UCL315070,78,4,8,7,0,0,0,94
UCL315071,112,15,11,6,3,3,3,148
UCL315072,176,23,28,0,0,0,6,231
UCL315073,58,11,0,0,0,0,0,64
UCL315074,333,41,33,12,0,0,4,419
UCL315075,140,12,10,19,3,3,11,206
UCL315076,440,42,15,4,0,0,0,509
UCL315077,234,17,25,5,0,0,4,289
UCL315078,146,13,9,0,0,0,0,174
UCL315079,197,24,15,0,0,0,0,234
UCL315080,269,31,17,0,0,0,3,323
UCL315081,62,7,4,0,0,0,0,75
UCL315082,143,8,3,5,0,0,3,155
UCL315083,98,15,14,0,0,0,0,131
UCL315084,154,22,23,0,0,0,0,204
UCL315085,117,21,10,3,0,0,3,146
UCL315086,333,15,5,3,0,0,0,357
UCL315087,240,32,18,5,0,0,3,295
UCL315088,197,12,14,8,0,0,0,232
UCL315089,344,33,22,5,0,0,3,406
UCL315090,215,10,10,25,3,3,0,269
UCL315091,149,5,7,0,0,0,0,165
UCL315092,78,3,11,0,0,0,0,100
UCL315093,52,11,8,0,0,0,0,73
UCL315094,131,19,12,4,0,0,0,171
UCL315095,163,12,5,0,0,0,0,182
UCL315096,361,23,21,3,0,0,0,417
UCL315097,124,16,15,3,0,0,0,164
UCL315098,433,38,30,6,0,0,3,518
UCL315099,489,31,28,3,0,0,0,555
UCL315100,135,14,0,0,0,0,0,150
UCL315101,184,21,13,4,0,0,0,223
UCL315102,107,10,12,3,0,0,5,142
UCL315103,84,8,3,0,0,0,0,104
UCL315104,140,20,15,3,0,3,0,186
UCL315105,36,6,7,0,0,0,0,48
UCL315106,170,10,15,0,0,0,0,190
UCL315107,150,27,10,0,0,0,0,189
UCL315108,166,16,8,36,0,0,6,223
UCL315109,402,40,35,3,0,0,9,494
UCL315110,90,0,3,0,0,0,5,93
UCL321001,70,7,0,0,0,0,0,80
UCL321002,45,5,0,0,0,0,0,47
UCL321003,52,7,4,0,0,0,0,67
UCL321004,37,7,3,0,0,0,0,47
UCL321005,55,6,0,0,0,0,0,66
UCL321006,76,11,3,0,0,0,0,87
UCL321007,70,3,13,3,0,0,7,93
UCL321008,126,6,3,0,0,0,0,137
UCL321009,50,5,3,0,0,0,0,60
UCL321010,99,3,3,0,0,0,0,106
UCL321011,56,7,3,0,0,0,0,71
UCL321012,91,4,4,0,0,0,0,97
UCL321013,111,14,7,3,0,0,0,129
UCL321014,40,7,4,0,0,0,0,47
UCL321015,75,12,3,0,0,0,0,91
UCL321016,95,13,8,0,0,0,3,116
UCL321017,90,6,3,0,0,0,0,93
UCL321018,39,3,0,0,0,0,0,45
UCL321019,110,5,0,0,0,0,0,113
UCL321020,52,13,8,0,0,0,0,71
UCL321021,114,12,10,0,0,0,0,140
UCL321022,71,10,9,0,0,0,0,90
UCL321023,73,3,4,0,0,0,3,87
UCL321024,78,7,5,0,0,0,0,90
UCL321025,56,10,3,4,0,0,0,67
UCL321026,48,10,0,0,0,0,0,57
UCL321027,82,15,9,0,0,0,0,99
UCL321028,94,3,12,0,0,0,0,111
UCL321029,27,8,3,0,0,0,0,38
UCL321030,42,3,7,3,0,0,0,53
UCL321031,88,6,7,0,0,0,0,103
UCL321032,215,10,4,3,0,0,0,237
UCL321033,38,4,6,0,0,0,0,48
UCL321034,49,6,4,0,0,0,6,67
UCL321035,129,19,13,3,0,0,3,168
UCL321036,116,7,4,0,0,0,0,133
UCL321037,92,10,11,0,0,0,0,109
UCL321038,54,3,6,0,0,0,0,66
UCL321039,50,7,0,3,0,0,0,64
UCL321040,71,10,10,0,0,0,3,89
UCL321041,111,9,3,0,0,0,0,122
UCL321042,61,7,3,0,0,0,0,71
UCL321043,66,3,3,0,0,0,0,79
UCL321044,36,3,8,0,0,0,0,49
UCL321045,64,7,3,4,0,0,0,80
UCL321046,81,0,5,0,0,0,0,84
UCL321047,42,8,3,4,0,0,0,63
UCL321048,238,27,10,3,0,0,0,285
UCL321049,68,17,8,0,0,0,3,99
UCL321050,125,11,3,0,0,0,0,145
UCL321051,66,3,0,0,0,0,0,73
UCL321052,62,7,4,0,0,0,0,66
UCL321053,27,5,0,0,0,0,0,34
UCL321054,47,6,3,0,0,0,0,63
UCL321055,51,5,9,0,0,0,0,70
UCL321056,54,7,0,0,0,0,3,68
UCL321057,66,5,0,6,0,0,3,84
UCL321058,39,6,3,3,0,0,0,54
UCL321059,33,4,3,0,0,0,0,38
UCL321060,78,0,6,3,0,0,0,89
UCL321061,41,4,3,0,0,0,0,50
UCL321062,43,4,3,9,0,0,3,54
UCL321063,100,4,6,0,0,0,0,115
UCL321064,72,3,5,0,0,0,0,83
UCL321065,24,0,0,0,0,0,5,30
UCL321066,136,10,3,0,0,0,0,156
UCL321067,44,7,6,0,0,0,0,68
UCL321068,29,5,0,0,0,0,0,32
UCL321069,49,8,4,11,0,0,5,79
UCL321070,96,7,3,4,0,0,0,110
UCL321071,25,6,0,0,0,0,0,32
UCL321072,112,11,6,4,0,0,0,141
UCL321073,37,4,8,6,3,0,5,58
UCL321074,76,16,9,0,0,0,0,93
UCL321075,70,9,0,0,0,0,0,81
UCL321076,53,9,9,0,0,0,0,63
UCL321077,68,3,0,0,0,0,0,77
UCL321078,89,9,11,0,0,0,6,114
UCL321079,98,4,9,0,0,0,0,109
UCL321080,60,7,4,0,0,0,0,73
UCL321081,73,4,3,0,0,0,3,86
UCL321082,105,7,8,0,0,0,3,127
UCL321083,74,6,9,4,3,0,7,104
UCL321084,37,3,0,0,0,0,0,38
UCL321085,59,4,3,0,0,0,0,68
UCL321086,63,12,6,3,3,3,4,94
UCL321087,176,13,9,3,0,0,0,200
UCL321088,37,7,3,0,0,0,0,43
UCL321089,65,6,3,0,0,0,0,78
UCL321090,115,19,10,0,0,0,0,146
UCL321091,41,3,3,0,0,0,0,44
UCL321092,42,5,3,4,0,0,6,67
UCL321093,65,3,8,0,0,0,0,70
UCL321094,46,0,6,0,0,0,0,57
UCL321095,45,10,0,0,0,0,0,55
UCL321096,36,0,0,0,0,0,0,40
UCL321097,26,3,0,0,0,0,0,32
UCL321098,108,9,3,0,0,0,0,115
UCL321099,8,3,0,0,0,0,0,11
UCL321100,75,5,3,0,0,0,0,84
UCL321101,43,10,3,0,0,0,0,59
UCL321102,73,0,6,5,0,0,0,84
UCL321103,85,0,4,0,0,0,0,100
UCL321104,93,12,8,3,0,0,0,116
UCL321105,47,0,8,0,0,0,0,59
UCL321106,46,0,0,0,0,0,0,51
UCL321107,39,0,3,0,0,0,5,41
UCL321108,78,16,3,0,0,0,0,95
UCL321109,98,8,8,3,0,0,0,117
UCL321110,143,3,9,0,0,0,0,158
UCL321111,81,4,3,0,0,0,0,88
UCL321112,34,4,6,0,0,0,0,44
UCL321113,48,3,5,0,0,0,0,57
UCL321114,60,5,3,0,0,0,0,64
UCL321115,64,8,0,0,0,0,0,75
UCL321116,59,3,7,0,0,0,0,70
UCL321117,33,4,3,10,0,0,7,57
UCL321118,42,8,3,0,0,0,0,56
UCL321119,37,4,3,0,0,0,0,49
UCL322001,37,3,3,3,0,0,0,49
UCL322002,34,3,0,0,0,0,0,39
UCL322003,21,0,0,0,0,0,0,22
UCL322004,20,3,3,0,0,0,0,26
UCL322005,31,0,3,0,0,0,0,30
UCL322006,42,4,3,0,0,0,0,52
UCL322007,6,0,0,0,0,0,0,6
UCL322008,47,0,0,0,0,0,0,50
UCL322009,17,0,0,0,0,0,0,20
UCL322010,11,0,3,0,0,0,0,14
UCL322011,24,6,3,0,0,0,0,27
UCL322012,36,0,0,0,0,0,0,38
UCL322013,34,0,4,0,0,0,3,47
UCL322014,18,0,0,0,0,0,0,18
UCL322015,19,0,0,0,0,0,0,24
UCL322016,13,0,0,7,3,0,0,20
UCL322017,12,6,0,3,0,0,0,20
UCL322018,4,6,0,0,0,0,0,8
UCL322019,14,4,0,0,0,0,0,11
UCL322020,3,0,0,0,0,0,0,9
UCL322021,42,7,5,0,0,0,0,54
UCL322022,14,0,0,0,0,0,0,11
UCL322023,23,0,0,0,0,0,0,29
UCL322024,31,4,3,0,0,0,0,38
UCL322025,39,0,5,0,0,0,0,50
UCL322026,8,0,0,3,0,0,0,9
UCL322027,6,0,0,0,0,0,0,6
UCL322028,16,3,0,0,0,0,0,16
UCL322029,7,3,0,0,0,0,0,10
UCL322030,24,0,0,0,0,0,0,23
UCL322031,22,0,3,4,0,0,0,25
UCL322032,21,3,0,0,0,0,0,29
UCL322033,18,0,0,0,0,0,0,18
UCL322034,9,3,0,0,0,0,0,15
UCL322035,7,3,0,4,0,0,0,14
UCL322036,23,8,0,3,0,0,0,34
UCL322037,19,3,0,0,0,0,0,22
UCL322038,20,5,0,0,0,0,0,25
UCL322039,14,0,3,0,0,0,0,12
UCL322040,20,0,3,0,0,0,0,28
UCL322041,20,3,3,0,0,0,0,24
UCL322042,54,0,0,0,0,0,0,57
UCL322043,20,0,0,0,0,0,3,31
UCL322044,26,3,0,0,0,0,0,37
UCL322045,34,0,0,0,0,0,0,39
UCL322046,17,0,0,0,0,0,0,21
UCL322047,32,0,0,0,0,0,0,35
UCL322048,22,3,3,0,0,0,0,23
UCL322049,0,0,0,0,0,0,0,0
UCL322050,32,3,0,0,0,0,0,37
UCL322051,21,0,0,0,0,0,0,20
UCL322052,19,0,0,0,0,0,0,23
UCL322053,9,3,0,0,0,0,0,11
UCL322054,17,3,0,0,0,0,0,20
UCL322055,19,0,3,0,0,0,0,23
UCL322056,27,0,3,0,0,0,0,35
UCL322057,18,0,0,5,0,0,0,24
UCL322058,43,8,0,0,0,0,0,49
UCL322059,17,0,0,0,0,0,0,22
UCL322060,15,0,0,3,0,0,0,27
UCL322061,21,4,3,0,0,0,0,33
UCL322062,26,0,0,0,0,0,0,24
UCL322063,38,4,0,0,0,0,0,45
UCL322064,20,0,3,0,0,0,0,25
UCL322065,17,0,0,0,0,0,0,21
UCL322066,4,0,0,0,0,0,0,6
UCL322067,14,0,0,0,0,0,0,14
UCL322068,21,3,4,0,0,0,0,27
UCL322069,25,3,3,0,0,0,3,35
UCL322070,15,3,0,0,0,0,0,15
UCL322071,3,0,0,0,0,0,0,6
UCL322072,20,3,3,0,0,0,0,25
UCL322073,23,0,0,0,0,0,0,26
UCL322074,0,0,0,0,0,0,0,4
UCL322075,25,0,0,6,0,0,3,31
UCL322076,12,4,4,0,0,0,4,26
UCL322077,39,0,0,6,0,0,3,52
