UCL_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
UCL114018,17,8,39,36,22,19,6,14,3,155,0,0,0,0,0,0,0,0,0,3,8,8,9,10,5,3,3,0,0,35,4,8,22,9,9,12,8,12,7,92,328,576,668,391,393,149,162,143,45,2862
UCL114019,32,3,67,17,16,23,8,18,0,186,0,0,0,0,0,0,0,0,0,0,4,3,7,3,3,0,0,3,0,25,7,4,11,10,3,4,0,5,4,58,260,422,358,256,200,172,41,138,26,1883
UCL114020,15,4,38,28,9,6,9,10,0,116,0,0,0,0,0,0,0,0,0,3,3,0,3,0,3,0,0,3,0,17,10,10,16,11,12,5,9,7,12,93,220,446,337,245,187,101,78,101,28,1734
UCL114021,19,4,74,25,14,9,3,17,0,164,0,0,0,3,0,0,0,0,0,3,3,5,3,0,4,0,3,4,0,28,7,0,11,9,6,8,5,16,11,78,250,505,469,299,260,139,133,168,35,2267
UCL114022,20,0,56,15,11,19,11,13,4,143,0,0,0,0,0,0,0,0,0,3,3,3,0,0,4,0,6,5,0,25,4,8,18,20,5,13,12,10,6,96,211,479,405,309,259,149,118,183,29,2146
UCL114023,6,3,28,13,9,7,0,13,0,82,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,11,5,0,5,15,3,6,4,17,11,65,108,218,182,187,97,65,39,102,31,1031
UCL114024,9,0,31,17,3,0,3,8,0,74,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0,15,6,4,7,0,4,17,16,20,9,90,174,375,293,179,147,73,97,106,30,1464
UCL114025,14,3,55,27,18,13,7,13,0,148,0,0,0,0,3,0,0,0,0,3,4,3,5,0,0,0,12,4,0,35,5,10,11,15,4,20,17,14,14,116,279,539,469,308,282,152,208,133,48,2416
UCL114026,11,9,58,28,23,12,3,12,0,148,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,12,3,3,10,4,3,3,0,4,6,39,185,489,365,261,229,97,54,116,25,1813
UCL114027,11,5,48,27,7,9,3,9,0,122,0,0,0,0,0,0,0,0,0,3,0,4,6,4,0,0,3,0,3,17,0,3,13,3,0,0,0,14,0,36,169,273,268,164,148,86,50,73,20,1246
UCL114028,13,0,38,15,7,6,0,10,0,92,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,8,3,3,8,9,0,7,0,4,0,40,129,216,190,151,120,72,42,96,19,1032
UCL114029,11,3,35,15,13,16,3,14,3,110,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,3,0,0,17,3,0,4,3,9,0,4,7,4,37,135,233,333,210,163,99,96,120,24,1413
UCL114030,11,3,29,12,7,3,10,14,0,89,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,7,3,0,19,6,3,8,8,9,6,10,11,5,72,145,310,320,171,170,67,124,112,11,1423
UCL114031,12,0,38,28,8,13,0,15,0,124,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,6,0,0,6,3,3,10,9,6,3,13,18,10,77,129,240,303,241,197,125,99,134,28,1483
