UCL_CODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
UCL621019,248,299,550,27,29,55,7,3,12,3,4,12,7,3,9,0,0,0,0,0,0,51,68,125,3,0,3,0,0,0,0,0,0,74,87,165,4,5,12,3,0,0,109,118,233,27,30,53,382,447,832
UCL621020,181,159,336,30,35,69,8,11,15,7,4,14,17,20,37,6,3,14,15,13,27,24,23,51,0,0,0,0,0,0,0,0,0,77,73,149,0,6,12,4,4,10,120,113,232,42,38,85,346,307,653
UCL621021,146,138,281,27,28,53,5,3,9,3,3,4,3,7,10,3,0,4,4,0,11,32,36,64,0,0,0,0,0,0,0,0,0,52,45,100,0,3,3,4,3,7,78,84,162,25,13,35,248,232,479
UCL621022,184,186,374,23,23,45,0,3,6,14,18,31,8,12,13,0,0,0,3,3,9,39,36,70,3,0,3,0,0,0,0,0,0,65,66,132,3,4,8,0,0,0,91,92,182,12,14,28,286,300,582
UCL621023,187,191,375,34,26,64,11,12,21,8,6,14,10,6,17,0,3,7,5,11,13,40,38,74,0,0,0,0,0,0,0,0,0,74,74,147,0,0,0,3,3,4,107,105,216,36,33,74,334,326,661
UCL621024,175,164,338,55,50,101,5,9,8,9,13,15,16,8,25,3,0,5,6,3,7,13,23,38,0,0,0,0,0,0,0,0,0,51,53,107,3,3,6,0,0,0,107,111,217,27,27,47,305,300,607
UCL621025,122,138,253,24,26,44,3,0,5,0,3,7,6,9,20,0,0,0,3,3,3,65,66,135,0,0,0,0,0,3,0,0,0,84,87,167,3,3,12,0,0,0,113,110,223,25,17,42,258,271,524
UCL621026,169,167,336,17,33,49,8,8,14,3,3,8,4,4,10,0,0,4,3,0,3,41,48,87,3,4,12,0,0,0,0,0,0,68,66,135,3,7,4,3,0,7,94,102,198,41,58,99,300,330,634
UCL621027,232,223,454,49,56,102,3,3,10,0,3,5,3,3,6,0,0,0,8,3,10,30,35,69,0,0,3,0,0,0,0,0,0,45,51,95,0,0,3,0,0,0,100,107,202,28,27,55,357,356,714
UCL621028,186,158,348,38,43,81,10,15,24,9,6,14,22,11,28,3,4,10,8,3,7,21,29,51,3,4,6,0,0,0,0,0,0,74,68,138,4,3,9,4,3,9,121,115,240,33,38,67,341,309,653
UCL622001,127,130,259,15,14,30,0,4,9,0,0,0,0,8,9,0,0,0,0,0,0,30,40,68,0,0,0,0,0,0,0,0,0,39,52,84,0,3,3,0,0,0,51,67,115,19,25,47,204,225,424
UCL622002,68,54,123,9,10,21,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,16,19,38,0,0,0,0,0,0,0,0,0,24,21,50,0,0,0,0,0,0,34,38,68,7,7,14,115,97,210
UCL622003,112,112,222,19,13,35,0,3,3,0,0,3,0,3,3,0,0,0,0,0,0,14,20,37,0,0,0,0,0,0,0,0,0,14,30,44,3,0,5,0,0,0,40,41,84,13,16,34,170,170,336
UCL622004,134,130,267,5,6,14,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,21,18,36,0,0,0,0,0,0,0,0,0,26,25,45,3,3,6,0,0,0,31,29,62,10,7,25,180,170,349
UCL622005,60,61,119,10,5,16,4,0,6,0,3,3,3,4,8,0,0,0,0,0,3,3,4,4,0,3,4,0,0,0,0,0,0,13,14,22,0,0,0,0,0,0,19,21,40,15,4,24,98,87,177
UCL622006,101,97,196,14,10,27,3,3,9,0,0,0,0,0,3,0,0,0,0,0,3,50,52,97,0,0,0,0,0,0,0,0,0,58,57,113,0,0,0,0,0,0,70,70,137,15,17,39,186,181,369
UCL622007,122,146,270,11,10,13,0,0,0,3,3,10,3,3,10,7,3,6,5,5,13,35,34,62,0,0,0,0,0,0,0,0,0,49,47,93,3,0,4,0,0,0,59,57,117,14,12,23,192,213,412
UCL622008,92,69,161,6,8,12,0,0,3,3,0,5,0,0,3,3,4,6,0,0,0,23,18,42,0,0,0,0,0,0,0,0,0,30,24,57,0,3,4,0,0,0,44,37,77,6,5,14,139,116,252
UCL622009,89,94,185,3,3,3,3,3,4,0,3,3,4,5,3,0,0,0,0,0,3,26,23,46,0,0,0,0,0,0,0,0,0,40,35,67,0,0,0,0,0,0,39,35,76,12,6,22,147,139,287
UCL622010,145,118,269,39,34,69,7,3,11,12,7,20,7,10,18,4,0,4,3,3,7,15,14,26,3,0,3,0,0,0,0,0,0,48,42,85,12,8,19,0,0,0,91,82,178,8,17,22,251,216,468
UCL622011,86,64,153,16,22,37,0,0,0,8,4,13,0,0,0,0,0,0,0,0,0,22,16,43,0,0,0,0,0,0,0,0,0,32,25,59,0,0,0,0,0,0,48,45,95,10,5,21,142,119,264
UCL622012,124,106,235,8,5,7,3,5,10,0,3,3,8,3,5,0,0,0,0,0,0,14,23,37,0,0,0,0,0,0,0,0,0,22,32,57,0,0,0,0,3,3,29,38,68,21,23,43,170,167,342
UCL622013,90,90,180,19,22,38,4,11,12,0,3,3,11,7,18,0,0,0,0,0,3,36,46,83,0,0,0,0,0,0,0,0,0,57,66,120,0,0,0,0,0,0,71,85,157,8,10,22,174,190,357
UCL622014,102,95,201,17,18,38,5,6,9,3,0,3,0,0,0,0,0,0,0,0,0,11,20,31,0,0,0,0,0,0,0,0,0,23,24,44,0,0,0,0,0,0,39,43,84,19,24,48,168,161,325
UCL622015,121,109,229,7,3,15,6,8,10,3,4,3,0,3,8,3,4,4,0,0,3,31,32,57,0,0,0,0,0,0,0,0,0,39,45,89,3,0,0,0,0,3,55,51,108,8,11,22,185,176,362
UCL622016,68,72,144,17,26,44,3,12,13,3,9,13,6,12,21,7,3,5,0,0,4,20,20,37,0,0,0,3,0,5,0,0,0,46,54,98,6,6,9,0,0,0,62,93,154,16,16,36,151,181,332
UCL622017,79,78,159,11,3,16,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,15,24,40,0,0,0,0,0,0,0,0,0,20,27,48,0,0,0,0,0,0,28,36,63,10,7,14,114,121,236
UCL622018,98,85,186,6,3,6,0,0,3,3,3,3,3,0,3,0,0,0,0,0,4,24,26,51,0,0,0,0,0,0,0,0,0,31,37,65,0,4,4,0,0,0,32,42,77,20,17,37,157,145,301
UCL622019,129,116,246,9,11,22,7,6,14,7,5,11,3,3,4,0,0,3,7,3,4,25,37,65,0,0,0,0,5,4,0,0,0,45,54,100,3,3,3,0,0,0,61,69,130,20,24,45,202,210,418
UCL622020,113,114,226,16,16,32,0,0,0,8,3,12,0,0,0,0,0,0,0,0,0,16,23,47,0,0,0,0,0,0,0,0,0,27,31,59,0,0,0,0,0,0,43,47,85,6,12,19,160,165,330
UCL622021,110,85,197,13,9,25,0,7,10,14,14,25,5,4,7,0,0,0,9,6,11,36,29,61,0,0,0,0,0,0,0,0,0,60,46,103,0,0,0,0,0,0,68,60,135,9,8,15,190,155,340
UCL622022,76,82,162,9,21,29,0,0,0,7,3,6,6,4,9,0,0,0,0,0,3,19,15,33,0,0,0,0,0,0,0,0,0,28,25,53,0,0,0,0,0,0,39,46,82,7,10,15,125,133,256
UCL622023,136,139,277,18,24,37,0,3,3,5,6,14,4,9,17,3,4,3,3,0,3,17,26,46,3,0,3,0,0,0,0,0,0,39,54,91,0,0,3,0,0,0,61,76,135,25,22,51,221,238,461
UCL622024,69,54,123,0,3,3,7,0,7,3,4,11,0,0,3,0,0,0,3,3,5,11,9,24,0,0,0,0,0,0,0,0,0,24,13,40,0,0,0,3,0,0,27,20,46,14,9,25,108,83,192
UCL622025,59,57,115,6,12,25,0,3,3,0,0,3,9,3,11,0,3,4,3,0,3,5,6,16,0,0,0,0,0,0,0,0,0,16,16,32,0,0,0,0,0,0,30,29,55,6,5,12,95,89,183
UCL622026,72,67,134,11,11,29,4,3,5,0,3,3,4,0,3,0,0,0,0,0,3,26,23,47,0,0,0,0,0,0,0,0,0,32,32,72,0,0,0,0,0,0,51,47,101,23,27,50,140,138,282
UCL622027,97,95,197,5,6,17,3,5,6,3,0,3,3,3,6,0,0,0,0,0,0,24,22,44,3,0,6,0,0,0,0,0,0,32,33,61,4,9,19,0,5,5,45,55,97,9,15,27,160,162,318
UCL622028,129,119,247,13,11,25,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,22,36,65,0,0,0,0,0,0,0,0,0,30,44,73,0,0,0,0,0,0,41,50,93,17,13,25,180,179,361
UCL622029,79,93,173,7,16,19,3,5,10,4,3,6,7,4,14,0,4,3,4,3,4,3,4,8,0,0,0,0,0,0,0,0,0,23,22,46,0,0,0,0,0,0,32,40,76,10,12,20,122,139,266
UCL622030,119,109,223,12,18,29,0,0,0,0,4,5,5,7,10,0,0,5,3,3,6,30,25,53,0,0,0,0,0,0,0,0,0,35,40,77,3,0,6,0,0,0,57,57,114,17,17,32,184,177,369
UCL622031,153,139,293,15,23,42,6,3,6,6,3,5,8,9,20,5,3,3,0,0,0,16,16,26,0,0,0,0,0,0,0,0,0,33,29,67,0,0,0,0,0,0,50,52,105,21,22,51,228,218,451
UCL622032,136,117,253,26,24,55,3,4,6,5,4,10,9,3,13,0,0,0,0,0,0,30,34,60,0,0,0,3,0,3,0,0,0,48,52,99,0,0,0,0,0,0,72,79,151,22,20,41,235,216,453
UCL622033,88,92,180,14,16,21,0,3,4,3,3,10,0,0,0,0,0,0,0,0,0,14,21,40,0,0,0,0,0,0,0,0,0,24,28,49,0,0,3,0,0,0,35,49,80,6,9,20,124,152,272
UCL622034,53,43,99,9,15,17,0,3,3,3,0,3,3,3,10,0,0,0,0,3,4,3,3,7,0,0,0,0,0,0,0,0,3,16,9,27,0,4,6,0,0,0,22,27,49,6,0,8,82,70,149
UCL622035,69,65,133,11,3,12,0,4,7,3,5,7,4,3,3,0,3,4,3,0,3,9,6,21,0,0,0,0,0,0,0,0,0,19,19,41,0,0,0,0,0,0,31,24,52,15,16,26,119,99,218
UCL622036,86,80,164,6,5,16,0,3,0,0,0,4,0,0,0,0,0,0,0,0,3,22,17,44,0,0,0,0,0,0,0,0,0,26,19,51,0,3,3,0,0,0,35,35,67,14,17,30,133,129,270
