UCL_CODE_2016,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
UCL112003,48,30,9,6,10,0,103,12,7,12,3,3,0,34,32,11,15,0,10,0,66,42,15,9,3,10,0,79,37,19,25,11,11,0,101,52,34,25,15,24,0,155,63,61,40,19,24,0,204,71,97,47,28,32,0,284,65,134,28,25,17,0,270,95,163,49,31,28,6,365,77,130,28,15,5,0,263,113,208,57,21,18,0,413,41,73,19,8,12,0,153,35,54,17,7,8,0,121,95,112,32,14,12,0,262,87,114,32,8,10,3,248,18,43,13,3,0,0,75,12,13,3,0,0,0,29,36,38,19,3,3,0,96,1027,1343,491,221,220,14,3324
UCL112004,52,14,13,4,3,0,91,13,6,3,0,0,3,19,20,14,8,0,5,0,40,17,3,8,3,3,0,31,27,17,6,3,10,0,61,24,22,13,11,10,0,79,34,32,12,6,3,0,96,38,46,19,7,15,0,131,23,51,18,9,9,3,109,31,66,27,6,16,0,151,34,67,22,5,8,0,143,59,101,38,10,16,3,227,34,58,11,7,0,0,113,17,37,16,0,0,0,74,62,79,15,11,11,0,176,54,117,51,11,9,0,235,25,39,15,3,7,0,86,22,44,14,0,0,0,79,37,30,14,4,3,0,86,624,838,330,100,122,13,2029
UCL112005,17,13,10,3,8,0,49,7,3,3,5,3,0,20,31,7,17,8,10,0,62,12,6,5,5,10,0,42,33,25,11,9,8,0,85,38,37,22,19,15,0,135,47,52,22,15,19,0,162,66,111,31,23,11,0,249,48,108,29,24,10,3,226,75,124,37,20,8,0,267,31,61,18,13,8,0,125,29,89,28,8,5,0,151,12,44,7,0,3,0,62,3,12,4,0,0,0,19,16,50,17,0,3,0,84,13,36,15,4,0,0,77,7,12,5,0,0,0,25,4,0,0,0,0,0,9,15,28,17,11,8,3,71,502,819,301,169,118,16,1914
UCL112006,65,23,29,3,8,0,131,24,8,5,3,9,0,49,42,19,18,0,13,0,95,30,15,14,7,14,0,79,67,31,17,17,19,3,155,89,68,48,26,32,0,254,94,78,48,30,31,3,288,95,131,52,47,37,0,374,95,198,65,40,31,4,424,135,214,70,42,27,0,480,102,178,57,28,18,0,386,116,228,82,19,19,0,467,64,101,12,11,7,0,190,25,48,9,7,3,0,90,72,138,37,19,8,0,271,63,106,36,8,10,3,229,18,24,8,0,0,0,55,13,28,8,0,4,0,55,42,51,26,10,14,0,140,1252,1676,640,321,306,25,4220
UCL112007,26,11,9,4,3,0,52,15,5,0,3,0,0,23,35,7,7,3,8,0,62,23,13,16,5,5,0,65,55,29,23,18,12,0,136,75,81,40,19,22,3,235,90,138,47,22,28,7,326,108,204,52,60,25,9,453,92,172,58,27,29,4,378,134,230,47,29,12,0,454,58,163,24,18,3,0,262,85,165,44,18,15,0,321,31,64,12,0,3,0,115,23,38,10,7,3,0,72,38,66,23,3,3,0,147,31,53,24,3,5,0,112,8,24,4,4,0,0,41,6,10,0,3,0,0,22,39,38,23,10,7,0,127,966,1498,461,261,183,25,3400
UCL112008,24,12,8,3,3,5,50,9,9,3,0,0,0,18,12,11,14,3,3,0,36,19,5,8,3,6,0,39,42,18,11,7,12,0,87,44,41,29,18,19,3,147,66,61,30,13,8,4,182,65,102,28,24,21,0,236,71,104,34,23,15,0,251,71,126,45,18,15,3,281,34,85,22,3,3,0,152,59,102,35,12,10,0,215,14,45,16,0,3,0,77,4,22,0,0,0,0,32,30,42,16,7,0,0,93,25,31,16,3,3,0,72,8,14,8,0,0,0,31,4,4,0,0,0,0,14,23,26,17,5,5,0,82,627,861,321,138,125,22,2088
UCL112009,31,13,14,5,10,0,72,16,4,3,5,8,0,28,23,8,14,7,6,0,55,15,11,14,5,11,0,58,40,38,30,11,18,3,138,43,36,19,20,28,4,159,39,70,38,41,17,3,207,90,124,35,44,40,3,335,82,158,34,39,20,3,332,101,166,38,25,14,0,351,41,96,28,20,9,0,199,58,89,29,15,15,0,208,19,43,5,3,3,0,73,5,23,4,0,3,0,33,14,54,15,4,4,0,97,14,30,11,0,3,0,59,6,9,0,0,0,0,17,7,3,3,0,3,0,14,24,25,10,10,7,0,79,681,1009,330,264,212,25,2517
UCL112010,0,3,0,0,0,0,3,0,0,0,0,0,0,5,3,0,0,0,0,0,3,0,3,0,3,0,0,6,5,3,3,0,3,0,20,11,18,9,4,0,0,35,6,16,0,0,0,0,25,8,21,9,0,0,0,36,8,15,0,0,3,0,23,8,25,8,0,0,0,36,4,13,3,0,0,0,19,4,8,3,0,0,0,20,0,3,0,0,0,0,8,3,3,0,0,0,0,4,0,3,0,0,0,0,6,0,6,0,0,0,0,9,0,3,4,0,0,0,12,0,4,0,0,0,0,3,7,5,3,0,0,0,18,78,146,40,8,13,0,295
UCL112011,33,15,10,8,5,0,69,25,0,8,3,3,0,36,17,9,10,0,11,0,57,30,9,10,9,9,0,68,47,21,19,13,11,0,115,63,52,18,16,19,0,165,71,100,42,15,23,0,258,79,115,48,38,22,3,310,76,143,32,25,17,0,305,88,170,37,21,14,5,332,59,113,20,20,4,3,219,80,153,31,11,16,0,293,26,67,13,3,0,0,99,12,28,4,7,0,0,43,33,61,17,10,7,0,126,29,37,17,3,6,0,90,9,14,7,0,0,0,30,3,4,3,0,0,0,14,21,46,16,3,10,0,97,808,1135,365,212,194,17,2730
UCL112012,37,21,17,4,5,0,76,13,3,3,0,3,0,19,27,9,8,0,4,0,57,22,15,3,3,7,0,54,60,40,18,16,17,0,151,74,60,30,25,29,4,215,93,103,31,16,18,4,267,106,164,53,35,32,0,387,105,178,39,29,24,3,378,107,254,48,39,16,4,473,68,169,30,15,8,0,287,100,236,49,15,18,3,421,35,109,23,5,3,0,178,19,57,11,6,0,0,91,63,121,30,3,11,3,224,48,113,32,11,6,0,210,14,34,3,3,0,0,57,7,21,6,0,0,0,33,36,31,17,11,9,0,112,1028,1728,460,239,214,21,3695
UCL112013,78,20,18,3,8,0,126,25,11,7,3,10,0,49,37,24,9,3,12,3,89,23,11,11,3,9,0,59,41,16,18,3,14,0,95,72,56,33,18,21,3,201,67,69,28,23,26,0,224,82,102,48,30,26,0,289,105,159,35,33,33,0,359,129,178,60,42,23,4,433,92,171,42,18,11,0,341,137,242,60,28,16,3,481,59,115,22,5,0,3,200,34,61,13,5,3,0,119,75,147,37,11,6,3,275,52,125,43,11,6,0,234,28,40,9,3,3,0,83,11,26,0,3,0,0,44,58,62,12,9,11,0,155,1207,1616,506,253,234,20,3845
UCL112014,31,12,6,0,9,3,61,17,6,3,3,7,0,34,15,7,11,5,3,0,44,22,13,3,3,8,3,50,46,31,19,14,18,0,126,78,64,35,22,29,3,225,79,98,54,31,30,0,288,126,167,54,41,30,0,412,101,177,43,29,17,0,367,78,166,46,35,18,0,341,60,89,21,10,15,0,203,57,118,40,8,4,0,230,23,37,14,3,0,0,70,11,20,8,3,0,0,37,33,40,19,0,6,0,94,32,30,13,0,3,0,73,0,14,6,0,0,0,15,6,3,3,0,0,0,11,28,37,14,6,7,0,93,830,1135,394,230,189,26,2798
UCL112015,54,29,28,9,12,0,133,10,8,10,0,3,0,33,34,20,17,7,7,0,90,22,19,8,7,13,0,73,71,40,15,8,27,0,163,106,79,40,33,29,6,294,117,159,64,41,29,3,414,178,219,74,48,35,12,572,156,258,74,52,30,8,585,173,310,86,28,25,4,628,64,196,44,18,8,5,335,100,248,86,14,25,0,472,37,84,9,3,0,0,141,25,53,10,7,0,3,89,53,131,36,7,8,0,242,49,137,38,5,5,0,239,26,42,8,0,0,0,74,11,19,5,0,0,3,38,61,51,25,6,17,0,162,1345,2112,689,302,279,49,4772
UCL113001,21,7,0,0,4,0,34,11,0,0,0,0,0,11,17,3,3,0,4,0,27,13,0,4,0,0,0,22,13,3,6,4,9,0,38,30,13,17,8,6,0,73,20,18,11,6,3,3,66,42,25,13,9,10,0,99,28,27,13,10,10,0,85,34,37,17,12,11,0,107,17,33,14,7,5,0,72,37,51,8,9,8,0,114,12,23,8,8,3,0,61,3,8,0,0,0,0,10,22,35,11,5,0,0,72,20,30,11,5,0,0,57,9,10,10,0,0,0,23,6,8,0,0,0,0,17,15,10,7,0,6,0,38,371,338,145,79,82,7,1022
UCL113002,16,3,0,3,3,0,24,11,0,3,0,0,0,15,14,3,3,0,3,0,21,14,0,0,3,0,0,22,22,5,3,3,3,0,36,22,7,11,7,9,0,50,25,10,11,7,5,0,58,21,27,10,3,12,0,75,24,31,12,3,4,0,70,28,27,4,8,8,4,81,12,22,8,3,7,0,52,33,26,15,0,0,0,74,6,12,4,3,0,0,23,3,3,0,0,0,0,3,4,18,4,3,0,0,31,17,14,4,3,3,0,37,0,3,0,5,0,0,5,0,0,0,0,0,0,3,14,13,10,7,3,0,43,291,215,103,59,62,9,737
UCL113003,20,14,8,4,0,3,60,13,3,6,5,6,0,35,37,24,17,15,21,0,111,37,30,17,6,11,0,105,68,72,25,36,21,0,227,60,78,25,42,17,4,226,62,90,34,22,14,3,225,48,80,37,25,10,0,197,25,66,17,12,3,0,126,28,36,10,3,3,0,86,6,26,6,4,3,0,46,17,27,9,7,3,0,63,4,12,3,0,0,0,22,0,6,0,0,0,0,8,5,14,8,3,0,0,26,5,14,4,0,0,0,17,0,3,0,0,0,0,7,3,4,0,0,0,0,14,30,21,10,13,10,9,92,482,625,234,199,119,24,1691
UCL113004,10,5,0,0,0,0,16,6,0,0,0,0,0,6,13,0,0,0,0,0,13,6,0,0,0,0,0,10,11,4,0,0,0,0,19,11,15,10,0,3,0,36,16,10,4,3,3,0,31,15,32,4,4,4,0,62,18,27,8,3,3,0,52,8,42,6,3,3,0,67,9,29,5,3,0,0,51,18,35,16,0,0,0,70,6,18,0,0,0,0,22,0,3,0,0,0,0,9,3,21,4,0,0,0,32,0,18,3,0,0,0,20,3,4,0,0,0,0,8,0,6,0,0,0,0,6,17,12,3,0,4,0,39,169,265,76,22,19,0,553
UCL113005,36,4,6,3,4,0,57,13,0,3,0,5,0,20,24,4,4,0,0,0,42,13,3,4,4,5,0,30,46,6,5,4,7,0,74,30,7,21,8,8,3,72,27,26,10,5,8,0,85,49,39,22,15,11,4,143,44,57,17,6,9,0,128,37,63,14,9,4,0,135,33,45,14,3,5,0,103,32,56,19,10,10,0,118,18,14,7,3,7,0,42,6,11,0,0,0,0,24,24,26,11,3,3,0,64,21,26,7,3,0,0,60,15,10,0,0,0,0,24,4,3,0,0,0,0,9,26,17,11,4,3,0,59,493,434,182,89,88,10,1299
UCL113006,21,5,12,0,0,0,38,10,0,0,0,0,0,16,22,3,6,4,3,0,37,26,9,12,5,9,0,59,28,18,11,7,8,0,74,45,57,30,11,13,0,162,35,78,26,23,24,0,190,68,110,24,29,21,0,247,39,91,12,14,8,3,166,46,72,21,13,4,0,157,9,33,5,4,3,0,59,24,40,14,7,3,0,85,4,12,0,0,0,0,14,0,5,0,0,0,0,10,7,15,11,3,3,0,43,7,19,3,0,4,0,27,0,0,3,0,0,0,5,0,0,0,0,0,0,0,16,27,7,7,0,0,48,415,589,194,127,102,13,1436
UCL113007,14,13,12,3,0,0,43,4,0,0,0,0,0,5,11,8,12,0,3,0,28,6,8,5,4,3,0,30,16,20,6,0,4,0,46,21,46,15,13,11,3,102,39,55,18,11,14,3,133,52,103,28,11,11,3,213,50,98,29,3,16,4,193,53,101,25,8,4,3,199,22,74,9,4,3,0,122,38,74,35,12,3,3,156,7,19,8,0,3,0,42,11,10,9,0,0,0,20,10,40,11,3,4,0,71,17,42,4,0,0,0,65,7,15,4,0,0,0,24,3,10,0,0,0,0,16,14,20,15,4,3,0,58,389,743,249,87,82,15,1561
UCL113008,10,3,0,3,4,0,25,7,3,0,3,3,0,15,5,9,8,0,6,0,30,12,0,4,0,0,0,19,21,9,7,6,5,0,48,26,45,16,9,4,0,96,35,46,9,14,12,0,109,31,54,15,20,16,0,133,26,25,11,16,4,0,86,17,19,7,5,3,0,53,14,17,0,8,4,0,42,4,11,8,6,3,0,26,3,5,0,0,0,0,9,0,0,0,0,0,0,5,3,4,4,0,0,0,17,3,6,0,0,0,0,6,0,5,0,0,0,0,4,3,0,0,0,0,0,5,9,9,3,3,7,0,32,211,273,99,94,76,3,764
UCL113009,26,21,8,0,3,0,59,7,0,9,0,0,0,15,17,4,9,0,4,0,34,16,6,3,3,4,0,26,14,5,16,7,4,0,43,17,13,11,0,7,0,51,18,14,25,0,8,0,68,21,35,20,3,0,0,85,22,28,19,4,5,0,76,20,42,22,4,4,0,93,28,37,18,5,5,0,98,30,82,28,6,8,0,149,7,43,5,4,4,0,73,18,28,6,3,3,0,60,28,104,20,0,4,0,155,50,99,29,3,0,0,180,21,35,5,3,0,0,61,6,14,9,0,0,0,36,12,25,12,0,0,0,52,375,634,281,41,70,3,1407
UCL113010,9,9,10,3,5,0,40,3,3,8,0,0,0,17,17,3,9,0,7,0,40,18,8,9,0,10,0,50,19,15,30,7,6,3,83,39,29,31,17,9,0,128,48,71,33,11,17,0,183,56,131,35,27,23,7,274,61,114,25,12,12,0,227,36,120,41,8,10,3,218,30,54,9,3,4,0,100,42,85,26,4,4,0,163,17,30,6,3,0,0,52,8,10,0,0,0,0,12,13,55,8,7,9,0,90,14,39,6,0,4,0,67,5,7,3,0,0,0,20,0,3,4,0,0,0,9,23,14,16,4,7,0,73,464,805,300,116,129,14,1826
UCL113011,8,7,4,0,0,0,24,3,0,3,0,0,0,13,5,3,0,4,3,0,22,11,6,3,4,3,0,25,12,20,8,6,8,0,55,22,25,18,7,16,0,89,23,34,16,10,9,0,91,30,65,11,11,5,0,130,18,39,23,7,0,3,89,20,50,12,6,6,0,91,13,26,11,0,0,0,47,18,40,8,4,3,3,77,5,18,5,0,0,0,31,0,5,0,0,0,0,12,14,27,15,0,0,0,56,9,14,17,0,0,0,42,3,0,0,0,4,0,12,3,0,0,0,0,0,9,12,9,11,3,3,0,39,238,403,161,70,60,11,940
