UCL_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
UCL114002,0,0,0,16,3,3,0,0,0,0,0,3,0,7,38,47,0,0,0,0,0,0,0,0,0,14,0,19,60,16,0,56,5,34,0,48,3,290,35,561
UCL114003,3,9,0,57,0,0,0,0,0,3,0,0,0,10,67,77,0,0,0,0,0,0,0,0,0,9,6,14,121,80,9,125,14,56,12,71,9,232,72,800
UCL114004,0,8,0,13,3,0,0,3,0,0,0,5,0,21,52,89,0,0,0,0,0,0,0,0,0,18,16,37,70,49,7,81,10,57,8,78,11,943,72,1387
UCL114005,0,3,0,9,0,3,0,3,0,0,0,0,0,13,33,45,0,0,0,0,0,0,0,0,0,18,7,27,110,47,3,86,6,49,5,70,17,490,50,943
UCL114006,0,3,0,22,0,0,0,3,0,0,0,0,0,8,53,66,0,0,0,0,0,0,0,0,0,4,7,15,137,36,4,87,7,51,6,46,9,263,63,713
UCL114007,0,4,0,17,5,0,0,3,0,3,0,0,0,12,34,54,0,0,0,0,0,0,0,0,0,15,8,26,112,22,7,79,8,51,4,54,3,395,43,791
UCL114008,0,0,0,13,3,0,0,0,0,3,0,4,0,10,26,44,0,0,0,0,0,3,0,4,0,19,3,27,97,23,7,58,17,71,12,59,16,337,29,722
UCL114009,0,3,0,14,0,0,0,0,0,8,0,3,0,19,31,61,0,0,0,3,0,0,0,0,0,15,7,25,119,42,7,105,11,90,6,82,8,404,49,917
UCL114010,0,8,0,22,3,0,0,3,0,3,0,0,0,6,33,46,0,0,0,0,0,0,0,0,0,19,6,26,139,28,8,119,13,71,11,51,10,291,45,773
UCL114011,0,6,0,19,5,0,0,0,0,3,0,3,0,14,25,52,0,0,0,0,0,0,0,0,0,13,5,23,125,26,7,102,3,53,5,53,12,339,30,749
UCL114012,0,0,0,3,0,0,0,0,0,0,0,0,0,7,25,31,0,0,0,0,0,0,0,0,0,10,6,15,64,25,4,71,9,43,3,49,8,252,32,562
UCL114013,0,4,3,47,0,0,0,3,0,0,0,0,0,8,32,48,4,0,0,5,0,0,0,0,0,8,12,23,178,29,6,132,9,73,4,39,5,286,57,813
UCL114014,0,0,0,29,0,0,0,0,0,0,0,0,0,3,21,30,0,0,0,0,0,0,0,0,0,4,7,5,149,17,0,56,11,41,0,31,3,125,28,467
UCL114015,0,3,0,16,0,0,0,0,0,3,0,3,0,13,40,65,0,0,0,0,0,0,0,0,0,9,7,26,159,34,3,114,12,83,4,73,10,412,65,977
UCL114016,0,4,0,10,0,0,0,3,0,3,0,0,0,7,23,43,0,0,0,0,0,0,0,0,0,11,5,21,167,22,9,101,11,64,9,37,10,249,34,721
UCL114017,0,6,0,54,0,0,0,3,0,4,0,3,0,5,40,60,4,0,0,0,0,0,0,3,0,3,0,11,114,57,5,97,9,47,4,71,9,208,46,654
UCL114018,0,0,0,32,0,3,0,0,0,3,0,0,0,3,45,60,0,0,0,3,0,0,0,0,0,3,6,10,176,30,6,138,17,92,13,41,6,303,50,880
UCL114019,0,3,0,34,0,3,0,3,0,0,0,0,0,11,48,63,0,0,0,0,0,0,0,0,0,13,6,19,120,54,8,123,9,65,12,105,16,652,61,1227
UCL114020,0,4,0,28,4,0,0,0,0,0,0,3,0,12,30,54,5,0,3,3,0,0,0,0,0,6,10,30,179,23,10,92,16,62,9,38,7,172,53,650
UCL114021,0,3,0,22,3,0,0,4,0,4,0,0,0,4,48,63,0,0,0,4,0,0,0,0,3,7,8,17,149,37,3,116,7,91,5,53,8,352,58,883
UCL114022,0,3,0,15,0,0,0,3,0,4,0,0,0,9,35,56,0,0,0,0,0,0,0,0,0,11,7,19,132,47,0,104,11,63,6,65,7,415,50,900
UCL114023,0,0,0,15,0,0,0,0,0,0,0,3,0,15,32,55,0,0,0,0,0,0,0,0,0,13,6,21,56,31,3,55,11,46,11,59,6,512,46,836
UCL114024,0,0,0,19,0,0,0,0,0,3,0,3,0,3,28,39,0,0,0,0,0,0,0,0,0,11,7,22,128,26,9,78,6,61,3,49,0,191,36,591
UCL114025,0,3,0,33,3,0,0,0,0,3,0,3,0,19,64,86,0,0,0,0,0,0,0,0,3,8,11,28,176,42,5,125,13,88,5,65,18,349,77,964
UCL114026,0,0,0,12,0,0,0,0,0,0,0,0,0,4,35,50,0,0,0,0,0,0,0,0,0,6,6,9,80,28,0,86,6,49,9,48,8,368,43,735
UCL114027,0,4,0,18,0,0,0,0,0,0,0,3,0,7,41,49,3,0,0,0,0,0,0,0,0,12,5,23,68,32,7,62,7,41,3,66,8,446,56,785
UCL114028,0,8,0,19,0,0,0,0,0,0,0,0,0,7,31,37,0,0,0,0,0,0,0,0,0,14,6,26,66,28,4,48,9,41,3,62,13,514,39,823
UCL114029,0,3,0,8,0,0,0,0,0,0,0,0,0,8,34,44,0,0,0,0,0,0,0,0,0,10,12,21,82,25,0,67,5,62,0,61,8,363,48,725
UCL114030,0,3,0,21,0,0,0,3,0,7,0,0,0,7,41,57,0,0,0,0,0,0,0,0,0,14,9,25,111,14,3,114,14,57,4,43,7,265,59,682
UCL114031,0,0,0,7,0,0,0,0,0,0,0,3,0,18,32,59,0,0,0,0,0,0,0,0,0,13,5,24,96,29,8,74,11,56,6,52,11,378,42,757
UCL114032,0,10,0,17,0,0,0,0,0,0,0,0,0,13,59,77,0,0,0,0,0,0,0,0,0,16,3,19,72,38,3,71,11,42,3,71,9,606,68,997
UCL114033,0,0,0,5,0,0,0,0,0,0,0,0,0,13,11,27,0,0,0,0,0,0,0,0,0,12,3,16,42,17,4,24,0,13,3,26,5,153,19,318
UCL114034,3,0,0,23,0,0,0,0,0,4,0,0,0,5,24,43,0,0,0,0,0,0,0,0,0,10,4,12,107,17,7,55,4,42,3,32,13,218,34,541
UCL114035,0,0,0,9,0,0,0,3,0,7,0,3,0,5,23,40,0,0,0,0,0,0,0,0,0,5,5,11,106,23,4,87,3,62,0,51,6,294,36,675
UCL115001,0,0,0,4,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,6,3,8,34,6,0,25,4,18,4,12,0,72,12,191
UCL115002,0,0,0,5,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,20,4,0,14,5,21,0,4,4,39,10,124
UCL115003,0,0,0,3,0,0,0,0,0,0,0,0,0,7,12,20,0,0,0,0,0,0,0,0,0,4,9,12,14,15,0,16,0,21,3,20,5,137,20,260
UCL115004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,3,19,6,3,22,0,22,0,14,3,34,9,130
UCL115005,0,0,0,11,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,3,25,14,0,13,0,16,0,15,0,38,5,136
UCL115006,0,0,0,6,0,0,0,0,0,0,0,0,0,3,14,25,0,0,0,0,0,0,0,0,0,5,3,9,72,11,3,28,6,37,4,28,4,139,22,351
UCL115007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,4,4,10,17,8,3,22,3,8,0,13,6,79,11,166
UCL115008,0,0,0,7,0,0,0,0,0,0,0,0,0,4,5,13,0,0,0,0,0,0,0,0,0,5,0,8,22,4,0,25,5,18,3,20,3,89,11,210
UCL115009,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,10,0,11,16,7,0,16,0,10,0,16,0,79,3,143
UCL115010,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,10,0,0,0,0,0,0,0,0,0,5,0,5,18,7,0,20,0,11,5,9,3,94,7,178
UCL115011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15,0,0,0,0,0,0,0,0,0,0,0,0,18,5,0,17,6,4,3,11,3,50,12,130
UCL115012,0,0,0,8,0,0,0,0,0,0,0,0,0,5,22,31,3,0,0,0,0,0,0,0,0,10,4,18,63,22,3,52,3,42,0,27,3,167,29,412
UCL115013,0,0,0,4,0,0,0,0,0,0,0,0,0,3,13,14,0,0,0,0,0,0,0,0,0,3,0,8,37,30,0,31,0,15,3,26,3,112,13,279
UCL115014,0,0,0,5,0,0,0,0,0,0,0,0,0,7,12,15,0,0,0,0,0,0,0,0,0,4,3,6,17,15,0,23,0,6,0,27,0,135,16,232
UCL115015,0,4,0,13,0,0,0,0,0,0,0,0,0,0,19,20,0,0,0,0,0,0,0,0,0,4,0,7,27,12,0,23,0,14,0,30,3,198,18,330
UCL115016,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,13,0,0,0,0,0,0,0,0,0,5,0,5,13,9,0,7,3,3,0,7,0,89,6,157
UCL115017,0,3,0,23,0,0,0,0,0,0,0,0,0,4,47,54,0,0,0,3,0,0,0,0,0,3,7,7,74,45,0,59,4,52,5,59,4,208,52,564
UCL115018,0,0,0,3,0,0,0,0,0,0,0,0,0,3,12,15,0,0,0,0,0,0,0,0,0,3,0,3,56,9,0,39,3,21,3,21,0,89,18,270
UCL115019,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,0,0,0,0,0,0,0,0,0,6,0,3,22,3,0,23,5,14,0,13,3,48,5,128
UCL115020,0,3,0,9,0,0,0,0,0,0,0,0,0,3,20,33,0,0,0,0,0,0,0,0,0,0,3,5,46,17,0,45,4,14,3,30,7,184,26,369
UCL115021,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,0,0,0,0,0,0,0,0,0,3,0,4,26,10,4,15,0,9,0,13,0,53,5,142
