UCL_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
UCL212001,3107,393,100,28,24,3650,3495,156,47,4,4,3704,1768,605,427,8,8,2820,361,171,160,0,0,699,636,123,69,3,4,834,42,13,52,0,0,113,78,12,23,15,0,137,45,10,10,0,3,67,2929,942,748,25,16,4660,59,88,8,3,4,159,301,97,73,5,8,489,9891,1678,979,66,53,12667
UCL212002,4687,332,7,43,0,5065,5096,157,0,9,7,5270,2146,858,34,7,6,3051,575,212,43,0,0,834,843,162,9,5,3,1023,105,38,21,0,0,163,146,26,3,28,3,207,77,26,0,0,0,105,3888,1327,112,44,16,5386,140,49,0,0,0,185,464,128,22,6,3,626,14275,1993,142,96,29,16531
UCL212003,3242,179,192,0,0,3616,5357,77,141,0,3,5582,1288,153,340,3,6,1791,63,24,44,0,0,135,375,31,61,0,0,464,15,9,10,0,0,27,10,0,0,0,0,13,13,0,5,0,0,18,1769,215,460,3,9,2449,33,7,0,0,0,46,197,23,23,0,4,243,10598,504,814,5,18,11937
UCL212004,2817,140,84,43,9,3091,3428,65,58,3,3,3558,1181,174,348,0,3,1708,193,24,105,0,0,322,376,37,35,0,3,460,14,17,5,0,0,40,34,10,0,9,3,59,21,4,8,0,0,32,1820,265,507,15,15,2625,27,28,6,0,0,60,198,26,31,3,13,273,8295,528,677,61,46,9605
UCL212005,3544,374,64,7,10,4002,3283,181,37,3,5,3511,1370,609,238,3,16,2230,385,126,81,0,0,594,503,114,36,0,16,674,27,23,57,0,0,107,49,15,16,4,0,78,31,7,6,0,0,44,2369,887,432,6,29,3729,42,32,29,3,0,101,235,58,71,0,3,369,9474,1530,643,23,54,11713
UCL213001,1651,138,3,17,4,1813,2442,154,3,3,5,2599,658,229,3,4,0,897,146,30,34,0,0,209,218,45,23,0,0,286,9,62,3,0,0,70,14,3,0,9,0,30,23,6,0,0,0,22,1066,379,58,13,0,1515,43,6,0,0,0,57,128,36,0,0,14,173,5324,713,71,29,17,6161
UCL213002,1702,56,12,10,0,1786,1322,15,3,3,4,1350,680,122,45,0,3,857,189,79,19,0,0,287,250,12,6,0,4,277,61,4,10,0,0,79,23,4,0,3,3,34,23,0,0,0,0,23,1225,231,82,6,13,1555,52,4,0,0,0,56,162,15,3,3,47,228,4469,312,101,21,65,4969
UCL213003,1627,121,0,10,6,1767,1395,28,0,3,3,1427,412,155,0,4,0,570,135,60,19,0,0,218,225,56,0,3,0,284,25,20,0,0,0,46,18,6,0,9,0,40,17,12,0,0,0,24,829,309,20,24,0,1183,11,15,0,0,0,30,132,32,0,3,3,165,3996,501,23,34,9,4569
UCL213004,1316,62,58,29,0,1471,1544,26,7,5,0,1585,590,98,91,0,4,783,42,8,20,0,0,74,157,9,11,0,3,183,3,3,0,0,0,3,13,0,5,28,0,44,18,0,0,0,0,16,818,114,129,35,4,1106,5,0,0,0,0,3,106,10,8,7,0,126,3793,214,201,77,8,4294
UCL213005,1848,72,39,0,6,1964,1730,29,0,0,5,1770,552,63,3,5,7,632,6,3,0,0,0,10,176,12,4,0,0,193,9,0,0,0,0,8,9,0,0,0,0,16,11,0,0,0,0,13,769,85,6,5,3,867,22,0,0,0,3,21,112,4,4,0,0,124,4477,196,52,5,22,4746
