UCL_CODE_2016,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_0_4,M_Hong_Kong_5_14,M_Hong_Kong_15_24,M_Hong_Kong_25_44,M_Hong_Kong_45_54,M_Hong_Kong_55_64,M_Hong_Kong_65_74,M_Hong_Kong_75_84,M_Hong_Kong_85ov,M_Hong_Kong_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot
UCL112003,0,0,0,0,0,0,0,0,0,3,725,1620,1331,2237,1422,1502,1078,425,117,10455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,3,0,0,3,0,0,13,0,4,0,12,9,9,8,0,0,37,0,0,0,6,7,0,7,0,0,22,0,0,4,15,12,8,6,5,0,55,0,0,0,0,0,3,0,4,3,11,0,0,0,0,0,3,5,7,0,16,0,12,18,85,169,209,251,104,32,873,0,0,0,3,9,6,4,0,0,15,0,0,0,13,3,4,3,0,0,32,0,3,0,3,18,20,28,29,7,111,0,0,0,0,0,3,3,3,3,15,0,3,11,3,3,7,0,0,0,25,0,0,13,31,4,6,12,10,0,75,0,0,14,5,3,5,3,0,0,31,0,0,0,3,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,7
UCL112004,0,0,0,0,0,0,0,0,0,0,462,1123,853,1341,897,938,997,634,199,7446,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,10,4,5,3,3,0,23,0,0,0,0,3,0,0,0,0,8,0,0,0,6,6,0,3,0,0,20,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,5,0,0,7,0,12,16,54,90,103,200,129,51,659,0,0,0,0,0,0,3,0,0,7,0,0,3,0,5,0,3,0,0,16,0,0,0,3,3,9,27,5,7,57,0,0,0,0,0,0,5,10,0,21,0,3,3,3,0,0,4,0,0,14,3,9,3,43,5,5,5,3,0,76,0,0,0,3,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
UCL112005,0,0,0,5,0,0,0,0,0,5,711,1316,1345,2560,1073,1045,803,435,131,9407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,0,0,0,0,6,0,0,0,3,3,0,0,3,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,3,16,30,41,48,21,7,168,0,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,3,0,17,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0,7,0,0,0,13,3,0,3,0,0,25,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
UCL112006,0,5,25,0,5,0,0,0,0,33,1214,2679,2370,3923,2177,2432,1942,1023,385,18147,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,15,4,8,3,0,0,40,0,0,0,0,0,0,0,0,0,7,0,0,9,10,10,6,7,0,0,36,0,0,0,0,0,0,3,5,0,14,0,5,0,9,3,3,3,0,0,23,0,25,24,98,124,151,202,141,47,808,0,0,0,12,10,12,3,0,0,28,0,3,0,3,0,3,5,0,0,21,0,6,3,17,9,8,34,29,10,104,0,0,0,0,3,3,0,0,0,8,0,0,0,4,6,8,3,0,0,23,4,20,15,102,11,18,11,3,0,178,0,0,0,0,3,0,0,0,0,5,0,6,6,3,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,3
UCL112007,0,0,0,0,0,0,0,0,0,3,1218,2171,1933,3365,1635,1480,1031,638,237,13719,0,3,0,27,3,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,3,41,5,4,3,0,0,69,0,0,0,0,0,0,0,3,0,3,3,3,0,10,3,0,0,0,0,18,0,9,7,26,30,29,42,23,11,169,0,0,0,14,3,3,3,0,0,24,0,0,3,0,0,0,3,0,0,11,0,0,0,0,3,0,8,3,0,20,0,0,0,4,0,0,3,7,0,12,0,0,0,0,0,0,0,0,0,10,10,12,9,137,15,3,0,0,0,184,0,0,0,3,0,0,4,0,0,12,0,0,0,17,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3
UCL112008,0,0,3,0,0,0,0,0,0,3,674,1272,1306,2378,1194,1098,859,441,158,9371,0,0,0,9,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,5,3,0,0,0,0,11,0,0,0,3,0,0,0,0,0,3,0,0,3,21,3,4,0,0,0,29,0,0,0,4,0,0,3,0,0,8,0,0,0,3,0,0,0,3,0,10,0,7,3,26,36,56,53,29,10,225,0,0,0,9,6,0,0,0,0,16,0,3,0,3,0,0,0,0,0,9,0,0,0,3,3,6,12,5,3,31,0,0,0,0,0,0,3,4,0,9,0,0,0,3,0,0,0,0,0,10,0,6,4,54,3,3,3,0,0,71,0,0,3,4,0,3,0,0,0,8,0,0,0,4,0,0,0,0,0,8,0,0,0,10,0,0,0,0,0,10
UCL112009,0,0,0,0,0,0,0,0,0,0,722,1616,1553,2588,1392,1404,954,506,225,10953,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,3,0,3,0,18,0,0,0,0,0,0,0,0,0,3,3,0,0,7,4,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,6,8,42,44,67,65,31,14,271,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,3,4,0,0,9,0,0,4,4,6,15,17,8,0,53,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,3,0,0,0,3,0,3,4,25,5,3,3,0,0,49,0,0,0,7,0,0,0,0,0,16,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
UCL112010,0,0,0,0,0,0,0,0,0,0,88,153,103,229,135,107,83,36,6,932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,3,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL112011,0,0,0,4,0,0,0,0,0,3,984,1761,1694,3146,1358,1343,1096,578,216,12171,0,0,0,8,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,0,0,14,0,0,0,0,3,0,7,3,0,11,0,3,3,26,8,4,9,0,0,56,0,0,0,0,3,0,3,3,0,17,0,0,0,4,0,7,4,0,0,16,0,9,22,38,97,122,148,110,40,573,0,0,3,5,3,5,0,0,0,21,0,0,0,0,0,0,3,3,0,5,0,0,0,3,3,11,22,10,3,58,0,0,4,3,0,3,9,3,0,20,0,0,0,6,7,4,0,0,0,15,3,8,3,51,10,0,0,0,0,81,0,0,0,5,0,0,0,0,0,12,0,0,0,3,0,0,0,0,0,3,0,0,3,10,0,0,0,0,0,16
UCL112012,0,0,0,4,0,0,0,0,0,5,1416,2391,1956,3809,1714,1616,1160,663,225,14945,0,0,0,7,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,4,22,13,13,11,6,0,68,0,0,0,0,3,4,3,6,4,15,0,4,0,3,0,0,3,0,0,6,0,17,9,37,58,61,51,42,17,291,0,0,0,14,3,0,0,0,0,20,0,0,0,3,0,0,0,0,0,9,0,0,0,3,0,8,18,6,3,42,0,0,0,5,0,0,3,8,0,24,0,0,0,4,0,6,4,0,0,18,5,15,13,135,13,7,3,0,0,185,0,0,0,0,3,0,0,0,0,6,0,0,3,7,0,0,0,0,0,11,0,0,0,3,0,0,0,0,0,5
UCL112013,0,0,0,0,0,0,0,0,0,0,1057,2476,1950,3432,2065,2153,2112,1203,491,16942,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,14,7,9,0,3,0,41,0,0,0,0,0,0,0,0,0,5,0,0,9,14,5,4,3,3,0,53,0,0,0,0,3,0,3,3,0,17,0,3,0,4,5,3,11,3,0,29,4,40,13,104,134,140,256,217,73,983,0,0,0,8,3,9,0,4,0,26,0,0,0,11,0,6,3,0,0,27,0,4,0,4,3,7,32,34,5,98,0,3,0,0,0,0,3,0,0,7,0,0,0,11,4,3,0,0,0,19,7,9,3,50,8,3,9,4,3,86,0,0,0,0,0,0,3,0,0,8,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
UCL112014,0,0,0,0,0,0,0,0,0,3,1078,2076,1793,3194,1546,1604,1191,695,234,13416,0,0,0,19,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,9,23,6,9,3,0,0,50,0,0,0,0,4,0,0,0,0,3,0,0,0,5,0,0,0,0,0,4,0,3,7,28,31,43,42,41,7,199,0,3,0,9,3,0,0,0,0,22,0,4,0,0,0,0,0,0,0,7,0,0,0,3,0,3,0,6,6,22,0,0,0,0,0,0,0,3,0,7,0,0,0,7,0,4,0,0,0,11,3,5,0,85,5,3,3,0,0,105,0,0,0,0,0,0,0,0,0,8,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
UCL112015,0,0,16,36,9,0,0,0,0,55,1646,2942,2955,4704,2285,2259,1579,840,306,19522,0,4,0,31,0,3,0,0,0,33,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,7,7,3,0,0,0,21,0,0,0,0,0,0,3,0,0,7,3,10,9,54,10,4,9,0,0,96,0,0,0,0,0,0,0,3,0,6,0,8,4,15,14,7,0,0,0,53,0,13,7,48,57,67,54,37,16,315,0,0,3,8,3,0,3,0,0,18,0,0,0,7,5,0,0,0,0,13,0,0,0,3,4,9,14,12,7,48,0,0,0,0,0,3,6,3,0,13,0,0,3,15,0,3,0,0,0,21,10,33,10,177,35,5,6,0,0,286,0,0,0,0,0,0,0,0,0,7,0,14,3,20,0,3,0,0,0,43,0,0,0,11,0,0,0,0,0,18
