UCL_CODE_2016,P_Mng_0,P_Mng_1_15,P_Mng_16_24,P_Mng_25_34,P_Mng_35_39,P_Mng_40,P_Mng_41_48,P_Mng_49over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_15,P_Pro_16_24,P_Pro_25_34,P_Pro_35_39,P_Pro_40,P_Pro_41_48,P_Pro_49over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_15,P_TTW_16_24,P_TTW_25_34,P_TTW_35_39,P_TTW_40,P_TTW_41_48,P_TTW_49over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_15,P_CPS_16_24,P_CPS_25_34,P_CPS_35_39,P_CPS_40,P_CPS_41_48,P_CPS_49over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_15,P_CA_16_24,P_CA_25_34,P_CA_35_39,P_CA_40,P_CA_41_48,P_CA_49over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_15,P_Sal_16_24,P_Sal_25_34,P_Sal_35_39,P_Sal_40,P_Sal_41_48,P_Sal_49over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_15,P_MOD_16_24,P_MOD_25_34,P_MOD_35_39,P_MOD_40,P_MOD_41_48,P_MOD_49over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_15,P_Lab_16_24,P_Lab_25_34,P_Lab_35_39,P_Lab_40,P_Lab_41_48,P_Lab_49over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
UCL214015,11,15,14,30,30,46,27,62,3,240,19,50,58,59,61,70,18,45,3,384,14,37,20,30,66,112,28,35,3,341,19,65,41,49,37,29,8,16,3,276,15,39,51,41,60,35,15,20,0,282,5,46,41,26,27,36,17,12,0,212,3,14,22,16,15,22,15,28,5,134,11,61,25,33,24,34,5,22,10,228,4,3,0,7,10,3,0,3,11,39,110,325,266,289,324,390,138,246,37,2131
UCL214016,8,5,3,15,30,35,20,59,0,178,11,17,20,36,53,52,32,24,5,252,11,16,20,25,87,87,29,56,7,347,6,53,44,71,52,34,21,21,4,306,14,20,32,40,78,41,15,19,4,270,4,70,39,45,35,22,8,10,9,244,9,5,11,20,42,38,17,32,4,169,17,105,67,54,83,57,21,24,11,427,3,0,0,0,5,3,0,3,17,34,86,302,233,296,470,370,167,244,55,2225
UCL214017,8,13,11,8,28,53,25,87,5,231,11,16,28,28,47,42,21,40,3,254,8,17,26,23,40,83,41,28,4,273,31,38,38,71,71,51,22,26,10,353,10,23,31,30,38,44,13,9,0,196,11,62,32,32,35,25,12,11,0,214,3,10,5,9,16,17,32,53,7,163,11,65,46,74,58,134,32,20,8,454,0,3,4,0,3,9,0,0,15,35,100,247,217,279,346,468,192,276,52,2170
UCL214018,23,7,21,25,62,88,58,116,3,403,22,34,51,54,111,95,50,66,3,485,11,28,29,37,188,236,97,121,15,766,18,70,70,79,73,62,27,21,8,431,32,71,72,90,150,139,40,41,3,644,24,130,69,67,56,50,17,11,3,429,11,8,17,35,96,92,46,106,7,417,7,75,48,40,77,52,27,44,12,383,3,7,6,5,5,20,5,3,21,75,150,426,384,437,818,828,366,538,87,4029
UCL214019,12,19,12,23,29,49,32,55,4,241,18,17,36,51,51,46,29,46,0,288,22,36,37,45,98,130,39,51,3,468,31,86,81,65,59,29,19,16,3,389,14,43,39,70,59,35,11,3,3,284,26,120,56,68,56,31,16,12,8,387,7,11,16,17,33,33,21,29,3,173,30,120,92,54,61,42,13,27,15,455,3,6,3,0,6,0,0,6,21,50,159,456,362,404,453,395,187,246,59,2731
UCL214020,16,14,15,27,42,59,48,118,0,332,16,29,49,58,58,71,39,50,6,381,11,16,31,23,107,164,51,79,11,498,24,93,62,88,50,29,17,22,7,385,13,32,46,42,69,35,17,12,5,282,18,86,55,37,25,34,16,16,4,284,7,9,6,11,39,31,21,40,3,171,27,92,41,43,70,58,20,27,3,399,9,3,3,9,3,5,0,6,21,54,153,367,316,339,467,486,225,381,60,2792
UCL215001,4,12,13,14,10,23,5,18,0,88,4,12,17,32,18,24,6,19,0,142,3,10,12,6,18,18,13,9,0,86,0,12,15,10,3,0,3,5,3,47,0,5,13,7,5,3,0,0,0,39,0,15,14,3,3,3,0,3,0,45,0,0,3,0,0,0,0,0,0,3,3,23,3,3,3,3,3,3,0,45,0,3,0,0,0,0,0,0,0,11,14,92,84,74,58,77,35,62,8,508
UCL215002,3,7,0,12,16,28,18,38,0,126,6,15,24,28,19,22,14,11,0,140,3,16,14,13,27,43,27,31,4,170,10,9,14,26,18,21,13,4,0,113,5,16,15,24,19,21,4,8,0,119,0,23,5,16,17,9,3,5,0,80,3,4,3,6,16,17,5,10,3,72,4,25,9,16,20,27,7,3,3,108,0,3,0,0,4,4,0,3,6,18,45,112,92,133,165,184,89,104,17,943
UCL215003,3,7,8,18,24,33,23,47,3,158,15,27,58,32,42,50,22,40,6,294,5,12,9,22,35,48,23,34,5,196,10,31,20,21,17,23,11,7,3,130,7,16,22,32,24,16,3,6,0,131,4,33,13,8,13,13,4,3,0,94,0,6,5,7,6,7,7,3,0,35,4,35,8,13,3,17,0,6,3,91,0,0,3,7,3,6,0,0,4,21,51,168,138,158,165,206,91,148,23,1149
UCL215004,5,10,10,6,6,14,6,40,0,101,7,10,9,6,14,13,10,15,0,81,6,5,15,18,14,22,3,7,0,99,7,15,7,17,7,6,3,8,0,68,4,7,14,7,0,7,0,3,0,50,7,16,13,10,11,9,3,3,0,65,3,0,0,0,4,11,0,0,0,30,10,40,21,25,9,4,0,9,0,118,0,0,0,0,0,0,0,0,0,9,54,104,85,97,72,89,29,90,6,617
UCL215005,5,4,0,10,18,17,9,30,5,97,12,16,14,23,36,34,14,24,4,165,6,9,11,14,31,36,19,24,5,140,3,15,26,16,18,8,7,9,0,110,6,13,20,23,40,18,6,11,6,127,0,20,17,16,10,7,5,8,0,70,4,7,3,5,14,12,9,15,0,68,3,19,17,12,19,17,12,12,0,101,3,0,0,4,0,3,0,0,3,15,39,94,108,115,178,150,78,125,15,905
UCL215006,10,7,3,9,24,26,16,43,6,148,21,23,28,47,33,46,29,34,0,264,7,8,19,17,20,45,22,28,8,175,4,34,22,28,14,8,3,3,0,110,7,28,19,27,13,14,9,7,0,118,4,29,12,10,5,8,6,3,0,85,0,4,3,4,5,12,3,6,0,42,3,31,10,15,12,8,3,9,3,96,0,0,0,0,8,0,0,0,4,9,56,160,110,159,142,173,90,132,20,1034
UCL215007,8,7,13,13,31,51,34,66,0,226,16,33,41,45,55,71,35,50,3,346,9,19,22,32,90,133,82,80,5,477,25,55,43,47,39,50,16,11,6,296,24,31,48,41,67,42,19,25,3,311,7,62,42,28,44,26,11,21,0,238,10,9,9,13,29,46,29,40,4,184,7,47,26,34,41,38,20,17,10,229,6,0,5,0,0,14,0,7,12,39,111,264,247,258,392,471,246,311,47,2334
UCL215008,6,0,3,4,11,13,19,35,3,99,6,12,25,37,38,20,16,16,0,177,3,10,6,9,27,35,28,33,5,151,5,24,7,20,17,15,9,12,0,103,0,9,13,26,35,20,11,9,0,127,4,29,4,9,20,3,3,3,0,76,0,3,0,0,14,10,4,15,0,56,0,10,9,4,15,14,11,8,0,65,0,0,0,3,0,3,4,0,0,19,32,97,74,111,180,133,98,135,18,870
UCL215009,3,4,0,0,7,3,0,11,0,30,3,0,7,10,0,8,4,3,0,28,0,3,3,0,11,12,8,7,0,43,3,9,6,5,3,6,0,0,0,40,3,5,3,11,0,4,3,3,0,34,0,15,7,7,10,0,0,3,0,40,0,0,4,8,3,13,3,7,0,33,4,14,6,17,11,12,3,4,3,71,0,0,0,0,3,0,0,0,0,6,17,49,39,58,54,47,21,31,11,330
UCL215010,14,9,3,15,14,44,26,66,0,187,6,31,36,35,27,28,21,36,0,208,6,6,15,16,37,46,17,63,8,211,3,30,16,9,8,8,3,9,0,91,4,26,23,29,21,29,11,9,3,166,3,34,12,14,13,11,7,6,3,104,0,0,0,0,12,11,6,11,0,46,0,20,5,7,5,11,0,19,3,70,0,0,0,3,0,3,3,4,6,18,45,161,116,130,140,191,92,207,24,1113
UCL215011,3,7,0,0,3,3,11,11,0,37,3,4,4,8,5,8,0,3,0,32,0,3,0,4,10,12,10,6,0,48,0,8,8,3,8,6,5,5,3,49,4,3,7,3,4,5,0,3,0,34,4,17,7,8,0,0,0,0,0,37,0,0,3,5,6,0,10,10,0,30,0,18,7,10,16,8,3,3,0,60,3,0,0,3,0,0,0,0,4,10,21,55,37,48,58,49,38,40,9,346
