UCL_CODE_2016,P_Mng_0,P_Mng_1_15,P_Mng_16_24,P_Mng_25_34,P_Mng_35_39,P_Mng_40,P_Mng_41_48,P_Mng_49over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_15,P_Pro_16_24,P_Pro_25_34,P_Pro_35_39,P_Pro_40,P_Pro_41_48,P_Pro_49over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_15,P_TTW_16_24,P_TTW_25_34,P_TTW_35_39,P_TTW_40,P_TTW_41_48,P_TTW_49over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_15,P_CPS_16_24,P_CPS_25_34,P_CPS_35_39,P_CPS_40,P_CPS_41_48,P_CPS_49over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_15,P_CA_16_24,P_CA_25_34,P_CA_35_39,P_CA_40,P_CA_41_48,P_CA_49over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_15,P_Sal_16_24,P_Sal_25_34,P_Sal_35_39,P_Sal_40,P_Sal_41_48,P_Sal_49over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_15,P_MOD_16_24,P_MOD_25_34,P_MOD_35_39,P_MOD_40,P_MOD_41_48,P_MOD_49over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_15,P_Lab_16_24,P_Lab_25_34,P_Lab_35_39,P_Lab_40,P_Lab_41_48,P_Lab_49over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
UCL101001,6552,8022,11626,15162,41914,71371,38814,87789,2747,283998,17305,38320,44245,45104,102421,149507,59230,95345,5193,556667,4768,12511,17345,16983,48575,61834,26801,35793,4540,229152,6414,37063,35309,30120,31979,23741,11512,12930,3558,192633,9042,28358,35469,33036,80980,64609,22260,22886,3153,299794,5475,41559,29644,21647,28717,26607,11017,15788,2802,183251,2634,7183,8866,9661,29107,23121,11457,18743,2658,113438,3802,27166,26135,17504,29683,22385,8678,10631,3626,149613,1328,2912,2609,2290,6247,6756,1993,3885,12334,40357,57316,203098,211247,191514,399633,449926,191761,303787,40619,2048906
UCL102001,97,54,79,153,485,652,475,758,22,2772,166,181,217,340,861,893,459,534,27,3684,64,76,106,158,613,728,361,435,37,2582,85,358,253,336,420,317,157,229,29,2186,148,208,265,399,1230,771,331,302,27,3678,58,436,232,233,320,187,105,119,28,1703,34,49,35,63,214,190,125,193,25,925,51,262,173,189,318,272,109,115,38,1525,20,18,19,25,106,77,30,50,98,430,714,1640,1374,1879,4563,4080,2146,2739,336,19476
UCL102002,419,476,630,933,2278,3361,1835,4098,127,14153,1072,1928,2813,2850,4439,5348,2156,3477,217,24302,508,1003,1219,1688,4300,5687,2261,3163,307,20128,736,2788,2693,3205,2970,1762,1038,944,249,16398,681,2051,2567,2603,4617,3051,1114,1042,189,17910,532,3802,2196,1990,2064,1519,684,1023,199,14004,244,536,549,675,1874,1406,820,1504,153,7765,469,3007,1733,1696,2312,2098,896,1066,259,13537,105,154,120,136,343,360,118,229,644,2217,4762,15750,14519,15776,25194,24598,10927,16553,2339,130416
UCL102003,51,93,113,183,345,499,295,755,19,2353,161,382,446,631,697,747,334,569,37,3994,99,213,214,365,732,878,384,609,63,3561,150,643,566,821,497,299,145,201,50,3382,99,370,411,536,711,374,147,190,21,2881,91,745,367,469,442,264,124,222,55,2776,51,98,113,154,229,178,111,262,17,1215,80,638,395,464,420,286,116,212,51,2670,14,41,14,31,38,51,10,38,136,376,798,3230,2640,3651,4118,3579,1676,3065,450,23208
UCL102004,391,465,608,879,2347,3122,2140,4558,132,14642,1465,2834,3902,4080,6322,7486,3485,5128,282,34997,560,1002,1177,1532,4872,5734,2563,3222,261,20930,702,3572,2973,3428,2827,1744,1048,875,272,17454,802,2145,2831,3009,5309,3246,1392,1168,172,20080,548,4209,2324,2046,1981,1319,679,891,178,14175,316,589,509,572,1753,1804,1254,1563,108,8455,523,3186,1813,1788,2040,1889,695,888,214,13033,111,145,99,125,342,310,112,223,609,2075,5415,18155,16223,17453,27791,26666,13376,18512,2232,145825
UCL102005,308,365,476,705,1866,2508,1550,3338,110,11231,1030,2032,2508,2640,4550,4967,2260,3277,186,23455,506,779,983,1237,4048,4787,2160,2554,266,17321,637,2826,2473,2550,2325,1528,880,788,188,14197,572,1708,2159,2231,4238,2403,938,850,114,15215,383,3227,1879,1514,1614,972,482,654,131,10851,291,524,481,495,1904,1329,1126,1561,128,7840,440,2401,1538,1450,1674,1473,556,861,192,10588,68,118,126,123,289,249,103,151,542,1772,4237,13995,12627,12947,22511,20211,10054,14030,1869,112471
UCL111001,58,66,105,124,334,433,341,742,27,2243,197,282,413,568,781,799,460,617,33,4142,79,140,153,211,704,852,425,506,45,3117,104,487,441,557,491,260,145,164,46,2697,116,306,349,472,757,411,218,123,19,2773,92,661,328,368,332,224,158,165,36,2364,46,80,99,126,328,273,202,282,24,1462,85,509,289,338,361,323,152,128,48,2239,9,28,12,20,51,38,13,42,87,313,773,2571,2190,2784,4140,3612,2118,2771,368,21339
UCL111002,74,88,104,211,492,649,444,1001,25,3085,262,389,591,625,1000,1204,566,863,44,5533,142,234,289,343,1323,1503,874,1168,74,5950,156,681,655,727,718,434,241,224,75,3912,195,478,615,625,1247,747,311,270,29,4508,148,1017,608,516,569,329,176,181,32,3579,120,181,184,216,664,606,573,860,50,3448,118,876,545,503,657,592,268,325,79,3964,24,37,21,28,72,81,34,78,138,508,1244,3978,3603,3793,6738,6128,3499,4968,544,34491
UCL112001,24,33,31,45,145,158,100,247,6,796,88,233,175,222,453,340,201,353,21,2096,30,46,44,89,263,180,101,120,7,888,64,231,171,191,175,97,53,68,28,1083,35,113,107,149,351,114,66,49,11,1005,50,267,133,132,133,57,42,47,17,872,10,44,18,37,62,41,33,62,7,310,47,246,128,115,190,99,40,39,14,926,7,14,5,0,16,14,5,9,31,99,349,1230,820,984,1793,1103,646,999,154,8068
UCL112002,35,42,54,91,261,266,204,501,14,1464,103,206,294,293,575,592,258,457,27,2817,49,92,83,128,519,492,274,408,31,2081,114,432,300,347,382,277,102,121,40,2117,78,196,168,256,577,252,124,104,11,1762,76,434,218,207,259,115,85,108,28,1520,34,42,47,61,197,181,106,252,21,937,69,372,195,186,360,261,106,153,20,1722,11,18,13,12,26,31,16,18,76,219,572,1831,1372,1584,3153,2467,1284,2118,265,14638
UCL112003,32,59,79,118,235,306,203,460,10,1498,158,408,471,489,544,645,273,536,24,3550,51,125,133,171,327,345,178,245,24,1600,88,356,322,347,249,131,120,114,33,1757,47,219,214,238,375,238,112,93,15,1538,31,239,175,143,134,93,49,91,18,980,16,49,42,53,104,93,69,119,15,565,28,298,204,181,152,128,48,84,17,1135,13,12,7,11,31,24,7,14,50,173,461,1766,1649,1753,2151,2005,1052,1752,210,12795
UCL112004,37,70,83,98,142,246,150,459,8,1301,86,246,255,264,269,367,207,401,15,2116,19,94,88,110,244,307,162,219,20,1265,42,201,161,165,154,95,64,60,17,959,27,165,155,157,172,147,56,76,3,968,23,247,137,126,108,103,49,109,14,909,11,25,25,39,73,54,25,82,8,338,34,191,108,112,117,90,46,45,14,756,7,8,8,8,16,14,5,11,40,119,285,1257,1012,1076,1288,1430,765,1468,142,8726
UCL112005,17,11,35,38,110,132,90,203,9,646,41,68,101,119,141,152,74,120,11,832,60,59,69,82,302,293,188,234,14,1304,45,158,175,220,188,114,53,40,16,1004,45,91,116,117,188,119,58,39,13,778,50,227,168,122,125,83,33,49,15,869,33,48,45,64,204,171,170,215,18,973,36,267,179,152,173,166,61,68,29,1130,4,9,10,5,24,15,8,14,47,128,326,946,906,929,1446,1252,736,971,162,7661
UCL112006,50,93,99,150,338,447,261,642,13,2105,161,321,397,497,721,731,317,557,27,3720,52,174,150,247,646,587,254,397,45,2544,91,487,398,555,459,172,130,162,46,2502,105,251,353,443,773,364,155,150,26,2617,89,661,321,356,382,214,128,165,25,2335,31,86,91,120,203,132,109,189,15,979,61,583,326,326,328,300,100,171,45,2254,16,29,22,22,44,43,14,23,93,315,662,2691,2170,2716,3892,2988,1469,2448,335,19363
UCL112007,43,51,55,85,273,336,243,562,15,1663,134,143,240,251,620,651,308,480,21,2855,50,77,81,129,575,535,331,428,34,2230,91,299,237,359,529,273,124,143,37,2079,63,160,201,301,685,378,136,137,15,2077,54,415,208,241,402,197,134,163,22,1832,29,46,47,48,189,199,115,232,15,930,40,331,205,219,384,319,91,164,34,1788,9,12,8,14,34,48,17,31,88,255,523,1534,1287,1645,3684,2939,1498,2332,274,15716
UCL112008,28,25,39,57,183,186,128,274,10,932,64,74,146,188,307,283,112,202,9,1382,27,53,57,95,362,317,181,231,17,1335,87,162,224,275,394,210,68,99,23,1535,49,99,127,170,359,170,67,87,8,1134,46,251,170,155,165,101,58,68,16,1040,23,36,43,59,199,102,86,220,17,777,28,220,147,155,251,161,64,95,34,1162,12,15,7,7,34,27,7,19,48,173,360,924,955,1162,2255,1569,775,1295,186,9471
UCL112009,22,40,51,83,170,196,126,247,7,947,67,196,202,337,483,402,156,273,14,2131,34,73,101,142,437,344,154,199,13,1502,50,281,232,372,284,111,66,89,29,1525,39,157,172,222,476,205,89,81,9,1449,45,369,183,198,218,107,83,82,12,1298,15,50,44,75,143,78,80,111,4,607,54,314,203,264,281,192,81,70,30,1494,7,12,6,9,20,24,4,5,63,150,333,1502,1194,1697,2507,1672,846,1157,194,11100
UCL112010,4,11,3,15,25,29,27,37,3,151,7,6,23,27,30,34,15,22,0,165,9,6,4,17,31,39,25,31,0,172,5,13,10,22,27,15,8,13,0,114,8,16,15,10,27,20,9,7,0,106,8,29,18,14,17,11,8,4,0,103,0,0,7,10,6,16,5,25,9,72,3,18,14,14,15,14,11,21,7,108,0,0,0,0,0,0,0,0,5,13,42,104,92,126,181,168,103,160,26,1007
UCL112011,24,43,47,60,209,203,157,289,15,1038,82,144,184,218,330,325,178,224,20,1710,53,81,104,117,428,449,379,262,30,1905,78,264,273,360,306,174,123,123,29,1724,51,159,178,190,363,163,72,72,12,1258,51,367,192,203,196,99,71,58,40,1273,18,54,60,65,148,118,98,129,14,700,52,336,204,176,237,143,94,97,47,1374,9,18,12,10,20,23,5,19,67,186,420,1460,1243,1406,2239,1701,1174,1275,266,11176
UCL112012,55,53,56,88,258,331,237,572,13,1672,147,189,310,347,648,777,379,565,31,3384,59,113,92,152,537,519,360,516,25,2379,74,307,254,352,411,245,113,125,35,1924,78,162,253,302,611,348,149,180,18,2097,60,391,214,233,269,172,106,130,25,1594,41,59,55,72,161,141,158,399,32,1117,72,379,237,230,286,241,119,153,38,1758,5,21,6,16,46,30,15,29,68,237,591,1677,1475,1783,3224,2804,1640,2665,288,16153
UCL112013,51,68,75,143,316,395,243,556,19,1865,126,282,378,509,697,845,356,583,25,3801,71,165,136,243,529,581,253,400,39,2408,91,449,340,513,411,205,129,114,26,2278,82,250,296,421,652,365,150,155,23,2396,65,565,250,298,321,189,105,154,30,1972,31,83,70,85,142,94,77,132,9,730,63,447,227,264,235,173,72,124,34,1645,11,23,17,15,34,31,5,27,78,240,590,2335,1794,2479,3341,2881,1392,2246,279,17335
UCL112014,38,39,43,72,265,233,222,441,17,1367,93,137,213,284,537,603,289,396,28,2591,59,93,95,125,540,474,267,304,36,1997,71,252,236,328,352,161,89,100,28,1621,59,142,180,227,505,300,127,128,13,1673,66,368,216,227,285,128,112,118,25,1536,27,59,53,77,179,175,121,214,27,929,52,378,231,308,407,585,152,102,47,2268,11,15,5,11,33,31,12,15,84,216,467,1490,1275,1660,3109,2693,1390,1821,307,14212
UCL112015,61,78,81,116,393,508,361,774,19,2398,200,250,384,469,1029,966,515,727,34,4574,72,160,168,221,936,910,445,534,44,3497,127,428,393,520,559,302,166,210,41,2756,116,227,327,436,882,468,220,168,16,2867,80,690,298,366,389,233,174,208,38,2475,32,63,83,97,263,232,145,277,25,1219,65,476,290,316,513,441,135,137,47,2424,13,26,18,21,45,39,15,36,76,288,764,2395,2050,2563,5007,4102,2179,3074,346,22481
UCL113001,17,36,28,39,122,125,82,196,11,647,52,102,151,188,219,206,88,165,8,1174,31,55,66,101,208,189,66,119,17,862,30,127,135,241,135,56,46,44,14,826,25,79,90,128,213,92,41,38,4,702,23,184,121,126,121,59,34,44,11,721,14,26,32,31,69,52,24,55,6,314,19,183,108,132,150,64,37,51,19,763,5,10,11,11,12,13,0,9,43,105,213,798,745,990,1254,853,422,718,130,6114
UCL113002,7,21,18,43,82,63,45,127,0,406,21,53,61,69,87,68,29,58,5,442,19,46,36,59,113,125,52,70,12,527,28,90,89,122,88,39,19,39,6,526,32,55,66,78,110,50,17,29,0,432,31,153,84,84,96,45,12,27,9,545,8,17,18,25,56,24,19,40,3,209,8,137,85,64,63,35,19,16,6,435,3,12,5,4,17,9,0,5,29,80,160,576,456,553,699,460,213,409,67,3601
UCL113003,17,23,18,44,126,124,69,200,9,633,57,58,84,108,247,263,109,169,14,1109,39,51,55,70,251,168,129,239,14,1012,69,141,122,249,197,129,62,65,12,1049,35,59,67,96,246,152,40,46,10,750,29,199,103,100,127,61,37,36,8,699,40,39,29,35,91,85,80,292,16,716,34,179,100,105,121,90,33,76,18,754,12,12,5,9,21,7,6,18,55,135,320,763,589,814,1425,1084,561,1129,164,6846
UCL113004,21,13,18,4,41,68,57,138,0,361,20,27,49,41,75,75,39,63,4,406,15,12,20,16,82,94,36,52,11,338,20,46,47,50,44,40,16,19,3,272,4,34,43,40,64,32,15,19,6,255,13,66,30,39,38,22,20,32,5,266,5,7,6,13,18,19,24,35,4,136,15,59,30,38,56,31,15,26,10,273,0,0,0,3,3,3,0,0,18,27,103,267,242,244,426,393,214,382,51,2334
UCL113005,24,19,32,50,101,132,85,192,5,635,47,93,115,151,162,206,93,142,9,1023,40,59,68,96,197,181,84,118,11,853,45,140,146,218,118,66,25,50,17,818,30,85,88,142,166,89,31,22,10,662,41,250,129,126,126,70,37,53,19,853,8,26,30,32,49,40,25,50,9,274,37,227,131,96,90,75,25,60,18,766,9,7,8,4,12,10,8,10,64,122,283,912,745,911,1021,865,413,706,148,6009
UCL113006,11,19,25,38,92,89,65,153,3,490,33,59,92,120,190,172,88,105,9,867,12,49,38,72,225,167,71,125,11,775,45,141,141,217,157,81,63,73,11,927,29,81,96,112,263,105,50,46,3,781,25,181,98,116,103,57,41,41,7,669,16,27,28,36,87,57,36,103,5,398,25,199,79,103,128,80,55,50,9,730,9,10,4,5,15,13,3,8,26,92,214,760,609,811,1256,821,468,709,96,5725
UCL113007,30,30,35,55,182,216,167,324,15,1051,50,53,111,120,240,275,139,200,4,1193,26,49,40,52,335,292,163,211,19,1180,25,117,126,167,168,69,61,51,22,792,38,103,131,137,279,154,59,56,10,975,34,245,127,112,142,90,69,54,12,891,13,32,39,39,142,109,79,95,10,555,35,175,158,197,478,351,96,84,36,1612,15,6,10,9,26,25,7,7,39,149,250,806,772,887,2000,1578,839,1090,165,8386
UCL113008,0,11,10,19,42,31,30,69,5,216,12,28,35,48,88,71,17,54,11,369,6,23,29,34,106,67,42,50,13,365,34,78,86,139,93,39,25,31,13,538,16,35,47,66,96,27,22,8,7,313,13,82,62,77,54,19,13,19,7,338,8,18,31,20,59,26,23,42,5,233,17,106,70,79,100,39,20,23,10,475,0,6,0,9,10,7,0,3,30,66,111,380,358,486,652,322,206,298,102,2914
UCL113009,24,23,37,65,105,146,117,254,8,779,80,131,192,186,228,282,153,206,15,1473,31,54,54,59,190,266,122,144,11,928,38,175,111,110,117,69,61,30,13,722,26,111,149,126,158,85,42,41,9,760,21,140,74,55,66,46,26,35,0,476,11,36,17,13,69,58,38,76,7,324,10,113,58,41,47,48,18,32,8,384,3,5,9,12,13,16,3,10,21,90,247,793,705,670,991,1019,583,832,90,5938
UCL113010,14,11,8,35,85,81,62,112,0,417,28,38,78,75,119,123,57,78,7,610,37,54,49,84,318,301,165,170,18,1199,33,148,149,157,141,77,36,35,8,785,33,59,103,112,211,124,52,40,6,735,26,187,125,113,105,47,27,25,7,667,31,42,57,49,187,196,138,194,13,895,29,216,153,129,183,181,64,63,31,1049,8,7,0,7,16,13,6,13,39,105,249,764,729,756,1366,1149,595,738,122,6475
UCL113011,7,15,15,14,51,78,41,91,3,312,23,50,57,47,116,93,40,68,3,494,18,37,33,55,181,195,93,93,9,716,22,98,93,123,90,48,16,32,13,538,36,67,76,90,170,70,27,26,6,561,21,104,56,58,80,28,6,25,8,395,18,13,18,28,107,134,81,82,7,495,19,128,86,72,71,83,30,36,15,538,5,4,5,3,8,16,3,7,22,77,178,522,441,496,875,737,336,468,77,4130
UCL113012,17,19,26,40,105,144,82,192,10,624,59,135,160,150,268,308,107,165,12,1372,28,69,83,91,280,325,139,212,21,1239,41,136,141,166,153,97,43,43,12,830,35,128,145,147,227,141,46,54,8,937,21,144,94,94,100,62,30,51,11,605,20,42,50,50,111,95,69,106,6,550,42,166,126,103,152,117,56,64,20,842,9,10,5,7,25,16,8,7,43,126,265,851,828,859,1421,1311,570,876,144,7126
UCL113013,16,19,24,31,67,86,47,189,6,482,38,50,75,96,109,98,66,153,6,682,24,31,30,49,129,183,132,253,12,844,14,77,83,104,99,42,28,42,6,490,20,49,76,80,91,77,36,38,4,468,24,106,72,81,93,49,28,41,5,505,21,19,22,27,93,91,129,176,0,583,15,129,78,75,82,61,26,52,18,542,3,6,0,7,8,4,3,8,17,59,174,483,466,558,767,684,495,948,75,4661
UCL113014,4,12,7,14,48,39,37,110,0,281,22,28,47,48,93,78,65,108,4,488,24,27,35,48,191,146,185,233,16,900,23,69,77,91,61,36,24,30,3,423,13,38,59,68,111,67,33,29,3,426,27,103,62,51,67,42,15,11,4,384,31,28,28,50,124,103,187,197,19,773,14,118,75,61,104,56,37,40,7,517,3,3,3,6,3,5,9,11,25,66,159,423,401,443,798,578,602,764,82,4250
UCL113015,17,31,45,58,109,131,97,181,9,673,47,95,112,124,169,181,87,111,5,940,36,48,52,71,191,220,95,128,19,862,35,163,131,140,113,54,47,49,13,740,32,103,87,112,137,115,46,41,3,661,23,192,112,79,77,54,29,41,3,613,16,18,15,29,37,38,31,37,3,223,30,141,96,91,67,78,22,45,15,586,4,8,0,3,18,18,4,4,32,92,238,794,652,703,922,889,469,628,96,5387
UCL113016,4,26,12,27,69,87,58,100,3,388,28,53,59,65,112,122,61,58,3,567,15,39,43,65,246,247,103,119,15,883,27,92,109,150,100,75,37,23,15,626,29,49,64,87,203,110,43,40,6,643,24,140,88,114,89,39,28,25,3,558,14,31,35,35,134,98,95,121,6,574,24,174,92,112,130,99,43,53,19,754,3,4,3,4,21,7,8,8,16,73,178,601,507,666,1101,888,461,565,89,5059
UCL113017,12,10,18,23,50,73,62,227,3,486,29,50,68,83,101,125,113,178,4,758,33,32,43,54,225,191,217,278,19,1097,26,142,124,121,82,55,39,54,5,642,12,88,95,86,151,103,69,54,6,666,21,158,83,88,63,36,23,37,8,515,49,33,57,77,185,153,216,326,23,1121,14,166,68,93,100,77,30,51,17,613,0,3,10,7,7,13,6,24,32,99,199,683,561,634,965,835,773,1230,118,6003
UCL113018,9,8,11,19,47,58,31,78,7,276,18,43,51,64,66,62,23,47,4,373,17,45,35,59,125,140,80,72,7,579,23,70,91,119,111,48,35,37,8,551,16,43,51,56,115,40,26,21,3,369,16,102,67,67,66,29,13,18,11,390,9,22,10,17,44,42,21,31,5,207,11,98,69,64,65,49,29,26,4,410,3,3,0,3,13,0,4,3,34,64,130,435,386,478,654,472,262,326,78,3218
UCL113019,17,28,22,31,116,95,73,132,5,522,29,69,82,129,178,202,71,108,11,884,24,34,53,72,213,183,79,108,10,767,31,121,129,209,135,67,27,53,18,794,32,90,68,137,160,75,37,34,9,641,30,207,125,136,149,68,55,40,18,827,12,39,27,37,85,54,46,91,5,393,71,196,128,131,129,99,39,55,20,863,8,7,7,0,4,10,0,3,36,74,261,788,634,877,1179,848,425,622,129,5765
UCL113020,20,30,33,52,67,103,51,142,7,505,45,93,85,104,100,107,54,123,9,716,19,42,62,90,150,201,65,97,11,743,34,149,107,127,94,44,28,27,15,630,13,92,68,97,107,57,17,29,3,487,21,157,108,96,89,44,32,33,13,603,6,27,17,29,39,34,16,40,7,221,22,169,91,78,72,45,24,42,11,556,3,5,7,0,10,3,3,4,27,61,188,770,587,660,737,651,288,535,110,4516
UCL114001,3,4,4,17,27,38,24,69,3,186,23,34,40,67,84,80,41,56,3,424,11,18,24,33,61,64,18,45,0,276,7,41,49,58,52,24,8,14,3,247,13,32,34,44,83,39,14,11,3,259,7,58,27,24,35,16,7,13,0,185,3,10,8,13,9,16,8,15,5,88,8,50,41,29,36,14,3,14,0,202,0,3,0,0,5,4,3,0,16,34,67,251,225,281,393,283,120,238,37,1896
UCL114002,3,9,11,19,33,42,28,82,7,239,12,37,32,41,70,63,31,47,4,337,8,17,15,32,78,119,42,52,14,372,12,48,60,51,50,25,18,12,6,286,3,24,45,35,52,27,13,12,3,218,5,83,42,35,29,17,12,13,7,244,6,7,8,7,27,19,21,27,0,128,16,66,28,31,25,36,9,17,5,228,0,3,3,0,0,0,0,3,9,18,78,295,243,266,358,344,175,264,46,2064
UCL114003,16,49,50,82,94,145,60,180,7,675,52,134,154,173,154,164,82,125,15,1055,16,41,58,86,77,133,43,75,15,549,18,102,125,134,63,36,23,25,15,547,13,62,55,70,80,49,19,12,10,365,15,108,57,71,60,41,18,34,9,413,3,23,20,28,23,14,4,13,3,130,11,119,93,53,39,32,7,21,13,385,7,12,5,6,0,3,3,6,21,72,151,651,618,712,594,606,257,496,99,4189
UCL114004,10,12,9,13,24,40,19,57,3,180,15,27,35,42,47,50,32,31,6,281,14,22,25,27,60,84,31,45,3,308,11,53,61,77,34,20,8,15,10,280,14,24,30,39,43,33,13,4,3,201,12,40,36,45,41,14,3,25,7,228,0,14,25,14,29,14,11,28,3,134,14,52,46,59,38,34,8,23,8,280,5,0,0,0,3,0,3,7,16,35,83,238,266,314,319,295,130,226,55,1933
UCL114005,13,5,7,15,41,45,25,68,7,229,12,23,40,61,70,48,28,35,4,318,10,20,25,37,93,95,39,53,6,382,16,74,69,101,57,29,19,27,11,405,7,39,40,65,94,60,18,20,3,347,7,60,56,59,66,26,10,17,6,316,12,14,22,20,54,33,33,77,3,268,32,105,91,184,181,150,44,29,19,840,5,5,3,5,3,0,7,6,21,56,106,352,366,555,661,488,222,325,92,3166
UCL114006,15,9,16,16,40,57,40,116,0,317,17,25,32,61,108,89,42,69,10,451,12,22,21,33,79,100,35,66,7,377,13,65,56,74,71,33,21,34,6,367,17,30,38,48,121,38,23,26,3,345,10,69,48,55,56,21,19,29,4,315,6,18,10,14,33,24,19,40,7,178,13,81,51,56,55,27,5,24,11,319,0,3,3,3,8,5,5,0,8,43,99,324,269,361,569,401,214,406,52,2700
UCL114007,12,3,11,8,29,34,25,62,3,186,14,20,32,28,48,54,28,49,4,274,12,13,20,24,70,80,21,39,3,285,4,36,43,53,50,36,6,14,4,246,11,23,24,40,70,34,18,13,0,227,7,36,29,27,49,25,13,9,0,186,7,7,9,15,28,23,17,45,3,147,12,57,34,68,83,54,19,12,17,366,7,0,0,0,0,4,0,0,12,26,80,200,202,262,430,341,144,249,45,1944
UCL114008,12,8,7,13,28,44,28,88,3,232,3,20,36,40,43,47,28,38,4,261,13,17,14,27,79,90,39,38,3,329,22,38,46,56,30,21,8,13,6,236,20,18,35,41,28,27,15,15,6,210,16,60,37,30,23,14,10,15,0,214,6,13,8,13,28,49,24,35,6,175,25,66,37,41,70,135,36,28,17,456,9,0,3,0,0,4,3,8,3,33,125,236,227,266,327,430,189,283,47,2143
UCL114009,8,15,16,21,40,56,36,115,0,306,24,34,50,55,69,67,57,66,0,427,17,22,25,35,105,101,44,73,7,427,18,46,72,68,71,38,18,23,8,359,10,44,44,52,77,54,21,24,0,328,17,83,51,51,55,41,30,31,3,364,11,9,17,18,43,26,7,45,9,188,16,84,47,74,118,72,20,24,11,475,6,0,3,3,4,4,4,3,20,51,115,345,332,376,595,463,235,414,60,2934
UCL114010,9,6,8,9,64,71,37,86,3,296,16,27,45,43,91,85,39,71,4,423,13,12,17,35,87,106,58,54,9,389,13,63,54,66,87,29,6,17,6,351,10,40,44,77,95,44,15,15,0,343,11,86,29,36,54,31,16,13,3,286,8,13,14,12,45,55,16,42,0,218,20,85,47,83,63,63,30,34,12,431,5,8,0,0,10,9,3,3,13,51,111,338,271,369,583,492,227,349,48,2782
UCL114011,9,12,10,20,33,45,43,111,7,296,16,17,42,49,82,105,38,74,5,429,8,22,24,36,91,95,57,76,13,424,16,38,44,80,56,29,13,15,9,304,5,35,31,55,81,46,18,17,0,283,20,64,32,45,57,31,25,28,8,300,12,13,7,15,38,48,38,49,5,228,11,70,42,47,77,64,18,24,15,367,5,8,0,4,7,0,3,7,25,62,111,280,231,351,525,467,251,408,77,2691
UCL114012,3,5,7,5,25,36,21,72,3,189,7,13,37,32,48,46,13,42,3,245,4,27,17,16,60,61,22,32,3,247,13,37,30,57,48,15,12,22,3,240,16,26,22,29,75,25,14,3,0,210,15,52,21,33,27,14,10,7,4,181,3,9,12,13,37,17,6,28,4,130,6,77,32,37,36,26,12,15,4,257,0,3,0,5,10,5,3,0,15,37,74,245,187,236,367,249,117,217,40,1726
UCL114013,11,23,11,25,45,58,40,133,7,355,30,26,42,50,73,73,54,110,6,463,16,25,17,23,104,89,54,132,4,472,10,62,56,77,54,48,23,17,4,343,12,29,38,50,112,46,30,23,3,335,20,77,43,51,55,25,19,23,8,326,23,15,14,28,64,62,86,209,4,513,13,92,46,54,69,55,34,37,11,416,3,4,3,0,7,12,3,12,17,60,135,353,270,354,594,473,338,707,65,3282
UCL114014,12,7,18,18,50,100,42,102,0,350,28,44,84,80,105,178,80,70,3,672,11,20,27,39,135,148,88,109,5,584,10,74,76,55,65,44,40,20,5,389,23,54,83,72,116,81,25,34,3,502,11,62,52,41,29,39,18,23,3,277,6,9,5,12,45,39,28,48,4,193,10,53,33,36,33,51,9,24,3,251,0,3,4,7,7,11,0,3,12,51,100,333,369,380,579,700,327,431,49,3265
UCL114015,9,14,19,13,55,60,46,103,6,330,21,43,49,56,121,106,56,67,8,521,11,30,28,38,156,110,49,70,9,506,20,62,71,119,91,41,25,32,14,472,19,31,25,48,110,35,24,17,4,311,22,91,55,53,84,43,36,20,13,418,6,18,19,16,51,44,13,34,3,207,19,112,62,152,164,69,23,33,24,653,4,6,0,12,14,3,0,5,29,73,138,410,336,498,834,513,271,374,105,3483
UCL114016,7,14,16,12,55,66,60,120,0,344,22,29,41,35,86,88,57,65,5,420,5,22,11,29,102,129,56,67,13,437,13,37,38,68,49,22,14,16,4,245,15,45,36,51,84,58,33,30,0,343,5,63,17,37,49,23,11,20,4,230,16,15,5,12,42,61,41,51,7,249,18,64,32,51,102,192,37,49,9,569,0,3,3,0,10,7,3,5,27,65,98,297,204,298,575,647,307,415,69,2910
UCL114017,16,14,23,36,46,74,48,132,3,401,27,81,134,143,132,196,68,121,11,912,11,20,37,49,94,77,24,64,7,384,10,71,68,77,54,32,19,20,6,359,10,44,57,54,74,34,15,23,13,325,17,104,49,40,35,34,20,27,6,327,0,7,7,16,15,12,3,16,0,81,8,82,22,39,26,22,11,15,5,232,0,7,4,3,3,7,0,4,13,39,95,442,400,455,481,489,214,421,63,3059
