UCL_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
UCL222065,13,10,8,3,90
UCL222066,18,8,6,3,69
UCL222067,12,4,0,0,95
UCL222068,42,21,16,32,209
UCL222069,50,45,21,13,216
UCL222070,40,21,8,0,234
UCL222071,17,17,3,0,98
UCL222072,24,12,4,3,96
UCL222073,18,12,12,0,95
UCL222074,41,34,14,7,219
UCL222075,20,11,8,0,106
UCL222076,32,29,9,0,215
UCL222077,35,9,7,4,123
UCL222078,49,34,13,13,181
UCL222079,32,20,7,4,150
UCL222080,35,33,12,0,122
UCL222081,29,10,3,0,143
UCL222082,14,15,0,0,89
UCL222083,40,13,11,0,179
UCL222084,26,14,15,3,147
UCL222085,18,22,7,0,76
UCL222086,33,43,10,10,200
UCL222087,22,18,10,0,106
UCL222088,61,26,11,3,221
UCL222089,80,84,20,4,276
UCL222090,19,30,17,7,151
UCL222091,37,25,9,0,113
UCL222092,16,18,3,3,120
UCL222093,16,3,3,4,94
UCL222094,79,58,25,24,287
UCL222095,36,33,19,12,170
UCL222096,32,23,7,0,128
UCL222097,17,12,4,4,128
UCL222098,41,22,12,0,216
UCL222099,37,26,15,6,178
UCL222100,44,19,5,0,213
UCL222101,35,24,8,3,129
UCL222102,21,9,5,0,90
UCL222103,24,5,5,0,107
UCL222104,27,16,9,5,165
UCL222105,45,24,10,7,170
UCL222106,28,21,3,0,170
UCL222107,35,21,0,0,208
UCL222108,36,48,21,3,190
UCL222109,20,26,16,0,118
UCL222110,34,24,3,4,199
UCL222111,12,10,3,0,115
UCL222112,6,5,9,0,61
UCL222113,31,20,6,0,161
UCL222114,18,3,3,0,90
UCL222115,20,32,7,3,119
UCL222116,21,20,4,0,120
UCL222117,48,17,5,0,193
UCL222118,9,18,7,0,102
UCL222119,16,3,7,0,87
UCL222120,19,13,3,0,101
UCL222121,16,9,3,0,83
UCL222122,16,10,7,0,88
UCL231777,42184,27084,8692,2163,200936
UCL279997,10,0,0,0,25
UCL299994,526,263,61,19,4580
UCL301001,131760,79454,36288,16118,1011278
UCL302001,37949,27189,12935,5537,268703
UCL303001,11064,6211,2362,751,71384
UCL303002,20339,16042,8315,3463,123159
UCL303003,6791,4590,2629,1356,46633
UCL303004,10445,5823,2515,866,77803
UCL311001,3191,2397,1662,675,20394
UCL311002,4283,4086,2157,669,23671
UCL311003,5050,2477,1252,476,34150
UCL311004,3857,2171,1268,636,25992
UCL312001,1890,806,371,107,14884
UCL312002,1661,1387,764,239,9050
UCL313001,1052,842,408,77,5191
UCL313002,1730,2093,1117,445,8648
UCL313003,611,351,190,98,4866
UCL313004,706,211,72,28,6079
UCL313005,502,195,103,37,4102
UCL313006,1222,934,542,299,7554
UCL313007,651,400,235,109,4177
UCL313008,922,385,122,29,8207
UCL313009,1249,938,531,281,8352
UCL313010,815,699,431,183,5430
UCL313011,1331,861,437,191,7620
UCL314001,707,439,117,17,5032
UCL314002,514,415,289,103,3068
UCL314003,501,378,224,80,3284
UCL314004,323,304,187,75,2205
UCL314005,312,235,99,94,2191
UCL314006,291,118,84,18,2304
UCL314007,624,476,205,76,3826
UCL314008,482,342,195,54,3026
UCL314009,257,141,87,44,2446
UCL314010,259,189,137,58,2391
UCL314011,315,184,107,32,2251
UCL314012,394,250,91,34,2549
UCL314013,750,524,186,53,4483
UCL314014,540,310,203,51,2962
UCL314015,227,83,37,3,2097
UCL314016,433,382,232,73,3120
UCL314017,298,56,11,3,3741
UCL314018,289,118,23,0,2664
UCL314019,372,167,100,41,3140
UCL314020,695,774,333,78,4049
UCL314021,899,749,354,94,4137
UCL314022,701,286,103,46,4283
UCL315001,162,69,17,4,971
UCL315002,144,106,38,13,593
UCL315003,40,12,0,0,255
UCL315004,60,12,3,0,465
UCL315005,294,304,157,28,1518
UCL315006,183,40,5,0,1971
UCL315007,173,164,95,40,1049
UCL315008,280,217,76,18,1150
UCL315009,160,197,76,6,594
UCL315010,146,66,15,8,1374
UCL315011,74,40,15,4,489
UCL315012,119,104,60,18,549
UCL315013,154,66,30,3,904
UCL315014,131,51,16,3,1037
UCL315015,193,73,56,24,1151
UCL315016,26,3,0,0,229
UCL315017,81,92,68,25,517
UCL315018,94,69,27,11,829
UCL315019,83,72,41,11,469
UCL315020,148,58,22,12,976
UCL315021,79,64,27,0,458
UCL315022,201,136,43,13,935
UCL315023,259,309,107,12,1109
UCL315024,225,172,108,45,1316
UCL315025,110,144,112,35,715
UCL315026,55,45,26,8,458
UCL315027,133,100,17,10,906
UCL315028,26,3,3,0,213
UCL315029,111,28,8,0,1117
UCL315030,396,272,150,86,2046
UCL315031,148,75,25,3,1133
UCL315032,115,84,47,22,744
UCL315033,279,220,94,15,1649
UCL315034,87,48,18,0,523
UCL315035,125,48,13,3,859
UCL315036,50,20,3,0,378
UCL315037,75,28,5,0,1395
UCL315038,115,52,21,0,579
UCL315039,201,177,87,49,1177
UCL315040,93,91,69,21,459
UCL315041,315,216,182,66,1754
UCL315042,156,96,35,8,830
UCL315043,200,138,36,11,1798
UCL315044,303,191,50,7,1935
UCL315045,96,88,35,15,702
UCL315046,108,59,28,3,660
UCL315047,142,155,29,8,740
UCL315048,295,207,58,8,1271
UCL315049,183,167,96,65,1319
UCL315050,297,195,69,13,1709
UCL315051,193,144,43,6,1102
UCL315052,211,103,56,35,1286
UCL315053,230,139,64,16,1450
UCL315054,327,407,125,16,1326
UCL315055,168,137,79,26,801
UCL315056,340,375,167,62,1579
UCL315057,108,43,11,7,962
UCL315058,59,45,6,0,634
UCL315059,128,62,17,0,1022
UCL315060,78,6,0,0,838
UCL315061,60,36,35,15,475
UCL315062,88,52,33,13,552
UCL315063,72,59,37,24,423
UCL315064,232,153,59,17,1480
UCL315065,213,211,51,8,1003
UCL315066,147,100,47,22,836
UCL315067,186,155,56,11,874
UCL315068,92,30,17,5,621
UCL315069,79,32,13,4,476
UCL315070,54,43,23,12,445
UCL315071,122,92,61,24,791
UCL315072,249,230,120,19,1344
UCL315073,197,126,57,14,712
UCL315074,234,115,95,23,1505
UCL315075,64,11,5,0,496
UCL315076,299,237,135,62,1959
UCL315077,152,120,106,92,1218
UCL315078,180,113,41,10,868
UCL315079,422,274,143,44,2518
UCL315080,260,163,90,64,1447
UCL315081,140,131,34,3,619
UCL315082,104,36,10,0,492
UCL315083,197,167,48,7,775
UCL315084,160,90,72,33,917
UCL315085,353,352,119,16,1377
UCL315086,252,105,36,6,1139
UCL315087,209,134,79,23,1275
UCL315088,130,69,30,8,926
UCL315089,344,323,221,87,2001
UCL315090,186,58,13,3,1377
UCL315091,58,8,0,0,509
UCL315092,250,300,134,38,1014
UCL315093,79,64,34,14,395
UCL315094,198,188,45,11,882
UCL315095,111,73,49,29,823
UCL315096,188,102,35,12,1403
UCL315097,109,55,17,3,568
UCL315098,193,46,4,0,1907
UCL315099,156,84,18,3,1441
UCL315100,91,62,31,3,573
UCL315101,133,76,23,0,753
UCL315102,103,141,91,47,752
UCL315103,157,117,35,6,672
UCL315104,188,111,62,39,1809
UCL315105,133,189,67,13,549
UCL315106,60,44,7,3,574
UCL315107,164,114,42,9,871
UCL315108,60,18,3,0,605
UCL315109,111,70,9,3,1701
UCL315110,106,102,33,22,542
UCL321001,96,62,12,0,461
UCL321002,45,40,3,3,221
UCL321003,56,55,28,22,336
UCL321004,39,38,11,0,206
UCL321005,38,39,6,0,318
UCL321006,89,50,28,12,417
UCL321007,25,10,0,0,232
UCL321008,56,22,16,0,476
UCL321009,123,108,26,0,420
UCL321010,83,59,32,8,560
UCL321011,68,34,10,0,299
UCL321012,59,41,22,6,394
UCL321013,52,29,10,3,360
UCL321014,49,61,38,13,265
UCL321015,69,69,23,4,364
UCL321016,52,34,16,3,395
UCL321017,60,53,26,8,372
UCL321018,51,47,21,5,239
UCL321019,160,79,21,0,529
UCL321020,60,35,4,0,294
UCL321021,67,49,5,0,447
UCL321022,81,40,21,0,348
UCL321023,70,31,16,3,287
UCL321024,50,34,4,0,318
UCL321025,49,45,9,7,278
UCL321026,59,29,7,5,245
UCL321027,60,38,17,7,356
UCL321028,52,18,7,0,411
UCL321029,109,132,41,6,427
UCL321030,55,37,21,0,252
UCL321031,97,55,27,9,462
UCL321032,165,137,28,4,880
UCL321033,51,27,7,3,274
UCL321034,67,34,18,6,345
UCL321035,145,115,41,7,747
UCL321036,46,13,6,0,341
UCL321037,57,50,10,0,372
UCL321038,65,45,24,7,360
UCL321039,98,64,33,3,410
UCL321040,115,129,55,11,522
UCL321041,79,46,23,5,475
UCL321042,148,141,61,8,569
UCL321043,74,45,10,3,316
UCL321044,46,62,30,16,319
UCL321045,52,17,5,0,250
UCL321046,24,7,0,0,287
UCL321047,42,33,11,0,253
UCL321048,165,79,30,3,874
UCL321049,178,151,42,7,669
UCL321050,56,33,3,0,437
UCL321051,71,54,9,0,275
UCL321052,60,33,16,0,296
UCL321053,35,51,20,3,193
UCL321054,41,17,3,0,220
UCL321055,42,27,11,12,285
UCL321056,81,59,34,11,391
UCL321057,27,12,4,0,297
UCL321058,32,6,0,0,230
UCL321059,111,49,16,0,335
UCL321060,60,45,17,10,392
UCL321061,43,32,23,15,286
UCL321062,30,6,0,0,163
UCL321063,76,61,37,13,459
UCL321064,50,40,27,3,306
UCL321065,48,55,22,0,263
UCL321066,103,48,13,6,549
UCL321067,40,50,27,7,245
UCL321068,94,64,38,7,343
UCL321069,33,6,0,0,226
UCL321070,104,74,28,5,477
UCL321071,65,63,17,8,260
UCL321072,103,75,33,5,525
UCL321073,23,14,0,0,215
UCL321074,72,46,7,7,435
UCL321075,107,111,45,4,515
UCL321076,43,25,5,0,262
UCL321077,45,25,0,3,225
UCL321078,56,36,9,0,346
UCL321079,70,31,25,29,439
UCL321080,107,69,21,7,417
UCL321081,58,32,14,9,287
UCL321082,69,39,3,3,430
UCL321083,15,5,0,0,162
UCL321084,29,16,0,0,280
UCL321085,66,24,11,0,269
UCL321086,67,31,5,0,396
UCL321087,146,85,26,3,1235
UCL321088,81,99,32,3,366
UCL321089,58,35,18,0,243
UCL321090,82,69,21,0,496
UCL321091,117,85,34,6,465
UCL321092,16,11,0,0,158
UCL321093,89,42,13,0,326
UCL321094,36,21,3,3,203
UCL321095,88,54,35,15,364
UCL321096,31,12,5,3,212
UCL321097,75,62,30,3,285
UCL321098,59,73,29,11,398
UCL321099,78,57,25,0,256
UCL321100,58,41,17,3,282
UCL321101,52,43,26,4,261
UCL321102,92,62,23,6,444
UCL321103,39,28,7,7,365
UCL321104,84,43,18,0,452
UCL321105,49,35,17,9,339
UCL321106,27,13,15,9,170
UCL321107,49,49,26,12,269
UCL321108,65,25,3,0,310
UCL321109,91,75,15,6,496
UCL321110,125,93,40,3,612
UCL321111,95,45,35,13,429
UCL321112,89,62,24,4,329
UCL321113,33,15,8,0,205
UCL321114,57,54,28,4,368
UCL321115,119,104,47,10,477
UCL321116,78,63,19,6,368
UCL321117,38,9,0,0,246
UCL321118,64,38,13,0,281
UCL321119,62,99,37,10,335
UCL322001,55,28,3,0,209
UCL322002,10,14,9,0,109
UCL322003,30,32,6,0,125
UCL322004,39,44,15,0,186
UCL322005,14,10,4,0,84
UCL322006,30,20,12,0,164
UCL322007,35,36,18,3,151
UCL322008,21,13,10,5,138
UCL322009,20,11,9,0,93
UCL322010,44,43,9,0,140
UCL322011,21,41,16,8,159
UCL322012,27,24,8,4,178
UCL322013,37,16,13,4,154
UCL322014,46,31,7,6,184
UCL322015,25,9,0,0,88
UCL322016,8,0,0,0,102
UCL322017,60,60,11,0,181
UCL322018,58,41,20,7,177
UCL322019,25,4,5,0,105
UCL322020,15,21,15,0,78
UCL322021,28,34,3,0,218
UCL322022,20,4,0,0,82
UCL322023,53,45,13,3,201
UCL322024,46,44,6,4,188
UCL322025,43,29,11,10,230
UCL322026,13,5,5,0,61
UCL322027,29,20,5,0,102
UCL322028,11,4,6,0,74
UCL322029,16,20,5,0,97
UCL322030,26,22,10,3,140
UCL322031,17,4,3,0,144
UCL322032,20,22,3,0,114
UCL322033,38,24,12,0,135
UCL322034,16,12,3,0,66
UCL322035,6,0,0,0,80
UCL322036,21,22,19,5,143
UCL322037,26,12,10,5,135
UCL322038,39,50,21,3,199
UCL322039,12,10,5,3,68
UCL322040,22,20,15,0,162
UCL322041,12,15,8,0,88
UCL322042,36,13,5,0,166
UCL322043,11,7,0,0,122
UCL322044,22,11,10,0,116
UCL322045,26,15,9,3,156
UCL322046,21,19,0,0,95
UCL322047,47,29,11,4,205
UCL322048,25,11,10,0,181
UCL322049,4,0,3,0,43
UCL322050,15,16,0,0,100
UCL322051,24,16,4,0,102
UCL322052,31,10,3,0,94
UCL322053,3,8,3,0,64
UCL322054,19,17,3,0,142
UCL322055,35,37,18,3,157
UCL322056,42,30,10,9,160
UCL322057,4,3,0,0,94
UCL322058,23,12,8,0,153
UCL322059,66,50,19,8,207
UCL322060,20,4,0,0,122
UCL322061,39,30,10,6,178
UCL322062,15,6,4,3,119
UCL322063,30,16,12,3,184
UCL322064,17,7,0,0,63
UCL322065,6,12,7,0,97
UCL322066,35,47,11,0,128
UCL322067,13,15,5,0,81
UCL322068,27,46,16,0,161
UCL322069,30,34,5,0,154
UCL322070,51,62,27,7,219
UCL322071,8,3,0,0,64
UCL322072,13,20,7,0,105
UCL322073,46,55,15,7,176
UCL322074,43,32,10,0,105
UCL322075,6,0,0,0,71
UCL322076,17,4,3,0,105
UCL322077,25,3,0,0,178
UCL322078,13,5,5,0,71
UCL322079,23,8,0,0,133
UCL322080,21,24,13,0,95
UCL322081,34,19,7,5,112
UCL322082,29,21,17,0,164
UCL322083,10,9,13,0,84
UCL322084,19,14,7,0,73
UCL322085,46,26,10,0,229
UCL322086,13,10,4,0,89
UCL322087,72,34,5,3,282
UCL322088,31,16,15,0,109
UCL322089,28,14,10,3,164
UCL322090,12,12,0,3,96
UCL322091,19,18,9,4,103
UCL322092,6,3,0,0,81
UCL322093,36,14,9,3,166
UCL322094,38,18,9,0,127
UCL322095,33,30,14,5,136
UCL322096,50,31,11,0,224
UCL322097,16,11,5,0,199
UCL322098,58,29,7,3,166
UCL322099,24,14,5,0,154
UCL322100,84,99,17,4,247
UCL322101,17,22,7,3,98
UCL322102,19,10,0,0,143
UCL322103,37,37,9,0,188
UCL322104,58,39,7,3,238
UCL322105,14,9,5,0,77
UCL322106,39,47,32,12,246
UCL322107,11,4,3,0,103
UCL322108,9,5,3,0,45
UCL322109,17,11,3,3,91
UCL322110,29,26,0,0,149
UCL322111,33,17,15,0,184
UCL322112,14,9,3,0,126
UCL322113,19,34,3,0,145
UCL322114,8,5,0,0,101
UCL322115,32,20,5,8,154
UCL322116,21,10,6,0,109
UCL322117,37,24,6,0,222
UCL322118,32,18,6,0,108
UCL322119,47,28,27,3,159
UCL322120,23,8,0,0,99
UCL322121,26,8,3,0,115
UCL322122,30,16,5,0,173
UCL322123,22,27,11,4,179
UCL322124,51,53,12,3,206
UCL322125,35,52,21,0,178
UCL322126,19,8,12,0,105
UCL322127,24,12,15,0,88
UCL322128,21,17,9,0,116
UCL322129,26,13,5,3,110
UCL322130,49,55,24,0,214
UCL322131,9,3,0,0,93
UCL322132,20,31,3,9,135
UCL322133,40,18,8,3,167
UCL322134,29,17,10,3,144
UCL322135,13,6,4,0,75
UCL322136,12,3,6,0,132
UCL322137,9,0,0,0,111
UCL322138,6,18,6,0,40
UCL322139,12,0,0,0,86
UCL322140,37,10,4,0,162
UCL322141,20,15,9,0,76
UCL322142,3,13,7,0,47
UCL322143,7,0,0,0,96
UCL331777,38769,24312,7967,1624,196263
UCL379997,15,15,6,3,71
UCL399994,1426,1050,215,24,7409
UCL401001,82005,55387,27403,12941,554855
UCL412001,1868,1186,626,271,11492
UCL412002,1565,1089,594,263,10474
UCL412003,1373,906,572,177,8971
UCL413001,1813,1298,399,121,8600
UCL413002,1161,829,354,134,7853
UCL413003,915,718,376,141,6546
UCL413004,888,598,237,90,5588
UCL413005,993,646,341,123,5999
UCL413006,822,578,326,125,5038
UCL413007,1349,1734,1024,474,7365
UCL414001,768,944,487,184,3748
UCL414002,261,182,113,79,1943
UCL414003,351,330,145,64,2390
UCL414004,440,389,197,85,2540
UCL415001,173,108,48,18,939
UCL415002,131,90,33,8,1133
UCL415003,111,94,52,20,709
UCL415004,146,111,47,15,808
UCL415005,118,114,84,28,749
UCL415006,241,189,105,46,1656
UCL415007,149,94,79,76,1119
UCL415008,131,92,39,32,930
UCL415009,260,192,92,41,1461
UCL415010,147,117,50,6,793
UCL415011,106,81,45,14,542
UCL415012,122,58,16,10,811
UCL415013,195,163,105,83,1109
UCL415014,99,59,36,45,577
UCL415015,312,231,114,65,1870
UCL415016,172,174,66,21,1056
UCL415017,166,113,67,34,807
UCL415018,111,120,60,24,666
UCL415019,134,55,16,0,680
UCL415020,165,79,54,12,947
UCL415021,242,191,113,61,1518
UCL415022,133,85,43,10,857
UCL415023,77,58,33,14,390
UCL415024,177,201,109,40,980
UCL415025,66,40,10,0,477
UCL415026,262,258,162,115,1575
UCL415027,321,220,129,96,1818
UCL415028,370,404,179,57,1754
UCL415029,65,69,17,3,493
UCL415030,303,196,61,4,2258
UCL415031,239,251,102,22,955
UCL415032,85,59,33,21,549
UCL415033,139,77,44,20,489
UCL415034,90,90,58,31,419
UCL415035,243,220,159,102,1760
UCL415036,110,84,31,25,520
UCL415037,167,18,3,0,1624
UCL415038,77,78,39,14,484
UCL415039,386,214,120,92,2043
UCL415040,115,100,52,36,576
UCL415041,95,69,23,14,714
UCL415042,104,89,65,51,632
UCL415043,319,281,168,71,1619
UCL415044,163,87,40,15,984
UCL415045,232,134,70,17,1068
UCL415046,153,112,51,24,878
UCL421001,56,43,16,3,302
UCL421002,104,92,51,23,448
UCL421003,66,55,20,4,464
UCL421004,93,103,29,11,404
UCL421005,64,39,23,20,316
UCL421006,47,30,4,3,278
UCL421007,60,63,20,3,288
UCL421008,80,62,16,16,383
UCL421009,42,30,19,24,309
UCL421010,41,26,4,0,289
UCL421011,42,23,28,10,192
UCL421012,53,45,11,5,234
UCL421013,100,36,16,0,471
UCL421014,65,34,22,20,353
UCL421015,51,44,24,20,270
UCL421016,26,10,3,3,229
UCL421017,63,53,18,12,414
UCL421018,41,21,24,9,232
UCL421019,35,36,27,14,233
UCL421020,124,56,13,4,516
UCL421021,50,23,18,8,278
UCL421022,47,25,3,3,372
UCL421023,49,41,31,5,299
UCL421024,113,77,40,7,478
UCL421025,76,81,21,5,370
UCL421026,55,63,36,36,332
UCL421027,51,36,20,11,252
UCL421028,47,24,8,3,272
UCL421029,38,24,20,12,214
UCL421030,103,51,20,11,438
UCL421031,37,18,7,8,218
UCL421032,56,49,19,10,287
UCL421033,23,30,10,4,181
UCL421034,91,71,38,7,492
UCL421035,55,75,31,21,336
UCL421036,66,24,9,4,424
UCL421037,59,55,21,12,227
UCL421038,86,49,22,19,416
UCL421039,107,48,14,10,452
UCL421040,39,7,0,0,269
UCL421041,40,24,14,6,257
UCL421042,36,21,6,13,204
UCL421043,74,70,34,7,323
UCL421044,52,31,22,3,231
UCL422001,20,8,0,3,100
UCL422002,9,3,0,0,124
UCL422003,32,41,10,0,121
UCL422004,22,23,20,3,135
UCL422005,30,20,0,0,103
UCL422006,50,38,5,7,210
UCL422007,40,47,9,3,181
UCL422008,14,27,13,3,104
UCL422009,20,12,5,3,156
UCL422010,15,20,16,12,131
UCL422011,40,31,6,0,169
UCL422012,7,14,4,7,73
UCL422013,49,16,13,0,215
UCL422014,25,11,0,0,144
UCL422015,40,15,0,0,106
UCL422016,39,60,13,3,164
UCL422017,24,9,0,3,78
UCL422018,17,18,12,4,92
UCL422019,15,11,3,0,73
UCL422020,19,6,0,0,71
UCL422021,45,60,21,7,207
UCL422022,36,19,8,4,155
UCL422023,23,17,0,3,118
UCL422024,66,39,9,0,264
UCL422025,12,3,0,0,83
UCL422026,20,16,3,0,106
UCL422027,4,0,0,0,52
UCL422028,24,18,12,4,118
UCL422029,36,13,5,0,187
UCL422030,40,31,18,5,216
UCL422031,18,3,0,0,109
UCL422032,23,11,4,3,82
UCL422033,9,4,0,0,95
UCL422034,26,31,14,3,132
UCL422035,21,14,6,0,83
UCL422036,28,20,0,0,141
UCL422037,23,7,0,0,114
UCL422038,25,13,3,0,118
UCL422039,25,7,3,0,148
UCL422040,31,15,4,0,139
UCL422041,19,22,8,0,111
UCL422042,17,10,10,3,93
UCL422043,26,19,5,4,111
UCL422044,21,30,17,3,139
UCL422045,29,29,8,0,117
UCL422046,31,37,10,3,150
UCL422047,12,11,6,0,55
UCL422048,27,29,12,7,114
UCL422049,44,70,36,5,217
UCL422050,26,6,3,3,128
UCL422051,43,25,18,7,170
UCL422052,36,11,6,0,80
UCL422053,29,22,8,8,125
UCL422054,15,7,8,3,106
UCL422055,22,10,4,0,77
UCL422056,45,30,3,3,187
UCL422057,13,15,10,0,79
UCL422058,17,12,5,0,83
UCL422059,18,17,3,0,103
UCL422060,17,8,12,0,99
UCL422061,36,20,0,3,189
UCL422062,9,9,9,4,63
UCL422063,26,10,4,0,146
UCL422064,32,27,18,3,183
UCL422065,34,16,4,4,98
UCL422066,25,5,0,0,89
UCL422067,13,5,3,0,91
UCL422068,0,0,0,0,84
UCL431777,13626,8298,2427,555,63886
UCL479997,0,0,0,0,3
UCL499994,247,159,30,10,1595
UCL501001,127221,80253,40223,16749,940467
UCL511001,5041,3074,1421,544,32499
UCL512001,2294,1637,903,426,13724
UCL512002,1854,1543,855,382,11588
UCL512003,2134,1247,669,212,13804
UCL512004,1736,641,230,55,13131
UCL513001,1045,382,106,30,7276
UCL513002,686,497,269,111,4562
UCL513003,760,180,27,6,7866
UCL513004,734,187,44,17,6965
UCL514001,476,352,180,64,2936
UCL514002,429,350,152,37,3159
UCL514003,410,219,98,42,3189
UCL514004,498,320,174,91,2715
UCL514005,454,391,207,99,4090
UCL515001,113,134,75,44,574
UCL515002,100,76,12,4,584
UCL515003,167,128,48,17,731
UCL515004,80,48,23,10,814
UCL515005,103,95,34,11,793
UCL515006,326,179,82,29,1982
UCL515007,81,51,22,11,764
UCL515008,49,11,3,0,529
UCL515009,230,219,110,37,1235
UCL515010,265,112,22,8,1464
UCL515011,176,148,94,43,1085
UCL515012,117,52,12,4,942
UCL515013,184,117,29,3,1287
UCL515014,53,18,4,5,469
UCL515015,159,133,80,26,1140
UCL515016,138,97,55,6,663
UCL515017,162,142,49,13,680
UCL515018,80,40,11,0,677
UCL515019,237,144,94,47,1464
UCL515020,288,89,21,4,2109
UCL515021,184,134,57,9,819
UCL515022,261,153,116,54,1652
UCL515023,157,84,48,20,1020
UCL515024,105,70,30,7,591
UCL515025,136,91,65,32,789
UCL515026,324,207,118,43,1862
UCL515027,221,35,4,0,2276
UCL515028,56,9,0,0,602
UCL515029,236,221,133,35,1598
UCL515030,239,236,106,21,1218
UCL515031,124,22,0,0,1360
UCL515032,177,142,73,7,1056
UCL515033,131,77,47,20,547
UCL515034,162,99,114,53,1021
UCL515035,93,10,0,0,797
UCL515036,233,233,120,33,1151
UCL521001,52,20,3,0,245
UCL521002,84,67,9,3,342
UCL521003,96,78,67,12,405
UCL521004,10,0,0,0,134
UCL521005,73,29,17,0,452
UCL521006,93,48,10,4,390
UCL521007,50,40,23,14,206
UCL521008,26,36,28,21,224
UCL521009,35,41,19,3,215
UCL521010,50,44,19,8,292
UCL521011,30,18,10,3,246
UCL521012,54,37,5,4,239
UCL521013,26,27,10,0,268
UCL521014,46,30,19,3,236
UCL521015,67,43,23,7,394
UCL521016,61,42,16,0,336
UCL521017,49,33,17,13,285
UCL521018,54,38,21,8,313
UCL521019,35,12,8,4,274
UCL521020,60,66,15,7,341
UCL521021,74,59,10,0,267
UCL521022,51,47,18,3,342
UCL521023,94,29,12,0,391
UCL521024,35,21,5,8,217
UCL521025,46,32,14,8,216
UCL521026,94,36,10,3,627
UCL521027,35,11,3,0,289
UCL521028,61,48,12,3,279
UCL521029,63,29,12,3,370
UCL521030,40,16,4,0,336
UCL521031,51,43,33,18,325
UCL521032,71,51,37,21,466
UCL521033,25,18,14,3,218
UCL521034,78,65,33,12,345
UCL521035,36,20,6,3,247
UCL521036,3,7,0,0,81
UCL521037,58,24,3,0,286
UCL521038,43,22,3,5,259
UCL521039,41,13,16,6,191
UCL521040,61,35,16,0,318
UCL521041,113,47,17,10,608
UCL521042,57,45,22,8,240
UCL521043,53,40,9,3,205
UCL521044,42,36,18,6,319
UCL521045,71,52,39,20,333
UCL521046,85,62,45,9,444
UCL521047,84,15,8,0,425
UCL521048,29,0,0,0,318
UCL521049,45,37,17,4,278
UCL521050,77,66,26,10,310
UCL521051,59,47,30,7,237
UCL521052,28,15,10,0,188
UCL521053,82,47,10,0,572
UCL521054,30,21,14,14,251
UCL521055,97,104,48,8,469
UCL521056,21,12,3,0,171
UCL521057,49,22,7,10,280
UCL521058,49,37,21,3,267
UCL521059,62,33,23,3,378
UCL521060,30,23,3,0,217
UCL522001,12,8,3,0,168
UCL522002,42,29,18,5,159
UCL522003,11,4,3,0,124
UCL522004,0,4,0,0,67
UCL522005,7,3,4,0,112
UCL522006,44,36,14,7,235
UCL522007,27,8,18,0,120
UCL522008,29,8,9,3,117
UCL522009,24,10,3,0,140
UCL522010,39,41,22,14,234
UCL522011,37,14,3,3,135
UCL522012,22,18,5,3,153
UCL522013,5,3,0,0,82
UCL522014,13,4,3,0,129
UCL522015,24,15,13,0,115
UCL522016,20,30,10,0,158
UCL522017,21,17,3,0,85
UCL522018,31,20,9,0,199
UCL522019,11,6,7,5,80
UCL522020,32,10,0,0,141
UCL522021,24,22,11,0,141
UCL522022,18,14,8,0,76
UCL522023,18,19,10,0,142
UCL522024,27,34,5,3,121
UCL522025,38,18,8,0,142
UCL522026,15,31,13,5,93
UCL522027,16,21,6,0,155
UCL522028,24,3,3,0,107
UCL522029,11,3,0,0,76
UCL522030,6,3,0,0,99
UCL522031,42,48,21,0,183
UCL522032,7,0,0,0,29
UCL522033,14,15,7,0,75
UCL522034,17,10,5,0,94
UCL522035,14,17,6,9,123
UCL522036,41,11,8,0,141
UCL522037,43,25,6,0,139
UCL522038,28,3,0,0,250
UCL522039,18,7,3,0,64
UCL522040,0,4,0,0,67
UCL522041,28,12,3,0,111
UCL522042,45,40,6,0,223
UCL522043,19,10,6,0,103
UCL522044,20,22,13,0,153
UCL522045,35,21,17,9,163
UCL522046,35,19,7,0,154
UCL522047,10,7,0,0,76
UCL522048,3,0,0,0,51
UCL522049,50,45,18,0,285
UCL522050,12,8,9,0,76
UCL522051,22,7,4,0,119
UCL522052,34,20,8,0,134
UCL522053,37,16,6,0,259
UCL522054,21,17,19,3,122
UCL522055,12,8,3,0,73
UCL522056,32,26,3,9,154
UCL522057,11,4,0,0,50
UCL522058,48,26,33,0,163
UCL522059,6,5,0,0,69
UCL522060,6,0,0,0,71
UCL522061,9,0,0,0,85
UCL522062,11,12,6,0,92
UCL522063,29,15,4,3,161
UCL522064,8,9,0,0,84
UCL522065,44,27,9,0,213
UCL522066,24,22,11,0,120
UCL522067,19,11,4,0,93
UCL522068,13,3,0,0,134
UCL531777,14982,8722,2682,522,82357
UCL579997,31,4,3,0,338
UCL599994,633,368,58,13,3820
UCL603001,14002,9637,5088,2194,86205
UCL611001,5350,3824,1951,851,33887
UCL612001,1631,1279,728,317,9625
UCL613001,1301,875,549,176,7989
UCL613002,938,715,422,146,5106
UCL614001,343,264,167,49,2060
UCL614002,391,304,210,64,2145
UCL615001,63,56,42,17,393
UCL615002,121,130,59,15,552
UCL615003,106,111,59,13,584
UCL615004,170,163,91,48,997
UCL615005,439,269,80,23,2173
UCL615006,123,114,68,9,580
UCL615007,265,237,117,29,1490
UCL615008,151,90,40,11,934
