UCL_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
UCL413001,..,1041,1041,1881,70,1955,840,10,846,1090,3,1098,381,0,381,113,0,113,4309,1123,5433
UCL413002,..,1453,1453,1872,119,1989,952,30,979,1042,6,1043,431,0,430,151,0,151,4446,1608,6053
UCL413003,..,1997,1997,2145,177,2319,887,30,911,730,13,744,316,5,323,178,13,191,4252,2226,6484
UCL413004,..,1503,1503,1486,116,1607,672,6,682,538,11,547,226,0,226,128,0,128,3059,1638,4694
UCL413005,..,1670,1670,1804,154,1961,689,20,715,651,3,656,273,0,273,98,0,98,3512,1852,5364
UCL413006,..,1941,1941,1809,101,1910,710,8,718,585,3,588,268,0,268,114,0,114,3491,2059,5546
UCL413007,..,2210,2210,2911,114,3021,624,7,631,477,0,485,195,0,195,72,0,75,4285,2332,6616
UCL414001,..,1159,1159,1487,69,1562,276,3,278,237,0,239,86,0,86,42,0,42,2134,1237,3371
UCL414002,..,600,600,657,48,702,239,20,252,234,8,246,91,7,96,43,11,54,1259,687,1946
UCL414003,..,708,708,837,36,874,274,8,281,309,0,310,111,0,111,38,0,38,1558,756,2315
UCL414004,..,569,569,832,46,875,263,8,272,285,0,285,110,0,107,39,0,39,1524,617,2149
UCL415001,..,227,227,296,18,311,115,3,122,98,0,99,52,0,52,12,0,12,568,252,817
UCL415002,..,92,92,226,4,231,146,4,148,231,0,231,101,0,101,46,0,46,750,100,845
UCL415003,..,282,282,271,15,288,81,0,83,90,0,90,39,0,39,16,0,16,501,293,791
UCL415004,..,139,139,219,5,229,102,0,102,85,0,85,29,0,29,13,0,13,447,147,585
UCL415005,..,345,345,283,20,303,81,0,81,62,0,61,30,0,30,15,0,15,466,363,836
UCL415006,..,597,597,534,43,575,220,9,226,170,5,174,73,0,71,26,0,33,1027,650,1679
UCL415007,..,332,332,338,31,367,107,10,119,106,8,112,48,9,56,22,9,30,620,391,1016
UCL415008,..,254,254,276,19,288,117,0,114,84,0,84,43,0,43,19,0,19,539,274,814
UCL415009,..,433,433,513,19,531,136,8,149,130,0,130,77,0,77,22,0,22,882,465,1341
UCL415010,..,314,314,174,9,185,64,4,64,49,0,49,20,0,20,15,0,15,325,321,644
UCL415011,..,181,181,201,7,210,64,0,64,43,0,43,24,0,24,14,0,14,350,190,535
UCL415012,..,124,124,233,8,239,111,0,113,135,0,135,59,0,59,27,0,27,564,130,694
UCL415013,..,195,195,280,8,288,98,0,102,117,0,117,51,0,51,12,0,12,557,200,754
UCL415014,..,212,212,219,19,236,55,0,56,54,0,54,29,0,29,5,0,5,366,234,597
UCL415015,..,548,548,636,30,668,230,5,231,195,0,193,106,0,106,33,0,33,1202,583,1785
UCL415016,..,354,354,372,20,389,120,3,124,126,0,126,61,0,61,19,0,19,703,379,1081
UCL415017,..,297,297,255,20,272,90,0,90,44,0,39,33,0,33,7,0,7,428,314,747
UCL415018,..,242,242,285,7,290,67,0,69,65,0,65,23,0,23,4,0,4,445,247,694
UCL415019,..,77,77,167,10,173,94,0,94,101,0,101,37,0,37,22,0,22,427,86,508
UCL415020,..,199,199,286,7,291,108,0,108,104,0,104,58,0,58,31,0,31,583,203,793
UCL415021,..,541,541,569,22,591,178,6,185,172,0,178,59,0,60,25,0,25,1005,572,1580
UCL415022,..,120,120,236,6,244,100,0,100,99,0,99,38,0,38,22,0,22,497,126,620
UCL415023,..,134,134,171,3,178,39,0,39,33,0,33,21,0,21,6,0,6,270,138,410
UCL415024,..,372,372,418,23,443,85,0,90,79,0,79,39,0,39,15,0,15,635,403,1032
UCL415025,..,35,35,104,3,104,60,0,60,104,0,104,44,0,44,3,0,3,316,40,347
UCL415026,..,351,351,493,20,517,133,0,133,159,0,163,55,0,55,13,0,13,864,377,1236
UCL415027,..,687,687,669,29,692,203,5,210,185,3,183,101,0,101,40,0,40,1203,719,1918
UCL415028,..,553,553,750,33,781,182,7,187,130,0,130,49,0,49,32,0,32,1140,591,1734
UCL415029,..,37,37,139,4,144,60,0,60,84,0,89,28,0,28,6,0,6,321,47,373
UCL415030,..,357,357,551,31,585,330,3,326,315,0,315,127,0,127,31,0,31,1350,393,1739
UCL415031,..,269,269,381,14,394,70,0,74,52,0,52,24,0,24,9,0,9,536,283,822
UCL415032,..,154,154,177,13,189,64,3,69,56,0,56,37,0,37,4,0,4,338,171,508
UCL415033,..,286,286,214,19,237,60,0,60,42,0,42,21,0,21,6,0,6,349,306,655
UCL415034,..,180,180,197,11,204,31,0,31,24,0,24,10,0,10,4,0,4,266,189,456
UCL415035,..,657,657,642,41,688,222,7,221,176,3,183,78,0,82,45,4,44,1165,706,1879
