UCL_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
UCL115076,0,3,3,0,4,0,0,0,0,0,0,0,5,0,3,0,0,3,0,4,6,0,12,0,16,3,3,10,0,16,23,3,15,0,37,11,11,20,0,36,14,12,18,0,49,7,31,4,0,47,17,23,6,0,44,14,30,9,0,54,33,63,14,0,103,11,29,5,0,52,3,11,0,0,18,3,13,3,0,15,0,11,0,0,10,8,44,3,0,55,5,3,3,0,9,179,286,127,6,597
UCL115077,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,3,0,8,0,10,6,0,4,0,11,17,0,3,0,27,7,5,4,0,11,7,9,10,0,25,12,7,3,0,26,14,8,0,0,23,12,6,0,0,14,17,17,3,0,31,4,11,0,0,12,0,0,0,0,3,3,0,0,0,4,3,6,0,0,5,8,20,9,0,33,3,3,0,0,10,116,97,43,4,257
UCL115078,0,0,0,0,0,0,0,0,0,0,3,3,3,0,8,0,0,0,0,5,12,0,8,0,16,0,0,11,0,12,27,3,11,0,43,14,8,10,0,26,19,4,4,0,25,21,12,3,0,31,13,11,0,0,22,5,6,0,0,20,13,17,0,0,30,4,11,0,0,17,0,4,0,0,4,0,3,0,0,3,3,4,0,0,11,11,17,5,0,31,8,0,0,0,12,148,98,59,3,311
UCL115079,0,0,0,0,5,3,0,0,0,3,0,0,0,3,4,3,0,0,0,3,16,3,13,0,33,11,0,7,0,20,66,7,14,0,86,35,12,9,3,57,30,19,10,0,59,32,28,10,0,65,15,22,8,0,43,14,15,4,0,34,31,35,3,0,71,14,24,5,0,37,8,15,0,0,20,0,4,0,0,4,4,7,0,0,16,25,22,5,0,60,13,0,0,0,12,328,217,82,7,638
UCL115080,5,0,0,0,5,9,0,0,0,9,0,0,4,0,4,0,0,3,0,5,43,0,9,0,55,9,0,10,0,30,84,0,13,0,108,48,8,9,0,68,34,14,9,3,61,27,15,5,0,46,10,5,3,0,18,8,10,0,0,14,17,9,3,0,23,3,0,0,0,4,0,0,0,0,3,0,0,0,0,0,9,0,0,0,5,20,10,3,0,34,10,0,0,0,18,329,78,85,9,499
UCL115081,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,3,0,7,0,11,10,0,8,0,19,12,5,4,0,16,16,7,6,0,32,20,3,5,0,34,21,10,5,0,33,14,10,0,3,30,20,23,4,3,50,15,16,0,0,25,5,13,4,0,18,0,4,0,0,4,4,10,0,0,15,12,22,4,0,43,3,3,0,0,3,159,130,58,5,347
UCL115082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,9,7,0,4,0,13,11,5,3,0,25,9,5,10,0,32,7,13,3,0,22,11,25,4,0,43,8,19,3,0,31,10,19,0,0,26,13,32,0,0,41,6,13,0,0,16,5,10,0,0,8,3,0,0,0,5,0,8,0,0,8,11,14,3,0,30,0,0,0,0,7,110,159,50,0,321
UCL115083,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,13,5,0,7,0,14,40,0,5,3,54,26,9,3,0,37,26,14,3,0,48,27,8,0,0,35,9,11,3,0,23,10,10,0,0,23,20,22,0,0,41,9,10,0,0,25,3,18,0,0,22,3,8,3,0,11,0,6,0,0,8,9,23,0,0,36,8,0,0,0,8,213,134,37,6,395
UCL115084,3,0,3,0,5,3,0,3,0,8,0,0,8,0,9,3,0,6,0,8,19,4,13,0,36,6,0,26,0,36,74,14,31,0,124,34,16,22,4,71,36,33,22,3,96,33,41,16,3,93,18,31,12,0,62,22,41,8,0,64,35,63,8,0,103,28,32,7,0,62,12,23,3,0,32,6,10,3,0,15,10,14,0,0,24,25,38,27,0,88,11,3,0,0,20,374,354,209,18,958
UCL115085,0,0,3,0,3,3,0,0,0,3,3,0,8,0,8,0,0,3,0,4,10,8,3,0,21,6,0,11,0,19,39,7,7,0,57,7,10,3,0,23,19,8,12,3,41,14,3,3,0,18,8,9,0,0,20,5,4,0,0,9,3,10,4,0,20,3,4,0,0,8,0,0,0,0,0,0,0,0,0,0,5,3,0,0,4,3,12,4,0,21,6,3,0,0,13,132,88,64,7,290
UCL115086,0,0,3,0,5,0,0,3,0,3,0,0,0,0,0,0,0,4,0,3,18,0,7,0,21,12,5,7,0,24,53,3,9,0,64,13,3,7,0,25,22,4,10,0,36,11,12,3,0,23,4,9,3,0,14,11,6,0,0,17,15,16,0,0,25,3,14,0,0,12,4,5,0,0,7,0,0,0,0,0,0,4,0,0,4,7,9,6,0,25,8,0,3,0,15,179,89,57,3,329
UCL115087,3,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,3,0,3,6,3,4,0,16,3,0,13,0,18,32,4,15,0,50,18,7,9,4,39,17,10,12,0,41,19,24,5,0,49,13,21,3,0,40,8,11,3,0,22,21,30,0,0,47,11,25,0,0,29,0,14,0,0,16,0,11,0,0,13,3,0,0,0,3,14,18,4,0,40,12,0,0,0,12,184,174,77,7,444
UCL115088,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,8,0,0,0,0,4,18,0,0,0,17,13,3,0,0,19,11,6,0,0,24,9,5,10,0,27,3,10,4,0,18,6,8,0,0,14,17,21,0,0,39,10,12,0,0,26,11,16,0,0,30,8,10,0,0,19,8,23,0,0,35,6,16,5,0,29,0,0,0,0,3,140,133,33,3,306
UCL115089,6,0,3,0,7,0,0,3,0,3,3,0,3,0,3,0,0,5,0,5,11,0,18,0,33,8,3,17,0,27,83,11,24,0,120,33,6,28,0,64,42,31,23,4,100,24,26,8,3,63,11,21,9,0,38,10,28,5,0,40,16,19,3,0,36,12,7,0,0,21,3,5,0,0,10,3,5,0,0,6,10,16,0,0,20,17,20,11,0,51,5,0,5,0,12,297,195,157,15,661
UCL115090,3,4,0,0,8,0,0,0,0,0,0,0,4,0,3,0,0,5,0,4,0,3,5,3,14,0,0,12,0,12,20,4,10,0,38,10,3,11,0,18,22,18,5,0,49,14,14,7,0,31,3,12,3,0,19,3,7,3,0,15,12,14,3,0,33,9,3,0,0,8,0,0,0,0,4,0,0,0,0,0,0,5,0,0,5,10,14,8,0,27,7,0,0,0,12,117,100,69,10,299
UCL115091,4,0,3,0,8,6,0,0,0,7,8,0,6,0,15,3,0,0,0,6,22,4,4,0,36,14,3,12,0,35,76,10,10,0,95,53,13,25,0,91,51,21,23,0,94,27,32,3,0,67,19,22,5,0,50,21,25,7,0,56,21,49,4,0,73,19,40,3,0,54,12,27,0,0,38,5,10,0,0,17,4,17,0,0,26,28,51,8,0,84,16,0,0,0,18,410,320,121,4,862
UCL115092,5,0,3,0,10,4,0,0,0,4,3,0,8,0,9,0,0,13,0,13,18,0,6,0,23,14,0,22,0,28,89,12,24,0,120,38,15,13,0,72,38,19,14,0,72,34,26,9,3,70,23,22,3,0,44,20,24,7,0,47,39,33,3,0,66,14,18,0,0,34,12,9,0,0,14,6,3,0,0,11,8,10,0,0,18,25,27,4,0,59,5,0,3,0,6,390,216,126,10,742
UCL115093,0,0,0,0,0,0,0,0,0,3,3,0,3,0,7,0,0,3,0,6,5,0,4,3,17,7,0,20,3,30,22,5,12,4,47,13,8,17,0,35,15,11,11,0,32,7,16,3,0,27,11,3,0,0,20,5,3,0,0,13,7,10,0,0,14,13,5,0,0,14,0,0,0,0,7,3,0,0,0,3,7,0,0,0,8,4,14,8,0,33,6,0,4,0,6,126,73,104,10,314
UCL115094,3,0,0,0,4,0,0,0,0,3,3,0,0,0,3,4,3,5,0,9,15,7,11,0,40,7,3,26,0,36,75,7,27,0,113,33,13,25,6,74,33,18,21,3,76,44,34,9,3,85,14,24,5,0,47,10,22,7,0,39,19,24,3,0,51,9,14,0,0,24,0,8,0,0,9,0,5,3,0,3,3,0,0,0,4,17,21,24,0,62,6,4,7,0,19,307,212,176,11,711
UCL115095,4,0,0,0,4,0,0,0,0,0,0,0,7,0,8,0,0,7,0,7,20,0,10,0,29,10,3,16,0,28,95,10,17,0,122,39,12,32,0,80,44,24,13,3,76,29,18,9,0,60,19,19,5,0,42,14,18,3,0,30,24,21,0,3,42,12,8,0,0,23,0,5,0,0,5,0,3,0,0,4,8,5,0,0,8,32,25,12,0,66,9,0,7,0,19,341,176,140,13,665
UCL115096,4,0,0,0,3,3,0,0,0,3,7,0,0,0,8,4,0,3,0,3,23,0,3,0,26,18,0,10,0,27,53,8,7,0,71,30,9,15,0,57,49,12,7,0,69,40,18,10,0,65,25,15,4,0,47,23,25,7,0,56,35,24,3,0,66,11,25,0,0,37,12,12,0,0,20,3,5,0,0,6,7,7,0,0,17,29,16,8,0,60,8,0,5,0,16,386,173,86,3,641
UCL115097,0,0,0,0,3,4,0,0,0,4,4,0,8,3,9,0,0,5,0,6,19,0,10,0,22,8,3,19,0,32,69,0,15,0,87,19,13,19,0,49,26,12,10,0,50,18,22,11,6,58,6,21,7,0,29,6,17,4,0,28,7,22,3,3,36,6,5,0,0,9,0,5,0,0,9,0,3,0,0,3,4,3,0,0,5,17,14,12,0,44,3,7,4,0,13,221,153,135,14,513
UCL115098,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,11,0,0,0,12,3,0,7,0,11,21,4,3,0,32,20,4,7,0,32,21,7,6,0,34,23,20,3,0,46,3,16,4,0,17,9,7,0,0,21,15,13,3,0,31,4,12,0,0,10,5,3,0,0,11,3,5,0,0,7,3,3,0,0,3,15,16,5,0,38,0,3,3,0,7,157,105,44,5,309
UCL115099,0,0,0,0,3,0,0,3,0,5,0,0,0,0,4,0,0,6,0,6,3,0,3,0,10,7,5,15,0,26,42,0,3,0,49,18,10,12,0,36,12,15,5,0,37,16,19,5,0,48,7,18,0,0,27,5,15,4,0,25,19,37,3,0,57,8,22,0,0,28,3,12,0,0,11,3,8,0,0,9,3,0,0,0,4,10,26,12,0,45,3,0,3,0,12,164,189,75,5,427
UCL115100,0,0,0,0,7,0,0,0,0,0,4,0,8,0,7,0,0,4,0,9,23,3,15,0,36,17,5,20,0,34,67,5,18,3,98,43,11,25,0,79,38,16,17,0,66,34,35,4,0,70,6,14,0,0,24,11,22,0,0,32,17,32,3,0,53,11,12,0,0,23,3,3,0,0,12,0,6,0,0,12,4,3,0,0,6,18,26,17,0,65,14,8,6,3,28,310,204,131,12,654
UCL115101,3,0,0,0,8,3,0,0,0,3,4,3,4,0,12,0,0,11,0,11,7,6,19,0,38,3,12,28,0,44,46,9,29,0,87,17,16,32,0,61,37,36,19,0,94,26,37,16,0,85,17,30,5,0,48,17,30,7,0,59,21,36,6,0,66,6,17,0,0,31,7,10,0,0,14,3,11,0,0,12,9,7,0,0,12,25,55,27,7,111,7,0,7,0,17,255,318,226,14,808
UCL115102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,3,0,3,0,0,3,0,3,7,3,3,0,13,3,0,0,0,11,12,8,0,0,23,3,7,3,0,16,7,16,0,3,24,3,11,3,0,22,28,27,4,0,60,15,22,0,0,41,12,37,0,0,51,17,29,0,0,51,36,80,3,0,119,13,40,3,0,53,0,3,0,0,3,169,280,28,3,475
UCL115103,3,3,0,0,10,7,0,0,0,7,0,0,8,0,9,3,0,8,0,12,28,0,15,0,45,21,3,9,0,33,110,9,22,3,145,64,12,17,3,91,78,19,15,0,115,66,28,5,0,102,30,15,5,0,46,23,21,3,0,47,29,33,0,0,60,23,15,3,0,36,11,9,0,0,19,3,4,0,0,5,10,5,0,0,14,32,20,19,0,77,12,0,6,0,23,549,200,139,9,898
UCL115104,3,0,4,0,9,6,4,0,0,5,0,0,7,0,7,0,0,11,0,12,22,3,24,3,49,11,6,28,0,49,58,9,34,0,97,27,8,29,4,72,48,30,12,0,94,52,28,12,3,94,20,25,3,0,52,23,28,5,0,55,36,52,5,0,88,13,27,0,0,41,8,14,0,0,21,5,7,3,0,12,7,8,0,0,14,34,52,9,5,100,11,3,6,0,24,382,304,197,13,899
UCL115105,3,0,8,0,7,5,0,0,0,8,3,0,7,0,11,0,0,9,0,6,14,3,17,0,37,5,5,37,0,46,71,13,33,0,114,26,17,19,3,61,32,18,19,7,77,33,21,18,0,72,18,34,9,0,60,19,22,10,0,52,37,39,3,0,80,13,23,7,0,49,11,12,0,0,23,4,9,0,0,17,5,15,0,0,20,31,53,23,0,105,9,3,11,0,27,336,306,229,19,885
UCL115106,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,4,0,5,8,0,15,0,26,6,3,4,0,10,31,5,20,0,56,18,4,6,3,33,8,9,8,0,28,5,9,7,0,24,15,14,6,0,33,9,9,0,0,22,23,26,3,0,55,22,19,0,0,36,6,13,3,0,20,3,13,0,0,13,8,6,0,0,16,11,40,3,0,62,3,5,3,0,12,193,185,85,10,479
UCL115107,3,0,3,0,7,3,0,3,0,6,4,0,6,0,13,0,0,8,0,8,13,0,5,3,28,3,0,5,0,12,50,0,14,0,69,13,4,14,0,26,27,18,14,0,60,26,26,9,0,66,22,36,8,0,60,16,17,9,0,39,28,35,7,0,73,9,21,0,0,31,4,11,0,0,19,6,11,0,0,12,4,5,0,0,14,7,29,12,0,51,9,6,11,0,19,260,221,127,5,607
UCL115108,3,0,6,0,10,3,0,4,0,6,0,0,8,0,12,0,0,11,0,13,18,3,23,0,39,15,6,43,0,66,65,18,35,0,118,40,20,27,3,89,49,42,34,3,134,48,40,23,5,108,40,40,7,0,83,25,35,7,0,74,50,55,9,0,114,12,41,3,0,57,11,10,0,0,19,3,9,3,0,20,6,13,0,0,22,32,59,36,0,134,4,4,0,0,12,443,394,267,11,1117
UCL115109,3,0,0,0,7,3,0,0,0,3,3,0,8,0,10,0,0,11,0,11,36,8,9,0,53,14,15,29,0,52,144,12,24,0,176,50,24,28,5,104,50,30,27,0,114,38,32,5,0,82,23,19,5,0,55,24,32,3,0,58,38,49,11,0,97,25,33,0,0,58,10,8,0,0,21,7,8,0,0,15,13,13,0,0,21,31,40,17,4,92,22,4,3,0,30,535,326,188,11,1064
UCL115110,7,0,3,0,12,4,0,0,0,3,0,0,3,0,9,0,0,0,0,0,12,0,12,0,24,3,0,10,0,10,67,7,6,0,79,24,14,8,0,44,26,16,7,0,53,14,12,8,0,41,9,12,3,0,23,7,17,0,0,23,9,20,0,0,30,3,5,0,0,11,0,4,0,0,3,0,0,0,0,0,3,0,0,0,4,6,13,11,0,30,7,0,3,0,4,211,115,74,0,408
UCL115111,3,0,0,0,3,0,0,0,0,0,4,0,0,0,4,0,0,3,0,3,11,0,7,4,26,4,4,16,0,21,29,0,13,0,38,20,9,8,0,39,23,14,7,0,41,22,15,11,0,48,10,11,4,0,28,7,9,0,0,16,16,20,5,0,43,9,13,0,0,29,7,3,0,0,12,3,5,0,0,5,7,3,0,0,14,16,13,5,0,36,6,0,3,0,5,207,128,89,3,424
UCL115112,3,0,0,0,4,0,0,0,0,0,0,0,3,0,5,0,0,8,0,10,14,0,8,0,25,13,0,16,0,29,40,8,18,0,60,43,8,19,0,61,30,18,17,0,61,19,15,17,0,59,12,23,16,0,53,20,25,10,0,51,41,77,11,0,138,34,59,4,0,99,14,41,0,0,63,6,39,0,0,46,18,68,0,0,89,17,52,19,0,95,3,9,0,0,13,330,443,160,14,950
UCL115113,4,0,0,0,6,4,0,0,0,8,0,0,0,0,0,0,0,0,0,5,11,0,6,0,10,0,0,3,0,9,18,3,11,0,30,15,6,8,0,27,19,12,3,0,32,5,14,8,0,30,8,27,0,0,43,11,27,3,0,40,37,68,8,0,114,31,73,3,0,100,14,57,3,0,71,13,34,0,0,50,11,58,0,0,77,11,44,3,0,62,0,3,0,0,4,215,425,54,3,704
UCL115114,3,0,0,0,3,3,0,0,0,3,0,0,7,0,9,0,0,3,0,3,14,3,6,0,24,6,3,13,0,19,46,6,12,0,64,24,10,12,3,48,21,15,7,0,44,28,18,6,0,56,3,7,4,0,21,12,4,3,0,18,19,17,0,0,39,7,15,0,0,25,3,11,0,0,18,0,6,0,0,10,10,8,0,0,14,16,36,16,3,66,7,3,7,0,17,214,166,95,10,482
UCL115115,3,0,0,0,8,0,0,3,0,3,0,0,4,3,9,0,0,15,0,18,12,0,12,0,23,11,3,25,0,34,54,3,26,0,80,24,15,26,0,62,25,17,13,0,57,22,28,12,0,68,15,23,11,3,54,17,16,3,0,36,33,30,3,0,71,14,13,0,0,27,6,11,0,0,15,0,4,0,0,8,6,9,0,0,15,24,32,22,0,71,16,6,6,0,25,282,215,177,14,694
UCL115116,6,0,0,0,9,0,0,3,0,4,0,0,3,0,3,0,0,11,0,15,12,3,14,0,31,3,3,23,0,28,48,6,20,3,80,28,11,21,0,60,37,30,32,4,103,41,40,18,5,101,26,40,14,0,79,27,39,16,0,76,49,79,18,3,151,18,61,9,0,91,13,38,3,0,48,9,30,5,0,42,7,33,0,0,45,25,53,17,0,93,6,0,4,0,13,345,471,240,16,1069
UCL115117,5,0,0,0,5,4,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,3,6,0,16,8,0,0,0,4,24,9,6,0,38,11,5,6,0,22,16,8,3,0,26,15,16,3,0,37,14,24,3,0,40,7,9,5,0,22,16,17,4,0,34,8,22,0,0,36,6,11,0,0,20,3,4,0,0,8,3,6,0,0,9,10,26,5,0,38,6,0,0,0,6,154,158,46,0,365
UCL115118,6,0,0,0,10,4,0,0,0,7,5,0,4,0,6,0,0,8,0,8,13,4,10,0,28,17,0,33,0,51,51,10,22,0,83,34,15,32,3,85,45,27,18,0,92,32,49,17,0,104,32,49,7,0,93,25,35,13,0,74,37,61,9,0,114,24,39,0,0,65,10,25,0,0,35,6,11,0,0,14,3,12,0,0,23,26,53,13,0,87,6,0,6,0,16,387,411,201,9,1007
UCL115119,6,0,3,0,12,3,0,5,0,7,4,0,3,0,8,0,0,8,0,6,15,0,16,0,32,5,4,17,0,26,80,8,29,3,117,42,15,29,0,82,45,15,28,0,88,63,50,24,0,136,23,33,10,0,65,25,32,11,0,68,60,100,9,0,169,43,67,3,0,116,18,41,0,0,60,6,22,0,0,28,22,62,0,0,90,35,58,17,3,115,10,11,5,0,29,511,518,202,12,1248
UCL115120,8,0,3,0,9,3,0,0,0,5,0,0,3,0,3,0,0,4,0,4,37,3,9,0,43,14,3,10,0,31,105,3,16,0,124,61,10,9,0,84,43,18,11,3,77,32,26,9,0,74,16,26,3,0,46,21,17,7,0,42,34,29,5,0,73,17,28,0,0,45,7,23,0,0,25,11,14,0,0,24,4,14,3,0,21,30,32,16,0,71,10,0,0,0,14,468,249,111,10,837
UCL115121,5,3,3,0,8,4,0,4,0,7,0,0,7,0,6,0,0,7,0,7,13,0,3,0,20,5,5,12,0,23,38,3,19,0,62,25,13,16,0,53,23,37,15,0,78,25,32,8,0,62,34,41,13,0,87,23,53,6,0,91,47,127,22,0,191,37,109,7,0,152,13,78,0,0,95,7,44,3,0,55,23,84,3,0,111,21,63,10,0,96,15,8,3,0,23,358,695,152,10,1216
UCL115122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,10,0,10,33,0,4,0,35,12,3,0,0,15,22,7,4,0,34,10,8,4,0,20,11,13,0,0,22,3,15,0,0,17,12,34,3,0,43,12,14,0,0,26,7,13,0,0,22,3,3,0,0,8,6,8,0,0,16,10,19,0,0,31,0,0,0,0,0,138,142,33,0,312
UCL115123,0,0,0,0,0,3,0,0,0,3,3,0,3,0,5,3,0,5,0,7,9,4,6,0,21,11,0,10,0,16,29,7,6,0,43,21,11,7,0,37,20,12,3,0,43,19,12,4,0,34,7,14,3,0,22,8,6,3,0,15,11,20,0,0,26,5,9,0,0,18,0,0,0,0,8,0,0,0,0,0,4,0,0,0,4,15,28,7,0,46,3,0,0,0,9,169,123,62,5,354
UCL115124,5,0,3,0,8,0,0,0,0,0,5,0,3,0,5,4,0,4,0,6,5,4,4,0,17,4,0,21,0,23,18,4,23,0,43,15,18,13,0,49,20,14,10,0,47,26,30,11,0,61,12,21,0,0,30,12,13,3,0,34,22,29,4,0,56,8,12,3,0,28,12,8,0,0,19,3,0,0,0,5,9,10,0,0,16,16,34,14,4,70,4,3,3,0,7,195,220,123,5,538
UCL115125,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,3,17,0,0,0,20,5,3,3,0,18,6,10,0,0,18,13,6,3,0,23,7,13,0,0,19,10,15,3,0,18,15,19,3,0,39,10,17,0,0,29,8,20,0,0,34,4,23,4,0,28,15,61,0,0,73,13,40,3,0,56,0,0,0,0,0,132,217,31,5,384
UCL115126,10,0,0,0,18,8,0,0,0,8,3,0,4,0,10,3,0,5,0,12,43,3,15,0,62,23,4,20,0,47,176,9,22,3,206,74,10,11,3,101,60,19,18,3,103,49,22,10,0,83,29,20,4,0,53,15,22,7,0,43,23,27,4,0,57,11,12,0,0,21,7,12,0,0,13,0,8,0,0,8,9,3,0,0,9,34,28,8,0,73,12,6,6,0,25,599,198,135,13,941
UCL115127,3,0,3,0,7,0,0,0,0,0,5,0,3,0,7,3,0,3,0,6,18,3,20,0,43,9,6,24,0,44,65,7,25,0,97,29,22,23,3,83,38,39,34,0,108,38,54,26,0,122,25,54,23,0,99,16,52,9,0,81,56,106,17,3,172,24,56,3,0,86,20,46,0,0,66,5,22,0,0,25,7,32,4,0,44,21,64,33,0,118,16,3,9,0,28,392,563,260,10,1231
UCL115128,3,0,3,0,12,4,0,0,0,4,0,4,6,0,14,0,3,9,0,16,21,5,18,0,42,20,8,28,4,54,114,10,26,0,156,67,27,27,7,122,57,31,25,5,119,36,43,14,0,91,34,33,8,3,76,33,36,9,0,76,29,64,4,0,101,14,45,3,0,63,9,18,3,0,30,3,8,0,0,18,5,12,0,0,18,24,42,11,0,82,19,6,0,0,29,500,395,197,18,1120
UCL115129,0,0,3,0,6,3,0,0,0,5,0,0,0,0,3,0,0,0,0,3,10,0,0,0,16,5,0,4,0,7,28,0,6,0,37,24,11,4,0,37,29,8,4,3,44,27,9,10,0,40,8,13,0,0,25,8,14,3,0,22,19,21,0,0,36,14,11,0,0,28,3,11,0,0,16,4,3,0,0,10,11,13,0,0,20,16,21,16,0,51,0,0,0,0,3,219,135,54,9,412
UCL115130,3,0,0,0,3,3,0,0,0,3,0,0,0,0,0,3,0,4,0,5,37,0,3,0,40,22,0,3,0,30,130,3,10,0,145,71,10,7,0,85,85,9,3,0,97,48,12,7,3,62,10,22,0,0,37,25,9,0,0,34,26,22,0,0,56,11,9,0,0,19,4,5,0,0,13,3,0,0,0,7,8,8,0,0,15,32,28,12,0,68,14,0,0,0,19,545,134,60,12,745
UCL115131,3,0,9,0,11,0,0,0,0,3,4,0,6,0,10,3,0,7,0,10,24,0,21,0,45,13,3,21,3,42,106,4,28,3,150,42,12,26,0,90,63,41,24,0,128,57,42,9,3,109,26,39,12,0,79,31,31,0,0,68,46,51,6,0,98,21,32,0,0,56,8,22,0,0,34,0,17,0,0,22,10,12,0,0,21,19,49,18,0,82,16,5,8,0,30,499,372,198,8,1078
UCL115132,3,0,4,0,7,5,0,0,0,4,4,0,3,0,6,0,0,10,0,13,40,7,10,0,53,13,6,19,0,40,91,8,19,0,117,33,11,20,0,65,54,15,16,4,86,36,24,13,3,71,10,17,0,0,26,14,17,6,0,31,19,20,4,0,49,15,4,3,0,17,3,3,0,0,3,3,0,0,0,3,0,6,0,0,5,30,33,12,3,79,16,3,0,0,19,381,176,144,9,709
UCL115133,3,0,0,0,4,0,0,0,0,0,0,0,3,0,3,0,0,3,0,3,7,0,4,0,6,3,0,4,0,10,16,0,9,0,23,7,7,10,0,16,12,12,7,0,36,17,13,3,0,33,15,15,0,0,30,10,23,3,0,40,16,43,9,0,70,9,28,0,0,40,10,22,3,0,33,3,10,0,0,7,3,21,6,0,21,8,45,5,0,61,8,4,3,0,12,142,249,75,3,469
UCL115134,5,0,7,0,6,5,0,3,0,3,0,0,0,0,0,0,0,5,0,5,12,0,4,0,21,9,4,15,0,19,39,5,12,3,64,16,5,8,0,32,24,27,16,0,65,19,26,15,3,58,21,24,10,0,52,21,31,3,0,57,30,79,9,0,121,24,55,7,3,92,6,37,0,0,48,12,11,3,0,21,4,29,0,0,38,22,51,13,0,84,6,3,6,0,14,281,388,136,11,814
