UCL_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
UCL313006,619,2896,2229,697,331,6772,257,7026
UCL313007,272,1476,1302,407,196,3651,161,3811
UCL313008,411,1935,2287,735,349,5718,273,5992
UCL313009,491,2518,2368,787,375,6542,223,6759
UCL313010,441,2093,1781,563,271,5150,206,5355
UCL313011,348,2166,2287,672,312,5782,239,6022
UCL314001,205,1250,1142,322,106,3019,154,3169
UCL314002,226,1173,890,227,117,2630,123,2754
UCL314003,285,1094,1153,400,147,3083,168,3247
UCL314004,161,879,674,219,115,2047,102,2146
UCL314005,79,574,663,236,125,1673,61,1732
UCL314006,107,570,762,296,116,1854,98,1954
UCL314007,214,1220,1130,354,130,3046,179,3227
UCL314008,250,1070,940,324,139,2720,139,2856
UCL314009,103,737,688,247,105,1879,95,1973
UCL314010,195,813,722,258,149,2142,134,2272
UCL314011,101,650,744,249,113,1864,91,1960
UCL314012,91,663,756,268,150,1931,76,2008
UCL314013,36,665,1450,568,296,3018,66,3083
UCL314014,331,1071,791,216,77,2489,129,2620
UCL314015,10,257,644,323,242,1476,38,1516
UCL314016,314,1072,907,279,134,2694,144,2840
UCL314017,58,690,1128,427,159,2456,82,2540
UCL314018,8,293,981,327,136,1745,40,1793
UCL314019,129,799,902,295,151,2273,112,2381
UCL314020,84,1236,1274,414,243,3253,100,3347
UCL314021,60,912,1180,350,166,2673,86,2755
UCL314022,71,918,1462,511,188,3148,86,3237
UCL315001,8,90,302,138,99,639,15,659
UCL315002,10,194,194,52,24,466,23,494
UCL315003,176,44,19,4,0,253,6,255
UCL315004,70,113,70,13,3,277,22,299
UCL315005,68,573,477,138,72,1320,39,1367
UCL315006,59,458,563,201,88,1380,51,1424
UCL315007,67,408,357,104,58,995,40,1034
UCL315008,51,421,382,104,60,1027,47,1071
UCL315009,23,255,197,43,19,538,25,560
UCL315010,20,266,510,178,67,1036,38,1080
UCL315011,6,108,155,56,34,357,19,373
UCL315012,42,233,168,25,13,484,48,529
UCL315013,0,107,253,131,120,605,15,624
UCL315014,3,117,317,162,98,695,21,710
UCL315015,86,419,390,136,44,1064,71,1132
UCL315016,128,98,36,17,3,281,0,281
UCL315017,59,243,144,41,17,502,24,529
UCL315018,27,242,283,91,39,685,25,709
UCL315019,26,210,150,46,25,452,34,486
UCL315020,72,243,249,88,51,709,43,747
UCL315021,24,189,152,34,20,415,25,447
UCL315022,57,247,182,62,28,576,34,610
UCL315023,29,455,409,122,39,1055,45,1105
UCL315024,69,453,373,107,61,1065,42,1106
UCL315025,43,310,210,79,21,666,30,695
UCL315026,6,86,141,64,39,330,6,334
UCL315027,13,135,286,122,72,620,14,638
UCL315028,127,78,29,0,7,245,27,268
UCL315029,24,191,298,101,38,654,29,683
UCL315030,82,624,645,187,60,1593,81,1674
UCL315031,17,224,391,146,66,847,22,872
UCL315032,47,233,227,68,30,607,36,641
UCL315033,22,302,539,189,122,1180,35,1221
UCL315034,3,90,169,95,65,417,10,423
UCL315035,4,100,299,114,84,606,21,624
UCL315036,123,85,38,3,4,252,9,261
UCL315037,55,37,12,8,0,107,42,149
UCL315038,8,132,191,67,32,432,20,450
UCL315039,55,372,425,140,67,1055,44,1105
UCL315040,26,196,136,42,17,417,28,445
UCL315041,144,654,622,174,69,1664,85,1745
UCL315042,11,138,288,131,64,629,19,651
UCL315043,13,224,493,287,197,1214,36,1248
UCL315044,16,349,679,288,161,1495,62,1555
UCL315045,37,267,218,77,33,634,49,678
UCL315046,11,142,250,94,56,552,17,571
UCL315047,17,267,231,87,32,625,21,648
UCL315048,56,302,313,108,44,825,40,863
UCL315049,100,482,366,140,49,1136,123,1259
UCL315050,43,376,499,241,141,1297,48,1353
UCL315051,14,161,287,163,140,767,26,789
UCL315052,78,383,358,114,50,985,49,1034
UCL315053,70,522,407,164,104,1264,49,1310
UCL315054,130,670,327,69,18,1210,43,1254
UCL315055,30,247,214,83,35,599,26,633
UCL315056,52,572,406,92,37,1156,35,1192
UCL315057,13,162,358,132,38,704,17,727
UCL315058,4,106,229,59,23,421,6,433
UCL315059,7,136,352,141,69,698,14,710
UCL315060,10,149,239,61,22,478,14,494
UCL315061,42,176,134,45,21,418,24,442
UCL315062,24,153,205,60,45,488,23,519
UCL315063,33,205,117,34,7,401,26,425
UCL315064,8,262,416,189,119,996,22,1020
UCL315065,24,309,272,79,27,708,32,743
UCL315066,69,240,207,61,26,602,39,641
UCL315067,117,442,274,89,34,956,54,1015
UCL315068,18,180,220,70,28,518,22,536
UCL315069,8,107,142,47,16,315,5,318
UCL315070,46,160,137,49,18,412,33,442
UCL315071,79,349,212,67,16,735,33,766
UCL315072,99,575,400,106,75,1257,73,1334
UCL315073,74,226,115,24,13,458,41,499
UCL315074,58,507,548,206,101,1422,92,1513
UCL315075,262,153,51,13,0,471,7,483
UCL315076,40,476,626,216,93,1454,19,1478
UCL315077,46,326,401,118,65,955,42,1000
UCL315078,14,206,270,88,44,623,20,648
UCL315079,119,695,465,95,42,1412,73,1485
UCL315080,110,511,403,129,47,1205,61,1264
UCL315081,31,176,189,51,17,457,12,471
UCL315082,0,36,138,79,72,322,3,329
UCL315083,8,194,276,73,37,579,23,602
UCL315084,67,315,271,110,44,802,33,832
UCL315085,161,656,320,84,20,1245,56,1301
UCL315086,0,63,326,134,106,625,11,640
UCL315087,97,417,435,119,50,1119,109,1224
UCL315088,50,258,300,120,60,791,42,835
UCL315089,200,841,643,191,83,1949,81,2032
UCL315090,148,245,154,39,25,609,109,720
UCL315091,3,42,155,65,8,268,10,283
UCL315092,72,529,287,63,16,972,51,1024
UCL315093,34,184,134,43,10,404,19,430
UCL315094,16,314,322,92,20,758,27,786
UCL315095,84,334,227,76,23,736,55,789
UCL315096,20,274,510,169,85,1056,40,1096
UCL315097,10,86,129,86,73,373,9,384
UCL315098,19,268,538,199,72,1092,55,1148
UCL315099,3,156,501,224,108,996,14,1011
UCL315100,23,142,143,79,52,439,43,486
UCL315101,0,90,236,101,87,514,9,523
UCL315102,43,314,231,69,26,694,37,723
UCL315103,30,217,162,33,10,447,24,472
UCL315104,38,208,245,98,76,662,31,693
