UCL_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
UCL121037,0,0,0,0,0,0,0,3,0,4,3,5,3,0,0,22,0,0,0,0,0,0,0,0,18,22,13,4,15,0,0,81,0,0,0,0,0,0,0,0,15,30,17,10,22,4,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,5,9,10,9,3,4,0,0,31,0,0,0,0,0,0,0,0,9,12,8,3,6,0,0,37,26,48,28,13,26,4,0,142
UCL121038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,17,8,3,0,3,45,0,0,0,0,0,0,0,0,8,12,17,8,3,0,3,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,0,0,0,0,19,0,0,0,0,0,0,0,0,3,8,3,0,0,0,0,19,13,17,17,7,4,0,3,69
UCL121039,0,0,3,0,0,0,0,4,3,0,0,0,0,0,0,3,3,6,0,0,0,0,0,9,10,37,17,4,5,0,0,78,0,0,0,0,0,0,0,0,17,42,15,7,11,0,0,100,0,0,3,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,3,3,0,0,22,0,0,0,0,0,0,0,0,5,3,5,3,6,0,0,28,26,48,21,11,14,0,0,120
UCL121040,0,7,0,0,0,0,0,12,3,6,3,4,3,0,0,16,0,0,0,0,3,0,0,5,10,13,7,4,8,0,0,46,0,0,0,0,0,0,0,0,14,23,13,11,17,0,0,74,0,3,0,4,0,0,0,11,0,3,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,10,0,0,0,0,0,0,0,0,3,8,3,7,3,0,0,29,15,29,19,19,16,3,0,105
UCL121041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,14,34,27,20,28,5,3,138,0,0,0,0,0,0,0,0,14,38,31,27,31,5,3,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,14,19,41,27,27,36,7,3,154
UCL121042,0,4,3,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,25,25,19,7,13,0,0,89,0,0,0,3,0,0,0,3,27,27,23,10,19,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,6,4,0,0,0,26,0,0,0,0,0,0,0,0,3,12,6,5,0,0,0,26,28,34,28,14,16,0,0,130
UCL121043,0,0,0,0,0,0,0,3,3,5,3,0,0,0,0,11,3,0,0,0,0,0,0,6,5,13,4,3,4,0,4,39,0,0,0,0,0,0,0,0,14,19,12,4,8,3,4,60,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,5,7,6,4,3,0,0,25,0,0,0,0,0,0,0,0,6,7,7,7,4,0,0,35,24,24,22,8,19,6,3,95
UCL121044,3,3,7,3,3,0,0,19,4,12,6,3,3,0,0,32,9,3,3,0,0,0,0,19,24,36,12,11,14,4,3,107,0,0,0,0,0,0,0,0,45,49,31,20,21,4,7,175,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,4,0,0,0,0,16,0,0,0,0,0,0,0,0,4,9,4,3,0,0,0,18,51,61,31,20,25,3,5,195
UCL121045,0,0,3,0,4,0,0,7,0,4,0,0,0,0,0,3,0,5,0,0,0,0,0,9,9,9,7,0,3,4,0,37,0,0,0,0,0,0,0,3,14,19,11,4,9,5,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,3,7,4,0,0,29,0,0,0,0,0,0,0,0,7,12,4,7,8,0,0,30,14,26,12,8,12,5,0,87
UCL121046,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,5,0,0,10,39,23,16,10,6,0,0,84,0,3,0,0,0,0,0,4,39,25,20,10,11,0,0,99,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,4,6,0,3,0,0,0,19,0,0,0,0,0,0,0,0,8,8,0,5,3,0,0,24,47,33,17,13,16,3,0,128
UCL121047,0,0,0,0,0,0,0,3,3,5,0,0,3,0,0,11,0,3,0,0,0,0,0,4,16,20,12,8,18,0,0,79,0,0,0,0,0,0,0,0,19,22,19,14,19,0,0,93,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,3,5,3,8,0,0,16,0,0,0,0,0,0,0,0,0,3,4,3,10,0,0,25,23,30,19,19,31,0,0,118
UCL121048,0,0,3,0,4,0,0,8,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,35,40,16,11,7,0,0,108,0,0,0,0,0,0,0,0,38,36,23,9,18,0,0,128,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,3,0,5,0,0,18,0,0,0,0,0,0,0,0,7,10,3,0,5,0,0,22,47,47,22,14,21,0,0,151
UCL121049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,12,4,3,0,0,24,0,0,0,0,0,0,0,0,4,12,8,4,3,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,4,0,0,17,0,0,0,0,0,0,0,0,0,3,0,9,4,0,0,17,5,10,12,9,5,0,0,47
UCL121050,5,4,0,0,0,0,0,7,4,0,0,0,0,0,0,6,4,4,3,0,0,0,0,6,11,20,18,6,13,4,0,74,0,0,0,0,0,0,0,4,19,26,19,11,17,3,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,11,13,9,4,11,0,0,56,0,0,0,0,0,0,0,0,11,17,14,5,14,0,0,63,38,43,32,21,34,3,0,161
UCL121051,0,9,3,0,0,0,0,15,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,9,47,45,28,11,9,4,0,147,3,0,0,0,0,0,0,4,45,50,33,17,14,4,0,171,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,5,7,0,0,0,44,0,0,0,0,0,0,0,0,15,13,9,7,0,0,0,49,65,72,43,20,17,8,0,216
UCL121052,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,3,0,0,3,0,0,5,13,11,0,0,6,4,0,34,0,0,0,0,0,0,0,0,16,13,0,0,12,7,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,3,3,4,0,0,20,0,0,0,0,0,0,0,0,3,10,3,3,4,0,0,25,22,18,5,5,13,6,0,72
UCL121053,3,0,3,3,0,0,0,12,4,4,5,5,7,0,0,22,0,0,0,3,3,4,0,8,27,30,26,21,19,15,9,141,0,0,0,0,0,0,0,0,29,38,33,25,34,15,9,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,19,0,0,0,0,0,0,0,0,0,4,3,8,0,0,0,20,33,41,31,36,34,16,9,201
UCL121054,3,4,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,22,24,15,7,17,0,0,87,0,0,0,0,0,0,0,0,25,31,14,9,17,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,5,0,3,0,0,32,0,0,0,0,0,0,0,3,7,12,10,0,3,0,0,30,30,40,27,14,21,4,0,132
UCL121055,0,3,0,0,0,0,0,5,0,0,3,5,3,0,0,8,0,4,3,0,3,0,0,15,26,32,38,32,39,17,6,176,0,0,0,0,0,0,0,0,29,33,43,36,49,14,6,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,4,5,0,0,3,0,9,34,38,44,36,51,21,6,221
UCL121056,0,3,0,0,0,0,0,5,0,0,3,3,0,0,0,8,5,6,3,0,0,0,0,12,36,43,19,8,14,0,0,120,0,0,0,0,0,0,0,0,40,56,27,14,11,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,3,3,0,19,0,0,0,0,0,0,0,0,0,6,6,6,3,3,0,19,43,59,27,18,18,3,0,163
UCL121057,0,0,0,0,0,0,0,0,0,4,4,3,0,0,0,12,3,0,0,0,0,0,0,6,44,34,12,8,17,4,0,128,0,0,0,0,0,0,0,0,48,36,18,9,16,4,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,16,11,15,5,13,3,0,64,0,3,0,0,0,0,0,3,16,13,14,6,16,3,0,70,65,55,35,20,30,4,0,213
UCL121058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,32,31,15,20,23,7,0,121,0,0,0,0,0,0,0,0,31,32,15,20,23,12,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,11,3,7,5,0,0,29,0,0,0,0,0,0,0,0,8,12,3,10,3,0,0,31,45,43,21,28,28,12,0,162
UCL121059,0,3,0,0,0,0,0,6,11,11,10,0,0,0,0,35,4,4,4,0,3,0,0,10,44,82,65,38,49,17,0,290,0,0,0,0,0,0,0,9,52,105,75,40,55,18,0,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,4,3,4,8,3,0,27,0,0,0,0,0,0,0,0,7,4,6,7,6,3,0,33,62,108,80,51,60,21,0,382
UCL121060,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,5,0,0,0,0,0,0,5,22,15,8,6,20,0,0,72,0,0,0,0,0,0,0,0,28,23,9,9,18,0,0,86,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,0,0,0,0,0,0,0,0,5,8,6,3,3,0,0,29,0,0,0,0,0,0,0,0,5,14,10,9,4,0,0,34,32,34,22,10,27,3,0,124
UCL121061,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,3,3,0,0,0,4,43,50,40,13,24,8,3,182,0,0,0,0,0,0,0,0,43,50,40,18,25,11,3,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,0,12,0,0,0,0,0,0,0,0,3,4,0,3,3,3,0,18,43,55,43,21,32,11,3,210
UCL121062,0,8,3,3,3,0,0,13,5,3,3,3,3,3,0,24,4,4,0,0,0,0,0,20,32,42,20,16,26,13,3,141,0,0,0,0,0,0,0,0,47,53,26,22,32,17,4,193,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,10,0,0,0,0,0,0,0,3,0,7,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,5,3,0,0,0,22,45,64,27,23,32,20,6,216
UCL121063,3,0,0,0,0,0,0,7,0,3,3,0,0,0,0,9,0,0,0,0,0,0,0,3,17,31,13,6,9,3,0,77,0,0,0,0,0,0,0,0,15,34,20,7,12,3,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,10,3,8,3,0,0,30,0,0,0,0,0,0,0,0,8,10,3,6,3,4,0,36,26,46,25,12,14,5,0,126
UCL121064,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,10,0,0,0,5,3,0,0,6,16,22,13,9,25,3,0,84,0,0,0,0,0,0,0,0,20,23,12,12,24,4,0,104,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,9,8,4,3,5,0,0,25,0,0,0,0,0,0,0,0,7,11,4,5,5,0,0,30,28,30,19,17,29,4,0,134
UCL121065,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,36,34,7,12,9,3,3,98,0,0,0,0,0,0,0,0,36,34,11,12,11,3,3,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,12,3,3,0,0,0,32,0,0,0,0,0,0,0,0,12,14,3,3,4,0,0,40,45,43,15,15,14,3,3,139
UCL121066,0,0,0,0,0,0,0,0,3,4,3,4,3,0,0,16,4,0,0,0,3,0,0,7,54,66,33,24,23,0,0,206,0,3,0,0,0,0,0,3,60,73,38,29,32,0,0,232,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,12,3,3,0,0,38,0,0,0,0,0,0,0,0,4,12,11,3,6,0,0,42,66,81,51,33,38,5,0,279
UCL121067,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,4,0,3,0,0,3,0,0,10,25,34,21,24,31,13,3,148,0,0,0,0,0,0,0,0,28,38,23,30,29,13,3,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,32,38,20,28,34,13,3,171
UCL121068,0,4,6,0,0,0,0,11,7,3,0,0,0,3,0,8,6,0,0,3,3,0,0,16,6,22,7,5,10,7,3,66,0,0,0,0,0,0,0,0,20,34,18,9,10,11,3,96,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,5,0,4,3,0,14,22,32,18,16,17,13,3,119
UCL121069,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,9,33,23,10,11,13,0,0,88,0,0,0,0,0,0,0,0,34,25,18,13,13,0,0,99,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,24,9,0,0,0,0,53,0,0,0,0,0,0,0,0,18,28,8,0,0,0,0,63,46,60,29,13,13,0,0,163
UCL121070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,21,27,12,12,3,0,0,82,0,0,0,0,0,0,0,0,28,33,12,12,3,0,0,86,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,7,4,3,0,0,20,0,0,0,0,0,0,0,0,0,4,8,4,6,0,0,28,26,38,25,18,12,0,0,115
UCL121071,0,0,0,0,0,0,0,3,4,9,0,0,0,0,0,14,0,10,0,0,6,0,0,13,17,6,5,7,7,3,0,43,0,0,0,0,0,0,0,0,23,26,7,7,12,4,0,76,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,6,0,0,0,0,0,0,0,0,4,4,6,0,3,0,0,13,22,23,16,7,13,4,0,91
UCL121072,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,3,3,0,0,0,0,7,16,7,8,9,9,11,7,69,0,0,0,0,0,0,0,0,17,7,9,15,12,13,7,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,5,9,17,12,16,7,84
UCL121073,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,35,19,12,16,3,0,117,0,0,0,0,0,0,0,0,37,42,19,12,16,3,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,25,16,8,14,0,0,82,0,0,0,0,0,0,0,3,20,27,22,8,11,4,0,92,58,70,40,15,26,3,0,216
UCL121074,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,3,0,0,0,0,0,0,3,35,35,20,15,16,4,0,128,0,0,0,0,0,0,0,0,41,41,20,21,16,4,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,4,0,3,0,0,32,0,0,0,0,0,0,0,0,10,7,4,0,3,0,0,36,50,51,28,19,21,6,0,178
UCL121075,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,3,4,0,0,0,0,0,12,47,38,17,15,25,0,0,139,0,0,0,0,0,0,0,3,50,50,20,15,26,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,9,12,10,3,8,0,0,48,0,0,0,0,0,0,0,0,9,13,12,3,8,0,0,50,58,64,32,20,32,3,0,215
UCL121076,0,0,0,0,3,0,0,3,0,3,3,0,3,0,0,5,3,4,0,0,3,0,0,11,33,35,20,17,17,3,0,129,0,0,0,0,0,0,0,0,37,41,25,18,25,4,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,12,7,7,4,3,0,50,0,0,0,0,0,0,0,0,15,12,7,7,4,6,0,49,53,50,30,26,32,6,0,205
UCL121077,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,6,17,26,18,10,23,0,0,98,0,0,0,0,0,0,0,0,21,27,22,14,25,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,3,15,0,0,0,0,0,0,0,0,0,0,3,4,3,4,3,17,21,30,23,21,32,3,0,133
UCL121078,3,9,3,0,0,0,0,13,4,0,0,0,3,0,0,7,5,0,0,0,3,0,0,9,44,50,18,13,14,3,0,141,0,0,0,0,0,0,0,0,52,60,20,13,19,3,0,172,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,3,0,0,0,0,3,5,3,3,5,3,3,0,19,0,0,0,0,0,0,0,0,6,7,4,7,3,3,0,34,64,63,30,19,21,3,0,200
UCL121079,0,3,3,0,0,0,0,5,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,6,24,39,26,10,18,3,0,114,3,0,0,0,0,0,0,4,29,43,30,10,16,3,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,13,35,50,29,14,16,6,0,147
UCL121080,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,5,3,3,3,0,0,0,0,9,19,32,24,17,16,3,0,114,0,0,0,0,0,0,0,0,30,37,27,22,21,3,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,8,5,0,0,30,0,0,0,0,0,0,0,0,0,16,5,5,5,0,0,34,32,48,29,31,33,3,0,175
UCL121081,0,0,0,0,0,0,0,7,7,3,0,3,0,0,0,16,3,10,0,3,3,0,0,16,19,21,6,16,6,9,0,79,0,0,0,0,0,0,0,0,30,35,14,18,11,5,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,9,8,8,6,3,4,3,0,39,0,0,0,0,0,0,0,3,15,14,8,7,10,3,0,49,45,46,27,25,19,13,0,172
UCL121082,0,0,0,0,0,0,0,6,3,3,6,0,3,3,0,19,3,6,4,0,0,0,0,17,31,52,34,29,11,5,0,153,0,0,0,0,0,0,0,0,32,61,40,32,15,3,3,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,5,3,0,0,11,0,0,0,0,0,0,0,0,0,5,0,5,3,0,0,18,32,65,44,35,26,6,3,213
UCL121083,0,9,3,3,3,0,0,19,12,8,4,0,3,0,0,21,12,0,3,0,0,0,0,15,60,52,24,8,16,3,3,159,0,0,0,0,0,0,0,0,76,70,30,14,20,6,3,215,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,8,0,0,0,24,0,0,0,0,0,0,0,0,0,12,3,8,3,0,0,27,85,83,30,22,18,6,3,243
UCL121084,3,3,3,0,3,0,0,12,0,3,0,0,0,0,0,4,0,3,0,0,0,0,0,3,23,26,21,9,16,3,0,94,3,0,0,0,0,0,0,8,26,29,27,12,20,3,0,119,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,16,5,3,12,0,0,35,0,0,0,0,0,0,0,0,13,16,5,3,12,0,0,45,38,48,29,18,26,3,0,160
UCL121085,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,10,0,0,0,0,0,0,0,3,37,17,9,11,10,0,0,84,0,0,0,0,0,0,0,0,39,23,16,16,16,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,8,12,6,3,3,0,0,41,0,0,3,0,0,0,0,3,15,15,11,3,8,0,0,45,52,35,20,17,20,3,0,144
UCL121086,0,0,0,0,3,0,0,5,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,28,24,8,8,11,0,0,83,0,0,0,0,0,0,0,0,36,28,14,12,11,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,9,9,4,6,0,0,38,0,3,0,0,0,0,0,0,11,13,9,6,11,0,0,43,41,39,22,19,21,0,0,143
UCL121087,0,3,0,0,0,0,0,6,0,3,0,0,0,0,0,5,3,4,3,0,4,5,0,18,38,43,19,9,12,5,4,124,0,0,0,0,0,0,0,0,42,52,26,9,18,11,6,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,11,3,3,0,0,35,0,0,0,0,0,0,0,0,6,11,11,3,5,3,0,39,49,57,33,15,19,12,6,192
UCL121088,0,3,0,4,0,0,0,6,0,3,0,0,0,0,0,6,0,4,0,3,0,0,0,7,45,48,25,7,12,0,0,140,0,0,0,0,0,0,0,0,54,51,30,16,12,0,0,161,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,3,6,14,3,3,0,0,0,24,0,0,0,0,0,0,0,0,3,14,3,3,0,0,0,28,60,63,31,20,13,3,0,188
UCL121089,0,0,3,0,3,0,0,5,8,3,3,0,0,0,0,18,0,0,0,0,0,0,0,10,20,35,30,32,28,5,0,145,0,0,0,0,0,0,0,0,27,41,37,34,31,6,0,175,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,5,5,9,3,3,0,0,22,0,0,0,0,0,0,0,0,4,5,9,3,3,0,0,26,35,49,49,36,32,6,0,204
UCL121090,0,3,3,0,0,0,0,4,0,5,3,0,0,0,0,13,3,3,0,0,0,0,0,4,10,19,24,14,19,4,3,88,0,0,0,0,0,0,0,0,18,29,29,9,17,4,3,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,8,5,0,5,4,4,0,0,13,0,0,0,0,0,0,0,0,5,6,5,5,6,0,0,20,15,35,31,18,24,4,3,138
UCL121091,0,5,0,0,0,0,0,9,5,3,0,0,0,0,0,17,0,8,3,0,6,3,0,19,81,71,30,19,20,0,3,226,0,0,0,0,0,0,0,0,82,85,36,21,29,3,3,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,13,5,4,4,0,0,30,0,0,0,0,0,0,0,3,0,11,10,3,4,3,0,40,85,99,47,28,31,7,3,302
UCL121092,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,7,0,0,0,0,0,0,0,0,52,47,31,11,25,4,0,167,0,0,0,0,0,0,0,0,49,57,35,10,24,4,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,16,19,4,3,6,0,0,47,0,0,0,0,0,0,0,0,19,18,9,4,5,0,0,52,71,76,38,15,32,4,0,231
UCL121093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,11,23,10,9,9,0,0,54,3,0,0,0,0,0,0,7,17,27,11,9,5,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,12,12,11,5,10,0,0,53,0,0,0,0,0,0,0,0,12,11,11,5,9,0,0,57,27,37,22,16,19,0,0,123
