UCL_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
UCL615014,3,7,3,0,3,0,0,19,4,3,4,3,3,0,0,23,18,9,0,0,5,0,0,43,115,114,51,35,36,17,4,375,0,0,0,0,0,0,0,0,145,136,60,41,53,18,4,458,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,12,3,0,0,0,0,3,0,9,28,31,18,14,17,8,0,122,5,6,0,0,3,0,0,8,36,47,24,19,19,11,0,159,182,178,86,60,71,27,5,618
UCL615015,3,4,4,3,0,3,0,16,9,10,5,3,3,0,0,28,11,10,5,3,8,0,0,31,113,94,73,48,48,10,6,405,0,0,0,0,0,0,0,3,134,117,87,55,60,12,5,477,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,3,3,0,0,0,0,8,20,38,29,12,28,4,0,130,0,0,0,0,0,0,0,3,21,40,31,17,31,4,0,145,155,160,116,78,89,17,7,619
UCL615016,3,0,0,0,0,4,0,13,0,3,3,3,6,0,0,19,3,6,7,3,0,0,0,25,106,114,77,39,44,13,0,394,0,0,0,0,0,0,0,4,128,123,89,45,47,14,0,456,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,3,0,3,3,0,0,8,10,30,9,11,9,3,0,74,0,0,0,0,0,0,0,0,17,31,10,17,14,3,0,90,137,158,94,61,64,20,7,542
UCL615017,0,5,0,0,0,0,0,13,4,3,0,3,3,0,0,16,3,3,3,0,0,0,0,20,94,105,62,33,41,17,3,350,0,3,0,0,0,0,0,3,101,120,74,33,47,18,5,396,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,11,0,0,0,0,0,0,0,3,24,45,25,7,19,0,0,130,0,3,0,0,0,0,0,3,29,54,35,7,19,0,0,149,133,169,101,43,67,21,7,542
UCL615018,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,18,23,7,3,8,3,0,67,0,0,0,0,0,0,0,6,27,22,14,9,9,3,0,81,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,17,15,15,6,7,0,0,61,0,0,0,0,0,0,0,3,18,18,12,6,13,0,0,68,44,40,25,13,22,4,0,155
UCL615019,3,3,0,3,0,0,0,8,0,3,0,0,0,0,0,3,3,0,0,0,0,0,0,3,59,74,41,23,26,3,0,228,0,0,0,0,0,0,0,0,67,82,41,24,30,3,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,24,28,14,7,12,0,0,90,3,0,0,0,0,0,0,4,26,34,15,12,12,0,0,99,92,113,60,35,37,3,0,342
UCL615020,3,0,0,0,0,0,0,3,6,5,0,0,0,0,0,10,3,0,0,0,3,0,0,8,67,79,49,23,33,13,0,267,0,0,0,0,3,0,0,4,77,83,49,25,39,16,0,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,18,20,16,19,3,0,99,0,0,0,0,0,0,0,0,23,18,20,21,19,3,0,100,96,101,71,49,59,20,0,393
UCL615021,0,0,0,0,0,0,0,3,0,4,3,0,0,0,0,5,0,0,0,0,0,0,0,3,24,37,19,19,14,0,0,110,0,0,0,0,0,0,0,0,26,35,22,18,15,0,0,123,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,6,11,5,4,0,0,33,0,0,0,0,0,0,0,0,6,11,6,8,9,0,0,43,33,50,27,29,25,0,0,167
UCL615022,3,3,3,3,3,0,0,24,5,11,5,0,3,0,0,19,3,4,0,3,5,0,0,18,125,160,76,45,57,9,0,473,0,0,0,0,0,0,0,0,136,178,80,54,66,10,0,526,0,0,0,0,0,0,0,3,0,6,3,6,0,0,0,11,3,0,0,0,0,0,0,4,33,37,28,20,11,0,0,127,3,4,0,0,0,0,0,8,38,48,26,29,13,4,0,160,175,221,111,83,83,14,0,686
UCL615023,7,4,7,3,9,0,0,20,9,8,3,4,0,0,0,25,7,10,9,3,3,4,0,32,62,87,43,32,21,10,4,263,0,0,0,0,0,0,0,0,85,110,61,41,34,10,4,341,0,3,3,3,0,0,0,6,3,3,3,0,3,0,0,12,0,0,0,0,0,0,0,0,5,16,15,8,3,0,0,45,0,0,0,0,0,0,0,0,9,25,16,7,6,0,0,69,93,130,83,45,39,12,3,405
