UCL_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
UCL112013,14,57,981,5649,3974,721,118,212,11728,4,100,1121,869,49,5,3,92,2246,3,51,284,436,72,8,0,24,879,3,149,1407,1313,121,16,3,122,3125,9,387,634,264,7,0,4,80,1391,0,38,391,67,3,0,0,26,524,0,91,593,253,8,0,0,34,973,0,0,0,0,0,0,0,0,0,11,510,1611,586,19,0,4,141,2881,14,63,123,41,3,0,0,20,259,3,11,21,23,7,0,3,7,82,44,794,4133,7607,4119,737,127,504,18070
UCL112014,6,79,904,5251,3151,456,85,286,10220,13,180,851,211,17,0,0,103,1368,0,72,192,55,5,0,0,12,345,12,255,1045,265,20,0,0,119,1715,6,88,172,30,3,0,0,19,319,0,0,19,0,0,0,0,0,24,0,0,13,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,6,86,209,30,3,3,0,19,357,0,15,30,203,41,4,0,14,308,0,10,15,29,9,0,3,7,78,26,448,2194,5785,3224,464,91,446,12685
UCL112015,17,55,1217,7112,5205,922,144,340,15023,3,55,436,92,9,0,0,29,623,0,3,98,63,3,0,0,0,178,3,60,536,160,10,0,0,28,801,21,249,1450,170,11,0,3,83,1993,0,24,39,12,0,0,0,4,81,3,11,13,6,0,0,0,0,35,0,0,3,3,3,0,0,0,7,24,290,1505,190,13,0,3,87,2115,0,9,26,44,49,4,3,11,151,0,0,7,17,6,0,0,0,35,41,414,3296,7529,5285,933,151,474,18116
UCL113001,3,18,410,1994,1041,151,32,102,3747,3,63,674,501,32,4,3,60,1337,0,108,470,449,36,3,0,44,1106,0,173,1149,946,64,5,3,102,2448,3,60,189,60,8,0,0,18,336,0,3,104,42,0,0,0,3,149,0,0,26,28,0,0,0,0,55,0,0,0,0,0,0,0,0,3,3,61,320,131,5,0,0,19,546,8,103,208,38,5,0,0,23,389,0,3,3,10,4,0,0,4,29,17,361,2098,3116,1122,161,35,247,7156
UCL113002,6,32,329,1596,1012,184,34,90,3299,4,11,130,147,4,0,0,17,309,0,36,102,104,13,3,0,7,266,3,42,233,251,17,3,0,22,571,3,65,316,129,14,3,3,27,559,0,0,15,0,0,0,0,3,21,0,0,15,4,0,0,0,0,28,0,0,0,0,0,0,0,0,4,3,62,357,138,17,3,3,25,609,3,21,26,6,0,0,0,8,68,0,0,8,5,3,0,0,3,24,19,165,957,1996,1054,194,42,145,4573
UCL113003,7,139,1295,3787,1119,161,39,204,6760,3,27,73,33,7,0,0,7,152,0,0,5,5,0,0,0,0,16,7,28,74,34,5,0,0,6,164,3,85,67,5,3,0,0,12,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,85,67,5,3,0,0,12,183,0,9,0,0,0,0,0,4,18,0,0,9,7,3,0,0,8,23,19,258,1445,3841,1134,171,41,237,7142
UCL113004,3,6,204,891,572,56,12,37,1778,0,6,92,10,0,0,0,8,121,0,0,0,0,0,0,0,0,4,0,6,96,10,0,0,0,8,126,0,4,139,17,0,0,0,6,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,139,17,0,0,0,6,169,3,6,16,15,6,0,0,4,53,0,0,4,3,0,0,0,0,6,3,23,456,937,578,56,12,52,2125
UCL113005,3,46,559,2786,1503,261,35,148,5335,4,87,564,755,16,3,0,59,1488,0,33,90,81,10,0,0,3,218,4,121,649,837,28,3,0,61,1710,15,136,310,93,3,0,0,41,600,3,20,228,39,0,0,0,18,304,0,23,266,91,7,0,0,14,405,0,0,0,0,0,0,0,0,0,20,174,804,224,10,4,0,73,1304,8,34,72,17,3,3,0,16,154,0,7,40,22,5,0,3,7,73,31,385,2117,3882,1543,269,38,304,8577
UCL113006,3,62,716,2743,1247,233,54,141,5189,10,102,143,95,0,0,0,12,357,0,21,79,96,13,3,0,3,226,9,122,223,189,16,4,0,17,584,0,93,297,82,7,3,0,29,518,0,10,15,0,0,0,0,5,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,314,82,7,3,0,32,543,9,40,21,13,3,0,0,5,88,0,9,3,10,4,3,0,6,28,22,331,1271,3032,1277,237,61,200,6436
UCL113007,9,36,388,2444,1798,192,31,144,5052,0,55,141,150,0,3,0,20,375,0,0,10,3,0,0,0,0,13,0,61,152,153,0,3,0,20,389,6,107,455,157,4,0,0,55,783,0,4,7,5,0,0,0,3,20,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,7,6,110,464,161,4,3,0,53,805,17,16,10,18,7,0,0,8,76,0,6,4,10,7,0,0,0,32,28,229,1018,2791,1822,193,30,232,6348
