UCL_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
UCL315062,0,7,74,252,123,9,3,8,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,0,0,0,0,17,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,0,0,0,0,23,3,7,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,15,87,256,122,9,3,10,519
UCL315063,0,5,89,235,58,9,3,15,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,8,94,238,58,9,3,15,425
UCL315064,3,11,55,428,394,62,14,12,984,0,0,13,18,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,13,18,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,3,3,12,66,447,401,63,14,12,1020
UCL315065,0,9,80,297,243,28,7,24,678,0,0,5,3,0,0,0,0,14,0,0,16,0,0,0,0,0,18,0,0,20,3,0,0,0,0,29,0,0,5,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,7,3,4,0,0,0,0,0,17,4,0,3,4,3,0,0,0,12,10,14,116,304,251,28,7,25,743
UCL315066,0,4,71,274,122,5,3,11,491,0,14,10,3,0,0,0,0,25,0,0,3,0,0,0,0,0,3,0,14,15,3,0,0,0,0,33,0,0,48,6,0,0,3,4,66,0,0,7,0,0,0,0,0,5,0,0,7,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,3,62,7,0,0,3,9,90,3,14,5,7,0,0,0,0,25,0,0,6,0,0,0,0,0,6,5,32,153,295,123,5,6,19,641
UCL315067,8,56,313,384,126,27,8,31,967,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,15,4,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,0,0,0,0,0,24,0,4,5,3,0,0,0,0,19,0,0,0,0,0,0,0,0,0,15,75,331,392,125,27,8,35,1015
UCL315068,0,4,20,358,87,17,0,14,492,0,3,7,0,0,0,0,0,7,0,0,0,3,4,0,0,0,9,0,3,7,5,4,0,0,0,22,0,0,13,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,5,0,10,39,360,94,17,5,13,536
UCL315069,0,3,21,56,186,13,0,3,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,10,3,0,0,0,0,35,0,0,0,0,0,0,0,0,0,4,20,30,56,185,13,0,4,318
UCL315070,0,7,48,203,76,11,0,14,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,18,3,0,0,0,12,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,18,3,0,0,0,12,35,16,17,3,0,0,0,0,8,50,0,0,0,0,0,0,0,3,8,18,32,66,205,77,8,0,37,442
UCL315071,0,10,87,422,142,23,7,19,705,0,0,11,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,11,0,3,36,0,0,0,0,3,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,36,0,0,0,0,3,44,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,13,129,420,145,24,7,27,766
UCL315072,3,21,185,631,246,34,11,50,1188,0,19,18,12,0,0,0,3,49,0,0,3,0,0,0,0,0,3,0,19,17,7,0,0,0,3,53,3,15,27,8,0,0,0,3,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,27,8,0,0,0,3,53,7,14,12,3,0,0,0,4,38,0,0,0,0,0,0,0,0,0,15,72,242,647,250,34,11,60,1334
UCL315073,0,10,79,191,54,13,0,16,360,0,5,0,4,0,0,0,0,11,0,0,5,8,0,0,0,0,14,0,5,6,17,0,0,0,0,23,9,7,24,3,0,0,0,4,54,0,0,3,7,0,0,0,0,10,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,9,10,35,6,0,0,0,4,69,3,3,3,3,0,0,0,0,11,0,0,3,0,0,0,0,23,24,13,33,128,219,56,13,0,39,499
UCL315074,0,8,114,725,422,58,16,47,1393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,66,17,3,0,0,8,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,66,17,3,0,0,8,99,0,5,0,0,0,0,0,5,12,0,0,0,5,3,0,0,0,3,0,22,177,751,426,58,16,58,1513
UCL315075,0,7,81,186,106,14,4,4,397,0,0,11,0,0,0,0,0,13,0,5,12,0,0,0,0,0,21,0,5,19,0,0,0,0,3,34,0,0,27,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,27,0,7,3,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,29,132,189,109,12,4,3,483
UCL315076,0,9,42,526,611,105,7,20,1318,0,0,49,25,0,0,0,3,78,0,3,8,0,0,0,0,0,14,0,3,58,28,0,0,0,3,93,0,0,7,6,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,12,6,24,14,3,0,0,0,6,47,0,0,0,0,0,0,0,3,4,5,31,128,556,611,105,7,24,1478
UCL315077,0,8,79,474,290,39,6,30,927,0,4,17,3,0,0,0,0,28,0,0,3,3,0,0,0,0,8,0,4,21,8,0,0,0,0,33,0,0,29,0,0,0,0,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,3,27,3,6,3,0,5,0,0,0,14,0,0,0,3,0,0,0,0,3,3,19,131,483,299,39,6,36,1000
UCL315078,0,11,78,310,169,23,3,6,605,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,3,4,0,0,0,9,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,5,14,4,0,0,0,0,3,25,0,0,0,0,0,0,0,0,6,7,29,87,312,172,23,3,12,648
UCL315079,0,25,54,298,263,20,7,18,694,3,7,83,65,3,0,0,4,159,3,18,152,52,5,0,0,9,238,7,25,233,117,8,0,0,13,398,0,43,156,39,3,0,0,13,260,0,8,48,4,0,0,0,3,63,0,0,14,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,58,210,40,3,0,0,20,334,14,15,13,8,0,0,0,4,50,0,0,7,0,0,0,0,0,6,21,121,520,463,277,20,7,51,1485
UCL315080,0,6,101,601,249,25,5,38,1030,0,20,33,26,0,0,0,11,88,0,12,12,0,0,0,0,0,21,0,27,41,26,0,0,0,11,106,0,12,81,7,0,0,0,6,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,81,7,0,0,0,6,111,0,0,0,3,0,0,0,0,10,0,3,0,0,0,0,0,0,6,6,59,223,640,249,23,8,51,1264
UCL315081,0,3,30,185,85,8,4,3,320,0,0,16,17,4,0,0,0,39,0,0,10,16,3,0,0,0,30,0,3,32,31,4,0,0,0,72,0,0,19,6,0,0,0,0,28,0,3,15,13,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,36,15,0,0,0,0,62,0,5,8,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,16,99,240,98,8,4,6,471
UCL315082,0,3,6,105,159,39,7,7,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,105,159,39,8,7,329
UCL315083,3,11,72,269,196,23,3,13,589,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,7,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,5,15,74,274,194,23,3,13,602
UCL315084,0,8,91,391,239,25,3,15,767,0,5,35,15,0,0,0,3,57,0,0,0,0,0,0,0,0,0,0,5,35,15,0,0,0,3,57,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,19,131,397,238,25,3,19,832
UCL315085,8,64,463,587,95,17,5,40,1288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,3,11,68,466,594,95,17,5,42,1301
UCL315086,0,3,4,74,376,126,41,7,640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,74,376,126,41,7,640
UCL315087,0,11,140,576,247,35,11,32,1050,0,0,8,9,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,12,9,0,0,0,0,24,0,11,64,20,0,0,0,29,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,64,20,0,0,0,29,122,3,3,0,0,0,0,0,19,27,0,0,0,0,0,0,0,0,3,3,28,214,609,251,37,11,82,1224
UCL315088,3,20,98,367,208,46,4,22,775,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,3,8,6,0,0,0,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,6,0,0,0,3,22,6,0,3,3,0,0,0,7,21,0,0,0,3,3,3,0,0,13,5,31,117,378,219,44,4,36,835
UCL315089,3,17,204,929,472,68,8,42,1738,0,8,78,5,0,0,0,3,91,0,0,0,0,0,0,0,0,0,0,8,78,5,0,0,0,3,91,0,21,112,25,0,0,0,18,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,117,25,0,0,0,18,180,0,0,3,4,3,0,0,0,14,0,0,0,3,0,0,0,0,4,7,49,395,963,480,68,4,62,2032
UCL315090,3,17,145,193,98,29,15,69,563,0,3,5,9,0,0,0,3,23,0,4,11,9,0,0,0,4,36,0,7,19,15,3,0,0,8,62,0,4,29,36,7,0,0,4,82,0,0,12,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,45,36,7,0,0,6,95,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,22,206,249,105,29,14,84,720
UCL315091,0,0,0,170,85,6,4,10,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,166,87,6,4,10,283
UCL315092,3,8,112,435,152,7,3,14,734,3,7,81,13,0,0,0,5,111,0,8,16,14,0,0,0,0,36,4,15,97,29,0,0,0,5,149,0,3,4,8,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,0,0,0,0,17,26,54,16,3,0,0,0,7,112,0,0,4,0,0,0,0,0,3,35,87,230,477,151,7,3,31,1024
UCL315093,0,3,92,194,73,13,0,12,389,0,4,20,4,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,4,20,4,0,0,0,0,33,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,6,116,203,77,13,3,12,430
UCL315094,0,10,64,299,342,26,4,13,764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,11,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,9,68,315,344,26,6,13,786
UCL315095,0,10,94,379,143,27,3,24,678,0,8,15,4,0,0,0,4,23,0,0,0,0,0,0,0,0,0,0,8,15,4,0,0,0,4,23,0,11,49,13,0,0,0,3,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,49,13,0,0,0,3,72,0,7,0,0,0,0,0,3,16,0,0,0,0,0,0,0,0,3,3,26,161,396,139,33,3,34,789
UCL315096,0,6,60,466,437,41,6,15,1035,0,3,11,7,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,3,11,7,0,0,0,0,28,0,3,18,7,0,0,0,8,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,7,0,0,0,8,31,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,5,0,12,96,483,438,41,6,19,1096
UCL315097,0,0,19,156,169,29,3,7,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,19,159,169,29,3,7,384
UCL315098,3,9,35,381,246,28,4,9,722,0,5,65,66,13,0,0,9,158,0,16,142,22,10,0,0,7,194,0,24,214,94,15,0,0,13,354,0,10,27,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,27,0,0,0,0,0,38,4,11,3,3,0,0,0,3,30,0,0,0,0,0,0,0,0,0,11,57,278,473,270,28,4,26,1148
UCL315099,0,0,10,164,684,106,13,12,989,0,0,0,18,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,10,187,684,106,13,12,1011
UCL315100,0,0,12,139,132,33,5,6,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,37,5,0,0,0,5,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,37,5,0,0,0,5,46,9,28,24,12,0,0,0,32,112,0,0,0,0,0,0,0,0,3,9,36,75,153,136,33,5,39,486
UCL315101,0,0,18,188,244,39,9,9,510,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,7,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,3,23,192,245,39,9,9,523
UCL315102,0,10,95,358,130,22,3,23,646,3,22,12,3,0,0,0,3,42,0,0,0,0,0,0,0,0,3,3,22,12,8,0,0,0,3,45,0,0,16,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,19,3,9,0,0,3,0,0,0,15,0,0,0,0,5,0,0,0,3,4,36,132,372,135,27,3,23,723
UCL315103,0,9,64,175,83,12,3,8,347,0,0,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,40,0,3,41,3,0,0,0,4,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,41,3,0,0,0,4,62,3,5,3,0,0,0,0,0,9,0,0,0,0,4,0,0,3,13,3,19,145,178,86,12,3,18,472
UCL315104,3,6,91,325,177,43,9,15,659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,14,7,0,0,0,0,0,3,22,0,0,3,0,0,0,0,0,6,13,14,95,327,178,43,9,16,693
UCL315105,0,4,58,235,91,19,4,3,406,0,0,16,3,0,0,0,0,19,0,0,0,3,0,0,0,0,6,0,0,14,7,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,4,12,70,239,88,19,4,11,439
UCL315106,0,3,12,197,207,19,3,4,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,197,207,19,3,4,445
UCL315107,0,5,42,260,184,26,9,11,529,0,8,23,11,0,0,0,0,39,0,0,3,3,0,0,0,0,7,0,8,30,13,0,0,0,0,50,0,20,28,0,0,0,0,4,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,28,0,0,0,0,4,55,8,21,16,3,0,0,0,9,62,0,0,0,3,0,0,0,0,7,10,61,116,278,186,26,9,19,704
UCL315108,4,6,4,95,184,28,0,3,327,0,0,20,13,11,3,0,0,50,0,0,5,0,0,0,0,0,6,0,0,27,18,11,3,0,0,54,0,5,25,7,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25,7,0,0,0,0,35,16,20,13,3,0,0,0,3,52,0,0,0,0,0,0,0,0,0,21,30,69,120,191,30,3,5,465
UCL315109,0,3,19,281,803,45,10,33,1182,0,0,35,5,0,0,0,0,42,0,0,5,12,41,0,0,0,62,0,0,42,19,41,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,61,301,840,45,10,33,1284
UCL315110,0,12,54,193,91,25,6,7,385,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,5,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,13,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,17,65,198,91,24,6,9,409
UCL321001,0,3,23,119,68,16,6,10,239,0,0,0,3,0,0,0,0,3,0,0,0,4,0,0,0,0,4,0,0,0,4,0,0,0,0,4,0,0,6,12,0,0,0,0,17,0,4,4,13,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,30,0,0,0,0,43,0,0,0,3,0,0,0,0,9,0,7,3,3,0,0,0,0,22,0,13,39,162,71,16,7,11,318
UCL321002,3,3,50,143,29,6,0,10,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,7,50,143,29,6,0,7,243
UCL321003,0,7,57,157,62,14,0,14,309,0,0,7,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,8,0,7,10,3,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,3,0,0,0,0,21,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,4,11,73,165,64,15,3,12,345
UCL321004,0,10,36,112,41,5,0,5,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,13,36,108,41,5,0,5,219
