GCCSA_CODE_2016,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
6RTAS,4281,5280,10190,12012,15112,11303,2132,236,39,60585,3674,1849,3977,3794,4470,8940,14133,8077,3518,52430,441,455,915,961,1191,1434,1401,911,490,8187,8395,7579,15080,16761,20777,21667,17663,9219,4046,121201,1630,5468,12511,13629,17672,12358,1947,211,47,65464,4640,3871,6346,8120,9354,8686,2809,431,52,44321,264,378,1073,833,1085,1301,332,48,5,5318,214,220,356,385,476,387,169,71,12,2294,6741,9945,20280,22976,28587,22736,5260,758,120,117405,644,1020,1052,1014,1165,917,46,3,5,5866,952,502,551,463,528,519,76,20,0,3612,1594,1522,1605,1484,1690,1434,121,20,5,9485,8336,11465,21882,24457,30280,24172,5379,781,128,126885,8199,3278,5638,5715,7526,15571,26951,15084,5600,93551,911,984,1816,1920,2494,2847,2770,1639,763,16152,17443,15724,29338,32094,40297,42594,35104,17500,6490,236592
6GHOB,3443,4916,10641,11092,11784,8651,1541,150,24,52238,2919,1669,3163,2634,2802,5880,9315,5940,3000,37327,320,372,734,681,727,826,746,609,348,5362,6684,6952,14541,14411,15312,15358,11598,6703,3368,94929,846,4122,12748,12885,14536,9676,1272,76,18,56178,3969,4210,6355,7142,6883,6230,2095,288,19,37186,237,330,1030,779,710,777,192,20,3,4077,125,153,335,237,269,197,77,25,19,1448,5175,8821,20471,21039,22407,16873,3635,407,58,98883,358,709,979,654,574,386,15,3,0,3676,973,543,539,346,297,329,70,8,0,3106,1330,1252,1519,998,871,718,85,11,0,6784,6513,10068,21988,22042,23276,17593,3719,422,58,105673,6468,3234,4966,4195,4795,10189,16998,10612,4703,66155,589,741,1528,1349,1530,1655,1469,1058,516,10434,13565,14042,28485,27577,29598,29440,22183,12093,5275,182260
69799,0,3,3,0,3,0,0,0,0,15,0,3,0,0,0,3,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,4,3,0,0,18,0,3,17,5,12,4,0,0,0,40,0,3,3,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,21,3,14,9,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,21,3,11,9,0,0,0,50,0,3,3,0,0,4,4,0,0,12,0,0,4,3,0,0,0,0,0,4,0,8,23,5,15,12,7,0,0,73
69499,11,15,37,31,28,19,0,0,0,136,19,12,18,23,25,37,33,5,0,168,3,7,12,3,17,4,6,0,0,48,33,29,69,54,59,56,38,5,0,350,4,10,58,21,28,13,0,0,0,139,10,8,20,21,17,11,0,0,0,91,0,0,3,3,0,3,0,0,0,14,0,3,3,0,0,0,0,0,0,10,12,22,86,47,46,23,0,0,0,247,9,16,14,10,10,4,0,0,0,69,4,3,5,3,0,8,0,0,0,32,12,21,22,18,11,13,0,0,0,95,25,41,112,65,63,33,3,0,0,345,29,27,30,50,45,63,66,10,3,329,5,20,44,29,38,13,10,7,0,164,62,90,183,147,135,113,84,12,3,835
5RWAU,6914,8429,22014,24146,26278,19033,4121,529,71,111532,6065,2814,8874,7065,6494,10927,16041,9342,3776,71392,1106,1197,3311,2873,3099,2865,2108,1428,752,18727,14085,12444,34190,34084,35869,32821,22272,11297,4595,201648,3769,11341,32940,33596,36743,24830,4807,584,78,148695,7310,4412,11059,14299,14264,12651,4932,836,103,69864,387,676,2779,2182,2525,2619,746,115,16,12047,386,461,893,893,1021,715,294,132,27,4819,11858,16897,47675,50979,54551,40812,10779,1666,221,235431,1051,1551,2245,2097,2156,1547,119,6,0,10780,1146,526,966,899,713,796,191,20,0,5256,2202,2075,3214,2996,2874,2340,306,23,0,16033,14062,18970,50886,53971,57420,43153,11082,1691,221,251465,13252,4817,12175,10259,10358,18361,31137,17638,6301,124292,2396,2595,7992,7165,7429,6535,4437,2665,1228,42445,29712,26382,71057,71401,75202,68053,46655,21993,7752,418207
5GPER,30841,48672,111075,99614,99840,65230,13198,1093,142,469701,25354,12437,32454,30224,24122,38558,60049,39303,17885,280385,2541,3973,9961,7290,6670,6027,5137,4504,3951,50057,58729,65083,153484,137133,130632,109824,78385,44899,21972,800146,8226,43748,153072,133889,132724,80027,12607,740,114,565148,35453,40067,55677,57841,54105,43765,16980,2194,190,306272,1449,2618,9612,6760,5782,5598,1641,184,19,33645,1085,2065,3896,3002,2698,1653,535,154,40,15130,46211,88498,222260,201490,195311,131038,31760,3270,364,920196,3672,6973,11782,9613,9424,6331,500,48,11,48359,9818,5641,5801,4776,3385,2826,782,88,5,33126,13497,12619,17584,14392,12810,9151,1281,139,17,81482,59703,101116,239840,215877,208120,140192,33036,3411,382,1001684,55115,24115,45242,40457,35718,60195,109307,70689,28453,469289,5305,8207,21603,16270,14862,12572,10020,7909,5816,102559,120129,133434,306680,272610,258693,212965,152368,82007,34652,1573536
59799,0,3,6,3,6,0,0,0,0,17,0,0,0,0,0,3,0,0,0,6,0,0,3,0,3,0,0,0,0,8,0,3,6,3,8,7,0,0,0,26,0,15,92,89,69,31,4,0,0,301,0,7,7,6,4,0,0,0,0,23,0,0,0,3,3,3,0,0,0,16,0,0,0,3,0,0,0,0,0,4,0,19,100,98,82,35,4,0,0,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,100,101,82,35,4,0,0,341,0,3,0,7,4,5,3,0,0,20,0,3,24,21,17,8,0,0,0,76,0,20,127,127,105,43,8,3,3,434
59499,27,118,257,117,119,138,9,0,0,792,21,63,130,91,113,232,203,33,5,882,16,62,145,95,95,71,48,6,3,547,65,242,534,305,325,442,254,37,11,2220,10,123,410,223,192,169,18,0,0,1143,19,59,128,71,72,73,20,0,0,431,0,3,37,30,37,23,4,0,0,140,3,10,24,9,12,8,0,0,0,60,26,202,598,332,308,266,40,0,0,1773,19,44,103,61,69,50,0,0,0,352,8,15,15,16,15,19,3,0,0,88,26,56,119,80,84,74,7,0,0,444,57,256,714,407,393,339,48,3,0,2215,56,125,232,199,233,437,471,73,14,1845,43,121,358,300,339,198,117,17,3,1490,151,503,1306,910,957,977,633,98,23,5559
4RSAU,5068,6195,13303,15360,19278,15278,3484,491,94,78550,4583,1846,4912,4340,5091,10489,18474,11094,5349,66177,545,588,1178,1160,1578,1781,1668,1171,894,10558,10195,8629,19391,20866,25939,27537,23633,12753,6336,155286,2023,7136,17199,18641,23787,18141,3611,497,99,91144,5950,4280,8169,10062,12029,11428,4255,727,95,57000,303,482,1424,1115,1313,1702,573,97,20,7038,286,290,522,489,610,497,245,140,43,3131,8564,12189,27321,30310,37742,31778,8684,1467,263,158308,696,1168,1461,1272,1470,1158,49,12,3,7281,915,434,600,548,593,633,108,17,4,3847,1611,1602,2056,1817,2066,1791,153,27,9,11133,10172,13795,29373,32124,39807,33569,8839,1495,274,169447,9810,3196,7340,7118,9143,18527,35448,20974,8645,120195,1141,1194,2535,2545,3392,3696,3480,2231,1377,21588,21132,18193,39251,41789,52332,55791,47762,24701,10292,311230
4GADE,19767,31210,66239,63474,67872,47369,9170,762,125,305996,17694,10892,19815,17389,17173,31032,51199,34413,19390,218993,1433,1930,4183,3406,3594,3650,3438,2867,2278,26782,38894,44039,90237,84275,88637,82047,63808,38044,21797,551769,3885,24471,83754,80157,85962,56323,8355,557,91,343558,22983,28255,37432,39776,39281,32394,11533,1376,145,213169,987,1727,6085,4130,3590,3707,1070,131,23,21442,640,1169,2164,1661,1600,1047,409,144,55,8891,28487,55620,129432,125726,130434,93473,21363,2206,308,587060,2059,4671,7111,5482,5063,3335,167,26,12,27928,6590,4113,3345,2630,2220,1851,320,49,4,21122,8651,8781,10453,8109,7283,5184,491,71,17,49051,37140,64407,139887,133836,137711,98658,21857,2277,328,636107,39384,21150,29768,25996,28611,51696,92504,61249,30392,380752,2862,3982,8650,7420,7754,7373,6453,4975,3450,52911,79385,89535,178301,167253,174077,157723,120817,68502,34170,1069769
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
49499,25,53,103,54,66,51,3,0,0,367,33,32,69,51,77,91,77,12,7,454,10,19,36,36,46,22,14,7,0,191,80,99,209,140,192,164,97,21,7,1016,4,42,139,70,73,57,9,3,0,404,18,35,68,39,44,30,12,0,0,250,0,5,13,7,13,8,3,0,0,53,0,7,13,6,3,5,0,0,0,32,23,88,242,125,131,102,24,3,0,734,16,43,65,47,45,32,3,0,0,238,17,7,14,17,4,3,0,0,0,68,34,49,71,64,46,33,5,0,0,301,59,138,316,186,179,137,28,3,0,1038,87,72,148,119,149,187,204,44,23,1040,25,51,97,112,149,82,42,13,0,571,173,266,556,421,474,403,271,59,22,2648
3RQLD,41659,51402,108085,116761,126044,85825,17964,1961,279,549977,26555,14595,33962,31020,31706,58378,93462,54538,23806,368032,4607,5794,11613,10602,11646,11104,9703,6802,4975,76846,72830,71787,153661,158382,169397,155306,121125,63300,29061,994854,15281,55299,141605,148645,161764,105310,19401,2147,258,649705,46423,34496,56949,66352,67052,56321,20711,2839,298,351455,2142,2724,9574,6896,6989,7267,2045,277,60,37980,1811,2224,4001,3983,3823,2768,1148,491,129,20383,65656,94742,212136,225875,239632,171672,43304,5754,744,1059525,6212,8779,11282,9768,10678,8266,550,70,15,55616,9757,4473,5290,4710,4051,4084,932,107,12,33413,15964,13250,16571,14474,14732,12351,1479,177,35,89036,81621,107992,228708,240356,254357,184024,44785,5934,775,1148556,58091,24770,47195,45087,51241,98177,177800,103377,38695,644430,9577,12209,25257,23245,25356,23487,19859,12615,7665,159270,149284,144979,301158,308690,330959,305688,242444,121922,47131,1952257
3GBRI,40371,61788,128808,122401,116736,71491,13446,1031,145,556220,28470,18411,34817,31557,28655,47819,72913,42171,20093,324913,3213,5011,10540,8108,7679,6738,5709,4445,4438,55886,72056,85209,174171,162065,153071,126053,92065,47651,24673,937019,11328,57448,175026,168357,160872,93496,14189,882,104,681706,45444,48597,62958,63761,57118,43567,15808,1885,167,339295,1813,2924,10315,7065,5571,5541,1433,126,27,34817,1495,2466,4424,3619,3125,1890,622,224,89,17962,60083,111449,252724,242798,226688,144487,32052,3110,389,1073778,5233,8936,11973,8771,8247,5549,378,46,19,49160,12167,6827,6103,4460,3348,2830,688,57,5,36480,17407,15762,18080,13234,11597,8382,1064,104,23,85640,77488,127209,270806,256030,238281,152865,33117,3215,413,1159423,62528,33376,51098,44807,44451,78235,133850,76493,31576,556409,6562,10156,21330,17098,16327,13687,11244,7790,6371,110566,146581,170741,343233,317932,299059,244790,178208,87505,38357,1826402
39799,4,0,6,4,4,9,0,0,0,35,0,3,0,0,3,6,11,6,0,32,0,0,0,0,0,4,4,0,0,9,5,4,6,3,7,19,16,7,0,81,0,3,3,8,8,9,0,0,0,32,3,0,5,0,3,5,0,0,0,16,0,0,3,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,8,3,9,8,11,19,3,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,3,9,14,13,17,3,0,0,68,0,3,0,0,7,7,23,12,3,57,0,3,0,0,0,4,7,0,0,22,11,11,11,14,24,30,33,16,4,144
