GCCSA_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
6RTAS,907,1007,1077,788,182,31,4730,48,411,560,742,795,454,101,22,3146,971,4158,4355,3981,4077,2547,789,231,21116,533,1930,2911,3801,3845,2704,1068,255,17053,4351,8194,7812,8726,8018,4767,1993,481,44347,1149,926,660,588,424,221,63,21,4053,420,599,821,1002,1069,764,339,92,5103,5920,9723,9285,10310,9518,5750,2396,599,53503,67,160,177,218,265,305,208,69,1473,3213,2401,2586,3587,4234,4754,3324,1474,25566,10800,19474,20787,23651,23809,17295,8072,2687,126584
6GHOB,2011,1785,1470,903,276,87,8647,87,755,912,1079,916,484,118,27,4376,1573,6119,5704,4429,4194,2501,869,347,25733,535,1959,2640,3078,2859,2060,936,315,14376,3029,6408,5388,5592,4910,2695,1349,414,29781,723,650,404,320,280,156,42,21,2599,264,449,550,634,743,495,253,124,3511,4012,7506,6343,6538,5932,3345,1651,561,35889,78,163,153,206,236,287,193,70,1379,2114,2101,1949,2211,2502,2491,1996,1041,16413,8504,20624,19713,19325,18103,12072,6043,2445,106815
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,3,0,0,0,4,0,0,10,4,11,3,3,7,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,3,0,7,0,0,0,22,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,9,6,19,6,5,5,7,0,0,44
69499,5,7,5,3,0,0,31,0,4,3,0,0,0,0,0,6,3,31,16,5,15,8,0,0,77,0,11,13,12,9,7,0,0,59,21,22,17,17,22,9,3,0,120,5,3,3,0,0,0,0,0,16,0,4,0,4,4,3,0,0,13,29,33,23,25,25,13,3,0,152,0,0,0,0,3,0,0,0,4,33,46,36,35,18,15,3,0,190,67,127,93,80,78,50,10,0,517
5RWAU,1563,1267,1083,657,158,28,6061,122,1048,1406,1265,1177,470,99,8,5607,1511,9439,9486,6939,5411,2968,1029,227,37007,1209,5073,6230,6747,6211,3541,1223,294,30524,8363,19177,17498,16913,13134,6727,2349,539,84691,2223,1595,1179,939,704,315,87,13,7059,702,1237,1733,1745,1736,1122,376,104,8757,11290,22002,20407,19593,15575,8174,2811,651,100507,156,394,423,443,478,451,243,71,2667,7565,10134,9318,9688,8864,6989,4481,2084,59118,21898,49371,48832,45940,38800,23237,10054,3361,241489
5GPER,20155,14247,9347,4927,1480,327,70476,796,7031,8216,7831,5859,2436,628,139,32920,20777,78365,62782,43247,28855,15972,5842,1614,257460,10179,30073,30818,30018,23721,14442,5840,1663,146738,28665,58517,48483,48498,37072,22135,10305,2717,256410,5780,3907,2962,2446,1806,1002,303,112,18307,2287,4522,5887,6369,5562,4122,1817,615,31179,36732,66943,57332,57318,44441,27253,12429,3448,305893,987,2545,2396,2368,2197,2008,1038,417,13955,19058,26962,21647,20274,18274,16739,14290,9511,146755,89482,230955,203347,175294,132687,83771,41545,17115,974194
59799,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,10,8,5,0,0,3,0,31,0,13,20,17,9,0,0,0,55,0,41,39,32,11,0,0,0,134,0,3,3,0,0,0,0,0,5,0,4,3,3,0,0,0,0,13,6,49,46,34,10,0,0,0,145,0,0,0,0,0,0,0,0,0,7,29,20,24,9,0,0,0,87,11,106,100,83,31,4,3,0,338
59499,24,17,15,12,0,0,117,0,15,5,6,16,6,3,0,48,58,227,89,47,63,35,10,0,522,20,73,35,51,77,42,3,0,308,78,227,166,169,202,103,17,3,969,20,16,13,9,12,5,0,0,65,7,29,11,15,29,19,0,0,114,108,273,191,197,236,123,14,3,1147,10,9,5,3,5,7,4,0,43,177,385,315,357,222,142,26,5,1633,374,1033,673,680,633,368,58,13,3820
4RSAU,717,642,696,513,130,20,3392,61,434,587,774,994,511,116,13,3484,1090,5085,4909,3678,3793,2582,828,218,22186,661,2545,3554,4728,5006,3388,1005,294,21190,5570,11143,10532,11675,10508,6776,2789,743,59736,1170,1268,1026,766,616,350,83,27,5316,512,852,1201,1327,1317,1007,349,101,6656,7247,13260,12759,13768,12438,8139,3217,872,71708,106,230,268,301,385,390,209,104,1985,4289,3933,4056,5145,5600,5843,4264,2485,35610,13505,26117,26842,29030,28921,21363,9766,4009,159554
4GADE,12654,8878,6808,4015,1297,301,47543,405,3607,4879,4840,4725,2488,569,118,21617,12241,44628,37311,25331,20312,12392,4192,1569,157982,4659,16145,18538,20501,17562,10954,3935,1469,93765,17910,35723,30588,32903,26400,16770,8388,2812,171499,3705,3472,2550,2002,1481,782,227,70,14287,1533,2646,3565,3971,3868,3055,1319,551,20520,23151,41833,36700,38884,31758,20607,9943,3430,206310,605,1356,1346,1430,1397,1435,842,409,8823,10438,11223,10112,11027,11086,11123,9553,6680,81233,52158,131717,121543,110892,93644,63012,30330,13966,617270
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
49499,14,7,15,4,0,0,59,0,8,3,6,7,0,0,0,24,31,92,38,20,19,16,0,0,219,14,27,22,40,16,23,3,0,145,34,97,50,70,79,57,11,5,402,11,6,4,4,0,0,0,0,25,3,9,3,12,15,3,0,0,47,50,115,57,88,91,66,11,5,482,6,9,0,3,3,5,0,0,27,84,122,129,152,93,54,15,6,651,185,393,264,317,247,159,30,10,1595
3RQLD,10936,9800,7887,4548,1295,206,44113,725,4681,6113,6710,5883,2804,741,105,27763,13499,51027,48290,36275,28169,17008,5946,1520,201725,9466,26828,34016,36698,29754,17807,6411,1703,162678,41612,77631,74415,74493,62057,38018,15106,3699,387034,8458,5226,4071,3484,2767,1501,394,76,25981,3468,5287,6755,7547,7218,5509,2237,593,38621,53536,88153,85245,85525,72043,45025,17731,4370,451634,875,1712,1952,2263,2421,2496,1436,467,13634,30689,31196,29981,33212,32616,30845,22087,12204,222837,109408,212410,216546,210481,178773,120546,55642,20575,1124382
3GBRI,25207,18722,12401,6260,1693,401,89862,1029,7933,9818,9262,6806,3065,815,140,38864,25757,85800,72381,48799,31749,17662,5812,1594,289552,15096,33652,36236,35378,25522,14488,5303,1480,167153,37957,65962,57888,55251,42929,25735,10729,3022,299466,7266,4308,3253,2657,1952,1138,262,85,20924,3369,5064,6151,6195,5814,4093,1561,586,32842,48590,75335,67299,64103,50696,30967,12550,3692,353230,1166,2318,2201,2260,2119,1939,1069,416,13487,23386,27188,22740,22061,19674,18219,14087,9758,157121,116290,256134,235871,200591,148977,92602,41329,17476,1109268
39799,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,5,0,3,0,0,3,3,0,0,12,4,3,3,6,0,0,4,0,18,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,8,6,3,0,4,0,26,0,0,0,0,0,0,0,0,3,4,0,0,0,4,9,0,3,23,10,11,12,8,15,15,6,3,71
39499,41,38,38,25,3,0,266,7,23,12,19,36,19,0,0,118,200,451,125,104,130,115,21,3,1147,88,128,95,109,218,128,18,0,779,151,340,256,316,418,356,61,8,1898,27,17,16,13,24,16,0,0,113,19,42,19,24,60,37,4,0,202,197,398,300,349,497,411,64,9,2221,16,24,9,18,19,20,7,0,113,331,585,474,448,481,334,102,17,2765,839,1709,1058,1085,1426,1050,215,24,7409
2RVIC,5900,5326,5090,3191,799,141,25751,383,3817,5287,5579,5760,3002,640,101,24568,6763,27955,27667,20287,19779,12226,4056,1142,119877,5013,15418,18300,20346,19842,13926,5143,1608,99599,22860,43391,39451,43849,37811,23271,9622,2796,223051,3178,2898,2529,2333,2119,1119,228,82,14474,1636,2811,3431,3885,4206,3274,1180,450,20885,27672,49093,45415,50066,44139,27667,11030,3329,258412,394,865,898,1042,1292,1459,853,364,7157,16784,14335,14839,18467,21429,22941,17548,9778,136118,57525,116274,118303,121121,117330,84407,40072,16459,671490
2GMEL,65707,40134,26155,13677,3880,921,234048,2061,20120,23590,21359,17292,7821,1919,404,94567,62251,217305,165113,106081,70869,37646,13832,4495,677594,29247,81387,75316,66468,48300,29747,12270,4275,347014,48995,102704,90079,93924,68044,39934,20077,6545,470297,6189,5987,5721,5172,3690,2009,556,165,29489,4661,8924,10775,12249,10563,7449,3221,1458,59301,59844,117611,106564,111343,82295,49392,23861,8171,559093,2381,5813,5223,4708,4379,3924,2175,1000,29604,43151,55585,43913,41420,38368,36971,29729,18906,308049,204172,576154,485427,391515,287668,179183,87676,38164,2249964
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,6,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,3,5,10,0,0,0,25
29499,63,20,20,14,0,0,238,0,36,18,19,14,3,0,0,91,121,360,126,75,68,33,4,3,792,61,119,74,59,51,22,9,0,404,107,219,155,124,108,52,11,0,777,18,14,12,5,3,3,0,0,60,7,24,18,14,16,9,5,0,101,138,255,188,152,125,61,12,0,932,3,8,10,0,3,8,0,0,42,309,513,497,343,235,114,29,13,2076,650,1413,971,670,526,263,61,19,4580
1RNSW,12699,11874,11331,7115,2038,431,56011,495,4607,6399,6994,8894,4446,1061,206,33097,11503,50360,50591,39078,37580,23198,8214,2306,222826,8024,25823,33174,37883,36528,23298,9095,2638,176459,40435,78841,75087,82407,73450,47124,21139,6136,424613,6697,5692,5159,5346,4766,2731,719,182,31288,3484,5111,6987,10212,11842,9687,3972,1266,52561,50613,89644,87234,97960,90055,59548,25828,7580,508464,890,1668,1808,2410,3451,3602,1828,735,16392,30083,26366,26475,32656,37403,39791,32313,19146,244234,102064,208548,218373,228847,225242,160991,80369,33044,1257485
1GSYD,82541,52196,34406,17666,5155,1228,288103,1526,14093,17387,15018,13316,6655,1746,382,70126,65215,234896,180578,121434,84138,44803,16524,5182,752774,27276,79064,81689,75101,54062,31234,12911,4655,365989,45690,97709,92818,92706,70322,44331,21851,7542,472968,5984,6494,7002,6754,5231,2866,853,313,35504,5199,9694,13649,17200,16639,12552,5084,2193,82214,56870,113892,113473,116659,92193,59749,27790,10047,590682,2821,7114,7068,7361,7337,5869,3015,1314,41899,46032,63299,49767,45186,41339,37699,29991,21776,335080,205082,601925,532508,432951,326789,203675,97132,44595,2444653
19799,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,4,0,6,5,3,7,3,0,3,35,0,8,0,3,6,13,3,0,31,4,4,9,11,8,20,3,3,61,0,0,0,0,0,3,0,0,3,3,0,0,3,4,0,0,0,8,5,4,7,11,11,23,3,3,74,0,0,0,0,0,0,0,0,3,7,7,6,6,13,21,14,0,69,8,30,15,24,43,60,25,3,212
19499,85,39,31,20,12,0,365,3,31,23,23,26,11,0,0,120,199,494,197,146,110,88,16,4,1247,75,146,99,99,128,100,14,3,663,154,314,226,252,265,169,18,3,1416,42,23,22,12,15,11,0,0,126,33,33,29,26,49,23,4,0,195,232,363,277,290,333,205,23,7,1738,11,21,14,13,10,15,5,0,83,448,798,701,670,495,283,90,29,3513,989,2023,1392,1284,1142,722,150,41,7741
