GCCSA_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
4RSAU,185,842,500,669,1104,1021,530,813,63,5729,293,615,367,438,675,671,292,654,1301,5303,7038,20059,16308,20625,26137,23050,14267,27685,3131,158308
4GADE,659,3112,2403,2996,5193,3885,2237,2643,223,23353,686,2201,1428,1769,3429,2706,1108,1977,3830,19133,21442,75146,60906,77111,127270,92301,54165,69825,8891,587060
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
49499,0,10,0,4,0,3,0,0,0,23,3,3,6,4,10,3,0,7,14,46,53,82,68,103,139,100,63,98,32,734
3RQLD,1123,5567,4070,5179,8048,7385,4014,6688,486,42551,1697,4600,3174,4017,6326,6787,2742,6641,9078,45065,37980,119083,98634,133731,191122,167324,98291,192969,20383,1059525
3GBRI,981,4981,4068,4872,8548,7375,4033,5549,415,40813,1296,4262,3354,3629,8181,8270,2919,5986,8285,46178,34817,115627,102096,121569,218629,199270,102742,161065,17962,1073778
39799,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,9,9,6,7,9,10,4,12,0,60
39499,5,17,16,10,11,21,7,7,5,99,14,19,12,26,25,38,7,32,86,257,195,274,297,410,473,463,235,575,158,3087
2RVIC,702,3180,2171,2563,4299,4227,1994,3024,277,22437,1267,2705,1784,1926,3414,3847,1414,2947,5591,24896,27008,81789,66524,76739,104175,103356,54663,91518,12812,618583
2GMEL,1792,9919,8271,8468,15755,14203,6956,9502,857,75730,2944,10118,8379,8066,18496,19201,6273,10985,19823,104281,64518,247403,219460,228318,406480,429655,196776,282723,40164,2115493
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,17,0,23
29499,4,13,10,4,18,20,4,16,0,89,16,11,18,11,19,11,6,10,39,148,111,212,205,226,348,385,170,296,84,2033
1RNSW,1203,5479,4237,4628,8510,8069,4212,6652,476,43467,1748,4503,3131,3415,6142,6482,2467,4901,9677,42468,42391,134568,116929,135978,204953,184155,96429,166740,22017,1104163
1GSYD,1788,9897,8821,8315,15821,16198,7748,11294,1018,80900,2943,10307,10125,8396,19482,22625,7014,12756,22727,116381,65069,229765,235495,217349,439866,492425,210801,337122,44829,2272718
19799,4,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,6,13,43,4,9,10,22,12,4,7,4,130
19499,3,7,12,16,24,19,11,15,0,109,8,26,16,12,28,33,9,21,85,248,148,298,377,371,584,638,279,475,158,3331
