GCCSA_CODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
59799,143,9,147,4,0,4,5,0,12,0,0,3,13,0,11,4,3,5,99,6,100,3,0,3,0,0,0,0,0,0,0,0,0,129,12,140,56,3,63,0,0,0,187,18,206,73,8,80,408,26,434
59499,493,234,725,99,64,166,138,128,265,99,102,201,209,192,399,50,55,102,915,594,1516,25,20,48,31,24,60,10,10,15,3,0,3,1484,1123,2609,309,278,593,45,32,77,1945,1495,3440,1023,611,1631,3452,2339,5795
4RSAU,107249,104582,211829,20467,21778,42248,1245,1208,2455,1832,1808,3640,1443,1370,2811,25489,26901,52396,1010,978,1992,233,245,481,855,912,1768,70,75,150,7,3,11,32183,33514,65693,2687,2754,5439,913,799,1709,56246,58839,115090,16243,14075,30316,179738,177494,357237
4GADE,341319,356926,698246,28121,30254,58370,5125,5076,10206,4692,4888,9580,3776,3892,7671,133567,143574,277137,1889,1812,3700,550,631,1179,1879,1923,3809,705,673,1377,21,12,31,152207,162474,314682,33848,35834,69678,3539,3284,6821,217712,231847,449563,35622,36142,71759,594652,624913,1219568
49799,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,3,0,0,0,6,0,3
49499,251,122,372,66,31,100,38,28,70,39,38,74,61,68,130,534,373,907,30,26,58,3,11,13,13,16,32,3,3,6,0,0,0,721,568,1288,151,111,263,23,10,30,958,720,1680,480,243,722,1688,1083,2774
3RQLD,540888,544261,1085150,85037,89331,174369,30179,31891,62073,13510,14334,27847,276689,298469,575159,4255,4401,8658,6247,6292,12542,2633,2969,5605,4573,4564,9139,1891,2026,3918,34,38,72,340024,364994,705011,40625,45787,86415,9915,9322,19238,475601,509432,985031,104932,96387,201316,1121422,1150079,2271501
3GBRI,506042,525194,1031241,53705,57716,111418,21096,21696,42791,9286,9428,18711,289095,302537,591633,3380,3294,6674,3905,3911,7811,1533,1701,3236,2486,2298,4781,2162,2175,4333,40,30,76,332981,347066,680055,67006,73263,140274,9666,8752,18415,463357,486799,950163,72203,69303,141501,1041602,1081302,2122904
39799,33,49,84,0,0,0,4,0,3,0,0,0,12,12,22,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16,31,9,5,14,0,0,0,25,21,45,4,17,24,66,81,150
39499,1044,637,1684,262,153,423,425,419,841,254,247,499,1987,1703,3689,85,88,165,146,127,276,57,58,117,42,40,82,24,23,48,0,0,0,3015,2704,5724,628,764,1394,103,52,159,4011,3681,7693,1703,1097,2804,6759,5414,12175
2RVIC,373929,383807,757736,67396,73405,140806,8711,9525,18239,121325,133262,254589,6254,6390,12648,2860,3115,5979,2795,2862,5658,1178,1321,2501,1348,1363,2708,609,645,1253,4,5,15,145082,158503,303591,12668,13283,25949,3278,2909,6189,228433,248102,476528,58768,57122,115889,661128,689028,1350155
2GMEL,1096453,1151547,2247996,99960,104328,204287,20928,22097,43024,475147,491377,966519,16328,17363,33688,6773,6990,13763,8202,8400,16605,3457,3816,7280,1919,1973,3889,3297,3466,6765,76,28,105,536131,555514,1091642,176496,188746,365244,10761,9849,20609,823346,858437,1681782,132414,135840,268256,2052217,2145820,4198037
29799,12,0,7,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,16,0,13,0,0,0,0,0,0,16,0,13,3,0,3,28,4,29
29499,534,315,849,155,88,242,121,100,227,1182,1019,2207,121,122,237,30,29,65,49,49,99,20,21,40,21,18,40,7,12,17,0,0,0,1557,1366,2915,459,487,945,62,48,110,2233,1988,4223,1355,772,2128,4117,3073,7193
1RNSW,677976,693573,1371549,120947,130964,251916,233244,252435,485679,12239,13250,25480,22711,23793,46504,2613,2664,5275,3854,3939,7792,1454,1530,2976,2088,2117,4204,7425,7790,15213,69,55,125,285681,307570,593253,24557,26014,50570,7240,7095,14338,438426,471647,910069,105675,101619,207298,1222081,1266843,2488918
1GSYD,1174217,1227942,2402160,128232,132074,260304,518339,533337,1051673,11111,10983,22100,14868,15251,30114,3734,3789,7524,5078,4869,9943,1137,1203,2338,1258,1130,2386,4115,4211,8318,66,34,104,559694,574806,1134501,195204,204409,399617,12359,11127,23485,895491,922415,1817909,148037,145721,293756,2217743,2296079,4513818
19799,105,139,245,0,0,0,25,45,72,3,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,34,48,80,12,12,18,3,0,3,43,61,104,19,34,51,168,237,401
19499,1027,548,1571,204,112,317,2027,1557,3584,158,168,325,297,255,549,47,42,84,81,57,142,28,19,44,16,19,38,47,36,82,0,0,0,2699,2145,4844,723,702,1430,104,66,170,3734,3027,6765,2403,1214,3613,7164,4788,11952
