GCCSA_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
3GBRI,4103,1222,11938,6022,4691,3917,1819,3606,354,37669,86,101,106,155,182,185,94,250,35,1185,1350,1987,1079,1115,1393,569,928,761,382,9561,1359,1482,2417,1653,1791,1347,1633,2329,2638,16648,93695,226016,107311,79601,92265,42405,28291,41462,10453,721503
39799,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,9,0,4,3,0,4,0,33
39499,10,4,46,22,16,11,3,34,0,143,0,0,0,0,0,0,0,3,0,4,3,6,7,3,0,0,4,0,3,31,4,11,11,9,0,7,7,19,21,81,163,407,308,245,129,83,129,441,58,1957
2RVIC,2860,584,8887,3563,2438,2670,1035,3025,250,25313,57,67,46,53,41,51,39,136,21,510,865,1054,606,728,638,304,420,470,160,5254,2042,1012,2298,1526,1135,1364,1396,2507,1592,14883,57172,100018,70854,51951,39286,22056,17707,29603,5805,394456
2GMEL,8125,2305,25072,11008,8285,7594,3606,6125,703,72820,181,176,219,225,209,200,208,428,79,1922,4041,6214,2286,2932,3983,1985,1568,1481,799,25296,3282,3691,5302,3466,3589,3115,3022,3892,5408,34754,212497,486943,202552,151216,182011,93890,53522,71905,22572,1477105
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,4,0,22
29499,9,3,34,8,3,3,4,6,0,75,0,0,0,0,0,0,0,0,0,0,3,4,5,7,3,3,0,6,0,34,4,5,15,4,0,0,9,14,15,66,132,367,223,181,112,65,72,142,34,1337
1RNSW,4554,1050,15537,6918,4199,4097,2195,4565,416,43530,107,111,77,123,90,109,73,224,41,951,1250,1406,1004,899,1047,414,857,752,328,7957,2740,1820,3673,2646,2190,2331,2375,3957,2658,24393,97780,184992,128310,90117,84933,40525,35415,48306,10501,720873
1GSYD,8111,2409,23558,10469,8436,6485,3243,4959,806,68473,220,219,319,338,254,266,244,499,94,2450,3562,5618,2055,2136,3433,1723,1716,1389,801,22431,3377,4132,4652,3361,4123,2973,3084,3943,6488,36141,245781,546829,198365,144994,214837,100049,56609,70514,27562,1605537
19799,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,18,14,7,11,6,7,8,3,74
19499,14,3,42,33,7,13,5,23,0,135,0,3,0,3,0,0,0,4,0,8,0,7,3,4,8,0,3,7,0,36,6,10,17,11,7,8,9,17,26,101,200,562,348,285,168,119,144,278,58,2162
