GCCSA_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
6RTAS,144,83,908,997,281,2500,195,1528,107,6741,532,805,2097,1598,843,1605,595,1717,155,9945,2105,3752,3784,2331,2176,1728,1463,2624,308,20280,3191,4227,3320,2672,2817,1791,1783,2779,387,22976,4049,4567,3620,3495,3824,2202,2637,3697,494,28587,3548,3909,2828,2508,2973,1547,2099,2952,379,22736,1310,894,469,388,623,335,471,621,148,5260,314,81,48,30,51,36,44,86,65,758,34,14,4,4,9,3,9,15,15,120,15238,18332,17083,14033,13605,11744,9285,16018,2056,117405
6GHOB,75,89,506,949,247,2062,83,1085,80,5175,354,895,1563,1860,969,1636,286,1120,134,8821,1876,5191,3348,2720,2829,1718,806,1635,353,20471,2888,5708,2706,2441,3232,1363,816,1547,342,21039,3221,5375,2651,2575,3794,1387,1198,1796,399,22407,2157,4107,1949,1801,2850,1137,1067,1563,248,16873,566,913,352,314,585,293,207,316,97,3635,74,98,35,22,50,35,17,36,36,407,6,14,3,0,3,4,4,3,18,58,11212,22388,13110,12690,14567,9641,4487,9097,1704,98883
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,6,0,0,0,3,0,21,0,0,3,0,0,0,0,0,0,3,0,3,3,0,0,0,0,3,0,14,0,0,4,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,9,9,0,0,3,15,0,47
69499,0,0,0,0,3,6,0,3,0,12,0,3,3,5,0,0,0,6,0,22,4,18,10,13,8,0,4,23,0,86,3,11,4,3,10,5,9,7,0,47,9,6,7,8,5,3,6,10,0,46,0,6,8,7,3,0,3,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,49,38,33,27,14,20,54,3,247
5RWAU,207,172,2041,1620,611,4078,276,2660,198,11858,853,1449,4444,2127,1623,1927,1267,2929,281,16897,4637,7738,11295,4423,4788,2784,5030,6250,729,47675,7274,8183,10011,4964,5595,2744,5810,5549,839,50979,8894,7727,8886,5257,6416,3314,6987,6109,956,54551,7701,5757,5546,3894,4818,2464,5222,4723,685,40812,3332,1272,1016,702,1067,637,1163,1307,286,10779,820,137,94,50,113,58,84,196,109,1666,100,20,20,9,10,3,11,28,21,221,33822,32446,43338,23037,25054,18013,25850,29749,4112,235431
5GPER,591,1017,5370,8284,2143,17548,1272,9330,660,46211,3848,10698,16268,15826,9702,15689,4317,10835,1322,88498,20620,58123,41299,23604,27861,15031,13986,18252,3482,222260,27830,53678,31958,18630,26980,11469,13058,14504,3383,201490,29402,43942,27791,18386,30640,12552,14547,14797,3247,195311,18058,28770,17096,12357,22140,9000,10537,11200,1885,131038,4422,7411,3558,2405,5277,2626,2359,3014,693,31760,575,754,262,176,448,299,157,404,206,3270,73,73,31,18,42,24,16,33,57,364,105412,204472,143621,99683,125233,84231,60231,82364,14947,920196
59799,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,11,0,19,3,21,21,0,3,0,9,41,0,100,3,28,26,0,4,0,15,28,4,98,5,20,26,0,0,0,9,16,0,82,0,8,13,0,0,0,6,10,7,35,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,78,87,3,10,0,35,100,9,334
59499,0,0,3,5,3,10,0,8,0,26,8,14,27,36,9,16,16,57,4,202,21,91,127,62,20,22,65,167,20,598,25,48,78,16,25,16,72,35,9,332,23,28,66,27,20,16,67,50,14,308,20,45,41,15,31,7,45,56,7,266,9,9,5,4,3,0,9,4,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,235,349,162,114,90,276,386,58,1773
4RSAU,177,108,1184,1170,317,2757,240,2483,135,8564,688,1026,2686,1686,838,1680,751,2686,152,12189,3188,4457,4998,2953,2601,2146,2307,4287,388,27321,5220,4535,4363,3320,3530,2154,2622,4134,434,30310,7087,4577,4744,4411,4547,2799,3585,5423,571,37742,6559,4308,3674,3446,3653,2120,2964,4572,481,31778,3044,1021,680,566,865,467,710,1117,221,8684,742,92,84,28,96,53,84,158,134,1467,107,15,21,9,16,6,12,27,42,263,26799,20136,22431,17595,16456,14184,13271,24893,2556,158308
4GADE,370,532,2420,5104,1183,11178,660,6660,373,28487,2423,6367,8893,11181,5610,10553,2180,7673,749,55620,12067,33863,20387,16438,16321,10265,6608,11522,1961,129432,17213,33625,16321,13518,18037,8131,6815,10104,1965,125726,19160,28443,16324,14122,21605,9201,8286,11368,1918,130434,12315,21931,10845,9771,16443,6371,6260,8313,1236,93473,3171,5465,2190,1707,3542,1617,1264,1935,472,21363,449,544,205,114,255,205,76,169,187,2206,61,70,14,18,29,19,18,14,76,308,67230,130848,77599,71974,83026,57531,32166,57749,8937,587060
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
49499,0,0,0,0,0,9,7,13,0,23,0,9,5,3,4,3,4,49,3,88,14,35,38,15,17,13,20,82,3,242,13,23,26,6,10,0,17,23,3,125,15,22,24,14,12,12,13,26,0,131,12,16,8,11,11,7,14,23,3,102,4,0,4,0,4,4,5,0,0,24,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,54,103,112,53,57,49,85,212,11,734
3RQLD,1007,1154,8602,11298,3397,23566,1750,13846,1033,65656,4704,10028,19134,16685,9511,14357,4910,14045,1379,94742,21003,41824,41783,25744,24345,16525,14929,22913,3071,212136,30437,45088,37094,24874,30036,16146,17204,21353,3652,225875,35322,42251,33051,26273,34758,18496,20856,24977,3646,239632,26100,29100,21821,17027,24446,13944,16328,20368,2531,171672,9818,6980,4130,2882,5487,4150,3827,4905,1132,43304,2333,672,323,206,489,401,270,569,489,5754,298,66,45,17,52,39,25,49,141,744,131019,177163,165977,124999,132531,107632,80093,123030,17077,1059525
3GBRI,934,1623,6388,11150,4039,21312,1949,11750,938,60083,5371,15576,17394,19442,14389,18028,5829,13680,1738,111449,25305,68414,38232,26363,35149,18500,14431,22036,4295,252724,35626,67566,30736,22208,36240,14364,14440,17587,4025,242798,34983,53194,26355,21510,37972,14524,15915,18820,3411,226688,19640,31802,16623,13443,25083,10142,11800,14011,1953,144487,4684,7320,3052,2336,5272,2793,2718,3189,692,32052,608,719,244,128,378,288,150,316,283,3110,64,77,28,21,37,28,9,26,96,389,127222,246294,139054,116612,158546,99974,67242,101412,17421,1073778
39799,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,3,0,9,0,0,0,0,3,0,0,0,0,8,0,3,3,0,0,3,0,0,0,11,5,4,3,0,3,0,0,3,0,19,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,9,0,7,7,0,6,4,60
39499,11,0,16,20,8,25,3,30,0,103,25,25,39,86,22,39,21,207,7,480,67,164,133,137,59,44,70,310,27,1010,37,84,79,34,37,21,64,88,21,470,49,82,69,41,47,28,70,110,17,509,68,71,53,27,51,25,47,75,8,430,15,12,0,3,0,8,19,4,9,76,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,264,446,392,349,226,182,300,825,97,3087
2RVIC,767,475,4905,5525,1247,13613,644,8561,666,36413,2955,4991,11797,9526,4165,8427,2281,8460,834,53437,11914,24879,21971,13032,11399,8778,6207,12973,1614,112772,19050,26219,18121,13034,15027,8612,7726,12422,1947,122157,23321,24803,18316,16552,19205,10170,10964,16133,2152,141612,20354,20984,13568,12482,15007,8001,9799,14193,1802,116189,8979,4674,2600,2268,3377,1983,2281,3360,786,30307,2410,457,247,154,316,182,169,483,362,4785,383,72,67,46,66,43,38,85,128,919,90136,107552,91588,72622,69811,59819,40101,76668,10291,618583
2GMEL,1227,2370,8735,16178,4219,35607,1789,16529,1462,88109,9237,27831,30326,36386,23879,40500,8640,22030,3644,202474,58618,165390,77022,54001,69838,42937,25471,35874,9437,538588,81497,142263,58738,39896,66637,30625,25833,29436,8085,483008,75224,103062,52222,39796,69794,30146,29943,33473,7241,440905,41940,67058,32510,24758,46725,19440,22271,25702,4362,284768,10239,18051,6600,5034,11107,5328,4602,6472,1596,69019,1393,1969,595,342,916,539,295,851,526,7429,218,272,106,48,119,78,42,96,225,1203,279601,528261,266855,216447,293226,205194,118891,170451,36574,2115493
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,3,0,23
29499,6,0,9,15,0,16,4,10,0,64,20,28,35,79,16,31,9,66,5,289,52,183,113,99,60,39,48,104,13,726,38,74,62,38,33,21,55,51,20,386,36,52,37,26,23,17,48,44,14,300,22,53,30,19,26,10,30,28,5,215,5,4,3,4,9,4,3,0,0,42,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,178,405,297,277,182,134,200,307,57,2033
1RNSW,1145,1239,9511,10990,2593,23293,1630,14580,1072,66071,4564,9360,20882,18227,8633,14750,4420,13877,1408,96123,19847,44688,39179,25503,23071,16619,13447,21754,3041,207157,31601,49033,33514,24770,29851,15503,16364,20958,3517,225112,38116,46686,32597,28379,37542,18002,20746,26606,3842,252505,31582,38911,23162,20196,27886,14046,17234,22241,3029,198277,13114,8664,4336,3276,6307,3487,4212,5040,1331,49771,3517,971,441,217,616,358,367,694,693,7880,567,108,64,43,65,67,41,80,232,1272,144050,199664,163683,131603,136560,106127,78469,125843,18165,1104163
1GSYD,1504,4121,12092,18324,6349,32767,2615,16297,1802,95877,10892,36437,30616,37442,28514,36240,9182,20869,4588,214769,67606,184027,70886,54570,75506,45044,25721,35966,11877,571197,93227,158823,58497,40463,76628,32975,27822,29358,9817,527605,80980,114893,51773,38154,75454,30751,31989,34472,8456,466922,44946,75325,33269,23786,53332,20670,24764,27528,5191,308826,10982,21249,7200,5040,13932,5848,5529,6260,1745,77795,1403,2614,643,380,1278,667,368,650,566,8569,219,308,82,45,137,86,35,55,193,1152,311762,597798,265056,218206,331135,205051,128020,171450,44228,2272718
19799,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,9,7,0,3,0,0,3,0,23,5,3,3,4,4,3,0,4,0,27,0,7,4,5,0,5,9,3,0,30,0,3,3,3,0,3,0,6,3,25,0,0,0,3,4,3,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,18,16,21,17,10,18,5,130
19499,5,12,10,36,0,13,3,28,4,112,32,53,70,125,29,55,21,123,15,528,77,250,159,129,65,57,104,221,22,1094,63,139,96,47,49,35,88,86,23,630,45,98,76,51,62,30,63,59,18,507,40,63,52,34,41,26,42,54,15,376,11,26,12,4,8,6,8,9,0,89,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,274,649,480,430,261,224,339,582,103,3331
