SED_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SED27003,4451,2746,981,318,48465
SED27101,3968,2766,1571,606,32346
SED27208,5391,4192,1896,726,28141
SED27305,4216,1974,942,219,26235
SED27406,5519,3715,1784,1060,32613
SED27504,4585,3048,1530,628,28915
SED27608,5264,3663,1787,829,35781
SED27708,5005,3291,1561,679,28801
SED27807,3430,2169,1070,419,29375
SED27907,4220,2621,1122,371,27709
SED28007,3737,1553,522,247,32018
SED28107,3880,1769,581,138,44395
SED28203,2536,1700,803,235,26595
SED28301,5312,3471,1760,692,31124
SED28408,4145,2924,1607,576,27032
SED28507,3896,2183,924,385,30673
SED28607,4550,2162,1127,625,37146
SED28704,4596,2656,838,225,36934
SED28803,3550,1452,451,132,35314
SED29494,526,263,61,19,4580
SED29797,10,0,0,0,25
SED30001,3807,2123,729,216,30645
SED30002,3052,1640,684,325,24215
SED30003,3540,2066,897,328,25364
SED30004,3364,2193,1248,607,22460
SED30005,5588,3103,1027,261,31845
SED30006,4451,3050,1199,326,26183
SED30007,3804,2085,844,458,42087
SED30008,4156,3732,1966,816,26392
SED30009,4118,2985,1542,722,25415
SED30010,3428,1550,743,358,29369
SED30011,2753,2075,1538,656,17752
SED30012,3347,1686,667,197,32474
SED30013,3221,2129,938,281,21233
SED30014,3646,2530,1334,550,26523
SED30015,4523,3495,1299,263,21437
SED30016,4500,2644,1167,431,30355
SED30017,3191,2271,1076,277,18213
SED30018,4168,3451,1656,712,24605
SED30019,3665,2034,784,362,21724
SED30020,3828,1986,842,294,25895
SED30021,3883,2118,861,424,30178
SED30022,4584,3006,1558,770,24882
SED30023,3696,2059,891,315,24154
SED30024,3592,2085,803,231,22419
SED30025,4527,3462,1446,476,33705
SED30026,4373,2872,1370,616,24670
SED30027,3642,2562,1161,332,21642
SED30028,3174,1853,832,356,23201
SED30029,3628,2303,791,310,23223
SED30030,3627,2296,1011,448,26877
SED30031,3372,1471,599,182,24654
SED30032,4838,3667,1327,368,26867
SED30033,3018,1615,881,533,26594
SED30034,2388,1066,417,118,17416
SED30035,4512,3384,1386,451,22063
SED30036,4439,4172,2202,672,24175
SED30037,3860,2439,984,262,23128
SED30038,2827,1560,726,256,24892
SED30039,3522,2448,1032,456,28793
SED30040,3083,1821,995,364,22202
SED30041,3620,2145,959,228,23427
SED30042,3201,1955,721,321,23327
SED30043,3505,2729,1783,720,25212
SED30044,4200,2501,1102,438,24358
SED30045,3471,2268,835,253,23278
SED30046,3178,1695,591,134,20315
SED30047,3569,2162,1062,515,23671
SED30048,3049,1587,840,362,19499
SED30049,3008,1874,1026,377,23821
SED30050,4884,3327,1645,658,28261
SED30051,4582,3708,1505,387,22403
SED30052,3895,2836,1405,660,28030
SED30053,3643,1841,686,169,23242
SED30054,4475,3101,1415,627,26456
SED30055,3297,1855,685,210,22960
SED30056,3258,1867,699,265,28848
SED30057,1763,849,278,72,13586
SED30058,3797,2408,997,588,24757
SED30059,4374,2951,1370,657,27956
SED30060,3350,1863,787,202,21841
SED30061,2970,1743,911,341,20074
SED30062,3567,2596,1340,602,32144
SED30063,4061,3079,1306,335,21276
SED30064,4401,3180,1396,574,24897
SED30065,5305,4520,1955,732,27339
SED30066,3245,1734,978,594,27896
SED30067,3413,1940,685,270,24259
SED30068,4239,4285,2261,1036,24455
SED30069,4208,3346,1640,744,23814
SED30070,4048,3241,1437,582,24442
SED30071,2961,1618,1083,566,20672
SED30072,3263,2047,1074,485,24273
SED30073,3629,1871,703,255,35498
SED30074,3608,2770,1299,469,20045
SED30075,3804,2803,1482,791,30070
SED30076,3806,2355,680,163,23995
SED30077,2826,1541,973,641,25849
SED30078,3396,1835,700,272,28969
SED30079,3008,2236,1176,515,27439
SED30080,4820,3740,1660,534,32644
SED30081,2999,1649,647,170,22052
SED30082,3786,2518,1168,410,23496
SED30083,3350,2338,1579,987,24047
SED30084,3886,2128,864,337,25101
SED30085,2562,1425,680,216,16892
SED30086,3354,2314,1038,376,26499
SED30087,4285,2273,876,237,28403
SED30088,2733,1638,618,167,23037
SED30089,3359,1791,945,437,28930
SED39494,1426,1050,215,24,7409
SED39797,15,15,6,3,71
SED40001,3329,2372,963,460,24811
SED40002,2568,1541,767,383,18232
SED40003,3666,2804,1281,673,19166
SED40004,3411,2278,1022,544,17580
SED40005,2456,1735,813,395,13737
SED40006,2265,1237,640,311,16908
SED40007,2659,1775,1041,469,16477
SED40008,2133,1047,548,280,16463
SED40009,3228,2535,986,315,18549
SED40010,3045,2023,925,412,19907
SED40011,2229,1472,875,489,17161
SED40012,2114,1181,590,395,17250
SED40013,3309,3198,1531,616,16153
SED40014,2997,1946,877,334,16826
SED40015,2493,1527,663,324,13958
SED40016,2002,1635,929,424,14703
SED40017,2658,1888,847,315,14049
SED40018,2197,1324,767,228,14525
SED40019,2649,2253,985,425,13452
SED40020,2462,2273,1044,357,14081
SED40021,2458,1782,1180,566,17879
SED40022,3769,2617,878,343,18483
SED40023,2688,1799,889,392,17622
SED40024,3105,1998,744,245,17797
SED40025,2955,2097,944,510,16724
SED40026,2367,1453,720,293,16152
SED40027,2219,1496,1052,434,15101
SED40028,2255,1520,702,387,13087
SED40029,2614,1821,751,287,15274
SED40030,2455,1499,745,341,16959
SED40031,2682,2029,993,283,17056
SED40032,2956,2086,1069,677,17496
SED40033,2191,1496,736,303,14218
SED40034,1996,1073,520,208,14566
