SED_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
SED30027,2959,2742,3091,2014,2010,1522,2281,2605,299,19520
SED30028,3162,6021,3173,2891,4030,2263,862,1443,325,24170
SED30029,3084,6295,2946,2582,3689,1822,698,1355,320,22789
SED30030,3076,4271,4734,3360,3974,3265,1824,3170,521,28187
SED30031,2242,3452,5434,2271,2727,2116,3110,3152,425,24923
SED30032,2958,3638,3933,2605,2968,2331,1799,3043,421,23690
SED30033,3403,8760,2576,2312,3658,2055,757,1484,318,25323
SED30034,3416,2253,3233,1522,2103,1394,3142,2573,331,19971
SED30035,2077,2463,2903,2125,2057,1827,1544,2645,289,17920
SED30036,1605,3103,2399,2649,1896,2043,987,2035,254,16967
SED30037,3262,2944,3944,2714,2900,2083,2493,3272,383,23999
SED30038,1709,3218,3198,2902,2975,2047,2494,3171,436,22143
SED30039,3081,9467,1547,2417,2913,2131,378,1184,330,23446
SED30040,1819,3256,3368,3029,3180,2241,2016,2893,381,22182
SED30041,2247,3243,3691,3005,3182,2172,2156,2933,396,23025
SED30042,2469,3672,4023,3051,4141,2633,2069,2600,403,25061
SED30043,2524,4144,3831,2967,3151,2887,1132,2316,298,23246
SED30044,2456,4067,4201,2813,3176,2348,2147,2656,325,24191
SED30045,3077,2933,3933,2497,3205,2071,2360,3683,390,24150
SED30046,2213,2508,4129,2372,3691,2260,2886,2846,427,23340
SED30047,3020,4967,3284,2454,3856,2149,1627,2232,392,23983
SED30048,1681,2930,3823,1900,2333,1920,2186,2268,329,19367
SED30049,2794,6230,2455,2187,3399,2181,908,1747,367,22259
SED30050,2894,4956,3934,3170,3072,2781,1047,2397,374,24630
SED30051,1686,2120,2448,2223,2137,1619,1411,2135,260,16038
SED30052,3541,5623,3454,3219,3611,3396,923,2069,429,26268
SED30053,2984,2434,4778,1754,2706,1815,4143,2834,438,23876
SED30054,3784,8329,2113,2084,3173,1983,489,1082,332,23357
SED30055,2307,2974,4257,2988,3624,2851,2168,3353,405,24924
SED30056,3746,10682,1819,2454,3239,2183,392,1060,307,25879
SED30057,2041,2092,2784,1513,1604,910,2104,1964,304,15307
SED30058,3170,7080,2567,2294,3537,2064,908,1435,356,23407
SED30059,3457,5286,4020,3212,3799,3198,1240,2388,441,27040
SED30060,2275,2941,3698,2803,2918,2272,1727,2970,394,21993
SED30061,1729,4429,2682,2963,2617,2115,1242,1932,302,20015
SED30062,3368,5205,4825,4213,4798,3513,2420,3464,538,32344
SED30063,3100,2428,2896,2029,2034,1519,1780,3133,328,19243
SED30064,2337,3764,3784,2672,2800,2210,1377,2696,357,21987
SED30065,3102,4449,3373,2715,2554,2589,803,2235,337,22156
SED30066,3079,6534,3664,2934,4707,2469,1739,2664,453,28245
SED30067,2906,4335,4231,3194,4440,2512,1885,2524,441,26462
SED30068,1652,2297,2827,2395,2211,2037,1673,2811,333,18244
SED30069,2239,3470,3177,2547,3153,1991,1369,2374,395,20703
SED30070,3012,3724,3853,2597,3649,2336,1455,2222,377,23223
SED30071,1703,3345,3428,2761,2673,2060,1914,2573,289,20742
SED30072,2581,5210,3215,2734,4108,2179,1482,2352,376,24231
SED30073,3937,11184,2847,3289,3927,2430,771,2187,472,31048
SED30074,3583,2382,2662,2052,2164,1782,1849,3560,332,20373
SED30075,2637,4946,3809,3511,3265,3328,1356,3110,495,26456
SED30076,2884,5245,3864,2541,4168,2546,1493,2156,381,25280
SED30077,3231,7939,2756,2513,3792,2133,781,1637,336,25113
SED30078,3083,6749,3186,2675,3922,2790,1652,2637,508,27204
SED30079,2111,4978,3012,2584,2998,2298,1642,2998,516,23146
SED30080,3990,5445,3337,3445,3426,3760,1025,2766,529,27729
SED30081,2057,3372,3913,3577,3403,2525,2024,2447,329,23650
SED30082,2298,4757,3270,2668,2968,2120,1372,2429,263,22145
