SED_CODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SED24006,16400,17801,34199,1509,1590,3105,311,326,640,6344,6651,12994,203,245,444,88,101,196,114,121,237,55,40,97,9,14,28,45,47,93,0,0,0,7171,7558,14731,2242,2818,5064,104,102,204,11034,12060,23099,1554,1637,3189,28990,31499,60485
SED24105,18817,19435,38257,1686,1607,3296,148,118,272,6835,6695,13531,116,121,238,51,39,92,73,55,129,30,27,55,13,12,22,17,19,32,0,0,0,7282,7087,14374,2940,3202,6140,178,146,327,12093,12044,24138,1591,1561,3158,32503,33041,65545
SED24207,22370,22899,45270,1750,1781,3533,267,285,544,7550,7532,15075,159,173,329,119,90,205,69,72,141,54,63,113,33,38,72,26,35,63,3,4,11,8276,8280,16557,2462,2717,5183,126,119,244,12617,12902,25519,3216,2843,6054,38199,38638,76841
SED24308,16788,17425,34213,2940,3357,6300,168,208,374,5412,5906,11317,182,197,382,69,67,135,83,87,170,50,45,95,31,28,59,16,19,37,0,0,0,6006,6561,12571,1056,1109,2167,176,170,343,10178,11196,21378,3266,2473,5736,30236,31095,61324
SED24408,16760,16811,33568,3206,3542,6749,173,197,373,3011,3304,6313,201,230,434,330,365,690,106,103,212,38,43,86,64,51,117,10,5,19,0,0,0,3934,4308,8244,294,354,649,102,107,209,7539,8308,15845,1978,2075,4056,26269,27197,53465
SED24504,16132,16392,32525,2263,2442,4712,245,284,532,5070,5449,10520,202,193,396,58,80,136,89,86,181,28,36,62,34,37,66,20,18,43,0,0,0,5748,6186,11931,363,416,780,100,110,210,8478,9155,17634,1977,2159,4134,26591,27707,54297
SED24606,13357,14962,28323,1357,1549,2905,347,442,787,6565,6933,13500,245,300,546,101,139,240,120,168,290,64,73,133,18,16,34,50,64,113,0,0,0,7509,8129,15637,2554,3108,5661,130,107,238,11544,12899,24445,1502,1768,3275,26408,29634,56040
SED24703,11595,11924,23518,2127,2204,4336,1150,1337,2483,10886,11124,22012,879,957,1836,396,469,865,632,683,1312,234,284,519,116,130,246,351,360,709,3,4,4,14632,15341,29972,18537,21472,40002,402,389,790,35695,39405,75099,6581,6146,12730,53873,57485,111352
SED24808,18442,18792,37230,2734,3103,5842,358,378,741,8994,9636,18633,271,267,538,136,150,284,133,138,273,86,89,172,36,38,76,36,29,64,0,0,0,10040,10733,20773,1064,1296,2364,192,202,395,14041,15336,29375,2638,2746,5383,35114,36872,71989
SED24904,16349,16550,32897,2545,2794,5338,736,811,1552,4547,4898,9447,263,295,560,483,519,1003,140,137,277,36,26,63,97,97,190,13,17,24,0,0,0,6309,6810,13119,828,746,1567,206,190,393,9886,10532,20420,3123,3002,6125,29361,30079,59442
