SED_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
SED60502,49,10,155,51,35,40,13,37,4,393,0,0,0,0,0,0,0,3,0,5,11,9,13,7,14,4,5,9,0,64,18,17,58,39,21,19,37,57,21,282,525,645,1121,879,535,279,283,410,91,4768
SED60512,16,3,55,17,16,8,8,12,0,133,0,0,0,0,0,0,0,0,0,3,4,7,7,3,0,3,3,3,0,28,20,6,20,10,12,9,16,22,12,126,363,583,466,307,225,113,134,201,36,2420
SED60513,30,8,133,62,39,44,12,22,11,349,0,0,3,0,0,0,0,0,0,3,5,15,8,12,13,0,3,0,3,64,15,5,39,14,13,19,17,34,20,185,559,851,913,642,555,278,190,311,82,4370
SED60514,50,19,222,80,41,54,18,63,0,540,5,0,3,0,0,0,0,7,0,19,19,13,11,12,8,6,17,9,3,89,51,19,70,42,33,31,50,58,31,392,1340,1621,1541,1007,738,394,446,644,132,7867
SED69494,0,0,5,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,6,7,45,31,22,13,4,5,23,3,149
SED69797,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,3,0,0,0,6,0,30
SED70001,3,3,4,7,4,0,3,0,0,19,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,15,3,14,9,14,4,8,3,14,33,94,74,219,54,103,57,26,18,48,49,648
SED70002,30,13,70,49,40,32,6,24,0,258,0,0,0,0,0,0,0,3,0,4,7,11,3,19,8,0,0,0,7,63,14,20,9,25,20,3,9,12,18,129,512,1363,522,733,521,163,115,175,87,4199
SED70003,7,3,19,8,3,0,0,3,5,53,0,0,0,0,0,0,0,3,0,7,6,3,7,12,0,0,0,0,0,30,13,26,11,26,11,10,14,23,59,201,153,385,192,218,130,40,77,85,81,1346
SED70004,9,3,22,10,11,4,0,4,4,77,0,0,0,0,0,0,0,0,0,3,4,3,0,3,4,0,0,7,0,21,10,13,10,32,10,5,0,20,24,135,229,374,186,245,137,44,43,170,64,1489
